companyName,company_starRating,job_title,employee_residence,listing_jobDesc,salary,requested_url,company_location,company_size
Inteligenes Technologies,NA,Mobile Application Developer,India,"Job Description :1. Design and Build sophisticated and highly salable apps using Flutter.2. Translate and Build the designs into high-quality responsive UI code.3. Write efficient queries for core Data.4. Use of Model-View-Controller (MVC) and Model-View-ViewModel-Controller (MVVM) architecture and development maintainable, testable, and functional software that meets product requirements.5. Resolve any problems existing in the system and suggest and add new features to the complete system.6. Follow the best practices while developing the app.7. Use CI/CD for smooth deployment.8. Document the project and code efficiently.9. Manage the code and project on Git in order to keep in sync with other team members and managers.10. Suggest new features and/or enhancements.11. Maintaining software through product life cycle including design, development, verification, and bug fixes.12. Write tests for the App.13. Knowledge of different state management libraries like BloC, GetX, and Provider will be a plus point.Job Type: Full-timeSalary: ₹20,000.00 - ₹25,000.00 per monthBenefits:Health insuranceInternet reimbursementSchedule:Morning shiftSupplemental pay types:Commission payJoining bonusOvertime payPerformance bonusQuarterly bonusShift allowanceYearly bonusAbility to commute/relocate:Tilak Nagar, Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Mobile applications: 1 year (Preferred)Expected Start Date: 16/08/2022 Job Description :1. Design and Build sophisticated and highly salable apps using Flutter.2. Translate and Build the designs into high-quality responsive UI code.3. Write efficient queries for core Data.4. Use of Model-View-Controller (MVC) and Model-View-ViewModel-Controller (MVVM) architecture and development maintainable, testable, and functional software that meets product requirements.5. Resolve any problems existing in the system and suggest and add new features to the complete system.6. Follow the best practices while developing the app.7. Use CI/CD for smooth deployment.8. Document the project and code efficiently.9. Manage the code and project on Git in order to keep in sync with other team members and managers.10. Suggest new features and/or enhancements.11. Maintaining software through product life cycle including design, development, verification, and bug fixes.12. Write tests for the App.13. Knowledge of different state management libraries like BloC, GetX, and Provider will be a plus point.Job Type: Full-timeSalary: ₹20,000.00 - ₹25,000.00 per monthBenefits:Health insuranceInternet reimbursementSchedule:Morning shiftSupplemental pay types:Commission payJoining bonusOvertime payPerformance bonusQuarterly bonusShift allowanceYearly bonusAbility to commute/relocate:Tilak Nagar, Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Mobile applications: 1 year (Preferred)Expected Start Date: 16/08/2022 Show more ","Employer Est.:₹240,000 - ₹300,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0de9156b&cb=1660814442355&jobListingId=1008059827725&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-f1d9764b3eeb1d0e-,NA,NA
Brenin Technologies Pvt. Ltd.,NA,Mobile Application Developer,Jodhpur,"Job Highlights: Experience with the flutter ecosystem is a great plusHas good experience in building Android applicationsExperience in development of Android / Flutter applications and have deployed them on Google Play / App StoreResponsibilities: Experience in development of Android/Flutter applications and have deployed them on Google Play/App Store.Participate and contribute in design and development of the core components of the service.Ensure high quality of software development w.r.t to project architecture, code quality, testing and deployment.Own performance of the app in production and implement/push for implementation of systems to monitor, debug and fix an issue in production in lowest TAT possibleSkills and Qualification: Has good experience in building Android applicationsExperience with the flutter ecosystem is a great plus.One who likes to think in terms of software and data architecture before opening Android studio.Comfortable with managing development and deployment of applicationsUnderstand basic concepts of design for developing user friendly applicationsStay up to date with the latest technologies.Job Type: Full-timeSalary: ₹25,000.00 - ₹80,000.00 per monthBenefits:Leave encashmentSchedule:Morning shiftSupplemental Pay:Joining bonusPerformance bonusAbility to commute/relocate:Jodhpur - 342003, Rajasthan: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred) Job Highlights: Experience with the flutter ecosystem is a great plusHas good experience in building Android applicationsExperience in development of Android / Flutter applications and have deployed them on Google Play / App StoreResponsibilities: Experience in development of Android/Flutter applications and have deployed them on Google Play/App Store.Participate and contribute in design and development of the core components of the service.Ensure high quality of software development w.r.t to project architecture, code quality, testing and deployment.Own performance of the app in production and implement/push for implementation of systems to monitor, debug and fix an issue in production in lowest TAT possibleSkills and Qualification: Has good experience in building Android applicationsExperience with the flutter ecosystem is a great plus.One who likes to think in terms of software and data architecture before opening Android studio.Comfortable with managing development and deployment of applicationsUnderstand basic concepts of design for developing user friendly applicationsStay up to date with the latest technologies.Job Type: Full-timeSalary: ₹25,000.00 - ₹80,000.00 per monthBenefits:Leave encashmentSchedule:Morning shiftSupplemental Pay:Joining bonusPerformance bonusAbility to commute/relocate:Jodhpur - 342003, Rajasthan: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred) Show more ","Employer Est.:₹300,000 - ₹960,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f7cefb53&cb=1660814442352&jobListingId=1008032556350&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-0927d86b3e7ab6ec-,NA,NA
Actics Technologies Pvt Ltd,NA,Mobile Developer,Pune,"Job Profile: We are looking for mobile developers with experience of minimum 3 yearswho can work as an independent contributor and comes with a strongsoftware development background having experience in developing robustmobile applications.Candidates from product development background would be preferred whocan build solution for entire application lifecycle (concept, design, test, release& support) and troubleshoot / debug for optimized performance.Roles & Responsibilities: Must Have Experience:  Min 3 years of strong experience Experience with Programming languages such as Swift, Android-Java,Objective-C Hands on experience in working with Angular Material, IONIC Extensive knowledge about mobile app development. This includes thewhole process, from the first line of code to publishing in the store(s) Familiarity with push notifications and hybrid application Strong knowledge of architectural patterns—MVC, single page designand the ability to choose the best solution for the app UI/UX designersNice to Have Experience : Experience with DevOps tools like Git, Maven Good experience of OOPS, algorithms, data structures, design patternsand industry best practices Web services (SOAP and REST) and API integration. Experience with code testability standards, JUnit Working knowledge on components, modules, data/event bindings,templates, using and creating directives, writing routes, services, formsand models Solid understanding of the full frontend and backend development lifecycleQualification- Bachelor’s / Master’s degree in an Engineering streamLocation- PuneSalary- 7LPA to 9LPAExperience- 3yearsContact No- 8446945303Job Type: Full-timeSalary: ₹700,000.00 - ₹900,000.00 per yearSchedule:Day shiftMorning shiftAbility to commute/relocate:Pune, Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 3 years (Preferred) Job Profile: We are looking for mobile developers with experience of minimum 3 yearswho can work as an independent contributor and comes with a strongsoftware development background having experience in developing robustmobile applications.Candidates from product development background would be preferred whocan build solution for entire application lifecycle (concept, design, test, release& support) and troubleshoot / debug for optimized performance.Roles & Responsibilities: Must Have Experience:  Min 3 years of strong experience Experience with Programming languages such as Swift, Android-Java,Objective-C Hands on experience in working with Angular Material, IONIC Extensive knowledge about mobile app development. This includes thewhole process, from the first line of code to publishing in the store(s) Familiarity with push notifications and hybrid application Strong knowledge of architectural patterns—MVC, single page designand the ability to choose the best solution for the app UI/UX designersNice to Have Experience : Experience with DevOps tools like Git, Maven Good experience of OOPS, algorithms, data structures, design patternsand industry best practices Web services (SOAP and REST) and API integration. Experience with code testability standards, JUnit Working knowledge on components, modules, data/event bindings,templates, using and creating directives, writing routes, services, formsand models Solid understanding of the full frontend and backend development lifecycleQualification- Bachelor’s / Master’s degree in an Engineering streamLocation- PuneSalary- 7LPA to 9LPAExperience- 3yearsContact No- 8446945303Job Type: Full-timeSalary: ₹700,000.00 - ₹900,000.00 per yearSchedule:Day shiftMorning shiftAbility to commute/relocate:Pune, Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 3 years (Preferred) Show more ","Employer Est.:₹700,000 - ₹900,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ab5b8c4b&cb=1660814442355&jobListingId=1008064422899&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-90cb9eb07278fa7d-,"Nāgpur, India",Unknown
Diaspora hamlet technologies private limited,NA,Mobile App Developer,Jaipur,"Responsibilities1. Developing new features and user interfaces from wireframe models2. Ensuring the best performance and user experience of the application3. Fixing bugs and performance problems4. Writing clean, readable, and testable codeSkills:1. Extensive knowledge about mobile app development. This includes the whole process, from the first line of code to publishing in the store(s)2. Deep knowledge of {e.g., Android, iOS, etc. }}3. Proficiency with writing automated tests in {{ JUnit, Espresso, Mocha, Jest, Enzyme, XCTest, etc. depending on the libraries you use to test }}4. Familiarity with RESTful APIs and mobile libraries for networking, specifically {{ Retrofit, axios, Alamofire, etc. }}5. Familiarity with the JSON format6. Experience with profiling and debugging mobile applicationsStrong knowledge of architectural patterns—MVP, MVC, MVVM, and Clean Architecture—and the ability to choose the best solution for the app7. Familiarity with Git8. Familiarity with push notifications9. Understanding mobile app design guidelines on each platform and being aware of their differences10. Proficiency in {{ Kotlin/Java/Swift/python/php/c++/AWS/ Objective-C/JavaScript/C#, }}Job Types: Full-time, FresherSalary: From ₹18,000.00 per monthSchedule:Flexible shiftMorning shiftWeekend availabilitySupplemental Pay:Performance bonusAbility to commute/relocate:Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Application development: 1 year (Preferred)total work: 1 year (Required)Java: 1 year (Preferred)Application Deadline: 20/08/2022 Responsibilities1. Developing new features and user interfaces from wireframe models2. Ensuring the best performance and user experience of the application3. Fixing bugs and performance problems4. Writing clean, readable, and testable codeSkills:1. Extensive knowledge about mobile app development. This includes the whole process, from the first line of code to publishing in the store(s)2. Deep knowledge of {e.g., Android, iOS, etc. }}3. Proficiency with writing automated tests in {{ JUnit, Espresso, Mocha, Jest, Enzyme, XCTest, etc. depending on the libraries you use to test }}4. Familiarity with RESTful APIs and mobile libraries for networking, specifically {{ Retrofit, axios, Alamofire, etc. }}5. Familiarity with the JSON format6. Experience with profiling and debugging mobile applicationsStrong knowledge of architectural patterns—MVP, MVC, MVVM, and Clean Architecture—and the ability to choose the best solution for the app7. Familiarity with Git8. Familiarity with push notifications9. Understanding mobile app design guidelines on each platform and being aware of their differences10. Proficiency in {{ Kotlin/Java/Swift/python/php/c++/AWS/ Objective-C/JavaScript/C#, }}Job Types: Full-time, FresherSalary: From ₹18,000.00 per monthSchedule:Flexible shiftMorning shiftWeekend availabilitySupplemental Pay:Performance bonusAbility to commute/relocate:Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Application development: 1 year (Preferred)total work: 1 year (Required)Java: 1 year (Preferred)Application Deadline: 20/08/2022 Show more ","Employer Est.:₹216,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b908e6b9&cb=1660814442356&jobListingId=1008071914539&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-ce4d5e7afb31b0fd-,NA,NA
Greenusys Technology Private Limited,2.8,Mobile Application Developer,Noida,"Hi Candidates ,Greenusys Technology Is looking to Mobile developer for its Organisations ,technology : Flutter , React , NativeJob Type: Full-timeSalary: ₹20,000.00 - ₹48,336.29 per monthSchedule:Morning shiftSupplemental Pay:Overtime payQuarterly bonusAbility to commute/relocate:Sector 63 Noida, Noida - 201305, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 2 years (Preferred) Hi Candidates ,Greenusys Technology Is looking to Mobile developer for its Organisations ,technology : Flutter , React , NativeJob Type: Full-timeSalary: ₹20,000.00 - ₹48,336.29 per monthSchedule:Morning shiftSupplemental Pay:Overtime payQuarterly bonusAbility to commute/relocate:Sector 63 Noida, Noida - 201305, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 2 years (Preferred) Show more ","Employer Est.:₹240,000 - ₹580,035 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bc16cc0d&cb=1660814442353&jobListingId=1007961093877&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-ebe0275789456ad7-,"Dehradun, India",1 to 50 Employees
CRISP Bhopal,NA,Android Mobile Application Developer,Bhopal,"Job briefWe are looking for a qualified Mobile developer to join our Engineering team. You will be working with our engineers to develop and maintain high quality mobile applications.If you’re passionate about mobile platforms and translating code into user-friendly apps, we would like to meet you. As a Mobile developer, you’ll collaborate with internal teams to develop functional mobile applications, while working in a fast-paced environment.Ultimately, you should be able to design and build the next generation of our mobile applications.ResponsibilitiesSupport the entire application lifecycle (concept, design, test, release and support)Produce fully functional mobile applications writing clean codeGather specific requirements and suggest solutionsWrite unit and UI tests to identify malfunctionsTroubleshoot and debug to optimize performanceDesign interfaces to improve user experienceLiaise with Product development team to plan new featuresEnsure new and legacy applications meet quality standardsResearch and suggest new mobile products, applications and protocolsStay up-to-date with new technology trendsRequirements and skillsProven work experience as a Mobile developerDemonstrable portfolio of released applications on the App store or the Android marketIn-depth knowledge of at least one programming language like Swift and JavaExperience with third-party libraries and APIsFamiliarity with OOP design principlesExcellent analytical skills with a good problem-solving attitudeAbility to perform in a team environmentBSC / BE/ MSC degree in Computer Science or relevant fieldJob Type: Full-timeSalary: ₹10,103.05 - ₹40,881.38 per monthSchedule:Day shiftAbility to commute/relocate:Bhopal, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Android Development: 1 year (Preferred)total work: 1 year (Preferred) Job briefWe are looking for a qualified Mobile developer to join our Engineering team. You will be working with our engineers to develop and maintain high quality mobile applications.If you’re passionate about mobile platforms and translating code into user-friendly apps, we would like to meet you. As a Mobile developer, you’ll collaborate with internal teams to develop functional mobile applications, while working in a fast-paced environment.Ultimately, you should be able to design and build the next generation of our mobile applications.ResponsibilitiesSupport the entire application lifecycle (concept, design, test, release and support)Produce fully functional mobile applications writing clean codeGather specific requirements and suggest solutionsWrite unit and UI tests to identify malfunctionsTroubleshoot and debug to optimize performanceDesign interfaces to improve user experienceLiaise with Product development team to plan new featuresEnsure new and legacy applications meet quality standardsResearch and suggest new mobile products, applications and protocolsStay up-to-date with new technology trendsRequirements and skillsProven work experience as a Mobile developerDemonstrable portfolio of released applications on the App store or the Android marketIn-depth knowledge of at least one programming language like Swift and JavaExperience with third-party libraries and APIsFamiliarity with OOP design principlesExcellent analytical skills with a good problem-solving attitudeAbility to perform in a team environmentBSC / BE/ MSC degree in Computer Science or relevant fieldJob Type: Full-timeSalary: ₹10,103.05 - ₹40,881.38 per monthSchedule:Day shiftAbility to commute/relocate:Bhopal, Madhya Pradesh: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Android Development: 1 year (Preferred)total work: 1 year (Preferred) Show more ","Employer Est.:₹121,237 - ₹490,577 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c83f839f&cb=1660814442355&jobListingId=1008059926832&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-90f5a524da901f75-,NA,NA
Nimblechapps Pvt. Ltd,4.7,Mobile Developer,Ahmedabad,"Greeting of the day!!We are looking for a React Native Developer for Ahmedabad locationRequired Experience - 1 to 5 years 'Job Location - Satellite, Ahmedabad 'Job Type- Full-time Work from OfficeJob Description:Developing and releasing complex, data-driven apps using React Native as the primary application framework.Coding/Debugging Android and iOS apps using simulators and related tooling.Developing reusable UI Components or libraries.Consuming data from the Mobile Back-end-as-a-Service platformssuch as Firebase or Parse.Should have experience with several of the following:Proficiency writing Modern JavaScript, including ES6, ES7, and JSX.Knowledge of the React Native + Redux Component life cycle.Creating custom Components and styling them based on professional design requirements.Leveraging community libraries to efficiently complete development tasks.Persisting data for offline-first apps using databases such as Realm or SQLite .Communicating over the network to RESTful or GraphQL endpoints.Accessing platform-specific APIs using Native Modules. o Developing code using code editors such as VS Code or Atom or Expo.Optimizing app performance and memory consumption.Applying the Gitflow workflow using Git and GitHub.com.Writing test specs using toolsDeveloping native mobile apps using Swift, Objective-C, or Java.Job Types: Full-time, Regular / Permanent, FresherSalary: ₹50,000.00 per monthBenefits:Health insuranceLeave encashmentPaid sick timeSchedule:Monday to FridayMorning shiftSupplemental Pay:Overtime payPerformance bonusQuarterly bonusCOVID-19 considerations:YesAbility to commute/relocate:Satellite, Ahmedabad, Ahmedabad - 380015, Gujarat: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred)Speak with the employer+91 73 5932 1541 Greeting of the day!!We are looking for a React Native Developer for Ahmedabad locationRequired Experience - 1 to 5 years 'Job Location - Satellite, Ahmedabad 'Job Type- Full-time Work from OfficeJob Description:Developing and releasing complex, data-driven apps using React Native as the primary application framework.Coding/Debugging Android and iOS apps using simulators and related tooling.Developing reusable UI Components or libraries.Consuming data from the Mobile Back-end-as-a-Service platformssuch as Firebase or Parse.Should have experience with several of the following:Proficiency writing Modern JavaScript, including ES6, ES7, and JSX.Knowledge of the React Native + Redux Component life cycle.Creating custom Components and styling them based on professional design requirements.Leveraging community libraries to efficiently complete development tasks.Persisting data for offline-first apps using databases such as Realm or SQLite .Communicating over the network to RESTful or GraphQL endpoints.Accessing platform-specific APIs using Native Modules. o Developing code using code editors such as VS Code or Atom or Expo.Optimizing app performance and memory consumption.Applying the Gitflow workflow using Git and GitHub.com.Writing test specs using toolsDeveloping native mobile apps using Swift, Objective-C, or Java.Job Types: Full-time, Regular / Permanent, FresherSalary: ₹50,000.00 per monthBenefits:Health insuranceLeave encashmentPaid sick timeSchedule:Monday to FridayMorning shiftSupplemental Pay:Overtime payPerformance bonusQuarterly bonusCOVID-19 considerations:YesAbility to commute/relocate:Satellite, Ahmedabad, Ahmedabad - 380015, Gujarat: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred)Speak with the employer+91 73 5932 1541 Show more ","Employer Est.:₹600,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b2fc9c11&cb=1660814442357&jobListingId=1007944035863&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-4976ad8a19fe812c-,"Ahmedabad, India",1 to 50 Employees
Metasign Smart Solutions,NA,Mobile Application Developer,Bangalore,"We are looking for a strong mobile app developer who welcomes both engineering and maintenance tasks. The primary focus will be to implement new user interfaces and features together with automated unit and integration tests.You will be working with our candid and collaborative team, where your knowledge and advice about application architecture and the newest mobile technologies will be highly appreciated. The code you write will need to be cleanly organized and of the highest quality. You’ll also help ensure solid application performance and an excellent user experience.ResponsibilitiesDeveloping new features and user interfaces from wireframe modelsEnsuring the best performance and user experience of the applicationFixing bugs and performance problemsWriting clean, readable, and testable codeCooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutionsJob Type: Full-timeSalary: ₹15,000.00 - ₹20,000.00 per monthSchedule:Day shiftFlexible shiftWeekend availabilityAbility to commute/relocate:Bangalore City, Karnataka: Reliably commute or willing to relocate with an employer-provided relocation package (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred) We are looking for a strong mobile app developer who welcomes both engineering and maintenance tasks. The primary focus will be to implement new user interfaces and features together with automated unit and integration tests.You will be working with our candid and collaborative team, where your knowledge and advice about application architecture and the newest mobile technologies will be highly appreciated. The code you write will need to be cleanly organized and of the highest quality. You’ll also help ensure solid application performance and an excellent user experience.ResponsibilitiesDeveloping new features and user interfaces from wireframe modelsEnsuring the best performance and user experience of the applicationFixing bugs and performance problemsWriting clean, readable, and testable codeCooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutionsJob Type: Full-timeSalary: ₹15,000.00 - ₹20,000.00 per monthSchedule:Day shiftFlexible shiftWeekend availabilityAbility to commute/relocate:Bangalore City, Karnataka: Reliably commute or willing to relocate with an employer-provided relocation package (Required)Education:Bachelor's (Preferred)Experience:total work: 1 year (Preferred) Show more ","Employer Est.:₹180,000 - ₹240,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_54e1beab&cb=1660814442353&jobListingId=1008037184301&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-1a1b07e6a9e4e05f-,NA,NA
Repos Energy India Private Limited,NA,Mobile Application Developer,Pune,"JD: Mobile Engineer - Kotlin and Swift.Who are we looking for?Repos is a technology company which is constantly innovating new technologies, making sure the world benefits from it. We invest and develop advances in technology and bring together the best of the creative people to bring valuable technological solutions.Here’s what we are looking for,Someone who will be responsible for writing clean and efficient codes for Mobile applications. Who will monitor the performance of live apps and work on optimizing them at the code level. Also identify and resolve bottlenecks, rectify bugs and enhance application performance.We are also looking for someone who can contribute in uplifting the music and food choices of the company. Someone who can party at 1AM post work!What will you be doing?You will work closely with the Product, UX/UI and Backend teams to design, build and extend consumer and/or partner facing new products, platforms and features.Collaborate with QA on continuous integration and delivery (CI/CD) as well as other automated and manual testing to make sure our app releases are always worthy of five- star ratings.Monitor the performance of the live apps and continuously improve them on both code and experience level.Evaluate newmobile methodologies and technologies.Build reusable android software components for the platform.What will you needStrong technical Mobile Development.Expert-level knowledge of Java, Kotlin and Swift programming language.Strong problem-solving skills.Experience with launching apps to the App store.Curiosity to tinker around, explore new paradigms and strong zest for continuous improvement.Idea/experience of unit and instrumentation testing in Android E2E App development and/or experience of developing SDKs is good to have.Using some of the latest advancements in the world of Android such as Kotlin, MVVM,Data Binding, Dagger 2, Live Data, Room, and Swift.You should be willing to adapt to change and contribute to the Repos Way .How do we work at Repos?Like an organism!Where no one needs to be prompted to do something, everyone being well aware of their responsibilities, go ahead and do their job as efficiently as they can!We are often asked, “Why should one work in Repos?”And trust us, it is one of the simplest questions we are being asked!Why won’t one want to work with us?1. One will get to be a part of an effective change2. One gets to work with mad, passionate and curious people3. One gets full creative and intellectual freedom to workAt Repos, we are creating a community of youngsters at heart who are chasing their dreams everyday. Which is why we don’t have any motivating “team-building” activities but more calming and balancing activities like meditation!We are a 100% performance driven organism, for we are building leaders who will be responsible for the good changes which will be brought tomorrow!Job Type: Full-timeSalary: ₹400,000.00 - ₹1,600,000.00 per yearJadwal:Day shiftTunjangan:Health insurancePaid time offApplication Question(s):Are you available to join immediately or within a month?Education:Bachelor's (Preferred)Experience:Kotlin: 2 years (Preferred)Swift: 2 years (Preferred) JD: Mobile Engineer - Kotlin and Swift.Who are we looking for?Repos is a technology company which is constantly innovating new technologies, making sure the world benefits from it. We invest and develop advances in technology and bring together the best of the creative people to bring valuable technological solutions.Here’s what we are looking for,Someone who will be responsible for writing clean and efficient codes for Mobile applications. Who will monitor the performance of live apps and work on optimizing them at the code level. Also identify and resolve bottlenecks, rectify bugs and enhance application performance.We are also looking for someone who can contribute in uplifting the music and food choices of the company. Someone who can party at 1AM post work!What will you be doing?You will work closely with the Product, UX/UI and Backend teams to design, build and extend consumer and/or partner facing new products, platforms and features.Collaborate with QA on continuous integration and delivery (CI/CD) as well as other automated and manual testing to make sure our app releases are always worthy of five- star ratings.Monitor the performance of the live apps and continuously improve them on both code and experience level.Evaluate newmobile methodologies and technologies.Build reusable android software components for the platform.What will you needStrong technical Mobile Development.Expert-level knowledge of Java, Kotlin and Swift programming language.Strong problem-solving skills.Experience with launching apps to the App store.Curiosity to tinker around, explore new paradigms and strong zest for continuous improvement.Idea/experience of unit and instrumentation testing in Android E2E App development and/or experience of developing SDKs is good to have.Using some of the latest advancements in the world of Android such as Kotlin, MVVM,Data Binding, Dagger 2, Live Data, Room, and Swift.You should be willing to adapt to change and contribute to the Repos Way .How do we work at Repos?Like an organism!Where no one needs to be prompted to do something, everyone being well aware of their responsibilities, go ahead and do their job as efficiently as they can!We are often asked, “Why should one work in Repos?”And trust us, it is one of the simplest questions we are being asked!Why won’t one want to work with us?1. One will get to be a part of an effective change2. One gets to work with mad, passionate and curious people3. One gets full creative and intellectual freedom to workAt Repos, we are creating a community of youngsters at heart who are chasing their dreams everyday. Which is why we don’t have any motivating “team-building” activities but more calming and balancing activities like meditation!We are a 100% performance driven organism, for we are building leaders who will be responsible for the good changes which will be brought tomorrow!Job Type: Full-timeSalary: ₹400,000.00 - ₹1,600,000.00 per yearJadwal:Day shiftTunjangan:Health insurancePaid time offApplication Question(s):Are you available to join immediately or within a month?Education:Bachelor's (Preferred)Experience:Kotlin: 2 years (Preferred)Swift: 2 years (Preferred) Show more ","Employer Est.:₹400,000 - ₹1,600,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_33e1a2dd&cb=1660814442357&jobListingId=1007878029269&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-4236e89d38755f42-,NA,NA
Brain Star Technologies,5.0,Mobile App Developer,New Delhi,"#BRAINSTARTECHNOLOGIESWe are hiring an experienced developer to help in the design, development mobile applications. The candidate should also have handled the integration of mobile apps with third-party systems and applications. Additionally, someone who is a quick learner & is keen on acquiring new skills in line with the company's needsSKILLS / REQUIREMENTS: · Excellent knowledge of android/iOS· Knowledge of HTML and JAVA script· Help in maintain code quality· Having good knowledge of latest Gradle· Testing and maintenance of appsNICE TO HAVE(Optional): · Good English written & oral communication· Should be flexible with company full-stack environmentEDUCATION: . Bachelor'sBENEFIT: · Flexible Schedule· WFHJOB TYPE:  Full Time/Part Time Interested candidates kindly share their #CV –6239602755Call Between 12:00 TO 6:00PMJob Types: Full-time, Part-timeSalary: From ₹20,000.00 per monthSchedule:Flexible shiftEducation:Bachelor's (Preferred)Experience:Application development: 2 years (Preferred)total work: 1 year (Preferred)Java: 1 year (Preferred)Speak with the employer+91 6239602755 #BRAINSTARTECHNOLOGIESWe are hiring an experienced developer to help in the design, development mobile applications. The candidate should also have handled the integration of mobile apps with third-party systems and applications. Additionally, someone who is a quick learner & is keen on acquiring new skills in line with the company's needsSKILLS / REQUIREMENTS: · Excellent knowledge of android/iOS· Knowledge of HTML and JAVA script· Help in maintain code quality· Having good knowledge of latest Gradle· Testing and maintenance of appsNICE TO HAVE(Optional): · Good English written & oral communication· Should be flexible with company full-stack environmentEDUCATION: . Bachelor'sBENEFIT: · Flexible Schedule· WFHJOB TYPE:  Full Time/Part Time Interested candidates kindly share their #CV –6239602755Call Between 12:00 TO 6:00PMJob Types: Full-time, Part-timeSalary: From ₹20,000.00 per monthSchedule:Flexible shiftEducation:Bachelor's (Preferred)Experience:Application development: 2 years (Preferred)total work: 1 year (Preferred)Java: 1 year (Preferred)Speak with the employer+91 6239602755 Show more ","Employer Est.:₹240,000 ",https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=00000182b0413e49a11bf60c08bd30ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ff94dcfa&cb=1660814442355&jobListingId=1008064627556&jrtk=3-0-1gao42fjp2ff3001-1gao42fkag2ok802-6479958daefcc78b-,"New Delhi, India",1001 to 5000 Employees
