job_title,company,location,job_summary,post_date,more_info,salary,job_url
Senior DevOps Engineer,Cambio Laboral IT,Desde casa,"

About the vacancy
 Our client is a marketing software solutions provider that built an integrated platform of branded marketplaces. Its focus is on the lifestyle vehicle and commercial equipment industries.

 Required Skills and Experience





4+ years of experience in system administration and configuration
Fundamental knowledge of basic AWS services, AWS Command Line Interface (CLI)
Ability to implement quality, reliable, and effective solutions
Experience with cloud and AWS services
Hands-on experience working with Terraform
Strong experience with container technologies and orchestration tools like Docker, Kubernetes
Experience in designing, scaling, and troubleshooting large-scale cloud architectures, ideally microservices-based or event-driven architectures
Knowledge of version control systems (preferably Git)
Problem-solving skills
Experience with various web servers
Good spoken English




 Additional Competencies






Experience in working with multi-account environments in AWS
Experience in migrations and usage of CloudEndure
Experience in building CI/CD using native AWS (CodeDeploy, CodePipeline)
Main cloud providers’ certification (AWS, Azure, GCP)
Familiarity with Agile methodologies



 Benefits

Salary reviews every six months
Bonuses per project + paid overtime
Individual and family medicine
Extended maternity and paternity leave
Three weeks of vacation
Time flexibility and home office
Internal trainings
In-company English clases
Possibility of developing as a speaker at events
Discounts at major IT institutes, gyms, supermarkets, restaurants, among others.
Barbecues in the office, football nights, escape rooms, among others
Daily fruits and salads, breakfasts, snacks, drinks and very good coffee.




",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=a2e8be98aa66cf0e&fccid=fc8b711a7569d750&vjs=3
Especialista Devops AWS,Baufest,Desde casa,"

  En Baufest queremos mejorar la vida con tecnología, por lo que nos encontramos en la búsqueda de un 
  Especialista Devops AWS para sumarse a un desafiante proyecto. Trabajando con un equipo distribuido en todo LATAM de alto nivel.
 


 Responsabilidades



 Desarrollar una infraestructura de trabajo acorde con las necesidades de la empresa.
 Garantizar que las aplicaciones y los sistemas sean y estén seguros. 
Automatizar flujos de integración y despliegue



 Requisitos Principales



 3 años de experiencia en Devops
 Manejo de Contenedores con Docker y Kubernetes (k8s). EKS y ECS de Amazon.
 Despliegue y administración de Infraestructura en Kubernetes (k8s).
 Manejo repositorios AWS de Elastic Container Registry.
 Manejo de “Helm Charts” y construcción de paqueterías “Helm”para su posterior despliegue en Clúster de Kubernetes.
 Generación y administración de Infraestructura como código y gestión de la configuración con las herramientas, de preferencia 
Terraform, Cloud Formation.
 CI/CD: de preferencia Gitlab.
 Desarrollo de Pipelines.
 Scripting: Bash o Python



 Te Ofrecemos



 BAU COMPENSATIONS: Pago parcial de tu sueldo en Doláres. Ajustes trimestrales. Evaluación anual de desempeño y revisión de categorización. 
BAU LUNCH: Recibirás un cupón de Pedidos Ya cada viernes del mes. 
BAU INTERNET: Reintegro mensual parcial de tu factura.
 BAU ANTI-TRAFFIC: En caso de que tu contratación sea en modalidad Híbrida, tendrás opción de elegir tu rango de horario laboral mientras lo avale el proyecto.
 BAU UTLITIES: ¡Luego de trabajar 3 años con la misma notebook en Baufest, será tuya! 
BAU FAMILY: Maternidad y Paternidad. Softlanding para las madres baufesianas y Paternidad (10 días hábiles de licencia) . Flexibilidad horaria planificada;
 BAU HEALTH: Medicina prepaga de primer nivel para grupo familiar; Reintegro trimestrales por actividad deportiva, clases de yoga y Bienestar.
 BAU DAYs: Día de cumpleaños Libre
 BAU ACADEMY: Clases de Inglés in-company; Certificaciones y capacitaciones a cargo de Baufest; Pro Profes (días extra de estudios, premios para estudiantes Universitarios/Terciarios/Posgrados)


",PostedPublicado hace 2 días,,,https://www.indeed.com/rc/clk?jk=d9c0c6c24f206be2&fccid=e29933f5bcfd278d&vjs=3
Devops Analyst,"Fiserv, Inc.","Buenos Aires, Buenos Aires","

Somos FISERV, Fintech líder global en pagos que ayuda a personas y empresas a mover dinero e información cada minuto de cada día. Nuestras soluciones conectan a instituciones financieras, corporaciones, comerciantes y consumidores entre sí, millones de veces al día, de manera confiable y segura. Queremos sumar a nuestros equipos de IT personas apasionadas por la tecnología, con ganas de aportar nuevas ideas y mirada analítica para que seas parte de la experiencia de servicios financieros innovadores que están en sintonía con la forma en que las personas viven y trabajan. Apuntamos a personas que se sientan cómodas en un ambiente dinámico y en pleno crecimiento! Quien ocupe el puesto debera cuplir tareas de Analista, desarrollador, testing y soporte de soluciones Host y Web segun sea la necesidad del momento.



 Soporte a proveedores y clientes internos como externos a la organización.
 Armado de documentación técnica.
 Análisis funcional / Desarrollo / Testing para aplicaciones host y web
 Encargado de implementaciones de aplicaciones host.
 Focal point para incidentes y vulnerabilidades de aplicaciones host.
 Desarrollo de aplicaciones java (preferentemente).

",PostedHoy,Tiempo completo,,https://www.indeed.com/rc/clk?jk=36d2f4e6b38ca1b7&fccid=1ea0475711674f3b&vjs=3
DevOps SSR/SR,Jamcity en la ciudad de Buenos Aires - Argentina,"Buenos Aires, Buenos Aires","En Jam City Argentina estamos buscando: DevOps Ssr  La posición es dentro del departamento de IT.  Requerimientos: Experiencia avanzada como DevOps en: Ansible, Chef, Puppet, en Docker y en el uso de algún tipo de entorno cloud (Amazon, Azure, Google). Conocimientos en redes TCP/IP. 2 - 5 años de experiencia en entornos Linux.  Deseable: Manejo de Python para automatizar, deployar aplicaciones y servicios. Administración de Jira. Inglés avanzado.  Horario de trabajo de: 13 a 21 hs.",PostedPublicado hace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=251ca801461533b4&fccid=dd616958bd9ddc12&vjs=3
Headf DevOps / Sr DevOps Palermo CABA (Argentina) / Bogota (...,Werben Capital Humano,"Palermo, Buenos Aires","
we ignite opportunity by changing agro Supply chain in Latin America. We are a fast-growing technology startup that is revolutionizing the world of agriculture. At Frubana, we connect the countryside with the city through a technology platform that connects the fruit and vegetable producers with their potential buyers of restaurants eliminating intermediaries in the food supply industry.
 We are looking for a Head of DevOps Engineer and a Senior DevOps Engineer with demonstrable hands-on and development experience in cloud based infrastructure and applications
 Requirements
 What you’re like:

You are passionate about software architecture, scalability, self-healing and fault tolerance.
You have an infinite desire to learn about new technologies, microservices, and even OS internals
You value communication, collaboration, and love to share your knowledge with your peers 

What we love you to have (the more, the better):

Expertise in building, deploying, troubleshooting, and supporting software running with focus on AWS but with high expectation on growing an multi-cloud strategy to Azure and GCE
Fan of everything as code!


Comfortable debugging complex running in AWS, troubleshooting RESTful web services, analyzing network traffic over different protocols, and using Chrome Developer Tools


Highly skilled in troubleshooting and optimizing Linux server based application performance
Strong in at least 1 scripting language that we use: Python, Node.js, TypeScript, or Go. Multiple languages preferred
Ability to manage REST services and web applications
Knowledge and experience with Disaster Recovery Planning and implementation
Experience designing appropriate cloud based application monitoring and creating relevant metrics/dashboards/alarming


Preference to work with minimal supervisionConfiguration Management ( Preferiable Ansible)CI/CD (Preferiable Jenkins)Containerisation & Orchestration (Docker, Terraform, Kubernetes…)

 We communicate using Slack, store our code in Bitbucket repositories, we are writing tools to , and build new solutions in the cloud (working in Azure and AWS). If that sounds exciting to you, we want to hear from you !
 Salario en Dólares
 Locacion: Palermo, CABA- Bogotá, Colombia
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=c0f069783f4306ff&fccid=7673def3f47be232&vjs=3
Client Technology: DevOps - Technical Engineering - EY Globa...,EY,"Capital Federal, Buenos Aires","
Engineer II
 Rank: Supervising Associate

 Fueled by strategic investment in technology and innovation, Client Technology seeks to drive growth opportunities and solve complex business problems for our clients through building a robust platform for business and powerful product engine that are integral to innovation at scale. You will work with technologists and business specialists, blending EY’s deep industry knowledge and innovative ideas with our platforms, capabilities, and technical expertise. As a champion for change and growth, you will be at the forefront of integrating emerging technologies from AI to Data Analytics into every corner of what we do at EY. That means more growth for you, exciting learning opportunities, career choices, and the chance to make a real impact.
 The opportunity
 The selected candidate will:
 Leads the delivery of solution or infrastructure development services for a small to medium sized project, using strong technical capabilities. Designs, develops, builds and oversees the maintenance of solutions or infrastructure, driving team compliance with the relevant standards. Fully understands user requirements and translates requirements into design specifications, reviewing the work of others for technical details. If you are passionate about working with modern technologies in a world class organization then this role is for you.
 Your key responsibilities

 Engineer and automate platform solutions to meet and exceed expectations of Product Manager
 Proactively evolve and apply DevSecOps methodologies, standards and leading practices
 Ensure re-use through consumption and expansion of shared platform technology assets
 Apply modern development standards/principles, global product-specific guidelines, security standards, usability design standards, as appropriate.
 Ensure quality through use of manual and automated controls
 Provide direction, training and support for platform/product operations
 Using critical thinking, consider the art of the possible, compare various options based on feasibility and impact, propose measurable plans and roadmaps that balance tactical and strategic needs

 Skills and attributes for success

 Strong technical competency in designing, developing, and debugging solutions
 Strong knowledge of one or more of: SQL, C++, HTML, CGI and JavaScript

 To qualify for the role you must have

 Bachelor's Degree in Computer Science, Engineering, IT, Mathematics, or related field preferred
 5-7 years in an engineering role using service and hosting solutions such as private/public cloud IaaS, PaaS and SaaS platforms.
 3+ years functional knowledge of programming scripting and data science languages such as JavaScript, PowerShell, Python, Bash, SQL, .NET, Java, PHP, Ruby, PERL, C++, R, etc.
 2+ years CI/CD delivery using code management, configuration management and automation tools such as GitHub, VSTS, Ansible, DSC, Puppet, Ambari, Chef, Salt, Jenkins, Maven, etc.
 Experience with any of the following: Azure, O365, Azure Stack, Azure AD
 Multi-system Integration using industry standards such as REST, API, JSON, SOAP, etc
 Some relevant proven experience required, demonstrating working knowledge of relevant software infrastructure platforms (depending on specialism) and understanding of applicable standards 
Communicate fluently in English, both written and verbal
 Excellent interpersonal communication and organizational skills to contribute as a leading member of global, distributed teams passionate about delivering quality services and solutions
 Encourage DevSecOps teams by building consensus and mediating compromises when necessary
 Demonstrate excellent engineering & automation skills in the context of cloud based global platform/product delivery using continuous integration (CI) and continuous deployment (CD)
 Demonstrate ability to learn new and emerging technologies which define engineering standards and produce automation code
 Operational abilities including early life support and driving root cause analysis and remediation

 Ideally, you’ll also have

 Source control Management (git)
 Azure cloud
 ARM Templates
 Scripting (PowerShell or Python)
 Azure DevOps Pipelines
 Agile methodology
 Containers
 Ansible
 AZ400 Certified Preferred

 What we look for

 A self-starter, independent-thinker, curious and creative person with ambition and passion

 What we offer
 As part of this role, you'll work in a highly integrated, globally diverse team with the opportunity and tools to grow, develop and drive your career forward. Here, you can combine global opportunity with flexible working. The EY benefits package goes above and beyond too, focusing on your physical, emotional, financial and social well-being. Your recruiter can talk to you about the benefits available in your country. Here’s a snapshot of what we offer:

 Continuous learning: You will develop the mindset and skills to navigate whatever comes next.
 Success as defined by you: We will provide the tools and flexibility, so you can make a significant impact, your way.
 Transformative leadership: We will give you the insights, coaching and confidence to be the leader the world needs.
 Diverse and inclusive culture: You will be accepted for who you are and empowered to use your voice to help others find theirs.

 We ensure that individuals with disabilities are provided reasonable accommodations to participate in the job application or interview process, to perform essential job functions and to receive other benefits and privileges of employment. Please contact us to request accommodations.
 EY is committed to being an inclusive employer, and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.
 If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.
 Make your mark.
 Apply now.

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=dfef3f53c0f0e703&fccid=1544766d4c2915b0&vjs=3
Analista DevOps y Seguridad Ssr,Baufest,Desde casa,"

En Baufest queremos mejorar la vida con tecnología, por lo que nos encontramos en la búsqueda de un Analista DevOps y Seguridad Ssr para sumar a nuestro equipo con ganas de aprender las mejores prácticas para desempeñarse en una importante empresa de Retail.

 Responsabilidades:


Diseñar, construir y mantener soluciones de infraestructura, integración, despliegue y monitoreo, realizando automatizaciones e implementando buenas prácticas


 Requisitos Principales:


+3 años de experiencia diseñando e implementando soluciones de infraestructura y servicios cloud.
+1 año de experiencia trabajando en equipos ágiles, implementando prácticas de versionado de código, integración y despliegue continuo.
Experiencia Kubernetes
Experiencia en desarrollo con leguaje PHP, NodeJs y Python
Experiencia en implementación y mantenimiento de arquitecturas cloud (Azure, AWS)
Conocimientos en infraestructura como código, networking y seguridad.
Conocimientos en análisis SAST y DAST.
Aplicar las mejores prácticas de seguridad dentro de los pipelines. 
Experiencia en integraciones entre sistemas cloud y on premise 


Requisitos Deseables:


Inglés intermedio.
Habilidades de comunicación para interactuar con compañeros. clientes (tanto perfiles técnicos como de negocio) 


Te ofrecemos:


BAU COMPENSATIONS: Pago parcial de tu sueldo en Doláres. Ajustes trimestrales. Evaluación anual de desempeño y revisión de categorización.
BAU LUNCH: Recibirás un cupón de Pedidos Ya cada viernes del mes.
BAU INTERNET: Reintegro mensual parcial de tu factura.
BAU ANTI-TRAFFIC: En caso de que tu contratación sea en modalidad Híbrida, tendrás opción de elegir tu rango de horario laboral mientras lo avale el proyecto.
BAU UTLITIES: ¡Luego de trabajar 3 años con la misma notebook en Baufest, será tuya!
BAU FAMILY: Maternidad y Paternidad. Softlanding para las madres baufesianas y Paternidad (10 días hábiles de licencia) . Flexibilidad horaria planificada;
 BAU HEALTH: Medicina prepaga de primer nivel para grupo familiar; Reintegro trimestrales por actividad deportiva, clases de yoga y Bienestar.
BAU DAYs: Día de cumpleaños Libre
BAU ACADEMY: Clases de Inglés in-company; Certificaciones y capacitaciones a cargo de Baufest; Pro Profes (días extra de estudios, premios para estudiantes Universitarios/Terciarios/Posgrados);
BAU HOME: Luego de 2 años en Baufest, si tienes que cambiar tu residencia y mudarte recibirás una orden de compra para acompañarte en este gran paso.
Excelente Clima Laboral ¡Estamos dentro de los 5 mejores lugares para trabajar de acuerdo a la encuentra Great Place to Work!

 ¡Te esperamos!


",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=5070786bed97a4e5&fccid=e29933f5bcfd278d&vjs=3
DevOps,SUMATE,"Villa Crespo, Buenos Aires","

Como DevOps, vas a sumarte a un gran equipo con proyectos desafiantes, dinámico, innovador, en constante crecimiento y mejora.
 
En esta posición vas a poder:
 

Capacitarte en las últimas tecnologías
 
Trabajar con metodologías ágiles
 
Fomentar las invenciones
 

Si sos una persona que:
 

Buscas desafíos y trabajar por objetivos
 
Busca formar parte de un equipo horizontal
 
Con facilidad para el trabajo en equipo y la colaboración
 

Si tu perfil incluye:
 

Docker
 
Git
 
Build tools: Idoneidad con al menos uno de: Maven, SBT, Gradle, Grunt, Gulp
 
Bases de dato: DBs relacionales, NoSQL como Redis, Mongo, o similares
 
IC/CD 
    
Experiencia con al menos uno de: Jenkins, Bamboo, Travis

Scripting 
    
Fundamentos de programacion (paradigma imperativo, orientado a objetos o funcional)
Experiencia con al menos un lenguaje de scripting (Python, Ruby, Bash, Perl, etc.)

Fundamentos de operación de sistemas abiertos 
    
Linux / UNIX
Networking TCP / IP

Experiencia con herramientas de orquestación y automatización de configuraciones 
    
Ansible / Puppet / Chef / Terraform

Metodologías ágiles y su relación con prácticas ágiles de ingeniería (integración continua, testing automatizado, refactorización frecuente, infraestructura inmutable, etc)
 

Lugar y horario de trabajo:
 

CABA, Villa Crespo, Lunes a Viernes. Full time
 

 
La empresa ofrece oportunidades reales de crecimiento
 

 Deep RH – Unimos personas


",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=5e3a63e331c4afeb&fccid=7c22ce544db03dd2&vjs=3
Devops - Importante Banco Internacional,ITSM Consulting,"Capital Federal, Buenos Aires","
Para Importante banco de renombre internacional estaremos seleccionando un Devops, para sumar de manera DIRECTA a su equipo de trabajo.

 Tu desafío será:

Crear, mejorar y dar soporte y seguimiento continuo de cada uno de los pipelines utilizados por las diferentes áreas de la empresa.
Colaborar con todas las áreas en la definición de nuevos procesos y su mantenimiento. 
Colaborar con los equipos de desarrollo, infraestructura y equipos globales. 
Construir y mantener una automatización de canalización de CI/CD.
Automatizar procesos. Implementar y adaptar nuevas tecnologías.


 Requisitos del puesto:

Experiencia en procesos ágiles.
Experiencia en administración y mantenimiento de servidores Linux/Unix y Windows.
Experiencia en herramientas de CI/CD. (Jenkins, Docker)
Conocimientos en gestión de código con Git.
Conocimientos de despliegue de aplicaciones en kubernetes con yaml.
Conocimientos en lenguajes de scripting. (shell script)
Conocimientos en herramientas de automatización. (Ansible)
Conocimientos en herramientas de evaluación de Código. (Sonar).
Lenguajes de programación (Python, Java, Groovy) (deseable).
GItFlow (deseable).
Herramientas Puppet, Cucumber, Jacoco, Nagios, Storm. (deseable)


 Algunos beneficios:

3 Programas de capacitación continua.
3 semanas de vacaciones desde el inicio.
Ayuda con estudios formales, ayuda familiar.
Ayuda con créditos y prestamos.
Bono anual de desempeño.
Bono anual de día de bancario.
Tarjeta regalo.
Precio diferencial en créditos.
Gimnasio bonificado.
Posibilidades de intercambio al exterior.
Y muchos mas!!


 Zona de trabajo: Esquema mixto flexible o Remoto.
 Horario: Lun a Vier, flexible, Full-time.
 Contratación: DIRECTA con el banco.
",PostedPublicado hace 3 días,,,https://www.indeed.com/rc/clk?jk=033277151138ac19&fccid=b30d3d2563d1aa72&vjs=3
DevOps Engineer,"JPMorgan Chase Bank, N.A.","Buenos Aires, Buenos Aires","
Job Responsibilities


Requirements-gathering, architecting, and designing infrastructure systems and tools 
Developing software systems in Python 
Integrating best-of-breed tools and technologies such as Kafka, Zookeeper, Docker, Ansible, Jenkins and AWS 
Developing platforms and frameworks to automate business and technology processes 
Collaborating with internal technology, research and portfolio management teams 

Our ideal candidate will possess detailed knowledge of operating system fundamentals. Familiarity with existing open-source software packages and the DevOps toolchain and able to work independently with minimal direction. Be an analytical thinker with exceptional problem solving skills.   BAGTIDB
 J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
",PostedPublicado hace 2 días,Indefinido +1,,https://www.indeed.com/rc/clk?jk=271ad514255f8af1&fccid=aaf3b433897ea465&vjs=3
