job_title,company,location,job_summary,post_date,more_info,salary,job_url
Devops Engineer,IOOF Holdings,Sydney NSW 2000,"







Date: 02-Sep-2022 
      







Location: Sydney, NSW, AU, 2000 
      







Employment Type: Permanent Full Time 
      








The Role
As a DevOps Engineer, you will be responsible for maintaining the MLC online platform components deployed into AWS. This includes the tooling and pipelines used to provision environments as well as the environments themselves.


The DevOps Engineer will create and manage the development systems, structure, tools, and resources that support our infrastructure and assets as well as support their ongoing function ensuring teams are able to develop at pace. Occasional administration tasks such as environment patching and re-provisioning, as well as the creation of supporting tools and assets such as certificates is a core part of the role.


The successful applicant will have a strong interest in automating repetitive tasks and a willingness to learn new skills and technologies as the platform develops, with a view to making the development experience of our team a positive one.


Key Responsibilities:

Work with our software engineers to design, automate, deploy, monitor and continuously improve all our environments, tools, and processes
Help maintain source code management, continuous test, and deployment services for our engineering department
Monitor and optimise our environments and where possible cost optimisation
To provide guidance to junior team members & developers
Collaborate with the team to improve engineering tools, systems and procedures
Automate and streamline as much as possible
Improve our build scripts and enhance our pipelines
Certificate management


 
To Be Successful in This Role You Will Possess:

2+ years relevant experience.
Postgraduate qualifications appropriate to the technical level.
Exposure to Java Development.
Comfortable with Linux systems administration.
Experience building and maintaining cloud infrastructure with a focus on web applications.
Professional experience on operating Amazon AWS Cloud (EC2, VPC, VPN, EBS, S3, Route53, IAM, AWS CLI etc).
Exposure to automation of AWS resource creation using CloudFormation/Terraform templates.
Experience with continuous delivery environments like Jenkins or TeamCity.
Comfortable with Bash, Python, and Ansible.
Experience with Docker/Containers and an understanding of SSL Certificates would be beneficial.



Benefits

In return, we offer development opportunities at an ASX top 200 company
A professional, supportive, and friendly culture
A range of corporate and lifestyle benefits


 
The Business
IOOF is one of Australia’s largest financial services companies and we offer a full range of products and services, including financial advice, platform management and administration, investment management and trustee services. The IOOF Group has been helping Australians secure their future since 1846. During that time, we have grown substantially to become a leading provider of quality financial services. We now manage and administer more than $200 billion of client monies and are listed on the Australian Securities Exchange in the ASX top 200 (ASX:IFL).


To Apply


Applicants will be required to provide evidence of their eligibility to work in Australia, and at a minimum be required to undertake police and basic credit checks as a condition of employment.


Please note that applications from agencies will not be considered at this time.


IOOF is an inclusive and equal opportunity employer. We encourage applications regardless of race, ethnicity, age, religion, gender, national origin, disability status, or any other characteristic protected by law. If you need assistance or an adjustment during the application process because of a disability, it is available upon request.


Given IOOF is currently undergoing an Organisational Design process, please be aware that it is anticipated that organisational change will occur.







",PostedToday,Permanent +1,,https://www.indeed.com/rc/clk?jk=7e16f1a9e5d85de5&fccid=3692a86df6e0a0cf&vjs=3
DevOps Engineer,FinXL,Hybrid remote in Sydney Central Business District NSW,"






       Location:
      

       Sydney CBD, New South Wales
      




       Job Type:
      

       Contract
      




       Specialisation:
      

       Banking & Financial Services 
      




       Salary:
      

       AU$850 - AU$900 per day
      




       Reference:
      

       CR/016632_1661752687
      









Our client, a large Sydney CBD based finance institute, is looking for a DevOps Engineer.
 About the role

 Deliver and support data lineage project
 Work on internal on Prem Information Management platforms
 Take part in Agile ceremonies

 Skills and experience

 Expertise with data lineage
 Good knowledge of Bit Bucket, Jenkins and Chef
 Hands-on experience with public cloud (AWS, Azure or GCP)
 Understanding of Linux operations and Unix scripting
 Knowledge in IT security, back-ups and recovery highly regarded
 Very good communication skills and keen learner

 What's on offer

 12+ months' engagement working at one of the big banks
 Hybrid work with 1-2 days per week in the office

 What's next
 If you would like to be considered, please click the apply button or call Julia Leung on 02 8243 6808.
 Who we are
 FinXL IT Professional Services is an established, innovative Australian company, providing technology enabled business solutions and consulting services across a number of industries. These include; Government, Telecommunications, Commercial and Finance. We currently have more than 1200 consultants assisting our clients across Australia and are continuing to grow at a rapid pace. Through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights.


",PostedPosted 4 days ago,$850 - $900 a dayContract +1,$850 - $900 a day,https://www.indeed.com/rc/clk?jk=4e502fda79b4d12f&fccid=ac03a1f83ad84e54&vjs=3
DevOps Engineer,HUMANISED GROUP,Brisbane QLD,"
**Not the right job for you? That’s okay, we are offering $500 to anyone you refer to us that we successfully place**
 About the company:
 Our client is an established and recognised employer located within a 2km radius of the CBD, their culture would be described as unique and vibrant, they love to have a laugh. Due to year on year growth, they are seeking a DevOps Engineer that wants to impart their knowledge and help take the team and projects to the next level!
 About the Position: Coming into this team you will help to breed their DevOps & automation culture and lead projects. As this team is responsible for everything that is cloud you will be required to articulate complex problems and solutions between development and management teams.  About you 

A well-seasoned AWS guru (certs are advantageous).
Strong scripting experience in multiple languages ie Python, Java, Perl or Bash
Significant exposure across automation eg. Puppet, Ansible, Chef etc
Experience running highly available web applications on Linux servers
Experience with Continuous Integration and source code management tools (Jenkins, Bamboo, Git, Stash and Github etc
Microservices Architectures and Containerization and Orchestration
This position would best suit somebody from a Dev background
Solid Stakeholder engagement with clear communication skills
Reside in Brisbane
4 + years’ experience working in DevOps

What is in it for you? 

Yearly salary reviews (everyone within the team has received them on a consistent basis)
Bonuses
Specific budget for certs
Involvement in conferences
Great social activities
Close to Public Transport

Where to next? Want to know more, call Jareth (0412 540 973) or email joades@humanisedgroup.com  **Not the right job for you? That’s okay, we are offering $500 to anyone you refer to us that we successfully place**
",PostedPosted 2 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=e312dc9ac1b9c93a&fccid=f2b18c97fd28e4b1&vjs=3
Junior DevOps Engineer,Sandstone Technology,Remote in North Sydney NSW,"
Sydney

 
Before “fintech” was a thing, our founders were dreaming up new ways to transform banking, simplifying the customer journey and the employee experience.
More than 26+ years later Sandstone Technology is still leading the charge, innovating and evolving as the industry evolves. Our high client retention rate is our proudest achievement with 40 financial institutions across Australia, New Zealand, Asia and the United Kingdom placing their trust in our solutions.
From digital banking and digital onboarding to origination and AI-based data analysis, with cloud-based or on-premise deployment, we create flexible, robust, end-to-end solutions using a multi-channel approach that gets our clients to market faster.
At Sandstone, our people are our number one asset and we believe in providing opportunities for our people to develop and grow their careers through our training and development programs, mentoring and on the job coaching. Our employees enjoy a healthy work life balance with a number of social activities planned throughout the year, to relax and celebrate successes!

 
The Role
Sandstone Technology is a leading Australian Fintech and provider of award-winning digital origination, banking, and lending automation solutions.
We are seeking a highly technical individual to join the Platform Operations squad, within our Sandstone Platform Services division.

 
Key Responsibilities include:

Provide regular internal stakeholder updates
Maintain up to date documentation
Ensure operational efficiency, reliability and security of the SCS Platform
Become a DevOps advocate to our clients and help realise efficiency benefits for Sandstone
Conduct analysis and review of identified technology processes and provide recommendations for improvement
Provide operations support for hosted products as part of the Cloud services offering
Drive operational efficiencies through automation of repetitive tasks
Available for 24/7 on-call roster on rotation.



About you

1-2 years of experience in a DevOps, Systems Engineering or Software Developer role
Understanding of software development lifecycle
Experience with a programming language
Experience in production critical environments
Understanding of security best-practices
Experience working with AWS (or Azure/GCP)
Good understanding of TCP/IP Networking concepts
Enthusiastic learner, who enjoys keeping abreast of industry developments
Energetic and highly outcome focused
Exposure to Ansible, Terraform, Cloud Formation and/or Kubernetes, Docker, Packer, Git is advantageous but not essential
Experience with scripting languages such as Python and/or BASH is advantageous but not essential




Why Sandstone?

Career development planning and opportunities to achieve certifications such as SAFe, AWS
WFH allowance
Access to training resources and allocated time off for additional training of your choice
Flexibility and work/life balance



 If you like the sound of this challenge and you are interested in working with us, apply now with your CV!


",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=ae030a4f5f89c1b8&fccid=06f891e8a3a3d25e&vjs=3
Senior Devops Engineer,"Orygen, The National Centre of Excellence in Youth...",Melbourne VIC,"



   Orygen Digital Melbourne Contract 
   1/9/2022 


Parkville location | Close to tram, train and onsite parking
Full time 12-month position available | 1.0FTE
Flexible working arrangements available


   Your new job
   
 The Senior Devops Engineer drives the innovation of the infrastructure behind MOST and takes ownership of the infrastructure roadmap. They are responsible for the performance, availability, security and cost of application services at an operational level – from supporting internal development activities through to production.
   
 Reporting to the Head of Engineering, Orygen Digital you will:
   

Work on the continued development of the Moderated Online Social Therapy digital mental health web platform.
Drive innovative leadership, with general direction and collaboration from Head of Engineering, to owning and implementing the DevOps roadmap, ensuring alignment with other team leads and broader strategic Engineering goals.
Assist in determining the decisions made by the development team.
Provision, integrate and maintain AWS services and technology integration
What you’ll need
   
 You are passionate, energetic and determined to make a difference to health and wellbeing outcomes for young people. The following criteria must be met for consideration for this position:
   

Significant commercial development experience and Proven experience in commercial Devops.
Proficiency with the AWS ecosystem – ECS, IAM, EC2, RDS, Route53, Lightsail, API Gateway, Cloudformation.
Proficiency with development environments and CI/CD automation.
Proficiency and experience of security considerations, implementation and best practices.
Ability to problem solve and exercise high level judgement when performing development activities and where issues require escalation.
What you’ll get in return
   

Salary package between $120,000-$140,000 commensurate with skills and experience + 10.5% super + NFP salary packaging up to $15,900.
Ability to purchase additional leave; access to EAP; generous Parental Leave Scheme.
Flexible work to suit your lifestyle and access to policies and tools that support this
Orygen – leading the revolution
   
 Imagine a future with unlimited potential. A future where every young person enjoys optimal mental health as they grow into adulthood. At Orygen, this is our life’s work, because we passionately believe it’s what all young people deserve.
   
 Every step of the way, young people and families are at the heart of everything we do. Always. Through world-leading research that creates change. Through pioneering reform that delivers real-world practical solutions.
   
 At Orygen, that’s the future we’re creating right now. To do it, we have revolution in mind.
   
 Join the revolution
   
 If you’re keen to join Orygen and be part of our team challenging the status quo and reshaping the future for young people, apply now.
   
 For more information and to review the position description, please follow the link
    https://www.orygen.org.au/getmedia/733031d5-d6d1-48bf-bbe0-8a0cfaf1fb60/Orygen-Digital-Position-Description-Senior-DevOps-Engineer-072022.pdf.aspx
   
 This is a full time 12-month contract. 
   
 Applications will close on 29th September 2022, unless a suitable candidate is found sooner.
   
 Orygen is dedicated to gender equality, diversity and inclusivity. We strive to continue to build a culturally safe workplace where our values underpin the way we work and our commitment to First Nations people of Australia, young people and their families, LGBTIQA+ people and CALD people. We strongly encourage applications from the First Nations people.
  


",PostedPosted 2 days ago,"$120,000 - $140,000 a yearFull-time +2","$120,000 - $140,000 a year",https://www.indeed.com/rc/clk?jk=090902dea1108a04&fccid=9543b39a6597415e&vjs=3
DevOps engineer,Relie Check,Sydney NSW 2000,"
Skills:


Experienced cloud practitioner working with software-defined infrastructure 

Manage and implement strategy and policy for rapid startup-scale product deployments 

Manage, develop and improve operational and team-based security practices 

Requirement:


Technical implementation skills and/or software engineering or scripting skills 

Any certification in AWS (desirable) 

Suitable candidate:


IT security professionals (technical) with 3+ years experience 

IT infrastructure professionals (technical) with 3+ years experience 

Senior software engineers 

Package:


$90-100k + super + bonus scheme


",PostedPosted 30+ days ago,"$90,000 - $100,000 a year","$90,000 - $100,000 a year",https://www.indeed.com/rc/clk?jk=32546bc6ab572adf&fccid=20c7d499f5de99b9&vjs=3
DevOps Engineer,S&P Global,Remote,"
About Us” 
 IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global economies. Our company partners with clients in business, finance and government to provide the unrivaled insights and perspectives that lead to well-informed, confident decisions. We call this The New Intelligence. IHS Markit serves more than 50,000 key customers in more than 140 countries, including 80 percent of the Fortune Global 500. We help decision makers apply higher-level thinking to daily tasks and strategic issues across a host of industries and disciplines including energy, finance, automotive, engineering, technology, maritime and trade, aerospace and defense, chemical, and economics and country risk. 
 Headquartered in London, IHS Markit (NYSE: INFO) is committed to sustainable, profitable growth.  For more information please visit https://ihsmarkit.com.   Your Role 
 We offer you an excellent opportunity to: 

Develop and maintains mission-critical financial services systems. 
Handle Deployment, automation, management and maintenance of AWS cloud-based production system 
Define and deploy systems for metrics, logging, and monitoring on AWS platform 
Design, maintain and manage tools for automation of different operational processes 
Automate security controls, governance processes, and compliance validation on AWS 
Participate in architecture and software development activities. 
Provide direct and responsive support for urgent incidents. 
Informally train and share AWS knowledge within the team 
Integrate with, and works as part of the company's technology team 
Work with advanced tools and methodologies 
Be part of a top team, grow rapidly and expand areas of expertise in the Fin-Tech world 

 About You 
 If you have those: 

At least 3 years of Industry experience with DevOps or similar role. 
Experience working on cloud providers AWS/Azure/GCP and managing Infrastructure as code on them preferably using AWS CloudFormation and Terraform. 
Experience with container orchestration services, especially Kubernetes/OpenShift, Docker. 
Experience with deploying and administering Kubernetes/OpenShift/AWS EKS clusters. 
Experience with infrastructure scripting solutions using Python/Go, Chef (with or without AWS OpsWorks), ansible etc. 
Experience administering and deploying development CI/CD tools such as Git, GitLab, or Jenkins. 
Familiarity with Elastic Search and managing Relational Databases on Cloud. 
Familiarity around monitoring tools like new-relic or other open source alternatives. 
Excellent oral and written communication skills with a keen sense of customer service. 
Excellent problem-solving and troubleshooting skills. 
Process-oriented with great documentation skills. 
Knowledge of best practices and IT operations in an always-up, always-available service. 


What we offer 

The salary levels paid in the company are competitive and attractive in relation to the market 
There is a generous package of conditions that includes benefits such as: financing a gym, comprehensive health insurance, participation in the company's options program (traded on the stock exchange) and more ... 
We are flexible when it comes to combining work from home and office and in any case, we believe in a healthy balance between the two 
The work environment in the beautifully designed offices in Israel combined with the charming staff, make our company a wonderful place to belong to 

- 

Equal Opportunity Employer: 

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. 

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.   US Candidates Only: 
The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.
",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a5161cbb2cd0d027&fccid=b716e44d2c6283e7&vjs=3
DevOps Engineer,Accenture,Brisbane QLD+4 locations,"
Do you have your head in the Cloud?

Reimagine what’s possible. Fast-track your future.
Work and learn from the best people everyday
Be yourself at work

 At Accenture Cloud First, we’re looking for people who live and breathe Cloud. Inventive, imaginative and optimistic people, whose heads are filled with the possibilities of Cloud technology, with the technical ability to make them happen. People who don’t want to even think about settling for an ordinary Cloud career. People who want to fast-track their future and work on amazing projects with global impact.
 We have a number of opportunities coming up in Cloud and DevOps and if you would like to explore these opportunities, we would love to hear from you.




Key Skills:


Experience in Cloud technologies - Azure/ AWS/ GCP
Container Technologies such as EKS, Docker, Kubernetes
Building CICD pipelines
Scripting and Automation
Infrastructure as a code using either Terraform or CloudFormation
Other tools of interest include Ansible, Puppet, Chef, Git, Maven, Openshift.



 Desired:


Red Hat experience
Specialization in data, machine learning, or enterprise applications
DevSecOps



 About Accenture
 Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.

 At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.
 We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.
 We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.
 Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement.
",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=72a7f5789394967e&fccid=a4e4e2eaf26690c9&vjs=3
Cloudera DevOps,DNA Client,Sydney Central Business District NSW,"
Work for a leading organisation firm in Sydney with big projects in mind particularly in Big Data implementation.
 As Cloudera DevOps, you will be part of the overall data team, and will have involvement in multiple projects to deliver a data service to within the organisation.
 Responsibilities

You will be working end-to-end to uplift and improve the existing release processes and pipelines for the data warehouse and big data/DW environments using DevOps tools and techniques
You will look at the current CI/CD capabilities by evaluating their release processes, pain points, and practices.
You will have development experience across a range of cutting-edge tools and technologies including Teradata, Informatica, Hadoop, Spark, Scala, Cloudera, and many more.
You will come from an enterprise commercial background with the ability to interact with the business to tailor solutions accordingly

Essential skills and experience

At least 3+ years implementing DW and Big Data solutions
Implement agile based CICD processes & tools for deployments
Hands on Experience with: Teradata, Oracle, Informatica, Hadoop, Spark, Scala, Cloudera.
Knowledge on AWS or Azure platforms
Strong technical knowledge of metadata, data integration and BI analytics tools.

If this sounds like you, then send your CV and covering letter through to the following email address: matt@matts175.sg-host.com
",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f7530f41315abe87&fccid=49fe0422209c83a2&vjs=3
DevOps Engineer,One Stop IT Talents,Remote in Melbourne VIC,"
Excellent opportunity for DevOps Engineer with significant experience in AWS and cloud technology stack to support the strategic direction of one our leading client within Fintech space. This role is a permanent full time role, based in Melbourne CBD (WFH)
 As a DevOps Engineer, you will work with the development team to manage the build, release and operational support processes critical to supporting the applications.
 Your role and responsibilities will be:

 Develop solutions across build engineering, cloud migrations, containerisation and configuration management practices
 Responsible for Continuous integration (CI) and Continuous Delivery (CD) process implementation
 Perform branching, tagging, release activities on version control tools
 Perform and deploy builds for various environments like QA, Integration, UAT and production environments
 Work with containerisation tooling and orchestration across different
 Ensure all components are built to provide quality, security, scalability, stability, efficiency and reliability


 Required Experience:


 Strong DevOps experience within an IT enterprise environment that is comprised of AWS and on-prem systems.
 Scripting language preferably Powershell, Go, Bash or Python.
 In depth knowledge and experience with containerisation and associated tooling such as Docker and Kubernetes, ECS, EKS, etc.
 Experience in continuous integration and continuous delivery (CI/CD), environment automation, release automation, virtualisation, infra as a code and metrics tracking.
 Config management (at least one)- Terraform, Puppet, Ansible, Chef or Saltstack
 Build and deploy experience on platforms such as Buildkite, Jenkins, Travis CI, Bamboo, GitLab, TeamCity, Artifactory, Nexus etc.
 Working with or implementing of monitoring and logging solutions like ELK, Splunk, AppDynamics, Sumo Logic, New Relic etc.
 Previous experience working with a cloud environment (ideally AWS, Azure or GCP)

",PostedPosted 8 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=c8972f4d124d6d53&fccid=5f23d5ae11d48432&vjs=3
