job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Engineer,Yesplan,Thuiswerken in Gent,"We are looking for a DevOps Engineer who can’t choose between their love for development and operations to help us build the most elegant automated cloud provisioning and deployment for our enterprise SaaS venue management software: Yesplan.
Yesplan is an intuitive venue management web application. We are the leading software system for small and large theaters, concert halls and event venues in the Benelux and expanding in Europe, the U.S. and beyond. We strive for our users to enjoy using Yesplan, through intuitive and attractive design. Yesplan is continuously evolving software; we integrate with key apps and have an open API.
As a DevOps engineer at Yesplan, you will join the Product & Engineering team. Together with your colleagues, you will be responsible for all our DevOps needs: managing deployments, monitor the infrastructure, improve our CI/CD stack and help us automate tasks across the entire company. Even though your focus will be on the operational side, you will get plenty of opportunity to write new code, implement new features and improve the existing code.
We strive to deliver high quality through agile software development. If you've already done pair programming, code reviews, and daily stand-ups, and are committed to a DevOps culture with shared responsibilities, you'll probably fit right in. We're looking for a team player who isn't afraid to express their opinion. It's through the continuous exchange of ideas and the occasional constructive discussion that we reach the best decisions for our product, our customers, and our team.
You have:

Excellent knowledge and experience with Linux (We run most of our infrastructure on self- managed Linux virtual servers delivered by our hosting partner in an IAAS cloud environment);


Knowledge and experience in cloud provisioning and SaaS software deployment (We are running our deployments with Ansible, Terraform, Google cloud services, etc...)


Experience in automation and writing scripts (You are a wizard in writing shell scripts to automate every aspect of our operational infrastructure and our CI/CD stack);


Software development skills (You know a programming language or two);


A bachelor degree (or higher) in Computer Science.

You are:

Curious, and committed to top-of-the-line work;


An aficionado of continuous delivery and all things automated;


In tune with the latest developments in technology;


Comfortable taking on a multi-functional role: from development, to testing, deployment and support;


Able to work well independently and as part of a team.

We're offering you:

An innovative challenge in all operational aspects of our SaaS software:


A loose, open and non-corporate working environment, in one of the coolest offices in Gent, easily accessible by public transport;


A full-time, permanent contract, 38h/week, flexible working hours and the possibility to work from home;


A competitive salary package including extra benefits

Job Type: Full-time
Salary: €3,152.00 - €4,729.00 per month
Benefits:

Cell phone reimbursement
Company car
Company computer
Company phone
Eco vouchers
Flexitime
Food allowance
Hospitalization insurance
Internet reimbursement
Life insurance
Retirement plan
Work from home

Schedule:

Flexible hours

Supplemental pay types:

13th month salary
Vacation money
",Employer5 dagen geleden actief,€3.152 - €4.729 per maandVaste Jobs +1Flexibel werkrooster,€3.152 - €4.729 per maand,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp3z91wqn8nl0IDC7q8ucZ5DHl9filAf7w07P4p8QzPyx7O2Y9tPIhRehvH91pvNSmOFGFI7kPCiQj5TM1fI3V388d2SMs5yQdvNSWFgcwRG0GUe6g7LvWZnz0BmLqeU-6BokY2tkFnpyyqsl1IcVtx5P5VO3RvEZ_x5OWxXRPOCchfrMcpJFM2AEGSFjDm8aAXph7a-ggWaHBCGrUhk95mOJ80Rosm3VcABgfK6AGn2kXRhySA4y5bEk540t5zRxcT8YV5woGHEJqrHk9ZJ7Yz1Uu6nFrbnj29k-3wmyOFhJ_0IM4ijg0saiXcJJXjdACVN4mXS0Nt_ka8L55uBkXkJfxm5XPSjzq6nim8s6tqOqXOSeHzMHSlDVYWB8teDd0cTHWJZDlYOHw7bji6KQmZnND691UfKDbkp_7EmL5OIvblvCBoYVAPh2cxxjtS7gPEGgirOpZXp0tY2qIJXg0&xkcb=SoCo-_M3ZBcuGRQHmR0LbzkdCdPP&p=0&fvj=1&vjs=3
DEVOPS EXPERT,Ordina,Mechelen,"





M / V / X









Als DevOps expert begeleid en adviseer je klanten op vlak van innovatie en het stroomlijnen van hun delivery en development processen. Bij gevolg ben je mee verantwoordelijk voor het genereren van extra business value. Je staat jouw klant bij in het end-to-end DevOps proces zowel in cloud native/hybride als traditionele architecturen. Je neemt het voortouw bij de implementatie en integratie van best practices waaronder automatisering, prestatieverbetering, betrouwbaarheid en ondersteuning aan development- en performance team. Daarnaast houd je de vinger aan de pols van nieuwe technologieën op vlak van Azure, Cloud en DevOps. Je kan op zowel technisch- als strategisch niveau meedenken. Als knopendoorhakker kan je jouw beslissingen feilloos beargumenteren.






    Wie we zoeken 
   


Je hebt ervaring met container technologieën: Kubernetes, Docker, Draft en Helm
Je hebt ervaring met infrastructuur automatisatie: ARM, Terraform, Pulumi, PowerShell, Azure CLI en Bash-scripting
Je hebt ervaring met continuous integration and deployment processen in Azure DevOps / Team Foundation Server
Je hebt kennis van verschillende source control systemen: TFVC en Git
Je hebt ervaring met package en configuration management: NuGet, JFrog Artifactory en Nexus
Je hebt kennis van Site Reliability Engineering
Je hebt ervaring met monitoring- en alerting technologiëen
Je hebt ervaring in agile en continuous delivery
Je hebt een goede kennis van Azure







    Wat we bieden 
   


Je werkt aan projecten voor Belgische topbedrijven
Je werkt in een hightech omgeving met focus op kennis en innovatie
Je collega’s zijn down to earth en hebben een can do mentaliteit
Je kennis blijft up to date dankzij workshops, trainingen en (internationale) conferenties. Hierbij word je ondersteund bij het behalen van certificaten
Je geniet van voordelen zoals een bedrijfswagen, laptop, telefoonvergoeding, maaltijdcheques, verzekeringspakket, …
Je kan je nettosalaris optimaliseren dankzij onze IP-reward




",Posted30+ dagen geleden,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C97jlleHkaS62wmEBnGWA7E7i7IJFw9JSeSn7ESjwWsIQrg3loqiTV8YqsEUhWkzKQl3Dp2_ov2kxVhy8Fy-PJfJccC2xW_bV-DRDL--isGIThMX-3qb2JQzgU6FL7TmUxe4CL1a7zoEsfslRozenwbMNClm_1RyPEbyuZ-7UpPNlzrZnGj-GbW_ZdrxgzOyDmB0qiT0Id_dEp7-BaTTubZKMqRXsdWi-bbWON1YsU_OcnhZh6OZvMsTxTAU7axLGziaGF0WhRtTgpmw9yyaj4tBAKwy2MMNJVS1m5VJ8RigDlOA_y3DVv1wqycI0KDADIuWtzekTTpSPFVKhG6Ch1p_py9Ne4WZ_3SODHd_geu0onrY6nLcbKniKWnH3AOGH5vJsvPXOtOemN1sWNLRHjfGFMeM3Wx9tGuVJdL5mIDyWQ3CmWX43qZ_EiWjwqPnQO1-poKq6UxOCQETGdejoOHgolX8hNAljJ1bjVnN3Fnc2oQ2OaDA9GbtwdiQacJ-K_4A9dn1ldpeeW0meHD2F_11vwVPKmoa0m9ciRvUna0FE01a_FZuDcjRQTXGk3czyIlybKCJMEBXZWG_adVPqSvAtyZRdNFH1J-xoXbpYb8bwgkxHFCOSr&xkcb=SoAc-_M3ZBcuGRQHmR0KbzkdCdPP&p=1&fvj=0&vjs=3
Junior Devops IaC engineer,Euroclear,België,"

Job description : 



  The core of the IT System Management lies in the scanning, evaluating, selecting, adopting and decommissioning of core technologies for the Euroclear IT infrastructure environments. This requires the function holder not only to maintain close relationships with the key technology providers, but also to develop a consistent technology strategy and life-cycle management plans backed up with a forward looking hardware and software budget (capital expenditure as well as operating expenditure). Typical activities within the IT System Management job description are : 
 


Design, develop, implement and support IT infrastructure solutions to support business opportunities in alignment with the enterprise architecture direction and standards 
Perform technical planning to select and implement appropriate technology for supporting business solutions at affordable cost 
Provide adequate level of expertise to support and troubleshoot infrastructure issues in case of problems 
Assess the compatibility and integration of products/services proposed as standards in order to ensure an integrated architecture across interdependent technologies 
Ensure that systems are properly operated and maintained and system evolution are successfully implemented 



General Description: 



Provides a wide range of technical assistance to users of IT systems. 
May be responsible for the satisfactory performance of a sub-set of IT-systems. 
Designs solutions within a well-defined scope using various supplier products, to support the company’s needs. 
Provide system expertise in a specific technology, contributing to projects and operational tasks. 
Expert in a technology, provide 2nd and 3rd level support on specific products. 
Look for efficient support and maintenance of technology and involved in standard projects. Typically has IT operational experience, covering office or IT applications, middlewares, operating systems, and network technology. 



Role and Responsibilities : 



Either personally or by supervising others, installs system and/or server software, hardware, including non-standard configurations, providing connectivity where necessary. 
Manages most day-to-day aspects of IT systems. Resolves problems or queries, received directly by users or via a help desk, within several known domains of expertise. 
Keeps abreast of the latest technologies and understands the commercial drivers for his/her work. 
Troubleshoots hardware and/or software problems within known domain of expertise and makes recommendations for changes and implements agreed enhancements. 

Required Qualifications : 
The following criteria describes the overall expectations of the function at different levels, cross-families. 

Complexity & problem solving : Handles standard* situations covering known domains of expertise. Proposes process and procedure improvements within domain of expertise. 
Decision making : Might rely on existing processes and policies to make decisions but also uses knowledge and expertise to support the decision process in own domain. Proposes step improvements within the operational domain 
Strategic approach and impact : Focuses on execution in own domain expertise. Runs and maintains the operational process. 
Autonomy and leadership : Works autonomously within own domain of expertise. Independently, co-ordinates and plans activities within given constraints. Uses expertise to challenge the goals and scope of new requests and evaluates the impact of these new requirements. Contributes to defining the implementation method for a set of products / services / solutions / applications in known domain of expertise. 

CSDs: standard defined as being based on existing technical expertise.



",Posted1 dag geleden,,,https://www.indeed.com/rc/clk?jk=db1910f05a1129f9&fccid=34a5561212b5fb7c&vjs=3
DevOps Engineers,Xplore Group,Hasselt België,"















We zoeken iemand die… 






Heb je een sterke of uitgebreide mening omtrent vi(m) of Emacs?
 Vraag je je soms af waarom een GUI ooit uitgevonden werd, jij kan nl. alles sneller met behulp van een command line, toch?
 Ansible, Docker, Python, Jenkins, JIRA, Chef, Varnish, bash, AWS, Puppet, Openshift, Linux, Google Cloud Platform, Kubernetes, Satellite zijn maar enkele van de tools/technologieën waar jij ervaring mee hebt.
 Je speelt graag met nieuwe dingen. State-of-the-art architecture motiveert jou. Wellicht ben jij dan de persoon die we zoeken!




















Bij voorkeur behaalde je een bachelor of masteropleiding en dit binnen een IT georiënteerde richting. Naast Nederlands beheers je ook vlot het Engels.






























Verder ben je… 






Je bent analytisch en kritisch ingesteld,
 Problemen bestaan niet, er zijn enkel uitdagingen,
 Je blijft zoeken naar de oplossing voor elke uitdaging,
 Je krijgt een kick wanneer uitdagingen in security, netwerken en ontwikkelingen de kop op steken!
 Je bent een intitiatiefnemer met oog voor detail,
 Je houdt van duidelijke communicatie. Zowel werken in een team als individueel vind je leuk.
 Je bent pro-actief, zowel in denken als handelen.
 Jouw passie voor de job is doorslaggevend – we leren elke dag en morgen zijn we beter dan gisteren. We zoeken dan ook gedreven collega’s om de nieuwste technologieën te ontdekken en kennis te delen.

























Enkele voordelen 




Waarom je voor ons moet werken 







Competitief salaris 









Lunchvergoeding 









Bedrijfswagen en Benelux tankkaart 









Groei en werk met de nieuwste technologieën 









Mobiel data-abonnement 









Leuke activiteiten en team building events 



























Wie is Xplore Group? 







Xplore Group is een snel groeiend bedrijf met Belgische roots en een open organisatorische structuur.

 We zijn een ecosysteem van competence centres gespecialiseerd in digitale & IT profielen, services en solutions. Elk competence center is expert in een technologie of oplossing.

 Innovatie en ondernemerschap staan centraal in elk competence center. We gaan geen uitdaging uit de weg en staan dagelijks klaar om de nieuwste trends te ontdekken. Our promise is simple: We will never stop Xploring, it is our DNA.

 Met 9 kantoren in 3 verschillende landen en meer dan 800 Xplorers, opereren we als een locale partner voor onze klanten.
















",Posted30+ dagen geleden,,,https://www.indeed.com/rc/clk?jk=9ad77a0fc5cadbd2&fccid=1905e90983171bfe&vjs=3
DevOps Expert,Manuchar,2170 Antwerpen,"
The job
At Manuchar we like to MoveIT! From 2022 and onwards, we want to go to the next level in unlocking the value of our data and will be replacing our core systems and removing future barriers. Do you want to be a crucial part of our journey towards that goal?
As DevOps Expert you are responsible for a part of the release management and for the entire CI/CD process. You introduce automation throughout the software production system to deliver better software faster& you facilitate the hand over between the development and the operational teams. In addition, you will promote CI/CD (Continuous Integration / Continuous Delivery) and IaC (Infrastructure as Code) best practices.
Your main responsibilities are:

implementing and managing continuous distribution methodologies
design systems with high levels of availability and scalability
managing testing across the release lifecycle
facilitating cross functional collaboration and engagement
designing and managing process automation tools
adopting an agile software development methodology
managing continuous integration tool management
monitoring standards and compliance

Your profile

You have a bachelor’s or master’s degree combined with relevant experience as a medior developer (> 2 years) – combined with multiple work experiences.
You are familiar with GitHub and GitHub Actions with continuous integration and deployment to Azure Resources.
You are familiar containerization (Docker) of modern web apps and java backends .
You make Security a priority using Azure Key Vault, GitHub code security and analysis.
You are persuasive and communicative and enjoy working in a team.
You work in a structured way and take the necessary actions to achieve results.
You take initiative and accept challenges.
You are strong in paying attention to non-functional requirements.
You feel comfortable working in a fast-paced environment.
You are fluent in English, knowledge of Dutch is a plus.

A multinational of Belgian origin
Manuchar NV, with headquarters in Antwerp, is an internationally known partner in Trading, Logistics, Distribution and Supply Chain Management, mostly in (petro-) chemicals and steel.
Our end-to-end chemical distribution business serves various industries, including home care, personal care, food & feed, agriculture, mining, oil & gas, glass, textiles, paper, and water treatment. Our international trade activities cover steel, plastics, cement, wood, paper, spare parts and pharmaceuticals.
The ingredients of our success? We know the products, markets, global & local logistical solutions and we have the necessary financing capabilities. But most of all… we have more than 2.000 motivated and skilled employees that make it work!
At Manuchar, we keep your production running. Anytime. Anywhere.
Manuchar offers you

a job full of variety with long-term perspectives in an international environment
cooperation with motivated & skilled colleagues in an open company culture
an attractive remuneration package including fringe benefits
a nice workspace where you can fully develop your talents

Interested?
If you want to take up the challenge and join an international fast-growing team of dynamic colleagues, please send your application letter and detailed CV by applying here.
",Posted30+ dagen geleden,Voltijds,,https://www.indeed.com/rc/clk?jk=9aef2eed68765e6c&fccid=0ce15908a1eaed39&vjs=3
Devops System Engineer,AMA European Consulting,Antwerpen+2 plaatsen,"
DevOps ingesteldheid via automation & selfservice of delegatie van rechten;
2de en 3de lijns operationele taken: alerting, incidents, problems, changes, releases;
Deelnemen in wachtregeling van het team;
Meewerken aan infrastructuur projecten, ondersteunen van business projecten in Agile context;
Scrum voor Development, Kanban voor Infrastructuur) ifv. Product ownership voor opnemen van end-to-end verantwoordelijkheid voor producten met 3de lijns kennis: duidelijke communicatie skills, bij voorkeur begrijpen van Nederlands/Frans.

Inzet: 

Monitoring platform
AWX en Ansible scripting, Python & Bash scripting, Jenkins, Git & Jira, Neo4J, PowerShell
Cloud automations (AWS)
ELK-stack, OpenSearch and GIT
Minstens 4 jaar ervaring in 1 product uit de lijst ifv 3de lijns ondersteuning en bereidheid om de andere bij te leren ifv 2de lijns ondersteuning
Moet zelfstandig kunnen werken

Bereidheid tot deelname aan geplande interventies buiten de kantooruren Mentaliteit: DevOps, continuous improvement, Agile, focus, the right things first, right from the first time. Bereidheid om technische kennis uit te breiden in de breedte ifv noden.
Verantwoordelijkheden: 

Monitoring
Incidents
Problem tickets
Changes/Releases
Ondersteuning projecten.
Verzekeren van SLA
Verbeteren van flow efficiency bij het uitvoeren van taken ( focus op afwerken )
Werken in pairs ifv
Kennisdeling

Taken en deliverables: 

ITIL toepassen
Documentatie
Implementatie
Deliverables, afgesproken in sprint planning van het betrokken project.

Dienstverband: Voltijds, Freelance
Rooster:

Dagdienst
Flexibel werkrooster
ma-vr

Mogelijkheid om te reizen/verhuizen:

Antwerp: kunnen pendelen of van plan zijn te verhuizen voordat het contract ingaat (Vereist)
",Posted1 dag geleden,Voltijds +1Flexibel werkrooster +2,,https://www.indeed.com/company/AMA-Associates/jobs/Devops-System-Engineer-db83a0c2c9293f23?fccid=3bf0b63ba1c7488a&vjs=3
DevOps Engineer,Cegeka,België,"








         Cegeka is op zoek naar een DevOps engineer dat kan aansluiten bij het agile team voor het EverESSt-project bij Acerta. Acerta is een Belgische HR-dienstverlener met loonberekening als één van hun hoofdactiviteiten, dit voor bedrijven van elke omvang. De afdeling die verantwoordelijk is voor deze berekening wordt een ""Erkend Sociaal Secretariaat (ESS)"" genoemd. De meeste ESS werken nog steeds op mainframes gebaseerd op motoren, vaak 20 tot 30 jaar oud en dus groeit de behoefte aan een nieuwe motor die gebruik maakt van moderne technologie, die zowel kosteneffectief is alsook nieuwe bedrijfsprocessen en modellen kan ondersteunen. Zo'n loonmotor is een softwareapplicatie die maandelijks het loon van werknemers berekent. Maar ook belastingdossiers voor de eigenlijke jaarlijkse aangifte, betalingsbestanden voor de geldstromen, etc. vloeien hier uit voort. Hoe wij met Cegeka dit tot een succes maken? Door te doen waar we goed in zijn: hoogwaardige software bouwen met behulp van onze Agile-mentaliteit en beste ontwikkelpraktijken. We gebruiken technieken als DDD, TDD en BDD. De technologiestack is Java-gebaseerd, klaar voor de Cloud en we voeren POC's uit in geavanceerde technologie waarmee we de steile NFR's kunnen implementeren met betrekking tot prestaties en schaalbaarheid. 
        

 Je hebt binnen dit project impact als DevOps engineer op het maken van de nieuwe loonmotor. Je gaat voor “ruthless automation” en deelt graag kennis omtrent de best practices met je team.
 Je werkt mee aan het maken van een nieuwe loonmoter die o.a. real time loonsimulaties mogelijk maakt.
 Je komt terecht in een DevOps team dat nauw samenwerkt met ongeveer 8 functionele teams.
 Je ondersteunt als lid van het SRE team de nieuwe ontwikkelingen van de ontwikkelingsteams binnen het project.
 Je ontwerpt en ontwikkelt oplossingen voor de operationele vereisten van het project samen met je teamleden.
 Je verzorgt en ondersteunt o.a. applicatie releases, deploys en upgrades van librairies.
 Je maakt de koppeling tussen het project en de onderliggende infrastructuur: Een platform dat het project in staat stelt om de onderliggende structuur optimaal te kunnen gebruiken.
 Je koppelt business drivers aan technische oplossingen en weet de vertaalslag te maken naar een goed werkende architectuur. 
















Wat breng jij mee?

Je bent een ervaren developer met een achtergrond in Java en hebt voldoende weet van/affiniteit met infrastructuur.
 Logischerwijs heb je ervaring met analyse, design, implementatie en oplevering van applicaties.
 Je bent als het ware een Platform Java Enineer: O.O., design patterns, refactoring, testing zijn zeer vertrouwde begrippen voor jou.
 Je hebt interesse in Kubernetes en Docker.
 Je weet het belang van non-functionals zoals security en observability en bent bereid dit te leren.
 Je hebt interesse voor ELK-stack, Grafana, Prometheus en New Relic. 
Ben je hier nog niet meer in aanraking gekomen? Geen probleem! Je bent bereid om bij te leren.
 Je bent een teamplayer! Frequente samenwerkingen met jouw teamleden zijn noodzakelijk.
 Je bent diplomatisch en pragmatisch ingesteld. Je denkt mee met de klant en jouw collega’s en kan zeer goed met druk omgaan gezien de verantwoordelijkheid over het product.
 Je hebt een uitstekende kennis van het Nederlands en Engels 















Wat hebben wij jou te bieden?





Intensief teamwork in een open en dynamische sfeer waar nieuwe frisse ideeën en initiatieven opgestart kunnen worden.
 Begeleiding op maat, waar jij aangeeft waar je interesses liggen en waar we samen kijken hoe we je verder kunnen helpen ontplooien.
 Bijleren en kennisdeling staan centraal, we bieden hiervoor dan ook tal van initiatieven aan: innovation centers, leesgroepen, knowledge sharing meetings, hackatons, deelname aan conferenties en externe opleidingen.
 Afhankelijk van je eigen interesses en initiatieven, biedt Cegeka verschillende horizontale en verticale carrièrepaden.






Naast het brutosalaris, een bedrijfswagen (elektrisch voertuig ook mogelijk) met tankkaart of het wettelijke mobiliteitsbudget, maaltijdcheques, interessante groeps-en hospitalisatieverzekering, gsm-abonnement, forfaitaire onkostenvergoeding en krachtige laptop, bieden we flexibele werkuren en een mooie work/life balans.
 Stel zelf je verloningspakket samen dankzij ons Flex Reward Plan.
 Locatie: Je werkt eenmaal per week bij de klant in Leuven (dicht bij het station van Leuven). De rest van de dagen kan je flexibel met je team inplannen (remote)


















Aspire to more: onze belofte aan jou

         Je krijgt bij Cegeka alle ruimte om jezelf als professional verder te ontwikkelen. Samen realiseren we wat je écht wil betekenen voor onze klanten en collega’s. We nodigen je graag uit om met ons mee te groeien. In een ongekende veelzijdigheid aan uitdagende, betekenisvolle IT-projecten. Zet je stempel op projecten bij aansprekende klanten waarbij we het verschil maken. Aspire to more.
        

 We werken hier altijd met elkaar samen. Intensief, met veel plezier en betrokkenheid. Binnen een cultuur gedreven door familiewaarden: vol vertrouwen, mensgericht, open, loyaal en respectvol. Met veel vrijheid en verantwoordelijkheid. Kom deel uitmaken van de volgende fase van een trots, succesvol, snelgroeiend, innovatief, Europees IT-bedrijf vol ambities.
        











Heb je vragen over deze vacature?
Neem contact met me op.






      Giovanni Belcastro
     





       giovanni.belcastro@cegeka.com
      




+32 11 240234






",Posted3 dagen geleden,,,https://www.indeed.com/rc/clk?jk=6208cccdb6324459&fccid=e8ed6c5a15516b8b&vjs=3
Senior Devops IaC engineer:,Euroclear,België,"

Job description : 



The core of the IT System Management lies in the scanning, evaluating, selecting, adopting and decommissioning of core technologies for the Euroclear IT infrastructure environments. This requires the function holder not only to maintain close relationships with the key technology providers, but also to develop a consistent technology strategy and life-cycle management plans backed up with a forward looking hardware and software budget (capital expenditure as well as operating expenditure). Typical activities within the IT System Management job description are : 
Design, develop, implement and support IT infrastructure solutions to support business opportunities in alignment with the enterprise architecture direction and standards 
Perform technical planning to select and implement appropriate technology for supporting business solutions at affordable cost 
Provide adequate level of expertise to support and troubleshoot infrastructure issues in case of problems 
Assess the compatibility and integration of products/services proposed as standards in order to ensure an integrated architecture across interdependent technologies 
Ensure that systems are properly operated and maintained and system evolution are successfully implemented 



General Description: 



Provide system expertise in a specific technology, working largely autonomously on a range of projects and tasks. 
Implement standard complex systems and may be involved in the design of new, technical solutions. 
Expert in a technology, provides 2nd and 3rd level support on specific products. 
Look for efficient support and maintenance of technology and involved in standard projects. 
May manage, motivate and assess performance of a team of IT professionals. 




Role and Responsibilities : 



Assesses performance of the systems, identifying and evaluating the suitability of adjustments that will improve performance. 
In case of IT System Management Team Leader : 
Take up overall responsibility for the execution, implementation and development of processes within his/her assigned domain 
Lead a small group of employees providing services support within his/her assigned domain 
Manage overall resource planning 
Assists on high level design of new applications or implementation of packages, to ensure effective operation within the systems environment. 
Provides technical support to operations staff and application developers during resolution of production problems. 
Makes recommendations for changes and drives enhancement implementation. 
Jobholder is a technical system specialist, who will design and maintain complex, hardware and/or software. 
Maintains effective relationships with external suppliers to ensure appropriate levels of support. 
Monitors use, capacity, and performance of IT systems. 
Ensures installation and implementation of new equipment/software as required. 
Coordinates support, providing hands-on support where necessary. 
Keeps abreast of the latest technologies and understands the commercial drivers for his/her work. Provides enhancements to existing products, IT systems that enable value-added services. 
May lead (from a technical perspective) and coach a small team. 

Required Qualifications : 
The following criteria describes the overall expectations of the function at different levels, cross-families. 

Complexity & problem solving : Handles standard* situation, covering several known domains of expertise. Look how current procedures and processes can be improved within domain. 
Decision making : Use knowledge and expertise to support the decision process in own domain. Makes step improvements within the operational domain. Collects and provides the necessary information to support the decision process on subject of medium importance or with moderate impact for the own domain. 
Strategic approach and impact : Focuses on execution in his domain, while looking for step improvements to defined processes and methods. Runs and maintains the operational process. Drives the improvement steps on specific, limited domains. 
Stakeholders management : Builds and maintains operational network of relationships, mainly with peers. Influences in own domain of expertise, on well defined tactical or technical matters. Takes action to resolve conflicts with appropriate level of support from peers and/or management. 
Autonomy and leadership : Works autonomously on domain of medium scope. Independently organises, coordinates and plans own or small group activities according to stakeholders constraints. Provides feedback to management on activity progress. Drives the implementation method for a set of products / services / solutions / applications under own responsibility 

CSDs: standard defined as being based on existing technical expertise.



",Posted1 dag geleden,,,https://www.indeed.com/rc/clk?jk=c7b71c7bc42bd6a1&fccid=34a5561212b5fb7c&vjs=3
DevOps Coach,SHRIUMASHI CONSULTING BELGIUM,Zaventem,"

Responsibility :



 The DevOps coach will help the product development teams to adopt best practices for developing, testing, deploying and releasing applications 
 In this role he/she must have an end to end SDLC view and strong coaching skills. The success of the coaching is measured based on adoption of the defined practices and standards 
 Coach agile development teams 
 Improve deliverables of the team by training them on best practices regarding coding and testing 
 Assist with implementation of Behaviour Driven Development 
 Assist with implementation of API/Contract First testing 
 Setup and support automated Build & Deploy facilities for the teams 
 Validate how new processes and requirements can be implemented: 
 Cross-check the requirements with the capabilities of the existing platform and evaluate if the existing platform/tooling can be extended or if new tooling must be added.

 Your profile:

 Minimally a Bachelor or Master's degree. 
 Proven experience in Devops environment.
 Devops Institute certified.
 Proven experience in Devops processes & procedures.
 Consultancy experience is a clear plus
 Excellent communication skills (listening, negotiation and presentation).

 Languages Requirement :

 Fluent in Dutch and French both written and verbal.
 English Working proficiency

 Freelance/Contract
",Posted30+ dagen geleden,Freelance,,https://www.indeed.com/rc/clk?jk=809095b2f4c7bb3d&fccid=f446b6736c01b272&vjs=3
DevOps Expert,Citymesh,8020 Oostkamp,"Citymesh is op zoek naar twee DEVOPS EXPERTS, een junior (schoolverlater of eerste werkervaring) en medior (5j ervaring) profiel.Als DevOps Expert word je teamlid van het Datacenter team en zal je nauw samenwerken met het Security Team.Je hecht een groot belang aan het volgen van industry best-practises, je hebt graag een grote verscheidenheid aan projecten en wilt mee instaan voor het beheren en automatiseren van cloud infrastructuur? Dan zoeken we jou!MUST HAVES QUALITIES & TALENTS

Bachelor diploma (bij voorkeur Engineering) en een goede dosis goesting
Ben je een schoolverlater of heb je een eerste werkervaring, dan kom je in aanmerking voor de Junior functie;
Kan je ondertussen als ervaring delen door een 5 jaar ervaring, solliciteer dan zeker voor de Medior functie;
Grondige kennis van Linux systeembeheer (bij voorkeur Debian) en onderliggende software (Bash, systemd, cron, iptables, ...);
Kennis van virtualisatieplatformen zoals KVM en VMWare.
Sterke affiniteit met programmeren (Python / Python / Go)
Ervaring met web / proxy servers zoals Nginx, Apache, HAProxy, Traefik
Stevige kennis van databases, zowel relationeel als NoSQL (Postgresql, Percona, Elasticsearch , MongoDB, ...)
Bekend met filesystem- en storage systemen (NFS, ext4, btrfs, ...)
Basiskennis van networking technologieën (TCP/IP Stack, Vlans, DNS, Firewalling, SNMP)

NICE TO HAVES

Ervaring met configuratie management tools (Chef, Ansible, ...)
Kennis van container technologieën als Docker (Swarm) / Kubernetes
Vertrouwd met Gitlab CI/CD pipelines
Bekend met monitoring van services aan de hand van Prometheus en Grafana
Ervaring met Nutanix Cloud Infrastructure oplossingen
Ervaring met cloud services (Azure / GCP / AWS)

WIE WE ZOEKEN

Een flexibel en gemotiveerd persoon die goed kan reageren in stresssituaties
Iemand met analytisch denkvermogen die durft dat stapje verder te nemen
Je bent niet bang van een uitdaging, neemt initiatief en past je snel aan
Je werkt graag in team maar een opdracht zelfstandig opvolgen schrikt je niet af

WAT WE BIEDENWij bieden jou een buitenkans om te werken bij een innovatieve werkgever, waarbij wij eigen inbreng sterk waarderen en geloven in de groei van ieder van onze medewerkers.Hou je van werken samen met een dynamisch team, hou je van groeikansen op ieders maat, flexibele werkroosters en van een divers takenpakket? Dan is Citymesh zeker iets voor jou.

Een contract voor onbepaalde duur
Een correct brutoloon naar gelang ervaring, aangevuld met extralegale voordelen
Leuke collega’s
Ongedwongen sfeer

REAGEREN?Ben je geprikkeld door ons bedrijf en klaar voor een unieke ervaring? Aarzel dan niet en solliciteer vandaag nog voor deze vacature via onderstaande knop of via jobs@citymesh.com.
Dienstverband: Onbepaalde duur",Posted30+ dagen geleden,Vaste Jobs,,https://www.indeed.com/company/Citymesh/jobs/Devops-Expert-6cbbc58193697f74?fccid=02304546bf3ed928&vjs=3
