job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Engineer (Remote in Canada),Bank of Canada,Remote in Ontario,"

DevOps Engineer (Remote in Canada)
 Take a central role The Bank of Canada has a vision to be “a leading central bank—dynamic, engaged and trusted—committed to a better Canada.” No other employer in the country offers you the unique opportunity to work at the very center of Canada’s economy, in a diverse and inclusive organization with significant impact on the economic and financial well-being of all Canadians. You will be challenged, energized and motivated to excel in an environment where we are reinventing central banking, renewing ways of doing business and reinforcing a culture of innovation.

 With our defined-benefit pension plan, benefits, and high flexibility for work life balance - find out more about why we are annually ranked as one of Canada's top employers: Working Here - Bank of Canada


 Core Technology Services
 DevOps is about transforming the functional work experience between development and operations teams by breaking down silos between two traditionally separate roles. Our Core Technology Services team has already begun breaking down barriers and preconceptions of what it means to “operate” IT infrastructure, and we are seeking candidates interested in joining the mission!
 
Reporting to the Assistant Director of Automation Tools & Compute Services, you will join a product release group and infrastructure development scrum team whose focus is exploiting the use of Infrastructure-as-Code (IaC). You will also have the full support of your leader to grow your career through learning & development opportunities, experimentation, and driving change.
 
What you will do
 As a DevOps Engineer, you will focus on creating IT Infrastructure-as-Code (IaC) covering all areas of IT infrastructure. Our mandate is to bring self-service IT infrastructure to our organization, made available by exploiting the use of Infrastructure-as-Code (IaC). By joining our team, your role is to share and apply your expertise and experience, to deliver value through every sprint.
 
What you need to succeed
 You are a self-starter with the ability to quickly grasp the essence of complex issues. You are also a great communicator, independent, and motivated, requiring little supervision. Further, you are an outstanding team player, who can actively contribute to creating positive team dynamics by engaging in productive and respectful conversations, helping team members who may be struggling and having a positive attitude towards the team's goals.

 In addition, you have: 

Experience with one or more infrastructure automation technologies, e.g.: Ansible Tower, Azure DevOps, VMWare vRealize Suite, Terraform and/or ServiceNOW workflow automation
 Experience with programming and/or scripting, e.g.: YAML, Python, PowerShell, JavaScript or working knowledge in at least one object-oriented programming language (e.g.: Java, C, C#, C++)
 Familiarity with Agile and DevOps principles and tools (e.g.: Jira, scrum, etc.) test-driven development, continuous integration, and other approaches to accelerate the delivery of new features
 Knowledge/familiarity with of one or more virtual infrastructure platforms like VMware vSphere, Microsoft Hyper-V, Linux KVM, etc.
 A proven infrastructure background, with a history demonstrating strong technical skills


 Nice-to-Have:

 Proven experience creating/developing Infrastructure as Code (IaC) within a major enterprise environment
 Any related professional designations and/or certifications 
Ability to communicate effectively in both official languages


 Your education and experience
 Your combined education and work experience demonstrate that you have the competencies for the position and are effective at learning and applying new IT skills.
 
What if you don’t meet every requirement?
 The Bank of Canada is dedicated to building a diverse and inclusive workplace. If you are interested in this position, but your experience & skillset do not perfectly align, we highly encourage you to apply. You may be a fit for the position and/or you could be a great candidate for other roles.

 What you need to know

 Language requirement: English or French essential
 Priority will be given to Canadian citizens and permanent residents
 Security level required: Be eligible to obtain Secret
 Please save a copy of the job poster. Once the closing date has passed, it will no longer be available.
 In response to the COVID-19 pandemic and further to public health guidelines, preventative measures are being taken to ensure health and safety during the recruitment process. All interviews are conducted virtually.
 The official title for this position is “Developer ”


 Remote Work & Hybrid Model #LI-Remote
 For this position, should you not live within reasonable commuting distance of the office, you will be able to work 100% remote (within Canada) for the duration of this term. The Bank is conducting a trial of a hybrid working model which provides employees with the flexibility to telework for significant portions of each month. During the trial, employees will only be required to come onsite on those days when they are involved in activities that they or their leader feel are better conducted in person. For the majority of employees, it is expected that onsite time will range from 5 to 10 days per month, depending on your role.

 Vaccination Policy
 Please note that the application of the Bank’s Covid-19 Vaccination policy has been temporarily suspended, effective June 20, 2022. As a result, you will not be required to submit verification of your vaccination status before starting employment with the Bank. However, please note that the Bank reserves the right to reintroduce vaccination requirements in the future if necessary to respond to changing public health advice and\or government direction.

 We wish to thank all applicants for their interest and effort in applying for this position. Only candidates selected for interviews will be contacted.

 What you can expect from us This is a great opportunity to join a leading organization and be part of a high-performing team. We offer a competitive compensation and benefits package designed to meet your needs at every stage of your life and career. For more information on key benefits please visit A great deal to consider.


 Salaries are based on qualifications and experience and typically range from $81,865 to $96,310 (job grade 16)
 Depending on performance, you may be eligible for performance pay for successfully meeting (5 to 7% of your base salary) or for exceeding expectations (10% of your base salary). Exceptional performers who far exceed expectations may be eligible for higher performance pay.
 Flexible and comprehensive benefits so you can choose the level of health and dental coverage that meets your needs
 Extra vacation days (up to five each year) that you can purchase to add to your vacation entitlement
 Option to join the indexed, defined-benefit pension plan after 24 consecutive months of service #LI-POST

",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=5b32ec9cdbb6777f&fccid=f183060fc5182bfe&vjs=3
devops engineer,Jo Cloud Solutions Inc.,"Vancouver, BC","
Work conditions and physical capabilities

 Fast-paced environment
 Work under pressure
 Tight deadlines
 Attention to detail
 Sitting

 Personal suitability

 Client focus
 Efficient interpersonal skills
 Initiative
 Judgement
 Organized
 Team player

",PostedPosted 8 days ago,$53 an hourFull-time,$53 an hour,https://www.indeed.com/rc/clk?jk=5a1f9af7f0e3d5f5&fccid=08cb8f3489f0b60a&vjs=3
Internal DevOps Engineer,March Networks Corporation,"Ottawa, ON","At March Networks, our goal is to create a positive working environment where all of our employees can thrive. When you join our team, you’ll enjoy flexibility and support for a healthy work-life balance, as well as the professional development opportunities needed to advance your career. You’ll be part of a growing global technology company that encourages teamwork and innovation, and where friendships are forged with colleagues all over the world. Our employees enjoy a comprehensive Total Rewards Package including attractive time-off policies and an annual bonus plan. At March Networks, we value your hard work, creativity and your passionate desire to deliver only the best to our customers, partners and each other.Opportunity: We are building a team dedicated to modernizing our internal development environment to better support our business processes. We are looking for a DevOps Engineer who is eager to solve complex problems. You will develop solutions that improve build performance, simplify the maintenance of our build infrastructure, and help developers, testers and release engineers work more efficiently.Duties and Responsibilities: 

Modernize our existing build environments from virtual machines to containers
Administer, maintain, and develop integrations between our Software Lifecycle tools
Automate tasks that are currently performed manually
Recommend innovative solutions with a total system view
Promote a positive team environment that uses the combined strengths of individual members to achieve organizational goals

Qualifications: 

College or Bachelor’s Degree in Computer Science or Engineering program, or equivalent
Minimum 5 years professional experience in the related domain
Experience developing, configuring, and managing CI pipelines (Jenkins, Gitlab)
Experience converting virtual machines to Docker containers
Experience with Ansible
Familiar with Python and Bash
Problem-solving attitude
Independent and willing to take initiative
Good interpersonal skills with strong verbal and written communication skills
Detail oriented

Assets: 

Scripting languages (Batch, Perl, Powershell)
SOAP/REST
Build system tooling (GNU make, MSBuild, NAnt, Maven)

March Networks is an equal opportunity employer and supports a diverse workforce.Accommodations are available upon request for candidates taking part in all aspects of the selection process. Applicants can make their accommodation needs known to us in their application.
Job Type: Full-time",PostedPosted 1 day ago,Full-time,,https://www.indeed.com/company/March-Networks/jobs/Internal-Devop-Engineer-b4b3e0b27babc08c?fccid=2989bd34e6480532&vjs=3
DevOps Specialist - Pre-Identified (Naveen Krishnan),Fujitsu,"Edmonton, AB","
DevOps Specialist 

Working as part of Agile team(s) to support the design, development and implementation of prototypes and new features. 
CI/CD pipeline design, development, implementation and management. 
Automated testing development and management. 
Root Cause Analysis (RCA) for deployment failures. 
Designing and implementing deployments for new environment(s) as needed. 
System monitoring. 
System backup. 
Systems could be hosted on premises, in a cloud or hybrid environment. 

Other 

The resource must be located within Canada. 
Appropriately manage client expectations on work assignments and responses to quality issues. 
Understand timelines and identify issues impacting timeline as necessary. 
Provide accurate estimates for work assigned as requested. 
Must be able to work in a self-sufficient manner and must be a good team player. 
Must possess a commitment to high quality deliverables. 
Must have excellent verbal and written communication skills with both clients and team members. 





Mandatory Skills, Certifications and Experience 







Experience designing, developing, implementing and managing CI/CD pipelines both on premises and in Azure cloud (5 years). 
Experience designing and deploying new environments for both development and production purposes (5 years). 
Experience implementing monitoring for environments (5 years). 
Experience with source control (5 years). 
Experience working with an Agile team (3 years). 







Desirable Skills, Certifications and Experience 







Cosmo DB. 
Git source control. 
SCCS source control.








",PostedPosted 1 day ago,Temporary +1,,https://www.indeed.com/rc/clk?jk=616d546026a2d861&fccid=0d771a787e6e10bd&vjs=3
DevOps Engineer,Avast,Remote,"

  At Avast, we strive to give everyone the power to explore our shared digital world freely and safely. Our team is working to help shape the digital world to be a freer, fairer and safer place through the application of science, technology and human ingenuity, and we are looking for people who share our passion to contribute to a better online world. Avast promotes a rich diversity of cultures, debates, and out-of-the-box thinking. Today, Avast is a FTSE 100 company that safeguards more than 435 million people worldwide, protecting their digital data, identity, and privacy.
 


   Job Posting Title:
  DevOps Engineer
 

   Job Description:
  DevOps Engineer SecureKey is a leading identity and authentication provider that simplifies consumer access to online services and applications. SecureKey enables next generation privacy-enhancing identity and authentication networks for conveniently connecting people to critical online services using a digital credential they already have and trust. SecureKey is headquartered in Toronto. For more information, please visit www.securekey.com. The ideal candidate will have experience working closely with both operations and development teams to meet our growing business requirements efficiently and cost effectively. This talented individual must be able to work in a fast paced, demanding and highly dynamic environment, with new software releases coming frequently as we grow our platform offering and add to our growing list of clients. The ability to establish priorities among multiple, competing demands and to meet deadlines is also essential to success in this position. Responsibilities: • Part of L3 Support Team for Verified.Me, taking part in on-call rotation. • Deployment support and troubleshooting for partners. • Automation of deployment and upgrade of solutions produced by Development. • Evaluation of emerging supporting solutions e.g. monitoring, alerting, logging for suitability into a production environment. • Implementation/support of production changes in out-of-hours maintenance windows. • Act as an SME/escalation point for the operations team for production systems. Requirements: • Passionate about your work and loves to automate things. • 5-10 years’ experience in system / infrastructure administration or related field. • Strong knowledge of Docker and Docker-compose. • Strong knowledge in Infrastructure-as-code: Ansible and Terraform. • Strong scripting experience. (BASH required, Python is bonus) • Strong knowledge of Linux (preferably Red Hat) system administration, including networking configuration and troubleshooting skills. • Must be completely comfortable working in a shell environment. • Strong skills in critical thinking and problem solving. • Good foundation in Information Security best practices. • Strong desire to learn and work with new Web and Mobile technologies. • Experience delivering solutions into Production environments and the importance of testing in lower environments. • Hands-on experience with server / network infrastructure delivering Internet facing applications and solutions. Desired Skills & Experience: • Experience implementing reverse proxies such as NGINX. • Experience implementing and supporting monitoring solutions. (e.g. Site 24×7, Sensu, Nagios) • Experience working with Public Cloud environments. (AWS preferred) • Experience with time-series and/or relational databases. (e.g.Prometheus, MySQL, PostgreSQL) • Experience with Jenkins. • Experience with Linux system hardening. • Experience with auditing and reporting tools.
 

   Sounds exciting? We look forward to hearing from you.
 


   Avast does not accept unsolicited resumes from recruiters or recruiting agencies in response to job postings. No fee will be paid to third parties who submit unsolicited candidates directly to our hiring managers or HR team, even in a situation when the relevant candidate is employed by Avast.
 


   We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
 
",PostedPosted 9 days ago,Full-timeOn call,,https://www.indeed.com/rc/clk?jk=e99d7cfc4c95eee3&fccid=47940c1870587c35&vjs=3
Cloud DevOPS Engineer,Ciena,Remote,"

  Since 1992, Ciena has been driven by a relentless pursuit of network innovation. We believe in a network that grows smarter, more agile, and more responsive every day. This means that when you digitally interact in your world - picking up the phone, streaming video, texting a friend or loved one – your interactions are being enabled by Ciena technologies. Ciena makes your social / entertainment / business existence REAL.
 


   No candidate will meet every single desired qualification. If your experience looks a little different from what we’ve identified below and you think you can bring value to the role, we’d love to learn more about you!
 


   Position Overview
 

   Ciena is looking for a Cloud DevOPS Engineer to join the IT Cloud Services team. In this role you will automate cloud deployment, audit and compliance processes. Your customers will be Ciena teams who want to tap into the power of cloud. The Cloud Services team’s goal is to enable Ciena users to leverage the full power of the public cloud in a safe manner. A successful candidate will excel in all aspects of cloud computing technology, automation, security, cost management and change management.
 


   Responsibilities
 

 Identify tools/mechanisms for building cloud guardrails and audit and security posture
 Develop automation framework for public cloud guardrails, security service configuration, deployments
 Automate processes to enable agility while maintaining security controls
 Build audit, security, compliance layer in public cloud
 Build infrastructure and application monitoring to detect or prevent incidents
 Propose cloud-related optimizations and best practices to improve reliability, performance and cost
 Create tools/mechanisms to automate repetitive tasks
 Perform code reviews, evaluate implementations, and provide feedback for tool improvements
 Share an on-call rotation and be an escalation contact for service incidents



   Requirements
 

   Must Have:
 

 Bachelor’s Degree in CS or related field, or equivalent work experience
 Overall 3+ years of experience with 1-2 years in large-scale cloud-based Infrastructure (AWS or Azure preferred)
 Experience in one or more of the following languages: Python, Ruby, Java, Go
 Well versed in deployment and maintenance of AWS services (EC2, S3, RDS, Lambda, VPC, Cloudtrail, Load Balancer)
 Well versed in atleast one of DevOPS tools for Infrastructure Deployment and Configuration management experience on Windows and Linux – Packer, Terraform,Ansible/Puppet/Chef
 Well versed in automation and CI/CD pipelines including git as the VCS
 Well versed in Cloud native application architecture and development



   Preferred:
 

 Working knowledge of Cloud Security Services
 Working knowledge in REST API usage and design including micro service architecture
 Well versed in DNS, Load Balancing, SSL, TCP/IP and networking
 Working knowledge in in atleast one monitoring and logging tools – ELK or Splunk or Datadog
 Ability to manage long term, project/milestone based work with multiple teams



   At Ciena, we are committed to building and fostering an environment in which our employees feel respected, valued, and heard. Ciena values the diversity of its workforce and respects its employees as individuals. We do not tolerate any form of discrimination.
 


   If contacted in relation to a job opportunity, please advise Ciena of any accommodation measures you may require.
 
",PostedPosted 3 days ago,Full-timeOn call,,https://www.indeed.com/rc/clk?jk=c11fb60e887de963&fccid=144a39be55e8440b&vjs=3
Devops Engineer,Distributel,"Edmonton, AB+3 locations","
Since 1988, Distributel connects Canadians to the people, passion, and priorities that matter. By constantly challenging ourselves to simplify, add utility, and humanize the ways people do business with us, we will create a valuable experience for our customers in every way.
 Join an award-winning organization in its mission to provide a true alternative to Canadian consumers!
 
LOCATIONS:

 Toronto, Ontario

 ABOUT THE OPPORTUNITY:
 Distributel is seeking a DevOps Engineer to join our growing team. We're looking for someone who's passionate about customer experience with a good understanding of solution engineering.
 KEY RESPONSIBILITIES:

 Building and setting up of new environments, tools, and infrastructure.
 Deploy updates and fixes.
 Build or integrate tools to reduce occurrence of errors or enable support staff to troubleshoot issues.
 Collaborate with system teams to develop new strategies for infrastructure and deployment.
 Collaborate with project and development team for deployment, releases, feedback on production issues.
 Design procedures for system troubleshooting and maintenance.
 Perform root cause analysis for production issues.
 Investigate and resolve technical issues.
 Act as SME expert for new environments and infrastructure.

 WORKING CONDITIONS

 Hybrid environment (Office/Home) with some time spent in datacentre environment as required in the performance of duties.
 Some travel may be required (Edmonton, Ottawa, Montreal, Toronto).

 TECHNICAL SKILLS

 Experience with NGINX software and HTTP caching.
 Experience and working knowledge of next-generation video service management platform.
 Experience with Kubernetes, Jenkins, Docker experience.
 Experience in scripting languages (Python/Perl/PHP/PowerShell).
 Proficient with GIT and GIT workflows.
 JIRA.
 Multi-platform experience in administration of servers (Windows/Linux).
 Experience in platform integration, deployment, and maintenance.
 Experience with IPTV, VOD, SVOD, PPV and DVR services is an asset.
 Experience with deployment and testing on IP Set-Top Boxes, Hybrid Set-Top Boxes, Streaming Media Players, Smartphones, Tablets, Amazon Firestick, Roku, and Apple TV.
 Knowledge of packagers, video content encryptions and Cloud PVRs.
 Video transcoding knowledge, particularly FFmpeg.
 Knowledge of Apple HTTP Live Streaming (HLS), mpeg-DASH, Microsoft HTTP Smooth. Streaming (HSS), or Adobe HTTP Dynamic Streaming (HDS).

 SKILLS AND QUALIFICATIONS:

 5+ year's experience as a DevOps Engineer.
 Excellent attention to detail.
 Excellent communication skills, both written and oral.
 Excellent interpersonal skills to promote teamwork.
 Good critical thinking skills.

 EDUCATION AND TRAINING

 BSC in Computer Science/Engineering, Technical Diploma, or relevant field experience.

 HERE’S WHAT’S IN IT FOR YOU:
 Experience a wealth of opportunities that only a growing company can offer by joining a dynamic team that’s vigilantly working together towards reshaping the telecommunications landscape.
 The heart and soul of our compensation program is built from the foundation of our vision, mission and values.

 Industry-leading Corporate Medical and Dental benefits program, in addition to many other perks that make Distributel a great place to work.
 RRSP contributions.
 We promote work-life balance with generous PTO.
 We provide a great work environment with organized social events.
 You’ll have opportunities for growth & development.
 We have great downtown locations and amazing people.

 Distributel connects Canadians to the people, passion, and priorities that matter. Join us in our mission to provide a true alternative to Canadian consumers!
 Diversity and inclusion are important at Distributel. We appreciate the uniqueness of all individuals and believe that our differences are what make us stronger. Distributel is committed to providing a workplace that ensures equal opportunities, development, and advancement for all.
 WHAT HAPPENS AFTER YOU SUBMIT YOUR APPLICATION?
 Your application is placed in our candidate pool. If your application matches the manager’s search criteria, you may be contacted for a pre-screen interview.
 Due to high volumes of applications, not all applicants who submit an application will be contacted.
 Diversity and inclusion are important at Distributel. We appreciate the uniqueness of all individuals and believe that our differences are what make us stronger. Distributel is committed to providing a work workplace that ensures equal opportunities, development, and advancement for all current and future employees.
 Accommodations are available on request for candidates taking part in all aspects of the selection process. For a confidential inquiry, simply email your recruiter directly.
 
6ZoLrIftKM
",PostedPosted 8 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3485ee5ca1bd7cc6&fccid=20638511b3ff11ef&vjs=3
AWS DevOps Engineer,Capgemini,"Toronto, ON","
Job Title: AWS DevOps Engineer
 Location: Toronto, Canada
 Type: Fulltime with Benefits

 Kindly Note – Please do not apply for this role if you are not physically located in Canada. We will not sponsor work permit for this role.
 
Skill set required for the role 

Scripting (bash, UNIX, Python, JSON)
Cloud Formation Templates (Infrastructure as Code)
Containerization (e.g., Docker)
Go Language
Helm Charts
Amazon Web Services foundational familiarity
Elastic Kubernetes Service
S3
Elastic Block Storage
EC2
NoSQL Database (e.g., DynamoDB)
ALM Tools (Stash, Jenkins, Artifactory)
Strong collaboration and relationship management skills


 Disclaimer
 Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
 This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
 Click the following link for more information on your rights as an Applicant - http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law
 Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.

",PostedPosted 5 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=51b8e920be31001c&fccid=105ecfd0283f415f&vjs=3
DevOps Engineer,Mariner Innovations,"Fredericton, NB+3 locations","
 Company Description
  As one of the largest independent technology companies in Atlantic Canada, Mariner has a team of over 200 IT and software professionals working with clients both regionally and across the globe. With extensive capabilities in the areas of analytics, automation software, information security and IT consulting, Mariner has been delivering innovative solutions with a strong emphasis on productivity and customer experience since 2003.



 Job Description
  Mariner Innovations is seeking a Dev Ops Engineer to be a key member of our IT Professional Services team. In this role, you will be responsible for client-based projects and, in collaboration with our delivery and sales teams, you will deliver best of breed solutions to new and existing customers.
 Responsibilities:

 Work on the evolution and support of containerized and virtualized solutions used by internal teams.
 Determine, evaluate, test and support the implementation of advanced infrastructure that supports security features and tools.
 Contribute to end-to-end network security architecture designs that include Public IaaS, PaaS and SaaS.




 Qualifications
 

 3-5+ years of Hands-On Experience in Openshift Container Platforms.
 Strong development experience in Java and/or Python.
 Experience with AWS
 Strong knowledge of Kubernetes and Docker.
 Experience building CI/CD pipeline using Gitlab runner / Terraform / Ansible.
 Server Experience including Bare Metal configurations is considered an asset.
 High tolerance to ambiguity and ability to adapt in a fast-evolving environment.
 Ability to manage time and priorities across multiple projects and duties.
 Excellent synthesis and analysis capacity.
 Experience within the Telecommunications Industry is considered an asset.

 Additional Information
  Why Mariner Partners?
 We believe in making a positive impact in the communities where we live and work – our team is located in major cities all across Canada, throughout the US and internationally. We are proud to be headquartered here, and are passionate about growing a strong technology sector here in Atlantic Canada and beyond. We offer competitive compensation; benefits packages and training and development.
 We recognize that empowered employees are more innovative, more efficient, deliver better customer service and can flat out-perform conventional organizations. Our people have built products for national deployments at the world’s largest TV and Internet companies and leading real estate, financial and government organizations.
 We are looking for passionate IT professionals who are curious about data, who love solving problems for customers and who want to grow their careers.
 Join our growing team!
",PostedPosted 4 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ce86b41dd1278d4d&fccid=d3baf1c820bd7a92&vjs=3
devops engineer,Tiger Analytics Inc.,"Remote in Toronto, ON","
Work Setting

 Consulting firm

 Tasks

 Collect and document user's requirements and develop logical and physical specifications
 Research, evaluate and synthesize technical information to design, develop and test computer-based systems
 Develop data, process and network models to optimize architecture and to evaluate the performance and reliability of designs
 Plan, design and co-ordinate the development, installation, integration and operation of computer-based systems
 Assess, troubleshoot, document, upgrade and develop maintenance procedures for operating systems, communications environments and applications software
 Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and other embedded software control systems

 Computer and Technology Knowledge

 Business intelligence
 Cloud
 R
 SQL
 Mapping and data visualization software
 Programming languages
 Software development
 Data analysis software
 MS Office
 Angular.js
 Hadoop
 React.js
 Scala
 Python
 Data manipulation and analysis

 Area of Specialization

 System integration

 Security and Safety

 Criminal record check

 Transportation/Travel Information

 Valid driver's licence

 Work Conditions and Physical Capabilities

 Tight deadlines
 Attention to detail

 Personal Suitability

 Client focus
 Effective interpersonal skills
 Excellent oral communication
 Excellent written communication
 Team player

 Workplace information

 Remote work available

 Health benefits

 Dental plan
 Disability benefits
 Health care plan
 Vision care benefits

 Financial benefits

 Bonus

 Long term benefits

 Group insurance benefits
 Life insurance
 Pension plan
 Registered retirement savings plan (RRSP)

",PostedPosted 18 days ago,"$100,000–$150,000 a yearFull-time","$100,000–$150,000 a year",https://www.indeed.com/rc/clk?jk=a46d9d410948042b&fccid=cba01270e96bb012&vjs=3
