job_title,company,location,job_summary,post_date,more_info,salary,job_url
Student Helper,LEGO,1100 København+1 sted,"
Take a look at the world of building bricks through the lens of a student worker for what might be the best company in the world!
 Core Responsibilities

Support the team in creating and maintaining various self-service API’s and Infrastructure as Code repos
Help create CI/CD pipelines in GitLab and GitHub
Help create documentation and guides for our users

 Play your part in our team succeeding We are looking for a student helper to assist our Cloud Enablement team through Infrastructure as Code and modern DevOps and Agile practices.
 
 As a student, you will receive a combination of practical experience and training in a work environment that fosters knowledge sharing and coaching among team members.
 
 You should be highly motivated and has a fundamental understanding of programming principles, Linux and Windows infrastructure and an eagerness for hands-on, real world experience.
 
 You are a resilient team player who is goal-orientated and demonstrates a high level of commitment to work under minimal supervision and work collaboratively with the digital product teams.
 
 The team is based at the brand-new LEGO Campus in Billund and our new Copenhagen office. The work environment is exciting, inspiring, and flexible.
 
 We are a very international team; our work language is English, and we use Agile methodologies in our work.
 
 Working in LEGO infrastructure is a hugely rewarding experience and a great opportunity to work with cutting edge front end technology in a diverse and energetic engineering team. We like to have fun along the way!
  Do you have what it takes?

Currently pursuing a bachelor’s or master’s degree in a technical discipline
Strong problem-solving skills with balanced developer and infrastructure skills.
Experience with Python or any other compiled-language experience is appreciated.
Experience with Serverless development is appreciated.
Experience with Terraform or any other IaC language is appreciated.
English at a professional level
Independent and self-managed but shines when in a team, communicating well, and exercising initiative when presented with problems.
You are welcome to include a link to your online portfolio on your resume.

 Join the global LEGO® family Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.
 
 The LEGO Group is proud to be an equal opportunity and an affirmative action employer. We are committed to equal employment opportunity regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
 
 We support our employees in being there for the moments that matter in life and celebrate families of all kinds, the loved ones that make us who we are. Being part of the LEGO Group also means taking part in our annual Play Day, playing a part in building a sustainable future and continuing our mission to “inspire and develop the builders of tomorrow.”
 
 Build your career brick by brick at the LEGO Group.






Location




Denmark, Copenhagen, Zealand








 Job ID


     DK15504
   





 Category




Internship & Student Worker








 Language


     EN
   


",Posted30+ dage siden,Praktik,,https://www.indeed.com/rc/clk?jk=dff1ee41470a1404&fccid=7ffb2f076144ee5d&vjs=3
DevOps Engineer,Eficode,1150 København,"
At Eficode we have a collaborative culture and invest heavily in developing our people. We are currently looking to hire DevOps Engineers (consultants) to our Copenhagen and Aarhus offices.
 We're not just an IT consultancy. We focus on the technical side of Agile and Continuous Delivery - the art of delivering software quickly, safely, and sustainably. Our aim is to change the world by sharing our knowledge and building communities. 
As a DevOps Engineer, you will collaborate and consult with some of the leading businesses in Scandinavia. Our business model is not like your average resource consultancy, we pride ourselves on providing consultants with deep expertise as engineers, but who also come as part of a team.
 Skills and experience
 Our ideal candidate is someone who will actively seek answers and solutions to our customers' questions and challenges, then can communicate and implement them effectively. As an important part of supporting our customers, you will contribute to resolve problems, provide DevOps guidance relating to tooling, processes and ways to improve the development lifecycle.
 We expect you to have experience working in a professional and highly collaborative environment. In addition, you have programming skills, are fluent in English language, you like to work with other people and have an interest towards agile methods and new technologies. 
The below list of skills is wide-ranging and we are not expecting people to be expert with everything. We’re looking for skills in one or two of these areas, coupled with motivation and curiosity to learn some of the others. In each area the technologies listed should be seen as examples not exclusive requirements.

Containerization and Virtualization: you may be experienced configuring Docker, OpenShift, Kubernetes, or possibly serverless architectures.
Commercial Cloud: you may have experience working with the services of at least one commercial cloud providers - AWS, Microsoft Azure or Google Cloud.
Automation: you may have set up build and deploy systems using Azure DevOps, Jenkins, GitLab CI, ArgoCD or equivalent.
Version Control: you may be skilled in handling source code in git, using for instance GitLab, GitHub with artifacts in Nexus or Artifactory.
Software development: you may be skilled in one or multiple modern programming languages. TDD, DDD or other agile coding practices like pair and ensemble programming (earlier known as mob programming) are concepts you might be familiar with.
System Administration: you may be experienced at managing servers based on Linux, Windows or in the cloud with AWS, Azure or OpenStack.

The below list of activities shows what it takes to be effective at this position. We expect that you either have previous experience or you are interested in developing yourself by:

Defining problems for customers, proposing and implementing solutions while adapting to customer needs when it comes to technologies and ways of working.
Teaching technical skills, process, ways of working and DevOps thinking to customers.
Handling interactions with the team and the customer in a way that is transparent, pragmatic and motivated.

The suitable candidates will join one of our teams in Copenhagen or Aarhus. We have interesting and exciting customer assignments waiting for the right people, and a wealth of support and experience to draw on from the other Eficode offices across Europe.
 Your new team
 We are passionate about learning and we believe in our collaborative culture. At the Copenhagen and Aarhus offices we take for granted that you should be able to learn at work and to grow with your colleagues. To achieve this we aim for spending one day a week on ourselves, the team and on collaboration with other teams in the organization.
 We encourage employees to read books such as Getting Naked written by Patrick Lencioni and The Unicorn Project written by Gene Kim. If you don’t own a copy, no problem, you are free to use the office library or we will get you an audio version. 
Our employees go on to build great professional reputations. We want to give our people every opportunity to achieve their full potential, and to change the world along the way. Meet the Humans of Eficode here
 We are looking forward to your application! Please send your CV with a cover letter describing your achievements, why you would be a great candidate for the role and addition to the Copenhagen or Aarhus team via our recruitment platform. 
For more information about the role, please contact Sofus Albertsen for Copenhagen at sofus.albertsen@eficode.com or Mads Baggesen for Aarhus at mads.baggesen@eficode.com
",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=616b7fd5a7228f45&fccid=bec280c2d2916156&vjs=3
DevOps Engineer,kyp.ai,Eksternt in København,"



   Networking (junior) 
    Databases (junior) 
    Ansible (junior) 
    Windows (junior) 
    Virtualization (regular) 
    Docker (regular) 
    Monitoring Tools (regular) 
    Linux (regular)
  


    KYP.ai creates plug-and-play cloud SaaS software helping customers to rapidly understand their abstract processes and how these balance with people and technology dimensions. We are a start-up/scale-up company built by experts amazed by process mining, digital transformation, and ultimately the potential of AI/ML.
   



     Do you have 2-3 years of experience and are you searching for an experienced team to grow within?
   

     Are you a skilled engineer but would you like to switch to a more diverse environment?
   


 Check below if we are a match and join our DevOps/Deployment team.
   

 


 What can you do with us?


 Co-create and execute deployment plan of our product with Release Manager
 Support developers and testers in daily tasks related to DevOps, CI/CD, and automation
 Take care of our infrastructure - maintain existing and implement new solutions
 Improve and optimize deployment processes and tools we work with
 Support the implementation of the KYP.ai system in international companies



 What do we use?


 TeamCity, Gitlab, SonarQube, Nexus, Grafana, Prometheus, Docker
 PostgreSQL, Redis, Kafka
 Terraform, Ansible
 OVH, AWS, Azure, Oracle Cloud – depends on the client but AWS is the no.1
 HyperV, KVM, and other virtualization solutions
 YouTrack, Confluence


 


 What should you bring to KYP.ai?


 Previous experience within DevOps and deployment (preferably Java-based apps)
 Readiness to interact with Customer Teams collecting technical requirements and executing them
 Linux and Windows system configuration awareness
 At least basic experience with databases, networking, and containerization
 Very good analytical and problem-solving skills
 Effective communication skills in English (Polish would be a plus)




 The rest of mentioned tools you can learn with us







What do we offer?


 Monthly salary up to PLN 25.000 on a B2B contract or PLN 20.000 on an employment contract
 Work on an innovative, exciting, off-beat product
 Start-up flair paired with rock-solid technical expertise
 Environment in which people genuinely care about each other
 Technical skills development through knowledge sharing, cracking exciting problems on-the-job together, and lots of data to work with
 Structured individual development plan based on your unique strengths and development areas
 Employment or B2B contract
 Possibility to work fully remotely
 Cool offices to work in Tychy (PL) and Cologne (DE) always when it is convenient
 Premium medical package for you and your loved ones
 Multisport card to keep you fit






 Join us and make an impact from day one.





Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 sep 2022
   





    Indrykket: 1 sep 2022
   



    ID: 331291150
   



    Adresse
   

kyp.ai



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted4 dage siden,Permanent +1,,https://www.indeed.com/rc/clk?jk=82895b69ceb33a33&fccid=00156d80cb899b79&vjs=3
Web3/NixOS/Cloud/Kube DevOps,Correct Context,København,"



   NixOS (regular) 
    Kubernetes (regular) 
    Docker (regular) 
    Linux (advanced)
  


    Salary: is established very individually with everyone based not only on skills but also on being engaged person and having power to move stuff forward
    

Company:


 startup, VC backed already
 web3
 cross-chain protocol for asset managers and traders
 Layer 2 infrastructure



 Day to Day operations:


 plan and design infra solutions
 CI/CD
 automation
 and what usually ops do



 Requirements:


 web3 interest
 NixOS (need to at least know nix/nixos and have at least personal experience with it, just to be comfortable doing stuff with it)
 English
 some cloud experience (aws/gcp/azure/whatever)
 linux/git/kube/docker exp





Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 sep 2022
   





    Indrykket: 1 sep 2022
   



    ID: 331290611
   



    Adresse
   

Correct Context



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted1 dag siden,Permanent +1,,https://www.indeed.com/rc/clk?jk=0db341fbac6b1e94&fccid=96e6227c1f9573cc&vjs=3
DevOps Engineer,Nine A/S,1050 København,"
Brænder du for at sikre kvalitet og er du passioneret for DevOps og automatisering? Du sætter altid en ære i at levere software af den højeste kvalitet - så er du den vi leder efter.

 Som DevOps Engineer hos Nine vil du arbejde med kundernes driftplatform og cloudløsninger. Du indgår i et tværfunktionelt team og arbejder med DevOps-opgaver, f.eks. automatisering af provisionering, continuous integration, test og releases/deployment – både on-premise og i cloud-infrastruktur. Du implementerer DevOps-metoderne i tæt samarbejde med udviklingsprojekterne og kundens driftsorganisation. Du bistår med driftsopgaver og udarbejder installations- og driftsdokumentation.

 
Som ansat i Nine, kommer du til at arbejde på forretningskritiske projekter, som udførende konsulent hos vores kunder. Du indgår i tværfaglige teams, og trives med at rollerne til tider overlapper. Du sætter en ære i at levere software af den højeste kvalitet. Du vil udvikle dig fagligt gennem opgaverne, og gennem interne faglige arrangementer og eksterne konferencer i ind- og udland.


 Rolle
 Din rolle bliver både udførende og at rådgivende. Du skal implementere og vedligeholde værktøjer, der sikrer continuous integration, continuous delivery og en release pipeline som understøtter applikationsudvikling og -vedligehold. Med andre ord, faciliterer du samarbejdet mellem projekterne og driftsorganisationen.
 Du indgår i et tværfunktionelt team og arbejde med DevOps-opgaver, f.eks. automatisering af provisering, continuous integration, test og releases/deployment – både on-premise og i cloud-infrastruktur. Du implementerer DevOps-metoderne i tæt samarbejde med udviklingsprojekterne og kundens driftsorganisation. Du bistår med driftsopgaver og udarbejder installations- og driftsdokumentation.

 Ansvarsområder
 DevOps, udvikling, drift, automatisering, infrastruktur, cloud og rådgivning om samme, bliver din hverdag hos den kunde, som du bliver tilknyttet. Du får ansvar for sikre drift af kunders cloudløsninger, og får en vital rolle i det udviklingsprojekt(er) du er på.   Provisionering af infrastruktur


 Etablering af infrastruktur til drift af applikationer, typisk i forskellige miljøer til at understøtte en CI/CD pipeline
 Fokus på Infrastructure as Code, så provisionering af infrastruktur er kontrolleret og repeterbar

 Build pipelines & deployment

 Konfigurer og vedligehold build-pipeline og build-servere, og fokus på CI/CD-metoder, som understøtter udviklernes behov
 Vedligeholde artefact-registrer til at indeholde images og charts etc.

Systemovervågning og div. analyse


Etablering af distribueret loging og monitorering af systemer
 Support og overvågning af fjernsystemer i drift.

Cloudbehandling og -lagring


Rådgive om anvendelse af storage og godkendelser
 Etablere backup løsninger til cloud-storage


 Som DevOps Engineer hos Nine kan din baggrund kan være meget divers. Du kan komme med erfaring som software-udvikler, infrastruktur specialist eller med anden relevant profil. Vi ser gerne at du har en videregående uddannelse fra DTU, ITU, KU eller lignende med fx datalogi, software design eller lignende, med en appetit på operation. Du er flydende på dansk og engelsk i både skrift og tale, og trives i at have den daglige kontakt med kunden.

 Du skal have evnen til at omsætte kundebehov til handling, og have forudgående erfaring med tre eller flere af følgende:

 Microservices
 Cloud services (Azure, AWS el. Google cloud)
 CI / CD-servere (Jenkins, Travis, Azure DevOps, TFS)
 Docker, Kubernetes og OpenShift
 Terraforms
 Webbaserede standardplatforme (fx Atlassian-produkter)
 Applikationsservere (fx Tomcat)
 Databaseservere
 Scripting (Bash, Powershell, Python, Ansible, Terraform)


 Vores ideelle kandidat er nysgerrig af natur, interesseret i at lære andre sprog og teknologier og vigtigst af alt, har en positiv og samarbejdsvillig holdning. Du skal være i stand til at strukturere dine opgaver, arbejde uafhængigt og søge alle nødvendige oplysninger for at levere de bedst mulige løsninger.

 Det vil være en fordel, hvis..


 Du har været en del af et DevOps-team
 Du har erfaring som Tech Lead
 Du har erfaring fra den offentlige eller den finansielle sektor

 Om Nine
 Nine er et it-konsulenthus. Vi leverer specialudviklede it-løsninger der kombinerer dyb forretningsforståelse med teknologisk indsigt. Det er vores mission at skabe digitale løsninger, som vi kan være stolte af. Løsninger af høj kvalitet med lang levetid, der styrker den offentlige forvaltning og vores kunders konkurrenceevne. Vi har brug for endnu flere dygtige konsulenter, der tør stå forrest og udfordre status quo. Vores konsulenter arbejder med løsninger centralt i den offentlige it-infrastruktur, f.eks. virksomhedsregisteret (CVR), personregisteret (CPR), og Skat – og for virksomheder i finanssektoren, med stor berøringsflade i befolkningen. Dit arbejde og dine ideer vil derfor få indflydelse på mange menneskers hverdag.
 Nine tilbyder et fagligt spændende miljø, med dygtige kolleger, hvor du som medarbejder vil føle dig hjemme. Vi tror meget på faglig udvikling gennem interessegrupper, teknologiske oplæg, sparring med vores egne folk såvel som tekniske profiler udefra. Vi tilskynder at vores medarbejdere bidrager aktivt i Open Source projekter, samt deltager på konferencer som F.eks. QCon, JavaONE, GOTO, Gr8Conf, Devoxx, JBoss World o.l.
  Mere information og ansættelsesproces
 Ønsker du at vide mere om rollen som DevOps Engineer kan du kontakte Talent Recruitment Manager, Christoffer Dahl på telefon 29890725 eller skrive til job@nine.dk. Vi afholder samtaler løbende og ser frem til at møde dig og lære dig bedre at kende.
",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=f9502c85d2afc4c1&fccid=449426e84efa02c6&vjs=3
DevOps,riskmethods,Eksternt in København,"



   GitHub Actions (nice to have) 
    Python (nice to have) 
    Datadog (nice to have) 
    Heroku (nice to have) 
    Docker (regular) 
    SRE (regular) 
    Terraform (regular) 
    Redis (regular) 
    Postgres (regular) 
    AWS (regular)
  


riskmethods- the intelligent way to manage risk!

 Are you ready to take an opportunity to jump start you career with the next SaaS champion in Supply Chain Risk Management? Then read this carefully! We are looking for an aspiring and motivated team player as our new
    

 Site Reliability Engineer


 Requirements:


 Experience working on cloud infrastructure (preferably AWS but we’re open for other providers)
 Know Terraform, Docker, PostgreSQL and Redis
 Know how to set up automated monitoring of complex production services.
 Experience working with microservices
 You have a strong command of English, as it is our main communication language.



 What you will do:


 Be part of SRE team; empower developers in area of infrastructure management
 Develop Infrastructure-As-A-Code architecture foundations, used further by engineering teams.
 Mentor and support engineering teams with reliability topics related to infrastructure they own
 Work on tools and trainings for other engineers.



 What we offer you:


 International team working in the same time zone
 Real impact on the work of 8 engineering teams and technology used on daily basis.
 Optional, extra paid on-call duty
 Private health care, Benefit program
 Personal development budget to spend on conferences, books and trainings
 Plenty of fun, team events, table tennis, kicker, drinks and great colleagues.



 About riskmethods



     riskmethods provides our customers with a cloud-based supply chain risk management solution. Our innovative AI-driven service empowers businesses around the world to proactively identify, assess and mitigate risk in their supply chains to protect revenue and reputation.
    


     At riskmethods, we work cooperatively to ensure our customers’ success. We welcome new perspectives, insights and ideas and believe in our people.
    


     We offer a flexible working environment including the opportunity to work remote and support each “riskbuster” in achieving their personal goals and in making a difference.
   




Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 sep 2022
   





    Indrykket: 1 sep 2022
   



    ID: 331290678
   



    Adresse
   

riskmethods



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted4 dage siden,Permanent +1,,https://www.indeed.com/rc/clk?jk=d366a88a13968473&fccid=6b85008ca7fece9b&vjs=3
DevOps Engineer,Seargin Sp. z o. o.,Eksternt in København,"
Seargin is looking for a DevOps Engineer


Position: DevOps Engineer
Technologies: DevOps, BMC, Kubernetes, Network
Location: Copenhagen
Country: Denmark
Area: Project
Form of employment: B2B
Experience level: Regular / Senior


The main tasks for the DevOps Engineer will be: 

Installing, customizing, supporting and enhancing system monitoring infrastructure
Integrating monitoring tools to event management infrastructure with script and program development
Supporting day to day operation of monitoring functions
Developing software to automate monitoring operation
Ensuring availability, performance and supportability of our monitoring infrastructure
Developing and delivering software products and automation systems on time with good quality
Providing good working knowledge and guidance in one or more scripting languages including Perl and shell scripts on Linux/UNIX platforms or Windows


The Candidate should have:

Deep understanding of 
   
BMC TrueSight
BMC Patrol
Linux/Unix or Windows
Kubernetes

Knowledge of networks from a monitoring point of view (SNMP, Traps)
Programming skills (Perl, C# or other)


Team-oriented, detail-oriented, efficient, and solution-oriented attitude
Superb analytical and problem-solving skills
Excellent communication and interpersonal skills
Flexibility and ability to work independently and in a team
Great English skills (written and spoken)


It would be a plus if the Candidate had: 

Danish language


The Candidate can expect:

B2B Contract
Challenging job in an international and multilingual environment
Professional development
Attractive and competitive compensation


If you meet the requirements described above, please send your application in English (.doc) at jaroslaw.raniewicz@seargin.com stating the name of the position in a subject and/or call +(48) 662 399 001.
",PostedI dag,,,https://www.indeed.com/rc/clk?jk=1fcb71cba0d9888d&fccid=2587a83cdf5fc594&vjs=3
Team Lead DevOps,EXMO,København,"



   Kafka (regular) 
    Terraform (regular) 
    MySQL (advanced) 
    CI CD (advanced) 
    AWS (advanced) 
    Kubernetes (advanced)
  


What we do
 We are a product company that is developing Hi-tech solutions and innovative approaches to building a scalable, resilient and secure system for the large crypto exchange. The main priority is to deliver the safest product for our customers. We declare and practice the „Infrastructure as code” approach using Terraform and Ansible. We use code review as a part of our daily routine. The deployment process is based on CI/CD via Gitlab. As a management tool, Kanban helps us prioritize and stay focused on the main purpose.
    

The main responsibilities are:



 Maintaining, optimizing, and developing processes within the infrastructure management team
 Service platform infrastructure development and improvement (K8S, MySQL, ClickHouse, Kafka, Gitlab, etc)
 Collaborating with other team members, QA department, IT Secure department, etc, knowledge sharing within the team
 Design, implement, and define new solutions and workflows for the team to solve technically complex issues and the team’s speed and efficiency
 Participation in Team management of the DevOps team.



 Tasks:



 Building a modern, resilient, cost-effective and secure architecture for a large crypto exchange (99.99% SLA)
 Deliver top-notch solutions using the best DevOps and SRE practices
 Manage and migrate existing services to optimize core infrastructure within AWS
 Making enhancements to existing tools to drive automation deployment for staging and production
 Building and implementing an infrastructure that meets standards such as PCI DSS etc



 Perks of being a part of EXMO.


Crypto teaches us to be flexible, forget about cliched employer offerings and grab the perks that you really deserve!



 Flexibility with full remote working or comfy coworking. It’s up to you.
 Relocation programs to countries where we have offices.
 Salary which reflects that we really value your work.
 Annual performance bonus in EXMO ?oin.
 A reimbursement of English lessons and sports activities.
 Professional growth by attending courses and conferences.
 Medical insurance and 100% sick leave coverage.
 10 days-off per year without sick leave.
 20 days annual vacation.
 Extra day-off to celebrate big if you have a birthday, wedding, kid’s birthday. We also offer a gift — money bonus to make your party even bigger!
 Friendly team who is waiting for a new player 




Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 2 sep 2022
   





    Indrykket: 2 sep 2022
   



    ID: 331293463
   



    Adresse
   

EXMO



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",PostedI dag,Permanent +1,,https://www.indeed.com/rc/clk?jk=8ec627a928b05462&fccid=b70b0e1e40123dc9&vjs=3
PHP DevOps Engineer to LOOMIS-PAY,Loomis Pay,Eksternt in København,"
Come join an exciting fintech in an early stage and a chance to have a huge impact on future development. An international environment with high energy, strong teamwork culture and a positive vibe.  
About LOOMIS-PAY
 We are an ambitious startup funded by Loomis Group, aiming to offer an all-in-one payment solution for shops, cafés, and restaurants all over the world. 
Since launching in October 2020, we’re live in three countries and have built a team of 80+ bright people with payment experience who are working hard to make this a global success. 
The teams are based in Stockholm, Copenhagen, Amsterdam, and Lodz – our office policy is ""remote-first, presence optional"". 
Who are we looking for? 

A developer mindset for solving infrastructure, security and operations problems 
Experience with AWS 
Experience with PHP and Laravel web framework
Takes end-to-end responsibility
Broad experience of DevOps, including
   
Site Reliability
Infrastructure as Code
CI/CD
Automation
Relational databases
Message brokers
Metrics / Logs / Traces



Experience of security, such as
   
Network Security
Vulnerability management



A willingness to understand and meet the requirements of financial regulation 
Bachelor of Science or similar

 Good to have 

Experience with the following technologies
   
Git
Terraform/Terragrunt
Docker
PostgreSQL and MySQL
Kafka
 

What’s in it for you? 

A team of down to earth people who are really good at what they do 
An exciting company in an early stage and a chance to have a huge impact on what is being built 
A small, growing company where you can help shape the organisation, processes, culture – as well as your own role 
An international work environment 
Generous benefits and pension packages 

If this sounds interesting, apply now!  We will perform a background check on the final candidate.

",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=4adeb0a90027a9b4&fccid=5ffa44893fd238fd&vjs=3
DevOps Achitect,Publicis Sapient,København,"
 Company Description
  Publicis Sapient is a digital transformation partner helping established organisations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.



 Job Description
  What sort of projects will you be at the heart of?
 You could be a part of leading the design, build, optimisation and deployment of state-of-the-art automated DevSecOps process. You could be leading Continuous Integration, Continuous development, Continuous monitoring initiatives that can holistically deploy Front End, Back End, API and Big Data process for Enterprise scale applications.
 You will thrive in playing a key technical role in helping to drive clients’ adoption of strategic initiatives, enabling our clients to become Agile by employing a start-up like approach to software delivery on an enterprise scale.
 What are we looking for in you?
 You'll find yourself working on a wide range of projects across the financial, retail and FMCG sectors. You'll get to work with the latest technologies, while providing strategic technical advisory and complete software delivery automation solutions to some of the biggest companies in the world during this exciting era of technology transformation.
 You are a technologist at heart and in craft. You are equally comfortable working with deep technology specialists, creatives and strategists. You have a genuine appreciation for creativity and an interest in technology and its impact on humankind. You display intellectual curiosity and openness to learn about new industries, new fields, new disciplines and are excited by change and learning.



 Qualifications
  Do you have the following?

 Experience working as DevOps architect or leading the team of DevOps engineers towards DevOps vision.
 Ability to drive DevOps vision while coordinating with different application stakeholders and ensure smooth rollout of DevOps practice.
 Hands-on experience in creating application build pipelines, continuous monitoring, integrating with automation test toolset.
 Passion for code quality and driving business value using DevOps tool chain.
 A strong understanding of the entire DevOps tool chain from a quality perspective.
 Ensure continuous availability of various tools supporting Source Code Management & Release Management including Source Control, Continuous Integration, & Change Management
 Design and build Infrastructure as code, blue-Green deployments, Logging, monitoring, and alert pipelines
 Engage with cross-functional co-located teams in design, development and implementation of enterprise scalable features related to enabling higher developer productivity, environment monitoring and self-healing, and facilitate autonomous delivery teams.
 Support team in driving automation in unit test setup and quality gate setup
 Integrating Code Quality tools and Code Analysis tools into IDE’s like Sonarcloud, Snyk.
 Experience in setup of end-to-end DevOps process for custom and packed solutions like Salesforce or AEM and leading efforts to develop and maintain efficient, reliable, and scalable automated solutions
 Strong leadership and communication skills to effectively manage client accounts and multi-track global teams
 Hands-on skills, and project experience with Automated package delivery tools - one or more of Ansible, Chef or Puppet and build management servers such as Jenkins, Azure DevOps, TeamCity
 Hands-on skills, and project experience the following application build tools - Npm or Gulp AND Maven or Gradle.
 Hands-on skills, with Docker or other software container technologies.
 Working knowledge of Junit and/or Jasmine non-functional, functional and unit test frameworks and tools.
 Working knowledge of Tomcat and WebSphere application servers and java containers.
 Basic infrastructure knowledge - Operating Systems, VM’s, Containers, Proxy, Nginx.

 Additional Information
  Benefits of Working Here: We work with cutting-edge technology which has always been part of our DNA and we want our employees to define what technologies our clients use next We provide many learning opportunities to deepen your skillset and to support your professional growth We put the well-being of our people first and organize various health initiatives We offer you a vibrant workplace culture with many different community events throughout the year
 Please note: The entire PS community is working hybrid and flexible. Our recruiting procedures have been adjusted to ensure the health and safety of our candidates and our people remain a priority. Most of our interviews are still taking place via phone and video conferencing. Thank you very much for your understanding.
",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=1976dde0b379a5a1&fccid=be4c5737f0408279&vjs=3
