job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Junior - H/F,Mobiskill,Paris (75),"
Kubernetes / Aws / Terraform
 DevOps Developer / CDI / Environ 50k€ / 0 - 2 ans / Paris
 Le poste
 L'entreprise fournit un service permettant aux clients d'avoir un accompagnement et un service de conciergerie complet. Elle possède plus de 700 concierges dans le monde. 
Les responsabilités

 Accompagner l'évolution de la plateforme
 Faire du build (50%) et du run (50%)
 Maintenir l'infrastructure 

Pourquoi venir chez nous?
 -Possibilité de toucher à tout -Accompagnement de la part d'Ingénieur plus expérimentés -Possibilité de prendre en charge des projets de A à Z
",Postedil y a 4 jours,50 000 € par anCDI,50 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwMULmlYjVk_Br5rNmm-MHe0EXU9eEpgTPCbIqjx6pfOuehYV5wL63MO_QrhXPkGQyPzxupuoLNCnal9N-uIPyO6ryqoQUWpcW2by9_dLYuiOI6NdX5zIJNO5HU6re9ukZWTbW6__AHturg_ZDONYN_iguN-Zu4P_R2S1Hf7isC2ug14fgmallgDFjd5rapyndmAadPLGoiubcGXgLflwnfrt4y09lCr1GMr0F1NHiS2T5lJv4i9G7nEeitZC4Nu7R7QAk3jQfTLtF4jN103dkz_4uhyJE4jADLkQxRuiNEnYttQBarWhmjxlUMvR1aIw3An4r0Xw8ld5DSzPmKu7BUVRiKAT06h8sq181fiB--GGI-8M2CQeLL7p8u7fOXjPVUOBNrbI5A_H104NnzzeT6Ns8wnla-nHjzeq183wptXm_Q1NZ8CJ5YlbPI9tvcTJYMTE8nq_r4G9Q6atCfh4x1AUW4FHPYi53Rl6IHni9nHUyBO0aGICAf04OSMn4T4iZcDU5CpYftKwCEvkP6Zf4gB5lv14ne8GJnIkxhm4IZvZ9M68yWIsPsxFaPLbfRIA0NVPJPAWUXoxN-ZaoGsDiOFJBwcLAbhwQl1N4ABcrwkRdUCyTyxrVIe1CjChMZqtUMODVOVaHxrWJFgPgY1LoeA9HMRdvUYavx-P_2rzcd5MSXR7BxdFQblOZ6Im-HkHjuCFKUKxf_EsXIBkWU4ZqS_T3kBzxSLs=&xkcb=SoA6-_M3ZBRrvfxr1J0LbzkdCdPP&p=0&fvj=0&vjs=3
DevOps (IT),ENOV-IT,Paris (75),"Mettre en place des services ou des process 
Faire évoluer ou refondre la CI/CD 
Améliorer l’infrastructure de l’entreprise 
Gérer les déploiements, mises à jour et supervision du logiciel 
Etre force de proposition sur les solutions techniques",Postedil y a 3 jours,De 60 000 € à 80 000 € par anTemps plein,De 60 000 € à 80 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWyjbSUUiFP_S1iVwCP19EkbD5wYgY6_6IRd3te4yP7gH1Adzg7Kcir9l9iT7aMk5ig2_lg_yJAgDDF7vMuXEErXzPEablQneQCz-laHKPCj9Cvz4dJHjKJUDXcUhypU9Yv0c427FGx_VlwOtbE_KaPqnzPLXixv0uuyA7JSYCSLYg64cXsxK9YzSnYtAUrUVSWEBAGieghHG8UenzwtTrxf_Cvpi8PzY6fA8b925ZnphFQ-rJ1-Bp-F8dqIEvfQD0f48JfaQR2MmgpdJ64VDZOO92ojvDftsAiarjz-S6p6kV-wWowIFEeOZztpuBMYM3NptBpZU6I8zm93g3trB_OZYx5bY99i49IlQPsKgKgrJNuDZbV_oA6uT3fGqa-CiCozphaXst22au_mwUqQk1uv3UivTeswy3VZ35wpoahRDrWWkZSOJOTRTbkZGW7LoqbMNMz963bXfObU5rl3wjWsGv54Hwj3vq5GEfBNEoD0NtkbVniW5_XRKxxoY5BQGgE7IoTFYcgRwt8hc7UVDxSW8k22-3ocvPfruwV8MeRq6A1OU0Q6KFFhpp66HELK7mdQVVOz3xSQhnfIOBFPJ0bDhkH7jHZhwuhBZhIvLAZLYw20758N-1KNdTdorzU8BTgTC2usGBU0CqoViaHvxb2ES_JDtbEzvbbc4zzyXwLA27pmzK6_0Odr7iiQrlMA05Q=&xkcb=SoCO-_M3ZBRrvfxr1J0KbzkdCdPP&p=1&fvj=0&vjs=3
Devops CDI 75K Remote CDI - H/F,KONEKT,Télétravail à Paris (75),"
Git / Linux / Python / Docker
 DevOps Developer / CDI / Environ 75k€ / 3 - 6 ans / Paris
 Le poste
 Ayant comme objectif de devenir Leader européen dans l'IA embarqué, la start-up a besoin de renforcer ses effectifs techniques via le recrutement d'un Lead Devops. Missions du Lead Devops : -Vision Stratégique -Pilotage technique -Pilotage d'équipe
 Les responsabilités

 Tu pilotes, au quotidien, l’équipe composée de 4 personnes aux compétences variées
 Tu conçoives et formalises des solutions d’automatisation de déploiement
 Tu conçoives les roadmaps avec les différentes équipes
 Tu pilotes et animes des ateliers techniques ou workshop d’amélioration continue
 Tu fais monter en compétence l’équipe

 Pourquoi venir chez nous?
 Les avantages : BSPCE Remote Mutuelle d'entreprise
",Postedil y a 9 jours,75 000 € par anCDI,75 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwMULmlYjVk_Br5rNmm-MHe0EXU9eEpgTPCbIqjx6pfOuehYV5wL63yhIwJypL8MqqsgztNWwHmU3vqfT4dTWiZ668Qlfwd9o8rcYT6lt4YzdhqvNI7PNS0arTRTcw0oHshni_cN38dJwovAvT7F-EHG1J3t2Kkh0hbhZdfh8WxjpNIanjbB0FTndAfGitNYZlcKxxPWLCii-rvSFmESd_x75IBrZFNAOsXyL1zI-9uHk57YGaEIhSUgrNcWrtYECaJkl_ryOKw18XY1ndbps5SxEj1ltwow80nd2C0OCkOPDCCVCdF-Da4rbWXofs3IAEhM8VvruNhwnILD8tSeWGeVF-1iUcCTbhv1AAvGIvrNdKdi81VbJ3YxdEvan4SnkCqLgJyoGn2j17KHsi7QnFETgiY0Sv5faefOtrrGzKYX1rIi5itZNty8Ew3m2UvF-hzLpb6lxD4y3Ekzm9Beco0V84lRJlPWliVIrpYpuxWJ97raptik37TqOO9vFxZ0MJeQMVuunPZM9Ae167magyVSLGEf5ZD7NPlO1uV3CVFY2255wefWGVU8elRVxVwtTsRxwR_LuF_VMu-qq4fHZMhb91aPN_A1veXiWuyPHIkoJFGvqQm55eg-GXqPuWN5RFN8BESuX8oO5WDVBEBWPun_hrcR8cOhjw0Lt6w1YwjdVmRESnjXuqeYV-KEQ3stI=&xkcb=SoAT-_M3ZBRrvfxr1J0JbzkdCdPP&p=2&fvj=0&vjs=3
ADMINISTRATEUR SYSTÈME DEVOPS- - CDI - NANCY - (H/F),Conserto,Strasbourg (67),"
Conserto, un collectif à la pointe de la technologie, une communauté inédite centrée autour d’une culture Digitale, du DevOps et de l’Agilité. Nos consultants sont les ambassadeurs de notre performance et de la fidélisation de nos clients.
 Car chez Conserto, nous sommes convaincus que la satisfaction de nos clients passe par le bien-être de nos consultants !
 Pour découvrir notre univers, ainsi que nos 12 agences, présentent sur 9 villes c'est par ici : conserto.pro
 Pourquoi nous rejoindre ?

Pour co-construire votre projet de carrière, accompagnement personnalisé sur la formation, notamment via la Conserto Academy, conférences, évènements techniques ...
Pour bénéficier de nos avantages : accords télétravail, déplacement, CET, comité d'entreprise, pack social...
Pour faire parti d'une entreprise mobilisée sur les questions liées au handicap, à la diversité, ou encore RSE
Parce que rejoindre une société où il fait bon vivre ça n’a pas de prix, proximité, transparence dans les échanges, management horizontal, mobilité restreinte.
Pour rejoindre une réelle équipe et vie d’agence (communautés techniques, soirées d’agences, afterworks, défis sportifs, Ludoserto...)



Conserto poursuit sa croissance et s'est installée dans le Grand Est pour apporter sa touche de féérie ! :)
 Alors, si vous souhaitez rejoindre une agence en plein développement, soyez dans les premiers de l'aventure pour apporter votre note à notre partition !
 Nous recherchons un Administrateur Système orienté Cloud/ DevOps (F/H) , pour accompagner l'un de nos clients sur Nancy.
 Vous intervenez sur les missions suivantes :

Participer à l'administration courante des briques du SI
Evolution et automatisation des environnements techniques (playbook,scripting)
POC et évolution de l’infrastructure existante (Labs, force proposition)
Support technique aux équipes Développeur et Intégrateurs
Rédaction des documentations associées
Administration et maintien des environnements Linux, Windows, docker, et plateforme de déploiement (GIT CI, jenkins, AWX …)

Vous avez des compétences techniques et/ou de l'appétence sur :

Les environnements Linux/Windows
Scripting Shell
Langage : Python
Containerisation clustering Docker Swarm, kubernetes
Les serveurs d’applications redhat/Jboss/Tomcat/HTTPD
Les serveurs de supervision ELK/APPD/Zabbix/Graphana)
Les bases de données Oracle, SQL Server, Postgres, redis

Idéalement, vous avez l'habitude de travailler en méthodologie Agile.
 Notre politique de recrutement privilégie l'égalité des chances & la diversité des individus au sein de nos équipes.
",PostedAujourd'hui,CDI,,https://www.indeed.com/rc/clk?jk=e942bbc540d85aea&fccid=a4dc08b02be0af7c&vjs=3
DevOps et Administrateur Azure / Freelance,TedWag Partners,Paris (75),Profil experimenté en infrastructure Azure avec 5 ans d'experiences minimum Niveau d'anglais technique Bon relationnel pour échanger avec les équipes techniques,PostedAujourd'hui,De 550 € à 650 € par jourTemps plein +1,De 550 € à 650 € par jour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdE2Rku-oimkQWkAhsTywy165DPHhKM6cmRJnZ9YB6HytUdvjWlhuFIZwhQk5eUTPaGnQ2Tqka7I2-e04RmS-aJ_lHyaF4OfUBg2utFbesur6FUqUCD_qZkEqnc4sVE2vuqRp_brgksZHe7PtyTJVqk_LvSWg5TqIj2cUH2nPpqmTm_6z05KZEVyDOWyG_yZlymKgAKBa3b1w32Nvns5woPxx5og2NFepRznUOW2wj_FR5CEq34bpuYdvANGta4VrUIaxYa_ig_E7zmm3NqPYyGKJ0k2VgBO8Xmzg-_HfhZJEF1dE8HyB1gBCEOSxDJ4-HlW9PGRpbRAbSKrfsdAyftOabdOr14Dylsm0RrqU4xeoRdVZdHvoYuqNTskktOgUhp2PKUb7Rg0Jnh_jTdLaxYz383xHnI9hVHiOeieedeIfKIpHGk7kyVl3oepxxuI8FTpseiFYGCMPWQ0uMFosbmaiOHv2q9Z8J_WlW4PHT5lDAkvqmbfT6pG6E5gqSFN7jYypwInA1O9FNO5WVxO_rhCef7GkVn66YUJoPNgww-ZZWsM6o7zvCYpcDnLsxkLTIhYwLrY3DOBAj3515RmLuIzsAUjOU6GR4L9GcmZOkDMzgjXLWQQUBpRpgN_qJuBmJ&xkcb=SoAp-_M3ZBRrvfxr1J0PbzkdCdPP&p=4&fvj=0&vjs=3
Devops Secops / Freelance,ABSIS GROUPE,Montrouge (92),Nous recherchons plusieurs Devops / Secops dans le cadre de la création d'un portail web. vous intégrez une équipe de 10/15 personnes vous êtes très à l'aise techniquement,Postedil y a 3 jours,De 600 € à 650 € par jourTemps plein +1,De 600 € à 650 € par jour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdE2Rku-oimkRV19s8_Nfh9wedz2dB8CveJn29cVdEYXUFEg2U2h96hN2tTqSFPqd-SzxkGJInC2CDyK76IeYQA84vWi_ovUbqHB5-eSQzvUmFr5uLSUycORJN_1puTpLQQEQLApp9QsdmxlYrZLwqJWKzPOBkVFfeXp-NayfCymrnYQzYSpNpbuopG3fSeWkSlUCnYqCPORzG42EkiIDEQ_eaqCrjSpZaGPF6nTLlBfyPUl2806hNyFnYKF4MbE_7vMwy8YlUrRe7rJAakIIGmqkO-LblSA9SBexQChgeKw-ZvHJ31MHq4OBX3sqN_F4cvfMHJzsoE9HXrGN3d7QHDKFGBkrOYSAjuQ5K2kSOYiZB3PN2nNF25GBCPpC51FJPLyIBd74oF5b0Rg9D4WP5DATdOlCagNmNu783LdbUGW5StAFz5qJQwmgXudusV0Cc-nWTGLOhoOvCMzVNJvQVdonXiy0q8IN4v3eiTlnUCzM5pQdp47JZlhV4ciMIp57YG8ltc6tWHGoCBnOJe3MDmtXcJZvhhPZR-xCBzWWoZRWU7fTM7YYiEYdLPtf2VJZrRFIa1g7eJwc2iRb5C_TYeTFu7DP2Pg0pj8j5xjkCr6o=&xkcb=SoCd-_M3ZBRrvfxr1J0ObzkdCdPP&p=5&fvj=0&vjs=3
DevOps F/H,Galitt,La Défense (92),"




Votre futur environnement de travail




Au sein de l’agence Platforms, la Direction Industrielle est chargée de l’amélioration des pratiques d’ingénierie logicielle et accompagne les équipes vers des démarches Crafts-Wo-Manship, Agile, DevOps …
 Rattaché(e) au Directeur Industriel de l’équipe, le stagiaire travaille en interaction quotidienne avec les équipes de développement et de test.
 Aujourd’hui, l’industrie des paiements vit une mutation profonde. Au sein de Galitt, vous aurez l’opportunité d’être acteur de cette révolution : la transformation digitale des paiements.
 Rejoindre Galitt, c’est participer à une véritable aventure humaine au sein d’un grand Groupe indépendant, maître de son destin, qui met le digital au service de l’humain pour construire un avenir positif.








Votre rôle et missions




L’objectif du stage sera de déployer et configurer les outils DevOps (principalement Kubernetes et GitLab CI/CD) pour accélérer la transformation des modes d’organisation du développement vers la démarche DevOps.


 Vous intervenez auprès de l’équipe QA (Assurance Qualité) et dans une équipe produit en mode Agile (Scrum) sur :

L’intégration de l’automatisation des tests (approche BDD) dans les sprints
La mise en œuvre intégrée des bonnes pratiques visant à l’obtention de la bonne qualité produit (analyse statique, recherche de vulnérabilités, …)
La gestion intégrée des environnements, de test notamment
La prise en compte précoce des problématiques de déploiement



 Les premiers sujets d’implémentation seront fournis au stagiaire, avec une expression de besoin précise, et des préconisations d’implémentation.








Ce que nous vous proposons





Initiation au monde de l’entreprise, plus particulièrement au domaine monétique.
Monter en compétence sur les technologies de base de la culture DevOps, avec l’accès à un écosystème riche et complet, et des applications concrètes.
Plusieurs centaines de formations accessibles en toute autonomie depuis l’app mobile avec Sopra Steria Academy.
Construire un avenir positif en mettant le digital au service de l’humain : donner du sens à notre métier au quotidien : Vous serez l’artisan d’un service qui améliore le quotidien de millions de gens quand ils payent et de milliers de commerçants quand ils encaissent.









Votre profil




Etudiant(e) en dernière année d’école d’Ingénieurs ou équivalent Universitaire, vous êtes à la recherche d’un stage de fin d’études avec perspective de pré-embauche. Vous aimez les nouvelles technologies et vous avez une première expérience, des technologies de containerisation (Docker) et d’orchestration (Kubernetes).
 Vous aimez travaillez au sein d’une équipe, vous êtes prêt à vous investir dans un projet innovant et vous êtes rigoureux, curieux et force de proposition, alors ce stage est fait pour vous.
 Idéalement, vous avez une appétence pour la culture DevOps.


 Chez Sopra Steria & Galitt, nous sommes engagés pour lutter contre toute forme de discrimination. Nous favorisons un environnement de travail inclusif et respectueux de toutes les différences. Tous nos postes sont ouverts aux personnes en situation de handicap. https://www.soprasteria.fr/nous connaitre/nos engagements.








A propos de nous




     Vous cherchez à rejoindre un secteur en forte croissance, dans une entreprise dynamique portée par les innovations technologiques ? Rejoignez-nous ! Galitt, leader dans le domaine des paiements a pour interlocuteurs tous les acteurs de cette transformation : établissements financiers, grands commerçants, industriels du paiement, startups tant en France qu’à l’international, pour guider leurs choix stratégiques, accompagner le déploiement des projets paiements, ou encore développer des applications innovantes.
     
 Les paiements ont toujours été au cœur de l’activité économique car ils permettent aux différents acteurs de réaliser des échanges entre eux : ils sont donc au cœur de l’interface entre le secteur bancaire, le commerce, les services sur mobile, les plateformes internet etc…
 Depuis plus de 30 ans, Galitt accompagne ses clients sur tout le cycle de vie de leurs projets avec un ensemble de métiers et de savoir-faire complémentaires et reconnus. Galitt est une filiale du groupe Sopra Steria, leader européen de la transformation numérique.








Le lieu du poste




La Défense





",PostedAujourd'hui,,,https://www.indeed.com/rc/clk?jk=9e4d463fb0a98fb2&fccid=6078cb712a83a748&vjs=3
DEVOPS ANSIBLE / Freelance,BEEZEN,Montreuil (93),"Le bénéficiaire souhaite une prestation d'accompagnement dans l?objectif d?assurer l'écriture et l'implémentation des déploiements applicatifs automatisés via ansible Tower. Les missions sont: - Création des rôles et playbooks de déploiement ansible; - Création des scripts Python pour les déploiements d'EAR/WAR sur WebSphere; - Migration des automates de déploiements existants dans CA Release Automation vers Ansible (118 applications à migrer); - Support au reste de l'équipe, déjà partiellement compétente; - Création des environnements techniques applicatifs via ansible; - Maintien de quelques astreintes en HNO par an (lors de MEP via ansible). Compétences technologiques : WebSphere Python (pour scripter les actions de déploiement dans websphere) Ansible shell UNIX Linux Windows Powershell Oracle sql Expertise ansible/WebSphere/Python au sein de l'équipe nécessaire.",PostedAujourd'hui,De 400 € à 530 € par jourTemps plein +1,De 400 € à 530 € par jour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdE2Rku-oimkQWkAhsTywy1x5Yo0XWECzqohGOnqHw86HTXICai-PfgZi-e70wtBC2zPzUkzFNCB_g5MWI_nVRCTtJdXxqkGrNLCXqngKQlWeVglzxbTI9iYkSeLsXfDoowlFmrGWdialjSzJvUsR2I2lopGiQV6FMKZl5hcW1HABI_0rQqxrwAEWLWfgkOFDeHTDlwEXM9c6tzx1JAJquNip8P0fyx_TLoKRDKgxXC-ChHL6CpfdOrKwt_LhleRbhYOwRb-OYoh6fnE5Zr7xIgQ5XLMI4ms9lw3yNuXOOMJhBm3Z5bJlJ8gb_Rk5wNAXcZWAn-172xFhQ5QnpnNd_MrPbMEJVWl4XlkCVzINOv7SGBHwNZab1voqifUK5SsoTc2GdPMBu2RH0p-aVWOmsOj5CkUzR2DDj2dNnscC03t0dnBv8RVWWynTymN5Af8PuwuB1g9yCFJnBnoKN-qwf1hGrBW_jGa1sGI1JUVCo2MQPLHx25l52CPlBqr8TjbEhcszkx6KyNU79C_3poL3UxksffzjCWTXUSnQuam_HIj7DJ2CIQsbchTkDyAXrlrIhijCNERh7KKHpbpKEMj1g669Fpp2O132nWerG8-NrueY=&xkcb=SoAA-_M3ZBRrveRr1J0KbzkdCdPP&p=7&fvj=0&vjs=3
Devops (IT),wineos,Paris (75),"Contexte de la mission 
Profil devops senior, pragmatique, autonome et intransigeant sur la qualité des livrables. Habitué de Java et d’Ansible mais capable aussi de monter en compétence sur d’autres technologies si besoin. Proactif et s’implique dans les différentes phases : de la conception à la gestion de la production 


L ’ A P P L I C A T I O N ( B A C K O F F I C E ) :
 ICCS est l’interface de communication du SI Marché d’Affaires 
Il permet d’assurer la connectivité entre le SI et les boitiers IP à travers différents réseaux WAN. 
Ses engagements en terme de performance, de sécurité et de résilience sont très élevés. 
L’ensemble des flux du marché d’affaires transitent par ICCS et de ce fait son éventuelle indisponibilité/défaillance rend inopérant l’intégralité du système. 

 Ceci est l’entité Enedis situé à Nanterre. 

 Livrables 


LES ACTIVITÉS :
 Conception / Architecture SI 
Développement 
Intégration sur l’ensemble des environnements dev à prod 
Automatisation des tests 
Mise en place des outils de supervision / perf / troubleshoot 
Supervision applicative et Suivi de production (SN3) 


L’ORGANISATION :
 Équipe agile pluridisciplinaire qui prend en charge son produit de la phase de conception jusqu’à la mise en production et en assure ensuite le MCO. 
Outre des compétences en développement java, les aspects OPS, run, performance, robustesse, et sécurité font pleinement partie des activités et responsabilités. 
Des astreintes sont à prévoir. 


LES COMPÉTENCES :
 Agilité (mindset et valeurs plutôt que framework et théorie) 
Culture de l’amélioration continue (pas seulement sur un aspect technique), de l’écoute, de la transparence, du respect. 
Culture du test (du TDD au BDD) 
Proactivité, curiosité, force de proposition / conviction 
Autonomie et responsabilisation 

 Il permet d’assurer la connectivité entre le SI et les boitiers IP à travers différents réseaux WAN. 
Ses engagements en terme de performance, de sécurité et de résilience sont très élevés. 
L’ensemble des flux du marché d’affaires transitent par ICCS et de ce fait son éventuelle indisponibilité/défaillance rend inopérant l’intégralité du système. 

 Ceci est l’entité Enedis situé à Nanterre. 

 Livrables 


LES ACTIVITÉS :
 Conception / Architecture SI 
Développement 
Intégration sur l’ensemble des environnements dev à prod 
Automatisation des tests 
Mise en place des outils de supervision / perf / troubleshoot 
Supervision applicative et Suivi de production (SN3) 


L’ORGANISATION :
 Équipe agile pluridisciplinaire qui prend en charge son produit de la phase de conception jusqu’à la mise en production et en assure ensuite le MCO. 
Outre des compétences en développement java, les aspects OPS, run, performance, robustesse, et sécurité font pleinement partie des activités et responsabilités. 
Des astreintes sont à prévoir. 


LES COMPÉTENCES :
 Agilité (mindset et valeurs plutôt que framework et théorie) 
Culture de l’amélioration continue (pas seulement sur un aspect technique), de l’écoute, de la transparence, du respect. 
Culture du test (du TDD au BDD) 
Proactivité, curiosité, force de proposition / conviction 
Autonomie et responsabilisation 

 Compétences OBLIGATOIRES 
Spring 
Ansible 
Java 
RabbitMQ 
Cucumber 
Jenkins 
PostgreSQL",Postedil y a 1 jour,De 40 000 € à 45 000 € par anTemps plein,De 40 000 € à 45 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWydAwTkiETax5TFanTbq2AB-2TlGpdJVHFFB9mK4v_mAiaZCcJB7FDMmXXjKD8-UUWQRc0RAdhzPUMNdTA0_Kbt2Z9E0r42gFNLB_P7VRF1W_ldLhphYXP2XU-XayLrEOUImFTFfSZKvC49cgz_eD9QpQH6pQPMgp-YuUQs1jWll-FJydL6pDTrPvpywzJDkPMEV-fg6bsmA4n9lGaef_edOIGrFyeKFsfwXxJb7StdG8lL4iIET6wUoiIXL1oPboUQJdWsMP7irx9a0Ie6AqeOvcGxbjHzpFTQC7Mde2X_tN_8nn_hI-FY8f7aCJeRNHh6slSOZ207Sfc9QZitRrtzR90OCFF6Hm1VH6Pe_TIW9g29ONyNcGRoBcRor9YtQ3LSfT0eWB69nx9zJJ_8XTZ01gSnLJf-of2y4JTeie2sBwwKG5vSBrR_Ayhl94khCEIUet0V0WSSH6SVv2YhrEoK_W0NH9cOHJxAvFCuysWjNvIlJ02KuBIZJ6fIruJaQTPvXSgZzl05Crrx4nEhXBELn2ArDQfEC8Q3E88UW9dMDG4IQmGCSRLpVF3LAjnNzhEV0k7R0Q7zLDU_czzfxTRNiGMeRsWQOMA7HKNY9Hvr4VAyx59ty2cCWlaNGFEck9dVm6_vTxTYbnjAVzoXwesaBsXZy8Z_k3AjiSo9ekb8JrbXhtG9LmbPgLEpeRosTZs=&xkcb=SoCd-_M3ZBRrveRr1J0JbzkdCdPP&p=8&fvj=0&vjs=3
DevOps / SRE,Kaino,+ 1 lieuTélétravail,"Pour le compte des clients finaux, je recherche des SRE/DevOps (CDI).
Où ?

Remote
Start-up leader de leurs marchés

Les taches ;

La modernisation de l'architecture
La perfection du système de surveillance
La création d'une chaîne CI/CD solide afin d'améliorer l'expérience des développeurs
Sécurité SI

Compétences ; Cloud public (AWS, GCP, Azure ...), Docker, Kubernetes, Ansible, Terraform...
Type d'emploi : Temps plein, CDIStatut : Cadre
Salaire : Jusqu'à 70 000,00€ par an
Avantages :

Horaires flexibles
Participation au Transport
Réductions Tarifaires
Titre-restaurant

Programmation :

Horaires aménageables
",Recrutement régulier,Jusqu’à 70 000 € par anCDI +2Horaires aménageables,Jusqu’à 70 000 € par an,https://www.indeed.com/company/%EF%BC%AB%EF%BC%A1%EF%BC%A9%EF%BC%AE%EF%BC%AF/jobs/Devops-939a5c5793fbfc2a?fccid=58ca0d7e5f0de4ee&vjs=3
