job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Engineer,THL,"Auckland City, Auckland","
TH2 Connect is on the lookout for an experienced and dynamic Dev Ops Engineer to join our close-knit and high performing team. You'll work alongside our IT Operations Team, IT Development Team and DevOps Team from our office at the 'Beach House', and will report to the GM Information Technology. This individual must understand the value of, and have experience with the following items: * Linux / Windows administration skills * Strong experience in scripting languages (Python, Bash, etc.) * Strong hands on experience on AWS technology stacks * CI / CD implementation and troubleshooting (Jenkins, TeamCity, GitHub, etc) * Infrastructure as Code (Terraform, CloudFront) * Container service and orchestration * Experience with IT networking configuration and administration, preferably Cisco Meraki * Strong research and implementation skills for new technologies and ideas * Prior knowledge of software development is not required, but the desire to pick up a programming language will be beneficial * Experience with these technologies advantageous (not in any order): * APM and infrastructure monitoring tools: New Relic, Datadog, Prometheus, etc * Logging stack: ELK * Database: MongoDB, MS SQL, PostgreSQL * Web services (web daemon, proxy and cache): Nginx, HAProxy * Automated provisioning: Puppet, Chef, Ansible, etc So if you're up for a challenge and think this is a job where you can really sink your teeth into, apply now! Not only this, but why not take the opportunity to experience a holiday in any of the vehicles in our extensive range through our great staff discount scheme - there's no better way to sell the country to our customers, than to experience it first-hand!







     Reference #
    

     39915 
    




     Posted on
    

     27 May 2021 
    




     Closes on
    





     Location(s)
    

     Auckland Central 
    




     Expertise
    

     Information Technology 
    




     Job level(s)
    

     Experienced/Skilled 
    




     Work type(s)
    

     Full Time 
    




     Group division
    

     TH2
    




",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a1bea3dc91811f74&fccid=5db0fe8d793d2297&vjs=3
AWS DevOps Engineer - Jnr-Intermediate,Presto Resourcing Options,"Auckland City, Auckland","
Role type: Permanent Location: Auckland Job published on: 30 August 2022 Become Essential part of a fast-growing business, joining the Cloud Team, you will provide level 1 & 2 support, growing your knowledge and becoming a valued member of the team
  Providing exceptional VIP service to multiple SaaS customers, Automation is key along with providing support for AWS related issues – there is loads of variety here!! To qualify you will need to have:
 

At least 2 years of AWS cloud administration
In-Depth knowledge of EC2, ECS, RDS, S3, CloudWatch, CloudTrail
Experience deploying solutions to AWS, including PaaS & serverless
IaC (CloudFormation, Terraform, etc) & Scripting experience
AWS certification
Previous experience at a managed services provider would be beneficial
Exposure to AWS well-architected frameworks would put you on the top of the list
Customer outcome focused and work well with others in a geo-dispersed team.
Exceptional communication
Ability to participate in an on-call roster for after hours support
This is an exceptional opportunity, don't hesitate, send your CV and Cover letter and APPLY today!!

",PostedPosted 4 days ago,PermanentShift work,,https://www.indeed.com/rc/clk?jk=d33ee21787451c60&fccid=f96996a4f0e0f4d6&vjs=3
DevOps Engineer,Hutt City Council,"Lower Hutt, Wellington","
About Us
 At Hutt City Council our vision is to build a connected, resilient and inclusive city where all of our people thrive -Kia noho mai tēnei tāone hei pou herenga waka, hei pou herenga kaupapa, hei wāhi whai hua ki hōna iwi.
 It's never been a better time to join the team at Hutt City Council. We're transforming how we work within our organisation, and with our community, to move in a new direction. We're committed to ensuring Te Awakairangi, our place, thrives - and we need exceptional people to help us achieve this.
 About the role
 Reporting to the Applications Team Lead, you'll work with the Senior Devops Engineer to develop changes for current systems especially relating to application interfaces so systems can share information between each other. You'll also contribute to the day to day running of the team, building on our knowledge sharing culture.
 About You
 You'll have intermediate knowledge of Microsoft technologies such as Power Automate and Flow. You will also have an in-depth understanding of application architecture, especially designing and implementing integration solutions.
 Your experience in quickly building and maintaining proactive and effective relationships with users and partners will be essential and you'll be comfortable in facilitating or being hands on to resolve issues, with a proven ability to identify and manage risks.
 As a customer-focused team member you'll keep customers front of mind in the way you approach your work.
 We recognise rewarding you is not only about your pay, so we've outlined some of the great benefits that may be available to you as an employee of Hutt City Council. Read more about them here: careers.huttcity.govt.nz/your-total-rewards
 As part of our broader COVID-19 management strategy and to further protect the wellbeing of our staff, communities and partners from COVID-19, we support and encourage all of our staff to be vaccinated.
 Applications close Sunday 11 September 2022




Job Details






       Reference # 
      

       17581 
      




       Posted on 
      

       25 Aug 2022 
      




       Closes on 
      

       11 Sep 2022 23:55 
      




       Expertise 
      

       Information technology and information management 
      




       Work type(s) 
      

       Permanent full-time
      






",PostedPosted 9 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=5d81cfd15917e67f&fccid=871f7ef86c832136&vjs=3
Release/Devops Engineer,DXC Technology,"Wellington City, Wellington","
Job Description:
 We have an opportunity for a Release/Devops Engineer to join our vibrant Wellington team. You'll service our local New Zealand customers maintaining and managing Releases in a fast-paced environment. You will manage the Release and Deploy activities for the client, through all phases of the project lifecycle. This role involves interaction with internal and customer stakeholders at all levels.

 DXC Technology (NYSE: DXC) is the world's leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology serves nearly 6,000 private and public sector clients across 70 countries. The company's technology independence, global talent and extensive partner alliance combine to deliver powerful next-generation IT services and solutions. DXC Technology is recognized among the best corporate citizens globally. For more information, visit www.dxc.technology

 Each day brings fresh challenges, maintaining and managing version and configuration control providing a technical build service to the business by delivering software changes to environments in a controlled and recorded manner. Manage, control, merge and verify the software build environments and processes supporting the software development lifecycle, including maintenance and control of current configuration baselines and creation of deployment packages.

 You will gain knowledge of our service offerings, capabilities, innovation and best practices to collaborate with the Project team and client to deliver high quality solutions. We truly value our people and want you to succeed here, so we offer a competitive salary, access to training and a bunch of other great stuff.

 Responsibilities;

 Assist in the design, implementation and testing of CI/CD pipelines
 Work on ways to automate and improve application build, package creation and deploy the application using TFS / Azure DevOps
 Coordinate with different stream of application project leads and Technical leads
 Using TFS/Azure Dev OPS deliver Development Code Branches, Perform Code Merges and co-ordinate resolution of any code conflicts
 Using TFS/Azure Dev OPS, Build and Deploy Code packages to Deployed Infrastructure across multiple working Domains
 Support delivery of Project infrastructure and assist with debugging delivery and deployment issues
 Communicate with the team regarding key project plans, commitments, and essential changes which include project requirements, schedule, scope changes, and QA plans
 Plan the release of project deliverables and release life cycle
 Create plans for the implementation and deployment as per the release schedule
 Lead the Go-Live activities to deploy the solution successfully

 Experience required;

 Experience working with a Microsoft deployment stack, including Windows Server, IIS, SQL Server and Azure DevOps
 Experience delivering code in a production environment
 Experience in Continuous Integration and Continuous Delivery (CD/CI) pipelines
 Experience in working with DevOps and Agile methodologies
 Experience with Windows Server Administration minimum 2 years
 Experience working in a technical Delivery role supporting multiple Development projects


 Trust, Transform & Thrive with a company whose mission is to lead clients on their digital transformation journeys, DXC Technology will be recognized globally as a force multiplier, enabling clients to seize the opportunities presented by today's rapidly changing technologies.
 If you are a self-starter with a strong customer focus and a results oriented approach complimented by your strong verbal and written communication skills, we would like to hear from you.
 New Zealand work rights required.
",PostedPosted 15 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=aeb3a9bcd471cf7b&fccid=feaabf8e6a699d3c&vjs=3
Senior DevOps Engineer,The Warehouse Group,"Auckland City, Auckland","
 Company Description
  Welcome! Kia Ora
 Our purpose at The Warehouse Group is ‘Helping Kiwis live better every day.” The Warehouse Group (TWG) is at the most exciting point in our nearly 40 year history as we transform our way of working to meet the demands of a constantly evolving retail industry.
 We’ve moved to Agile working to meet the ever-changing demands of our customers. We’re simplifying the way we work, speeding up decision making, and breaking down the hierarchy so we work better, faster.
 Our Technology footprint is impressive and underpins the successful running of our impressive operation. From our digital presence to our warehouse and order management systems plus a myriad more, we’re a place Technologists want to be and we’d like you to be a part of that



 Job Description
  What do we need? - he aha ta tatou e hiahia ana
 We are looking a Senior DevOps Engineer to join us.
 The Role will help shape and lead Transformation change within the Business from a DevOps Perspective. You would need to know what “good” looks like and what enables a high performing Development Team.
 We have a truly exciting opportunity to drive efficiencies into the business through Enabling our Development Teams to be the best they can be. We value your demonstrable experience in:

 Implementing “Shift Left” practices.
 Understanding how architecture can enable or limit the drive for automation.
 Have a code-first mindset.

 You will be working closely with an engaging manager who values your ideas and opinions. There will be opportunities to help form the direction of this role, the tooling and systems used in the business.



 Qualifications
  So who are you? - e pa ana ki a koe
 So, here is what we are looking for:
 It would be ideal if you have the majority of these skills below…

 Have a Development or Testing Background to a high level and have worked as part of a high performing team.
 Experience in creating & maintaining CI/CD pipelines
 Understanding of how artefacts are managed and promoted through environments.
 Experience in automating Infrastructure deployment using tools such as Terraform.
 Experience in configuration management tools (Ansible, Puppet, Salt or similar)
 Experience with Docker and Kubernetes and Helm.
 Experience with a major cloud provider.
 2+ years’ experience in running large systems and Infrastructure
 2+ years’ experience in Software Engineering
 Experience with timeseries monitoring platforms
 Experience with logging systems based on the ELK stack
 Experiencing with alerting systems
 Problem solving Skills are essential. Bring your stories form the trenches, we would love to know how you solved them.
 The ability to work under pressure.
 The ability to communicate to many stakeholders, some of which aren’t tech-savvy.
 Experience in breaking stuff. In a managed way of course. Chaos Monkey or similar skills would be good.

 What you'll do:

 Be customer-focused and engage directly with other with squads, architects and tribes to understand platform needs and build solutions to address these.
 Work with stakeholders and squads to agree and implement business metrics and Service Level Indicators/Objectives/Agreements.
 Contribute to the direction, structure and culture of our Chapter.
 Develop, guide and educate other squads on the creation of CI/CD pipelines into our Kubernetes environments.
 Continuously Improve our shared DevOps Infrastructure and Platforms that are used across the group.
 Implement and automate Monitoring and Alerting solutions.
 Implement and automate Capacity planning solutions.
 Maintain a broad understanding of our systems and industry trends.
 Take ownership of your personal career and development.

 Additional Information
  Why work for us?

 We are the first retailer globally to go agile.
 You will be working cross functionally across tribes, squads and chapters
 You will have lots of formal and informal learning opportunity.
 We are a fun, collaborative, technical and culturally diverse Chapter.
 We care about each other, we are one team
 You will be exposed to new ways of working.
 Above that, we offer Staff discount, birthday off, and flexible working and onsite parking (yes, you read right - onsite parking!!)

 If you want to know what it is like to work for a company that is like family, apply online and find out. We look forward to receiving your application.

 Up for it? The apply now button isn’t just for show
",PostedPosted 30+ days ago,Full-timeShift work,,https://www.indeed.com/rc/clk?jk=34c3cb8d6a9657ce&fccid=c41716291790879c&vjs=3
AWS Senior Cloud DevOps Engineer,Computer Concepts,"Auckland City, Auckland","
Leaven is the Cloud Transformation Business Unit of CCL, and part of the Spark Business Group.
 Our purpose is to enable Aotearoa to thrive and adapt in a digital world, and we do this by enabling and driving public cloud adoption, digital innovation, and business transformation.
 The team - AWS Practice
 The AWS Practice consists of 18 skilled engineers and architects spread across Auckland, Wellington, and Christchurch in a mixture of permanent and contract roles. Their backgrounds are evenly split between operations and development, but everyone believes in a DevOps culture and helps instill it in the customers they work with.
 The role - AWS Senior Cloud DevOps Engineer
 AWS Senior Cloud DevOps Engineers at Leaven / CCL are focused on implementing solutions that help New Zealand businesses embrace and adopt public cloud services.
 Day-to-day activities can include:

 Deploying AWS Landing Zones using Control Tower
 Migrating customer workloads into AWS (lifting and shifting, rearchitecting, refactoring, etc)
 Writing and deploying AWS resources using IaC and automated pipelines
 Assessing and remediating issues within customer cloud environments
 Automating AWS processes
 Writing automation for continuous assurance on AWS
 Deploying infrastructure and platform services to support emerging technology and innovation projects e.g. Serverless, Containers, ML, AI, IoT etc.
 Enabling DevOps, CloudOps and Agile ways of working
 Contributing to the architecture and design of cloud systems
 Mentoring CCL and customer staff on cloud technologies
 Lead customer engagements without supervision

 Technical skills we're looking for
 You must have experience with:

 Infrastructure as Code (Terraform, CloudFormation, CDK or similar)
 CI / CD pipelines (CodePipeline, Azure DevOps or similar)
 Experience with most of the core AWS services (EC2, RDS, VPC, S3, Route 53, CloudWatch, ELB, SNS, SQS, Lambda)
 Scripting (Python, Bash, PowerShell or similar)
 Container technology (Docker, Kubernetes or similar)
 Troubleshooting and resolving issues with live cloud environments
 Regular code reviews

 You should have implemented, have some experience with or have an understanding of:

 Scripted VM image baking (Packer, custom scripts or similar)
 Scripted VM configuration management (Ansible, Puppet or similar)
 Migration of on-premise or IaaS resources into public cloud
 AWS Landing Zones (Control Tower or similar)
 Automated testing processes and tooling
 Contribute to architecture design, discussion and documentation

 Not required, but any experience with the below would help your application:

 A software development background
 Serverless application development on AWS (Lambda, API Gateway, S3, DynamoDB or similar)
 Machine Learning AWS Service exposure (SageMaker, Rekognition or similar)
 IoT experience on AWS

 Certifications
 At least one of the following preferred, but not required

 AWS Certified DevOps Professional
 AWS Certified Solutions Architect Professional
 Any Specialist AWS Certification

 At Leaven we are proud of our culture. We're kiwi owned and operated. We are whānau. We have each other's backs and have created a relaxed way of working together while also meeting high delivery expectations.






    Reference #
   

    7044 
   




    Posted on
   

    21 Jul 2022 
   




    Closes on
   

    30 Sep 2022 
   




    Location(s)
   

    Auckland City 
   




    Expertise
   

    Client Engagement, Cloud/DevOps, Consultants, Engineering, Team Leaders, Technical Specialists 
   




    Job level(s)
   

    Experienced 
   




    Work type(s)
   

    Permanent full-time
   



",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=4e37b7898c83a6d7&fccid=7053a0fc2169304a&vjs=3
Azure Cloud DevOps Engineer x 2,Computer Concepts,"Auckland City, Auckland","
About Us
 Leaven is the cloud transformation business unit of CCL (Computer Concepts Limited), New Zealand's largest locally focused multi-cloud and IT services company, now also a part of the Spark Group. CCL is integrated with Leaven, our cloud and business transformation services unit, helps organizations accelerate and succeed with cloud adoption, digital innovation, and business transformation
 Leaven has a strong heritage of delivering cloud-based solutions to New Zealand organizations. We combine local knowledge and experience with robust and proven delivery methodologies to help organizations embrace, run and innovate on the public cloud. We lead the way with our expertise in our field and passion for our work and our clients. we work with large government and private hyper-scaling cloud companies
 Culture
 People join Leaven for its outstanding culture which embraces diversity, work-life balance, career development, mentorship, and innovation. There are standard benefits such as laptop, mobile phone plan, and Medical Insurance just to name a few. But it is the Leaven culture that employees stay for. Leaven prides itself on being different and having a culture that is sure to excite you and provide you with the tools to accelerate your career. Leaven is leading the way in Cloud-based solutions, this is because we are a team of thinkers and value your input and ideas! We are a strong team, and we would love for you to join us.
 About the Role
 Due to continued growth of our Cloud Transformation business, we are seeking an Azure Cloud DevOps Engineer to join our outstanding team. This is a client facing role and is responsible for providing continuous cloud development, operations including automation, cloud environment implementation, configuration, migration and re-factor activities. You will also roll up yourselves and help set up and run tooling including CI/CD and IaC implementation.
 Automation Design & Implementation

 Infrastructure as Code, Scripting and Coding
 ARM
 Terraform
 PowerShell
 Git
 CI/CD Pipelines, such as Azure DevOps, Jenkins



 What We Give You
 In return, Leaven will provide an empowering environment that nurtures the right candidate and promotes innovation and growth, a competitive package is on offer. At Leaven we are proud of our culture. We're kiwi owned and operated. We are whānau.
 Application
 To apply for this opportunity, you must be a New Zealand citizen, resident, or have already secured the right to work in New Zealand and, therefore, hold a valid visa.






    Reference #
   

    7592 
   




    Posted on
   

    14 Jul 2022 
   




    Closes on
   

    03 Sep 2022 
   




    Location(s)
   

    Auckland City, Christchurch City, Wellington City 
   




    Expertise
   

    Client Engagement, Cloud/DevOps, Engineering, Technical Specialists 
   




    Job level(s)
   

    Experienced 
   




    Work type(s)
   

    Permanent full-time
   



",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=b034a74d607f90cd&fccid=7053a0fc2169304a&vjs=3
DevOps Application Support,Sugandi Consulting Limited,"Auckland City, Auckland","
 We are looking forDevOps Application supportfor one of our clients in Auckland, New Zealand.
  Our client is a Global IT giant and with a large presence in Australasia.
 

 Job Description:


 You must be able to do execution of software installations and configurations
 Recurring review of infrastructure components for performance and resource utilization
 Participation in the implementation of services migration in the context of DevOps teams
 Operation of Linux-based web applications
 Rollout of server and OS updates
 Development of fallback options and recovery scenarios for seamless Service perception at the customer
 Consulting and support of other DevOps teams in component selection, procedure and technical protection
 Continuous monitoring of IT systems
 Analysis and correction of faults
 Carrying out problem analyses
 You should have 4 to 6 Years of experience

 Mandatory Skills: Linux, Grafana, Kubernetes, DevOps, Shell Scripting
 
Good to Have Skills:Java

",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c8197f274d680141&fccid=9db64537393ffc3f&vjs=3
DevOps Engineer,IQVIA,"Auckland City, Auckland","
We have an exciting opportunity available for a DevOps Engineer to work as part of the Technology Solutions group, and you will be responsible for building and maintaining the platform-layer & related tools.

 This role is full of exciting challenges and as part of our team, you'll be given a clear career path, specialist training, a strong commitment to your success.

 Key responsibilities: 

Develop and maintain the Infrastructure and Deployment tools for platform-layer (AWS, Terraform, NuGet, docker, Kubernetes, etc.)
 Continually improve the CI / CD tools and processes for continuous build, deploy and CI systems (Gitlab, Microsoft.Net Tools)
 Troubleshoot / Maintain / Support the business-critical environments
 Automating the infrastructure deployment/management activities
 Aptitude/aspiration to learn new technologies and evolve with the product / company


 Key requirements:

 Bachelor's degree in Computer Science or related field
 Has 1 to 5+ years of Software/DevOps Engineering experience (preferably with Microservices architecture)
 Proficiency in the following: AWS, Terraform, Docker, git, CI (preferably Gitlab), Microsoft.Net, C# and good hands with any scripting language (shell, PowerShell, JavaScript, NodeJS, python)
 GO programming skill will be a value addition
 Experience with IAC tools (i.e., Terraform, CloudWatch, etc) an advantage
 Is a great problem solver who takes pride in their work
 Enjoys collaboration and working with others in the collaborative teams
 Good communication and organizational skills


 What's in it for you:

 Permanent, full-time position
 A collegiate atmosphere working with other consultants who love the challenge of helping people improve
 A respectful work environment that values individual strengths
 Flexible working when you need it
 Professional development including training, workshops, courses, conferences
 Career coaching with like-minded people to help you achieve your personal and/or professional goal(s)
 Health Allowance + Annual Bonus
 Staff events and more


 Please note that this is position is only available for candidates currently residing in New Zealand.

 IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com
",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=984d0723e5d51b33&fccid=6b7a1dfe07e7f037&vjs=3
DevOps Lead - Remote Available,Ryman Healthcare,"Remote in Christchurch, Canterbury","
Be the voice for DevOps. Lead the continuous improvement of our platform. Remain hands-on whilst also working at engineering leadership level.

 Join an organisation that values kindness, excellence, teamwork and innovation
 Take responsibility for the strategic direction and smooth running of world-class products and services
 Enjoy the freedom to innovate and drive excellence in the DevOps space
 Remote working options available

 What will you do?
 As an experienced DevOps Engineer, you'll be accountable for the strategic direction and smooth running of our platform which consists of numerous services in Azure and in private data centres. Our applications include life-critical functionality, so you'll help maintain the very highest standards of reliability, whilst supporting rapid deployment and iteration within a complex environment. With various brand-new products under development it's an exciting time to steer our DevOps processes to deliver better solutions, faster.
 Who are you?

 You have extensive hands-on, commercial DevOps experience and building pipelines, preferably in the Azure public cloud
 You have experience in implementing infrastructure as code
 You have experience in a leadership role or are ready to step-up to the challenge
 You are passionate about learning and implementing best practices in DevOps such as CI/CD
 You are familiar with SRE principles and building reliability into customer facing applications is something that excites you
 You value people and kindness, and are as passionate about improving the lives of others as you are about delivering a fast and efficient engineering services
 You strive for excellence and constantly look for ways to exceed expectations
 You believe in the value of strong, positive, trusting teams who work together as one

 What's in it for you?
 At Ryman we have ambitions to lead the industry at a global level. You will be surrounded by people who are not content with ""standard"" and will work for a company that will support you to be your best self.
 In addition, a career at Ryman offers:

 Ongoing support for professional development
 The opportunity to join the Ryman Team Member Share Scheme
 Additional wellbeing leave and flexible working arrangements
 Access to over 60 discounts with well-known brands across a variety of sectors including; health and wellbeing, banking, insurance, and retail
 Social club events, furry Friday's (bring your dog to work), free yoga classes and a free gym membership

 Who are we?
 At Ryman we are recognised for excellence in delivering world-class retirement living experiences. But what's lesser known is the significant investment in technology and the innovations that our team have been delivering to market since 1984.
 We have a team of 100+ tech professionals designing, developing and delivering cool solutions for our residents and the business. With an entrepreneurial spirit our teams work within a progressive and supportive environment, working on fun and meaningful projects.
 If you are interested in joining an organisation with a clear purpose and a commitment to safety, kindness and excellence, we would love to hear from you. Apply now!
 To learn more about a career in our Technology team where we are not content with standard, and are always looking for ways to make meaningful differences in our residents' lives through the use of technology, click here - https://careers.rymanhealthcare.com/jobs/technology
 Applications will be reviewed as they are received and interviews may take place prior to the close date. This means we reserve the right to close a job ad before the advertised close date.
",PostedPosted 23 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=b6e8b2dfe5ccf493&fccid=2e370eceb5772449&vjs=3
