job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Engineer,TECHNOPALS PTE. LTD.,Singapore,"
Job Description: 

3+ years experiences within AWS DevOps. 
3+ years experiences in reference to order preference 
   
Python or 
Shell scripting 

3+ Experience with a continuous delivery and continuous integration development environment git, 
Able to debug and troubleshoot to resolve issues. 
Experience working under Agile methodology 

Job Requirements: 

3+ years experiences within AWS DevOps. 


3+ years experiences in reference to order preference 


Python or 


Shell scripting 


3+ Experience with a continuous delivery and continuous integration development environment git, 


Able to debug and troubleshoot to resolve issues. 


Experience working under Agile methodology 

SKILLS & COMPETENCIES 
AWS, DevOps, Shell or Python
",PostedPosted 1 day ago,"$7,000 - $13,500 a monthContract","$7,000 - $13,500 a month",https://www.indeed.com/rc/clk?jk=46e3dabe085540f9&fccid=d7461deb2a8da1cc&vjs=3
Junior DevOps Engineer,CyberLitmus,Singapore,"


   Company
  

   CyberLitmus
   
     cyberlitmus.com
   




   Designation
  

   Junior DevOps Engineer
  



   Date Listed
  

   16 Aug 2022
  



   Job Type
  

   Entry Level / Junior Executive
   
     Full/Perm
   




   Job Period
  

   Immediate Start, Permanent
  



   Profession
  

   IT / Information Technology
  



   Industry
  

   Computer and IT
  



   Location Name
  

   Beach Road, Singapore
  



   Address
  

   Beach Rd, Singapore
  



   Map
  




   Allowance / Remuneration
  

   $2,800 - 3,800 monthly 
  




   Company Profile
  

CyberLitmus helps organisations build their security awareness programmes at a fraction of the cost. We provide a holistic, fully managed programme with hyper-realistic & localised phishing simulations, bite-sized microlearning, and 24/7 leak monitoring. Our solution is available as a SaaS and onboarding is non-invasive and seamless.




   Job Description
  

What you will be doing:
 As our DevOps Engineer, we will be relying on you to ensure that our technical infrastructure is robust and remains in good shape. We are a growing company, and therefore our needs are constantly evolving. You will lead the maintenance of our existing infrastructure and product deployments, and you will be heavily involved in growing that infrastructure and product deployments as we expand.
 In addition to managing infrastructure, you will also be involved maintaining the technical data within our products, and ensuring that that data is updated and correct, such as pre-defined material that our customers have access to. At CyberLitmus, we are constantly developing such material, and our value add to our customers is to provide them with a constant stream of such material, through our various products.
 You will also take on the role of Release Manager, and you will be the guardian of product releases. In this role, you will be involved in testing the various aspects of our product, when new features are released, and when new material is added to those products.
 Finally, you will involved in developing scripts and programs to standardise, validate and automate the above aspects, to ensure their correctness and consistency.
 You will be working directly with the technical team and our CTO.
 Your responsibilities include:

 Understand the existing technical deployments in use in CyberLitmus, both automated and manual.
 Develop various tools to aid automated testing and deployment across our infrastructure.
 Monitor and check existing automated processes to ensure that they are functioning correctly.
 Perform pre-release testing and release management.
 Set up infrastructure (e.g. AWS, CI/CD, etc.).
 Perform incident management and root cause analysis.

 Skills you will need include:

 Understanding of computer infrastructure (including networking, web servers, reverse proxies, load balancers, etc.).
 Understanding of cloud infrastructure (primarily AWS).
 Ability to read basic code (we use TypeScript, JavaScript and Golang).
 Ability to create scripts or programs for automation (we favour bash/zsh scripts, Golang and Python).
 Ability to perform accurate impact analysis, prior to making infrastructure and/or deployment changes.
 Ability to go through code and processes rigorously and accurately, towards minimising errors and downtime.
 Ability to communicate systematically, clearly and precisely.





   Application Instructions
  

   Please apply for this position by submitting your text CV using InternSG.
    Kindly note that only shortlisted candidates will be notified. We look forward to receiving your application soon!
  


",PostedPosted 30+ days ago,"$2,800 - $3,800 a monthPermanent","$2,800 - $3,800 a month",https://www.indeed.com/rc/clk?jk=128484677d7e1414&fccid=16db2f87e10909bd&vjs=3
DevOps Engineer,percept-solutions,Singapore,"


Job Description
 Strong experience in Docker, Ansible, puppet, mesos and Kubernetes. Strong knowledge of Distributed Systems such as Hadoop, containers. Experience on Perl/Python. Work directly on Kubernetes, Docker, and several other open source projects. Experience administering a data warehouse and analytics infrastructure using YARN, Spark, Hive, and/or Impala. Management of Hive UDF’s and PySpark dependencies preferred. Experience with a scripting language such as Ruby or Python.


Job Requirements
 6-7 years of experience in DevOps especially in configuration management tools such as Puppet or Chef. Responsible for overall Docker & Kubernetes,mesos setup, configuration Experience in defining Bigdata Deployment Solution on Docker based environment Should be well versed in generic Administration tasks of creating Docker images managing versions, container networking and standard Infrastructure maintenance tasks on Docker and kubernetes platform. Should have knowledge of Linux kernel options such as groups and defining application groups to restrict resources
 EA License No: 18S9405 Reg No: R1330864


Skills & Competencies
 Docker,Puppet,Ansible,Puppet,Hadoop,Bigdata



Number of Vacancies: 4
Minimum Years of Experience: 6
Salary: S$6000-S$9000



",PostedPosted 30+ days ago,"$6,000 - $9,000 a month","$6,000 - $9,000 a month",https://www.indeed.com/rc/clk?jk=5239547c8670ce07&fccid=f6228f639e9a9be2&vjs=3
DevOps Engineer,Grab,Singapore,"
Job Description: 

Life at Grab: 
At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia. 

Get to know our Team : 
The Foundations team is a new team team responsible for cloud engineering and developer tools at Grab. We make an impact by building the automation and tooling that enable our platform and development teams to effectively and securely operate. Our team is made up of devops and infrastructure engineers. If you are looking for cloud infrastructure, devops, or devsecops opportunities, then you should join our team! 
   Get to know the Role :  We are looking for an engineer to automate management of cloud infrastructure and developer tooling. We believe a successful candidate has experience with one or more cloud environments, knowledge of devops concepts and practices, some scripting/coding ability and ideally some experience working in platform or CI/CD teams delivering functionality to developers, but if you believe you have what it takes then we’d love to hear from you either way. This role is required because we have a large developer community and an ever more sophisticated set of tools and automation requirements. In return, you will get an opportunity to expand your skills into a number of different areas - from systems administration through to backend coding, integration with vendor systems, cloud automation and security, SRE and more.    The day-to-day activities : 

You are responsible for automating common cloud operations - account/subscription creation and management 
You spend time with security ensuring that their needs are built into automated guardrails for developer resources 
You support the developer community in their needs, always with a view to self-service and automation where possible 
You are responsible for the roll-out of new cross-cutting technologies - container clusters and service mesh, secrets management, monitoring and logging solutions and more 
You are involved in the design and implementation of new configurations for cloud resource use 
You bring a knowledge of new ways of doing things and can clearly articulate technical solutions both within and outside the team 

  The must haves : 

You have Heart, Hunger, Honour and Humility 
You have experience with one or more cloud environments (AWS, Azure preferred) 
You are an experienced DevOps or DevSecOps practitioner, and have operated production services in cloud environments 
You have experience with build and deploy tooling - jenkins, spinnaker, and similar 
You have experience with automation for infrastructure deploy/manage - terraform, cloudformation, resource manager or similar 
You can easily pick up new technologies and are keen to expand your knowledge 
You have experience with micro-service architectures 


Our Commitment 
We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique. 

About Grab 
Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries. 

Join us today to drive Southeast Asia forward, together.

",PostedPosted 1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=877dff2ddc8b174b&fccid=b79fa3ee18655a5a&vjs=3
DevOps Engineer,CARECONE PTE. LTD.,Singapore+1 location,"


Development experience with a scripting language (such as Shell Scripting or Python) 


A grounded understanding of Git branching, merging, and pull requests 


Hands-on experience with one or more of the following DevOps toolchains (or equivalent): o Jenkins, Git, Artifactory, Docker, Ansible, SonarQube 


Experience with IaaS or PaaS systems such as: o AWS, Google Cloud, Azure Cloud Foundry, OpenShift/Kubernetes, OpenStack 


Fundamental understanding of networking, firewalls, load balancing, forward and reverse proxies 

Familiarity with concepts such as: Agile methodologies, Test-Driven Design, Behavioural-Driven Design, and 12 factor application design 


If you're interested in this role, please email your latest CV to sgjobs@carecone.com.au   Other than that you can click 'apply now' to forward an up-to-date copy of your CV.   If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.   EA License Number: 20C0199 | Company Registration No: 201913897K
",PostedPosted 1 day ago,"$9,000 - $10,000 a monthPermanent +1","$9,000 - $10,000 a month",https://www.indeed.com/rc/clk?jk=afa4848eac05f10b&fccid=71910e36047e12bd&vjs=3
DevOps Engineer,MCONNECT CONSULTING PTE. LTD.,Singapore,"
3+ years experiences within AWS DevOps.  
3+ years experiences in reference to order preference 
o Python or 
o Shell scripting  
3+ Experience with a continuous delivery and continuous integration 
development environment git,  
Able to debug and troubleshoot to resolve issues.  
Experience working under Agile methodology
",PostedToday,"$7,000 - $9,000 a monthContract","$7,000 - $9,000 a month",https://www.indeed.com/rc/clk?jk=9ef5788ce9c5da46&fccid=e36a35a5d507e1e7&vjs=3
DevOps Engineer,Sephora,Singapore,"
Sephora is a global leader in omni channel beauty retailing, and a division of LVMH – Moët Hennessy Louis Vuitton. At Sephora, we stand together and we stand for something more. For empowerment, for exploration, for the opportunity to impact people’s lives through the unlimited power of beauty. We successfully operate more than three thousand points of sale across Americas, Europe, Middle East and Asia, and together we aim to animate the most loved beauty community in the world. 
Here in Asia, our teams run omni-channel businesses in 11 markets across the region, in addition to cross-border e-commerce to several more. Our success is built on innovation, a unique product portfolio, market leading digital capability, and our unique customer experience. With ambitious growth plans we are always looking for talented people who aspire to build businesses and develop themselves. Sparked by energy and excitement, our passion is contagious. We are united by a common goal – to reimagine the future of beauty.

 At Sephora, we stand together, and we stand for something more. Every day we reimagine beauty, discover new brands, and influence positive change. Data plays a big role in that.

 Our DevOps engineering squad is a team that focuses on platform, infrastructure and developer experience within the SEA Technology organisation. Their core responsibilities are to ensure our services run in a secure, scalable and developer-friendly environment. As a DevOps engineer within this squad you will be working on our infrastructure automation, developer tooling and monitoring ecosystem.

 You will shine here if you enjoy…


 Design, implement and maintain infrastructure automation (Terraform) modules used as building blocks for our infrastructure platform that runs the Sephora services and applications
Encourage a shared responsibility model for DevOps, where the DevOps squad provides tooling and best practices, but the ultimate responsibility of application stability lies with the respective engineering teams
Review and provide advice to other engineering teams on security best-practices for the software that we build and run
Drive for great monitoring and alerting coverage across our ecosystem, and provide guidance and help where required
Provide support during our high-traffic sales events


 We would love to hear from you if you have…


 Bachelor’s Degree in Computer Science or related field or comparable duration of professional experience
Minimum 2 years’ experience as a, infrastructure automation engineer or DevOps engineer, software engineer experience with devops is a plus.
Strong understanding of Cloud Computing such as AWS. Ability to contribute in defining and designing good cloud architect. Hands-on experience with Core AWS resources.
Strong understanding and hands on experience in writing complex terraform code to cater the Infrastructure Automation.
Strong understanding of Docker fundamentals.
Good software engineering fundamentals and familiarity with a number of programming languages.
Strong communicator and able to work with distributed remote teams
Experience managing Kubernetes clusters preferred but not a must
Experience with CI/CD tooling like CircleCI, GitHub Actions or equivalent
Experience with monitoring tools like NewRelic, CloudWatch, Datadog or equivalent.


 While at Sephora, you’ll enjoy…
  The people: You will be surrounded by some of the most talented, supportive, and kind leaders and teams – people you can be proud to work with.  The learning: We invest heavily in training for our leaders and store associates. Not just product knowledge but building a personalized career plan with you so you continue to evolve and build your skills.  The culture: As a leading beauty retailer, backed by the LVMH luxury brand, our reach is broad, and our impact is global. Yet there’s always room to explore. It’s in our DNA to innovate and, at Sephora, all 40,000 passionate team members are united by a common goal - to reimagine the future of beauty. You can unleash your creativity, because we’ve got disruptive spirit. You can learn and evolve, because we empower you to be your best. You can be yourself, because you are what sets us apart. This is the future of beauty. Reimagine your future, at Sephora.

 When joining Sephora, you join the fastest growing and most innovative omnichannel retailer in South East Asia. As part of LVMH, (www.lvmh.com/group), we provide an unparalleled combination of resources, scale, and autonomy to our employees.

 Sephora SEA was created through the combination of the Sephora's retail business in South East Asia and Luxola, a Singaporean start-up that broke new frontiers in ecommerce regionally. We proudly maintain an entrepreneurial and technology-focused culture, with all our capabilities built in-house – a rarity in this region.

 The data is definitive: diversity leads to better teams, better performance, and better results. Consequently, we actively seek to hire employees of all genders, backgrounds, and experiences. We provide our employees with a unique opportunity to take on senior responsibilities, accelerate their career path, and impact the business of beauty across the world.
",PostedPosted 24 days ago,,,https://www.indeed.com/rc/clk?jk=a964b0dc2fba9f42&fccid=afda98bfc8224b19&vjs=3
DevOps Lead,CXC SINGAPORE PTE. LTD.,Singapore+1 location,"
Our client is looking for an experienced DevOps Lead. 


What to Expect: 

Excellent problem-solving and methodical troubleshooting skills(Communicate with government agencies if required) 
Strong knowledge and experience in DevOps automation, containerization, and orchestration using tools Eg. Ansible, Docker , Artifactory/Nexus 
Cloud computing deployment and management experience in AWS 
Good to have scripting skills e.g. Python, Bash 
Strong understanding of networking concepts 
Experience with patch maintenance, regression testing and security incident response 
Experience with on-premise deployments, government applications and networking infrastructure/routing 
Strong understanding and practice of Agile/Lean projects SCRUM. 


Education 
Degree in Computer Science or any other relevant field. An equivalent of the same in working experience is also acceptable for this position.

",PostedPosted 10 days ago,"$9,000 - $15,000 a monthPermanent +1","$9,000 - $15,000 a month",https://www.indeed.com/rc/clk?jk=7b6fe87fe07208f6&fccid=1fb29bff282fedeb&vjs=3
Devops Specialist (GovTech260722),AC P. COMPUTER TRAINING & CONSULTANCY PTE LTD,Remote in Singapore+1 location,"


Roles & Responsibilities 


Serve as the Subject Matter Expert (SME) in the automation and development of Cloud infrastructure solutions in the Network domain area, eg. on-premise networking and Cloud networking like AWS Transit Gateway, Azure vWAN, Peering, IPAM, VPN, WAF, Firewall, CDN, DNS, Network Virtual Appliances, and etc. 


Part of the engineering team to constantly explore new solutions and technologies, integrate learning and recommendations into the development process for on-premise or Cloud networking solution leveraging on Cloud infrastructure (IaaS/PaaS), Virtualization, Container technologies like Dockers, Kubernetes and Cloud based Container Services 


Create architecture artefacts and documentation to effectively explain architecture design concepts and solutions to various level of stakeholders. 


Recommend new services to complement and enhance infrastructure elements to stream-line and support applications development and deployment. 


Apply knowledge of Agile software development and DevOps to infrastructure as code development and deployment. 


Lead continuous enhancement and exploratory work to design, develop, test and deploy new Cloud Infrastructure technologies using agile methods. 


Identify potential and emerging technologies relevant to innovation for the project. 


Job Requirements 

Have understanding on IT Operations and Service Management and may be activated to support L1/L2 for troubleshooting after office hours if required 
minimally 5 years’ experience in designing/implementation/consulting of large-scale private/public/hybrid cloud infrastructure solutions 
Experience in infrastructure provisioning and configuration tools like Terraform, Cloudformation, Ansible and Power Shell 
Have attained professional certifications in the following areas with at least 5 years of design and implementation experience in: AWS/Azure/Google Cloud 
Scrum Master, PMP, ITIL and TOGAF certification are an added advantage 
Working venue is to be onsite during official working hours and work from home for incidents after office hours.

",PostedPosted 3 days ago,"$6,000 - $11,000 a monthFull-timeLate shift","$6,000 - $11,000 a month",https://www.indeed.com/rc/clk?jk=a9ae1ab01f3df914&fccid=14df086e3c4474fe&vjs=3
DevOps Engineer (Gaming Industry),RECRUIT EXPERT PTE. LTD.,Singapore+1 location,"

Implement highly scalable, robust, distributed systems on cloud 
Deployment and management of solutions on cloud with CI/CD pipelines 

Requirements: 

Degree in Information Technology or equivalent 
At least 2 years of experience as DevOps Engineer 
Expertise in infrastructure automation tools: Ansible, Salt, Chef, Puppet, or CloudFormation 
Hands-on experience with AWS, Google Cloud, Git, Jira, Jenkins, etc. 

If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com 
Please note that only shortlisted candidates will be notified. 
For more job opportunities, please visit our website at www.recruit-expert.com 
EA Licence: 19C9701 
Registration: R21100996
",PostedPosted 3 days ago,"$5,000 - $7,000 a monthPermanent","$5,000 - $7,000 a month",https://www.indeed.com/rc/clk?jk=6387d13526c09035&fccid=f27be6f3937ad625&vjs=3
