job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps Engineer,"Kyndryl España, S.A.","Madrid, Madrid provincia+1 ubicación","
Why Kyndryl
At Kyndryl, we design, build, manage and modernize the mission-critical technology systems the world depends on every day. Our people are at the center, discovering, co-creating, and strengthening. We push ourselves and each other to seek better, to go further, and we carry this energy to our customers. Join us!
Your Role and Responsibilities

Focus on end-to-end solution for the customers, understanding service lifecycle of client’s applications and helping clients to ensure a good performance.
 Deploy the most optimal containers and/or cloud-based solutions for the client and manage environments according with Kyndryl security guidelines
 Define and document best practices and strategies regarding application deployment and infrastructure maintenance.
 Contribute to use the right tools and processes required to build an efficient and effective automated environment for DevOps.

Required Technical and Professional Expertise

 3+ years of experience with proven experience in building and manage container environments.
 Experience working with Microservices Arquitecture, OpenShift and/or Kubernetes.
 Tools & Technology across the Software Development Life-Cycle lifecycle (DevOps, CI/CD, Git)
 Knowledge of Infrastructure as Code (Terraform, Ansible).
 Experience working with cloud platforms (Azure and/or AWS and/or IBM Cloud and/or GCP).
 Strong skills of programming and scripting.
 Monitoring & Automation.
 Teamwork skills.
 Fluent in English.

Preferred Technical and Professional Experience

 Experience with Rancher
 Knowledge of Azure DevOps
 IT certifications
 Management of common microservices for observability and logging: graylog, kibana, kafka

Required Education
Bachelor's Degree
Preferred Education
Master's Degree
Being You @ Kyndryl
Kyndryl is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. Kyndryl is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
Other things to know
For additional information about location requirements, please discuss with the recruiter following submission of your application.
Primary Job Category
Technical Specialist
Role (Job Role)
Systems Management Specialist
Employment Type
Full-Time
Contract Type
Regular
Position Type
Professional
Travel Required
No Travel
Company
(Y064) Kyndryl España, S.A.
Is this role a commissionable / sales incentive based position
No
",PostedPublicado hace 22 días,Jornada completa,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASQSak737PijTL6td-124vXlwAjEfobxyBAiBXn_Ib3qB-1U_N8MYB5nkUP5Lsla3DLkxPX_CNAe-FX-j36QFyr6GDaEjKOSJbMXm8G7sh5s4ulTJRGAYaq3FI4NImedBajeYCAc_DADiZMaRfewHHwgpRc-009qYDrXadpjGPlb-6AbKzO6BEuJZcrnA62F86bl2wJjihLyKMLAgrPa43QRAmO1esqlY10t9hGLTXP8IA29fq_NIAgWIIJEzUeJyum40vgtCsSLP-OUS6IQQs-vnPtL8tb72eBH8LY3p8tQMdG5t-nS5kY2soYN2ryHFh230V9Ha8EeuZ2aIOLTtar4D846lpkbL2cRc93mT3tkUitFoZNk5pCGN6VK3ViT_f_tQ8wv23EQEK0TN35qoECR8SQAnsvx_uP8wMWSGoiWGoslz5p8NXd06TB_pu4NR2RtTyOiGGfO9OmP1TUrq9TSCS423U6CsC2oheFlNVKbBXBHcHv0Q_1yt0Xi0zc5byv_AlmVd-IX1IVnAQfQHwEpbFFZOmgwyoQsNN86D7Do8fni7AMFlLA6ht2ECiCGi33d9OeBGoqEBvuIMQxMeuR1OY4q4xhJO_wlGOJSeM1QFH8PlWI4Lh9anvt_xPKgY9S_6YrXQavpw3CLy2Y-x2&xkcb=SoAz-_M3ZBfor5wsaJ0LbzkdCdPP&p=0&fvj=0&vjs=3
DevOps Specialist,Page Personnel,"Teletrabajo in Granada, Granada provincia","
 Importante Compañía Tecnológica ubicada en Granada|Teletrabajo Hibrido
 
 Acerca de nuestro cliente

 Importante compañía líder en soluciones a nivel mundial.

 Descripción


   Como DevOps specialist, tus responsabilidades serán las siguientes.
   



Supervisar el rendimiento y garantizar la disponibilidad y fiabilidad del sistema



Proporcionar apoyo de tercer nivel (sistemas y red) y solucionar problemas para resolverlos



Proporcionar conocimientos especializados para las aplicaciones internas y los proyectos de los clientes



Gestionar los proyectos asignados para prestar servicios de acuerdo con los objetivos establecidos



Herramientas de gestión de configuración y despliegue (Puppet, Chief, Ansible, Docker)



 Perfil Buscado (H/M/D)


   Buscamos un profesional con, al menos, cinco años de experiencia en roles similares y conocimiento en las siguientes tecnologías:
  


Conocimientos en Linux (Centos/Debian)



Conocimiento de herramientas de monitorización y automatización (Nagios, Puppet...)



Amplios conocimientos de Firewall, Proxy, WAF.



Conocimiento de herramientas de monitorización y automatización (Nagios, Puppet...)



Buen conocimiento de: AWS, Iaas Cloud solutions. 



Buen conocimiento de Windows y del ecosistema Microsoft (Windows, AD, Azure)



Nivel de Inglés B2

 Valorable:
  


Conocimiento en Ansible



 Qué ofrecemos

 ¿Qué ofrecemos? 

 Teletrabajo híbrido
Contrato Indefinido
Horario flexible
Plan de carrera
Formación
Salario dependiendo de experiencia: 25-55k

",PostedHoy,De 25.000 € a 55.000 € al añoContrato indefinido,De 25.000 € a 55.000 € al año,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcpmLZ00HOUpZ02saIE7eM93x6P7P9_8fA41v6w6he96n3RQ9Aj7Tt_27lhQAlljvUIpV0RtHHzWOOUXlaFSbEVIMIiuPDUovsqCVkJ8HmJnd6nrZYvpRposw5MaoS1OUY5YjIKyOom35tiypEvTVZ0GN2CGL02HQ95Vxjkociy8CTy7yo4zzu2tr2s5S3e1QjCOIxWpbhtXQHJ2igZiwa5Y2Qs4pyYBm6jcs432IfNod1RnZ3OYHDN7vcX-PBBXyrqyVDDuuzcQQ6RkZu7lrd0k7VZ2cDqbWU9tjAlZ9LN_6SzA-22kKp5rpI2-kSucYK9kMj9uZJvwj5wAz4COiM3rltoyKjExzgIHZNbepabgx1_va38mvRkWhNnd57alnK69LTLQdlcU46QFPcYgCnB76DdUb8z91eXE4C0qk0xbBUi0YCCgBkyswZx_jpG7ZG16Jq6R8OxwaHCXyqwO6Otihgz5SrhEY5V-BeunIPRAtTOVoL4ZJhoqmQpv5Yjtj-8QEgOmKQwGNvX8dXpEpEJUMPiRcKYCFfkJPG4C02Xl0rkz8JV7tEitBPYzWwykCdADWKSX0o6wlBZEZgPLsOs48oAJKnkpPTMxp0ZhDP60l96iElYZELGfSxuo2S7PMvyK_RU_5ZdD9iE1tMCaM5lDLTyOvF8kw=&xkcb=SoCH-_M3ZBfor5wsaJ0KbzkdCdPP&p=1&fvj=1&vjs=3
QA DEVOPS,Page Personnel,"Madrid, Madrid provincia","
 Oportunidad de crecimiento profesional|Contrato indefinido
 
 Acerca de nuestro cliente

 Importante multinacional con producto de software propio busca incorporar perfil de Qa Devops para trabajar en equipo internacional en modalidad de 100% REMOTO.

 Descripción

 Dar soporte al equipo de QAs con las pruebas de APIS y de perfomance.

 Perfil Buscado (H/M/D)

 Experiencia con pruebas de perfomance  Experiencia con pruebas APIS  Experiencia habiendo trabajado con AWS  Buen nivel de inglés

 Qué ofrecemos

 Oportunidades de carrera y desarrollo profesional
",PostedPublicado hace más de 30 días,Contrato indefinido,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcpmLZ00HOUpZ02saIE7eM93x6P7P9_8fA41v6w6he96n3RQ9Aj7Tt_27lhQAlljuiwVke-aQ1JMK4y0Gs71VLKfjLy4oFfvVbtWNar8JaWwNRNsRAnwGIHDNQkm8vs42iMnEIhKbnmsky2fRTkzV5wyhZlm_PmmCZPlc3ltwz-Hc0_lSjr2nsn_fOOmh_lYJK_uMBlobjblBCVl67a6caXyQ-RB0aUEGxEHzS2s201mCaHDvO2gWDouP2lOf6JCfZ8UZAi39I10zXF33eGXUdiIsTPd_I4Jc8cJtujQVm0XdohucrwVAoZEFul7vTfaFmpV8fJ3TU2pDrwOAeTkQFSw66DItDgxfZCPrXKm7PzUgASagnOpbZSCmG_A-z7DA1QnSuXkmCsqstPsSQO4IO-9LoCbf4OIQha-Vv-oNJuUhQz3BZvfMKCr301h2fPXZ3ziaYCWl1Y_Z3y17h46LVwCA-OYyipsUh5cSYGphCf9vIOX6TshsCV6nlAW3nSNp2z7tjrql2Ssgd7CmjtCvAaSig8EGkoPRCQHVx8JDmroLx3x9RuoDHM5bO5uTnU5g5wpUb-_0xQ0pa-6mF6x-W5y1Cxwt1sVMw4zIPHwiRQNNhfSJ81Q82QXMIMYf1pdnPMb0YYmS2Yw==&xkcb=SoAa-_M3ZBfor5wsaJ0JbzkdCdPP&p=2&fvj=1&vjs=3
"DevOps, 100% En remoto",Grupo Sermicro,Teletrabajo,"DevOps en 100% En remoto. 
¿Quieres ser parte del cambio? 

 Tenemos la misión de transformar el sector de la construcción aplicando tecnologías disruptivas a procesos de Innovación Investigación y Desarrollo. 
Para ello contamos con 6 Hubs de Innovación ubicados en Darmstadt Essen Hong Kong Minneapolis Sydney y Madrid. La comunicación entre todos los centros es casi diaria por lo que nuestra lengua principal es el inglés. 
Desde Madrid colaborarás con equipos multidisciplinares formados por unidades de negocio desarrolladores Front y Back End DevOps o QA lo que te permitirá tener una visión completa de los proyectos en los que trabajes. 
Tendrás la oportunidad de formarte en nuevas tecnologías como IA IoT o Blockchain según tus inquietudes. 

 ¿Cómo será tu día a día? 

 Te integrarás en un equipo que está dedicado a desarrollar una plataforma creada para dar servicio a los proyectos de construcción en áreas como procesamiento y clasificación de nubes de puntos reconocimiento por imagen visualización 2D y 3D gestión y seguimiento de las tareas del día a día control de costes seguimiento de equipos humanos... 

 Como DevOps trabajarás dentro de un equipo Scrum multidisciplinar (Front Back y Mobile developers y QA). Con ellos asistirás a las diferentes ceremonias Scrum (en inglés) y participarás activamente en reuniones de estimación de tareas (poker estimating meeting). 

 Serás el encargado del desarrollo de IaC (Infraestructure as Code) y de la infraestructura de integración de los productos sobre los que estamos trabajando construyendo los pipelines en GitHub actions y utilizando herramientas para el control de la calidad del código como SonarQube. 
Además contribuirás al diseño de la arquitectura de la infraestructura junto con los integrantes del equipo DevOps. 

 Acerca del proceso de selección 
Será relativamente rápido e intentaremos que no pasen más de 2 semanas entre la primera toma de contacto contigo y la entrevista final. Las fases del proceso son 
Primera toma de contacto por teléfono con el equipo de Talent te facilitaremos toda la información de la posición y comentaremos juntos tus experiencias profesionales. 
Entrevista con los compañeros de Management 
Entrevista final con Product Owner 

 Qué podemos ofrecerte 
Teletrabajo 100 desde cualquier localización en España. Si prefieres trabajar en la oficina también es opción estamos en la zona de Prosperidad (Madrid) 
Acceso a plataformas de formación online gracias a ellas podrás reforzar todos tus conocimientos técnicos y aprender nuevos skills en función de tus intereses. 
Clases de inglés online 
Retribución flexible Tickets restaurant guardería transporte y seguro de salud. 

 ¿Suena bien? 
¡Inscríbete y comentamos más detalles de la posición! 

 docker, kubernetes, IaC, Github actions 
fd7f13c4d288532bdf44",PostedPublicado hace 8 días,De 48.000 € a 54.000 € al añoContrato indefinido,De 48.000 € a 54.000 € al año,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDGMroqMU2uj5Dts55jeYNPB3NNECuM6HL7F434XhLUrp3Lgge5Xt2Uro6aTFO5X75fqaWdMZi56PcBP3NGDiuRXNTu9ByiguARp1RY81Mz9XzXGdsCWxAcDObLQ_q2jitKR1rTaSlebhEhW973j9jasqILF-Eru6Le62cpTirObVss5alpQp_feyyTr1iYMzTmfj6_VbEZnpLd2mZ4FY-Caq8GMYNeH3R81JvKamFDUwiqvigOwjYjM6tyiWMzJCMbbYdxuEKTv5u6dvKBrmChtHN0XSoUj-Cwfwg62p_VbehDh-JjfbgtQTpZoWGnOXhWv_DmUFeCxAuuv7A17HXfkd76ac_s9Shihi5T_VT0ER4dJA55m1v7u_lz10KhzuGZwnmswV5BVMF4040-_R26d3x9RTZ7uzX8hOsgMZgAuhKcC6a5vTQB_SQSB6_DG5IsfF3stmnw2kMBX9ioYjAsfgi2DoopCC0IZlyS49XdAmu5v4YjQjOAAGW8aXcaqJ3ogKiXy9pbUQWBBmurfv0HqZBDSTgYES8c7tSajNaZrbg7go1uqrEBlE-mlVNxBW4PmwJH2AgRL73Y9GZMiPW0hyY028aJrFiXgSWlDuK5hCM4xJEEMB7rGcYWMJwAzgHuhpp__gdOksDjffwUoKEk0BE1VRSDc4yT0-15fM-7VBrZFjpd22MztmJoaRZz_8XEl6THO3zIbczgouWIdqY9fnesklS_8aOc3k6ttc-ef1mpyZKUS06_jxTe2vzE2af9Ykn2OQ4MmQ6bxt9nep3&xkcb=SoCu-_M3ZBfor5wsaJ0IbzkdCdPP&p=3&fvj=0&vjs=3
"DevOps Engineer - 100% Remoto, 100% En remoto",arelance,Teletrabajo,"DevOps Engineer - 100% Remoto en 100% En remoto. 
En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes y en ofrecer a nuestros candidatos los mejores proyectos. 

 Seleccionamos ingenier s con 2 años de experiencia profesional en DevOps para incorporación en varios proyectos 100 remoto. 

 REQUISITOS 

 Experiencia en Azure DevOps Pipelines 
Experienca en herramientas Power Platform o similar 
Conociemiento YAML 
Despliegue de microservicios en clúster escalado y mantenimiento. 
Kubernetes. Confluence Jira. 
Conocimiento Power Apps and Dynamics 365 CE ALM 
Conocimiento Dynamics 365 Finance ALM 
Conocimiento Test automation 
Experiencia en documentación técnica 
Inglés avanzado (C1+) 

 ¿QUÉ OFRECEMOS? 



Incorporación a un proyecto en continuo desarrollo
Modalidad 100 remoto
Condiciones salariales a negociar en función de la experiencia aportada
Integración en un proyecto colaborativo en expansión
 Si estás interesado/a en una gran oportunidad como ésta ¡inscríbete! ¡Queremos conocerte! 

 DevOps, Jenkins, Git, Agile, Docker, Kubernetes 
b8b91dfcb26f53235c47",PostedPublicado hace 7 días,De 21.000 € a 30.000 € al añoContrato indefinido,De 21.000 € a 30.000 € al año,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDGMroqMU2uj5Dts55jeYNPB3NNECuM6HL7F434XhLUrp3Lgge5Xt2Uro6aTFO5X7NXs0r6wEyHYutsfhSccdM0Y7sTyHD6X1IjzZJP6ImW39Hyi605IEeZfD2i8Pn0SYL7osUsNzMTLCm_PW2_787zdxLLJhi2Q9mwoZ8MCXxgiBeAPlJp94X4kXe5SG0bgUe-bH2BDZoICvD2W2L029a1_iNrkE1a2fjeBmrXrAh3KF-2rCGOXd8kNptSmMUVORytRSeTvDZeCWWVV8yq4ac2CmbwcKeY-Q3IN9WSCif0G39H0O6HhYa_snKGDbE3smjK4zftaoB8YvMHGDeBriseISIaGYuTXLOl5tPkoAWEfXrvwxjVZHbEc5AW5GHkMaz_ziyD7d1Utb24f5awpPfNjVfSlXzlu95kwjnm0pM-mteaCKDpZM0LpGcGT71_b1WDz8t1oV_P5cGotqSy5GeHY2OcvVAZTsR-R9dCKpQiS6ELKOWwyq9UyiRZwSoo9NXQDktRc8VgHwjROgVfFJJwpYU8maTsDhoXinAaEOC0mfQhH9a_8HJunTzq7bm2ly1JoIQpF0wXjswJboqFPu8jMjEt21DDyUFJaG8xoFxVDQOGN8_Pzj3eohz_M8R28Aeond2twR5CNBCfrJiMra8709PmgvRoO2zOhfFxvxv1FT2SFJ9m08x0gDTKXmLxpLkXj5B5QjBZJkL4iydJfMvQ0hGpJKxNbCU4bd6fZaOtez0wcY4ejR84i0Paa5A0eyC2r8WF9RCIag-ImIpa0fu5E_fMDbXaxBBOCUlvLth3v4tumDxWt9p&xkcb=SoAg-_M3ZBfor5wsaJ0PbzkdCdPP&p=4&fvj=0&vjs=3
"Administrador Sistemas, Madrid",Sade Consultoría Técnica,"Madrid, Madrid provincia","Administrador Sistemas en Madrid. 
Grupo SADE es una boutique tecnológica con 15 años de presencia en el mercado premiada por el Ministerio de Industria y la Comunidad de Madrid con la medalla a la Excelencia Profesional con un equipo técnico de más de 100 ingenieros de software. 

 Estamos buscando un Técnico de Sistemas para los equipos aplicaciones y sistemas además de gestión de usuarios perfiles políticas de seguridad y soporte a usuarios las funciones que realizarás son 

 Gestión y administración de sistema Windows Server 2012 2016 y 2019 (Estructuras de dominio y directorio activo) Linux (Apache Tomcat IIS). 
Experiencia de gestión y configuración de entornos de virtualización VMware. 
Gestión y administración de Arquitectura en la nube Azure y Azure DevOps. 
Aportar mejoras y análisis infraestructura virtualizados y Azure. 
Gestión Office365. 
Conocimientos de Sistemas operativos Windows de puesto de trabajo Windows 10 y Windows 11. 
Soporte informático (registrar resolver gestionar incidencias) de usuarios de hardware/software y servicios informáticos. 
Coordinación con el departamento de Sistemas para ampliaciones (nuevos equipos nuevos programas y nuevas instalaciones etc...) 
Colaboración en resolución de problemas de los Sistemas (Helpdesk) y equipos. 

 Deberá tener experiencia en las siguientes herramientas 

 Conocimiento básico terminal Linux bash. 
Plataformado de sistemas Windows. 
Help desk trato con usuarios. 

 Se valorará experiencia en 
Gestión directorio activo 
Gestión servidores Windows 
Conocimiento contenedores docker 

 ¿Qué buscamos? 

 Licenciado diplomado grado FP 2 en Informática de gestión o sistemas. 
Entre 3 y 4 años de experiencia en las funciones descritas. 
Debes tener una muy buena capacidad de comunicación ser capaz de trabajar en equipo y ganas de desarrollarte profesionalmente. 

 Windows Server,office 365, docker, azure 
7ec91863027eb33e1e4c",PostedPublicado hace 9 días,Contrato indefinido,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDGMroqMU2uj5Dts55jeYNPB3NNECuM6HL7F434XhLUrp3Lgge5Xt2Uro6aTFO5X5s63GsoXqXi1Z7mN-NXrfqjixCDzJuLlyi-JrcBkquX3ksNrYgtdPVb3vMgeRpN3UeDsggWHaEHhKG3iJ9_G5Il4r_jMLujbryDyySTr4LinAbFnuXay3eX2dGl0G4n7iWxa9YJwzlhNCXfJvTdtPc1l56sfhg3CBubWckeJPD4A1kkJ60_5fUUPGQbmv8KvAbdS14HKurku_a_nbfDYC9ABbZhYl_6YwvjjuwKJ5iIBx4dwToaLce6k9_Ap6kDu_u51HwDfowOXOCVpgpHQh0755eZhGc_RuYXOuvmpUqiZueIAbD9YUVjPaSuVXlIMiaQ8NeWuLAxcBybKYuf8bWl-GE2mj2K0aeqkI-eSL6atjreDJMBvhsKaoUlG_o5L0SNshBo0vND0mXsD8WZBkh5nRuTdibCmwdDUZznkNieJe4Tk8ikmV8zgaKDHglfCiw3Iz53xd5tltHcXq_Lc1vxixjrmX_mDfrCBL4KEmayApIJaxAHjY0cu3Le8MJwVd3Oj5r9yuZ40RP3ojRfw5bxz_JCJnzE4nmw-_d20sMX-NqqPf2chRwJf07RvnN595vFhWZlCszYYykkf4JTWOrejJ5Vw8m5eELprUzSQ91A5TYD-SNkIplMLRrxDD4lBVJkip4jDhpvcSwRY5rFFeqrYmMsyPjOCwwONidffeZKqKr5Kzz-di3hAsrLIfnFg6Rt7fPu5jxPxe717RIcfjlXSoQID6Jpu3R3dBCJePG2eQVZ-HSSfvc&xkcb=SoCU-_M3ZBfor5wsaJ0ObzkdCdPP&p=5&fvj=0&vjs=3
DevOps Engineer,Kaino Consulting,"Madrid, Madrid provincia","
Empresa de software
Remoto – España (oficinas en Tenerife)
Contrato indefinido

Formarás parte de una empresa tecnológica de desarrollo de un software dentro del sector logística y transporte con +15 años en el mercado. Actualmente se encuentra en pleno crecimiento.
La misión de la compañía es ofrecer soluciones de logística y almacenamiento ecológicas. Su objetivo es convertirse en empresa líder a nivel internacional en el desarrollo de software en el comercio en todo el mundo.
Con un ambiente de trabajo inmejorable, la compañía basa sus valores en la el poder de las personas, diversidad, flexibilidad y conciliación familiar, calidad de los resultados y carrera profesional para las personas que lo conforman.
Tu misión:

Operarás con la infraestructura de desarrollo y optimizarás los CI/CD pipelines.
Manejarás la monitorización y logging de las diferentes plataformas.
Ayudarás a mejorar los procesos operacionales al punto de automatizar instalaciones.
Asistirás al equipo de desarrollo, sugiriendo propuestas de mejora, necesidades de seguridad y buenas prácticas.
Analizarás e investigarás posibles cuellos de botella con el fin de proponer soluciones técnicas.

Tu perfil:

Eres un ingeniero DevOps con experiencia en manejo de entornos y plataformas en la nube (2 años).
Tienes experiencia en desarrollos de software.
Conocimientos en Docker y Kubernetes.
Conocimiento en Helm Charts.
Tienes una alta capacidad analítica, eres proactivo y eres una persona dispuesta siempre a dar soporte.
Nivel de inglés: mínimo B2.

Se valora:

Herramientas de monitorización como Prometheus o Grafana.
Automatización con Ansible o similar.
Manejo de GIT como sistema de control de versiones.
Experiencia o conocimientos en Terraform.
Experiencia con AWS o Azure Cloud.
Experiencia con metodologías ágiles.

Beneficios:

Bonus extra anual individual & de equipo
Acceso gratuito ilimitado a plataformas e-learning Udemy y Codely
Descuentos en seguro privado (también transporte y comidas si se solicita)
Clases de inglés
Excelente ambiente de trabajo y joven
Comodidades en la oficina (en caso de querer ir): ping-pong, dardos, chocolate, fruta, café…
Si te gustaría mudarte a Tenerife, ¡la empresa te ayuda con el traslado!

Tipo de puesto: Jornada completa
Salario: 35.000,00€-45.000,00€ al año
Beneficios:

Cursos de idiomas ofertados
Flexibilidad horaria
Formación en certificaciones profesionales
Opción a contrato indefinido
Seguro médico privado
Teletrabajo opcional
Ticket restaurante

Horario:

De lunes a viernes

Tipos de compensaciones complementarias:

Bonus anual
Bonus por objetivos
",PostedPublicado hace 1 días,De 35.000 € a 45.000 € al añoJornada completa +1De lunes a viernes,De 35.000 € a 45.000 € al año,https://www.indeed.com/company/Kaino-Consulting/jobs/Devops-engineer-567c5e2981ff2c89?fccid=a6a59f7a48130f9c&vjs=3
Devops remoto 100%,Alhambra & Asociados,"Madrid, Madrid provincia","
Gestionamos una vacante de Ingeniero/a Devops para un proyecto en uno de nuestros clientes del sector bancario ubicado en Madrid aunque el trabajo se realizará de forma remota 100%.


 Requisitos imprescindibles :

Experiencia mínima 2 años


Experiencia en ul uso de herramientas CI/CD : GIT, Jenkins, Ansible, Docker, Kubernetes, Openshift


Experiencia con AZURE



 La oferta incluye:

Contrato indefinido : Proyecto de larga duración.


Salario a negociar según la valía del candidato


Entorno tecnológico totalmente actualizado.


Formación subvencionada en últimas tecnologías y certificaciones oficiales


",PostedPublicado hace más de 30 días,Contrato indefinido,,https://www.indeed.com/rc/clk?jk=ed4b993c86c645bb&fccid=477f09c09b6a6201&vjs=3
DevOps Support Specialist,SIX,"Madrid, Madrid provincia","





We drive the transformation of the financial markets. That’s why we invest in bright minds, in their ideas, knowledge and development. We do that by combining our best sides.


If you would like to find out why stability makes us so agile, why experience makes us so curious and why empathy makes us so impactful, apply now for the position of


 DevOps Support Specialist 
Madrid | Full-time (Hybrid) | Reference 4419


BME is the infrastructure of all the securities markets and financial systems in Spain and is owned by SIX.



Are you a software support specialist with excellent communication and problem-solving skills? Are you interested in the field of development tools and topics as CI/CD pipelines and automation? Do you want to work in an international environment in close cooperation with various business units such as the Swiss Stock Exchange or Financial Information? Then you have come to the right place.
We are looking for a DevOps Support Specialist to assist our customers with technical problems in the 1st and 2nd level support. You will be providing hands-on support to help drive our centralized development tools services to the next level.



What You Will Do

be part of the team that takes care of the 1st and 2nd level support of our development tools services
respond to customer inquiries in a timely accurate way and assist in troubleshooting
take part in the daily stand up meetings and coordinate 3rd level issues with the internal engineers
create documentation, inform and train customers about new features and functionalities
participate in the automation as well as the further development of our tools and Services



What You Bring

completed professional training in the field of computer science
relevant technical software support experience in the 1st and 2nd level. Any experience in the field of software development will be an advantage too
knowledge in at least some of the following services that we offer will be highly valued: Atlassian Toolchain (Jira, Confluence, Crowd), GitLab, Artifactory and SonarQub
innovative team player for whom interaction with people is a passion, with excellent communication and problem-solving skills
good command of written and spoken English and Spanish



 If you have any questions, please call Sara Perez de la Cuesta at +34 91 709 56 80.


For this vacancy we only accept direct applications.


Diversity is important to us. Therefore, we are looking to receiving applications regardless of any personal background.







What We Offer



Flexible Work Models We trust our employees and offer a work environment that is well-balanced, productive and fosters success.






Personal Development You will benefit from a culture of continuous learning and feedback. Your personal growth is supported through an extensive learning offering.






Agile Working Methods Whether through scrum or design thinking,  we solve exciting tasks together in teams.







",PostedPublicado hace 1 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=cfe1a4f2410201ec&fccid=b8296266d71ea4c5&vjs=3
DevOps full remote,SlashMobility,"Madrid, Madrid provincia","
QUIÉNES SOMOS:
 Nacimos en 2010 en Barcelona, capital mundial de la movilidad y la innovación. Somos una empresa de Soluciones Mobile Corporate, cuya misión está centrada en acelerar la digitalización tecnológica de la sociedad mediante servicios Mobile 360º. Durante estos años nos hemos convertido en una empresa referente en el mercado mediante el desarrollo software, formación y captación de talento digital. 

¿De qué va la empresa en la que trabajarás? 
Somos una empresa de soluciones móviles corporativas, la cual desde hace 10 años viene centrado su misión en acelerar la digitalización tecnológica de la sociedad, desarrollamos tanto webs como apps híbridas.
 En estos años nuestro equipo ha dado forma a más de 1000 proyectos para 150 clientes con presencia nacional e internacional.
 
¿En qué creemos? 
Nos basamos en cuatro valores fundamentales: 

Innovación, ofreciendo soluciones innovadoras de una manera profesional y rentable con un valor diferencial: el conocimiento experto en toda la cadena de valor.
Compromiso ya que llevamos como propios los objetivos de la organización y superamos cualquier obstáculo para lograrlos.
Proactividad, proveyendo y realizando acciones para mejorar sus servicios y calidad.
Trabajo en equipo, contando con un equipo motivado y multidisciplinar que trabaja en perfecta coordinación para lograr los objetivos comunes.




Te contamos más:
 
Actualmente estamos en búsqueda activa de varios perfiles DevOps para trabajar en uno de nuestros principales clientes de manera remota
 
Nos gustaría que tuvieras: 

Al menos 2-3 años de experiencia como DevOps
Fuertes conocimientos tanto de Ansible como Terraform
AWS
Dockers
Git
Terraform
Packer
Git
Ansible
 Containers/Docker 
Inglés será un plus

 ¿Cómo será tu día a día en Slash?

 Participarás en proyectos para diferentes clientes y con diferente alcance. ¡Apostamos a qué no te aburrirás!
Trabajarás con metodologías ágiles.
Estarás en un equipo que valora las ideas y propuestas de los otros. En búsqueda de constante mejora.
Colaborarás con diferentes compañeros en función del proyecto, conocerás (si es nueva para ti) la metodología squads. 
Tendrás a disposición diferentes opciones para formarte y seguir creciendo como profesional.

 
¡Formarás parte de un equipo al que le gusta trabajar bien pero pasarlo mejor!
 El SlashTeam te está esperando.
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=9c3ebe2b9e956f97&fccid=df2d9f1bd81887a0&vjs=3
