job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior DevOps Engineer to world known computer game company,Academic Work,Distans in Stockholm,"
Are you a curious person who has an interest in technology and wants to work in the games development industry? Are you driven by problem solving and a developing work environment? Then this is the perfect job for you! Our client is now looking for a Junior DevOps Engineer to support their different game-developing teams. Apply today, selection is ongoing throughout the recruitment process.
Om tjänsten

As a Junior DevOps Engineer, you will be working with varied tasks in a fun, dynamic and fast-paced environment. You’ll help our client by supporting game developers with their technical issues and software bugs. You will support throughout the technical process from start to finish, you'll work closely together with your team to achieve goals and reach solutions in a committed way. You will work at a company with an open, fun and friendly culture who takes good care of its employees and has very exciting future.
 Du erbjuds

The opportunity to become a part of a company with long experience and knowledge within the business, with possibilities to develop and grow within your role.
To work with very competent and inspiring colleagues
A flexible work place with possibility to work from office, hybrid or remote

As a consultant at Academic Work you are offered a great opportunity to grow as a professional, extend your network and establish valuable contacts for the future. Read more about our offer.

Arbetsuppgifter


Support the gaming departments with operational tasks and be the main point of contact for all departments when operational activities are required
Create and develop routines for reviewing requests and incoming issues in Jira
Participate in meetings


Vi söker dig som


CV in English
Education within Systems Engineering, DevOps or equivalent
Have experience in DevOps
Be familiar with Python, Ruby and Jenkins
Have a technical interest
Are interested in learning and understanding how different systems work and how they are linked together.
Ability to focus on critical issues to balance and respond to competing priorities
Excellent written and verbal communication skills in English. Swedish is not required.
Strong attention to detail

As a person you are:

Cooperative
Take initiative
Solutions oriented

You are also interested in technical environments and to understand how systems work. You are curious and always wanting to learn and to try new things.
Övrig information

Start: Later this autumn, not specified
Duration: Long-term
Location: Stockholm

The recruitment process is handled by Academic Work and our wish is that all questions regarding the service are handled by Academic Work.
 Our selection process is continuous and the advert may close before the recruitment process is completed if we have moved forward to the screening or interview phase.


",Posted7 dagar sedan,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOK66flIUeIOMPPbmqtrUvyQIgtP78kTR6MaJXryIRLrmZIPXZfP7Jt6tWO6-FGwQFrIT9Ir0GvpQBsEENGanxHKtd4ZTpTxcg-eiKAj_akD6AkisqZyEvurScShKEuPqws80nc_gmperAqKRmEjxUQlDxGCJdFxDIs88sp6rFzAQvqYjos-z3BfYa9WPrHpdyOnnXjI5zdhNSIw0839GcUIU_loj5Mmbn5BR4qW9Csjm4ZS2SSVXktB7XI0X-2Tc4XM3DvmUvcx9s8isYKSuLBALvcXZQNw9UjVujCeXcm3_T8HlC4F_A3QuYLeyA4ELfDPwdeQx3XCKalbUUrQxPL-NDDTFxwQ1Iwr9DLIYmclQQV8uaFCILSFrfJrdgsTLAzqAI-zipWzX03B-N5_4aEpsLBileVA-JKf6RK2avozkAw8lU_j-hkZQ1_0nUAB5fhA4BycNn2nmKXp6Z6n8Vmx1-zkRiBa9STuiRAZ3mz2V9psx7_ynD0i4pM4EXrSK1Z_5jtp74q_tiJxIVgtj2DxIYV7dDopIGVTlecaIniIH-FS2lecKr6cPW9z1EUtURVlfAXLG2SFSZGzDXVQ3gzpzMRg7nRasmzBYkGIJl3m4Hme5yY8-0UMB5FdPjqGOszwvVaLuT0hSOOLl0XLB4-ISrNjxtfBgeMfMOpbfEda3OUf17eVzK&xkcb=SoAb-_M3ZBeiuVxr1R0LbzkdCdPP&p=0&fvj=0&vjs=3
DevOps Engineer,13|37,Distans in 222 22 Lund+2 orter,"
Imagine yourself in a place where you can expand your knowledge while solving some of the greatest challenges in tech today. Where game-changing individuals are essential for game-changing products.
 We are 13|37 and we believe in people, values and lifelong learning. Could this be where you belong?
 About us 
We are an international software consultancy company that empowers our clients and colleagues through the co-creation of sustainable tech solutions. 
With more than 300 passionate individuals, we are a mix of over 40 diverse nationalities and cultures. We proudly celebrate that our colleagues come from a wide variety of backgrounds, and firmly believe that it enriches all of our lives and the software we create.
 At 13|37, we are invested in growing with our clients, our community and each other. We live and breathe knowledge. Potential is what we believe in and it's our mission to help you discover yours. We invest in you, your technical skills, and your development as a software professional.
 Who are we looking for? 
We are looking for a knowledgeable and driven individual with intermediate or senior levels of professional experience.
 As a DevOps Engineer, you will take our projects to another level. You have an eagerness and ability to enable the team to deliver, run and change software with confidence. Aside from years of experience and past titles, we value passion for delivering high-quality work, ambition to solve problems, and enthusiasm for continuous improvements. Taking on a senior role, we expect you to be a value multiplier, helping us advance our colleagues, our company, and our culture.
 Those who succeed in this role usually have:

At least 4+ years of relevant professional experience
Excellent written and verbal communication skills in English
A passion for technology, sharing knowledge and enabling others
Good coding/scripting skills (Python, Bash, Powershell, or similar)
Hands-on experience from working with Infrastructure as Code 
Production experience in designing and implementing highly scalable and available infrastructure using Cloud services (AWS, Azure, or GCP)
Production experience in developing CI/CD pipelines for deployment automatization
A tool belt equipped with Docker, Kubernetes, GitLab, Jenkins, Serverless, Terraform, or comparable technologies.
Experience in utilizing/setup PaaS infrastructure services, not only the most basic hosting
Love for terminal and nix-shell

You'll make us extra excited with:

Experience with agile software development and working in cross-functional teams
A strong sense of responsibility to design, implement and follow resilient security policies
Exceptional dedication to the community through your commitment to open-source or other visible initiatives

What will you do?
 As a DevOps Engineering consultant, you will develop new skills through dynamic assignments to progress faster in your career. You will get to work alongside brilliant minds, focusing on innovation instead of maintenance.  
You will:

 Join our hand-picked colleagues and together you will co-create custom software, that will impact large numbers of users in Scandinavia and beyond
Work in a distributed team with co-located and remote colleagues
Take responsibility for the whole DevOps environment in your project
Enable the development team with containerization, configuring infrastructure, and building CI/CD pipelines
Automate deployments of services on various cloud platforms
Monitor and operate multi-layered applications powering high-traffic services on a global scale
Have the opportunity to participate in discussions, facilitate workshops, and share knowledge about topics of your expertise
Continuously enhance ways of working regarding relationships, tools, and best practices

We put knowledge in the spotlight - this is what you get:
 To assure that we never stop gaining and sharing knowledge among ourselves, with our clients, and with the community, this is a selection of our ""knowledge buffet"":

 Competence groups, code lunches, local and international conferences, and masterclasses are some examples of how we meet up, socialize and share knowledge within the organization
Some examples of our contributions to the community are our community conference leetspeak, live-streamed knowledge sharing, and hackathons.
Combine all this with the freedom of having your own knowledge budget to be spent on conferences, additional tooling, education, licenses, or gadgets, along with a supportive and engaging spirit on top of it all.


 
Would you like to learn more?
 Get some insights into life at 13|37 by checking out our Twitter, Facebook, LinkedIn, Instagram, and Flickr.
 For contact or questions: talent@1337.tech
 We look forward to hearing from you

",PostedIdag,,,https://www.indeed.com/rc/clk?jk=d31c609740631093&fccid=dd616958bd9ddc12&vjs=3
Senior DevOps,Redpill Linpro,111 24 Stockholm+1 ort,"
Redpill Linpros lösningsområde inom DevOps växer och vi har behov av dig, liksom vi, som brinner för att leverera lösningar som bygger på öppen källkod, öppna standarder och öppna leveransmodeller.
 Redpill Linpro är Nordens ledande leverantör av Open Source-produkter och -tjänster. Vi är 250 medarbetare i Sverige, Norge och Danmark som ser världen med öppna ögon. Vi brinner för öppna lösningar, öppna affärsmodeller och ett öppet samhälle där vi samverkar för maximal nytta för alla. Hos oss finns några av marknadens främsta experter inom sina specialområden. Redpill Linpro söker nu fler experter som kan DevOps, automatisering, Cloud och Linux. 
Vem är du?

 Du har troligtvis en bred Linux-grund och har labbat runt med flera distributioner under flera års tid
Du är en DevOps by heart och versionshanterar din systemkonfiguration som kod
Du har upplevt systemfel och att tjänster går ned
Du kan felsöka
Du har erfarenhet med molnbaserade lösningar som AWS, Azure eller OpenStack

 Mer detaljerat kanske du också har koll på:

 Infrastruktur som kod och GitOps 
Automatisering med Ansible, Puppet eller liknande
Jenkins och Git som en del av Continuous Integration/Continuous Delivery
Containerplattformar som Docker, Kubernetes eller Openshift och därtill ArgoCD samt Helm
Scriptspråk så som Shell script, Ruby, Python eller annat

 Våra konsulter:

 Jobbar med systemdrift, arkitektur och kodkvalitet/codereview
Jobbar med och bidrar i Open Source-projekt
Gillar att lära och dela kunskap med varandra
Jobbar med moderna och heta tekniker

 Vi erbjuder mycket frihet och lite micro managing. Du kommer att få möjligheten till att jobba med spännande kunder i en av Norden tyngsta Linux-miljöer tillsammans med riktigt vassa kollegor. 
Önskar du att bli en del av vårt team?
",Posted30+ dagar sedan,,,https://www.indeed.com/rc/clk?jk=fff0a628fb70c2ce&fccid=98ffec6306ff70c2&vjs=3
DevOps Engineers x2- Länsförsäkringar,Tingent,Stockholm,"
Vi ser att du har gedigen teknisk kompetens och stort intresse inom programmering, verktyg och lösningar. I rollen är det viktigt att du har hög samarbetsförmåga, är involverande och har god vana att arbeta i team för att implementera och coacha.

 Sandra Jarsäter sandra@tingent.se
",Posted2 dagar sedan,,,https://www.indeed.com/rc/clk?jk=c527550360ce6627&fccid=04096b84a3e01d9b&vjs=3
DevOps arkitekt,Avega Group,114 46 Stockholm,"
Vill du vara med på vår framgångsresa och fortsätta att bygga upp vårt molnerbjudande?
 Vi är på jakt efter dig som brinner för molnarkitektur. Du är en erfaren konsult med hög kompetens och erfarenhet från molnteknologier. Du vill arbeta som rådgivande konsult och hjälpa våra kunder att ta den optimala vägen till molnet. 
ARBETSUPPGIFTER Vi söker dig som vill jobba som konsult i intressanta kunduppdrag inom en eller flera molnteknologier. Du kommer bland annat att arbeta med:

Design och planering av arkitektur för molnlösningar
Praktisk erfarenhet att bygga CI/CD pipelines
DevOps och Continuous Improvement
Agilt arbetssätt


Kvalifikationer
UTBILDNING/ERFARENHET Med största sannolikhet jobbar du med molnteknologier redan idag och har en bakgrund som arkitekt, utvecklare eller DevOps . Vi ser positivt på om du är certifierad alternativt har ett engagemang för att ta relevanta certifieringar framöver. Du har djupa kunskaper och erfarenhet inom ett eller flera av nedanstående områden: 

Microsoft Azure
AWS
Google Cloud
OpenShift 

Som person är du serviceinriktad, sätter alltid kunden i fokus och strävar efter att hitta den bästa lösningen. Du har god förmåga att lösa problem, behärskar svenska i tal och skrift samt trivs i konsultrollen. Du trivs också i ett entreprenörsdrivet bolag, delar gärna med dig av din kunskap, är ödmjuk och trivs med att arbeta i team.
 Varmt välkommen med din ansökan redan idag.

",PostedIdag,,,https://www.indeed.com/rc/clk?jk=b46004f8cc582ab1&fccid=418e33501786dc98&vjs=3
DevOps Engineer with a passion for innovation!,Sigma Group,Lund,"JOB DESCRIPTIONSigma Technology has been appointed Sweden’s 3:rd best employer 2021 and we aim to continue our journey (striving towards 1:st place of course) !: ) Take the opportunity to join us on our mission making a real impact on tomorrows innovation. We believe in creating a warm and vibrant work-environment and encourage initiatives so we together can build a workplace we all enjoy!
We hope that you: 

Have professional experience in one or several of the following Technologies/Areas: DevOps, CI/CD Pipelines, Jenkins, Artifactory, Kubernetes, Docker, Terraform, Git, Gerrit and an interest in Cloud Infrastructure and CI Architecture.
Have scripting experience from Python, Bash, Batch, Groovy or Shell.
Have experience working within Embedded Systems.
Are humble, curious, knowledge sharing and a team player who tries to spread good energy at the office.
Are interested in new technologies and you like sharing your ideas with your team.
Come with constructive feedback to further improve the organization.

What we offer: 

An amazing workplace with lots of laughter and development.
A present Manager that works for your growth and well-being.
A healthy work environment and work-balance.
Exciting assignments and projects.
A trip abroad once a year, Collective agreement, social activities and lots of other fun stuff!

Who are we?We are proud of our culture that is built on passion, respect for each other and the common mission to create a better tomorrow!
If you think you match the description above, welcome to apply with an updated CV!MORE INFORMATION
Stefan Miloradovic,Stefan.Miloradovic@sigmatechnology.se

POSITION

DevOps Engineer with a passion for innovation!

COMPANY

Sigma Technology Software Solutions

LOCATION

Lund, Sweden

PUBLICATION DATE

2022-08-30

EXPIRATION DATE

2022-09-30

CONTACT

Stefan Miloradovic, Stefan.Miloradovic@sigmatechnology.se
Job Type: Full-time",Posted3 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=466521034628ad28&fccid=38a71bc24f17c0bb&vjs=3
DevOps Engineer,Scandic hotels,Stockholm,"
Do you want to be part of shaping the future of Scandic’s digital development?
 We are now looking for a senior DevOps Engineer to join our E-commerce & Customer Digital Development team. As a DevOps Engineer – you will be part of a growing team consisting of DevOps Engineers, tech lead, developers, testers and product owners in a close collaboration with the business. Everyone working to provide our guests with a personal, interactive, and seamless experience. 
Together with our development teams you will be focusing on creating modern and flexible digital solutions with high availability, excellent platform stability, optimized performance and high security. You will play a key role in the continuous work to optimize our production platforms for the Scandic Web, App and APIs, build and manage CI/CD pipelines, monitoring, automation, and ways of working with security integrated from development to deployment. 
Our ideal candidate has a minimum of 5-7 years of experience in DevOps and Operations in a cloud based environment. You are curios, self-driven and have a great interest in learning and adopting to new technology and trends within digital development. From your previous positions you have experience in agile ways of working, Scrum or Kanban, have an understanding of different design patterns and concepts like Micro Services, Configuration as Code, Infrastructure as Code and container technology like Docker and Kubernetes.
 About us
 Scandic is the largest hotel company in the Nordic countries with more than 280 hotels, in operation and under development, in more than 130 destinations. The company is the leader when it comes to integrating sustainability in all operations and its award-winning Design for All concept ensures that Scandic hotels are accessible to everyone. 
Well loved by guests and employees, the Scandic Friends loyalty program is the largest in the Nordic hotel industry and the company is one of the most attractive employers in the region. Scandic Hotels is listed on Nasdaq Stockholm.






Responsibilities:

Responsibility for the daily operations of our Web, App and API platforms and cloud environments
Designing, developing and maintaining highly available and secure hosting solutions
Performance improvements
Monitoring
Capacity planning
Designing and developing CI/CD pipelines 
Drive automation of processes
Security in the deployment pipeline

A few examples of technologies and tools you will be working with:

Azure and Application Insights
CI/CD: Octopus Deploy, Azure DevOps, TeamCity, BitBucket
Windows, Linux, SQL Server, Powershell
CDN
Identity Access Management
Log handling and static code analysis tools

Who are you?
 We believe that your personal qualities are crucial to how well you will thrive in the role. 

You are self-driven and have a great interest in learning and adopting to new technology and trends within digital development
You are proactive with a passion and drive for continuous improvements
Have an automation and improvement mindset
Analytic and a problem solver
Interest in increasing the quality and efficiency for product development
A great collaborator with a positive attitude

Information about the position
 This is a full-time employment.
 We only accept applications through our website. Please apply as soon as possible, applications will be processed from the beginning of August and onwards. 
If you have ambitions to develop, we will give you the opportunity to grow in your role. The development opportunities within our organization are endless. We are looking forward to welcoming you to Scandic. 
We offer a competitive salary and benefits package - as well as the opportunity to join our company that fosters a vibrant environment based on our guiding principles.









Great Place to Work




Professional and personal development





Partner discounts





Family & Friends discounts





Discounts when eating, drinking & staying with us





Flexible office working hours





Competitive pension scheme














We know that we reach further when we assent to our differences. At Scandic we want you to be yourself and develop in the direction you want to go, with the foundation of safe conditions and fair agreements. Bring your experiences, engagement and your way of thinking – contribute to a culture where we genuinely care about each other, our guests and our planet. Welcome to Scandic.
 Do you share our values?
 BE A PRO
 BE YOU
 BE CARING
 BE BOLD





",Posted30+ dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=bb828a17a0ea8f00&fccid=440d17bb27c38616&vjs=3
DevOps Developer,veritaz IT Tech,Stockholm,"Veritaz is a fast-growing IT-consultant firm. Our company is made up of insanely bright people from over 4 countries, and we are located in Sweden, UK, US and Pakistan. The voyage has been incredible this far, but it is only the beginning.
Assignment Description: 
We are looking for a DevOps Developer to work central role in improving working methods (build, test, deploy, and release process) to create an efficient IT organization and deliver increased customer value faster and more often.
What you'll do: 

Building and setting up new development tools and infrastructure and understand the needs of stakeholders and conveying this to developers


Ensuring that systems are safe and secure against cybersecurity threat as well as identifying technical problems and developing software updates and ‘fixes’


Working with software developers and software engineers to ensure that development of new services and products follows established processes and works as intended.


Build tools to reduce occurrences of errors and improve customer experience and develop software to integrate with internal back-end systems


Working with planning departments to get software and systems up and running in a timely manner, and ensuring long-term scalability for the business and developing digital infrastructure and working on automated code to improve efficiency and reduce risk


Staying on top of industry best practices and trends, as well as changes to compliance requirements

Who you are: 

Experience as a DevOps Developer with a focus on software architecture, test automation and Java development for at least 10 years.


Documented experience BDD, TDD, Clean Architecture, Azure DevOps, CI – CD, Docker, Kubernetes, Azure Cloud and Java.


Used to working in an environment consisting of Agile / DevOps working methods and have worked with methods such as SAFe / Scrum.


Good collaboration skills along with working in teams to implement and coach.


Experience with DevOps tools, processes, culture, distributed systems, supporting mission-critical systems.


Outstanding presentation, and leadership skills with proficiency in communications skills, both verbal and written, of English language.


Possess experience with test strategies, test automation and container technology.

Job Type: Full-time
Ability to commute/relocate:

Stockholm: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

What is your salary expectations?
When will you be available to join?
Do you need a sponsor with a Swedish working permit?
What is your level of proficient in Swedish?

Work authorization:

Sweden (Preferred)
",Posted1 dag sedan,Heltid,,https://www.indeed.com/company/veritaz-IT-Tech/jobs/Devops-Developer-79eb806c320257e2?fccid=c56547fd80113780&vjs=3
Devops Engineer- Länsförsäkringar,Tingent,Stockholm,"
I rollen som Devops Engineer hos Länsförsäkringar AB kommer du vara en del i systemteamet inom Motorområdet. Målet med uppdraget är att stötta och förflytta Motorområdet mot Devops.

 Moa Zombory moa@tingent.se
",Posted8 dagar sedan,,,https://www.indeed.com/rc/clk?jk=5983ed5d24fee188&fccid=04096b84a3e01d9b&vjs=3
(Senior) DevOps/SRE - Build a brand new BaaS platform...,Finna Group AB,Distans in 111 52 Stockholm,"
Finna Group is partnered with one of Sweden's largest financial institutions and their innovation centre which is challenging the old norms of how banks and financial institutions ship and develop software.

 Current vacancies are:


 Mid and Senior DevOps Engineers/SRE(s)


 Short description of responsibilities involved:


 Defining, improving and maintaining a cloud-based environment running numerous microservices Configure, improve and maintain CI/CD pipelines (e.g. Gitlab, Jenkins, Nexus) Design and deploy infrastructure as code for reusability and immutability (e.g. Terraform, Ansible) Implement and deploy compliance as code, ensuring regulatory controls are automated Respond to alerts and incidents, providing real-time support and conducting blameless postmortems Empower developers by designing secure and reliable systems for rapid deployment


 Being part of a large bank the salaries and benefits are the best I've seen from any business in Stockholm including; staff rates on mortgages, loans, stocks in the product, market-leading pension schemes, holiday rentals and a whole load of perks and discounts with their partners.

 All engineers joining the team will be part of building the next generation of financial services. They are building an organisation and culture of highly autonomous product teams with the innovation power to give our customers the future of banking.

 Being autonomous but with the backing of a large bank, they are on a mission to challenge and explore both new technologies and new business opportunities.

 Their tech stack is fully on GCP, leveraging a few key tools including in-memory grid computing and gRPC technology to build a large-scale, high-performance system. They are building not only the systems but the practices, policies, processes and tools to create and support them as a financial institution of the future. We focus on best practices for continuous integration and continuous deployment, as well as monitoring using real-time analytics.

 This is a great opportunity to put a stamp on some brand new products and work with a truly pragmatic team of engineers.

 Apply for more details.
",Posted3 dagar sedan,,,https://www.indeed.com/rc/clk?jk=4b5bcb094248bb4b&fccid=79355ba9d85aec2a&vjs=3
