job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps & Environment Engineer,CVM People,London,"DevOps & Environment EngineerRemote / London£65,000- £75,000 (+ bonus, pension, private medical cover and 25 days annual leave)
We are working with one of the UK’s leading brands who are currently looking for a DevOps and Environment Engineer.
What will you be doing?

Support developers by providing automation for environment creation and reliability/speed of promoting code/changes through environments
Create relevant environments when needed and work with QA team to ensure environments are representative of production
Work with other teams across the business where there are integration dependencies between both platforms
Responsible for supporting the release manager and scrum master during sprint lifecycle to promote changes through environments in a reliable way
Continuously improve the development lifecycle by actioning feedback from the team in retrospectives
Ensure the delivery framework is compliant with business standards across DevOps processes and Security. Leverage appropriate reusable assets from DTS

To be great in this role you will need: 

Understanding of software development lifecycle and associated CI/CD/deployment approaches for Salesforce, Zuora, AWS (mostly serverless)
Experience with associated tools – ie Jenkins, ADO, Terraform etc.
Experience working with developers on monitoring frameworks

If you would like to find out more about the role please send your CV to nick.trussler@cvmpeople.comContact Details: nick.trussler@cvmpeople.com01264 326 315
Category: Data Technology, Service Management OpsLocation: LondonWork Type: PermanentSalary: £65000 to £70000
Job Type: Permanent
Salary: £65,000.00-£70,000.00 per year",PostedPosted 2 days ago,"£65,000 - £70,000 a yearPermanent","£65,000 - £70,000 a year",https://www.indeed.com/company/cvm-people/jobs/Devop-Environment-Engineer-3171363e4de8f690?fccid=2f7ccd92d6a145ae&vjs=3
Azure DevOps Engineer,Shaping Cloud,Remote,"


19/08/22
19/08/22


UK-based Home / Manchester 
UK-based Home / Manchester 


Azure Devops Engineer

Born in the Cloud and raised in Manchester, UK since 2010, we are a Cloud first, digital transformation partner for Public Sector and Enterprise clients across the UK. We started with a dev squad cutting code and providing web enabled applications and other bleeding edge stuff. Partnering with Microsoft early on in their Azure development, we were one of the first Microsoft Gold Cloud Partners – and we still are today.
 What will I be doing?
 Within our Delivery Squads, you will be paired with seasoned Azure Engineers like yourself, Azure Architects, Technical PMs, and a lead Technical Consultant. We operate in an Agile environment, using Azure DevOps, Terraform, Azure Migrate, and the Microsoft Cloud Adoption Framework (CAF).

Support the implementation of DevOps processes and tooling
Automate the configuration and management of cloud workloads in Azure
Support automated build, configuration, test and deployments of applications to cloud agnostic platforms.
Utilize IaC to achieve the configuration and deployment of Azure environment and workloads

What do I need to know?


Previous experience of working within Azure DevOps (or equivalent CI/CD tooling)


Experience delivering cloud migrations (e.g – Data Centre to Azure migrations)


Experience in deploying CI/ CD pipelines


Experiencing building and configuring cloud services using Infrastructure as Code


Knowledge of Terraform


Setting up landing zones


Previous experience building and configuring Azure IaaS and PaaS service


What are the benefits?

25 days annual leave (accrue more with length of service)
Pension scheme
Private medical (includes physio & mental health)
Monthly socials
Regular care packages delivered to your home
Fully remote home-based working
We ask that travel to Manchester isn’t too laborious (you need to be able to get Manchester couple times a year)
Flexible office spaces available in Manchester Central, Reading & Farringdon
Fully flexible working hours.
Access to learning platforms and we will fund exams
5 days paid study leave to further your technical understanding and certify
2 charity days per annum
Perks at work discounts

Job Title: Azure Devops Engineer
 Location: Remote Working
 Salary: £40,000 – £65,000 plus our great benefits package
 Job Type: Permanent, Full Time


",PostedPosted 14 days ago,"£40,000 - £65,000 a yearPermanent +1","£40,000 - £65,000 a year",https://www.indeed.com/rc/clk?jk=46336775c47e1b29&fccid=8e01e29283ef2d35&vjs=3
DevOps Engineer,Nominet,Oxford,"We’re Nominet – a world-leading domain name registry. For over 25 years, we’ve been operating at the heart of internet infrastructure. While we're best known for running .UK domains, we also help protect public services from cyber threat.Our aim is to create a world which is more connected, inclusive and secure. We know that technology has the power to transform lives by creating opportunities and providing support where it’s needed most.As a public benefit company, our work funds the ability to make a positive impact on society. We’ve donated millions to projects that use technology to improve peoples’ lives and have committed to delivering £60m worth of support over the next three years.We understand the impact the Internet has on the environment and are committed to helping the UK reach Net Zero by 2050. We’re already a Carbon Neutral company through offsetting our emissions and will continue to work on reducing our footprint.
About the role
We are looking for a multi-disciplined, skilled and self-motivated DevOps Engineer to join a dedicated DevOps team in our Internet Engineering and Operations function. You will help us further our DevOps transformation programme, using your knowledge and skills to transform our software deployment process towards a fully automated solution.
The essential bitsYou will work on deployment, management and maintenance of our registry applications, providing end-to-end support of new product features and services. Delivering new automation initiatives to a complex application stack and problem-solving production issues including on-call responsibilities.
You will be comfortable working with infrastructure engineers and software developers alike, building relationships with other teams and key stakeholders to collaborate and deliver real value for customers. You'll also advise colleagues to ensure new products and features are deployed safely in a timely and effective manner.
About you and your experience

Demonstrable expertise in operating applications on Kubernetes
Operational experience with a highly available production service.
Commercial experience working with Helm and Terraform.
Good knowledge of a scripting language.
Proficient with Git.
A dedicated problem-solver with superb attention to detail.
Adaptable and always eager to learn something new
Experience of CI/CD using tools such as GitLab pipelines or GitHub actions.
Experience developing containerised applications and workflows with Docker or equivalent tools.
A strong collaborator with an interest in Dev and Ops.

Any of the following would be an advantage but are not essential:

Operational experience with multi-tiered web apps and a solid understanding of HTTP.
Knowledge of security best practices, networking, Ansible and Linux administration.
Experience with Amazon Web Services (AWS) or another major cloud provider.
Experience of monitoring tools such as Prometheus and Grafana

What’s in it for youThe Nominet way of working empowers our people to flex between home and the office. We operate on a Hybrid basis. This empowers everyone to take ownership day to day, balancing the needs of our people and business. You will be required to come into the Oxford office for key activities to ensure we have a collaborative and connected working environment.
Pension match to 7%, performance related bonus scheme, private medical insurance, 30 days annual leave, reward portal, support to buy tech equipment tax free, holiday buy scheme, discounted shopping, on-site gym and shower facilities, Medi-cash (claiming cash back on things like optical, dental, inoculations and prescriptions), Employee Assistance Program, Dental Insurance, Health Assessments, Cycle2Work scheme, free- on site car parking, broad range of tools and resources to support your personal and professional development, Nominet Give Hub.We also have an active Social Committee.
Data protectionIf you choose to explore an opportunity, and subsequently share your CV or other personal details with Nominet, these details will be held by Nominet for 12 months in accordance with our Privacy Policy and used by our recruitment team and hiring managers in the process to contact you regarding this or other relevant opportunities at Nominet. If you would like Nominet to delete or update your details at any time, please follow the steps set out in the Privacy Policy describing your individual rights. If you have any questions about Nominet’s data protection practices, please email: dpo@nominet.ukEqual opportunitiesCybersecurity is a community effort. That’s why we’re committed to building an inclusive, diverse community that celebrates and welcomes everyone – unless they’re a cybercriminal, of course.We’re proud to be an Equal Opportunity and Affirmative Action Employer, and we’d encourage you to join us whatever your background.We consider everyone equally: your race, age, religion, sexual orientation, gender identity, ability, marital status, nationality, or any other protected characteristic won’t affect your application.We want to give you every opportunity to show us your best self, so if there are any adjustments we could make to the recruitment and selection process to support you, please let us know.Security checksAll roles working for Nominet will be subject to a Baseline Personnel Security Standard (BPSS) check. Some roles due to the nature of their work, will require additional security clearance.Due to the volume of applications we receive, we sometimes close our vacancies early. It is therefore advisable to apply as early as possible if you would like to be considered for a role with us.
Job Type: Full-time",PostedPosted 10 days ago,Full-time,,https://www.indeed.com/company/Nominet/jobs/Devop-Engineer-43f2837e943367b9?fccid=f88ecc58271b78e5&vjs=3
DevOps Engineer,Tendable,Remote in London NW1,"
Devops Engineer
 Remote-first (HQ in Euston, London) 
About us: 
We are a fast growing, venture capital backed business founded 6 years ago, applying the best digital technology to solve one of healthcare's most important challenges - how to engage front line teams in continuously improving quality and patient safety. Our aim is to bring a transformational digital user experience to front line staff, across all health and social care settings, by removing manual paper-based processes, thereby freeing up time to care. In doing so, we provide front-line teams with the information and evidence needed to improve their services. We seek to provide management, boards, and investors in these sectors with a real time view of quality across their organisations so they can support quality improvement and evidence quality.
 Based off an exceptional early-stage product, our business currently supplies a range of blue chip organisations both in the UK and now in 2 international markets. However, we now seek to take our offering to the next level. Our business has ambitious growth plans for product development (new features and modules) as well as international sales.
 
We actively seek out people who demonstrate our four core values: 


Hero the Customer 


Achieve as One Team 


Deliver the right results at the right pace to drive our ambition 


Innovate with purpose


 What we are looking for: 
To support Tendable's plans for growth in the UK and internationally, we are looking for a DevOps Engineer to join our expanding Engineering team. There are many new and exciting features upcoming that need to be implemented after the V3 release and you’ll be able to play a pivotal role in the continued development and  growth of our business.
 About you: 
You’ll be someone who’s willing to learn and contribute to the wider team. You’re comfortable working alone or as part of a team. You face coding challenges head-on and you’re not afraid to leave your comfort zone when you have your mind set on defeating a challenge.
 Most importantly, you are enthusiastic about making an impact on the working lives of health and social care staff, from the front line to the board.

Responsibilities: 
You’ll be responsible, together with the tech team, for keeping Tendable systems up and running 24/7.

 You’ll be a key person, to help implement and roll-out CI/CD pipelines, build self-service tooling, improve processes and infrastructure to support developers across all teams
You’ll work with the team to define and implement our operations procedures and best practices for our customer-facing systems
You’ll be the champion of system monitoring and alerting best practices
You’ll effectively investigate, resolve and mitigate service-impacting events

 You will have:

 Good Linux skills and experience
Experience with DevOps culture and processes
Experience with running Docker containers in production (AWS ECS/Kubernetes etc.)
Experience working with Public Cloud such as AWS
Experience with provisioning, configuration management and application deployment tooling
Worked in an Infrastructure as code environment
Supported development teams
A good understanding of Agile Software Development practices

 Nice to have:

 Experience of using Test Driven Development (TDD) practices
Experience managing and working with colocation services

 Your benefits: 

Competitive market salary with pension contribution up to 7% 
Annual discretionary bonus plan 
Individual personal development budget plus 3 days leave per annum
Company share option scheme
25 days annual leave plus bank holidays
24/7 employee assistance programme
The opportunity to join an exceptional start-up business backed by blue-chip VCs at an early stage of the journey

 At Tendable, we are proud to have Diversity and Inclusion at the centre of everything we do. We are committed to Equal Employment Opportunity regardless of race, colour, national origin, ethnicity, gender, age, disability, sexual orientation, gender identity, or religion.
",PostedPosted 10 days ago,,,https://www.indeed.com/rc/clk?jk=e22b3e15f738904c&fccid=6aefbcfc2f4e8f10&vjs=3
Azure DevOps Engineer,Noa,Remote in London W1W,"
Azure DevOps Engineer


London/Remote UK - £110,000 plus package


We are helping one of the UK’s fastest growing high tech start-ups. They are on a mission use technology to improve the way big brands think about and engage with their customers across the globe.


Due to continued growth and demand for their products they now wish to hire an Azure DevOps Engineer to drive their tech solutions forward.


Their team is based in London (Moorgate) but they are happy to offer the Azure DevOps Engineer remote working within the UK with occasional office visits.


To be a successful Azure DevOps Engineer, the ideal candidate will have:


Good experience in owning a tech platform (scaling, hosting, security)
Knowledge of working on high transactional and high availability systems
Excellent knowledge of Azure
Ideally YAML
Confident with Azure Kubernetes / Securing Azure Cloud Apps
PowerShell / Azure CLI
Great personality and naturally collaborative
Friendly, willing to learn and a love of tech

What is in it for a good Azure DevOps Engineer?


Great salary – Up to £110k base plus package
Flexible working
Share Options
An opportunity to work with some of the brightest minds in the tech sector

Please apply with your CV and we will be in touch for a confidential chat.

Noa Recruitment specialise in helping Software and Web Professionals and technical talent find great careers. If this role doesn’t sound like you, but you know a great person who might be interested then please do share these details with them.
",PostedPosted 8 days ago,"£110,000 a yearFull-time","£110,000 a year",https://www.indeed.com/rc/clk?jk=ac7a9063f171c4dc&fccid=c9be8141a4ec5350&vjs=3
Azure DevOps Engineer,Synapri,Remote in London,"
Azure DevOps Engineer required on a permanent basis for a leading Fin-Tech business in the funding space. This organisation has taken a remote-first approach and are happy for their staff to work from home the majority of the time.

 
The Azure DevOps Engineer will be working to further develop and maintain the businesses Azure cloud infrastructure and will oversee the code deployments and infrastructure changes. The successful candidate will have a comprehensive understanding of Azure DevOps and pipelines and will be working alongside the Engineers, QA’s and Architects to ensure that platform is functioning as required.

 
It’s an exciting time to join this organisation and they will be rapidly growing their engineering teams over the next 12 months!

 
Experience required:

Extensive experience with Azure DevOps and pipelines
Understanding of Architecture, design and development methods/support
Experience managing incidents, change projects and CI/CD pipelines
Demonstratable experience in platform security and performance



If this Azure DevOps Engineer role is of interest, please apply now for immediate consideration.

",PostedPosted 15 days ago,"£60,000 - £85,000 a yearPermanent","£60,000 - £85,000 a year",https://www.indeed.com/rc/clk?jk=03910f36038e29db&fccid=447163ca34a4b3d8&vjs=3
DevOps Engineer,Hargreaves Lansdown,Hybrid remote in Bristol,"

  Excited to grow your career?
 


   Our mission is to 'help people save and invest with confidence'. We are looking for great people to join us, so please come and invest in YOUR future at HL.
 
 We have a number of opportunities to step up for various challenges, choosing your own path of development, and leveraging you straight into the modern and dynamic cloud landscape, with experienced colleagues. You will report to Head of Cloud Platforms and be part of platforms and enablement teams to build secure and reliable solutions in the cloud used by millions of users.
 

   About the role
 


   We are transforming our technological landscape to be a cloud first organisation. For that to happen, we need to create number of teams to support DevOps ways of working, as well as enable Product teams to work in “you build it, you run it mode”. We’ve started by creating a Cloud Platform team, building our AWS Organisation and leveraging GitOps practices, going full automation using Terraform stack.
 


   You will join the team of experienced DevOps Engineers to help us expand the Cloud Platform, but there are other areas where the right candidate might fit as well. Depends on candidate preference, we’ll look to create SRE, CloudOps, Observability and Identity teams working closely with Product teams in cloud landscapes only. You will be helping to solve architectural challenges, writing Infrastructure as a Code scripts, or as part of Site Reliability Engineering helping the product teams to build reliable, resilient systems.
 

 What you’ll be doing
 

 Working on an innovative platform that is used widely in the organization
 Use Infrastructure as a Code and GitOps practices in daily work
 Providing AWS cloud expertise to other teams
 Designing future proof systems which help Increase efficiency within HL through automation and process improvement
 Providing technical solutions to real business problems
 Communicating with all levels of the business to help present new ideas and provide recommendations for new technologies
 Building the required tooling to help deliver a DevOps based culture



   About you
 

 Extensive experience as a DevOps engineer
 Knowledge of AWS
 Experience in Linux environment (Centos or RedHat)
 Expert in DevOps methodologies and the tools which support them e.g. Kubernetes and/or Docker, Ansible, Terraform/ Cloud Formation
 Technical design of infrastructure systems
 Ability to analyse and problem solve
 Good command of English written and spoken



   Desirable
 

 Ability to take technical lead on projects with multiple engineers assigned
 Experience in programming and scripting skills (bash, python)
 Experience in logging and monitoring solutions , e.g. ELK, Prometheus



   WHAT'S ON OFFER?
 

 Discretionary annual bonus & annual pay review
 25* days holiday plus bank holidays and 1-day additional Christmas closure time
 Option to purchase an additional 5 days holiday per year
 Flexible working options available, including hybrid working
 Pension scheme up to 11% employer contribution
 Sharesave scheme - have a real stake in HL’s future
 Income Protection & Life insurance (4 x salary core level of cover)
 Health care cash plans - including optical, dental, and out patientcare
 Help@hand and an Employee Assistance Programme
 Gympass - gym memberships and wellbeing apps available
 Variety of travel to work schemes with free bike storage and shower facilities
 An inhouse barista serving subsided coffee and snacks
 Join HL’s sports, networks and volunteering groups (two paid volunteering days per year)
 LifeWorks Discounts on services, restaurants and retailers

up to 30 days depending on role level & increasing with length of service




   We know that sometimes the 'perfect candidate' doesn't exist, and that people can be put off applying for a job if they don't tick every box. If you're excited about working for us, and have most of the skills or experience we're looking for, please go ahead and apply. You could be just what we need!
 


 Hargreaves Lansdown is an inclusive employer that values diversity in its workforce. We encourage applications from all individuals without regard to race, religion, gender, sexual orientation, national origin, disability or age.


 This role may also be available on a flexible working or part time basis – please ask the Recruitment & Onboarding team for more information.



 Please note, we are unable to provide employment sponsorship to candidates.

",PostedPosted 5 days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=6862293add50a4c6&fccid=2f39548e75dd9a8c&vjs=3
DevOps Engineer,Focal Point Positioning,Remote in Cambridge,"
Location: Cambridge/ Bristol (Hybrid)
 Hours of work: 40 hours per week 
Length: Full-time / Permanent 
Salary: £30,000 - £38,000
 Job Reference: FPP/DEV2

 Our vision is to improve every positioning solution
 We believe that GNSS is one of the marvels of the modern world. Over a trillion dollars of the US economy and over 800 billion euros of the European economy currently depends on this incredible positioning and timing system. However, the sensitivity and accuracy of current receivers fail the levels of performance 21st century businesses and individuals demand. Our revolutionary technologies transform the capability of all GNSS systems worldwide. 
 The Opportunity:
 We are looking for a DevOps Engineer who is passionate about technology and excited about the goals of our company. You will join our DevOps team and be involved in all aspects of our infrastructure development activities. The opportunity is open to junior to mid-level Engineers with either a DevOps or Software Engineer, Network Engineer background with an interest in DevOps. Support will be provided to develop your experience across a range of DevOps activities and grow into the role. This will be a very varied role with the opportunity to challenge yourself, expand your knowledge and in time, take ownership of key initiatives. 


Key Responsibilities:

 Support the design, build and maintenance of CI/CD pipelines
 Provide technical assistance to users of our internal tools
 Proactively identify opportunities for automation to improve the speed of delivery and quality of our engineering products
 Monitor and support our infrastructure including internal and external services
 Conduct and automate systems tests for security, performance, and availability

 Your Experience Essential 

Experience working as a DevOps Engineer or Software Engineer, Network Engineer with an interest in progressing into DevOps. 
Significant practical knowledge in one or more of system administration, setup and maintenance of CI/CD pipelines, deployment in cloud production environments 

Desirable

 Experience in setting up and maintaining complex CI/CD pipelines in tools such as Gitlab CI or Jenkins.
 Experience deploying and maintaining software in cloud production environments such as AWS or Google Cloud Platform
 Experience in optimising infrastructure for security, performance, and availability
 Awareness and understanding of Infrastructure as Code and configuration management tools (Terraform/CloudFormation)
 Experience liaising with third-party providers
 Experience with logging and metrics (ELK, Grafana, Prometheus)
 A good knowledge of traditional and cloud networking concepts


 Your Development and Perks Your development is equally important as our business grows and we offer opportunities including appraisals, career development plans, training courses, feedback sessions through 1-2-1 meetings, knowledge-sharing and cross-training. 
Our generous benefits package includes the following


 8% company contribution pension scheme
 25 days annual leave + bank holidays
 Extra annual leave between Christmas - New Year’s 
Additional annual leave based on your length of service
 Paid professional memberships and career development through our personalised framework
 One-off £500 incentive to support your WFH setup 
Access to our company-owned equipment list allowing you to choose your own hardware
 Company-wide social events and team lunches
 Company Options Scheme*
 up to £5000 Recommend a friend scheme
 Vitality Health Core Package private healthcare (also includes mental health cover, employee assistance programme, dental, hearing and optical cover, and more)


Company Options are not offered as part of the package. You may be offered them throughout your employment.


 Are You Ready to Change the World?
 Our people are at the heart of everything we do and our successes are achievements driven by our employees. We stand by our values of:

 Working with integrity
 Setting the standards that others will follow 
Being trailblazers in the industry

 We thrive on building a global organisation that is truly focussed on growing an inclusive culture where staff feel supported and empowered to achieve their full potential. We aim to attract diverse talent from around the world and ensure fairness, and equality is at the top of our agenda.

",PostedPosted 8 days ago,"£30,000 - £38,000 a yearPermanent +1","£30,000 - £38,000 a year",https://www.indeed.com/rc/clk?jk=b20f43289f19be8b&fccid=284dbd63b8f24854&vjs=3
DevOps Engineer,Experian,Hybrid remote in Nottingham NG2,"
 Company Description
  Internal Grade E  Who are Experian?
 We are the world’s leading global information services company. During life’s big moments – from buying a home or a car, to sending a child to college, to growing a business by connecting with new customers – we empower consumers and our clients to manage their data with confidence. We help individuals to take financial control and access financial services, businesses to make smarter decisions and thrive, lenders to lend more responsibly, and organisations to prevent identity fraud and crime.
 We have 20,000 people operating across 44 countries and every day we’re investing in new technologies, talented people, and innovation to help all our clients maximise every opportunity. We are listed on the London Stock Exchange (EXPN) and are a constituent of the FTSE 100 Index.
 Our approach to flexible working
 We care about work that works, whether that’s about where you work or adjusting your hours to fit better with your life. Our flexible working practices, including our hybrid working model where you can split your working time between the office and your home, support our belief that this balance brings long-lasting benefits for our business as well as ensuring that our people can balance successful careers with their commitments and interests outside of work. So that you can love where you work, please discuss what works for you with your recruiter during the hiring process.
 Accepting you, for you.
 We want you to feel accepted for who you are and to feel safe, valued and to help us build a culture of true belonging. Experian is proud to be an equal opportunity employer and we take affirmative action to create a more inclusive and equitable world of work. We are committed to equal employment opportunities regardless of age, disability, gender identity, marital status, race, ethnicity, faith or belief, sexual orientation, socioeconomic background, Veteran status or whether you’re pregnant or on family leave.



 Job Description
  The role represents a rare opportunity to be an important part of enabling delivery of Experian's Digital Consumer Information capabilities where they are needed. This involves collaboratively developing and maintaining infrastructure, its automation, and pipelines for a variety of purposes such as enabling us to quickly, easily and reliably deploy and operate our software and infrastructure, alongside expanding our delivery capabilities to better suit our clients' requirements.

 As an Experian employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to unlocking the power of data and technology to make a positive difference to our society and communities.

 We support multiple teams across our CIS division, leveraging an on-premise cloud offering currently (RedHat OpenShift), but we are migrating to AWS. This position is full-time and based on a hybrid work model: as a team we will designate certain days for in-office meetings and collaboration, and remote days for work involving individual focus – it will then require occasional traveling to one of our offices in the UK.

 Key responsibilities: 

Building and maintaining automation and infrastructure that support the delivery of our products to our clients
 Upholding pragmatic practices and ensuring what we build is tested to a high standard and is efficient in its use
 Provide expertise and guidance to colleagues in developing and fulfilling non-functional software requirements
 Collaborate with and support colleagues to aid their continuous improvement and your own
 Document services, infrastructure, and operational procedures




 Qualifications
 

 1 to 2 years hands-on experience with any cloud service provider, preferably AWS with exposure to API use and PaaS offerings.
 Experience scripting in any language (e.g. PowerShell or Bash)
 Strong experience in Agile ways of working
 Hands-on knowledge of the use of repositories (e.g. Git)
 Good exposure to a continuous integration and continuous deployment architecture (with product knowledge on Chef and/or Ansible being beneficial)
 Any knowledge of developing in C#/.NET, Python would be a bonus but not essential
 We recognise that not everyone will have all of the skills or experience, if you believe that you will be a good fit for the role any gaps will be gained on the job, attitude and capability are just as important.

 Additional Information
  Why choose us?
 Our colleagues’ health and wellbeing are a top priority for us, that’s why our reward, benefits and wellbeing programmes are designed so you can come to work feeling your very best self. Our benefits focus on health, money, and lifestyle so you can tailor your benefits to your own personal needs. Whether it’s your physical and mental wellness, getting to work or preparing for the next big milestone in your life, we have a range of flexible options to have you covered!
 To learn more about our culture and what it’s really like to work here, check out our interactive guide here: https://view.pagetiger.com/experianguideforcandidates/1
 Could this be the role for you? Apply now to start your journey with Experian!
 #LI-DJ1

 Experian Careers - Creating a better tomorrow together
 Find out what its like to work for Experian by clicking here
",PostedJust posted,Full-time,,https://www.indeed.com/rc/clk?jk=6e13d281564f85f6&fccid=75a3a5a15b202084&vjs=3
AWS DevOps Engineer,Distributed,Remote in London SW1A,"
AWS DevOps Engineer
 EU (outside UK) - Fully Remote
 6 months fixed term contract
 £450/day (or equivalent in USD or EUR)
 Who are we?
 We're a software development company building the world's Elastic Workforce, reinventing work and challenging the assumption that a local team = the best team.
 We help businesses deliver technical projects better than ever before through our platform and on-demand Elastic Teams.
 What's in it for you? Our mission is to create freelance jobs with more benefits than permanent. 
 Want to know more? read: https://distributed.co/about
 About this role
 We're working alongside one of our major clients on re-engineering a monolithic platform (around 10-12 years' old) and moving it to the cloud to improve the services and capabilities they can offer to their customers. We're in sprint 0 and you will be instrumental in helping to define this migration. This will be the main project you will be working on, but you might be asked to bring your specialism into other squads working on AWS projects as well.
 Your Responsibilities

 Work closely with our Head of Technology and Java Technical Lead to map out a plan for the migration of a monolithic platform
Build CI/CD pipelines
Act as a subject-matter expert for all things cloud and serverless
Configuration management using Ansible

 About You
 We’re looking for passionate technologists who enjoy working in collaborative agile teams. You’ll need to be a clear, concise & engaging communicator with people on your team. We enjoy the big picture and the detail; we want people who excel at both.

 Gitlab Automated CI/CD Pipeline expert (integration with external services)
Gitlab / JIRA Integration
Terraform expert (to build AWS infrastructure as code - PCI experience in cloud desirable)
Ansible (configuration management)
Security by design

 About us
 Distributed is proud to be an equal opportunities employer. Employees and contractors, as well as prospective employees and contractors, will all be treated equally and fairly. Distributed is committed to ensuring no less favourable treatment is experienced by any current or prospective employee because of any of the protected characteristics under the UK Equality Act 2010 or equivalent local equality legislation.
 By submitting your application you give us permission to store and use the information from your CV and your answers to application questions.
",PostedToday,Fixed term contract +1,,https://www.indeed.com/rc/clk?jk=1d37401c48842788&fccid=610a63f71acf7fab&vjs=3
