job_title,company,location,job_summary,post_date,more_info,salary,job_url
Cyber Security Analyst Professional,BT,Hybrid remote in Australia,"










Our mission is to break down the barriers of today to release the potential of tomorrow. Join us today and release yours.
There are two things that we want to share with anyone considering joining us.
Firstly, we’ve got big ambitions for our colleagues and the future of the organisation. These include our vision that inclusion and accessibility drive every conversation we have and every decision we make. We want our workforce to fully represent the communities and customers we serve, because a diverse business is a better business. We value every colleague, their diversity and the contribution that they make. When we say you’re welcome at BT, we really mean it.
Secondly, the one thing the pandemic has taught us is that a lot of current and future colleagues, where and when possible, want to embrace hybrid working. Therefore, we are introducing smart working at BT. Smart working means having the flexibility to choose, as a team, how and where you work depending on your team’s deliverables and needs; when you are at your shared core location to connect with others and when not. It may not be for every role, and, as part of the recruitment process, you’ll have the chance to discuss smart working and how it might work for the job you are applying for.







About this role

The role holder will be responsible for the in-life delivery of a bespoke 24x7x365 commercial Security Operations Centre capability to a specific customer contract. The role holder will be responsible for the day to day management of the Commercial SOC to contractual SLA’s underpinned by specific KPI’s. She/he will be responsible for various aspects of the Commercial SOC operation including but not limited to: 

24 x 7 pro-active monitoring for security incidents, 1st line support and reporting within the defined customer SLA
Management, creation & maintenances of SIEM dashboard
Developing a communication plan for level 1 and 2 SIEM incident handling
Incident detection and Analysis, reporting, incident classification, provision of incident report to customer based in systems defined to support the process
24 x 7 change management process each according to a well-defined procedure based in the systems defined to support the process.
Analysis of security rules and policies before they’re implemented.
24 x 7 communication customers about Incident Security and Change management according procedures and time scheduled defined in SLAs
Developing escalations to Security Specialist regarding process defined


You'll have the following responsibilities


 As a member of the Cyber Security Monitoring and Response team you will respond to immediate security threats on BT and commercial networks across the globe.


 Responsible for working in a 24x7 Security Operation Center (CySOC) environment.


 The CySOC team’s goal is to detect, analyse, and respond to cybersecurity incidents using a combination of cutting-edge technology and a strong set of processes.


 The CySOC team’s goal is to manage the change security process for simple changes and complex changes based in change catalogue agreed with customer.


 Responsible for managing phases of change; Layout, set up and monitor after change.


 CySOC staff work across the organisation, typically with incident response teams to ensure security issues are addressed quickly upon discovery. Monitor, analyse and defend against malicious or unusual activity that could be indicative of a security incident or compromise.


 Support aspects of the delivery of discrete security services that provide the security infrastructure for customers.


 Support elements of the Investigation and resolution as required and where necessary report incidents involving potential or actual breaches of protective security compliance.


Support the operational relationships with specific customers, suppliers and stakeholders, including all Third Parties, joint ventures and OLOs, ensuring the cost-effective provision of a professional Security service


You'll have the following skills & experience


A basic understanding of the cybersecurity landscape, including emerging risks and security solutions.
Knowledge of the TCP/IP protocol suite, DHCP, DNS, LAN/WAN, and Operating System concepts.
Knowledge of the OSI model and security that is associated with each layer.
Basic network security knowledge to include remote access, DMZ architecture, network monitoring, intrusion detection, and web server security.
Basic knowledge of security logging tools (log management, SIEM, Advance Security Anomalies Systems
Threat intelligence - You gather, record and assess information from multiple sources on security threats and reported incidents. You evaluate trends in data to inform decision-making and minimise harm to our business and customers.
Knowledge of security methodologies and processes for: Incident security, Change Management and Secure Communication protocols.
IT and data network experience.
Knowledge of at least one security methodology such as MITRE ATT&CK Framework.
Knowledge of TCP/IP Protocols, network analysis, and network/security applications
Ability to multi-task, prioritize, and manage time effectively.
Motivated and ambitious to work on their own initiative without needing direction Strong attention to detail.
Relevant experience of stakeholder management and good interpersonal skills.
Relevant operational knowledge and experience of risk management.
Knowledge of Security management, network and information security, people security and running of one or more services within a Security Operations Centre
Relevant operational experience, ideally within a Security or Network Operations Centre
Relevant experience in analysis & interpretation of data into useable and actionable information/intelligence
Relevant experience of stakeholder management and good interpersonal skills
Relevant operational knowledge and experience of risk and incident management
Knowledge of Security management, information security and threat intelligence – experience in the following is desirable: SIEM technologies, network security, malware defence and remediation
Effective Communication, including verbal, report writing & presentations skills
Experience in problem solving
Business acumen and including financial awareness


Benefits







About BT
BT has a key role in British society, fostering change and leading technology innovation. From delivering the Olympics, to supporting the emergency services, to investing more into research than any other UK technology company, we take pride in everything we do - and in the people who work here.
We're now a global company operating at the forefront of the information age, employing 90,000 people in 180 countries. And we're on a mission. Guided by our core values of Personal, Simple and Brilliant our goal is to help customers, communities and businesses overcome barriers and release their potential.
So, if you're interested in the power of potential, why not join us today and release yours? You can read more here about what it's like to work at BT
How to Apply
It's easy to apply online; you just need a copy of your up-to-date CV and to follow the step-by step process. Don't worry if you need to make changes - you'll have the opportunity to review and edit your work on the final page. We look forward to receiving your application!










",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=9ad48a778928b1e1&fccid=72713e5b1ba0ef22&vjs=3
Cyber Security Graduate,Visy,Melbourne VIC,"


Job no: 507003
  
Work type: Full Time
  
Location: Melbourne - North
  

At Visy, our people make us stand out from the crowd. We’re always seeking solutions, opportunities and possibilities. We look for people who see what’s ahead & run towards it. These people are helping us to achieve our vision to become the global leader in sustainable packaging solutions. Together, we can create a better world.
 The Opportunity:
 Visy is a global leader in packaging and resource recovery and has been a pioneer in sustainability since our inception. Our innovation, manufacturing and logistic capabilities are organised around an integrated closed loop.
 Due to an internal promotion, we now have an outstanding full time permanent opportunity for a driven graduate passionate about Cyber Security.
 As part of our wider Digital, Technology & Automation team and based at our office in Coburg, you will be working closely with the Chief Information Security Officer (CISO). Joining our small and inclusive Cyber security team will give you excellent exposure enabling you to grow and learn from likeminded experienced individuals.
 The Role
 Reporting directly to the Chief Information Security Officer, your key responsibilities will include, but not be limited to:

Assist in the identification of system risks that either are impacting or have the potential to be impacted by an adverse cyber event.
Assist in the provision of technical expertise and assist in resolve complex issues that face the cyber security team across the technology and manufacturing automation landscape.
Provide reporting metrics from a range of systems to ensure senior management are aware of the state of cyber security across the business
Investigate and identify root cause, attack vector, exploitation and other techniques used to bypass
Ongoing research and analysis of the cyber threat landscape to stay ahead of adversaries and cyber-attack

What you will bring to the team:

Tertiary qualified with some exposure working within an IT function
Passion for cyber security and the drive to grow and learn in that space
Exposure to technology or information security systems and an interest in gaining technical and business skills
You are a great communicator, enabling you to form strong relationships with stakeholders on all levels
You enjoy being accountable and possess a real “Can do “attitude



 When you join Visy, you’re joining a global leader dedicated to making serious progress in the sustainable packaging and recycling industries. We want to find solutions, make an impact & grow our business. If you can help us, you’ll fit right in. There’s never been a better time to join Visy!
 You will be required to meet Visy’s employment criteria which will include a criminal history check and pre-employment medical (including drug & alcohol testing).
 Visy is an equal opportunity employer committed to providing a working environment that  embraces & values diversity & inclusion.
 Advertised: 24 Aug 2022 AUS Eastern Standard Time Applications close: 28 Sep 2022 AUS Eastern Standard Time
",Posted9 days ago,Permanent +2,,https://www.indeed.com/rc/clk?jk=ad22e1dfbf4c698a&fccid=10b4a711498b3044&vjs=3
Cyber Security - Early Career Opportunities,Macquarie Group Limited,Sydney NSW,"





Elevate yourself as a Cyber Security and build the career that’s right for you.  Are you new to Cyber Security or looking for more from your tech career? Joining our Tech Select Program puts you in the driver’s seat of your career, giving you the chance to experience new areas of technology, while building on your Cyber Security and professional skills.  Cyber Security at Macquarie  You’ll join a globally distributed team of cyber defense analysts, incident responders, threat researchers, security architects and engineers tasked with the mission of protecting Macquarie’s businesses from systemic cyber threat.
 We work with Macquarie’s security control operators and infrastructure and workplace technology teams to build platforms and integrate technologies which support the identification, containment, and eradication of threats in our environment.
 We work with internal and external partners to leverage telemetry and data analytics as well as automation and orchestration to solve the scale challenges faced by the cyber threat team.  How Tech Select works  Tech Select is purpose built for technologists in the early stages of their career. You’ll join a cohort of professionals who are passionate about accelerating the digital enterprise.
 You’ll embark on a 12-month development and mentoring program across your choice of technology disciplines. Whatever you’re looking for, Tech Select is customised for you, by you.
 You’ll have the choice of the following tech fields to rotate through:

Software Engineering
Cloud and Platform Engineering
Cyber Security
Data and Business Analytics
UX/UI – Experience Design
Customer/Tech Support

At the conclusion of Tech Select, your journey with Macquarie is only just beginning. As a permanent employee, you’ll continue shaping a technology career that’s unique to you.
 So, who are you?  You’re a skilled Cyber Security Specialist, or looking to become one, in the early stages of your career, ideally with some professional experience and a relevant technology qualification.
 We are an ever-growing global team who is accelerating the digital enterprise and delivering technology solutions that empower people to innovate and invest for a better future. If you want to join us and be part of our journey, while elevating your career, then this is the opportunity for you!
 To learn more about Tech Select visit https://www.macquarie.com/au/en/careers/early-technology-careers/tech-select-program.html
 About the Corporate Operations Group
 The Corporate Operations Group brings together specialist support services in Digital Transformation & Data, Technology, Operations, Human Resources, Business Services, Business Improvement & Strategy, and the Macquarie Group Foundation. We deliver service excellence to ensure Macquarie is open for business, deliver on transformational change, invest in our people and have deep relationships with our customers.
 Our commitment to Diversity, Equity and Inclusion
 The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.
 We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.









About Macquarie

A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 18,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.







Job no: COG-966741
      
Work type: Permanent - Full time
      
Location: Sydney
      
Category: Technology
      
Group: Corporate Operations Group
      
Division: Technology
      
Recruiter: Jessica Jabbour
      
Opening Date: 02/8/2022
     




",Posted30 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=90efc82448a94c4d&fccid=c4fbc8d763b3f3b5&vjs=3
APS 4-5 (Professional) - Cyber Security Systems Infrastructu...,Australian Government Department of Defence,Harman ACT,"

$71,207 - $83,700 (plus Super + BDCP)
Harman - ACT, Macleod - VIC

The Role We are seeking a highly motivated APS 4-5 to join the Cyber Security Systems Infrastructure (CSS-I) team. Under broad direction, the successful applicant will be responsible to the Team Leader - CSS-I for providing ongoing technical support of the Defence Security Operations Centre (DSOC) cyber security systems.   You will have proven experience in the administration of Linux and/or Windows based systems, as well as familiarity with virtualisation and storage technologies.  The duties for this role will include: 

Building and deploy changes to infrastructure.
Contributing to automation for environment provisioning and application deployments.
Contributing to monitoring to provide visibility into system and application state.
Contributing to routine system maintenance, including patching, upgrades and deployments.
Participating in troubleshooting application performance issues as required, assisting development teams by identifying root causes or bottlenecks.
Investigating/prototyping new technologies and identify opportunities for improvement.

 The additional payment is a Building Defence Capability Payment (BDCP) which enables Defence to provide a premium, in addition to the rate of salary otherwise payable under the Enterprise Agreement (EA) to some or all of the jobs within a critical occupation(s) or discipline within a workplace. 
 
 Applicants engaged into a BDCP position must consider the following. BDCPs provide remuneration in addition to the Defence Enterprise Agreement (EA). This arrangement is subject to meeting eligibility criteria and is subject to annual review. Should your performance fall beyond requirements or the eligibility criteria not be met, your eligibility for the BDCP may be reviewed and ceased. It may also be ceased should you change positions or the requirement for the BDCP is no longer necessary, as determined by Defence. Should the BDCP be ceased you will be advised and your BDCP additional payment will cease.
 

About our Team
 The Defence Security Operations Centre (DSOC) is responsible for protecting Defence’s sensitive information and systems from some of the most sophisticated cyber threats across the globe. 
 
 The role we play here is high impact – we protect Australia and its national interests every single day. Our environment is operational and high tempo. We are passionate about our mission and like to be an integral part of building an advanced capability.
 
 DSOC’s Cyber Security Systems Infrastructure (CSS-I) team are pivotal in enabling DSOC functionality through the design, maintenance and support of the section’s cyber security systems. These systems need to be highly secure, resilient and adaptable to enable the DSOC to detect and defeat the cyber threats to Defence’s information and systems.
 

Our Ideal Candidate
 Our ideal candidate will:
 

Have experience working in a technical role supporting Linux and/or Windows Operating Systems;
Have good communication and time management skills;
Be able to provide technical contribution towards multiple projects in a complex environment;
Work cooperatively with peers in order to achieve results;
Have personal resilience and ability to solve problems; and
Be willing to learn and adapt to new technologies as business requirements change.


",Posted4 days ago,"$71,207 - $83,700 a year","$71,207 - $83,700 a year",https://www.indeed.com/rc/clk?jk=5e1e3a2165ab219d&fccid=6485868e6c3545cb&vjs=3
Junior Security Analyst,ThreatDefence,Sydney NSW,"









At ThreatDefence, we know that seeing is believing. Lots of products claim to do wonderful things but disappoint when the rubber hits the road. For us, the opposite is true. When people see ThreatDefence live on their security data, the potential suddenly comes alive, and the value appears.
 Start with us today in a carefully controlled and managed engagement, while we connect ThreatDefence to your systems, collect security data, and then work with your team to produce meaningful insights on your cyber security posture. If you like what you see, you can continue using the service on a monthly basis – and your first month will be free!











Required Skills





Good understanding of security basics 
Hands-on Linux experience 
Programming and scripting 
Working IT experience 
Customer communication 



















A Day in the Life

Being part of a 24×7 security operations team, security monitoring and threat detection
Serving as the first line of response to reported security anomalies and incidents
Investigating and escalating security incidents
Documenting security breaches and assess the damage they cause
SIEM configuration – dashboards, detection use cases
Managing customer service requests to ensure contracted service levels are met
Security system configuration and customisation.












Responsibilities





24x7 Security Operations 
Incident Response 
SIEM management 
Security analysis 
Reporting 



















A Perfect Match

A great passion for cyber security technology – we expect you to have some knowledge of penetration testing, malware/ransomware, OS and network security, security data analysis, etc.
Hands-on technologist – good working knowledge of Linux operating systems is essential
Programming and scripting skills (Bash, Python, etc.)
Good understanding of security principles, such as access control, security protocols, vulnerability management, incident and event management, etc.
Experience with packet capture tools and analysis of captures
Technical ability to resolve complex incidents and problems with focus on security products
Ability to work from home and be a part of after-hours on-call roster.
1-2 years of relevant IT experience.
Tertiary degree in computer science or cyber security.







Above and Beyond

Excellent written and oral communication skills
Proven analytical and problem solving skills
Customer service oriented self-starter with an outgoing personality.










",Posted11 days ago,,,https://www.indeed.com/rc/clk?jk=11b690575c8c6164&fccid=488e57c70d871577&vjs=3
Cyber Security Specialist,UM for Australian Signals Directorate,Perth WA+3 locations,"About the Team: 
The Critical Infrastructure and Operational Technology Environments (CIOTE) section in the Cyber Uplift Branch, ACSC is responsible for enhancing cyber security resilience for critical infrastructure, with a focus on operational technology, and government around Australia. The ACSC achieves this through initiatives like the Critical Infrastructure Uplift Program (CI-UP) a key initiative of CIOTE. CI-UP provides organisations with a holistic evaluation of their current cyber security maturity, along with tailored advice and assistance to identify and remediate security vulnerabilities.
About the Role: 
As a cyber security specialist, you will be provided with a unique opportunity to undertake challenging and rewarding work that contributes to maintaining Australia’s national security. As a cyber security specialist - defensive technologist, you will help contribute to building Australia’s cyber security resilience by protecting critical assets and information.
To achieve our mission, we want people with strong integrity, agility, curiosity, imagination, resilience and creativity. These abilities are needed to out-think and out-imagine some of the most testing adversaries and problems imaginable. Cyber security specialists work in high-paced operational environments that require creative problem solving by self-starters and the ability to collaborate with others. We are looking for applicants who can think critically and have the aptitude to come up with innovative solutions. We encourage applications from anyone who is motivated to develop their skills and can adapt to the rapid pace of technology advancement.
Desirable Qualifications, Experience or Training
Our cyber security specialists have a mix of specialist skills and abilities. Candidates with experience or qualifications in any of the skills, disciplines or platforms listed below are encouraged to apply.

Cloud security design and implementation


Cyber and information security


Network design and implementation


Penetration testing


Programming/scripting/software development


Cyber Security assessments and auditing


Cyber Security program management


Systems administration


Systems and software design


Threat intelligence and modelling


Web-based platforms


Cyber security architecture

Eligibility: 
Please ensure that you meet the eligibility requirements outlined in the Information Pack prior to submitting an application.
Citizenship - To be eligible for employment with ASD, applicants must be an Australian citizen.
Health Assessment - The preferred applicant may be required to undergo a medical examination conducted by the Agency’s preferred medical provider.
Organisational Assessment – To be eligible for employment within ASD, the preferred applicant will be required to undergo an Organisational Assessment (see Organisational Assessment section in the Information Pack).
Security Clearance - The preferred applicant will be required to successfully undergo the security clearance vetting process at a specified clearance level. The preferred applicant
MUST be willing to disclose all relevant and required information.
Application Closing Date: Sunday, 14 August 2022
For further information please review the job information pack, reference ASD/04126/22 on https://www.asd.gov.au/careers
Job Type: Full-time
Salary: $69,811.00 – $119,651.00 per year
Schedule:

Monday to Friday
",Posted30+ days ago,"$69,811 - $119,651 a yearFull-timeMonday to Friday","$69,811 - $119,651 a year",https://www.indeed.com/company/UM-for-Australian-Signal-Directorate/jobs/Cyber-Security-Specialist-52ae126b985cc8ef?fccid=475788a54de30012&vjs=3
Information Security Analyst,Westpac Group,Hybrid remote in Sydney NSW,"
How will I help? 
We are looking for graduates who are curious, enjoy problem solving, and are innovative thinkers to join the Critical Protective Controls team. If you are in the STEM field or not, or just realised that cybersecurity keeps catching your attention, we may just have the right environment for you to experience firsthand what it’s like to become a cyber sleuth. 
The team is made up of professionals who manage cybersecurity controls used to prevent, detect and mitigate threats and attacks. Our countermeasures and safeguards are applied globally 24x7, 365 days a year. We protect Westpac Group digital assets from attackers who maliciously aim to do damage, steal data, exploit unauthorised access for financial gain. 

What’s in it for me? 
You will play an important and significant part in the future of a business that has been around for 200 years. Our vision is to become one of the world’s great service companies. So, we will back you in the development of your career, with internal career prospects and flexible working. You will also be backed by a fantastic team of people in a can-do, supportive structure. 

What do I need? 
The ideal candidate will want to make a difference, protecting the community against cybercrime. They will enjoy challenges that will push and reward you at the same time and want to develop a cyber career with excellent growth opportunities. 

What’s it like to work there? 
As well as competitive remuneration and a great culture, joining the Westpac family means you will get some of the best banking, wealth and insurance benefits in the market. 
We back our employees by helping them work towards industry-recognised qualifications, using online learning, training modules and career planning tools for you to grow with us. We will even pay you to do volunteer or community work. 
As an equal opportunity employer, we are proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion. 

How do I Apply?
 
As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply. 
The Westpac Group has implemented an Entry to Workplace Policy that requires employees and others entering our workplaces to be fully vaccinated against COVID-19 by relevant dates set out in the policy (subject to applicable medical exemptions). Our employees are required to comply with the policy regardless of whether they are in customer-facing or non-customer-facing roles (as employees in non-customer-facing roles are required to attend the workplace under our Hybrid Working Strategy). Further, the Westpac Group is required to comply with State/Territory issued public health orders/directions which require relevant workers to be vaccinated against COVID-19 to enter workplaces. 
By applying for this role, you acknowledge that you are aware of our Entry to Workplace Policy , and if you secure employment with us, you will be required to comply with the policy.
",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=317a1cdfbacddf4a&fccid=3fd7e618c83b6346&vjs=3
Security Analyst,Sunshine Coast Council,Temporarily Remote in Sunshine Coast QLD,"










          Category: Information Communication & Technology 
         







          Work Type: Temporary/Max Term Full-time 
         







$99K – $106K Total Remuneration Package (pro-rata) $88K – $94K Base Salary (pro-rata) Location: Sunshine Coast and WFH Temporary - Full-time Applications close: Monday, 12 September 2022 11:59pm AEST


 Why work with us?
There is no better place to live and work than on the Sunshine Coast, especially with an outstanding organisation like Sunshine Coast Council.


With the vision to be Australia’s most sustainable region - Healthy, Smart, and Creative, council is at the forefront of delivering a number of region-shaping projects that will see the region become a hub for innovation, entrepreneurship and creativity, along with opportunities and a lifestyle for all to enjoy.


About the Role
Are you a technical cybersecurity expert looking for a unique opportunity to take a lead role in Councils dedicated Cybersecurity Program?


In an era of ever-advancing technologies, it is essential to have outstanding cybersecurity systems, policies and processes in place. Council are seeking to appoint a Security Analyst to provide technical expertise to the design, planning, integration and implementation of security initiatives as well as intelligent auditing, monitoring and logging toolsets.


Risk reduction is a large component of the role, including provision of advice and solutions to internal stakeholders that ensure Council’s information assets are protected from accidental or malicious damage.


As part of your role, you will educate and mentor staff on contemporary cybersecurity risks and empower them on further steps to carry out in reducing security violation risks, as well as interact with external service providers and vendors where needed.

 Please note flexibility to work remotely will be considered for this vacancy.


About you
Tertiary qualifications in IT, coupled with professional certifications or significant Cybersecurity experience will set you up for success in this exciting role. Pivotal to this position will be your strong expertise in applying industry legislation, policies, procedures, standards relating to IT infrastructure design, Qld Government Essential 8 and the international framework ISO27001.


A highly developed communicator, your interpersonal skills are effective, particularly in consultation and conflict resolution. Complementing this are your analytical abilities to research, evaluate and provide resolutions to complex problems within a diverse client base. You are well versed in working with third party service providers, vendors and consultants to achieve a common goal.


Knowledge of and experience working with, security infrastructure such as firewalls and network switches would be advantageous. Candidates with experience understanding network security concepts as well as those with knowledge of principles of securing cloud-based applications will be well regarded.


Our Culture & Employee Benefits
Council is committed to creating an inclusive, culturally diverse, healthy, skilled and dedicated workplace culture. As an employee you will enjoy a range of benefits which include but are not limited to: 

9-day fortnight - to support your enjoyment of the lifestyle benefits Sunshine Coast has to offer.
Flexibility to work remotely can be considered
Salary Packaging 
Pay you 17.5% loading when taking annual leave (4 weeks entitlement per year)


 
How to apply
Submit a resume / CV and cover letter detailing your suitability for the role, including your ability to fulfil key responsibilities and requirements on the Position Profile.


Further Information
Helpful information to assist you in completing your application is available on the Sunshine Coast Council website.
 
For specific enquiries contact Tracy Frye, Project Manager Cybersecurity Program during business hours on 0427 476 635


To our valued community; as the novel coronavirus COVID-19 continues to impact our community and daily lives, we want to assure you that we are monitoring developments very closely and taking all appropriate action. Keeping this in mind, please be aware that our recruitment process may take longer than average, and we ask that you remain patient during these prolonged periods.


Through its Reconciliation Action Plan, Sunshine Coast Council supports social and economic opportunities for Traditional Owners, the Kabi Kabi and Jinibara people and the broader First Nations community and as such strongly encourages local, First Nations people to apply.










",Posted2 days ago,"$99,000 - $106,000 a yearFull-time +1","$99,000 - $106,000 a year",https://www.indeed.com/rc/clk?jk=e330fb52d6169f01&fccid=651726c32d5fa114&vjs=3
Security Tester - NV1 Clearance Required,Telstra,Australia,"
An excellent opportunity has become available for a highly motivated and passionate Security Testing Specialist to join the Information and Cyber Security team.

 The opportunity:
 As the Security Testing Specialist, you will be responsible for proactively conducting assessments of threats and vulnerabilities, scanning, and assessing the level of exposure and recommending appropriate countermeasures to protect and defend Telstra from cyber-attacks and successful exploitation of identified vulnerabilities.

 Please note all candidates must be Australian Citizens and will require you to obtain and hold a Negative Vetting 1 (NV1) security clearance.

 Your key responsibilities and major tasks include, but are not limited to: 

 Conducting assessments of threats and vulnerabilities to proactively identify and define vulnerabilities and threats impacting the Telstra enterprise network.
 Examining our environment and considering techniques to improve identification of vulnerabilities and detection of threats.
 Executing vulnerability scans, documenting, and interpreting results to identify security lapses in the system
 Liaising with stakeholders to notify, share and obtain information around vulnerabilities.
 Preparing metrics on vulnerabilities, identifying patterns and trends in vulnerability data and correlating with vulnerability intelligence.
 Conduct authorised exploit validation of systems and utilise a suite of network monitoring and vulnerability scanning tools to expose threats, vulnerabilities, and potential attack vectors in a system
 Collaborating with other security and technology teams in proactively mitigating vulnerabilities.
 Providing security technical expertise support on operational and non-operational matters that contribute to the defence of Telstra corporate platforms and technologies.
 Using commercial and open-source reconnaissance tools to discover assets and onboard assets into scanning tools.
 Develop security testing reports, highlighting key threats and areas for improving system security


 Enough about us, let's talk about you. To hit the ground running we are looking for individuals who can confidently demonstrate the following:

 Be an Australian Citizen and have the ability to obtain and hold an NV1 AGSVA security clearance.
 Proven experience working in an Information Technology role
 Experience in a cyber security specialist role
 Understanding of cyber threats and vulnerabilities.
 Understanding of vulnerability classes and vectors.
 Understanding of common vulnerability scoring system (CVSS).
 Tertiary qualifications in Electrical/Electronic, Computer, Network or Software Engineering; Information/Cyber Security; IT or a related discipline
 Understanding of networking protocols and how they relate to security
 Experience in scripting and coding for security data analysis (e.g., Python and PowerShell) – Highly Desirable


 Our perks & benefits:

 Work-life integration - we understand life happens when you're busy making other plans, so we offer flexibility around where, and when you work.
 16 weeks paid parental leave for primary and secondary carers.
 Professional development program.
 An epic (free) Telstra mobile phone plan.
 Laptop/Device allowance renewed every 2 years.
 Purchased Annual Leave scheme.
 Discounted Telstra products and services.


 We fully embrace flexibility and choice at Telstra and it’s as unique as you. We believe every role can flex in some way and encourage you to work where, when, and how you are most engaged, safe, and productive. Talk to us about how a role could be flexible for you!

 To attend a Telstra premises in certain states / territories, employees will be required to be vaccinated against Covid-19. This is ensure the safety and wellbeing of our people and customers. Please speak to us if you have any questions about this based on your individual circumstances.

 On the cusp of the next technological transformation in the digital world, Telstra has and continues to be at the forefront of local and global innovation. Come disrupt and lead the industry as we build the networks for the future and push the boundaries of what’s possible with technology.

 We're after the right blend of experience and enthusiasm and look for cultural add, rather than cultural fit. We benefit from the unique gifts and backgrounds of each person in our business and push for diversity of thought in all we do.
",PostedToday,Permanent +1,,https://www.indeed.com/rc/clk?jk=aa423edecd3eb6f8&fccid=37a309344fac585c&vjs=3
Cyber Security Analyst,Security Centric,Sydney NSW,"
Role: Cyber Security Analyst Location: Sydney + Hybrid Division: Multiple Opportunities
About The Role
 For this exciting role, you have a passion for information security and are keen to learn new skills. This role is suited to candidates with a broad knowledge of information technology, wishing to develop their career in cyber security. You will develop your technical skills and become a key member of a specialist team.
 Your Responsibilities

Develop software, integrate solutions and automate processes for internal and customer facing systems
Identify security threats to clients' operations
Use APIs to integrate third party software applications
Develop processes, products, services and methodologies to introduce new service offerings or improve the delivery of existing services
Assist in incident response and forensic investigations
Participate in solution architecture and functional requirements development
Constructively collaborate with other team members

Requirements

An undergraduate degree in Computer Science, Information Technology, Computer Engineering or relevant experience in a software development role
Strong ability to troubleshoot problems in methodical and efficient manner
Good communication skills (verbal and written)
Experience with object oriented programming languages (eg. Java, C#)
Experience with scripting languages (eg. Python, PHP, JavaScript)
Ability to clarify ambiguity and synthesise complex issues succinctly
Credit or above results for undergraduate degree

Desired

Experience with Relational Database Management Systems (RDMS) e.g MS-SQL, MySQL, PostgreSQL
Knowledge of web application and server technologies
Familiarity with Open Web Application Security Project (OWASP)
Exposure to CTFs
Hands-on discovery demonstrated through home lab and/or GitHub repo

What's on Offer

Excellent Salary + Benefits + Performance Bonus
Tools of the trade, latest tech, etc.
Opportunity to have your contribution recognised and valued as part of a team
Flexible working environment, great workplace culture
Be mentored by a team of experienced cyber security specialists
Training and professional development is an important part of life at Security Centric and you will be supported in acquiring and maintaining relevant industry certifications such as CISSP, GSSP, GWEB, OSCP, etc.

",Posted4 days ago,,,https://www.indeed.com/rc/clk?jk=ea2638746f382d02&fccid=f728da5b424c259e&vjs=3
