job_title,company,location,job_summary,post_date,more_info,salary,job_url
Defensive Cyber Security Trainee / Junior Technologist,SSH Communications Security Oyj,Helsinki,"
Defensive Cyber Security Trainee / Junior Technologist SSH Communications Security operates in the forefront of defensive cyber security and our products are being used by commercial entities ranging from small companies to Fortune 50 enterprises as well as governmental and public institutions. We’re the good guys, our mission is to make IT and the internet safer for our customers and we do our part in ensuring that societies continue to function even as the world is becoming increasingly hostile. We’re opening junior positions in our development and support teams for junior candidates who are interested in cyber security and have a background or education in software development or information technology. With us, you learn how to build secure and safe software professionally, including the use of test automation, penetration testing and red team tooling to ensure product safeness. In support, you learn how to help our customers to enable access to their critical data using our product portfolio. Within the team, you’ll get an experienced mentor as you’re eased into the problem domain and who’ll guide you on your way. Generally speaking, the work done within the teams is quite collaborative, technical decisions and architecture is discussed a lot and code reviews are the norm. Though, the trainee positions are not only in development, we are also looking for good junior candidates for support roles. If defensive cyber security is something that interests you or is an area, you’d like to invest your capacity into, give us a ping! The opportunity is to grow through experience at SSH to a developer or equivalent position. 
 Qualifications Education in software development or a strong background in IT For developer positions, knowledge of a modern programming language like Go, Python, JavaScript and such Interest in Cyber Security For support positions, knowledge of Linux/Unix/Windows operating systems Public cloud or virtualization knowledge a plus Inquisitive mindset and a willingness to learn 
 We offer An opportunity to work in a product company developing cyber security products with a wide variety of modern tools and technologies. A multinational environment, English is our working language. A chance to work with and learn from true experts in software security. 
 How to Apply Submit your application via careers@ssh.com. For more information, contact CTO Miikka Sainio, miikka.sainio@ssh.com 
 About SSH SSH helps organizations safeguard their mission-critical digital assets at rest, in transit and in use. We have 5,000+ customers worldwide, including 40 percent of Fortune 500 companies, and major organizations in Finance, Government, Retail and Industrial segment. We are committed to helping our customers secure their business in the age of hybrid cloud and distributed IT. Our Zero Trust solutions offer safe electronic communications, secure access to servers and between servers. Our teams in North America, Europe, Asia along with a global network of certified partners ensure customer success. The company’s shares (SSH1V) are listed on Nasdaq OMX Helsinki. www.ssh.com.
",Posted30+  päivää sitten,Vakituinen,,https://www.indeed.com/rc/clk?jk=d5e92474ce96e692&fccid=15b3a1b585bb0c3a&vjs=3
Security Analyst / Researcher,WithSecure Oyj,Helsinki,"





WithSecure™ protects businesses all over the world from modern threats. We do this through a Co-security approach born from first-hand knowledge that no one can solve every cyber security problem alone. Every single day, our diverse, growing team fights against online extortion, threats to national infrastructure, the unlawful spread of sensitive information, and everything in-between.
 The best part about working for WithSecure is our people! We are a community of dedicated and passionate professionals that take workplace happiness seriously. If you’re looking for something that’s more than just a job – we’d love to hear from you.
 Do you enjoy working with Detection & Response systems? Are you interested in helping design and using artificial intelligence and machine learning to detect malicious behavior in complex environments? Are you excited about researching the latest Techniques, Tactics and Procedures that cyber threat actors use as they move across the kill chain? If you have answered yes to any of these questions, this could be your dream job!
 Key Responsibilities
 As a Researcher / Security Analyst, you will be part of the WithSecure Intelligence Team and will focus on making sure that our Endpoint Detection & Response (EDR) as well as Managed Detection & Response (MDR) products can detect even the most sophisticated attackers.

You will be responsible for using detection engineering skill set to design, build and maintain WithSecure Elements EDR incident's Broad Context Detection logic. Broad Context Detections combines all the detections related to an incident, visualizing them uniquely and allowing defenders to swiftly react to attacks
You will be collaborating with product R&D and Security Research teams to design and lead the implementation of innovative detection technologies in EDR tech stack
Your responsibilities will also include building new detection capabilities based upon research and analysis of TTPs used by malware and advanced threat actors
You will be actively working with AI and ML experts to design artificial intelligence and machine learning models to detect attackers always more effectively

What are we looking for?

Experience working with Endpoint telemetry and EDR products
Understanding of security architecture, and API development/automation
Software development experience (Java and Drools are a plus)
Experience with scripting language such as Python, PowerShell, or Bash
Familiarity with common techniques used by malware and threat actors
Familiarity with Windows operating system internals

What’s in it for you?

Learning from world-class cybersecurity experts that track and fight threat actors by building the detections behind top-notch cybersecurity products
Flexible and friendly working environment
Ability to contribute and influence the capabilities of WithSecure's cyber security products
Make the digital world a better place by creating protection mechanism that block and detect threat actors

To apply for this position, please submit a cover letter and your resume.









  WithSecure Oyj 
 




     Helsinki
    







     Kokopäiväinen, Vakituinen
    




Julkaistu 01.09.2022

",Posted1  päivä sitten,Vakituinen +1,,https://www.indeed.com/rc/clk?jk=7ec757e5516af7a6&fccid=a5b99187c6a7b713&vjs=3
Security Specialist,Microsoft,Espoo,"

  Security has never been more top of mind for governments and businesses, and Microsoft Security Solution is committed to keeping nations and citizens secure in an increasingly complex cyber landscape. As the largest security company in the world, we are ideally placed to think outside the box to help our customers make the world a safer place. Following a year of incredible success, we are excited to be expanding our team with ambitious, diversified, and driven new talent, eager to make a difference in the fight against cybercrime. We are keen to hear your thoughts on how we can further achieve our purpose. Join our team and discover unique opportunities to grow, develop and learn.
 


 In the Security Specialists team we are looking for passionate, experienced, and credible specialist sellers with a drive for developing and winning strategic opportunities that deliver end-to-end security thought leadership driving significant customer value and enabling transformational customer outcomes. As a Security Specialist you will build digital transformation security strategies with customers, collaborating across different groups inside the Customer environment to successfully enable them to be more secure. You will lead consultative customer conversations and collaborate on the planning, orchestration and execution of end-to-end Security opportunities with internal stakeholders and partners to cross-sell and up-sell. This opportunity will allow you to learn and accelerate your career growth, honing your solution sales and collaboration skills and deepening your security end-to-end expertise.
 


 Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
 
 Responsibilities

 Sales Execution: Introduces how to enable digital transformation across workloads and collaborates with a virtual team to assess customer needs and proactively build an external stakeholder mapping to implement strategies to accelerate the closing of deals, drive consumption and licensing transactions and grow business with current and new Customers.


 Scaling and Collaboration: Collaborates on the planning, orchestration and execution on end-to-end Security opportunities with internal stakeholders and partners to cross-sell and up-sell.
 Technical Expertise: Leads end-to-end Security conversations, shares best practices and key competitor knowledge across solution areas and evaluates opportunities to make recommendations on pursuit or withdrawal.
 Sales Excellence: Leads and plans for strategic accounts in the assigned territory, does business analysis to pursue high-potential customers and manages the End-to-End Security business across the assigned territory. Completes required training and obtains relevant product and role certifications aligned to the role and workload/industry.

 Qualifications

 Required/Minimum Qualifications


 Technology-related sales or account management experience


 OR Bachelor's Degree in Computer Science, Information Technology, Business Administration, or related field AND technology-related sales or account management experience.


 Additional or Preferred Qualifications


 Technology-related sales or account management experience.


 OR Bachelor's Degree in Information Technology, or related field AND technology-related sales or account management experience
 OR Master's Degree in Business Administration (i.e., MBA), Information Technology, or related field AND Technology-related sales or account management experience.


 Solution or services sales experience.



 #SECFY23H1

",Posted30+  päivää sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=3ff34020c5234f04&fccid=734cb5a01ee60f80&vjs=3
Facility Security Technology Manager,NOKIA,Espoo,"


Come create the technology that helps the world act together


Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.



 We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work.






The team you'll be part of


Nokia’s People organization is responsible for leading a business-driven people strategy and offering people and workplace services to all Nokia employees. We partner closely with the business to provide a motivated and engaged workforce that is fit for the future.
As part of the People & Places organization, the Workplace Management team's role is to maximize People and Places' effectiveness and efficiency through management and governance of facility management services, environmental, health and safety (EHS), remediation, technical engineering and facility security. These functions all support the People & Places Market teams in delivering innovative and cost-effective solutions to the Nokia population.






What you will learn and contribute to


As part of our team, your responsibilities will include:

Defining and implemeting the Nokia access control and video surveillance strategy (including hardware and software).
Acting as the primary access control software application manager responsible for: 
     
Assurance of system operational availability.
Data integrity as it transfers from trusted sources.
The integrity, confidentiality and privacy of the access control data.

Developing programs and processes for application management to support end-users globally.
Ensuring compliance of access control and video systems through hierarchical application management.
Developing technical security system designs for large system implementations. You will play an integral role in the adherence to security system standards within the Nokia Real Estate portfolio.
Liaising with Nokia IT Services for the secure integration of security applications into the Nokia network and assuring compliance to Nokia IT cyber security and information security policies, operating procedures and guidelines.
Managing and analyzing the data collected by the security systems.





Your skills and experience


You have:

Expert level understanding of key risk areas across the business, including developing and delivering global programs
Application manager experience and you are capable of supporting and training others in application management
Physical security designer experience and are knowledgeable in hardware and software applications and their interfaces to other systems
IT infrastructure and cloud-based application management experience
Experience in the development and management of system documentation
Ability to work collaboratively across multiple teams and Business Groups
Ability to define, develop and implement operational process across complex organizations
Experience in process development and implementation
Experience working in a complex and matrix global environment
Expert certificate in Lenel software application management
Expert certificate in Avigilon software application management
Expertise in Esmikko security software application management
Experience in system auditing, compliance and investigations
Cyber and information security knowledge
Network Infrastructure and design experience
Advanced SQL knowledge

It would be nice if you also have:

Scripting language proficiency in SQL, Python and PowerShell
Level 5 Certificates in Database and Project Management, Audit and Penetration testing, Cyber Security and Network Infrastructure.





What we offer



Nokia offers flexible and hybrid working schemes, continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.


Nokia is committed to inclusion and is an equal opportunity employer



Nokia has received the following recognitions for its commitment to inclusion & equality:


One of the World’s Most Ethical Companies by Ethisphere
Gender-Equality Index by Bloomberg
Workplace Pride Global Benchmark
LGBT+ equality & best place to work by HRC Foundation



At Nokia, we act inclusively and respect the uniqueness of people.






Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. We are committed to a culture of inclusion built upon our core value of respect.






Join us and be part of a company where you will feel included and empowered to succeed.



",PostedJuuri julkaistu,,,https://www.indeed.com/rc/clk?jk=1dfa6a21ab18805e&fccid=3444e7c94299ba32&vjs=3
"Security Specialist, cSOC (Helsinki)",Elisa Oyj,Helsinki,"Me cSOC: ssa tarjoamme sinulle mahdollisuuden työskennellä huippuasiantuntijoiden kanssa tietoturvatapahtumien keskipisteessä nopeatempoisessa työympäristössä, joka haastaa osaamisesi ja ongelmanratkaisukykysi tarjoten onnistumisen elämyksiä päivittäin! Elisan cSOC: n Cyber Security Operations -osaston vastuulla on Elisan tietoturvavalvonta sekä uhkien ja poikkeamien hallinta, johon kuuluu olennaisena osana Abuse-toiminne. Haemme nyt tiimiimme Security Specialistia, jonka vastuualueena on tietoturvauhkien ja poikkeamien hallinnan tukeminen. Ensisijainen työntekopaikka on hyvin yhteyksien päässä Helsingin Pasilassa ja elisalaiseen tapaan töitä tehdään joustavasti toimistolla hyvässä seurassa sekä etänä töiden sen salliessa. 

 Työaika sijoittuu klo 7–17 välille. Työtehtävät edellyttävät varallaoloa. Security Specialistin keskeiset tehtävät: Tietoturvauhkien ja -poikkeamien käsittely CSOC-toimintamallien kehitys Oman osaamisen jatkuva kehittäminen Abuse-ilmoitusten käsittely Tehtävässä menestyäksesi sinulla on joitakin näistä: Innostusta uusien asioiden tutkimiseen ja jatkuvaan oppimiseen Kiinnostusta, jopa paloa, kyberturvallisuutta kohtaan alana Kokemusta ja näkemystä tietoturvapoikkeamien hallinnasta Palveluhallinnan prosessien tuntemusta Korkeakoulututkinto (tai juuri valmistumassa olevat opinnot) (AMK tai yliopisto) Sujuvaa suullista ja kirjallista ammatillisen suomen ja englannin kielen taitoa Tietoturvakoulutus ja sertifikaatit ovat eduksi Meiltä puolestaan voit odottaa seuraavia asioita: Rutkasti vastuuta ja organisaation tuen menestyäksesi tehtävässäsi! Pääset työskentelemään kiinnostavien kyberuhkien pariin ja Elisalla saat laajan näkymän tietoturvan eri osa-alueisiin. 

 Ympärille huippuasiantuntevan tiimin ja esihenkilön! Haasteita ja oppimisen mahdollisuuksia päivittäin. Me arvostamme sitä, että jokaisella elisalaisella on omannäköisensä tausta, perhe, harrastukset ja muu elämä – ja että työn tulee sopeutua elämän mukaan eikä päinvastoin. Emme tarjoa pelkkää vastuuta ja kehitysmahdollisuuksia, vaan myös loistavan ja välittävän työyhteisön, jossa kaveria ei jätetä ja jonne olet aidosti tervetullut omana itsenäsi. 

 Kiinnostuitko? Toimithan nopeasti – aloitamme hakemusten käsittelyn ja sopivien ehdokkaiden yhteydenotot jo hakuaikana. Jos sinulla on tehtävään liittyen kysyttävää, niin ota yhteyttä Janiin (jan.winberg(a)elisa.fi tai 050 571 0980), joka kertoo sinulle mielellään lisää! Tehtävään valituille henkilöille tehdään perusmuotoinen turvallisuusselvitys (Turvallisuusselvityslaki (726/2014)), huumausainetesti sekä ulkomaansidonnaisuusselvitys. 


Huomasitko että rekrytoimme tiimiimme myös: Security Analysteja Senior Security Analysteja Cyber Security Engineeria Panostamme kyberturvaosaamiseemme ja Elisan strategian ja yhteiskuntavastuumme mukaisesti tavoitteemme on mahdollistaa turvallinen digitaalinen ympäristö kaikille. Vahvistammekin tiimiämme useammalla kyberturva-ammattilaisella!",Posted30+  päivää sitten,Vakituinen,,https://www.indeed.com/rc/clk?jk=52cca0b7e1a0584d&fccid=2e0b06e944b83239&vjs=3
Senior Security Specialist,Microsoft,Espoo,"

  Security has never been more top of mind for governments and businesses, and Microsoft Security Solution is committed to keeping nations and citizens secure in an increasingly complex cyber landscape. As the largest security company in the world, we are ideally placed to think outside the box to help our customers make the world a safer place. Following a year of incredible success, we are excited to be expanding our team with ambitious, diversified, and driven new talent, eager to make a difference in the fight against cybercrime. We are keen to hear your thoughts on how we can further achieve our purpose. Join our team and discover unique opportunities to grow, develop and learn.
 


 In the Security Specialists team we are looking for passionate, experienced, and credible specialist sellers with a drive for developing and winning strategic opportunities that deliver end-to-end security thought leadership driving significant customer value and enabling transformational customer outcomes. As a Security Specialist you will build digital transformation security strategies with customers, collaborating across different groups inside the Customer environment to successfully enable them to be more secure. You will lead consultative customer conversations and collaborate on the planning, orchestration and execution of end-to-end Security opportunities with internal stakeholders and partners to cross-sell and up-sell. This opportunity will allow you to learn and accelerate your career growth, honing your solution sales and collaboration skills and deepening your security end-to-end expertise.
 


 Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
 
 Responsibilities

 Sales Execution: Introduces how to enable digital transformation across workloads and collaborates with a virtual team to assess customer needs and proactively build an external stakeholder mapping to implement strategies to accelerate the closing of deals, drive consumption and licensing transactions and grow business with current and new Customers.


 Scaling and Collaboration: Collaborates on the planning, orchestration and execution on end-to-end Security opportunities with internal stakeholders and partners to cross-sell and up-sell. 
 Technical Expertise: Leads end-to-end Security conversations, shares best practices and key competitor knowledge across solution areas and evaluates opportunities to make recommendations on pursuit or withdrawal. 
 Sales Excellence: Leads and plans for strategic accounts in the assigned territory, does business analysis to pursue high-potential customers and manages the End-to-End Security business across the assigned territory. Completes required training and obtains relevant product and role certifications aligned to the role and workload/industry.

 Qualifications

 Required/Minimum Qualifications


 Technology-related sales or account management experience.


 OR Bachelor's Degree in Computer Science, Information Technology, Business Administration, or related field AND technology-related sales or account management experience.
 Fluency in Finnish is essential.


 Additional or Preferred Qualifications


 Solution or services sales experience.


   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 


 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
 
",Posted1  päivä sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=2dcf25d2e8f39d22&fccid=734cb5a01ee60f80&vjs=3
SECURITY ANALYST / RESEARCHER,F-secure,Helsinki,"



I'm interested 





WithSecure™ protects businesses all over the world from modern threats. We do this through a Co-security approach born from first-hand knowledge that no one can solve every cyber security problem alone. Every single day, our diverse, growing team fights against online extortion, threats to national infrastructure, the unlawful spread of sensitive information, and everything in-between. 
The best part about working for WithSecure is our people! We are a community of dedicated and passionate professionals that take workplace happiness seriously. If you’re looking for something that’s more than just a job – we’d love to hear from you.
 Do you enjoy working with Detection & Response systems? Are you interested in helping design and using artificial intelligence and machine learning to detect malicious behavior in complex environments? Are you excited about researching the latest Techniques, Tactics and Procedures that cyber threat actors use as they move across the kill chain? If you have answered yes to any of these questions, this could be your dream job!
 Key Responsibilities
 As a Researcher / Security Analyst, you will be part of the WithSecure Intelligence Team and will focus on making sure that our Endpoint Detection & Response (EDR) as well as Managed Detection & Response (MDR) products can detect even the most sophisticated attackers.

You will be responsible for using detection engineering skill set to design, build and maintain WithSecure Elements EDR incident's Broad Context Detection logic. Broad Context Detections combines all the detections related to an incident, visualizing them uniquely and allowing defenders to swiftly react to attacks
You will be collaborating with product R&D and Security Research teams to design and lead the implementation of innovative detection technologies in EDR tech stack
Your responsibilities will also include building new detection capabilities based upon research and analysis of TTPs used by malware and advanced threat actors
You will be actively working with AI and ML experts to design artificial intelligence and machine learning models to detect attackers always more effectively

What are we looking for?

Experience working with Endpoint telemetry and EDR products
Understanding of security architecture, and API development/automation
Software development experience (Java and Drools are a plus)
Experience with scripting language such as Python, PowerShell, or Bash
Familiarity with common techniques used by malware and threat actors
Familiarity with Windows operating system internals

What’s in it for you?

Learning from world-class cybersecurity experts that track and fight threat actors by building the detections behind top-notch cybersecurity products
Flexible and friendly working environment
Ability to contribute and influence the capabilities of WithSecure's cyber security products
Make the digital world a better place by creating protection mechanism that block and detect threat actors

To apply for this position, please submit a cover letter and your resume. 
A security background check will be conducted for the selected candidate, in accordance with the Finnish Security Clearance act 726/2014.



",Posted30+  päivää sitten,,,https://www.indeed.com/rc/clk?jk=104a09d4946b7f94&fccid=e75a28e9e33fbdeb&vjs=3
Security Consultant,Nixu,Espoo,"
About the role 
We are looking for a Security Consultant to join our Professional Services team within Nixu’s Managed Services department. MS is a tech-savvy group of people, with common interest to improve the security of our customers. In this role, you would be focusing on further strengthening our capabilities in both protection and detection domains. 
You will be part of an experienced team, which provides you the necessary support and capabilities to further develop your professional skills. As we use many technologies and constantly develop our services and operations, you have the possibility to take part in creation of comprehensive cyber security monitoring solution to change the world for better. 
Are you the next Nixuan? 
In this role you will: 

Take responsibility of varying customer assignments, ranging from simple enhancements to more complex deployment projects 
Drive continuous improvements on our customers’ environments 
Enable us to build scalable, efficient and high quality managed services, especially focusing on further enhancing our protection and detection capabilities 
Work closely with other internal stakeholders to enhance the capabilities Nixu CDC can offer 

Exposure to the following topics is beneficial for this position: 

Log collection technologies and agents 
SIEM or log management technologies 
Modern DevOps -practices and ways of working 
Building and operating scalable managed services in public cloud platforms 
Management and development of traditional IT environments 


General information security concepts 
Scripting languages (preferably Python and/or PowerShell) 
Infrastructure-as-Code (IaC)


 Apply now! 
We are waiting for your application! Please create your profile in our recruitment system and tell us why you would be a good match with us. 
Need more information? 
If you have further questions, please contact Antti Pettinen (Team Lead) via email firstname.lastname @ nixu.com 
Please note that we will start reviewing applications in August because taking some time off. Recharging batteries is essential to us and should also be for you. Have a great summer, and we will be waiting for your application.
 Since we are working with security for security-conscious companies and organizations, we will do security background checks as part of the recruitment process.
 Nixu is a cybersecurity services company on a mission to keep the digital society running. Our passion is to help organizations embrace digitalization securely. Partnering with our clients we provide practical solutions for ensuring business continuity, an easy access to digital services and data protection. We aim to provide the best workplace to our team of about 400 cybersecurity professionals with a hands-on attitude. With Nordic roots – we have offices in Finland, Sweden, Denmark, Netherlands, and Romania, we serve our customers worldwide. Nixu is listed on the Nasdaq Helsinki stock exchange.




  Business unit
 

  Service Integration 
 

  Locations
 

  Espoo 
 

  Remote status
 

  Temporarily Remote
 
",Posted3  päivää sitten,,,https://www.indeed.com/rc/clk?jk=ee4beb4fe5793537&fccid=e9b43076c0e8b176&vjs=3
Project Security Officer (m/f/d),Airbus,Helsinki,"
Job Description: 
Are you passionate by the IT world and interested in working in a diverse and international environment? Then join us for our growing Agnet business. Secure Land Communications (SLC) which is part of Airbus Defense & Space delivers end to end applicative solutions for Public Safety and Business critical segments. SLC is transforming and evolving and we need talented people who can make a real difference on the way we design, deliver and support IT and applicative solutions to our customers. 

W e are looking for a Project Security Officer (m/f/d) in Madrid, Diegem, Helsinki, Jyväskylä or Budapest for our DevOps-team. 

Your overall mission: As part of a team dedicated to the Public Safety market segment, your key focus will be system deployment following DevOps principles for various environments for customers in the Public Safety environment. 
The Project Security Officer is responsible for overseeing the overall IT, Information and Data security of our Agnet solution (declined in a SaaS, dedicated and on-premises architecture offers). 

As a transversal position you will: 

Support our IT Architecture & Integration to ensure compliance of our platforms with any related legislation, such as the GDPR, ISO standards or relevant government regulations. 
Support our BID team as an Agnet Security focal point. 
Support our Support/Care teams on the management of security incidents. 
Collaborate with the SLC Security Team to ensure maximum security of the Agnet solution. 
Ensure security awareness of all the actors in the Agnet solution. 


You have knowledge or the ability to develop your knowledge on the following security topics: 

Security operations: Vulnerability and patches management, security supervision, Security Incident Response. 
Security architecture: IT and network infrastructure security practices. 
Program management: Security processes and procedures (i.e. DevSecOps) 
Certifications: Security legislation, such as the GDPR, ISO standards or relevant government regulations. 


Your first missions will be: 

To be a main actor in the ""ISO 27001 Certification Task Force"" and ensure the success of this certification process. 
The establishment and coordination of a long term Audit plan of the Agnet solution. 


Competences: 

Proven experience (at least 3-5 years) in enterprise network technologies as well as experience working in complex IT environments. 
Sound understanding of virtualization techniques and hypervisor environments. 
Experience in scripting and DevSecOps tools and techniques Knowledge in Information and Data security is considered as a strong advantage. 
Strong system-level troubleshooting skills and the ability to identify and resolve high-level scalability and performance issues. 
Awareness of security threats and corresponding security know-how. 
Excellent communication skills to address needs and propose solutions towards customers and internal stakeholders. 
Experience in the Public Safety industry is an advantage. 


Education & Soft skills: 

Master’s or Bachelor’s degree in IT or Communications 
Strong customer orientation 
Creative mindset and strong problem solving skills 
Analytical by nature, highly organized and able to effectively prioritize tasks 
Ability and willingness to work as a team player in a highly collaborative and fast-evolving international environment 
Fluent in English. 


Act now, join us! 
Sarah Hartmann 
Recruiting Business Partner 
Sarah.hartmann@airbus.com 

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth. 

Company: Airbus Secure Land Communications GmbH 
 
Contract Type: Permanent Contract / CDI / Unbefristet / Contrato indefinido 
 
Experience Level: Professional / Expérimenté(e) / Professionell / Profesional 
 
Job Family: Cyber Security <JF-CG-ST> 
 
By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.  Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief. 
Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com . 

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.
",Posted23  päivää sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=c8b9a94072803b4d&fccid=2d0740e02e80cf22&vjs=3
Cyber security architect,Veikkaus Oy,Helsinki,"Veikkaus creates joy through games and protects it. We want to make sure that gambling in Finland is kept on the joyful side. All our actions are guided by sustainability. We want to be a trailblazer in the gaming industry, and a trendsetter of a responsible player experience. 

 Wellbeing is our passion. It is important that our employees enjoy coming to work every day. We offer versatile and extensive employee benefits. With us, you get to do work that makes a difference, in a spirited work community that is constantly developing. 

 Let’s work together – to keep gambling on the joyful side. We are looking for Cyber security architect for full-time employment. Veikkaus Infrastructure and security services unit is a forerunner in applying new technologies and creating efficient and secure environment, tools and processes for Veikkaus game and application development. You will be working together with development oriented cyber security team in a challenging and continuously developing environment using modern methods and technologies. 

 The cyber security team is working closely with development and IT teams and other stakeholders in Veikkaus and service providers. You are a team player who is eager to develop Veikkaus information and cyber security capabilities, take personal responsibility and actively improve/enhance your skills. You will be leading cyber security development as a cyber security architect. In this role you will plan cyber security architecture together with enterprise architecture and cyber security teams and other relevant stakeholders. 

 You will participate in cyber security development projects especially in planning phase, you will prepare definitions of technical architecture, policy and guidelines for IT/development and develop processes related to cyber security. We expect that you have relevant working experience with cyber and information security technologies, services and governance aspects and you are willing to broadly develop your cyber security and leadership skills. You should be able to communicate objectives and plans for different stakeholders like IT/development experts and management. Main responsibilities include: Leading information and cyber security architecture aligned with enterprise architecture, creating and communicating cyber security architecture including documentation Developing and implementing information and cyber security processes, and instructions. 

 Co-ordinating and leading technical development and planning of cyber security. It would be great to hear from you if you have: Solid general level understanding of information and cyber security technologies/services and governance. At least 5 years working experience with information/cyber security services and technologies Ability to lead many simultaneous development initiatives and talents with a positive mind and solution-focused attitude Good communication, documentation and interaction skills in Finnish and English Your experience of cyber security architecture, application development and cloud environments is appreciated An appropriate degree (BA/MA or similar) or otherwise acquired appropriate competence and experience on information/cyber security We offer: Benefits of a large company: over 300 IT/development professionals organisation with wide growth possibilities, new technologies and lots of interesting projects including international opportunities. Relaxed atmosphere and awesome co-workers in self-driven teams. 

 Possibility and active encouragement to broaden your skillset, according to your interests and strengths. Exceptionally large slate of benefits including support for sports & cultural activities, health and dental plans, free glasses, gym, free breakfast at the office and nearly endless amount of coffee and healthy fruits offered daily! Flexible ways of working with possibility to balance work and free time, making remote working an agile and practical alternative. Of course, it is always possible to work at our office in Pohjois-Haaga, Helsinki, Finland too. 

 Please send your application with CV and salary request included. We are looking forward to hearing from you! For any inquiries about the position please contact Mikko Kujala or Timo Paajanen via e-mail (firstname.lastname@veikkaus.fi) or phone +358 40 351 6455 (Mikko) or +358 400 529552 (Timo). Person for this position shall be hired as soon as the right person has been found. 

 Veikkaus as a company will perform a drug test and security clearance, to the person selected for the position.",Posted7  päivää sitten,Vakituinen,,https://www.indeed.com/rc/clk?jk=eb8a07c68ecd4385&fccid=a2d4214caa319857&vjs=3
