job_title,company,location,job_summary,post_date,more_info,salary,job_url
Cyber security engineer,ICAV Tech,Remote,"



   From 3 to 7 year(s) of experience
  

    ₹ Not Disclosed by Recruiter
  



 Remote (Hiring office located in India)
    


















 Job Description





Role : You will take responsibility f developing key aspects and functions that fm the backbone of our product ptfolio. This includes development at different Technology Readiness Levels, writing functions to analyse data sets, develop prototypes releases of software (f pilots to prove concepts), and glue systems together to integrate different business applications. You will suppt technical review and have a passion to design, develop and implement quality software solutions to be deployed at scale. 
Skills Required: 

Experience in Vulnerability Assessment and Penetration testing. 
Should have carried out quite several IT Security Audits, 
Experience in wking in heterogeneous wk environments. 
Shall be responsible f the development and execution of the individual audit tasks 

assigned to them and prepare a detailed rept in its regards as desired. 

Troubleshooting security and netwk problems 
Responding to all system and/ netwk security breaches 
Ensuring that the ganizations data and infrastructure are protected by enabling the appropriate security controls. 
Designing, implementing, maintaining, overseeing, and upgrading all security measures needed to protect ganizations data, systems, and netwks 

Responsibilities: 

Experience in analysing and identifying the vulnerabilities manually. 
Experience in a web application, Mobile App and netwk Vulnerability Assessment & Penetration Testing. 
Experience in using security framewks. 
Experience and knowledge of Great Problem-Solving Skills and Fundamentals of Computer Fensics Skills. • The Cyber Security Engineer should have the ability to stay ganized and possess 

excellent communication skills. 

Perfm penetration tests on computer systems, netwks and applications. 
Perfm security assessments of systems, servers and other netwk devices to 

identify areas that require physical protection. 

Review and provide feedback f infmation security fixes. 
Establish improvements f existing security services, including hardware, software, 

policies and procedures.. 

Experience with Firewalls (functionality and maintenance), VSX, and Endpoint Security. • 







Role:Cyber Security
 Salary: Not Disclosed by Recruiter 
Industry:IT Services & Consulting
 Functional AreaIT & Infmation Security
 Role CategyIT Security
 Employment Type:Full Time, Permanent



      Key Skills
    

      Software TroubleshootingCyber SecurityTechnical Knowledge
    

      Communication SkillsPowershellProblem SolvingComputer ScienceSecurity framewkPython
    



 Education
 UG:Any Graduate
 PG:Any Postgraduate
 Doctate:Any Doctate




",PostedJust posted,Full-time,,https://www.indeed.com/rc/clk?jk=ce66bfe604fbfa6a&fccid=a000d4e4766952a6&vjs=3
Senior Security Engineer,LSEG (London Stock Exchange Group),"Bengaluru, Karnataka","

  Delivery of activities against of agreed cyber security strategies. Shapes project delivery with the project management team and the senior manager of the domain area.
 

   Delivery of key artefacts associated with the role, artefacts support evidencing and assurance activities.
 

   Ongoing control operation and effectiveness and evidencing of such.
 

   Reporting, development and management of agreed measures, key performance indicators and key risk indicators
 


   At LSEG, we believe that creating a diverse and inclusive organisation is fundamental to the way we deliver on our promise of creating essential partnerships and open opportunities. Our open culture is central to how we deliver our purpose – driving financial stability, empowering economies and enabling customers to create sustainable growth – in everything we do.
 


   Working with us means that you will be part of a dynamic organisation of 25,000 people across 70 countries. However, we will value your individuality and enable you to bring your true self to work so you can help enrich our diverse workforce. You will be part of a collaborative and creative culture where we encourage new ideas and are committed to sustainability across our global business. You will experience the critical role we have in helping to re-engineer the financial ecosystem to support and drive sustainable economic growth. Together, we are aiming to achieve this growth by accelerating the just transition to net zero, enabling growth of the green economy and creating inclusive economic opportunity.
 


   LSEG offers a range of tailored benefits and support, including healthcare, retirement planning, paid volunteering days and wellbeing initiatives.
 


   We are proud to be an equal opportunities employer. This means that we do not discriminate on the basis of anyone’s race, religion, colour, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, veteran status, pregnancy or disability, or any other basis protected under applicable law. Conforming with applicable law, we can reasonably accommodate applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
 


   Please take a moment to read this 
  
   privacy notice
   carefully, as it describes what personal information London Stock Exchange Group (LSEG) (we) may hold about you, what it’s used for, and how it’s obtained, 
  
   your rights and how to contact us as a data subject
  .
 

   If you are submitting as a Recruitment Agency Partner, it is essential and your responsibility to ensure that candidates applying to LSEG are aware of this privacy notice.
 
",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=25f13b260d67bbc5&fccid=2d181105260f6454&vjs=3
Security Engineer,Vconnex Manufacturing,"Mumbai, Maharashtra","





Planning, implementing, managing, monitoring, and upgrading security measures for the protection of the organization’s data, systems, and networks.
Troubleshooting security and network problems.
Responding to all system and/or network security breaches.
Ensuring that the organization’s data and infrastructure are protected by enabling the appropriate security controls.
Participating in the change management process.
Testing and identifying network and system vulnerabilities.
Daily administrative tasks, reporting, and communication with the relevant departments in the organization.

Cyber Security Engineer Requirements:

A degree in computer science, IT, systems engineering, or related qualification.
2 years of work experience with incident detection, incident response, and forensics.
Experience with Firewalls (functionality and maintenance), Office 365 Security, VSX, and Endpoint Security.
Proficiency in Python, C++, Java, Ruby, Node, Go, and/or Power Shell.


More About Any Information On Call HR Number+91-XXXXXXXXXX





",PostedToday,"₹24,000 - ₹30,000 a monthFull-time","₹24,000 - ₹30,000 a month",https://www.indeed.com/rc/clk?jk=09438332ce9a8ec6&fccid=f97177dd9072c49c&vjs=3
Cyber Security Analyst,Encore Theme,"Hyderabad, Telangana+7 locations","


Hyderabad, India 
2903412 




Job Description 

Role Purpose
 The purpose of this role is to analyse, identify, rectify &recommend specific improvement measures that help in the securityposture of the organization by protecting the sensitive information

 Do



 Ensuring customer centricity by providing aptcybersecurity 


Monitoring and safeguarding the log sources and security access


 Planning for disaster recovery in the event of any securitybreaches


 Monitor for attacks, intrusions and unusual, unauthorized orillegal activity


 Performs moderately complex log reviews and forensic analysis toidentify unauthorized or unacceptable access to data or systems


 Conduct security assessments, risk analysis and root causeanalysis of security incidents


 Handling incidents escalated by the L1 team in 24x7 rotationalshifts


 Use advanced analytics tools to determine emerging threatpatterns and vulnerabilities


 Completing all tactical security operations tasks associatedwith this engagement.


 Analyses all the attacks and come up with remedial attackanalysis


 Conduct detailed analysis of incidents and create reports anddashboards







 Stakeholder coordination & audit assistance


 Liaise with stakeholders in relation to cyber security issuesand provide future recommendations


 Maintain an information security risk register and assist withinternal and external audits relating to information security


 Assist with the creation, maintenance and delivery of cybersecurity awareness training for colleagues


 Advice and guidance to employees on issues such as spam andunwanted or malicious emails





 Stakeholder Interaction



 Stakeholder Type
 Stakeholder Identification
 Purpose of Interaction


 Internal
 Technical Lead/ Project Lead
 Regular reporting & updates


 Security Intelligence (Practice)
 Coordination for security reasons


 External

 Customer


 To coordinate for all security breaches & resolutions



 Display

 Lists the competencies required to perform this role effectively:

 Functional Competencies/ Skill

 Leveraging Technology - Knowledge of current and upcoming technology(automation, tools and systems) to build efficiencies and effectivenessin own function/ Client organization - Expert
 Process Excellence - Ability to follow the standards and norms toproduce consistent results, provide effective control and reduction ofrisk – Expert
 Functional/Technical - Knowledge of Network Security devices,firewalls, end points, SIEM, application security, IPS/IDS, VA / PTskills - Master





 Competency Levels


 Foundation
 Knowledgeable about the competency requirements. Demonstrates (inparts) frequently with minimal support and guidance.


 Competent
 Consistently demonstrates the full range of the competencywithout guidance. Extends the competency to difficult and unknownsituations as well.


 Expert
 Applies the competency in all situations and is serves as a guideto others as well.


 Master
 Coaches others and builds organizational capability in thecompetency area. Serves as a key resource for that competency and isrecognized within the entire organization.




 Behavioral Competencies

 Effective Communication
 Collaborative Working
 Execution Excellence
 Problem Solving & Analytical Skills



 Deliver



 No.
 Performance Parameter
 Measure


 1.
 Customer centricity 
Timely security breach solutioning to end users,Internal stakeholders & external customers experience


 2.
 Process Adherence 
Adherence to SLA’s (90-95%), response time and resolutiontime TAT





",PostedToday,,,https://www.indeed.com/rc/clk?jk=3d14de392d78a007&fccid=68467f8543d168c0&vjs=3
Intern 1 - Tech Consulting - TMT - Cyber Security - New Delh...,EY,"New Delhi, Delhi","

Analyst – IT Advisory
 .
 The opportunity

 EY is looking for Analyst in IT Advisory. An important part of your role will be to assist Seniors & Managers while actively participating within the client engagement.
 
Your key responsibilities


 Application development based on technical specs, process documentation
 Support design, build and test SAP application


 Skills and attributes for success


 Analytical in nature and should be able to grasp new concepts very quickly


 To qualify for the role you must have


 Full time Graduate or Postgraduates from recognized universities in disciplines of Computer Science/ Information Technology/ ECE
 Good programming knowledge in any 1 language at least, preferably object oriented programming
 No prior experience required


 Ideally you’ll also have


 Strong communication, facilitation, relationship-building, presentation and negotiation skills
 Flexible to travel and willing to relocate if necessary


 What we look for
 
People with the ability to work in a collaborative way to provide services across multiple client departments while adhering to commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions.

 What working at EY offers
 
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.

 About EY

 As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.

",PostedPosted 1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=47c8a00ca47241c3&fccid=1544766d4c2915b0&vjs=3
Cyber Security Engineer,Softenger,"Pune, Maharashtra","




Job Profile :


     Cyber Security Engineer
    




Job Location :


     Pune
    




Experience Required :


     5-6 yrs
    




Job Description :


     Must be work SOC analyst
      Hands on SIEM tools like Splunk, arcsight, tripwire
      Must have good communication skill
      Good team player
      Must know complete SOC process
      Must know ITIL process
      Track the issue until closer.
    



",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=5d7f0c4c69a88b38&fccid=69e240bf85d20794&vjs=3
Summer Intern - Tech Consulting - CHS - Cyber Security - Mum...,EY,"Mumbai, Maharashtra","

Analyst – IT Advisory
 .
 The opportunity

 EY is looking for Analyst in IT Advisory. An important part of your role will be to assist Seniors & Managers while actively participating within the client engagement.
 
Your key responsibilities


 Application development based on technical specs, process documentation
 Support design, build and test SAP application


 Skills and attributes for success


 Analytical in nature and should be able to grasp new concepts very quickly


 To qualify for the role you must have


 Full time Graduate or Postgraduates from recognized universities in disciplines of Computer Science/ Information Technology/ ECE
 Good programming knowledge in any 1 language at least, preferably object oriented programming
 No prior experience required


 Ideally you’ll also have


 Strong communication, facilitation, relationship-building, presentation and negotiation skills
 Flexible to travel and willing to relocate if necessary


 What we look for
 
People with the ability to work in a collaborative way to provide services across multiple client departments while adhering to commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions.

 What working at EY offers
 
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.

 About EY

 As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.

",PostedPosted 1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=d96debcaf6393890&fccid=1544766d4c2915b0&vjs=3
Summer Intern - Tech Consulting - National - Cyber Security...,EY,"Hyderabad, Telangana","

Analyst/Associate Consultant – Cyber Transformation

 The opportunity

 EY is looking for Analyst / Associate Consultant in the Risk Advisory team to work on various Cyber Transformation projects for our customers across the globe. • An important part of your role will be to deliver high quality work products as per firm’s guidelines. You will need to actively establish, maintain and strengthen relationships with other team members. You’ll need to report any identified risks within engagements and share any issues and updates with senior members of the team.

 Your key responsibilities

 Client responsibilities:


 Engage in Cyber Transformation projects in the capacity of execution of deliverables 
Work effectively as a team member, sharing responsibility, providing support, maintaining communication and updating senior team members on progress
 Help prepare reports and schedules that will be delivered to clients and other parties
 Demonstrate an application and solution-based approach to the problem solving technique
 Review of working papers and client folders. Suggest ideas on improving engagement productivity and identify opportunities for improving client service
 Manage the engagement budgets and support superiors in developing marketing collaterals, business proposals and new solution / methodology development
 Willing to travel to the customers locations on need basis


 People responsibilities:


 Being a part of and driving the quality culture at GTH
 Contribute to people related initiatives
 Understand and follow workplace policies and procedures
 Foster teamwork by supporting the team


 Skills and attributes for success


 Knowledge of TCP/IP, concepts of OSI layer and protocols, networking and security concepts
 Knowledge of OS (Windows / Linux) security, Database security 
Knowledge of cyber / information security concepts, risk and controls concepts 
Knowledge of IT infrastructure (switches, routers, firewalls, IDS, IPS, etc.)
 Understanding of architectures 
Knowledge of cyber threats and vulnerabilities related to platform and infrastructure is a plus 
Basic knowledge of encryption


 Preferred skills:
 

Knowledge of standards such as ISO 27001/2, ISO 22301, ISO 27018, PCI - DSS, NIST standards on Cyber Security, HITRUST, etc. is a plus 
Knowledge on tools like Nessus, Backtrack, NMAP, BurpSuite, etc. is a definite plus


 To qualify for the role you must have


 Graduates / BE - B. Tech / MCA / M. Sc. (Stats, Maths, Computer Science) / MBA with background in computer science and programming and 0 – 4 years of experience
 CEH, ISO 27001 Lead Auditor and Lead Implementer


 Ideally you’ll also have


 Strong communication, facilitation, relationship-building, presentation and negotiation skills.
 Be highly flexible, adaptable, and creative.
 Comfortable interacting with senior executives (within the firm and at the client)
 Strong leadership skills and supervisory responsibility.


 What we look for
 
People with the ability to work in a collaborative way to provide services across multiple client departments while adhering to commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions.

 What working at EY offers
 
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.

 About EY

 As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.

",PostedPosted 1 day ago,Internship,,https://www.indeed.com/rc/clk?jk=755f06b4d4a8e89c&fccid=1544766d4c2915b0&vjs=3
Cyber Security Analyst,TMF Group,"Noida, Uttar Pradesh","

TMF Group helps its clients operate internationally and ‘belong’ wherever they are in the world. Our work includes helping companies of all sizes with business services such as HR and payroll, accounting and tax, corporate secretarial, global governance and administration and fiduciary services for structured finance, private equity and real estate investments.

POSITION SUMMARY: (SOC ANALYST L1)
 Key Responsibilities

24/7 vigilance against threats happening in customer environment
Abide by SOP’s for appropriate escalation of unresolved issues to respective internal teams.
Monitor for threats, analyze and notify customer
Analyze functional and technical cases and provide a resolution in accordance with agreed customer metrics
Good working skills with Arcsight/Qradar/LogRhythm/ Splunk/ AlienVault is preferable
Track health of monitoring infrastructure
Provide Incident Response (IR) support when analysis confirms actionable incident and manage incident end-end
Investigate, document, and report on information security issues and emerging trends



 The candidates should have:

1 - 3 years of experience in SOC.
Hands-on working experience on ticketing tools like Remedy, Jira, Service Now.
Good understanding of Cloud security concepts
Good verbal & written communication skills
Good understanding of networking concepts
Good understanding of Windows and Unix basics
A passionate and dedicated person



 POSITION SUMMARY: (SOC ANALYST L2)
 Key Responsibilities

Experience in working in a 24x7 Security Operation Center (SOC) environment & vigilance against threats happening in customer environment
Threat Hunter - Investigates and hunts for advanced threats.
Address the requirements especially while carrying out the root cause analysis as well as suitable corrective steps.
Perform deep packet analysis, collection of IOC (Indicator of Compromise).
Collection of evidence, malware reverse engineering and write custom scripts whenever required.
Co-coordinating with OEM for all the firmware up gradations, troubleshooting and other activities
Threat mitigation and reporting are top priority
Rule base Management, SOC Fine tuning. (Administer SIEM tool)
Manage and coordinate with team to accomplish daily operational tasks as per defined standard and Maintaining the SLA’s in the operations
Identified vulnerabilities, recommend corrective measures and ensure the adequacy of existing information security controls.
Advanced working skills with LogRhythm/ Splunk/ AlienVault – LogRhythm certified Professional is preferable
Provide analysis and trending of security logdata from a large number of heterogeneous security and other integrated systems
Respond to L1 team and provide detailed analysis
Provide Incident Response (IR) support when analysis confirms actionable incident and manage incident end-end
Investigate, document, and report on information security issues and emerging trends
Evaluate and implement SIEM use cases
Document and continuously improve playbooks
Upskill L1 team

The candidates should have:

3 - 6 years of experience in SOC.
Hand-on working experience in tools like SIEM, EDR, SOAR, Cloud Native Security center.
Hands-on working experience on ticketing tools like Remedy, Jira, Service Now.
Good understanding of Cloud security concepts
Good understanding of networking concepts
Good understanding of Windows and Unix basics
Good verbal & written communication skills
A passionate and dedicated person








Make an impact
 Our global presence in more than 80 countries allows you to impact how global and diverse clients do business as well as give back to the global communities we operate in








Be part of One TMF
 At TMF Group, it’s our people who make us who we are. Our company thrives on entrepreneurial spirit and is full of proactive people who combine enthusiasm with responsibility and accountability.








A world of opportunity
 Regardless of where you are in your career, TMF Group opens a world of opportunity where you will be part of our team and is supported in your global career journey.





",PostedPosted 1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=571886b8b7d3c7cb&fccid=407208a60bfc4c49&vjs=3
Intern 1 - Tech Consulting - AMI - Cyber Security - Mumbai,EY,"Mumbai, Maharashtra","

Intern – Advisory
 
EY is looking for Interns in Advisory.
 
The opportunity

 You will be responsible for executing client related engagements under the supervision of Seniors. You will have to determine that work delivered is of high quality. You shall be involved in assisting Seniors & Managers in developing new methodologies and other related internal initiatives.

 Your key responsibilities


 Continuously strive towards exceeding client & team expectations and work on increasingly complex assignments. 
Conduct research and prepare client presentations, information memorandums and thought leadership documents.
 Contribute to advisory engagements in the capacity of a team member - deliver quality output within assigned timelines. 
Attend L&D programs and exhibit through knowledge of advisory methodology and consulting attributes. 
Keep abreast with developments in the IT & business related areas and assist team leaders/managers in preparing client decks.
 Sector focus (basic understanding of the industry, trends, issues/challenges & key players) based on the industry group alignment.
 Exhibit initiative and participate in corporate social and team events.

 
Skills and attributes for success


 Strong Analytical/Numerical ability
 Proficient in MS word, excel, power point
 Ability to work under pressure and meet deadlines


 To qualify for the role you must have


 Graduates in B.Com (H), Eco (H).
 No Prior experience required


 Ideally you’ll also have


 Strong communication, facilitation, relationship-building, presentation and negotiation skills.
 Be highly flexible, adaptable, and creative.
 Comfortable interacting with senior executives (within the firm and at the client)


 What we look for
 
People with the ability to work in a collaborative way to provide services across multiple client departments while adhering to commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions.

 What working at EY offers
 
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.

 About EY

 As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.

",PostedPosted 1 day ago,Internship,,https://www.indeed.com/rc/clk?jk=bf08c73d5ecd796d&fccid=1544766d4c2915b0&vjs=3
