job_title,company,location,job_summary,post_date,more_info,salary,job_url
Cyber Security Specialist (TPSA),ASB Bank,"Auckland City, Auckland","

About the role:
 We are looking for Cyber Security professionals to join ASB's Security Practice within our Third Party Security Assurance area. Our Security Practice helps to ensure ASB remains cyber-secure now and into the future, with a vision to make cyber security simple and easy for our customers and our people.
 We have multiple positions available at differing levels based on experience, so if you are new to security or come with lots of role relevant experience, we may have the role for you!
 These roles have a primary focus within the Supplier and Third Party Security Assurance domain to ensure our key suppliers maintain effective cyber security controls when managing ASB information or providing critical services.
 Specifically, you will:

 Deliver a broad range of high-quality cyber consultancy services, with primary focus within the Third Party Security Assurance (TPSA) domain.
 Work with internal stakeholders and third parties to undertake Third Party Security Assessments and Supplier Technology Controls Assessments (STCA).
 Provide specialist cyber security consultancy for Supplier contracts.
 Deliver high quality reporting, risk assessments and consultancy with our internal stakeholders through TPSA, STCA and Supplier contract consultancy activities.
 Create and contribute to the development and communication of cyber security guardrails, policies, and technology controls, particularly as they relate to Third Party Security Assurance.
 Identify and support opportunities for continuous improvement of TPSA processes and deliverables.



 As a starter for success, you'll have some of the following skill and experience:

 Cyber security and/or technology risk management knowledge and experience.
 Ability to utilise this knowledge to support team members and stakeholders with high quality guidance and improved decision making.
 Excellent communication skills, written and verbal.
 Ability to communicate cyber security considerations in terms of business outcomes that enables informed decision making.
 Understanding of the application of technology controls in a business environment and ability to consider business implications of security risks and recommendations.
 Your experience is ideally supported by one or more of the following qualifications; 
   
Tertiary qualification in Computing and Networking, Information Technology, Risk or other associated fields
 Industry certifications such as CISSP, CISM, CRISC or CISA
 Vendor certifications or proven experience




 Why join us:
 So, what will this opportunity give you? A pretty epic place to work in. Our technology hub is based in Albany, but there's plenty of flexibility to work anywhere. As an ASB employee, you'll receive some great banking benefits, a competitive salary and a chance to work with an awesome bunch of people.
 You'll be on the forefront of driving innovation, and will be at the heart of helping us help our people and customers. Enjoy a variety, challenge and complexity of work in a large-scale environment and join a passionate team, focussed on delivering world-class software and infrastructure services.
 If this sounds like you - apply today! We'd love to hear from you!



Job Details








Reference #


       SC152122
      




Posted on


       02 Sep 2022
      




Closes on


       16 Sep 2022 12:00
      




Location(s)


       Auckland
      




Company


       ASB Bank
      




Expertise


       IT Security
      




Work type(s)


       Full Time
      




More details (document)


       no document
      




Additional information






",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=60a56ba6eb78af15&fccid=1b0a5e64aec054cf&vjs=3
Cyber Security Analyst,Westpac,"Remote in Auckland City, Auckland","

Cyber Security Analyst
-
AUC11528





Permanent full time
Based in Auckland

About us:
Westpac Group has a rich heritage and offers employees a multitude of opportunities. We aim to attract the best people inside and outside of the business – building an organisation where the best talent thrives.
About the role:
As a Cyber Security Analyst, you will be a member of Westpac’s dedicated Security Operations Team responsible for detecting and responding to all security threats and incidents.
 Cyber Security Analysts perform real-time log analysis providing network and data security for Westpac New Zealand. Through an in-depth understanding of exploits and vulnerabilities Cyber Security Analysts evaluate the type and severity of security events and resolve issues following the appropriate corrective action, or escalation procedures.
Bring your eye for detail and experience in cyber security to our rapidly growing team. As a Cyber Security Analyst, you will be working as part of our dedicated Security Operations team whose sole responsibility is to detect and respond to all security threats and incidents for Westpac New Zealand.
Be part of Westpac’s wider Information Security Group (ISG). 50+ dedicated security professionals who specialise in security consultation, assurance, risk, architecture, engineering, identity, and access who you will collaborate with and can draw on. 
Key Responsibilities:

Respond, analyse, and investigate security incidents such as phishing, compromises, malware, data loss and denial-of-service attacks
Conduct security incident response efforts to identify, and contain security threats
Work with best-in-breed SIEM, DLP, EDR, CASB, IPS, Vulnerability Assessment, Threat Intel, OSINT, DDoS detection, and Deception tools to triage and investigate security incidents
Build and refine security detection use cases, rules and assisting playbooks 
Conduct threat hunting, adversary emulation and purple team activities, attempting to subvert current security detection and controls
Undertake vulnerability and exploit analysis, technically identify how vulnerabilities can impact Westpac
Constantly learn and improve your cyber security skills with help from Westpac and Cyber Detect & Respond

The technical expertise we are looking for:

Minimum of 2 years’ experience in security operations, penetration testing or security engineering or adjacent domains.
Good foundational and technical knowledge in security, web technologies, networking and cloud infrastructure. 
A solid investigatory mindset, keen eye for anomalies and motivated to dive deeper, ask questions and discover root cause. 
A proven experience and track record in security incident response and security operations
Desirable experience in security platforms and tools like SIEM, IDS/IPS, EDR etc
Good written and verbal communication skills
Ability to cope well under high pressure situations
Security industry certification desirable – SANS GIAC, CompTIA or equivalent

Why work for us:

Excellent banking benefits 
You will be given 10% Superannuation above your salary
Besides 4 weeks' annual leave, you will also be entitled to 5 days wellbeing leave
Flexible work options, including working from home
Ongoing professional development and growth

Next Steps
If this sounds like you and you’re ready for the next step in your career, then apply online today with your CV and cover letter.




 Job
: Security
 

 Primary Location
: AKL-Auckland City and Fringe
 

 Employee Status
: Permanent
 

 Schedule
: Full-time
 

 Posting Date
: 23/08/2022, 10:05:43 PM
 

 Closing Date
: 11/09/2022, 8:59:00 AM
 

",PostedPosted 9 days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=72084a3d95d9a9ca&fccid=3fd7e618c83b6346&vjs=3
Orderly - Auckland DHB,Auckland District Health Board,"Auckland City, Auckland","
Auckland DHB is looking for customer focused professionals to assist day-to-day operations of the hospital by delivering high levels of customer service by transporting patients and moving non-patient related items around ADHB hospital sites.
This is a permanent full-time position, Monday to Sunday fully rostered shifts for 24/7 operating service.
In this role, you will support patient care by moving patients (including high-risk patients) and items around the hospital at the right time to the right place in a courteous and well-presented manner.
On average, the Orderly team complete more than 20,000 tasks every month across Auckland City Hospital, Starship Children's Hospital and the Greenlane Clinical Centre.
To be successful for the role, you will:

Be able to demonstrate excellent organisational skills
Be physically fit - you will be completing up to 20,000 steps per day
Work well under pressure in a complex healthcare facility
A valid NZ full drivers licence and have truck driving experience however not essential
Have prior experience in a customer facing industry
Be self-driven, passionate and have the desire to make a difference to health of our community
Be able to understand and embed Auckland DHB values

In return, we will be able to offer:

On the job training - all new staff completing a 3 month internal induction programme which is equivalent to a Level 2 NZQA qualification
An opportunity for you to complete a Level 3 NZQA certificate in Health & Wellbeing (Orderly Services Strand)
To Thrive programme which provides immediate benefits such as life insurance, shoe & laundry allowances, annual health checks and free gym membership
Opportunity to be trained as a Dispatcher after the 12-week induction programme where you will play an integral part within the sevice as traffic controllers for hospital requests, making sure the right patient gets to the right appointment at the right time

To apply, please submit an online application with your CV and a Cover Letter outlining why this role interests you. Due to mandatory statutory declaration and for cyber security reasons, applications will not be accepted via email.
To view the full postition description, please click here
For online application assitance or for more information on the role, please contact Aaron Chamberlain - Recruitment Coordinator at AaronChamb@adhb.govt.nz.

",PostedPosted 30+ days ago,Permanent +1Shift work,,https://www.indeed.com/rc/clk?jk=9dd443bf599e0bc6&fccid=1ac1811f2809a04f&vjs=3
Cyber Security Architect,KPMG,"Auckland City, Auckland","


   KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow.
  


 Cyber Security Consulting is a multi-disciplinary team that operates in an exciting and constantly changing environment. Our specialist team offer a broad range of services to support our clients by helping manage and respond to constantly evolving cyber threats:
  


 — 
   Strategy and governance: cyber maturity assessments, third party risk services, Virtual CISO on Demand, compliance assessments (e.g. PCI DSS, ISO 27001, SOC 2), security strategy development, security framework development, privacy assessments, security metrics and reporting.
  

    — 
   Transformation: security program delivery, security architecture design and review, identity and access management, Governance, Risk and Compliance (GRC), security operations services.
  

    — 
   Cyber defence: penetration testing, vulnerability assessments, pre/post implementation controls reviews, cloud security services, disaster recovery and business continuity, insider threat services, security analytics, IoT security services.
  

    — 
   Cyber response: threat hunting, cyber response maturity assessments, incident response, threat intelligence.
  




 The opportunity: 


Our Cyber Security Consulting team has an opportunity for an Advisor to join us in Auckland. 
No two projects are ever the same, you will collaborate with the wider Cyber team to advise on strategies, helping our clients define their security architecture and testing business critical applications for errors. 
You’ll also receive support to obtain formal qualifications and professional development through the range of learning programmes we offer.






Day to day you will: 


Understand our clients business challenges and the threats they face
 Use your knowledge and experience to assess and understand complex information and translate this into clear and concise insights and recommendations
 Contribute to proposal writing
 Prepare presentations to clients
 Assist with business development activities 
Market and research analysis
 Support the team to develop strong relationships with clients to become trusted advisors






What you'll bring to our team:


 Experience of information and IT security related disciplines, ideally gained in Energy, Government or Financial Services but open to hearing from you if you have experience outside of these industries
 Experience of delivering information security services or projects, in-house or to customers/clients
 Experience of producing high quality deliverables working alone and as part of a team
 You'll be towards information security qualifications (e.g. CISSP, CISM, etc), or have a strong desire to build a career in Cyber/Information Security
 An curious mind and an appetite to improve your knowledge and building on your existing experience







 Life at KPMG




    We offer rewarding careers to talented individuals and a range of benefits to help provide holistic support for your work life, whatever your circumstance. As a KPMG employee, we will offer you:
  

    — Hybrid Working – a mix of working in the office and at home to enhance your work/life balance
  

    — Flexible leave options, including the ability to purchase additional annual leave
  

    — Access to ‘Whanau@KPMG’ – 18 weeks’ paid flexible leave for all new parents - primary and secondary carers
  

    — Unlimited access to LinkedIn Learning, with bespoke learning pathways for all employees.
  

    — Discounts on a range of lifestyle goods and services.
  

    — Opportunity to join any of our Inclusion, Diversity and Equity networks as a participant and ally.
  

    — Opportunity to join our Social club and enjoy activities such as cooking classes, painting, quiz nights and more.
  



    We believe that diversity of background and experience strengthens relationships and delivers meaningful benefits to our people, clients and communities. Our goal is to be recognised as an employer of choice for all, irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability. Further info can be found on our website
  


 We are a 2022 Circle Back Initiative Employer – we commit to respond to every applicant.


",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=f30f181a3ed8d20d&fccid=2dd390c3a48a7ed0&vjs=3
Cyber Security | 2023 Graduate | Wellington,Deloitte,"Wellington City, Wellington","


Do you have a passion for Cyber Security and the fascinating role of Privacy in our digital future?
Are you interested in accessing the best learning and development opportunities in technology and business?
How about working hands-on with a wide range of clients across different industries?
Do you fancy collaborating directly with experts and developing innovative ideas to make an impact that matters?



 What will you get to do? 




   Cyber threats are constantly evolving and the security solution landscape is becoming more complex. That’s why our work is more meaningful (and exciting) than ever. Always one step ahead, we support clients with being secure, vigilant and resilient end-to-end advisory, implementation and managed services. We’re a team of strategists, disrupters, architects, hackers, and technologists that help clients address cyber threats to build smarter, faster and more connected futures. Pretty cool, right?
  


 Your future starts with us. 




   As a worldwide leader in cyber strategy consulting and cyber intelligence, our team is comprised of 3 main pillars:
  


 Strategy & Governance: We help clients develop their cyber security / data privacy strategies and governance models to support security priorities in an era where cyber is everywhere. This involves interviewing client leadership to understand the design of strategies, contrasting with leading practices and providing feedback and recommendations for improvement.
  


 Implement & Operate: We assist clients with creating and implementing bold cyber solutions that will allow their businesses and organisations to operate using the latest cyber capability’s. In addition we also provide hands on support for a solution or service where required
  


 Detect & Respond: We monitor our client’s systems to detect vulnerabilities and attacks and rigorously test their cyber defences. This work involves: security monitoring and threat hunting, cyber analytics and data analysis, cyber incident response, security orchestration & automation,offensive and defensive security exercises and actions, the list goes on…!
  



Where can I do it?


 Wellington 
Christchurch 






Enough about us, let’s talk about you. 


Has a true passion for information security and technology – majored in IT, Computer Science, Engineering (Understanding or background in Business/Commerce/Law is a plus)
 Great interpersonal skills and thrive in collaborative environments
 Keen to get involved with driving technology-enabled change and delivering high quality outcomes for our clients
 Have a sharp and analytical mind
 Flexible, adaptable and resilient with the ability to embrace change and operate in ambiguous situations
 Self-awareness and good emotional intelligence to navigate between clients with competing priorities






Sound like the sort of role for you? Apply now!



 Remember you will need your CV, covering letter and academic transcript. Please only apply once, multiple applications will not be considered. You must be legally entitled to live and work in New Zealand from the time of application to be considered.
  


 Please be aware, if a particular opportunity becomes oversubscribed, we will close it for applications before the stated deadline. We recommend you submit your full application as early as possible



 From 11 April 2022 it is no longer a condition of our COVID Response policy that our people, clients, contractors and visitors be vaccinated to attend our premises, Deloitte events or client premises (except where a client has a vaccine pass mandate in place). However, given the changing nature of the pandemic, we do reserve the right, following a Health & Safety Risk Assessment, to require that a role be performed by a person vaccinated against COVID-19 to minimise the health and safety risk to our people therefore ongoing collection of vaccination status will be important for managing future risks.



 Deloitte is an equal opportunity employer (EOE) and we are committed to providing a working environment that embraces and values diversity and inclusion. Knowing that people work best in different ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated. If you have any support or access requirements, we encourage you to advise us at the time of application to assist you through the recruitment process.



 We understand there have been cases of phishing emails purporting to be recruiters for Deloitte. Any communication from Deloitte New Zealand regarding an employment application will come from a “@deloitte.co.nz” or from our Applicant Tracking System “@hire.lever.co” email address or our video interview platform deloittenz.hirevue.com. If you have received a suspicious email and would like to verify validity of any communications that appear to be from Deloitte New Zealand, please contact us on NZinfo@deloitte.co.nz


",PostedPosted 30+ days ago,Graduate,,https://www.indeed.com/rc/clk?jk=c8f83cb677c0dc01&fccid=9e215d88a6b33622&vjs=3
Cyber Security Engineer,THL,"Remote in Auckland City, Auckland","
The Brand - Why thl & about the role

 Mahi ki te thl | Working for thl
 Tourism Holdings Limited (thl) is the largest provider of holiday vehicles for rent and sale globally.
 We also design and manufacture motorhomes and specialist vehicles via Action Manufacturing. And, what's more, we create and sell digital products, platforms and apps via our technology arm thl Digital. Within NZ, we also operate the award-winning Kiwi Experience tour products and Discover Waitomo Group.
 The pandemic accelerated the growth of the RV category globally, and the wider industry has dubbed 2021 the 'Year of the RV'. This created the conditions for thl to have a record year for vehicle sales in all countries, far in excess of previous records.
 At thl digital, we are passionate about using technology to create inspiring and unforgettable holidays. The delivery team's role is to develop platforms that enable our customers to feel fully engaged interacting with our products and services.
 We're on a journey to scale our products and services for the rest of the world, and we're seeking passionate, agile team members to help us achieve this.

 Why work for us?
 This is a great opportunity to work for the company that is passionate about using the latest technology to create inspiring and unforgettable holiday experiences for our customers. The company that supports and encourages professional growth, development, and offers opportunities for developing careers internally.
 thl offers a 3 day campervan hire within the first 60 days of employment to give the our crew the opportunity to experience products and services provided by thl free of charge. After 6 months all staff are entitled to a 5 day campervan hire, every year - anywhere, be it New Zealand, Australia or US! You can bring your family, friends and even pets along!
 thl has a family-like high-performing team environment and offers flexible working arrangements, such as WFH (Work from Home), WFO (Work from Office) or WFA (Work from Anywhere during months of January and February). It has a strong focus and commitment to safety and wellbeing of our people, customers and our environment.

 Ko wai koe | About you
 Someone is hungry to learn and strive to solve problems by collaborating with other teams and who likes to continuously challenge themselves.
 You will be mentored and coached by our crew members to ensure you are successful in your role. We want to ensure we set you up to be successful in any role you are attracted to at thl digital.
 Be passionate to support projects, initiatives and production support, providing technical assistance to our business worldwide while guiding and resolving issues patiently and promptly.

 Mō tēnei tūranga mahi | About this role
 Objective / Purpose

 Consult across the multiple business groups
 Analyse alerts and logs highlighting anomalies and trends
 Assist and plan with cybersecurity, networking, security appliances, and server software
 Incident response


 You will be responsible for:
 The functional responsibilities will include:

 Own the implementation and adherence to policies and standards that guide and support company's information security strategy
 Conduct Risk management activities (risk assessment, gap analysis, business impact analysis, etc.) to help the Qrious reach an acceptable level of risk
 Report significant changes in information risk to appropriate levels of management for acceptance on both a periodic and an event-driven basis.
 Advising and making recommendations regarding appropriate personnel, physical and technical security controls
 Managing the information security incident management program to ensure the prevention, detection, containment and correction of security breaches
 Managing security incidents and any other security violations
 Maintaining a wide information security education and awareness campaign
 Coordinating with vendors, auditors, executive management and user departments to enhance information security


 Experience and Skills:

 Experience with common information security framework
 Strong stakeholder management skills and ability to build strong relationships
 Experience with common cloud platforms, container-based technologies, and automation
 Experience with applicable regulatory and industry compliance requirements
 5 or more years' experience in Information Security and/or other relevant fields of expertise
 Experience with Endpoint AV, SIEM, WAFs, Firewalls and NDR platforms
 An appropriate professional qualification is desirable








     Reference #
    

     41608 
    




     Posted on
    

     30 May 2022 
    




     Closes on
    





     Location(s)
    

     Auckland Central 
    




     Expertise
    

     Engineering, Information Technology, Operations, Project Management, Quality Assurance 
    




     Job level(s)
    

     Experienced/Skilled 
    




     Work type(s)
    

     Full Time 
    




     Group division
    

     TH2
    




",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=fba0f0892906d819&fccid=5db0fe8d793d2297&vjs=3
Operational Security Advisor,Department of Internal Affairs NZ,"Remote in Wellington City, Wellington","





Passionate about cyber security and want to have an active role in protecting the data of all New Zealanders?
 We are looking for an experienced IT Security Advisor with experience in working in cloud and hybrid environments. Be part of a small, high-trust team with a wide range of responsibilities working across our entire organisation where your opinion and advice is highly valued. Be prepared to provide cyber security support for a variety of functions from incident management and operational matters to policy advice and project support.
 Working at the Department of Internal Affairs, you’ll have the opportunity to make a real difference to the lives of New Zealanders. We are an equal opportunity employer that values diversity and inclusion. We recognise a diverse workforce contributes to better business outcomes. We are committed to creating a workplace where all employees have equal access.
 The Perks

 Education and upskilling opportunities to grow professionally
 Working with industry-leading security technologies
 A flexible working environment where people are a mix of remote, on-site and working from home

 What we do
 You will be part of a small ICT security team in our Technology Services and Solutions Group that provides IT security advice and support to our core networks and infrastructure, as well as large programme initiatives. Technology Services and Solutions Group sits within Organisational Capability and Services, a branch dedicated to supporting the success of the Department by providing corporate services that help business groups and people within DIA to make the best contribution to New Zealand.
 Experience:

 Proven experience in an ICT security related role highly desirable, although being able to demonstrate knowledge of how to identify and mitigate security vulnerabilities in a network would suffice
 Experience automating processes within a SIEM application is desirable * Experience working with common SIEM query languages (e.g. KQL, Splunk SPL etc.) would be highly desirable
 Knowledge of Azure services and concepts
 Experience applying risk management principles, frameworks and processes is desirable

 Skills:

 Excellent relationship management skills with the ability to communicate effectively with internal and external stakeholders
 Ability to translate ICT security information into appropriate language for the business
 Critical thinking skills to develop or evaluate security standards, procedures and measures.

 Other requirements:

 NZ Citizen
 ICT related bachelor’s degree or proven experience in an ICT role
 Security orientated certification / qualification highly desirable
 Ability to be part of an out of hours support roster for security operations centre functions
 Ability to obtain and maintain a New Zealand Government Security classification If you want to join a team of intelligent, committed people who do some fairly spectacular work for New Zealand – then make sure you get in touc


 To learn more about the diverse, important mahi we do at Te Tari Taiwhenua and see why we're a great place to work, click here.
 We work to make New Zealand better for New Zealanders through our four outcome areas:

People can easily access the services and information they need 
Iwi, hapū and communities across New Zealand are safe, resilient and thriving 
People's sense of belonging and collective memory builds an inclusive New Zealand 
New Zealand is a well-functioning democracy across central and local government

 Applications close: 5PM, Thursday, 15 September, 2022 For more information please contact: Manager IT Operational Security, Gareth.hickey@dia.govt.nz




",PostedPosted 2 days ago,Permanent +1Shift work,,https://www.indeed.com/rc/clk?jk=daa8a85d772fd8ec&fccid=d7cada5f24514b5f&vjs=3
Manager - Cyber Security,KPMG,"Christchurch, Canterbury","


   KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow.
  


 Cyber Security Consulting is a multi-disciplinary team that operates in an exciting and constantly changing environment. Our specialist team offer a broad range of services to support our clients by helping manage and respond to constantly evolving cyber threats:
  


 — 
   Strategy and governance: cyber maturity assessments, third party risk services, Virtual CISO on Demand, compliance assessments (e.g. PCI DSS, ISO 27001, SOC 2), security strategy development, security framework development, privacy assessments, security metrics and reporting.
  

    — 
   Transformation: security program delivery, security architecture design and review, identity and access management, Governance, Risk and Compliance (GRC), security operations services.
  

    — 
   Cyber defence: penetration testing, vulnerability assessments, pre/post implementation controls reviews, cloud security services, disaster recovery and business continuity, insider threat services, security analytics, IoT security services.
  

    — 
   Cyber response: threat hunting, cyber response maturity assessments, incident response, threat intelligence.
  




 The opportunity: 


Our Cyber Security Consulting team has an opportunity for a Manager to join us in Christchurch and work alongside a team of Risk Consulting professionals to provide specialist Cyber advice to our clients. The role will provide support to our national Cyber Security team and will compromise both South Island and North Island client engagements. As such it is anticipated that some travel will be required to support client engagements.
 No two projects are ever the same, you will collaborate with the wider Cyber team to advise on strategies, helping our clients define their security architecture and testing business critical applications for errors. 
You’ll also receive support to obtain formal qualifications and professional development through the range of learning programmes we offer.






Day to day you will: 


Understand our clients business challenges and the threats they face
 Use your knowledge and experience to assess and understand complex information and translate this into clear and concise insights and recommendations
 Contribute to proposal writing
 Prepare presentations to clients
 Assist with business development activities 
Market and research analysis
 Support the team to develop strong relationships with clients to become trusted advisors






What you'll bring to our team:


 Experience of information and IT security related disciplines, ideally gained in Energy, Government or Financial Services but open to hearing from you if you have experience outside of these industries
 Experience of delivering information security services or projects, in-house or to customers/clients
 Experience of producing high quality deliverables working alone and as part of a team
 You'll be towards information security qualifications (e.g. CISSP, CISM, etc), or have a strong desire to build a career in Cyber/Information Security
 An curious mind and an appetite to improve your knowledge and building on your existing experience







 Life at KPMG




    We offer rewarding careers to talented individuals and a range of benefits to help provide holistic support for your work life, whatever your circumstance. As a KPMG employee, we will offer you:
  

    — Hybrid Working – a mix of working in the office and at home to enhance your work/life balance
  

    — Flexible leave options, including the ability to purchase additional annual leave
  

    — Access to ‘Whanau@KPMG’ – 18 weeks’ paid flexible leave for all new parents - primary and secondary carers
  

    — Unlimited access to LinkedIn Learning, with bespoke learning pathways for all employees.
  

    — Discounts on a range of lifestyle goods and services.
  

    — Opportunity to join any of our Inclusion, Diversity and Equity networks as a participant and ally.
  

    — Opportunity to join our Social club and enjoy activities such as cooking classes, painting, quiz nights and more.
  



    We believe that diversity of background and experience strengthens relationships and delivers meaningful benefits to our people, clients and communities. Our goal is to be recognised as an employer of choice for all, irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability. Further info can be found on our website
  


 We are a 2022 Circle Back Initiative Employer – we commit to respond to every applicant.


",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=e7a37e18ca799ea2&fccid=2dd390c3a48a7ed0&vjs=3
Security Manager,Accenture,"Auckland City, Auckland","
About Accenture
 Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.

 At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.
 We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.
 We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.
 Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement.

 About job
 Apply deep security skills to support Security Services. Design, build and protect enterprise systems, applications, data, assets and people for Accenture and our clients. Provide services to help clients protect their information, infrastructures, applications and business processes against cyber threats.

 Roles & Responsibilities:

 Security Manager with Azure and AWS Cloud Security Skills
 Need to understand the compliance requirements for securing Cloud.
 Good experience with NIST CSF compliance audit and Controls implementation.
 Experience in Azure Sentinel SIEM solution, Analyze Use cases, auditing
 Reviewing Security Incident Management process, Events Logging in SIEM
 Experience in auditing Cloud Security Controls in Azure, AWS (MS Defender, FIM, DDOS, Checkpoint Firewalls, WAF, DDOS, Qualys).
 CISSP, CISA Certification would be valuable
 Azure, AWS Cloud Architect Certification would be added advantage
 Should have experience in managing Teams




Equal Employment Opportunity Statement

 At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.
 We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.
 We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.
",PostedPosted 24 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=da1279259d731717&fccid=a4e4e2eaf26690c9&vjs=3
Consultant - Cyber Security,KPMG,"Auckland City, Auckland","


   KPMG is one of the most trusted and respected global professional services firms. Through depth of expertise, clarity of insight and strength of purpose we help our clients solve complex challenges, steer change, strengthen, transition and grow.
  


 Cyber Security Consulting is a multi-disciplinary team that operates in an exciting and constantly changing environment. Our specialist team offer a broad range of services to support our clients by helping manage and respond to constantly evolving cyber threats:
  


 — 
   Strategy and governance: cyber maturity assessments, third party risk services, Virtual CISO on Demand, compliance assessments (e.g. PCI DSS, ISO 27001, SOC 2), security strategy development, security framework development, privacy assessments, security metrics and reporting.
  

    — 
   Transformation: security program delivery, security architecture design and review, identity and access management, Governance, Risk and Compliance (GRC), security operations services.
  

    — 
   Cyber defence: penetration testing, vulnerability assessments, pre/post implementation controls reviews, cloud security services, disaster recovery and business continuity, insider threat services, security analytics, IoT security services.
  

    — 
   Cyber response: threat hunting, cyber response maturity assessments, incident response, threat intelligence.
  




 The opportunity: 


Our Cyber Security Consulting team has an opportunity for an Advisor to join us in Auckland. 
No two projects are ever the same, you will collaborate with the wider Cyber team to advise on strategies, helping our clients define their security architecture and testing business critical applications for errors. 
You’ll also receive support to obtain formal qualifications and professional development through the range of learning programmes we offer.






Day to day you will: 


Understand our clients business challenges and the threats they face
 Use your knowledge and experience to assess and understand complex information and translate this into clear and concise insights and recommendations
 Contribute to proposal writing
 Prepare presentations to clients
 Assist with business development activities 
Market and research analysis
 Support the team to develop strong relationships with clients to become trusted advisors






What you'll bring to our team:


 Experience of information and IT security related disciplines, ideally gained in Energy, Government or Financial Services but open to hearing from you if you have experience outside of these industries
 Experience of delivering information security services or projects, in-house or to customers/clients
 Experience of producing high quality deliverables working alone and as part of a team
 You'll be towards information security qualifications (e.g. CISSP, CISM, etc), or have a strong desire to build a career in Cyber/Information Security
 An curious mind and an appetite to improve your knowledge and building on your existing experience







 Life at KPMG




    We offer rewarding careers to talented individuals and a range of benefits to help provide holistic support for your work life, whatever your circumstance. As a KPMG employee, we will offer you:
  

    — Hybrid Working – a mix of working in the office and at home to enhance your work/life balance
  

    — Flexible leave options, including the ability to purchase additional annual leave
  

    — Access to ‘Whanau@KPMG’ – 18 weeks’ paid flexible leave for all new parents - primary and secondary carers
  

    — Unlimited access to LinkedIn Learning, with bespoke learning pathways for all employees.
  

    — Discounts on a range of lifestyle goods and services.
  

    — Opportunity to join any of our Inclusion, Diversity and Equity networks as a participant and ally.
  

    — Opportunity to join our Social club and enjoy activities such as cooking classes, painting, quiz nights and more.
  



    We believe that diversity of background and experience strengthens relationships and delivers meaningful benefits to our people, clients and communities. Our goal is to be recognised as an employer of choice for all, irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability. Further info can be found on our website
  


 We are a 2022 Circle Back Initiative Employer – we commit to respond to every applicant.


",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=3ff0ddc3fef034fa&fccid=2dd390c3a48a7ed0&vjs=3
