job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior IT Security Engineer,percept-solutions,Singapore,"


Job Description

 Perform technical security assessment for IT & Network components – Vulnerability assessment, Penetration testing, Web application security testing, Security source code review etc. Monitor and track the identified vulnerabilities, issues and fix detected vulnerabilities to maintain high-security standards Create and maintain documented best practices to advise internal staff Periodically review the results and methodology from vulnerability scans, penetration tests, code reviews and conduct audit trail review, security logs, etc. Participate in new IT projects or solution implementations on IT security



Job Requirements
 Diploma / Degree in computer science /computer engineering /information security, or any related discipline. Majors or disciplines in Cybersecurity would be a bonus 1 year work experience or attended training in IT Security related topics Knowledge on DLP / Remedy Ticketing system will be an added advantage
 EA Licence No.:18S9405 / EA Reg. No.:R1330864


Skills & Competencies
 IT Security,Security Operations



Number of Vacancies: 5
Minimum Years of Experience: 1
Salary: $3,000 to $4,000



",PostedPosted 5 days ago,"$3,000 - $4,000 a month","$3,000 - $4,000 a month",https://www.indeed.com/rc/clk?jk=fcf116730cd28d60&fccid=f6228f639e9a9be2&vjs=3
Cyber Security Engineer,Snaphunt Pte Ltd,Singapore,"


   Company
  

   Snaphunt Pte Ltd
   
     snaphunt.com
   




   Designation
  

   Cyber Security Engineer
  



   Date Listed
  

   18 Jun 2022
  



   Job Type
  

   Entry Level / Junior Executive, Experienced / Senior Executive
   
     Full/PermPart/Temp
   




   Job Period
  

   Immediate Start - Flexible End
  



   Profession
  

   IT / Information Technology
  



   Industry
  

   Computer and IT
  



   Location Name
  

   Singapore
  



   Allowance / Remuneration
  

   $4,000 - 7,500 monthly 
  




   Company Profile
  

Our Client interconnects applications from mobile and web frontends to the traditional ERP systems through middleware. Today, its best value to the customer is its experience and ability in cross-application connectivity.




   Job Description
  


Work within a company with a solid track record of success
 Work alongside & learn from best in class talent
 Excellent career development opportunities

 The Job
 Responsibilities:


 Provide IT Security operations support in a SOC environment
 Manage IT Security incidents, threats, programs and analytics
 Protect IT asset and data
 Adhere to IT Security best practices, compliance and regulatory requirements


 Ideal Candidate
 Requirements:


 Diploma/Degree in Cyber Security or related discipline
 Experienced in VAPT
 Willing to learn and work in a SOC environment
 Good understanding of Linux, Windows and network
 Strong analytical skills
 Security certifications are advantageous

 Ref: 93FF73VVEF






   Application Instructions
  

   Apply to this role at https://snaphunt.com/jobs/93FF73VVEF 
   
 Agent Note This position is posted on behalf of a client by a third party agent.
  


",PostedPosted 30+ days ago,"$4,000 - $7,500 a monthTemporary","$4,000 - $7,500 a month",https://www.indeed.com/rc/clk?jk=28ffe9031919febc&fccid=d6545ed47a8e6a25&vjs=3
Security Operations Engineer,ADDX PTE. LTD.,Kallang+2 locations,"






Location
 Singapore, Central Singapore 
    





Planning Area


      KALLANG
     






Job Type


      Permanent
     






Salary


      $7,000 - $10,000 Per Month 
     






Date Posted


      2 hours ago
     






Expiry Date


      23-Sep-2022
     





Additional Details





Job ID


      371161
     






Job Views


      1
     






Roles & Responsibilities
 Who are we?
 We are ADDX, the entry point into private markets, and we aim to democratise private market investments. As a team, we strive to build a future where everybody can access financial ecosystems easily, fairly, and safely. We won’t stop until capital flows freely and efficiently so that economic participation is seamless, frictionless, and meaningful.
 Why join us?

We have built the world’s first fully regulated platform for digital securities, licensed by the Monetary Authority of Singapore (MAS).
In 2022, we received USD 58 million in our Pre-Series B funding round.
We are backed by companies such as SGX, Heliconia (a subsidiary of Temasek Holdings) and Development Bank of Japan Inc..

 We are growing, and we are looking for talented individuals like you to join our team and take us forward at rocket speed towards our future as the leaders of the private market. If you believe in a future of fair financial markets, just like we do, we’ve been waiting for you at ADDX. Who are we looking for?
    We are currently seeking a Security Operational Engineer, for ADDX. As part of security team, you will be the blue team expert responsible for monitoring, detection, and response activities with regards to security vulnerabilities, threats, events, and alerts within AWS.
 Candidates will architect, implement, and use SIEM solutions to integrate data feeds and create content in a distributed computing environment. The focus of this role is primarily on operational security including security monitoring, email security, endpoint security and security patching. Responsibilities
   
 Monitor, analyse, and investigate security logs, events, and alerts from a variety of devices and platforms including but not limited to, SIEM, IDS/IPS, Container Security agents, WAF, OS logs and AWS platform logs, etc.
 Identify gaps in visibility and detection of attacks and malicious events, and work towards SOC maturity trends for AWS.
 Lead projects involving ingestion of new log sources, building content for the SIEM, new rules and filters as needed for improved context, visibility, correlation
 Provide subject matter expertise in security threat analysis, hunting, detection, and response across ADDX’s SaaS cloud environments, build IR run books and automated workflows
 Be part of the Security Incident Response Team (SIRT) activities, helping SIRT to detect, respond, contain, and recover from security incidents in a timely manner
 Good understanding of MITRE ATT&CK matrices, kill chains and other attack models.
 Manage Office365 security policies.
 Email Security and operation
 Simulate phishing campaigns and provide security awareness training.
 End point security
 Security patching
 Risk register security reviews
 Develop security experiments and procedures, and document best practices
 Respond to current or emerging threats and help mitigate damages in regard to product security
 Keep up to date with the latest news and threats in the security industry
 Requirements
   
 Bachelor’s degree in related business or technical areas, or an equivalency of education and work experience
 5+ years of previous experience working in security operations, threat detection, hunt teams, or incident response, triaging cyber security alerts, events, incidents
 Excellent understanding and ability to investigate threat campaign(s) techniques, lateral movements, C&C communications, and indicators of compromise (IOCs)
 At least 3+ years of hands-on experience in a SIEM (a cloud native SIEM preferred) - querying of raw logs, tuning analysis and investigation of alerts, and writing content and correlation rules
 Experience developing operations playbooks, IR run books, security orchestration and automated responses and processes within SOC
 Thorough understanding of the threat and attack landscape in network and web applications, latest security attack vectors, MITRE ATT&CK Framework and Cyber Kill Chain and how they can be used in detection and prevention
 Office 365 security posture experience
 End point security Experience
 Strong interpersonal, oral, and written communication skills

 Certifications

 Good to have - CISSP


     Due to our limited capacity, we regret that only shortlisted candidates will be notified.
   



Tags

security
operations
engineer
security operations engineer


",PostedJust posted,"$7,000 - $10,000 a monthPermanent","$7,000 - $10,000 a month",https://www.indeed.com/rc/clk?jk=5173b409c3d915f7&fccid=d6e5d7e223ac379f&vjs=3
Cyber Security IT,Momentum Z,Singapore,"


   Company
  

   Momentum Z
   
     mzt.one
   




   Designation
  

   Cyber Security IT
  



   Date Listed
  

   25 Aug 2022
  



   Job Type
  

   Entry Level / Junior Executive
   
     Full/Perm
   




   Job Period
  

   Immediate Start, Permanent
  



   Profession
  

   Engineering
  



   Industry
  

   Others
  



   Location Name
  

   Jalan Bukit Merah, Singapore Manufacturing Federation, Singapore
  



   Address
  

   2985 Jalan Bukit Merah, Singapore 159457
  



   Map
  




   Allowance / Remuneration
  

   $2,700 - 3,350 monthly 
  




   Company Profile
  

Momentum Z is a cybersecurity company based in Singapore. We help as consultant for companies to overcome their cyber security problems and challenges. Check out our website, www.mzt.one




   Job Description
  


Set up workstations with computers and necessary peripheral devices (routers, printers etc.)
 Check computer hardware (HDD, mouses, keyboards etc.) to ensure functionality
 Install and configure appropriate software and functions according to specifications
 Develop and maintain local networks in ways that optimize performance
 Ensure security and privacy of networks and computer systems
 Provide orientation and guidance to users on how to operate new software and computer equipment
 Organize and schedule upgrades and maintenance without deterring others from completing their work
 Perform troubleshooting to diagnose and resolve problems (repair or replace parts, debugging etc.)
 Maintain records/logs of repairs and fixes and maintenance schedule
 Identify computer or network equipment shortages and place orders
 Comes with cybersecurity thinking





   Application Instructions
  

   Please apply for this position by submitting your text CV using InternSG.
    Kindly note that only shortlisted candidates will be notified.
  


",PostedPosted 8 days ago,"$2,700 - $3,350 a monthPermanent","$2,700 - $3,350 a month",https://www.indeed.com/rc/clk?jk=f8c59a7b35911408&fccid=22fa469d437afd1b&vjs=3
Cyber and Infocomm Technology Security Officers,Military Security Department,Singapore,"

What the role is



    As a Cyber and Infocomm Technology Security Officer, you will serve as part of a team to deter, detect, and neutralise security threats in the digital domain, in order to provide a secure environment for MINDEF and the SAF to achieve mission success. 
  


What you will be working on



    You will be involved in activities that contribute to achieving mission success, such as cybersecurity operations, threat analysis and assessment, and capability development. If you have competencies in one or more of the following areas, or if you are highly motivated to develop these competencies, we will be keen to hear from you. Senior and entry-level positions are available. • Digital forensic / Incident response • Binary analysis / Malware analysis • Vulnerability assessment / Penetration testing • Cyber threat intelligence • Data analysis / Data engineering • Infocomm Technology infrastructure and networks • Programming, for task automation and solving task-specific challenges
   



 What we are looking for



    • Degree in Infocomm Security, Computer Security, Computer Science, Computer/ Electrical Engineering, Information Technology or equivalent • Mission driven, team-oriented and self-motivated • Penchant for problem-solving through the application of analytical thinking, systems thinking and critical thinking • Strong passion for technology • Relevant industry-recognised certifications will be an added advantage Only shortlisted candidates will be notified.
  


",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=33aec1113bb08e6b&fccid=5e35432e77d4be93&vjs=3
Security Operation Center (SOC) Cyber Threat Analyst - AVP /...,Citi,Singapore,"
The Security Operations Center (SOC) Cyber Threat Analyst will be part of the SOC Team. This center monitors analyses and responds to infrastructure threats and vulnerabilities on a 24x7 basis. SOC Analysts are responsible for performing the day-to-day monitoring of Citi's environment analyzing responding to events as necessary and providing technical support.These operations are critical since they provide Citi's first line of defense against infrastructure attacks.  Responsibilities:


 Perform security monitoring, assessment and analysis on events generated by Intrusion Detection/Prevention tools, anomaly detection systems, antivirus and EDR systems, email security gateway, proxy devices, cloud security solution, data leakage prevention system via SIEM which requires demonstrable security incident response experience
 Assess and investigate potential security threats sourced from other channel leveraging variety of data and tools
 Drive a continuous effort to improve SOC process. Execute adhoc tasks or small projects as needed.
 Undertakes root cause analysis of events, perform risk assessment on threat or vulnerability and make recommendations to improve detection capability
 Drive a continuous effort to review and fine tune detection rule/use case/signature to reduce unnecessary noise and increase alert fidelity
 Handle threat incidents calls like DDOS incidents, adhoc high severity cases including collaboration and escalation to other support groups
 Participate in daily and adhoc conference calls, self-assessment processes and documentation related tasks

 Qualifications:


 4-8 years of relevant experience
 Consistently demonstrates clear and concise written and verbal communication
 Proven influencing and relationship management skills
 Understand the life cycle of network threats, web attacks, attack vectors, and methods of exploitation to conduct analysis across packet captures, network traffic, web logs, endpoint logs and others to identify unusual behavior that may indicate malicious activity
 Proven and strong analytical skills
 Attentive to detail and possess a strong investigative mindset
 A good team player, self driven and able to act as individual contributor
 Consistently demonstrates clear and concise written and verbal communication
 Relevant cyber security certification is a bonus 

 Education:

 Bachelor’s degree/University degree or equivalent experience


 This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

 -
 Job Family Group: Technology
  -
 Job Family: Information Security
  -
 Time Type: Full time
  -
 Citi is an equal opportunity and affirmative action employer.

 Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

 Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

 View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
 View the EEO Policy Statement.
 View the Pay Transparency Posting
",PostedPosted 2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=73a524d62438c670&fccid=5bcd1ef0a7f4fb99&vjs=3
Cyber Security Advisor,Thales,Singapore,"
 Location: Singapore, Singapore 
 Thales people architect solutions that support 85 million mainline and suburban passenger journeys, worldwide, every day. Our Rail Signalling and Communication systems are used on metro lines across major cities, and 72,000 kms of route, 52,000 trains per day in 16 countries are controlled by our Traffic Management Systems. Together We deployed the first-ever nationwide ticketing system which processes over 50 million ticketing transactions in 100 cities daily. 
 Thales established its presence in Singapore in 1973 to support the expansion of aerospace-related activities in the Asia-Pacific region. Throughout the last four decades, the company grew from strength to strength and is today involved in the primary businesses of Aerospace (including Air Traffic Management), Defence & Security, Ground Transportation and Digital Identity & Security. Thales today employs over 2,100 people in Singapore across all its business areas. 
 
Thales people architect solutions that support 85 million mainline and suburban passenger journeys, worldwide, every day. Our Rail Signalling and Communication systems are used on metro lines across major cities, and 72,000 kms of route, 52,000 trains per day in 16 countries are controlled by our Traffic Management Systems. Together We deployed the first-ever nationwide ticketing system which processes over 50 million ticketing transactions in 100 cities daily. 

Thales established its presence in Singapore in 1973 to support the expansion of aerospace-related activities in the Asia-Pacific region. Throughout the last four decades, the company grew from strength to strength and is today involved in the primary businesses of Aerospace (including Air Traffic Management), Defence & Security, Ground Transportation and Digital Identity & Security. Thales today employs over 2,100 people in Singapore across all its business areas. 

This Cyber Security Advisor role is with Thales transportation division in Singapore. The team in Singapore works on projects related to metro systems in South East Asia region including Signaling Systems, Integrated Communication Systems, Supervision Systems and Ticketing Collection Systems. The systems deployed have direct impact on end-to-end commuter experience. 

As a Cyber Security Advisor for the Engineering team in Singapore, you will ensure consistency of project solutions according to defined security policy, technical product roadmap and customer requirements/needs. Leading and providing guidance for all project cybersecurity activities across all transportation projects will be primary objective. This means defining, reviewing, managing and in some cases executing cyber activities will all be part of the job scope (security management plans, requirements, risk assessments, vulnerability assessments, etc.) 

Key Responsibilities: 
• Overseeing and maintaining the cybersecurity process that includes defining the security activities in the project/product development lifecycle including plans, requirements, design, risk assessment, testing, vulnerability management, etc. 
• Adopting the industry standards and methodologies for cybersecurity assessment and project development 
• Aligning to, leveraging from and contributing to the GTS Cyber Security guidelines 
• Assessing bids and bids requirements and incorporating those into design and cost options for projects 
• Providing specialty engineering in the form of consultation services for project and product, and conducting risk assessments, and technical vulnerability assessments 
• Interfacing with the Global Business Unit GTS for corporate guidance on use of industry standards, and following Thales group processes and policies 

Skills and Experience: 
• University degree in Engineering, Computer Science or equivalent work experience 
• More than 8 Years of experience in cybersecurity architecture, design, risk assessment and development 
• Expertise on project and software development lifecycle, gates and process oriented 
• Good communication skills, with the ability to communicate effectively and succinctly with senior management about complex technical matters 
• Ability to make public presentation and demonstration to customers 
• Excellent writing skills, experience writing papers, and technical documentation 
• Ability to ascertain the skills and competency of staff assigned 
• Working experience with security standards: ISO 27001/2, NIST SP 800 series, IEC 62443 is an asset 
• CISSP / GSEC / CISA security designation is an asset 
• Product development, industrial engineering and industrial control systems expertise is an asset 
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!
",PostedPosted 2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=9aac41f8dc708bde&fccid=b920aab5fd60595d&vjs=3
Cyber Security Analyst,CSIntelligence Pte Ltd,Singapore,"
Job Description:

 Analyse threat intelligence feeds & stay abreast of cyber security related risks that may affect business continuity
 Monitor, gather & report activities pertinent to security systems from a Cyber Security Solutions angle
 Monitor & analyse emails for threats such as phishing & malware and to escalate as require
 Supports internal investigations by conducting forensic analysis
 Manage in the investigation of security violations and breaches
 Investigate and perform computer forensics including malware analysis
 Performs in-depth incident handling and responses
 Maintain awareness of emerging threats


 Requirements:

 Knowledge of intrusion detection and various operating systems (Windows/ UNIX) and web technologies surrounding internet security
 Understanding of common network traffic, i.e TCP/IP, network traffic, network protocols, network devices & multiple operating systems
 Hands-on experience with security application is preferred
 Ability to assess network activity and system configuration for anomalous activity to determine system security status
 Technical knowledge of mainstream operating systems and wide range of security technologies such as network security appliances and anti-malware solutions
 Fundamental knowledge of network traffic alerts to assess, prioritise and differentiate between potential intrusion attempts
 Passionate in cyber security
 Able to work in a collaborative manner with peers
 Professional Security Certification (CEH, CISSP, SANS/GIAC, etc.) is an added advantage

",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=d47b3c61c4aeecd6&fccid=c46648cb01312116&vjs=3
Cyber Security Graduate - Singapore,Dyson,Singapore,"




At Dyson, we demand the highest standard of performance from the technologies we engineer. Our people expect the same from the technology that supports them. We are a community that appreciates and advocates better engineering. A community of pioneers.
 Our IT team’s aim is to create robust architecture, manage data effectively and efficiently, and continue to grow our world-class team. Join us as a graduate and you’ll play an integral role in enabling business acceleration, growth and success.


 About the role
 It’s no secret that our intellectual property is massively critical to our success and Dyson’s Cyber Security department works tirelessly to keep our secrets secret, using world-class technologies to stay one step ahead of the game.
 As a Cybersecurity Graduate, you’ll be challenged to think like a hacker and anticipate their every move, researching the latest threats and exploring every angle. As part of the Security team, you’ll play a part in designing the technology solutions that keep us at the top of our game, refining our processes, stressing our systems, and making sure we’re well-honed.
 You’ll deliver activities to support IT security projects, resolve day-to-day IT security problems, respond to incidents, manage security testing, and provide good practice guidance to projects and business units.
 Over the course of this two-year programme you’ll develop your expertise across a series of placements. Depending on your skillset and aspirations, you could spend time in the following roles:

 Cyber Defence - Operations


 Cyber Defence Offensive Security


 Cyber Risk and Assurance


 Cyber Engineering

 In addition, you’ll be supported with a development framework designed to provide the technical and commercial know-how to help you drive your Dyson career. The work will be challenging and varied but you’ll be getting stuck in from day one, helping to influence the future of Dyson technology.


 About us
 Working at the forefront of technology is tough so standards and expectations are high. You’ll be contributing to live projects from the start so you’ll need to be curious, hungry to learn and ready to get stuck in. But it’s not just about technical expertise. You’ll need to:

 On track for 2nd upper-class honours or above and be studying towards a Computer Science, Computer Engineering, Information Systems, IT, Cyber Security, Business
 Graduating in August/September 2022
 Be able to evidence your passion for delivering projects, either through your university projects or as part of your co-curricular activities
 Be able to thrive in Dyson’s fast-paced environment
 Knowledge of information security technologies would be advantageous

 Above all, you’ll want to play a key part in bringing the next generation of Dyson technology to the world.
 For your application to be considered, please upload 1) your detailed resume and 2) your latest academic transcript (all semesters inclusive) in a single file together with your online application. 
Please note that you should only apply to one graduate position as multiple applications will delay the selection process. We will consider you for other graduate roles should you have the relevant skillset or experience. Shortlisted candidates will undergo our early careers recruitment and selection process which could include digital assessments and interviews.


 Benefits
 Professional growth, leadership development, and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices, and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fuelling and realising ambition.
 Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.






Interview guidance
 We are following the government guidelines regarding COVID19. At this time all interviews will be conducted via video or telephone. We’re taking these precautionary measures to protect both our employee and candidate wellbeing. Our Talent Acquisition team will work with you and provide further information as appropriate.

",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=e21fa7d30508ecab&fccid=366382f52796fce2&vjs=3
"Engineer, Cybersecurity Engring & Ops - Cyber Security",Singtel,Singapore 239732,"

Engineer, Cybersecurity Engring & Ops - Cyber Security




Date: 08-Aug-2022 
Location: Singapore, Singapore 
Company: Singtel Group 


At Singtel, we believe in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers. We strive to ensure all our people practices are non-discriminatory and provide a fair, performance-based work culture that is diverse, inclusive and collaborative.
Join us and experience what it’s like to be with an Employer of Choice*. Together, let’s create a brighter digital future for all. *Awarded at the HR Fest Awards 2020.


As Singtel Networks transforms into a Digitalised Networks, cyber security has become ever more important. We are looking for fresh graduates to join us as Cyber Security Analyst / Engineer in the areas of governance, planning, or operations.


Cyber Security Governance
As the first level support for Cyber Security Governance for Singtel Networks, you will manage project coordination, governance and compliance reports, systems and control reviews, build awareness on cyber security and coordination of cyber security requirements for Networks.


Cyber Security Planning
As a Cybersecurity Planning Engineer for Group Security Engineering of Singtel Networks, you will be part of the team building new Cybersecurity platforms to provide centralized security services. Your role requires project planning, coordination and implementation of the security platforms protecting Critical Information Infrastructure across the Group Technology Network.


Cyber Security Operations
Under Cyber Security Operations, you will provide network and systems support to users and provide engineering support in a security operations center environment.


Softskills / Personal attributes:

Possess growth mindset, willing to take ownership.
Hands-on with ability to multi-task in a fast moving and rapidly changing environment.
Able to collaborate in a team to maximise teamwork and be empowered to work independently.
Willing to take ownership of assigned responsibilities and tasks.
Possess growth mindset and take initiatives to learn and grow.



",PostedPosted 30+ days ago,Fresh graduate,,https://www.indeed.com/rc/clk?jk=79e7c440b2aa6372&fccid=a94c6bb50f118c9f&vjs=3
