job_title,company,location,job_summary,post_date,more_info,salary,job_url
Cyber Security Engineer,Alstom,"Madrid, Madrid provincia","We create smart innovations to meet the mobility challenges of today and tomorrow. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses and driverless trains, as well as infrastructure, signalling and digital mobility solutions. Joining us means joining a truly global community of more than 75 000 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact. 

 Meeting the ever-changing needs of our markets is our driving ambition. At Alstom, innovation is transparent, inclusive, business-minded, open, and above all, collaborative. 

 Explore how we're creating the future of mobility and join our team of passionate professionals as Cybersecurity Architect, Madrid 

 Purpose of The Role 

 Responsible for designing, creating, and maintaining the cybersecurity aspects of Alstom solutions. 

 Detailed Responsibilities 

 Responsible of Alstom solution security analysis (for tenders and projects) and of the definition of its security requirements and architecture. 

 Understand the solution to be delivered and secured 
Design and document reliable security architecture resilient against cyberthreats (CADRA) 
Ensure update and upgrade delivered solution cybersecurity as needed 


Lead or contribute to activities such as:
 Cybersecurity risks assessment 
Cybersecurity requirement implementation 
Cybersecurity evaluation of the developed solution(s) 
Management of 3rd parties on Cybersecurity aspects 
Cybersecurity Vulnerability Management 

 Provide technical guidance and supervision for the project/program team 

 participate to Project/Program Design Reviews 
support engineering team answer design and technical difficulties related to cybersecurity implementation, 
be referent for management and third parties on cybersecurity architecture and technical implementation. 
Ensure homogeneous cybersecurity implementation conform to Governance & Expertise policies. 

 Respond and support to any security-related incidents and provide post-event analysis 
Ensure cyber trend watch (new threats, new techno, etc.) related to the delivered solution(s) 

 Competencies & Experience 

 Awareness of main cybersecurity standards and regulations, such as: ISA/IEC 62443, TS 50701, ISO 2700X, NIST, NIS Directive 
Understanding of securing OT System architectures 
Knowledge of cybersecurity risk assessment methodology 


Knowledge of defence in depth techniques such as:
 Network security architecture development and definition 
Perimeter security controls such as firewalls, IDS/IPS, network access controls, and network segmentation 
Various aspects of network security such as routers, switches, and VLAN security 
Security concepts related to DNS, including routing, authentication, VPN, proxy services 

 Capacity to address high level (system) and low level (IT, Security technologies and Software design) and to design a cyber architecture (zoning, services, …). 
Knowledge of recognized techniques for evaluating systems security and Intrusion testing techniques. 
Understanding of third-party auditing and risk assessment 

 Ability to interact with a broad cross-section of personnel to explain and enforce security measures 

 Dynamic, autonomous. Creativity and ability to work in a complex environment. 

 An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals.",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=5c2fe0a6608bb41b&fccid=70bbeb2771f8c8e7&vjs=3
Accounts Assistant,Advantio,"Madrid, Madrid provincia","About AdvantioEstablished in 2009, Advantio maintains an extensive team of consultants and security testing experts to provide digital security and assurance to its customers. Originally established as a payment compliance market leader, Advantio has grown from an established and leading payment security and compliance organisation in Europe to develop its comprehensive Cyber Security and Managed Security Services expertise – offering consultancy, products, and services to support organisations to first understand or their own cyber security related business risks and then by providing suitable and affordable solutions to manage those risks effectively and to remediate against threats proportionately. Advantio primarily serves the FinTech and Payment Card industries and is recognised by VISA as one of Europe’s top Qualified Security Assessor (QSA) providers.
For more information about Advantio, visit https://www.advantio.com
*Role Mission: *Support accountancy processes by executing routine activities and procedures.
*Key Responsibilities: *

Reconciles Group subsidiary bank accounts by gathering and balancing information.
Prepares weekly cash reports for the main stakeholders.
Provides financial status information by preparing special reports; completing special projects.
Secures financial information by keeping information confidential.
Posting supplier invoices timely in the financial system in line with monthly cut off deadlines.
Works with the financial accountants to ensure any accruals for supplier invoices not posted for the period are in place.
Reconciles payments to expense reports. Works with internal stakeholders to ensure all credit card payments are reconciled to expense reports submitted in the system.
Assist in maintaining relationships with external local service providers to assist with required financial returns.
Work with external accountant to reconcile quarterly local accounts and returns to Group financial system (SAP).

Knowledge and Skills: 

General Math Skills,
Accounting,
Reporting,
Experience with platforms such as: SAP, Salesforce etc. is beneficial not required
Someone who is keen to pursue a career in Finance. The payment of exam fees will be available to the right candidate.
English & Spanish Fluency (spoken and written)

Values and Competencies: 

Analysis (Quality Focus)
Attention to detail and task orientation
Practical Problem Solving
Systematic thinking
Clear communication
Listening
Teamwork and integration
Time management (Deadline-Oriented)

Advantio Core Values: 

Harmony, always strive to create harmony
Openness, always be open
Social responsibility, be socially responsible
Timeless, whatever you build make it timeless
Accommodating, make our customers feel at home
Learning, be a learn it all
Delivering results

Job Type: Full-time",PostedHoy,Jornada completa,,https://www.indeed.com/rc/clk?jk=874490e384a0e345&fccid=2112f15856e06ea2&vjs=3
Junior Software Engineer (m/f/d) Cyber Security,MaibornWolff,"Valencia, Valencia provincia","
What awaits you with us
For you, secure software starts before the first line of code? For us, too. As a junior software engineer, high software quality is important to you and you want to apply modern development methods in everyday life. Through our projects at BMW, Miele and Deutsche Bahn, we have already made the digital world a little safer. And with your support, it gets a little better every day. In your role as a future “security champion”, you will develop into an expert in IT security in our projects.
Because security is at the forefront: whether fullstack, mobile, DevOps or web. Have our software engineers followed best practices in coding? Can you already identify threats in the architecture? How do you advise the product owner to define his requirements without security gaps? You will find new answers to all these questions every day. You can expect a (still) small team of security experts who will support you in your personal and professional development. You will use the knowledge of your mentors, your training budget and your passion for code quality.
MaibornWolff stands for the development of high-quality IT solutions, by people for people. For us, cybersecurity is a quality dimension that we want to look at holistically with you – on a technical, organisational and human level. We develop solutions for our customers that work reliably while providing just the right level of security.

Your role

You develop individual software solutions in a team using modern methods and technologies. You have already discovered a passion for yourself: frontend, backend, full stack or perhaps mobile.
 You automate security checks and integrate them into the CI/CD pipeline. You ensure our code quality with code reviews, unit tests and bug fixing.
 You are the first point of contact in the team for all security best practices and are always up to date.
 You advise our customers and colleagues on the sensible integration of security requirements with regard to necessity, effort, costs and maintenance.
 You live our quality standards and carry our common understanding of security to our customers and your colleagues.


Your profile

Ideally, you have completed a degree in computer science or an IT specialist apprenticeship. Above all, you have a sound technical understanding and a passion for cybersecurity.
 You have gained some practical experience in software development and are willing to learn more every day.
 Ideally, you are already familiar with security guides such as OWASP, BSI or NIST and know what is behind SAST, DAST and SCA.
 It is helpful for your work if you already know security tools from cloud providers (AWS, Azure, Google Cloud).
 You are inquisitive, want to take on responsibility and enjoy winning over your customers and colleagues for security.
 You have fluent English communication skills.


Your benefits

New Work Home Office & Office, Flexible Working Hours, Part-Time Models, Working Time Account, Sabbatical, 30 days of paid vacation.
 Training An annual training budget of 1.5 gross monthly salaries for training, certifications, conferences, and more.
 Events Whether it’s corporate seminars in the summer or Christmas parties, we celebrate small and large occasions.
 Health We offer you private health and dental insurance.
 Research & Development Learn new things besides our projects, alone or with your colleagues.
 Modern Hard- and Software We make sure that you work in a modern environment.

",Postedhace 3 días,Media jornada +2,,https://www.indeed.com/rc/clk?jk=ea4a67b801771eb8&fccid=576498c078c354a7&vjs=3
Cyber Security Specialist (m/f/d),Airbus,"Teletrabajo in Getafe, Madrid provincia","
Job Description: 
Cyber Security Specialist 

Airbus Defence and Space are building its own on premises cloud. You will be part of this exciting cloud monitoring & response journey! 

Automation is a key target in all response activities today, your ideas will foster and help the team to move this item to a new dimension! 

The Opportunity 

Airbus Defense and Space is looking for a passionate and talented Cyber Security Specialist to join our international Incident Response Team ( CSIRT ), in GETAFE. 

A mission critical part for us in order to secure our world-class business. This is multi talent role with Service Management and Project Management tasks and technical, hands-on role that will work with a variety of security tools and technologies protecting our whole enterprise. 

The successful candidate will contribute to both managing the entire life-cycle of security incidents and Security Operation Center (SOC) Service delivery. You will be responsible for technically managing and the full triage of security life cycle management of our Security Operation Center(SOC) with Processes, detection, availability and performance. A deep technical knowledge about security tools will support the evolution of our detection strategy on top and future readiness in order to stay ahead of cyber attacks. 

This is an exciting opportunity to join a team who live and breathe cyber security and to work for a company with great products and technologies around the globe. 

How will you contribute? 


Manage SOC Operational KPI´s 


Manage SOC Evolution and enhancements 


Support cyber security strategy development 


Lead enhancements based on Airbus Project Methodology. 


Support Investigation of SOC alerts and security incidents 


Improvement of the Threat detection and response capabilities 


Support the SOC in its daily operations 


Support incident response in crisis mode: 


Contribute to the industrialization of: 


Tooling (SIEM, EDR, SOAR, ...) 


Network analysis 


Host analysis 


Detection: Use Case development and alerts 


Design, implement and coordination of processes for SOC Level 1, SOC Level 2 per Country and international alignment 


Perform follow-up analysis throughout the incident lifecycle, and complete projects and tasks associated with security monitoring, detection, and incident response. 


Who we are looking for? 
Individuals with the following qualifications/experience: 


Cyber security, computer science related degree or relevant working experience or comparable IT science 
Certifications of GIAC or comparable 
Service Delivery Management 
Project Manager experience 
Experience and knowledge in security tooling and usage 
Experienced in working of difficult and challenging environments 
Good communication skills 


This position requires Clearance level for Spain. 

We value the strength that diverse perspectives bring to our business, so if you require any reasonable adjustments to fully participate in the recruitment process please discuss this with the recruiter who contacts you. 

The successful candidate will be subject to clearance in order to undertake related work in accordance with business needs. 

In return we can offer a competitive salary with annual profit share; an ever growing list of company benefits including enhanced pay for maternity, paternity, adoption and shared parental leave and strong career development options across our transnational, market leading company. 

This is a fantastic opportunity to join a team who live and breath for cyber security and to work for a company with great products and technologies around the globe. 

This position will require a Spanish security clearance or will require being eligible for clearance by the recognized authorities. 

Diploma & technical skills required: 
- SP-Bachelor - Computer security and reliability 

Certifications of GIAC or comparable 


ITIL Foundation and beyond 


Service Management experience 


Project Management certificates 


Vendor certification on products 


Soft skills : 

Ability to work remotely in an international team 


Team collaboration 


Willing to go the extra mile 


Fluent in English and Spanish 


This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth. 

Company: Airbus Defence and Space SAU 
 
Contract Type: Permanent Contract / CDI / Unbefristet / Contrato indefinido 
 
Experience Level: Professional / Expérimenté(e) / Professionell / Profesional 
 
Job Family: Cyber Security <JF-CG-ST> 
 
By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.  Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief. 
Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com . 

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.
",Postedhace 30+ días,Contrato indefinido +1,,https://www.indeed.com/rc/clk?jk=26a5c077ee13ce01&fccid=2d0740e02e80cf22&vjs=3
Specialist Cyber Security,Vodafone,"Madrid, Madrid provincia","


Job Description


 We invite you to join Vodafone to build a future together, in a position where you can learn new things every day and thrive.
 Your mission as Cyber Prevent Specialist is to protect Vodafone infrastructure, information and customers. You will be part of the team in charge of deploying and operating security tools. Furthermore, you will be part of global multinational team of Cyber Security experts passionate for building a secure connected future for customers and society
 As a Cyber Prevent member team, you will lead the following main tasks:

SIEM deployment, configuration and maintenance, including connector and correlation rules configurations and other task related to SIEM.
Ability to provide useful information from SIEM as part of incident investigations.
Awareness of data and log retention policies and apply accordingly in our systems.
Operation and management of CyberSecurity Solutions like Web Application Firewalls, Intrusion Prevention Systems, Vulnerability Scanners, Compliance Systems.
Perform regular audits to ensure security practices are compliant
Management and coordination of Cyber Security related projects, communicating effectively with stakeholders throughout all deployment process, while reporting appropriately to meet Vodafone requirements.
Direct report to Vodafone Group as part of an international Team.

 QUALIFICATIONS

University degree (BS/MS) in Engineering discipline (Computer Science or similar).
Certification on SIEM systems (ArcSight, QRadar, or similar) is an advantage.
GDPR regulation knowledge is an advantage.
Networking and systems skills will be appreciated.
Excellent troubleshooting and problem-solving skills.
+3 years work experience in Cyber Security Solutions management.
Ability to configure and fine-tunning of SIEM correlation rules for Incident detection.
Strong knowledge on IT and network security controls.
Telecommunications industry experience is an advantage.
Ability to work in tight deadlines and delivering solutions within defined time periods.
Team working skills.
Effective verbal and written communication skills, good in reporting.
Flexible, with the ability to work independently and multitasking skills.
High level of English both written and spoken.





 Benefits


 What’s in it for you?

#LI-Hybrid (60% home – 40% office) and flexible hours.
You also have 20 additional days of home working per year from anywhere in Spain
25 days holiday (and additionally 24th and 31th December), with the option to buy up to 10 extra days.
Meal vouchers (in addition to the annual fixed remuneration) and flexible remuneration plan.
Free health insurance, life insurance and own medical services. Integral care health management program.
Career development and continuous learning, which includes AI platform and learning platforms like LinkedIn Learning.
Free health insurance with Adeslas, life insurance and optional retirement pension plan.
3 paid days leave for charity projects.
App for the digital management of office needs

 Get to know us better here and find out what life at Vodafone could be like for you: https://www.vodafone.es/c/conocenos/es/vodafone-espana/trabaja-con-nosotros/
 Vodafone is committed to attracting, developing and retaining the best people by offering a flexible, motivating and inclusive workplace in which talent is truly recognised, developed and rewarded. We believe that diversity plays an important role in the success of our business and we are committed to creating an inclusive work environment which respects, values, celebrates and makes the most of people’s individual differences. We are proud to offer equal opportunities regardless of race, nationality, cultural origin, sex, age, marital status, sexual orientation, gender identity, disability and religious or political beliefs.


",Postedhace 8 días,,,https://www.indeed.com/rc/clk?jk=17ec25fac0b79d62&fccid=374d720d3973ca1c&vjs=3
Project Security Engineer,Thales,"Madrid, Madrid provincia","
 Location: Madrid, Spain 
 Thales people architect solutions that support 85 million mainline and suburban passenger journeys, worldwide, every day. Our Rail Signalling and Communication systems are used on metro lines across major cities, and 72,000 kms of route, 52,000 trains per day in 16 countries are controlled by our Traffic Management Systems. Together We deployed the first-ever nationwide ticketing system which processes over 50 million ticketing transactions in 100 cities daily. 
 Thales in Spain is a leader in technological solutions applied to Defence, Aeronautics, Security, Transportation and Space and, furthermore, is a global centre for excellence in Space, Security of Critical Infrastructures and Transportation. With a turnover of €320 million and a staff of 1,200, it exports approximately 40% of its total production principally to the Middle East, North Africa and Latin America. 
 
Our Cybersecurity team is growing! 

The role is responsible for contributing to the growth of the cyber security business in Spain, providing specialty engineering services in the area of cyber security in close co-operation with the bids and projects engineering teams. 

What does a Project Security Manager do? 

Plans and manages the security related activities within bids, projects and services to ensure that the Solution is adequately secure and this role includes responsibility for: 

Operates within the Thales Security Policy. 
Provides valid estimates for security engineering activities. Analyzing customer needs/requirements and assess solution architectures and technical choices. 
Identifying Legislation, Regulation, Standards and Policy relating to the Solution and monitoring changes. 
Creates and manages the project Security Management Plan; carrying out a Security Risk Assessment, reviewing the technical risks and the related mitigation plans. 
Creates, maintains contributes to the project Security Log. Including appropriate traceability to the Causes, Consequences, Risk Control Measures, Assumptions, etc. 
Maintains the Solution Security Requirements in form of Security Control Baseline. 
Liaises with external stakeholders for solution security; including PENTEST exercises. 
Supports audits and the investigation of incidents and accidents. 
Issues Security Statements and appropriate certification prior to interim, partial or final release of Solutions. 
Archives the Security Case material at appropriate project milestones. 
Ensures effective in-service reporting mechanisms exist and that security issues are identified and resolved. 


What are we looking for? 

Telecom or computer science engineer or similar. 
Master degree in cyber security highly valuated. 
English fluency is a must. 
Good knowledge and expertise in following areas: 
   
Security Architecture (Network, Database, Application, etc.) 
Risk assessment 
Regulations and standards; ENS, CENELEC TS 50701 and IEC 62443 
Encryption / Cryptographic functions 
Vulnerability assessment and penetration testing 
Any other area in connection with cyber security 

Professional organizations accreditation and memberships highly valuated. 

At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!
",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=14af064a0bb94087&fccid=b920aab5fd60595d&vjs=3
Security Technology Specialist,Airbus,"Getafe, Madrid provincia","
Job Description: 
SUMMARY 

Airbus Defence and Space is undergoing a transformation into an agile, innovative, customer centric and digitally powered business and Information Management (IM) delivers the expertise, technology and equipment for its products. 

IM is transforming and evolving but, we need even more talented people who can make a real difference to how we support, enable and deliver a diverse range of technological solutions and services to our customers. As part of our transformation the new operating model is oriented around multi-functional, agile teams working with the business and developing our digital capabilities. What does this mean for you? A role in IM is an opportunity for you to grow and to develop your career in a progressive and innovative environment. 

We are currently looking for a Security Technology Specialist to join our IT operations department who will be the key enabler in the overall Cyber Security deployment and strategy for Airbus Defence and Space. You will not only be managing the available technologies but also developing the future architectures and defining their long-term strategy. 

ROLES & RESPONSIBILITIES 

Proves value of new technologies to establish business cases. 
Updates the company guidelines and policies regarding the use of a specific technology or methodology. 
Drives the update of the learning framework based on the known technology. 
Advises on specific topics related to the technology and/or methodology. 
Monitors technology and/or methodology trends and support the teams to apply these within the Airbus Environment. 
Guides and supports the selection of the appropriate technologies and/or methodologies. 
Monitors technological trends and uses this knowledge to bring solutions to business units supported to enhance the enterprise’s competitive edge. 
Able to make recommendations for buy versus build decisions 


REQUIREMENTS 


Educated to an Engineering Master or Bachelor degree preferably in IT or Telecommunications 


At least 3 years of experience in Cyber Security / IT Security 


DevOps for one or more of the following Security IT products will be a plus: 


Intrusion & Prevention systems 
Antimalware (FireEye) 
Antivirus systems 
Data Loss Prevention tools 
White and Black listing filtering on proxys 
Operating Systems, browsers 
IronPorts 
PKIs and Digital Certificates 
Security Box 
End Point Security 



English: Negotiation level 


Excellent communication and interpersonal skills 


Curiosity and ability to learn in complex environments 


This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth. 

Company: Airbus Defence and Space SAU 
 
Contract Type: Permanent Contract / CDI / Unbefristet / Contrato indefinido 
 
Experience Level: Professional / Expérimenté(e) / Professionell / Profesional 
 
Job Family: Information Mgmt and Digital Technology <JF-IM-DI> 
 
By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.  Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief. 
Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com . 

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.
",Postedhace 30+ días,Contrato indefinido +1,,https://www.indeed.com/rc/clk?jk=771ea662a4abe2c1&fccid=2d0740e02e80cf22&vjs=3
Cyber Security Consultant (Flexible Remote),A2SECURE,"Teletrabajo in 08003 Barcelona, Barcelona provincia","
Looking for new adventures?
 Si quieres formar parte de nuestro equipo y tienes un perfil junior o senior, We are looking for you!
 Si tienes interés por desarrollarte y aprender en el área de la Ciberseguridad, te ofrecemos en A2SECURE una oportunidad de crecimiento y desarrollo profesional, en un ambiente rodeado de compañeros dispuestos a colaborar y hacerte crecer.
 Si tienes curiosidad por formar parte de una empresa dedicada SOLO a la Ciberseguridad.
 Si quieres formar parte de un equipo dinámico que trabaja con plena autonomía, colabora y se reta a hacerlo mejor...Esta posición tiene tu ADN.
 Como Cybersecurity Consultant 

Tendrás la oportunidad de proporcionar servicios que combinen estrategia, gobernanza, auditoría, y gestión de riesgos.
 

Colaborarás en el desarrollo de tareas, proyectos y servicios de seguridad; y llevarás a cabo el desarrollo de evaluaciones de riesgos, definición de políticas, procedimientos y auditorías de seguridad o cumplimiento normativos tales como: PCI DSS, ISO 27001, GDPR, ENS, etc.

 Llegarás rápido a la oficina (estamos en el centro de la ciudad) y podrás trabajar también en remoto.

 Responsabilidades a desarrollar y aprender:

Participarás en proyectos de Análisis de Ciberriesgo
Llevarás a cabo actividades de Blue Team
Desarrollarás y realizarás Evaluación de Vulnerabilidades y de Gestión de Riesgo (Políticas, Normativas, Mejores Prácticas)
Expondrás y comunicarás de resultados y transmisión de conocimiento en Seguridad de la Información al cliente

Requisitos:

Tener un grado universitario relacionado con Tecnologías de la Información
Tener conocimientos técnicos de networking, aplicaciones y sistemas operativos
Tener habilidades en comunicación

Se valorará:

Tu experiencia en el desarrollo, análisis o auditoría de Marcos de Seguridad de la Información (ISO, PCI-DSS, NIST …)
Tus conocimientos de plataformas cloud y sus implicaciones de seguridad (AWS, Microsoft Azure, OpenStack, Google Compute or App Engine)
Tener un Máster relacionado con Seguridad o Tecnologías de la Información

Ofrecemos:

Trabajo remoto (Con visitas a clientes cuando la realidad así lo permita)
Horario flexible con jornada intensiva en verano
23 días de vacaciones
Programa de Compra de vacaciones
Ventajas empleados (gimnasio, clínica dental)
Eventos e incentivos de empresa
Plan de carrera
Clases de Inglés
Seguro médico por retribución flexible

",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=cb08db4607c0775c&fccid=dc3311fa3a385ac0&vjs=3
Principal Security Master,Ericsson,"Madrid, Madrid provincia","
About this opportunity
 In today’s cyber security environment, it is imperative that products are developed with the approach of security and privacy by design. An adequate security posture needs to be considered from the product’s inception to the product’s development, deployment and operation in a live network, and all the way to the product’s decommission! In order to support such view we are now deploying a structure of Security Masters, Principal Security Masters and Security Champions, which can be seen as a virtual organization orchestrated by the BDGS Security Center at the top of the pyramid.
 PDU Packet Core has one Security Champion and there will be two Principal security masters in DG Analytics and optimizations, one in Madrid and one in Guangzhou. This vacant seeks to fill up the Principal Security master role in Madrid, mainly focused in EPG and PCG products. This person should collaborate with Guangzhou Principal Security Master and own the gateway security master community in the DG.
 What you will do 

 Drive security in DG AO being responsible for the security area technical plan and long-term evolvement.
 Be the interface towards Security Champion in PDU, coordinate with Guangzhou principal security master and local security masters network.
 Lead security competence assessment and deployment in the PDG
 Ensure the compliance to security guidelines, engaged to check and review the security checkpoints of whole lifecycle of WP
 Drive the introduction and evolution of security tools (security test, security coding) in the DG
 Support and assist Security Masters to continually improve and align the security gates and security control automation throughout the pipeline.
 Responsible to continuously work on improving standardized ways-of-working.
 Be a core member in DG development area teams to enforce security is carefully considered during feature development, supporting B, T and O responsibility execution.
 Maintain a prioritized backlog for security area and visualize content, key dates and key priorities.
 Secure alignment of security implementation plans.
 2PP-3PP PSIRT and FOSS analysis and updates for AO relevant areas. Main technical lead for security audits in development process in Madrid AO development teams. 

 You will bring 

 Responsible to enable top down – bottom up anchoring and spreading of information between BDGS Security Center, Security Champion and the development team(s) through the scheduled recurring meetings. 

 Why join Ericsson?
 At Ericsson, you´ll have an outstanding opportunity. The chance to use your skills and imagination to push the boundaries of what´s possible. To build never seen before solutions to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone. You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.
 What happens once you apply?
 Click here to find all you need to know about what our typical hiring process looks like.

 Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team. 
Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.

",Postedhace 15 días,,,https://www.indeed.com/rc/clk?jk=0e4daca4e78a73e6&fccid=82656d64a9a3e6a7&vjs=3
eDiscovery & Digital Investigations,Alvarez & Marsal,"Madrid, Madrid provincia","

  Alvarez & Marsal (“A&M”) is a global consulting firm with more than $2+ billion in revenues, c.6,000+ staff and over 70 offices around the globe. We provide a broad range of professional services including Restructuring, Transaction Advisory, Performance Improvement, Corporate Transformation, Financial Institutions Advisory, Tax, Valuations, and Disputes and Investigation Services. Companies, investors and government entities around the world turn to Alvarez & Marsal (A&M) for leadership, action and results.
 


   A&M’s Global Disputes & Investigations (DI) practice is a leading provider of Cyber Risk Management, Forensic Technology, Forensic Accounting & Investigations, Dispute Advisory, Economic Consulting, and Privacy & Data Compliance services. The firm has an established reputation for high quality work in a non-Audit environment. Our approach is characterised by a high level of objectivity, diligence and intensive analysis.
 


   A&M's Forensic Technology team comprises senior forensic and information security technologists, who bring deep expertise in Computer Science and Information Systems, and offer a hands-on approach to collecting, preserving and analysing electronic information. Our services Include:
 

 Computer Forensics Investigations;
 Electronic Disclosure Management;
 Data Mining and Database Analytics;
 Information Governance; and
 Cyber Security



   In today's digital age, an increasing number of files and communications are stored on computer hard drives or sent through e-mail, thus giving forensic technologists the responsibility of gathering, preserving and presenting evidence for trial in an extremely cost effective and efficient way. In litigation (and other related) cases, the processes used to gather, preserve, analyse and present electronic evidence can make or break your case.
 


   The opportunity
 

   Due to continued success, an opportunity exists for us to grow the Forensic Technology Services team at Senior Associate level, specifically within the Electronic Disclosure and Digital Investigations arena. To be considered, you should be an action-oriented self-starter with entrepreneurial flair. You are comfortable working independently as well as in high performing teams. Strong problem-solving skills and analytical rigor is key to their success. In addition, the successful candidate will have:
 

 Minimum 3-5 years’ experience in Forensic Technology;
 Experience working with the eDiscovery platform Relativity in some capacity as well with EnCase, Axiom and other Forensic Technology tools;
 A Bachelor’s degree from an accredited university is required;
 Strong written and oral communication skills in addition to well-developed organisation skills.



   Talent, culture and values
 

   Attracted by our meritocratic culture and the opportunity to build a business with like-minded individuals, our people have joined A&M from the Big 4, top tier strategy houses, private equity firms, hedge funds, leading financial services institutions and industry and commerce. A&M is a fact-based business, based on pragmatism, not subjective about the meaning of success. It is an environment that presents a real opportunity for ambitious recruits to grow and thrive – and those who do well, earn well. At A&M you will be given real responsibility as there are thin layers of management and responsiveness to a crisis urgency is critical. You will thrive on autonomy and you will be adept at anticipating what your audience needs. Here are some of the comments that best describe our people:
 

 Thrives in a fast-paced, challenging, and unpredictable environment.
 Fast learner, eager to learn new technologies.
 Excellent written and verbal communications skills.
 Objective, fact based approach to problem solving.
 Hands-on and non-hierarchical operator - relates well at all levels and cultures.
 Driven by values and integrity, straight talker, builds confidence and leads by example.
 Demonstrable ability to balance a high level view with detail.
 A natural ability to prioritise – especially in highly pressurised situations.
 Autonomous – Alvarez & Marsal has a flat structure with a self-sufficient culture.
 Entrepreneurial spirit.



   The culture of the business offers variety of skill, language, heritage and professional background and therefore is unique in terms of style and approach. This is a business where your colleagues are your best allies and ideally, your best friends. A business where good friendships thrive and trust is as true internally as with client. Furthermore, the values of the business which include integrity and fun as well as just reward for great work come to life when you become part of the team.
 


   Diversity & Inclusion
 


   A&M’s entrepreneurial culture celebrates independent thinkers and doers who can positively impact our clients and shape our industry. The collaborative environment and engaging work—guided by A&M’s core values of Integrity, Quality, Objectivity, Fun, Personal Reward, and Inclusive Diversity—are the main reasons our people love working at A&M. Inclusive Diversity means we embrace diversity and we foster inclusiveness. It runs through how we recruit, develop employees, conduct business, support clients, and partner with vendors. It is the A&M way.
 


   Voluntary Inclusion
 

 It is Alvarez & Marsal’s policy to provide and promote equal opportunity in employment, compensation, and other terms and conditions of employment without discrimination because of race, color, sex, sexual orientation, gender identity, family medical history or genetic information, political affiliation, military service, pregnancy, marital status, family status, religion, national origin, age or disability or any other non-merit based factor in accordance with all applicable laws and regulations.
 


   Unsolicited Resumes from Third-Party Recruiters
 


   Please note that as per A&M policy, we do not accept unsolicited resumes from third-party recruiters unless such recruiters were engaged to provide candidates for a specified opening. Any employment agency, person or entity that submits an unsolicited resume does so with the understanding that A&M will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity.
 
",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=897f8697742c1def&fccid=fcce311099a3a228&vjs=3
