job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Annotation Analyst,Chase,"Buenos Aires, Buenos Aires","
 The mission of the AI Transformation & Engagements team is to enable at-scale development, testing, deployment, and continuous integration and delivery of AI/ML technologies in order to drive fundamental improvement in the quantity and quality of AI training data sets, accelerate AI delivery (measured in days and months), and improve AI performance. Enable a firm wide AI ecosystem with integrated platform, controls, compliance, and responsible AI. Provide the foundation and support for our business partners to consistently deliver AI solutions within targets, and in turn, create next generation market share. 
 
 The Machine Learning team at JPMorgan Chase combines cutting edge machine learning techniques with the company's unique data assets to optimize all the business decisions we make. In this role, you will be part of our world-class machine learning team, and work on the collection, annotation and enrichment of data for machine learning models. Our work spans the company's lines of business, with exceptional opportunities in each. 
 
 The successful candidate will work on multiple projects and provide data annotation services across a variety of data types including, but not limited to, text, chats, emails and audio. We expect the candidate to understand the business use-case and own the data annotation pipeline to go from the raw data to a reliable, annotated ground truth that can be used by sophisticated machine learning methods for banking applications such as risk assessment, trading models, customer relationship management, and pricing models. 
 

Responsibilities


Work on data labeling tool(s) and annotate data for machine learning models. Sift through structured and unstructured data; identify the right content and annotate with the right label. 
Collaborate with stakeholders including machine learning engineers, data scientists, data engineers and product managers across all of JPMorgan Chase's lines of businesses, such as Investment Bank, Commercial Bank, and Asset Management. 
Work on engagements from understanding the business objective through the data identification, annotation and validation. 
Comprehend the subtleties of language used in the financial industry. Conduct research and bring clarity in business definitions and concepts. A nnotate the terms, phrases, and data as per the project requirement. 
Understand and define the relationship among entities. 
Validate model results from the business perspective and provide feedback for model improvement. 
Effectively communicate data annotation concepts, process and model results to both technical and business audiences. Break down ML annotation topics in a clear manner. 
Adapt to changes in guidelines, priorities and environments 
Transcribe verbatim audio recordings, single and multi-speaker of varying dialects and accents and identify relevant keywords and sentiment labels 

Qualifications  

Strong financial knowledge. Full-time masters in a business management (MBA) with finance specialization. 


2-5 years of hands-on experience in data collection, analysis or research. 
Should be able to work both individually and collaboratively in teams, in order to achieve project goals. 
Must be curious, hardworking and detail-oriented, and motivated by complex analytical problems and interested in data analytics techniques. 
Interest in Machine learning and should be able to develop 


a working level domain knowledge on machine learning concepts 
an understanding of model scoring parameters such as precision, recall and f-score 


Beneficial Skills 


Experience in data extraction/collection form financial documents 
Experience with data annotation, labeling, entity disambiguation and data enrichment. 
Familiarity with industry standard annotation and labeling methods 
Exposure to voice translation services and tools 
Familiarity with Machine learning and AI paradigms such as text classification, entity recognition, information retrieval 

About Us   JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.  We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. 
El empleador solo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece. Ley Nº 6471 CABA
 J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
",PostedPublicado hace 5 días,Indefinido +1,,https://www.indeed.com/rc/clk?jk=30d292d0f8ea7e21&fccid=aaf3b433897ea465&vjs=3
Data Analyst / Data Scientist,CIDER S.A.,"Paternal, Buenos Aires+1 ubicación","


Argentina, CABA - Paternal 

Nos encontramos en búsqueda de Data Analyst - Data Scientist para importante empresa multinacional de telecomunicaciones. 


Serán sus funciones principales: Desarrollar soluciones de Business Intelligence

 Requerimos: 

Desarrollo de dashboards y reportes en Power BI
 Manejo de base de datos y lenguaje SQL 

Skills: 
Conocimientos en Bases de Datos y SQL - Excluyente  Power BI avanzado - Excluyente  Excel (Tablas Pivot y Gráficos) - Excluyente  Python - Deseable  R- Deseado
 Inglés (Intermedio) / Portugues Básico (deseado)

 Jornada laboral: 9 a 18 hs / 10 a 19hs
 Modalidad: HomeOffice








Información Adicional


Lugar: Argentina, CABA - Paternal
Horario: Full Time
Salario: A convenir
Idiomas: 
Tecnologías: Este anuncio no contiene tecnologías asociadas



",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=32c9014fc0dce902&fccid=ca1184545e19f24b&vjs=3
Data Analyst / Data Scientist,web,"Buenos Aires, Buenos Aires","
Descripción del empleo:

  Nos encontramos en búsqueda de Data Analyst - Data Scientist para importante empresa multinacional de telecomunicaciones.
  
 Serán sus funciones principales: Desarrollar soluciones de Business Intelligence
  
 Requerimos:
   Desarrollo de dashboards y reportes en Power BI
   Manejo de base de datos y lenguaje SQL
  
 Skills:
   Conocimientos en Bases de Datos y SQL - Excluyente
   Power BI avanzado - Excluyente
   Excel (Tablas Pivot y Gráficos) - Excluyente
   Python - Deseable
   R- Deseado
   Inglés (Intermedio) / Portugues Básico (deseado)
  
 Jornada laboral: 9 a 18 hs / 10 a 19hs
   Modalidad: HomeOffice
 
",PostedPublicado hace 3 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=5d493c645217f21a&fccid=b3e2a9d2ca37d91b&vjs=3
Data Scientist Ssr/Sr Parque Patricios/Zona Norte,Werben Capital Humano,"Parque Patricios, Buenos Aires","
En nuestros equipos de desarrolladores, arquitectos, especialistas en base de datos, user experience, business intelligence, co-crean y son responsables de la plataforma líder de e-commerce de América Latina y de uno de los sitios de mayor tráfico en todo el mundo.
 En una industria que se reinventa día a día, los profesionales de IT son reconocidos por su visión y liderazgo. Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco: simplificarle la vida al usuario, para que pueda comprar y vender con la mejora experiencia.
 Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable por:
 Transformar conjuntos complejos de datos en información pragmática y procesable. Usar datos para identificar, cuantificar e influenciar un crecimiento tangible del negocio. Ser la voz de los datos cuando se está en contacto con los que toman decisiones, product owners y líderes de equipos. Tener la capacidad de ver más allá de los números. Desafiar las ideas y métodos mientras se trabaja en conjunto con un equipo talentoso y altamente calificado. Requisitos:
 Tener experiencia previa desarrollada en posiciones similares. Ser Lic. en Sistemas, Computación o carreras afines. Contar con un posgrado en Datamining, Machine Learning, Econometría o Estadística, es deseable. Te proponemos:
 Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo. Ser protagonista de tu carrera en un ambiente de proyectos desafiantes, oportunidades, aprendizaje, crecimiento y expansión. Compartir y aprender de los profesionales y especialistas más emprendedores de América Latina. Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. 
Lugar de trabajo: Parque Patricios,( CABA) Zona Norte ( GBA)
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=a2c8271968ebf231&fccid=7673def3f47be232&vjs=3
"Data Scientist Semi Sr/ Senior Microcentro, CABA",Werben Capital Humano,"Microcentro, Buenos Aires","
Nuestro cliente es una empresa de IT, centrado en servicios y soluciones para la industria financiera, producción de bienes y consumo masivo en búsqueda de un Data Scientist
 Para reforzar el equipo de Analytics estamos en búsqueda de un Data Scientist trabajando en proyectos relacionados con modelos predictivos.
 Deberás Conocer con profundidad la herramienta SAP Predictive Analytics y la suite de productos de Business Intelligence. Desarrollar demos y PoCs de modelos predictivos para distintas problemáticas del negocio. Participar en proyectos de implementación de modelos predictivos. Realizar presentaciones sobre la solución Predictive Analytics y su adaptación a los distintos clientes/mercados. Participar en la gestión de pre-venta de soluciones de modelos predictivos.
 Requisitos:
 Graduado de las carreras de Lic. en Economía, Actuario, Exactas, o especialistas en Datamining o Big data. Contar con experienca en aplicar modelos predictivos al negocio. Conocimiento de tecnologías como SAP Predictive Analytics, SAS Enterprise Miner, SPSS Modeler o similar, R. Deseable conocimiento en tratamiento de bases de datos utilizando lenguaje SQL. Excelente inglés. Dedicación full-time. Ofrecemos:
 Ser parte de una empresa con proyectos desafiantes, muchas oportunidades y en expansión. La posibilidad de desarrollo dentro de un excelente clima de trabajo, junto a un equipo de profesionales de alta calidad. Osde 210 Refrigerios Lugar de trabajo: Microcentro, CABA
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=ad59bd34741c6288&fccid=7673def3f47be232&vjs=3
"Data Scientist Ssr/Sr Belgrano, CABA",Werben Capital Humano,"Belgrano, Buenos Aires","

Para uno de nuestros clientes, empresa líder en el mercado de marketing digital y promocional, nos encontramos en la búsqueda de un Data Scientist con experiencia de 2 años en posiciones similares.
 Serán sus responsabilidades:
  Explotación y análisis de base de datos/información
  Análisis y desarrollo de modelos de consumo.
  Interpretación de modelos predictivos de ventas y de dashboards.
  Armado de reportes ejecutivos
  Investigación
 Buscamos perfiles analíticos, orientados a Economía, Estadística, Matemática y afines con manejo de base de datos. Capaz de presentar al cliente interno y externo, Trabajo en equipo, con múltiples áreas y perfiles.
 Se valorará poseer conocimientos en Programación, Office, SPSS, SAS, SQL, R, Qlikview, Cognos, Microstrategy.
 Conocimiento de Social Analytics y Web Analytics es un plus.
 requerimos nivel de inglés intermedio/avanzado
 Se ofrece contratación efectiva, prepaga de primer nivel, 14 días hábiles de vacaciones, día de cumpleaños libre, 2 días libres al año y desarrollo de carrera.
 Zona de trabajo: Belgrano – CABA
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=66634798ab9f7dca&fccid=7673def3f47be232&vjs=3
SSR Data Scientist,Tecnoap,"Ensenada, Buenos Aires","



Employment Information
Reference: ZR_6_JOB
    
Modality: Full time
    
Country: Argentina
    
City: Buenos Aires – Ensenada
    
Sector: Big Data & Analytics
    
Work experience: 1-3 years
    
Job Description We are looking for passionate people on the disciplines of data analysis, statistics, machine learning algorithms, construction of predictive models, anomaly detection models and in general «data driven solutions» in the business domains managed by our organization. Management of data mining tools and programming languages such as Python, R, Rapidminer, SAS or others is required.
   



",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=611a8ac86d37253d&fccid=666906a25994050f&vjs=3
Senior Data Scientist,LAUNCH POTATO,"Buenos Aires, Buenos Aires","

WHO ARE WE?
 Launch Potato is a digital media company with a portfolio of brands and technologies. As The Discovery and Conversion Company, Launch Potato's mission is to be the most innovative, tech-enabled media company connecting consumers to the world's leading brands.
 The company is headquartered in vibrant downtown Delray Beach, Florida, with a unique international team across more than a dozen countries. Launch Potato's success comes from a diverse, energetic culture and high-performing, entrepreneurial team.

 YOUR ROLE
 You will lead the ongoing optimization of the company products and portfolio.You will be creating predictive user and brand behavior models, testing and evaluating various hypotheses, algorithms and other models. As we are a highly data-driven organization, this is a cross functional role where you will get a chance to collaborate with multiple teams to contribute to the success of the business. To succeed in this role you will:

Design, implement and test statistical models of user engagement with our products
Work with large amounts of data to identify and act on opportunities in monetization strategies
Apply advanced statistical techniques to establish causal inferences or trends in various cohorts of data
Improve and automate analysis and modeling by utilizing best coding practices and optimizations along with state-of-the-art technologies and methodologies
Communicate findings to the leadership in a clear manner and with a focus on the business impact

WHAT YOU NEED TO SUCCEED

University degree in a quantitative field (e.g., Statistics, Mathematics, Economics)
Production experience with experimental design, statistical analysis, machine learning, and predictive modeling.
Solid background in Statistics and experience building Bayesian models.
Strong proficiency with Python; ability to write complex SQL queries; familiarity with Spark.
Experience working with machine learning frameworks such as Scikit-Learn, TensorFlow, PyTorch, Spark ML, etc.
Experience with data visualization packages, such as Tableau, Looker, Spotfire, etc.
Experience in cloud-based ecosystems like AWS, GCP or Azure
Ability to collaborate effectively with both business and engineering teams


 From Day One, we've been committed to having a diverse, inclusive team and culture. We are proud to be an Equal Employment Opportunity company. We value diversity, equity, and inclusion.
 We do not discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
 Want to make your impact in a profitable, high-growth company? Apply now!

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=98ca1f853f2afdf2&fccid=dac5dfa9f05470c2&vjs=3
Data Engineer - Growth Fully Remote,Rappi,"Buenos Aires, Buenos Aires","




YOUR NEXT STEP IS AT RAPPI!



 Rappi is one of the first Latin American unicorns and a start-up that continues to focus on growing and making life easier for our users. As a company, we seek to continue improving the services we already offer, add more to our offer and continue expanding throughout the Latin American continent.
   


 Hey, keep it in mind that Rappi is an equal opportunity employer and hires qualified individuals regardless of gender, race, sexual orientation, religion, nationality, age, disability or background. You'll be most welcome here!
   



 Role Objective


 Design, build, deploy, maintain and monitor ML systems to serve DS models to production that can make an impact in all of the user journey at Rappi.






 Main Responsibilities


 Build, implement, and maintain machine learning systems in technology products
 Lead engineering best practices for scaling ML and designing/building software that is reliable, scalable, and secure
 Be responsible for the implementation, testing, and release of a range of models, both for existing and “to-be-invented” use cases
 Work closely with Data scientists to design, code, train, test, deploy, iterate and own state-of-the-art systems for executing ML models
 Building end-to-end data pipelines to train, maintain and track the performance of our Machine Learning and Operations Research products






 Key Requirements


 English B2
 Experience in coding professionally (at least two years) in a dynamically typed language Python
 Experience in FastAPI, Flask
 Experience working with relational databases - MySQL, Postgres, etc and proficiency in SQL
 Knowledge of Docker/Kubernetes
 Quantitative background in statistics, computer science, physics, math, engineering or another technical field
 Have strong problem-solving skills and like to work on complex problems
 Have a startup mindset 






Desired Requirements


 Experience with Airflow it’s a plus
 AWS SageMaker it's a plus
 AWS Personalization it´s a plus
 Experience in machine learning algorithms and libraries such as Scikit-learn, xgboost, TensorFlow, Keras, or PyTorch it’s a plus






     He leído y acepto la Autorización de Datos Personales de Rappi S.A.S
   

     https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
   

     Conforme a la Política de Tratamiento de Datos Personales
   

     https://legal.rappi.com/colombia/politica-de-proteccion-y-tratamiento-de-datos-personales-rappi-s-a-s/
   


 -
   


 I have read and accept the Authorization of Personal Data from Rappi S.A.S
   

     https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
   

     In accordance with the Personal Data Treatment Policy
   

     https://legal.rappi.com/colombia/autorizacion-de-tratamiento-de-datos-personales-rappitenderos-rappi-s-a-s/
   



",PostedPublicado hace más de 30 días,Tiempo completo +1,,https://www.indeed.com/rc/clk?jk=6a1390b795fe509d&fccid=72647c43dd44e6cc&vjs=3
Data Engineer/Scientist JR.,OZ Digital Consulting Wizards,"Rosario, Santa Fe","

We are looking for a Data Engineer/Scientist JR. to join OZ.
 Main responsibilities:

Design and development of programs
Interpretation of requirements of software
Unit test of programs

Requirements:

Technical knowledge
Logical diagram, algorithms and data structure knowledge.
Avance level of English.
Teamwork oriented.

We offer a great work environment and opportunities of professional development.

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=ddf09375c5aebae9&fccid=e1c3a0e123211052&vjs=3
