job_title,company,location,job_summary,post_date,more_info,salary,job_url
Student Data Scientist,Abacus Medicine,1560 København,"
Student Data Scientist
 Abacus Medicine offer you a great opportunity to develop your analytical and data science skills by maintaining and improving business-critical forecasting models. You will also be able to improve your technical skills by contributing to advancing our infrastructure and polish your soft skills by interacting with domain experts and stakeholders.

 Your Responsibilities as Student Data Scientist:
 In your role as a student data scientist, you will be responsible and hold ownership over:

 Model Maintenance – help Data Science team actively maintain, monitor, improve and document the recently developed models:
   
 Improvement of existing forecasting models
 Model Retraining
 Model Monitoring – monitor model performance and analyse model output.

 Model Development – assist with initial phase of forecasting model development
 Data Science Research – conduct research on practicalities in the field (methods, tools, models) and sharing your findings with the team
 Technical Infrastructure Development – run smaller tasks to maintain our infrastructure and work with the newest tech-stack.

 You will be working particularly closely with our stakeholders, as well as with business intelligence developers, analysts, and data engineers.

 Are you the right candidate?
 To succeed in the job, it is important that you are curious and passionate about what you do, interested about what data has to say and able to communicate your results to a non-technical audience. You fancy modern technologies, take ownership of your tasks, and find it motivating to follow through with high quality products that the entire organization relies on for decision-making. You enjoy working in a proactive team and have a creative and practical problem-solving approach.
 It is an advantage if you:

 Study a bachelor’s or early master’s degree in data science related fields (computer science, IT, mathematics/statistics, economics, or similar quantitative degrees)
 Possess the following technical skills that you will be applying in this positing:
   
 Intermediate level:
     
 Python programming intermediate level – you are comfortable developing and reading Python code
 Data Science – Machine Learning, Data Wrangling, Data Analysis and Visualization

 Entry level / Interest in, but not a requirement:
     
 SQL, Spark
 ETL processes
 CI/CD processes
 Linux commands
 Web APIs
 MLOps
 Dashboards


 Good oral and written communication skills in English


 Your Future Colleagues
 In the Business Analytics department, we are responsible for the development and maintenance of Abacus’ datahub (data engineering branch), as well as developing our BI platform, facilitating data-driven projects, and developing advanced analytics models (ML). The team consists of 2 Data Scientists, 6 BI developers, 2 Data Analysts, and 3 Data Engineers.
 Business Analytics team is a diverse bunch with nationalities including Polish, Icelandic, German, Moldovan, Portuguese, American, Indian, and Danish, so our everyday language is English. Our motivation is towards creating innovative data-driven solutions to core business problems in a friendly and dedicated environment.

 What can we offer?

 A part-time position: 15 hours per week, with flexibility around holidays, exam periods etc.
 A student community that offers support in your professional as well as personal development
 Workplace in a central location at our HQ by Kalvebod Brygge, Copenhagen
 Lunch arrangement and great social events
 A fun and entrepreneurial workplace where we are driven by community spirit and a desire to be successful
 Exiting challenges and future career opportunities in a young, multinational and dynamic environment
 Running Club, Football Team, Fitness, and great social events


 Have we caught your interest?
 If you wish to apply for the position, please use the apply link and make sure to attach resumé, cover letter and grade transcript. We do not accept applications by mail.
 Last application day is September 11, 2022.
 Do you have any questions before you apply for the position? Please feel free to contact Mihai Popovici, Data Science Team Lead of Business Analytics at mihai.popovici@abacusmedicine.com.
 Interviews will be conducted throughout the application period. The position is to be filled as soon as possible, and we process applications continuously.
 We look forward to receiving your application!

 Would you like to know more about us?
 Follow us on Instagram and LinkedIn, to get an insight into everyday life at Abacus Medicine. For other job openings, check out our Career page.
 Better Access. Better Healthcare.
 At Abacus Medicine, our purpose is to improve global healthcare through better access to medicine. This has driven us to quickly become a global player in the parallel import industry and pharmaceutical services while not losing sight of our entrepreneurial mindset. Our company values: Innovative, Dedicated, and Caring, lead us on our way to continuously look for improvement and further ways to achieve our purpose. Join our 1,200 dedicated colleagues with more than 32 different nationalities in e.g., Denmark, Hungary, Germany, the Netherlands, the UK, Austria and Hong Kong.

 Application Deadline: Sunday, September 11, 2022

",Posted9 dage siden,Deltid,,https://www.indeed.com/rc/clk?jk=283f4e64d70fe6cb&fccid=df28821559cda2eb&vjs=3
Food scientist,REDUCED,København,"
Work as a Food Scientist at REDUCED
 REDUCED was founded in March 2020 with the goal to “Create taste from waste”. Concerned with decreasing the 1,3 billion tons/year of food waste produced every year, REDUCED works to upcycle food waste streams into new food products or ingredients with high umami.
 Over the past months, REDUCED designed a process to create flavour enhancers based on upcycled ingredients and has finally set up a production facility dedicated to fermented products for industrial scale. To consolidate our new technology, we have signed a partnership with Copenhagen University (KU) which allows access to most laboratory scale equipment in the FOOD Science Department.
 We believe the future of foods depends on two things: sustainable sourcing and great flavors.
 Come and Shape it with us.

 THE POSITION, at a glimpse
 As a food scientist at REDUCED you will be responsible for providing the R&D team with empirical data concerning the production, analysis and evaluation of our new flavor enhancers.
 You will be conducting experiments out of the FOOD Science Department at KU (Frederiksberg) and will also be involved in consulting with the production/R&D team based in Nordhavn.

 Task Description and Skills

 Ability to autonomously conduct food safety experiments, nutritional analyses, fluid Physics, Titration, Hydrolysis dynamics
 Evaluate Enzyme Kinetics
 Work with Flavor Chemistry and Food Physics
 Understand Microbiology of Fermented Foods, including live microorganism
 Perform Statistics (Design of experiments, treatment of the data, optimisations
 Be able to design sound experimentation methodologies
 Operating knowledge of lab-tools (centrifuge, GC-MS, incubators, mashing machines)
 Experience with filing patents is a plus.


 Your profile brings

 3+ years of experience in food laboratory settings
 MSc degree within food science, food technology, food innovation or food quality
 Experience with flavor enhancers chemistry.
 Hands-on experience in developing new products, prototypes and concepts preferable within umami rich flavor enhancers, stocks and sauces, both plant and animal based
 Personal drive to execute and optimize practical lab-work


 You will get

 Flexible work environment
 25 days holidays (annual)
 Continual learning & development opportunities
 Wild enthusiasm and encouragement from us!

",Posted6 dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=eef767f0588aa6c2&fccid=f4065f605098f46b&vjs=3
Data Scientist,ECCO,København,"

Do you want to develop, build and deliver advanced data products to support data-driven decision making across the value chain of ECCO?
 Join us at ECCO Advanced Analytics, located in Copenhagen, to help grow our advanced analytics platform and become one of the main minds behind our future setup. Making your mark on data science at ECCO, you will help empower business units to make data-driven decisions. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and a bias for action. Given a broad mandate to explore, experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.
 JOB PROFILE You will join highly skilled colleagues in ECCO Advanced Analytics. We lead our data science and advanced analytics initiatives and capabilities in the ECCO Group and drive an ambitious strategy to generate unique and actionable consumer, market and value chain insights through data modelling, algorithms and advanced data analysis. You will report to the Data Scientist Team Lead and be working out of our office at Carlsberg Byen in Copenhagen.
 As Data Scientist, you will develop, implement and deliver complex solutions, ranging from stand-alone analysis to automated production solutions.
 In this role, you will:

 Develop an advanced analytics platform, e.g. for price optimisation, inventory management, marketing analytics, consumer analytics, pricing, demand sensing, etc.
 Develop and implement machine learning (ML) and deep learning (DL) algorithms for real-world problems by using supervised, unsupervised, semi-unsupervised and re-enforcement learning
 Deliver solutions through unified analytics engines such as Apache Spark and Databricks, as well as with container platform/orchestration systems such as Docker/Kubernetes
 Deploy and maintain solutions using DevOps, DataOps, and MLOps pipelines
 Clean, prepare and synthesise data for use in descriptive analysis, predictive and prescriptive models

 QUALIFICATIONS AND WORK EXPERIENCE You are self-driven and resourceful and enjoy working in teams to solve challenges and develop the best solutions. With your creative can-do mindset and strong problem-solving skills, you can find opportunities for process optimisation and test the effectiveness of different models and courses of action. Moreover, we imagine that you:

 Hold a master’s degree or PhD in a quantitative discipline, e.g. statistics, mathematics, engineering or operation research
 Have experience in a quantitative role with a strong focus on statistics
 Exhibit exceptional numerical and statistical skills and enjoy applying analytics to real-life challenges
 Have significant experience using data science/database software and programming languages, such as SQL, R, and Python
 Have experience with unified analytics engines such as Apache Spark and Databricks, as well as with container platform/orchestration systems such as Docker/Kubernetes
 Are fluent in English and have solid communication skills

 WE OFFER We offer a challenging and varied job in an entrepreneurial setting in an international organization that is constantly developing. ECCO Advanced Analytics is a satellite start-up unit founded in Copenhagen in 2017 with a proven track record. We engage with ECCO's entire value chain, ranging from tanneries, production, sales channels to end-consumers. Our people are talented, resourceful and possess high-value personal qualities. We value and foster cooperation, initiative, open innovation, and new ideas in our informal and international environment. Work-life balance is key to us.
 Your continued personal and professional development is essential to us, and we offer participation in internal and external courses, education and conferences supporting this development.
 READY FOR YOUR NEXT CHALLENGE? For additional information on this position, please don't hesitate to contact Janus J. Asmussen, +45 24 87 55 70.
 We will invite candidates for interviews on an ongoing basis, so do not hesitate to apply through our site, https://enter.ecco.com.
 We will stop the search once the right candidate has shown up.
 CREATE THE FOOTPRINTS OF TOMORROW
 At ECCO, you become part of a meaningful, developing and multicultural workplace. You join a global family of more than 21,000 people who are proud to create the footprints of tomorrow.
 Headquartered in Denmark, we are a family-owned company that offers international opportunities. Our offices and facilities have an informal culture and relaxed dress code - our shoe code is slightly stricter.
 Join us and we guarantee lifelong learning - the speed of progress is up to you. So, if you´re curious, passionate and ready to make an impact, you´ll fit right in.

",Posted26 dage siden,,,https://www.indeed.com/rc/clk?jk=13633bf95eeaddca&fccid=5f667906e8d797da&vjs=3
"Data & Applied Sciences Internship Opportunities: Denmark, S...",Microsoft,København,"

  Every year, we welcome thousands of university graduates from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.
 

 At Microsoft, our mission is to empower every person and every organization on the planet to achieve more and when you begin your career with us, we give you the tools necessary to do so. Those hired into this role are invited to participate in this learning and development experience where you'll build your network, cultivate intentional capabilities and gain perspective into the career opportunities across Microsoft’s many exciting businesses.
 

 We’re a company of learn-it-all’s rather than know-it-all’s and our culture is centred around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.
 

 Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today!
 
 Responsibilities
 As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.  You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.
 Qualifications

   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.
 


 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
 
",Posted4 dage siden,Praktik,,https://www.indeed.com/rc/clk?jk=959327ae388ea8ad&fccid=734cb5a01ee60f80&vjs=3
Senior Data Scientist,Maersk,København,"



   Come join us to help utilize technology to tackle the world’s CO2 challenge!
  


    You’ve probably heard of or have even worked with IoT devices before. But have you ever heard of IoT devices that are close to half a kilometer long, weigh in at 300,000 metric tonnes and float around in the middle of the Pacific Ocean?
  


    Well, we are lucky enough to work with these floating mega devices! We are even more fortunate to be tackling one of the most pressing issues in the world today….global warming.
  


    But how do you mix large IoT devices with global warming?
  


    Glad you asked! Shipping contributes to 3% of global CO2 emissions, and Maersk, as the world’s leading shipping company, has a large responsibility to tackle this issue and drive the industry towards solutions. Each decision starts with data and knowing our vessels’ data is part of our mission.
  


    We’re progressing well on a journey to bring our 700 container vessels online by hooking up to countless sensors onboard. But this has proven to be quite the challenge! Hardware installations & upgrades, deploying our apps and dealing with limited connectivity on remote platforms are some of the daily challenges we face in Maersk Decarb. But nothing comes easy when you’re working with such grand ambitions!
  


    We’re looking for a Senior Data Scientist to join an already big family of Teams that consist of Data Scientists and Software Engineers working together to process, analyze and make models from the large amount of data coming in from ships. The ambition is high, and it’s the engine of every advice we give the seafarers.
  


    We offer.
  


    Joining Maersk will embark you on a great journey with career development in a global organization. You will gain broad business knowledge of the company’s activities globally, as well as understand how the complexity of IT supports the transport and logistics
    business.
   
 At Maersk we value the diversity of our talent and will always strive to recruit the best person for the job – we value diversity in all its forms, including but not limited to: gender, age, nationality, race, sexual orientation, disability or religious beliefs.
   
 We are proud of our diversity and see it as a genuine source of strength for building high performing teams
  




    Key responsibilities.
  


    Your main responsibility is to develop, test, and deploy data science solutions together with the team. These can vary from dashboards to machine learning models.
   
 As a Senior Data Scientist in the team, you are expected to also pitch in on Product, Data Engineering and Software Engineering tasks. We have a team culture where everyone contributes when they can which leads to more “full-stack” roles.
   
 Do you think our current implementation of something is not as it should be? Take ownership and make a pull request to fix it! :)
   
 Adding new features, and making changes to our data pipeline (spark, python, deployed on Kubernetes) that joins billions of sensor readings with weather and operational data.
   
 Working with the Software Engineers on ensuring the models provide real world value, whether this will be through a simple endpoint in our API, or as part of an optimization algorithm which could be anything from a simple binary search to dynamic programming.
   
 Collaborate with the Product Owners on new opportunities for improving our applications to get happier users and a greener fleet.
  




    We are looking for.
  


    A self-motivated person who likes working in an agile manner and have excellent communication and teamwork skills. You must enjoy learning, sharing, and taking part in our weekly team training sessions where we read books and take courses together.
   
 You enjoy tackling unfamiliar problems and engaging with coworkers from around the organization as well as diving into new technical challenges. Our working language is English, and you should be fluent.
  

 Substantial experience in a similar position, working with data science solutions, ideally in a product setting, where you have learned to balance speed and quality in the development process.
   
 Great understanding of machine learning and statistics is required.
  

 Experience of working with agile software engineering practices such asDevOps, DataOps or MLOps.
   
 Strong skillset in SQL and python. Most of our code base is built in python, with PySpark doing some of the heavy lifting in the data pipeline.
   
 Ability to communicate findings to both peers and business stakeholders.
   
 Background in statistics, mathematics, computer science, engineering or similar.
  


",Posted4 dage siden,,,https://www.indeed.com/rc/clk?jk=95ddd9f592c7e9fa&fccid=14e7391c55beeb80&vjs=3
Data Scientist,NØIE ApS,Eksternt in 1358 København,"
Do you want to turn around the lives of people with skin issues by deploying your data science knowledge? And do you want to be part of revolutionizing an industry that desperately needs it? This Data Science job most likely comes with the highest impact on changing human beings' lives. The impact you will have on people's life can best be understood by watching the story from one of our users. Your knowledge will significantly contribute to providing our users with a happier life.
 The opportunity and what we offer

Be part of a user-first company where your decisions will impact our users directly
A flat, transparent culture where everyone is encouraged to voice their opinions
Flexible working hours and the possibility of working remotely
Become co-owner of NØIE through warrants

Responsibilities

Proactively lead our data infrastructure with full ownership and responsibility
Build predictive models and machine learning algorithms
Give input and direction on our data setup
Analyze large amounts of information to discover trends and patterns

Qualifications

Knowledge of probability statistics
Knowledge of SQL and Python
Experience with Python Libraries such as Pandas, Sklearn, Numpy
Docker knowledge would be appreciated but not required

Data-driven dermatology
 We utilize information from our users in adaptive bayesian statistical machine learning models that combine evidence-based knowledge and user feedback. Most importantly, the latter trains the models and increases their accuracy as we gather more feedback, making the products even better for the individual. Our community modelling approach makes NØIE unique and ultimately differentiates us from the conventional dermatological industry.
 We have a strong focus on our data, and user feedback is the key in our approach. Currently, we have five people committed to working with our data. They focus on developing a continuously evolving model using AirFlow and Google BigQuery, but we know this can be improved, and we are looking into using Random Forest and other models.
 If you have any questions, please contact Magnus Tuse Hansen at magnus@noie.com or +45 41826646.
",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=9fad67625ee85184&fccid=8ac7d7be1bd7f6fc&vjs=3
Data Scientist,Wunderman,2100 København,"

Are you a skilled Data Scientist with a passion for machine learning and AI? Can you provide expert advice to clients on best practice within these technologies in order to help some of the world’s biggest brands reach their next level? Then you might just be the Data Scientist we’re looking for!
What will your day look like?
As our new Data Scientist, you will become instrumental in growing our Data, Insights and AI team. Here, you will employ new technologies within AI and machine learning to help successful brands reach their next level in 1:1 communication and CRM. Applying your expertise and consultancy skills, your tasks also include:

Working with large bodies of image and text data to build machine learning MVPs
Implementing solutions on AWS, GCP or Azure to facilitate batch and real-time processing of large amounts of data
Consulting clients on how to move machine learning and AI from PoC to production
Consulting clients on the best course of action based on insights learned from machine learning.

Who are you going to work with?
You join a team of hands-on highly skilled Data Scientists, Consultants and Data Engineers who are passionate about unlocking insights from data through analytics. You will also get to work closely with experts from technology, creative, and client teams.
What do you bring to the table?
As a person, you have a team player mindset and an open-minded attitude. You can communicate ideas and complex technical topics honestly and clearly (in English) – also to non-experts – while respecting the views of others on the team. This also means being able to quickly spot the opportunities and weaknesses in other people’s ideas. Providing consultant advice, you are eager to understand and find solutions, allowing you to quickly adapt to changing situations and come up with new ideas. At the same time, you solve problems in an analytical and pragmatic manner. Moreover, you have:

Master’s or Ph.D. degree, preferably in Computer Science, Mathematics or Physics
+5 years of experience as a Consultant implementing Data Science to create business value
Programming skills in Python, R, Scala or similar
Experience with Tensorflow, Keras, PyTorch or similar deep learning frameworks
Experience working with Data Science in retail or E-commerce is an advantage
Practical understanding of all or some of the following: 
    
Deep Learning
Probabilistic graphical models (e.g. Markov logic networks or Bayesian networks)
Image Analysis
NLP.


A leader in personalised customer experiences
Wunderman Thompson MAP is a world-leading Centre of Excellence that helps large businesses humanise the relationship between the brand and the customer through hyper Personalisation at scale, Marketing Automation and CRM.
With the brain of a consultancy, the heart of an agency and the power of technology and data, we work with some of the world's most admired brands to help them on their transformation journey to becoming truly customer-centric.
A global network
At Wunderman Thompson MAP, we are always making room for more. We are 800+ technology specialists, data scientists, strategic thinkers, consultants, operations experts, and creative minds from 40+ nationalities who collaborate closely to help our clients inspire and engage consumers on five continents.
We are part of the global Wunderman Thompson network with 20,000 colleagues in 90 markets.


",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=daf641fa2739c9b1&fccid=bfef2b2da6904e2a&vjs=3
Associate Scientist - Genome Editing,Novo Nordisk,Måløv,"

We are looking for an Associate Scientist with a passion for molecular biology lab work to join the Genome Editing department and contribute to the development of therapeutic genome editing applications – is that you? Then please apply already today.


 The Position
 As Associate Scientist, you will work closely with experienced scientists and laboratory technicians. You will leverage your scientific expertise and hands-on experience to drive experiments that involve genome editing technologies genomic characterization methods.

 
As our new Associate Scientist your main responsibilities will be:

Design and conduct experiments of high quality 
Keep accurate records of experimental work and continuously optimize methods
Contribute to data interpretation and present findings
Work with genome editing tools in disease relevant cell culture models
Analyze genome editing outcomes using various genomic analysis methods (incl. NGS)



 Qualifications

Master’s degree in Molecular Biology or related discipline 
2+ years of experimental research experience


Excellent lab skills – independently conduct high quality experiments
Curious and analytical mindset
Experience working with cell cultures


Experience with molecular biology techniques 
Passion for science and drug discovery
Fluency in English is a prerequisite



 Collaborative, team player, passion for experimentation and motivated to explore new ideas and methods are all key attributes of a successful candidate.

 
About the department
 In the Genome Editing department, we are developing curative therapies for diseases with high unmet need. We approach therapeutic development through a detailed understanding of disease biology, application of state-of-the-art genome editing technologies and advanced genomic analysis methods. The department, which consist of experienced scientists and laboratory technicians, is part of a larger area focused on RNA and Gene Therapies and work closely with scientists across biological and technical expertise areas at Novo Nordisk and engage in external collaborations.

 
Working at Novo Nordisk
 We are a proud life-science company, and life is our reason to exist. We’re inspired by life in all its forms and shapes, ups and downs, opportunities and challenges. For employees at Novo Nordisk, life means many things – from the building blocks of life that form the basis of ground-breaking scientific research, to our rich personal lives that motivate and energise us to perform our best at work. Ultimately, life is why we’re all here - to ensure that people can lead a life independent of chronic disease.
 
Contact
 For any questions, please reach out to Jonas Westergaard Højfeldt, Genome Editing Department Manager, at +45 30756556.


 Deadline
 12th of September 2022. We may conduct interviews before the deadline. Therefore, we may take the liberty to close for new applicants before the deadline
 You do not need to attach a cover letter to your application, but please include a few sentences about why you are applying in your resume or CV. To ensure an efficient and fair recruitment process, please refrain from adding a photo in your CV.


 We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.
 At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world. We need to aspire to be the best company for the world and we know that this is only possible with talented employees with diverse perspectives, backgrounds and cultures. We are therefore committed to creating an inclusive culture that celebrates the diversity of our employees, the patients we serve and communities we operate in. Together, we’re life changing.

",Posted3 dage siden,,,https://www.indeed.com/rc/clk?jk=9e9bf611aeb0458d&fccid=0ee07a80a4e05d45&vjs=3
Data Scientist,Ntropy Network,Eksternt in København,"



   Statistics (advanced) 
    Data analysis (advanced) 
    Data (advanced) 
    Python (advanced)
  


    Over the last few decades, technological innovation has relied on democratizing some of its key ingredients: knowledge (open publishing platforms), algorithms (code repositories) and computing (cloud providers). However, the last key component, data, largely remains trapped behind barriers of regulation, privacy, schema standards and competitive risk. Enabling scalable access to data will unlock enormous value for both individual developers and companies. This has only been made possible in the last few years, through advances in manifold learning algorithms and privacy-preserving computing. See our blog for more details.
    


     One of the most valuable kinds of data today is in the financial sector. Financial data plays a key role across many industry verticals. However, it has notoriously been locked behind regulatory barriers and a lack of format standards. Our first product is an API that makes financial transactions accessible with minimal engineering overhead to both humans and machine-learning models in a scalable and privacy-preserving way.
    


     We
    


 are allergic to over-engineering.
 are anarchists at heart and like to hack around the status quo.
 are radically honest and appreciate challenging one another, rather than giving out “pats on the back”. Yet, we can always rely on each other for support, feedback and results.
 are willing to learn and adapt quickly to new situations and requirements. Languages, frameworks, libraries, compilers, etc. are just tools for a job. A new problem might need a new tool. If it doesn’t exist yet, we will build it.
 have a sense of humor (well, we think we do).


 As an early member of our data science team, you will help
    


 push the limits of what can be done with data.
 build the team and drive the direction of the company.
 shape our product and culture.
 experience the direct impact of what you build on hundreds of millions of people’s financial lives.


 The following are required
    


 the tools: Python, Pandas, Matplotlib, scikit-learn, etc.
 Spark, SQL and fundamental database operations.
 recognized open-source contributions and/or top performance in data competitions (Kaggle, Numerai, etc.).
 fluency in statistics and probability.


     FAQ
    


     What if I recommend someone who ends up getting hired?
    


     We will give you 20k USD for the referral.
    


     Where is Ntropy located?
    


     We are fully remote, with a virtual base in New York, US.
    


     What time-zones do you work with?
    


     We hire anywhere in GMT-7 to GMT+1.
    


     Do you consider part-time work?
    


     Not at the moment. Full-time roles only.
    


     How are you funded?
    


     We are backed by some of the top fintech investors in the world. Have raised single-digit millions of dollars so far. Can share more details over the call.
    


     Do you already have a product?
    


     Yes. In production since 1st April 2021.
    


     Do you plan to sell customer data?
    


     Ntropy is on a mission to enable products without data barriers. We will never sell customer data and will always put privacy and customer benefit ahead of any auxiliary financial gains.
    


     What is the interview process like?
    


 Send us problems you have solved before and how. Please include as much detail as possible: code, algorithms, derivations, proofs, etc. We will then do a video call to kick things off and go through it (45 mins). 
 We will give you a take-home project related to whatever we are currently working on (3-4 hours). Alternatively, if you have a relevant project that you worked on previously that demonstrates your skills as an engineer, you are welcome to use that instead. 
 We will then do a deep-dive through the project over a call and discuss the implementation, improvements and bottlenecks. 


     Above all, we respect your time and commitment and will keep you up to speed on where we are at during the whole process.
    


     What are your hiring plans?
    


     We aim to be 22-25 people in the next 6 months. Mostly engineering roles.
    


     What is your current stack?
    


     back-end - Python + Rust (where performance matters)
     compute - AWS + Azure
     ML - PyTorch + ONNX
    


     Work / life balance?
    


     We are a startup which requires you to put in a lot more work and soul than a regular job. It will require long hours and sacrificing your free time. We believe, however, that nothing easy is worth doing. We will expect a lot from you, and you should expect a lot from us.
   



Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 aug 2022
   





    Indrykket: 1 aug 2022
   



    ID: 331249385
   



    Adresse
   

Ntropy Network



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted30 dage siden,Permanent +1,,https://www.indeed.com/rc/clk?jk=989c24cd8a28aac0&fccid=dd616958bd9ddc12&vjs=3
"Data Scientist, Game Teams",Tactile Games,København,"

  It’s an exciting time to join Tactile. We're one of the largest Danish gaming companies and we have been scaling fast in the last few years. Our dedication to creating top-quality games with global appeal has led to the development of a series of highly successful puzzle mobile games, such as Lily's Garden, Cookie Cats, Simon's Cat, and most recently, Penny&Flo: Finding Home
 

   Currently we are looking for a Data Scientist to join our Games Team.
 


 As a Data Scientist at Tactile you will have the opportunity to explore data and take the initiative to acquire valuable insights that could help us improve our player’s experience. In your day to day, you’ll be partnering up with game designers and other data scientists to lead projects on machine learning, behavioural segmentation and monetization. Project after project you’ll be helping evolve the analytics methodologies and tools available company-wide.
 


 We have a growing portfolio of successful games, so you’ll have the chance to assist game development through all of their different stages, from ideation, to soft-launch, to the long-term optimization of top ranking games.
 
 What we’re looking for

 High proficiency in presenting analyses and results to all audiences, from senior stakeholders to junior colleagues and non-technical teammates
 Experience applying rigorous analytic techniques in order to understand the behavior of our players and the way they interact with the game features
 Experience with data visualization tools (e.g., Looker, Periscope, Table)
 Understanding of statistical concepts such as sampling, distributions, hypothesis testing and confidence intervals
 Prior experience working within mobile gaming, or at least B2C mobile businesses
 Experience using SQL to extract and transform large data-sets
 Proficiency in R or Python

 It’s nice if you also have 

Strong experience and deep understanding of A/B testing methodologies
 Familiarity with collaborative programming (e.g., git), and other tools like Airflow and Docker
 Mobile gaming experience 


What we offer:



 Beautiful office with probably the best view in Copenhagen 
 

  Pension and private health insurance
 

   A chance to work with the latest tools and technology
 

   Opportunities for individual growth with development talks as well as workshops, books and courses 
 

  Daily, healthy organic breakfast and lunch prepared by our professional chefs in-house
 

   Social activities, including game nights, book club, Friday bar and more
 

   ✈️ Relocation package if you are coming from outside of Denmark
 

   Free Danish lessons with our in-house Danish teachers Anja and Andreas
 
",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=8221360af4fe07eb&fccid=663deb5a20885851&vjs=3
