job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Mindtree,"Bengaluru, Karnataka+1 location","
Job Description

JOB SUMMARY
A Data Scientist is responsible for the execution of Data Science solutions in chosen domains in a manner that creates value for our customers, people and business community through innovative solutions incorporating the latest developmen ts in the Data Science world. Primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems.
The Data Scientist also needs to lead the team, come up with innovative solutions to the Business problem statements.
JOB RESPONSIBILITIES
# Responsible for selecting features, building and optimizing classifiers ML techniques # Data mining using state of the art methods and running algorithms on cloud platforms
# Processing, cleansing, and verifying the integrity of data used for analysis
# Conduct ad-hoc analysis, present results in a clear manner and deploy models using Azure data bricks etc.
# Excellent understanding of ML algorithms such as KNN, Regression, Classification algo rithms etc
# Experience with common data science toolkits such as R, Numpy, Pandas, Sklearn, Matplotlib, tensorflow SPECIALIZATION As we increasingly harness the power of data, more and more decisions are becoming data driven. We provide analytics so lutions that leverage human and artificial intelligence to convert data into actionable insights. We provide business value of insights, improve time to insight and optimize cost per insight with a design thinking approach, data engineering and autom ation. We look for specialists who can help humanize these automated insights through effective content strategies that help deliver targeted results..  Job Requirements: Python, Data Analysis, Data Insight

Job Type
Full Time
Location
BANGALORE
Mandatory Skills

Python

",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=7f308063b38bb9c2&fccid=06144ac9f6d50e38&vjs=3
NFV Data Scientist,Vodafone,"Pune, Maharashtra","


Description


    The Data Scientist understands the business need/requirement and supports decision making with data science and statistical analysis, using wide ranges of data available to them. Working with the business owners the Data Scientist ensures business questions are answered through the interpretation of data and provision of analytical models.Typically reports to the Chapter Lead.
  





Demonstrates deep understanding of modelling techniques, algorithms and being able to tune, modify and implement changes to address different business questions;
Provides deep technical analytical and data expertise to the business - colleagues and other data scientists - solving complex business problems by using available data;
Develops key predictive models and products, and manages a wider team to execute against the demand plan;
Engages with senior stakeholders across the business to advise and solve complex problems, being seen as the local technical expert;
Develops and deploys statistical models to include machine learning models and delivers coding solutions for complex Use Cases based on commercial requirements;
Constantly monitors and optimizes performance of developed models by driving experiments, benchmarking, etc.;
Uses a variety of datasets to test hypotheses, discover hidden relationships and provide actionable insights to Vodafone�s businesses;
Uses data visualisation to engage audience in a compelling way, enabling effective storytelling;
Delivers key packages of work, on time and in a collaborative manner to meet the needs of business customers;
Works in partnership with Technology and local BI and analytics teams to agree on pragmatic means of data provision to support use cases.





 Skills



     Data Modelling
   

     Data Visualisation
   

     Data Analytics and Insights
   

     AI - Deep and Machine Learning and AR
   

     Agile
   

     Business and Commercial Acumen
   

     Coding
   

     Data Management and Transformation
   

     Applied Mathematics and Statistics
   

     Critical Thinking
   

     Complexity Management
   

     Communication
   


",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=915eb130e61925a0&fccid=374d720d3973ca1c&vjs=3
Jr Data Scientist,Pluto7,"Remote in Bengaluru, Karnataka","



    The Jr Data Scientist role involves the application of various tools, data mining, statistical techniques, algorithms and machine learning principles to identify trends, patterns and insights from raw data. Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making.
   
 Join Pluto7


 Pluto7 is a 
    tech-enabled solutions company and has expertise in Machine Learning, AI, Data Analytics services on Cloud Platform.
   


 At Pluto7, our core business model is to deliver data driven platforms and solutions to enterprises globally, helping them solve their customer experience and supply chain challenges and making their supply chains intelligent and resilient.
   


 Pluto7’s approach, solutions and transformation framework has been recognized by leading industry bodies and Cloud Providers such as Gartner and Google cloud respectively. We specialize in the Supply chain domain igniting transformation within Retail, CPG, Manufacturing, Hitech and Healthcare industries. Our customers span across the globe with complex, diverse supply chains.
   


 Our mission is to build an intelligent supply chain platform using technology, data and Artificial Intelligence.
   


 There is a sea of opportunity in the Supply Chain Tech space. Don't miss the boat! Apply here to begin the most exciting voyage!
   


 Role: Jr Data Scientist
   

 Experience: 0-1 years
   

 Work location: India (Remote)
   


 
Responsibilities:
   




 Good fundamental understanding of Exploratory Data Analysis
     


       Build and Optimize Machine Learning models focusing on the customer's requirement.
     


       Work cross-functionally with Business Analysts and Data Engineers to help develop cutting-edge and innovative artificial intelligence and machine learning models.
     


       Make recommendations for selections on machine learning models.
     


       Creating visualization dashboards of the ML models results with unique insights to the customer.
     
 Fundamental understanding of Statistical and ML algorithms.



 Minimum qualifications
:





 (0-1) years of relevant work experience in ML and data analytics.
     


       Fundamental knowledge of the ML and Deep learning frameworks such as Tensorflow, sci-kit learn, Keras.
     


       Strong hands-on in Python programming language
     
 Fundamentals of Cloud computing and its benefits



 Preferred qualifications:
   




 Good experience in doing EDA and optimizing the ML models.
     


       Demonstrated skills in selecting the right statistical tools given a data analysis problem.
     


       Demonstrated effective written and verbal communication skills.
     


       Demonstrated willingness to both teach others and learn new techniques
     
 Working knowledge of containers and kubernetes.



 Why Pluto7?





 We invest in the personal and professional growth of every employee because we believe growth leads to both business impact and personal fulfillment.
     


       An opportunity to join an experienced and ambitious team that is passionate about solving customers needs and loves coming to work everyday.
     


       A culture that encourages and promotes professional growth and development with continuous learning.
     


       Competitive salary, equity and benefits including health insurance and performance recognition.
     
 Flexible working environment.
 Global reach with multiple locations and a diverse group of talented individuals and customers and presence in the heart of Silicon Valley both in US & India.



",PostedPosted 5 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=1f2f17aad584b2c7&fccid=303b7882c2847d78&vjs=3
Data Scientist II,Mastercard,"Hybrid remote in Gurgaon, Haryana","


  Our Purpose
 


   We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a 
  
   culture of inclusion
   for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
 


   Job Title
 
 Data Scientist II
  Job Description –Data Analytics Team – Data Scientist
  Overview
  Data Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercard’s Strategy, Product Design and Innovation. We build internal analytic partnerships, strengthening their focus on the health of the business, portfolio and revenue optimization opportunities, initiative tracking, new product development and Go-To Market strategies.
 

Are you excited about Data Assets and the value they brings to an organization?
Are you an evangelist for data driven decision making?
Are you motivated to be part of a Global Analytics team that builds large scale Analytical Capabilities supporting end users across 6 continents?
Do you want to be the go-to resource for data analytics in the company?
 Role
 

Work closely with global & regional teams to architect, develop, and maintain advanced reporting and data visualization capabilities on large volumes of data in order to support analytics and reporting needs across products, markets and services.
Translate business requirements into tangible solution specifications and high quality, on time deliverables
Create repeatable processes to support development of modeling and reporting
Effectively use tools to manipulate large-scale databases, synthesizing data insights. Provide 1st level insights/conclusions/assessments and present findings via Tableau/PowerBI dashboards, Excel and PowerPoint.
Apply quality control, data validation, and cleansing processes to new and existing data sources
 All About You
 

Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis
Financial Institution or a Payments experience a plus
Experience presenting data findings in a readable and insight driven format. Experience building support decks.
Advanced SQL coding
Experience on Platforms/Environments: SQL Server, Microsoft BI Stack, Python
Experience in Campaign Analytics a plus
Experience on SQL Server Integration Services (SSIS), SQL Server Analysis Services (SSAS) and SQL Server Reporting Services (SSRS) will be an added advantage
Experience in building data models a plus
Experience with data visualization tools such as Tableau, Domo, PowerBI a plus
Experience with Hadoop environments, plus
Excellent problem solving, quantitative and analytical skills
In depth technical knowledge, drive and ability to learn new technologies
Strong attention to detail and quality
Team player, excellent communication skills
Must be able to interact with management, internal stakeholders and collect requirements
Must be able to perform in a team, use judgment and operate under ambiguity

 Education
 

Bachelor’s or Master’s Degree in a Computer Science, Information Technology, Engineering, Mathematics, Statistics, M.S./M.B.A. preferred

 Additional Competencies
 

Excellent English, quantitative, technical, and communication (oral/written) skills
Analytical/Problem Solving
Strong attention to detail and quality
Work in Global team
Self-motivated, operates with a sense of urgency
Project Management/Risk Mitigation
Able to prioritize and perform multiple tasks simultaneously



   COVID-19 Considerations
 

   We value the safety of each member of our community because we know we’re all in this together. In many locations, which may change over time, we’ve implemented a virtual hiring process and continue to interview candidates by video or phone. In addition, in some locations, only individuals who have been fully vaccinated will be permitted inside Mastercard offices until further notice.
 


   In the US, Mastercard is a government contractor, which may legally require most Mastercard employees to be vaccinated unless a verified approved medical or religious exemption is granted. Further, we are currently making every effort towards having employees return to work in the office 2 days per week, if that makes sense for their team. Everyone must be vaccinated to enter Mastercard offices at this time. Therefore, we expect all candidates to be vaccinated or to be approved for a medical or religious accommodation prior to commencing work at Mastercard.
 


   Corporate Security Responsibility
   All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
 

 Abide by Mastercard’s security policies and practices;
 Ensure the confidentiality and integrity of the information being accessed;
 Report any suspected information security violation or breach, and
 Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.

",PostedPosted 6 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=60f51eab73644c64&fccid=10b5c722d846df43&vjs=3
Data Scientist - VP,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","
 In Risk Management & Compliance Technology Machine Learning at JPMorgan Chase, our role involves solving challenging business problems such as Anti-Money Laundering and Surveillance through data science and machine learning techniques across Risk, Compliance, Conduct and Operational Risk. The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions 
 
 The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions. 
 
 The position will serve as a thought leader including advising on optimal solutions and opining on challenger models. The role works on strategic, highly visible projects firm wide. It is an opportunity to have meaningful impact on a large scale at a leading financial services firm. The role will develop data-centric solutions that move the bottom line for the firm. 
 
 In Risk Management & Compliance Technology Machine Learning at JPMorgan Chase, our role involves solving challenging business problems such as Credit Risk, Anti-Money Laundering and Surveillance through data science and machine learning techniques across Risk, Compliance, Conduct and Operational Risk. 
 

This role requires a wide variety of strengths and capabilities, including: 


Advanced degree in analytical field (e.g., Data Science, Computer Science, Engineering, Applied Mathematics, Statistics, Data Analysis, Operations Research) 
Extensive practical expertise and work experience with Machine Learning, both supervised and unsupervised. Deep Learning (neural network) experience is preferred 
Experience across broad range of modern analytic and data tools, particularly Python/Anaconda and/or R, XGBoost, Tensorflow and/or Keras, Spark, Hive, SQL 
Experience working with engineering teams to operationalize Machine Learning models 
Excellent problem solving, communications, and teamwork skills 
Financial service background preferred, but not required 

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. 
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
",PostedPosted 1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=857f02e8c7f61376&fccid=aaf3b433897ea465&vjs=3
Data Scientist Intern,AISPL - Tamil Nadu,Karnataka,"
Record of delivering large analytical solutions with business impact
 Experience on R/SAS/Matlab and SQL
 Excellent Microsoft Office skills, including a strong working knowledge of Excel
 Problem solving ability and passion for big data
 Excellent communication and data presentation skills
 Fluent written and spoken English



 Job summary
  We are looking for motivated data scientists with excellent leadership skills, and the ability to develop, automate, and run analytical models of our systems. Academic and/or practical background in Computer Science, Engineering, Operations Research, or Process Control are particularly relevant for this position. Experience in the integration of model-based engineering tools and/or multidisciplinary analysis & optimization is also a plus.
  Locations - Bangalore, Hyderabad, Chennai
  Major Responsibilities:
 

 Use data analyses and statistical techniques to develop solutions to improve customer experience and to guide business decision making
 Identify predictors and causes of business related problems and implement novel approaches related to forecasting and prediction
 Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations
 Collaborate with multiple teams as a leader of quantitative analysis and where you develop solutions that utilize the highest standards of analytical rigor and data integrity
 Analyze and solve business problems at their root

 “Amazon internships require full-time commitment. During the course of internship, interns should not have any conflicts including but not limited to academic projects, classes or other internships/employment. Any exam related details must be shared with the hiring manager to plan for absence during those days. Specific team norms around working hours will be communicated by the hiring/ reporting manager at the time of commencement of internship. Candidates receiving internship confirmation shall be required to submit declaration of their availability to complete the entire duration of internship, duly signed by a competent authority at their University. Internship commencement will be subject to successful submission of the declaration.”



Masters or equivalent advanced degree in Computer Science, Computer Engineering, Statistics, Mathematics or related technical discipline. Hands-on experience and project based learning in computer science, engineering or mathematics is preferred.
 Academic experience in manipulating/transforming data, model selection, model training, cross-validation and deployment at scale.
 Academic or Project Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and PyTorch.
 Academic Experience with Big Data platforms like Apache Spark and Hadoop.
 Familiarity with data processing with Python, R & SQL.
 Familiarity with AWS services related to AI/ML highly desirable, particularly Amazon EMR, AWS Lambda, SageMaker, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service, Green Grass etc.
",PostedPosted 1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=da3f8efa855feb18&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,Intel,"Hybrid remote in Bengaluru, Karnataka","
Job Description
 Good at Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure and unstructured data . Develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data into intelligence, solve a variety of business problems and enable business strategy. Assists business with casual inferences and observations with finding patterns , relationships in data. Must possess strong understanding of internal business segment (stakeholders) and possess strong written and communication skills. Typically requires expertise in relational database structures, scripting languages (i.e. Python, Perl), SQL, Power BI, SSAS Cube with tabular model experience, Powerapps is an advantage. Typically possesses advanced degree in Computer Science (B.Tech or MCA).
 
 Qualifications  B.Tech/MCA Min 7-8 yrs experience (BTech)
 Inside this Business Group
 In the Design Engineering Group (DEG), we take pride in developing the best-in-class SOCs, Cores, and IPs that power Intel’s products. From development, to integration, validation, and manufacturing readiness, our mission is to deliver leadership products through the pursuit of Moore’s Law and groundbreaking innovations. DEG is Intel’s engineering group, supplying silicon to business units as well as other engineering teams. As a critical provider of all Intel products, DEG leadership has a responsibility to ensure the delivery of these products in a cost efficient and effective manner.

 Work Model for this Role

 This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.
 
 Legal Disclaimer:
 Intel prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.
 It has come to our notice that some people have received fake job interview letters ostensibly issued by Intel, inviting them to attend interviews in Intel’s offices for various positions and further requiring them to deposit money to be eligible for the interviews. We wish to bring to your notice that these letters are not issued by Intel or any of its authorized representatives. Hiring at Intel is based purely on merit and Intel does not ask or require candidates to deposit any money. We would urge people interested in working for Intel, to apply directly at www.jobs.intel.com and not fall prey to unscrupulous elements.
",PostedPosted 5 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=4438829bd0853188&fccid=936367796261bd6e&vjs=3
Intern - Data Science,Micron,"Hyderabad, Telangana","
Our vision is to transform how the world uses information to enrich life for all. 

Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing. JR33826 Intern - Data Science (Evergreen) 
 

Internship Project Title: Computer vision & pattern recognition for defect detection using manufacturing image 



Description: Computer vision and pattern recognition is widely applied in advanced semiconductor manufacturing to improve process efficiency and product quality. Manually review and inspect images generated from manufacturing is expensive and time consuming, deep learning and traditional computer vision models can be utilized to analyze and extract pattern from images to help domain experts gain better visibility of the process/product efficiently. 



Scope: In this project, students are expected to: 



Use python to develop computer vision model using deep learning/OpenCV to detect anomaly pattern from images, the model will be evaluated and validated with real industry images to verify its performance and robustness. 
Use Angular to develop smart image labeling system with lightweight deep learning model to assist automated labeling proposals 
Collaborate with experienced Micron team members to get guidance on computer vision techniques, learn how to develop, test, deploy models under cloud platform. 
The solution developed will be shared within Micron data science community for further algorithm review and optimization. 



Please Note: Open to candidates who are looking for semester internship in 2023. 

About Micron Technology, Inc. 
We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all . With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience. 

Please note that in order to assist in providing a safe and healthy workplace for all Micron team members, new employment offers for jobs based in India, Malaysia, Singapore, and the U.S., are contingent upon the applicant’s provision of a copy of their COVID-19 vaccination document to Micron on a confidential basis prior to their scheduled start date confirming that they have completed the COVID-19 vaccination process, subject to any written request for medical or religious accommodation and to the extent permitted by applicable law.   To learn more, please visit micron.com/careers   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.   To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_sg@micron.com 

Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards. 

Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.
",PostedPosted 1 day ago,Internship,,https://www.indeed.com/rc/clk?jk=af55c192045774c8&fccid=be240c643a8631c5&vjs=3
Data Scientist,Apple,"Hyderabad, Telangana","



Summary


      Posted: Mar 21, 2022
     


       Role Number:
       200355378



      At Apple, extraordinary ideas have a way of becoming excellent products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Would you like to work in a fast-paced environment where your technical abilities will be challenged on a day-to-day basis? If so, Apple's Global Business Intelligence (GBI) team is seeking an experienced Software Engineer to build high quality, scalable and resilient distributed systems that power Apple's analytics platforms and data pipelines. Apple's Enterprise Data Warehouse landscape caters to a wide variety of real-time, near real-time and batch analytical solutions. These solutions are an integral part of business functions like Sales, Operations, Finance, AppleCare, Marketing and Internet Services, enabling business drivers to make critical decisions. If you are looking to solve Analytical problems at scale, both on- prem or in cloud, focusing on ease of use, ease of maintenance and most importantly implement solutions that are scalable, you will have fun in GBI! If you enjoy learning new technologies, solving challenges with little mentorship, and are comfortable proposing and implementing solutions, demonstrating Engineering standard methodologies, you will find it rewarding to work in GBI! The ideal candidate for this position will be able to think outside of the box and should have passion for building engineering solutions to enable business in making time sensitive and critical decisions. The Global Business Intelligence team, responsible for reporting and ML in the Sales & Finance Space, with applications used by more than 5000 internal employees is looking for an enthusiastic Data Scientist. Data Science, Machine Learning, Coding and Data Preparation will be the core of you at work, and you will have the opportunity to: Design data science solutions to solve business challenges. Be part of a large team, working on research and projects delivery. Apply statistical thinking and machine learning methods. Communicate complex concepts in intelligible ways. Manage time and priorities in an exciting and changing environment. We build amazing experiences and create depth in knowledge for our internal users and our leadership. Our team is a friendly bunch of people that helps each other grow and have a passion for technology, R&D, modern tools and Data Science.
     









Key Qualifications




Upwards of 8 year experience in Data Science and Machine Learning.
Hands on Programming experience and proved competency in Python or R coding.
Solid knowledge of statistical concepts and methods (eg: Multivariate analysis, regression modelling, time series forecasting).
Good degree of knowledge about unstructured data analysis methodologies (NLP, NLG)
Previous experience applying Deep Learning methods.
Experience with model delivery performance preferred.
Strong business understanding of Sales including Consumer and Enterprise markets. Knowledge in Supply Chain, Fulfilments, Operations and Finance areas is a plus.
Strong analytical and interpersonal skills
Self-starter, highly motivated and ability to learn quickly










Description



       Our work relies on deeply understanding the company needs in areas such as Sales, Finance, Inventory, Operations, etc. and finding data science-based solutions that can improve our clients and employees’ experiences and work We are looking for a motivated individual, with good communicational skills, high energy, whose experience can add value to our data science teams, support it and bring new angles to problem solving You should be able to (i) understand a business challenge, (ii) design a statistical or deep learning solution to find the needed answer to it, (iii) developing it by yourself or guide another person to do it, (iv) deliver the outcome into production, (v) Keep a good governance of your work. If you have a passion for Data Science, Teamwork and critical thinking, this might just be the job for you.
      








Education & Experience



       Degree in Computer Science, Statistics, Mathematics, Engineering or other related disciplines. Other and equivalent backgrounds may be considered
      








Additional Requirements






",PostedPosted 5 days ago,,,https://www.indeed.com/rc/clk?jk=2c1ed91be2924d32&fccid=c1099851e9794854&vjs=3
Applied Data Scientist,Tesco,"Bengaluru, Karnataka","Company Description  Tesco Bengaluru We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility, providing cutting-edge technological solutions and empowering our colleagues to do ever more for our customers. With cross-functional expertise in Global Business Services and Retail Technology & Engineering, a wide network of teams and strong governance we reduce complexity thereby offering high quality services for our customers. Tesco Bengaluru, established in 2004 to enable standardisation and build centralised capabilities and competencies, makes the experience better for our millions of customers worldwide and simpler for over 4,40,000 colleagues. At Tesco Business Services, we have a mission to simplify, scale & partner to serve our customers, colleagues and suppliers through a best in class intelligent Business Services model . We do this by building a world class business services model by executing service model framework right at the heart of everything we do for our worldwide customers. The key objective is to implement and execute service model across all our functions and markets consistently. The ethos of business services is to free-up our colleagues from a regular manual operational work. We use cognitive technology to augment our key decision making. We also built a Continuous Improvement (CI) culture across functions to drive bottom-up business efficiencies by optimising processes. Business services colleagues need to act as a business partner with our group stakeholders to build a collaborative partnership driving continuous improvement across markets and functions to lead the best customer experience by serving our shoppers a little better every day. At Tesco, inclusion means that Everyone?s Welcome. Everyone is treated fairly and with respect; by valuing individuality and uniqueness we create a sense of belonging. Diversity and inclusion have always been at the heart of Tesco. It is embedded in our values: we treat people how they want to be treated. We always want our colleagues to feel they can be themselves at work and we are committed to helping them be at their best. Across the Tesco group we are building an inclusive workplace, a place to actively celebrate the cultures, personalities and preferences of our colleagues ? who in turn help to build the success of our business and reflect the diversity of the communities we serve.


 Job Description
 
 Follow Tesco's Business Code of Conduct and always act with integrity and due diligence
  - Apply best in class analytical problem solving - translating business problems into analytical problems and applying the best combination of math/stats/data techniques to solve the problem in the most effective manner
 

Collaborate with colleagues to design execute and measure analytical solution
Accountable for high quality and timely completion of specified work deliverables 
Think beyond asks from market partners and develop solutions that will add value to existing solutions 
Write codes that are well documented structured and compute efficient 
Contribute to development of knowledge assets and reusable modules on GitHub/Wiki
Ability to generate actionable insights that drive a change in our business operations
Identifying operational improvements and finding solutions by applying CI tools and techniques
Responsible for completing tasks and transactions within agreed KPI's
Knows and applies fundamental work theories/concepts/processes in own areas of work




 Qualifications
 
 - Foundational Statistics & Math Logical Reasoning - Adv Excel Strong Verbal and Written Communication - Basic SQL Big Data Infra Hadoop Hive Phython - Basic Visualization & story telling skills - Tableau - Microstrategy R Shiny - Basic Statistic
 
 Additional Information
 
 Important Notice:
 On behalf of Tesco Bengaluru, we must caution all job seekers and educational institutions that Tesco Bengaluru does not authorise any third parties to release employment offers or conduct recruitment drives via a third party. Hence, beware of inauthentic and fraudulent job offers or recruitment drives from any individuals or websites purporting to represent Tesco. Further, Tesco Bengaluru does not charge any fee or other emoluments for any reason (including without limitation, visa fees) or seek compensation from educational institutions to participate in recruitment events.
 Accordingly, please check the authenticity of any such offers before acting on them and where acted upon, you do so at your own risk. Tesco Bengaluru shall neither be responsible for honouring or making good the promises made by fraudulent third parties, nor for any monetary or any other loss incurred by the aggrieved individual or educational institution.
 In the event that you come across any fraudulent activities in the name of Tesco Bengaluru, please feel free report the incident at recruitment_compliance_india@tesco.com
",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c633f75853345a2e&fccid=d0e9d5166a3ee29e&vjs=3
