job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist junior,Page Personnel,"Teletrabajo in Madrid, Madrid provincia","
 Plan de carrera|Buen paquete de beneficios
 
 Acerca de nuestro cliente

 Gran empresa del sector asegurador, ubicada en Madrid centro, en la que encontrarás un equipo numeroso, ambiente de trabajo cercano, alta posibilidad de crecimiento y un entorno que favorece el aprendizaje y el desarrollo tanto a nivel personal, como profesional.   

Descripción

 Se trabajará en el departamento de analytics donde se desarrollarán e implementarán modelos analíticos para los distintos departamentos de la empresa. Para ello, se utilizarán herramientas de modelización y entorno cloud.   

Perfil Buscado (H/M/D)


 Formación STEM (Matemáticas, Física, Estadística o similar) 
Buen expediente académico
Experiencia con modelos analíticos
Dominio en estadística y matemáticas
Programación avanzada con R/Python 
Se valorará: PySpark, SQL, Java, Vertex AI, tensorflow..
Imprescindible interés por la programación, tratamiento de información y desarrollo de modelos analíticos. 
Valoramos buen nivel de inglés


 Qué ofrecemos


 Salario a valorar según recorrido, banda 25-35K + 11% de variable. 
Contrato indefinido
Horario 9:00 a 18:00 con flexibilidad. Viernes y meses de verano jornada intensiva. 
Paquete de beneficios como seguro médico, cheques restaurante, seguro de vida, plan de pensiones, retribución flexible. 
Modalidad: presencial + 1 día a la semana teletrabajo (a elegir).

",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcpmLZ00HOUpZ02saIE7eM93x6P7P9_8fA41v6w6he96n3RQ9Aj7Tt_27lhQAlljtG0aTN8j05-ixvbCAZqTY_chZI5Q6GG1ahG_w7I08XQDPWHZ4ioeozItc95qEf2nNr384YPhLzd7YrwdtgjnZJ4xAtb1rKvm1cG5uhvItC30pITKQpNL01veKg-El3y-XDTp_49t0rcidrQgwo1mxiz5IsPdm5kW7iXEdCVCY_Kj1iS866Myr0Gv3JteEexChgUT9cJ96A7XP-qeFsbvVrCiVj9OFdD3VXPsGciH1RCTTUIspdf21Lf1DjIrqSDz4FhixdXzcH0ZbH6vK74NEBLbkho0qjUEndxZFlAUDnAbGi201j3C7lH6qlr5Cu-Uxa6VqMdo1OUttTIKbk-DNS975GPUHvPq72p9c7SlCwoIvySfgH1Tj2QPeKCsc6HPtLLLJyNqda2nfEuLBHyoDGHgNvwYDDplzlBZVlFEqow8HpMEyV2S7YPE1a10sHJdKqivecHJGOpO8mApLnSvg6W0AW9p6x3tN6CEL3cEv4yB0dSOf62BgGVSu-yvRka6gYztbKFcsf2lR8Woif4SvEu1ElbUgvRHO6U7MPD9P_nOIbZo8SPmu9H_ChE86nAaE6CmWczc-GFgb-SlB4hnKHkE2DmyFBr9iNY2_KrNzL6g==&xkcb=SoC1-_M3ayry7bQHEx0LbzkdCdPP&p=0&fvj=1&vjs=3
DATA SCIENTIST,Sopra Steria,"Madrid, Madrid provincia","

En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.  Nuestros empleados coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos más de 46.000 personas trabajando en 25 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial. ¿Te atreves a crear el futuro? 
Requisitos 
No buscamos la perfección, pero, nos gustaría que tuvieras al menos 3 años de experiencia en un rol de machine learning orientado a soluciones de negocio, dominio de python y fuerte formación matemática. 
Se ofrece


 Porque sabemos lo que necesitas…
  


Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!
Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?
Crece con un programa de desarrollo continúo personalizado.
Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.
Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.
Para que te sientas parte del equipo: andjoy, pádel, running… y un fisio por si acaso!

 ¡Atrévete a trabajar de una forma diferente y conócenos!
 
",Postedhace 9 días,,,https://www.indeed.com/rc/clk?jk=c3a1daefd9bef0f5&fccid=3ba6d20cd884270b&vjs=3
Data Scientist,SpotLab,"28040 Madrid, Madrid provincia","
We are looking to hire a full time Data Scientist, who will develop, train and deploy machine learning and image processing algorithms for the diagnosis of medical images.
 Your responsibilities will encompass:

 Developing solutions for medical image analysis using neural networks and automatic image processing.
 Preparing the working environment to organize and clean the data, the ground truth, and everything needed to evaluate different algorithms and pipelines.
 Interacting with medical specialists and product managers to understand the needs and assess technical feasibility.
 Deploying algorithms in real time operational conditions working together with the engineering team.
 Drafting the technical documentation of the technology developed.


 Proven experience developing solutions in the fields of machine learning, image processing or computer vision. Experience with biomedical image processing is a plus.
 Strong software engineering skills in Python and experience with the Python scientific ecosystem.
 Knowledge of artificial intelligence frameworks and in particular deep learning libraries (Keras, TensorFlow, Caffe or Torch). Knowledge of programming with GPUs is a plus.
 A master's degree or a doctorate in computer science, Mathematics, Biomedical Engineering or another relevant discipline is a plus.
 Willingness to make and impact and change the world.

",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=046cd8d1d0577b3f&fccid=152aea16c741382e&vjs=3
Data Scientist (Remote),WayOps,"Teletrabajo in Madrid, Madrid provincia","En WayOps buscamos un perfil Data Scientist que quiera continuar su carrera profesional formando parte de un equipo Data & AI de primer nivel y trabajando en proyectos cloud con las últimas tecnologías.
La persona seleccionada participará en múltiples proyectos encargándose de realizar el análisis exploratorio de los datos, tratamiento de variables y elaboración de modelos científicos utilizando técnicas de aprendizaje automático. Además, participará en la industrialización del código científico y elaboración de cuadros de mandos.
EXPERIENCIA & CONOCIMIENTOS
El perfil a incorporar deberá contar con 3-4 años de experiencia como Científico de Datos utilizando Python, 1-2 años de experiencia en entornos Cloud, así como 1-2 años de experiencia en modelado de datos y elaboración de cuadros de mandos. Además, se valorarán conocimientos en Spark y experiencia previa en industrialización de código científico.
Se deberá aportar experiencia en las tecnologías:

Machine Learning (Python, sklearn, h2o)
Analytics (SQL, PowerBI)
Herramientas (Jupyter, Databricks, Git, Azure DevOps)

Además se valorará experiencia en tecnologías como:

Machine Learning (mllib, sparkling water)
Deep Learning (tensorflow, keras, pytorch)
ETL (ER, Relational-model, Star-model, MDM)
Azure (Databricks, Storage, SQL Databases, ML Services)
Spark (RDDs, Dataframes)
Property Graphs (Neo4j+Cypher, Tinkerpop+Gremlin)

CONTRATACIÓN * & * UBICACIÓN
La contratación será como indefinido o autónomo en jornada completa. El trabajo se desarrollará en remoto aunque podría ser necesario realizar reuniones puntuales en nuestras oficinas. Banda salarial negociable en función de la modalidad de contratación y experiencia.
Job Type: Full-time
Salary: 30,000.00€ - 60,000.00€ per year",Postedhace 18 días,De 30.000 € a 60.000 € al añoJornada completa,De 30.000 € a 60.000 € al año,https://www.indeed.com/company/WayOps/jobs/Data-scientist-6781b6d49177430c?fccid=a714a79761e4e11a&vjs=3
Trainee Data Scientist at Havas Group,Havas Group,"Madrid, Madrid provincia","


  Agency :
  Havas Media Group
 

   Job Description Summary :
  We are looking for a Data Scientist Trainee role to be based in Madrid to help in providing support to products and services developed for both account teams and global clients.
 
 This role will transform data into insight and insight into business decision.
 
 He/she will collaborate with both Global Measurement Product Manager and Global Data Scientist on the creation, development and support of new products and services offered by the Global Measurement team.
 

   Job Description :
 

   Key responsibilities:
 


 Collect and interpret data from variety of sources, analyze results using statistical techniques and provide ongoing reports
 Analysis of global data (homogenization from different sources, analysis, drawing of insight conclusions)
 Efficiently and confidently report the results back to senior members of the business
 Identifying patterns and trends in data sets and provide explanation to aid current projects
 Working alongside teams within the business and the management team to establish business needs & solutions



   Required Skills and Experience:
 


 University degree in mathematics / statistics or comparable
 Proficiency in English is a must, other languages desirable
 Code tech stack: Python (mandatory), R.
 Advanced knowledge of mathematics and experience performing statistical analysis on large datasets with the ability to interpret results.
 A good understanding of statistical modelling techniques with the ability to create and interpret comprehensive models and reports
 Analytical and organized mindset, with an ease to structure information aimed at communicating complex topics to both technical and non-technical teams in a clear and unambiguous manner.
 Solid understanding of office suite (Excel, PowerPoint, Power BI, Word)
 Proactive and collaborative attitude.
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
 Strong intellectual curiosity with the ability to structure and solve difficult problems.
 Strong communication skills with the ability utilize agile methodologies to ensure an efficient working environment.
 Ability to work autonomously with a keen attention to details and a high sense of prioritization



   Please submit your CV in English.
 


   Skills :
  Data Analysis, R Code, R Statistics
 

   Contract Type :
  Intern
 

   Here at Havas across the group we pride ourselves on being committed to offering equal opportunities to all potential employees and have zero tolerance for discrimination. We are an equal opportunity employer and welcome applicants irrespective of age, sex, race, ethnicity, disability and other factors that have no bearing on an individual’s ability to perform their job.
 


   Due to high volume of applications, only eligible or matching candidates will be contacted by us.
 
",Postedhace 30+ días,Jornada completa +1,,https://www.indeed.com/rc/clk?jk=231a325ba9d74154&fccid=3d7752bc0721fcaa&vjs=3
DATA SCIENTIST (h/m),GeneraliEspaña,"Teletrabajo in Madrid, Madrid provincia","

  Descripción
  Participar en el desarrollo de modelos analíticos para resolver problemas de negocio y facilitar la extracción de conclusiones sobre los datos.
 
   1. Participar en la definición de requerimientos a partir de las historias de usuario enviadas por las áreas de negocio para ser desarrolladas por el CoE y participar en la documentación de los proyectos que sean llevados a cabo por el CoE.
   2. Colaborar en el análisis de técnicas y casos de uso existentes en el mercado en lo referente a modelos analíticos de datos para identificar aquellas cuya aplicación pudiera ser útil para el CoE Analytics.
   3. Desarrollar algoritmos usando estadística y matemáticas para ejecutar funciones analíticas que sean requeridas por las áreas usuarias del CoE. Así como aplicación de algoritmos de Deep Learning para realizar los proyectos de analítica avanzada de la compañía.
   4. Preparación y análisis de datos estructurados y no estructurados, para extraer conocimiento que pueda aprovecharse para el desarrollo de soluciones.
   5. Revisar los datos empleando métodos estadísticos de cara a descubrir anomalías y contradicciones, monitorizar el rendimiento y la efectividad de los modelos implementados y aportar análisis que faciliten la toma de decisiones a las distintas Áreas de Negocio de la compañía.
 


   ¿Qué buscamos?
 

   Titulación Universitaria afín
 

   Experiencia previa de al menos 5 años desarrollando las funciones solicitadas
 

   Nivel alto de inglés.
 


   ¿QUÉ OFRECEMOS?
 

Plan de pensiones
Flexibilidad horaria
Ayuda a comida
Teletrabajo
Formación continua y desarrollo profesional
Retribución flexible (formación, guardería, seguro de salud y transporte)
26 días de vacaciones + días de libre disposición
Contrato indefinido
Ambiente de trabajo internacional y oportunidad de trabajar con otros países
Empresa certificada con los sellos Top Employer y Empresa Familiarmente Responsable.


",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=5f3301be514813a5&fccid=0b573984d9046c5e&vjs=3
Junior Data Scientist,Lurtis Rules,Andalucía,"


Who You Are:
You are a team player who loves creating things and is deeply interested in Data Analysis and Data Science. You are willing to work in projects in:

A novel forecasting and financial analytic model for intraday automatic trading.
Predictive analytics for the maintenance of robotic-inspected pipelines.

It would be essential for you enjoying getting your hands dirty in the data. You should also be comfortable in a dynamic work environment. Furthermore, it would be best if you had fun solving challenging problems. You should be someone who makes decisions based on a strong foundation of theoretical knowledge, but curious enough to tinker and devise new solutions to problems. You should have a sincere interest in new and innovative solutions. We encourage a passionate attitude to bring those ideas to life, and we expect you to be open enough to collaborate with your teammates. These teammates shall challenge and be challenged to get the best of you. You should not be afraid to take ownership in your part of the company, and you should feel proud of being an integral player. And most of all, you should be excited to be part of a fun and growing team making a difference solving several major real-world problems.



What You Bring:
We require the following qualifications:

Curiosity, resilience, and drive.
Ability to pitch in wherever necessary.
Ability to show initiative in improving processes and culture.
Demonstrated record of being a kind and trustworthy teammate with high standards.
Fluent in professional English with native speakers from different nationalities.
Spain Working Visa or Spanish Citizenship.
Experience in Data Science with Python.
Experience in delivering production-ready algorithms & models.
Python Scikit-learn, Pandas and NumPy fast prototyping and testing of model.

We encourage the following qualifications:

BSc or MSc degree in Engineering, Mathematics, Statistics or related field.
1-2 years of experience in Python programming for Data Science applications.
Desirable: Parallel computing, image processing, and data visualization.
Desirable experienced in an application domain: 
     
Finance, trading, market forecasting, quantitative analysis.
Predictive maintenance for infrastructure/engineering, sensor-based data.
 


Please note: You do not need to match every single bullet point listed above to apply for this position. At LURTIS, we believe that diverse perspectives are vital to nurturing the spirit of innovation and success. We are committed to building a dream team that encompasses a variety of backgrounds, experiences, and skills.



What We Offer:
Lurtis, we strive to cultivate a fun and exciting work environment where you can have a direct & immediate impact. We offer the opportunity to work on an innovative product designed to tackle a real, significant, and immediate challenge to a major economic sector. You would join a team that was founded on mutual respect and support, a company that prioritizes professional growth, and an organization who knows the importance of work-life balance for long term success. In addition to salary, we offer equity and benefits.

Option of working either remotely or at the company office with flexible models and hours.
Teammates who respect and cherish you and your ideas.
Salary progression in a growing company.







España 
Indefinido
Experiencia de 6 meses a 2 años
Titulación Universitaria Grado (4+ a.)
",Postedhace 27 días,,,https://www.indeed.com/rc/clk?jk=46a34ed77f80437d&fccid=bc0a17fdc04a2d78&vjs=3
Data Scientist,Teknei,"Teletrabajo in Bilbao, Madrid provincia","



















En Grupo Teknei seguimos creciendo y aportando valor para nuestros clientes en el entorno del Dato.
 Con un ambicioso plan de crecimiento ampliamos nuestro equipo y seleccionamos a expertos en Analítica de Datos que mediante la aplicación de técnicas de Inteligencia Artificial sobre los datos de negocio puedan repercutir en mejoras.





Requisitos 





Funciones:

Desarrollo de modelos de Machine Learning, desde la obtención de datos a la puesta en producción y monitorización



 Conocimientos requeridos:

Machine Learning
Python






¿Qué te ofrecemos? 





Te ofrecemos muchas posibilidades de evolución profesional en la compañía. Posibilidades de promoción, retribución flexible, posibilidad de teletrabajo, jornada continua los viernes y durante el verano y muy buen ambiente de trabajo.



























Ubicación: Bilbao y Madrid








Contrato: Indefinido








Jornada: Completa








Experiencia mínima: 2 años








Estudios mínimos: Ciclo formativo de grado superior








Número de vacantes: 1








Modalidad: Presencial y teletrabajo






Sobre Teknei 





Teknei es una empresa especializada en ofrecer servicios integrales y soluciones innovadoras de tecnología. Contamos con gran experiencia en consultoría y gestión de procesos intensivos en tecnologías de la información, así como en la creación de soluciones tecnológicas propias, que diseñamos, desarrollamos e implementamos.
 Las personas que componen la compañía son el activo más valioso. Contamos con un equipo excepcional formado por más de 200 empleados distribuidos en las oficinas de Bilbao, Donostia-San Sebastián, Vitoria-Gasteiz y Madrid.





















Si te interesa esta oferta puedes enviar tu CV a seleccion@teknei.com indicando en el asunto el puesto de trabajo.



















",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=c0d6ada0b182778b&fccid=8458b2dbb6f62d4b&vjs=3
Data Scientist,Equifax,"28046 Madrid, Madrid provincia","
Equifax is looking for a Data Scientist for its headquarters in Madrid. We are looking for someone with a strong technical background in Advanced Analytics and Data Science, and passionate about the development of innovative projects. Ideally the candidate will have experience in managing client projects, and supporting sales teams in offering analytics-oriented solutions. 
What you’ll do 

Reporting to the Head of Data Science and Data and Analytics Innovation, your main objectives will be to: 
use cutting-edge statistical techniques to develop innovative projects based on data and analytics, with a focus on the fields of Credit Risk Management, Finance (including Open Banking), Marketing, and Fraud Detection 
demonstrate to Equifax clients the power of our analytics solutions based on Machine Learning and Big Data 
Use agile methodologies to accelerate the development of new products and prototypes 
Have the creativity and technical knowledge to translate business requirements into mathematical solutions 
Use data-driven story-telling and visualisation to communicate complex concepts to non-technical audiences 
Support the migration of our analytical teams and platforms to the cloud 

 The profiles we’re ideally interested in are those who are comfortable coding in Python, proficient in developing statistical models, and who are capable of translating business requirements into mathematical solutions. What we offer is the opportunity to work in an ambitious team, in an international environment, with flexible conditions and many opportunities to grow. 
What experience you 

High level of English 
University degree, preferably in Mathematics, Statistics, Actuarial and Financial Disciplines, Economics, Engineering, Computer Science or Physics 
At least 3 years of experience in Data Science and Big Data projects, in the development of analytical solutions, segmentation analysis, scoring models, etc. 
Experience in the field of credit risk management, either in marketing processes or in a credit information services company, will be highly valued 
Experience in some of the different vertical markets where Equifax operates (Financial Institutions, Telco, Utilities, Retail, Insurance, SME) 

Technical Skills 

Python (required) 
R 
SQL, with experience in distributed databases such as Hive 
experience in developing Machine Learning models 
cloud-based analytics environments (GCP, AWS) 
processing of structured and unstructured data 
agile methodologies 

What could set you apart 

Spark 
Hadoop 
Spotfire 
Tableau 
Alpha-beta testing 
Professional experience in a Product-Owner role 

We offer comprehensive compensation and healthcare packages, 401k matching, paid time off, and organizational growth potential through our online learning platform with guided career tracks. 
If this sounds like somewhere you want to work, don’t delay, apply today - we’re looking for you! 
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=2d777de1e200d6d6&fccid=34c446722f3cf576&vjs=3
Data Scientist,Acciona,"Madrid, Madrid provincia","








         Somos una compañía global, líder en el desarrollo de infraestructuras regenerativas que generan un impacto positivo en la sociedad. Nuestra plantilla, formada por más de 41.500 profesionales y presente en más de 40 países de los cinco continentes, contribuye a nuestra misión de diseñar un planeta mejor. Buscamos personas que quieran marcar la diferencia, promover el desarrollo sostenible y encontrar soluciones a los mayores desafíos globales, incluidos el cambio climático, la sobrepoblación y la escasez hídrica. Únete a nosotros en la búsqueda de soluciones para lograr un futuro sostenible.
        























                 Descripción del puesto
               
















    Misión:
  


    Dar apoyo al área de Organización y HR Analytics, desarrollando capacidades de análisis para la gestión de personas
  


    Funciones:
  


    Encontrar patrones y tendencias en conjuntos de datos para revelar información que no se aprecia a simple vista.
  


    Crear algoritmos y estructuras de datos para crear modelos predictivos.
  


    Apoyo en la recopilación y almacenamiento de los datos, con especial énfasis en aquellos que afectan al área de Organización.
  


    Apoyo en la distribución del conocimiento a los distintos grupos de interés.
  

















                 Requisitos del candidato
               















   Formación Universitaria: Grado en Estadística, Ciencia de Datos, Matemáticas, o estudios afines
 


   Formación Complementaria: Postgrado Big Data y Analytics.
 


   Conoc. informática: Python y R
 


   Nivel alto de inglés (C1 o equivalente).
 


   2-3 años de experiencia realizando las tareas anteriormente mencionadas.
 


   Disponibilidad para viajar.
 


 Somos una compañía que valora la diversidad como fuente de talento y por ello trabajamos para impulsar un entorno inclusivo en el que se promueve el respeto, la pertenencia y el compromiso de forma que todas las personas puedan participar en igualdad de oportunidades. Invitamos a todas las personas a inscribirse con independencia del origen, circunstancias, bagaje o condición. ACCIONA ha recibido la certificación Top Employer 2021 y 2022, que reconoce a la Compañía como una de las mejores empresas para trabajar en España.

",Postedhace 18 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=8a7353c35c6f7e1c&fccid=b7d7292f6a4117f1&vjs=3
