job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data scientist - Experimentation,Conversionista AB,Stockholm,"Role description 

 Conversionista is looking for a new colleague to join the experimentation team, for this role you will be working with several clients analysing experiments (A/B tests) of varying complexity requiring different statistical approaches. You will be assisting in experiment design setup and in charge of results analysis and data quality assurance. 

 In order to succeed in this role you should be comfortable executing some of the following tasks: 



Able to do complex insight and Experiment analysis
Can find appropriate methods for experiment pre- and post analysis and argue for individual benefits based on parameters like power and precision
Ability to surface insights and key data points that are not available in tool Ui’s (Ex: Big query, Sql databases)
Present and communicate complex data in a simple way (business decision making)
Verify and QA data quality
Have broad understanding of statistical models for analysis (theoretical and practical)
Coding skills (Ex: R, Python or SQL)
Ability to switch tools according to clients needs (google analytics, Adobe tools, Mixpanel and others)
Broad knowledge of experiment design and implementation
Communication skills
 Typical deliverables 

 Set-up experimentation analysis processes at clients in different maturity levels 

 Run and analyse Experiments (AB tests) 

 Communicate results in a meaningful way for business decision makers. 

 Do insights research to support experimentation 

 Who are you? 


We think you will be a good match if you have the following:
 2-4 years experience in hands on CRO role 

 Understanding of data models used in different analytics tools 

 Love to answer complex questions with data 

 Data extraction and modelling 

 Basic knowledge of UX / UI Principles 

 WORK WITH GREAT PEOPLE 
JOACIM KROON 
Capability Lead 
""There’s a strong culture that offers mutual support, promotes trust and rewards employees’ efforts. I love my job because people care about me as a person and about my professional growth."" 
SARA JOHNSON 
Senior Specialist - Analytics 
""The best thing about working at Conversionista is the opportunity to learn and develop. It feels like a privilege to be surrounded by more than 60 specialists that you can learn from."" 

 2-4 years experience in CRO or analytics roles 

 Statistical background 

 Coding background (Python/R) 

 GREAT PLACE TO WORK 

 HQ Located at the central part of Stockholm 

 Highly refined people development process 

 Passionate colleagues 

 Wellness allowance 

 Worklife balance focused environment 

 Amazing coffee 

 ABOUT THE COMPANY 

 We are Scandinavia's largest team of conversion heroes. 

 At Conversionista, we aid our clients by using true insights derived from data. Combined with scientific methods we enable our clients to grow and reach their desired goals while also establishing a firm foundation for their future. 

 Our conversion heroes are the top priority, that's why we have processes in place that mentor, coach and develop them to be the best version of themselves. We know that a consultant that grow their skills and can manage their work-life balance can deliver greater services. 

 Conversionista also founded the first CRO program called Conversion Manager and is currently hosting the largest Conversion & Growth Conference in the Nordics - Conversion Jam. 

 Today, we are over 60 conversion heroes in Stockholm, Gothenburg, Oslo and Malmö. 

 2021 
ARC teamed up with Above, Umain, Cupole 

 2020 
Teamed up with Animal, Keybroker, Kurppa Hosk to create ARC 

 2018 
Started working together with Curamando and moved to Regeringsgatan 30 

 2011 
Company founded 

 Andreas Gref | Contact Person",Posted2 dagar sedan,,,https://www.indeed.com/rc/clk?jk=7cd5b833f92b41dd&fccid=5437d3e7fef75c04&vjs=3
Data Scientist,Cisbio,Stockholm,"
Responsibilities

  Location Stockholm, SE
 
Job ID JR-032237
Vanadis Diagnostics, part of PerkinElmer, develops a complete system for investigating chromosome abnormalities during pregnancies based on a blood sample. The system is based on advanced DNA technology and is developed by a group of scientists and engineers with competences in biochemistry, optics, image processing, statistics and software development.
 Role description: 

Development of analysis algorithms.
 Analysis of experimental data.
 Software development in Matlab, R, and Python
 Experience from Java and C++ is an advantage
 Testing, documentation and implementation of new algorithms
 Collaboration with internal stakeholders such as Software developers, Business, and Customer support

 Role requirements: 

At least a master’s degree in mathematics, physics, or computer science.
 Strong interest in mathematical analysis and statistics.
 Minimum of 3 years of work experience. Algorithm development and documentation experience in medical device development is considered an advantage.
 Experience in Matlab, R, Java, C++, and Linux command-line interface is an advantage.
 Dedication, curiosity, and drive.
 Excellent oral and written communication skills in English.

 What we offer: 

Great team members
 Dynamic and innovative culture
 Focus on career development
 Collaborative and diverse multidisciplinary environment Will you be our next top professional? Please apply to this intriguing position as soon as possible and join us today!

 #LI-EMEA
",Posted9 dagar sedan,,,https://www.indeed.com/rc/clk?jk=4cff8b85ecc9dd9d&fccid=c2ae6ccd5d88383c&vjs=3
"Data Scientist, Soundtrap, Freemium",Spotify,Distans in Stockholm,"






       Data, Research & Insights
      





        Data Science
      








     We are looking for Data Scientists to join us at multiple levels. We will have an open discussion throughout the interview process about assessing which level you fall within at Spotify.
   




 Location

     Stockholm or Remote EMEA
   


 Job type

     Permanent
   





     We are looking for a Data Scientist to join the team that builds Soundtrap, an easy-to-use audio creation studio under the umbrella of Spotify. It’s cloud-based, offers real-time collaboration, and works on many kinds of devices. Great musicians and artists - established or not - shouldn't have to be tech-savvy on audio engineering, so we are making it possible for almost anyone to be able to focus on their creativity and not the complexity that comes with many recordings and editing tools today.
   




    We have an insights-led culture at Soundtrap where we place a strong emphasis on the user experience. You will work collaboratively with other data scientists, designers, product managers, user researchers, and business team members to be a part of the product and business development process. You will take part in discovering findings to improve and invent new features, and understanding and developing aspects of the user journey.
   




    At Soundtrap and Spotify, data is a first-class citizen. We believe that doing a good job analyzing it is key to our success as a company.
   




 What you'll do

 Work closely with cross-functional teams of data scientists, user researchers, product managers, designers, and engineers who are passionate about our consumer experience.
 Perform analysis on large sets of data to extract impactful insights on user behavior that will help drive product and design decisions.
 Communicate insights and recommendations to partners across Soundtrap and Spotify.
 Help teams understand their data, with dashboards and through exploratory analysis.
 Set up, monitor, and analyze experiments.
 Define events, build pipelines, and build tools together with the data science community.
 Be a key partner in our work to build out our product and business strategy so that we are relevant in the daily lives of consumers.





 Who you are

 Have experience in a similar data scientist role and/or degree in computer science, engineering, statistics, mathematics, economics or another quantitative subject area.
 Possess technical competence to perform more advanced analytics: Analytics tools experience (such as Pandas and SQL) and Coding skills (such as Python or R).
 Your past experience has provided you with a deep understanding of numbers, a strong business sense for business performance drivers, and the skill to craft compelling and clear narratives using those data and insights.
 You'll be skilled in tackling loosely defined challenges, working both independently and as part of a cross-functional analytics and strategy team.
 You have a strong passion for music, experience in music production and/or experience from the music industry is highly valued, but not a must-have.





 Where you'll be

 We are a distributed workforce enabling our band members to find a work mode that is best for them!
 Where in the world? For this role, we'd prefer you to be based in Stockholm, closer to the majority of our teams! 
Working hours? We operate within the Central European and GMT time zones for collaboration and ask that all be located that time zone. 





Our global benefits



     Extensive learning opportunities, through our dedicated team, GreenHouse.
   



     Flexible share incentives letting you choose how you share in our success.
   



     Global parental leave, six months off - fully paid - for all new parents.
   



     All The Feels, our employee assistance program and self-care hub.
   



     Flexible public holidays, swap days off according to your values and beliefs.
   



     Spotify On Tour, join your colleagues on trips to industry festivals and events.
   




 Learn about life at Spotify



     We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply, and we encourage everyone to come be a part of changing the way the world listens to music.
   


 Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.
   


 Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.
   



",Posted30+ dagar sedan,,,https://www.indeed.com/rc/clk?jk=3bc250153155dc0a&fccid=fe404d18bb9eef1e&vjs=3
Data Scientist,PerkinElmer,Stockholm,"
Vanadis Diagnostics, part of PerkinElmer, develops a complete system for investigating chromosome abnormalities during pregnancies based on a blood sample. The system is based on advanced DNA technology and is developed by a group of scientists and engineers with competences in biochemistry, optics, image processing, statistics and software development.

 Role description: 

Development of analysis algorithms.
 Analysis of experimental data.
 Software development in Matlab, R, and Python
 Experience from Java and C++ is an advantage
 Testing, documentation and implementation of new algorithms
 Collaboration with internal stakeholders such as Software developers, Business, and Customer support


 Role requirements: 

At least a master’s degree in mathematics, physics, or computer science.
 Strong interest in mathematical analysis and statistics.
 Minimum of 3 years of work experience. Algorithm development and documentation experience in medical device development is considered an advantage.
 Experience in Matlab, R, Java, C++, and Linux command-line interface is an advantage.
 Dedication, curiosity, and drive.
 Excellent oral and written communication skills in English.


 What we offer: 

Great team members
 Dynamic and innovative culture
 Focus on career development
 Collaborative and diverse multidisciplinary environment Will you be our next top professional? Please apply to this intriguing position as soon as possible and join us today!


 #LI-EMEA
",Posted8 dagar sedan,,,https://www.indeed.com/rc/clk?jk=79599661b9776de4&fccid=dedb01f1a81e63e6&vjs=3
Research Data Scientist,Meta,Distans,"
 The Infrastructure Quantitative Engineering group uses statistical and machine learning techniques to support the operations and enable the continued growth of Facebook’s infrastructure. We partner with teams supporting all of Facebook’s infrastructure, focusing on long-term strategic initiatives that make Facebook infrastructure more efficient, reliable, and scalable. We are “full-stack” data scientists, helping to establish product requirements, gather data, design experiments, create models, build software tools and communicate findings. We are looking for hands-on experienced data scientists who can collaborate effectively with partner engineering organizations, fellow data scientists and leadership. 
  As a Research Data Scientist, you will need to develop subject matter expertise, build trust with partners, recognize the biggest opportunities, create and drive strategy, and leverage data science methodologies to solve hard problems. In your work, you may provide guidance and coordinate with other data scientists to help achieve the goals in broad areas of operation.
 


Research Data Scientist Responsibilities:  

Identify how data science can be applied to improve, optimize, and expand Facebook’s infrastructure across a variety of domains, with emphasis on long-term and strategic initiatives.
 Work cross-functionally as a strategic partner to define priorities and develop project roadmaps in synergy with partner teams. Build consensus and earn commitment from partners. Drive execution through fast iteration.
 Ensure coordination of theirs and others’ projects across related workflows, to maximize impact and avoid duplication and overlaps.
 Employ languages and tools like Python, R, SQL, and others to drive efficient data exploration and modeling.
 Build pragmatic, scalable, and statistically rigorous solutions to large-scale web, mobile and data infrastructure problems by leveraging or developing statistical and machine learning methodologies.
 Generalize methodologies for broader application within and outside their domain.
 Lead and provide technical mentorship to data scientists, to ensure continuous up-leveling of our expertise.




Minimum Qualifications: 

 Degree in quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related field)
 6+ years of experience doing quantitative analysis including experience with SQL, other programming languages (e.g, Python) or statistical/mathematical software (e.g, R, SAS, MATLAB)
 6+ years of experience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysis
 4+ years experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards
 Experience answering big picture questions by framing the question, turning it into an analytical plan, executing and communicating to stakeholders
 Experience initiating and driving projects to completion with minimal guidance




Preferred Qualifications: 

 Advanced degree (Master’s or PhD or equivalent experience) in quantitative field
 4+ years of experience doing complex quantitative analysis and working with distributed (i.e. Hive, Hadoop or similar databases) or highly complex datasets
 4+ years experience communicating complex research in a clear, precise, and actionable manner
 2+ years experience leading teams of other data scientists

",Posted30+ dagar sedan,,,https://www.indeed.com/rc/clk?jk=9ed9f6a60cf4d0bb&fccid=ba07516c418dda52&vjs=3
Data Scientist / Machine Learning / Cloud,Combine,Distans in 223 63 Lund,"
Who are we ?
 Combine is a leading supplier of high-quality engineering services in Data Science, Software development, and Control Systems. We offer varied challenges at the bleeding edge of technology, an inspiring working environment, and enthusiastic colleagues. We have offices in Gothenburg, Lund, and Linköping. We are now looking for data engineers to strengthen our Data Science & AI Solutions team in Lund. 
Areas of Interest 
Data Science, Big Data, Machine Learning, AI, Data Engineering, Cloud
 Job summary 
The Data Science & AI Solutions team at Combine works with clients from various industries and sectors. We currently see a great interest in our services within data science and therefore need to strengthen our team in Lund with different experts within data science. 
Typical work consists of:

 Gathering and analyzing data
Solving data quality issues
Training machine learning models
Evaluating performance, scalability and cost 
Visualizing and communicating results
Deploying models in production environments
Maintaining and refining machine learning solutions 

Depending on the customer, you will perform projects from the Combine office or assignments at the customer’s site. 
Who are you?
 We believe you see yourself as a team player who enjoys contributing a unique perspective to a diverse group. You are open for feedback and generous in sharing your insights with your colleagues. You are an expert within one or more fields within data science but do not hesitate to learn more ensure a successful delivery. You have good communications skills and are able to interpret technical knowledge to colleagues and stakeholders across many different areas and technical levels. 
Mandatory:

 M.Sc. or Ph.D. with a specialization in areas related to ML, AI, or Computer Science 
Proficiency in programming in Python

 Useful experience:

 Commercial data science projects 
Worked with large datasets for practical applications
Cloud technologies including AWS, GCP, or Azure 
Deep learning frameworks Tensorflow, PyTorch, or Keras

 Welcome with your application!
",Posted6 dagar sedan,,,https://www.indeed.com/rc/clk?jk=3ebc066b6cba0fa2&fccid=2f7a12771876dc8c&vjs=3
Data Scientist,Recommit AB,Distans in 118 46 Stockholm,"

We are looking for a Sr Data Scientist to join or consulting company located in Sweden. You will carry out evaluative and exploratory data analysis to generate insights useful for product and strategy decisions, and you will be able to communicate these insights in a clear way for non-technical stakeholders.

 About the role
 As a Data Scientist, you understand solutions in an overall perspective. Your specialty is to work closely with stakeholders across the organisation to define complex business problems and suggest the right analytical and technical solutions. Overall you are passionate about developing and implementing advanced models using state-of-the-art data technologies.
 Required skills:

At least 3 years of working experience in a data scientist role or similar.
Deep understanding and professional experience working with advanced analytics, machine learning and statistics, developing and implementing models.
Proficiency in programming languages such as Python, R, Spark or similar technologies with associated machine learning libraries.
Strong analytical and creative mindset and problem-solving skills.
Ability to write efficient queries using SQL language.
Experience working in with multiple stakeholders in agile project methods such as SCRUM, Kanban or similar.
Cloud platform experience such as AWS or GCP.
Significant experience working with a large datasets ecosystems.
Data visualization tools and technologies such as Power BI, Tableau, Looker etc. are a plus.
A/B testing and marketing analytics experience is also a plus.
Excellent communication skills in English.
Ability to adapt to a dynamic work environment and make independent decisions.

Above all, you are curious, responsible, flexible, and aspiring to develop innovative products and services. 
Perks and Benefits

Competitive Salary
Pension plan
Health and other insurance
Gym, sports & health benefit
Yearly conferences (often abroad)
Full relocation support (work permit fast track, flight ticket, help with finding apartment/housing, bank account, Swedish SSN etc)
Hybrid/remote work

About Recommit:

 We have three key words - Care, Share and Commit - something that defines how we are in our daily work, in the meeting with our customers and towards each other 


Recommit offers a foundation for our co-workers to enhance their technical skills within IT. We strongly believe in knowledge sharing and are always passionate to learn from each other 


Our employees consist of senior technology developers as well as young talents that disrupt with new ideas for innovations and opportunities. We know that the best teams consist of a mixed group of individuals 


We endorse cultural diversity and have long experience in relocating new coworkers to our company and country. Recommit is certified by the Swedish Migration Agency and we can in short period of time handle the process of a valid work permit. We also try to help as much as possible in all aspects when in come to integrate to Sweden and the Swedish society .   


Recommit AB was founded in 2010 and our office is located in central Stockholm

 Application:
 Does this sound like something for you? Apply today and meet us for a first Teams meeting. If you have any questions, please contact our consultant manager Jonas Falkowski Källman at jonas.kallman@recommit.se, or +46733113114
 We are looking forward to your application!
",Posted12 dagar sedan,,,https://www.indeed.com/rc/clk?jk=2a3d6031f128b11d&fccid=4d136db0d8d82c89&vjs=3
Data Scientist,Collector Bank,411 04 Göteborg,"Vill du arbeta på ett innovativt bolag där du får utveckla modeller för riskhantering, prissättning och lönsamhetsanalys? Har du ett stort intresse för matematisk statistik och maskininlärning? Då kan du vara vår nya kollega!
*TJÄNSTEN*Som Data Scientist arbetar du med att underhålla, validera och vidareutveckla våra modeller och infrastruktur för datahantering. Utöver att bidra till förbättring av gruppens arbetsmetoder och verktyg arbetar du också nära Collectors olika affärsområden och riskavdelning; framför allt genom modelleringsarbete inom områdena risk, lönsamhet, strategi och automatisering. I rollen ansvarar du också för implementation av modellerna i tjänster som kan länkas in i bolagets IT-infrastruktur samt validering, uppföljning och dokumentation av dem.Du kommer bli en del av vårt Data Science-team på huvudkontoret i Göteborg där vi tillsammans arbetar mot gemensamma mål och där nya idéer alltid är välkomna. Vi jobbar med samtliga produktområden vilket ger en varierad och spännande arbetsmiljö, där vi bidrar till innovation genom att visa på potentialen i ett datadrivet och vetenskapligt förhållningsätt samt den inneboende kraften i koncept från matematisk statistik. Utöver att möta det behov som övrig verksamhet har när det kommer till modeller för scoring och prognoser finns det även en uttalad ambition att bidra till bankens utveckling genom att driva initiativ startade av Data Science-teamet.Tjänsten är en tillsvidareanställning, med start enligt överenskommelse.
*VI TROR ATT DU*Som söker har en akademisk bakgrund inom ett kvantitativt ämne på masternivå med huvudinriktning mot matematisk statistik eller sannolikhetsteori (studier på doktorandnivå är meriterande). Du har intresse för datadriven modellering och problemlösning samt är bekväm med att omsätta statistisk data till insikter och modeller.Vi ser gärna att du:

har god förståelse för data och erfarenhet av statistisk modellering (erfarenhet av näringslivet och tillämpningar mot finans är meriterande),
har erfarenhet av programmering för att omsätta data och teori till praktik (erfarenhet av Python och SQL är meriterande),
har förmågan att översätta verkliga problem och affärsfrågor till statistiska termer,
uppskattar diskussion kring lösningar och har god kommunikationsförmåga,
tycker om att driva ditt eget arbete framåt på ett ansvarsfullt sätt,
verkar för att dela med dig av din spetskompetens och drivs av att lära dig nya saker.

Vidare trivs du med stort eget ansvar, är lösningsorienterad och uppskattar en ombytlig miljö som präglas av höga kvalitetskrav samt vilja till innovation.
*OM COLLECTOR BANK OCH VAD VI KAN ERBJUDA DIG*Collector är en bank som är specialiserad på finansiella tjänster för företag och privatpersoner, med särskilt fokus på små och medelstora företags behov. Vi är företagens komplement till traditionella storbanker. För företag erbjuder vi företags- och fastighetskrediter, factoringtjänster samt betallösningar för e-handel och butik. För privatpersoner erbjuder vi sparande, lån, kreditkort och faktura- och delbetalningstjänster.Collector Bank präglas av en stark entreprenörsanda och vi brinner för att förverkliga idéer – både våra egna och andras.Våra kontor finns i Stockholm, Göteborg (huvudkontor), Helsingfors och Oslo. Koncernens moderbolag Collector AB (publ) är noterat på Nasdaq Stockholm.
Som medarbetare hos oss blir du en del av vår starka företagskultur, som kan beskrivas utifrån våra värdeord Entreprenörskap, Engagemang och_ Etik. _Vi präglas av öppenhet kring nya idéer, innovation, engagerade människor som drivs av att få saker att hända, tänker stort och utmanar sig själva varje dag.Känner du att det passar in på hur du skulle vilja ha det på din arbetsplats tror vi att du kommer att trivas bra tillsammans med oss!
*INTRESSERAD?*
Urval och intervjuer sker löpande så ansök redan idag! Har du några frågor kring tjänsten är du välkommen att kontakta Timmy Przybyla på timmy.przybyla@collectorbank.se eller 073 712 07 07.Har du frågor kring rekryteringsprocessen får du gärna kontakta Jesper Östlund, Talent Acquisition Specialist på jesper.ostlund@collectorbank.se eller 073 712 05 80.
*Vi ser fram emot din ansökan!*
Location: Lilla Bommens Torg 11,411 04,Göteborg, 411 04 Göteborg
Jobbtyp: Fast",Posted2 dagar sedan,,,https://www.indeed.com/company/Collector-Bank/jobs/Data-Scientist-3b399fee97fc54d3?fccid=b8f5110442648476&vjs=3
Data scientist,Mynt,Distans in 111 20 Stockholm,"
Mynt is building next generation financial services for small businesses by offering a smart corporate credit card that helps businesses automate expense management, corporate payments and working capital financing. We're seeing explosive growth in the Swedish market and have recently raised a large funding round to continue our growth journey in Sweden and internationally.
 Mynt is a tech-first company with a product-oriented mindset and a vision to solve pain points for growing small businesses. In 2021 Mynt became a licensed e-money institution and we are therefore our own card issuer.
 Mynt is not like other workplaces. At Mynt you’ll be part creating amazing product and company, no matter your primary task. We’re looking for passionate people that enjoy a fast pace and that care about delivering value to our customers. Mynt is currently around 30 employees and looking to double our team size during the coming year to power our growth.
 Mynt is headquartered in Stockholm but we work in a flexible hybrid-remote setup. Ability to come in to our Stockholm office 2-3 days a week is a must for this role.



About the Role
 Mynt is now looking for a top performer with a strong drive and creative goal-oriented mindset to work with business data analytics. You will be expected to work closely with the CPO, leadership team, and marketing function to analyze and visualize a multitude of data, building on our existing ETL and analytics pipeline.
 You need to have a strong interest in working in a dynamic and ambitious startup environment and have strong analytical and technical skills. You should have solid experience of data analytics. Fluent English required and Swedish strongly preferred.

 As Business Data Analyst you are expected to:

Work extensively with our internal customer and marketing data to deliver sharp and actionable insight to several functions in Mynt
Work closely with senior leaders in business areas to understand the mechanics of each area
Pro-actively develop business hypotheses and be prepared to test these with data
Develop machine learning models for predictive analyses
Develop crisp visualizations and functional dashboards that summarizes large data sets

 
Qualifications:

Previous experience at least 1-3 years of data analytics
Solid understanding of SQL and visualization practices
Experience of machine learning models
Some experience of ETL / data warehouse pipelines
Bachelor's or Master's degree
Highly structured work approach
Experience working in a multinational setting
Strong communications skills and people skills
Fluency in English and preferably Swedish also 
A supportive and caring attitude towards people
Passionate attitude and interest in being part of an amazing growth journey

 
We're a fast growing company and we believe joining Mynt at this time is the perfect career opportunity - potentially the best career move you can make.
 What we can offer you:

Be part of an amazing team in fast growing scale-up
Work closely with a fun high performing team
An attractive compensation model and career path
Competitive options program
Hybrid remote environment with offices in central Stockholm (expected to work from office 2-3 days per week)
A chance to shape your own career path and responsibilities based on your passion and interest

",Posted16 dagar sedan,,,https://www.indeed.com/rc/clk?jk=f921fcb451550093&fccid=0d1f77c31139f84f&vjs=3
Data Scientist,Coop,Sverige,"



I'm interested 





Are you looking for an opportunity to make a difference with data and analytics? Then look no further - at Coop we are boldly going where no one has gone before. We are creating a new standard in the food industry as a whole. We are on a journey to innovate new ways of interacting and helping our customers through data and insights. 
Our awesome AI team is growing and we are looking for a Data Scientist to join us in our journey. Our focus is on developing machine learning solutions that help our needs in saving time, money, improving health and providing sustainable food to Coops customers and members. 
About the role
 In this position you will: 

Build advanced machine learning models that play a central role in Coop
Work with massive amounts of data: from digital to physical touchpoints, from items to recipes, from assortment to suppliers, from locations to routes, etc
Develop in a full-fledged data science environment, entirely on cloud
Work in a team of data scientists/engineers, in cross collaboration with many different parts of Coop
Be part of the whole lifecycle of a data-driven product, from framing a problem to deploying a model in production and monitor performance

Some of the tools we work with daily are Kubernetes, Azure, Spark among others.









Skills & Requirements
We encourage applications from candidates with most of the following skills:

Degree in Computer Science, Engineering or numerate subject
Thorough understanding of machine learning techniques
Hands-on experience with different types of problems, datasets and procedures
Strong programming competency in Python and Spark
Fluency in relational databases (eg. SQL, Hive)
Experience working with large datasets on cloud (eg. GCP, Azure)
Familiar with the full stack of data science technologies (eg. Kubernetes, Git, Docker, etc)
Good presentation skills and ability to communicate technical content to both peers and other domain experts

Preferred skills include:

Solid skills in a deep learning framework (eg. Pytorch, Tensorflow)
Proficiency in Spark
Ability to write production-level code and build CI pipelines
Initiative and drive to solve problems, test new technologies and contribute to the team

Welcome with your application today!



",Posted30+ dagar sedan,,,https://www.indeed.com/rc/clk?jk=408ebca583923a9c&fccid=a07329ed75b712e3&vjs=3
