job_title,company,location,job_summary,post_date,more_info,salary,job_url
Artik games // Senior Mobile Developer - Match 3,Artik Games en la ciudad de Buenos Aires -...,"Buenos Aires, Buenos Aires",Artik Games busca incorporar un Senior Mobile Developer para sumarse a un nuevo y divertido proyecto. Se requiere buena experiencia en proyectos estilo Match 3.  Esperamos tu postulacion!  Requisitos:  Experiencia en proyectos estilo Match 3. Buen manejo en Unity 3D. Deseable: Conocimiento en balanceo de dificultad.  Gracias! :) Artik Games,PostedPublicado hace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=45e1f371879f500d&fccid=dd616958bd9ddc12&vjs=3
Lead/ Senior / Semi senior Mobile Developer,Werben Capital Humano,"Parque Patricios, Buenos Aires","
Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable por:
 Ser parte del diseño de productos que impactan directamente en la vida de miles de personas a diario. Colaborar en definiciones superadoras y escalables de arquitectura para nuestros productos. Programar código de calidad, siendo guardián de que todo funcione antes implementarlo. Requisitos:
 Tener experiencia en programación orientada a objetos, objective C ( conocimientos en Android con Java, Eclipse, XML y HTTP, iOS) Ser graduado en las carreras de Ingeniería en Sistemas, Informática o afines. Tener conocimientos del idioma inglés. ( intermedio)
 Te proponemos: Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo. Que seas el protagonista de tu carrera en un ambiente de proyectos desafiantes, oportunidades, aprendizaje, crecimiento y expansión. Compartir y aprender de los profesionales y especialistas más emprendedores de América Latina. Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia.
 Location:
 Saavedra, Vicente Lopez, Parque Patricios

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=94fa79cdc3eebd00&fccid=7673def3f47be232&vjs=3
"Semi Senior/Senior Mobile Developer Microcentro, CABA",Werben Capital Humano,"Microcentro, Buenos Aires","
We are looking for a Mobile Sr Developer to join our client team!
 You ´ll Interact directly with the Client to collect application requirements.
  Participates on estimations and team commitments.  Determines the best way to implement those requirements in code and codes it.  Interacts with QA engineers to identify weaknesses in the application and to fix every bug.  Demonstrates the software behavior to the end Client after the end of each sprint.
 Qualifications:
  Bachelor’s degree in computer science, systems, software engineering or related fields (preferably).  Experience developing mobile iPhone / Android and others. Skills required:  Proven experience with native iOS or Android development  Preferably knowledge and experience with agile methodologies.
 English Level:  Intermediate
 Ofrecemos:
 Desayuno de viernes Frutas semanales Cuota mensual de gimnasio cubierta al 100% OSDE Descuento en el Centro Universitario de Idioma (CUI) Inglés (2 veces a la semana)
 Homeworking
 Capacitaciones Técnicas

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=35460c7b624c4c1c&fccid=7673def3f47be232&vjs=3
Front-End (Mobile) Developer,OZ DIGITAL CONSULTING WIZARDS,"Rosario, Santa Fe","

Join Our Team! We are looking for a Front-End Consultant who is motivated to be the nexus between theart of design with programming. Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design andtechnical implementation, taking an active role defining how the application looks as wellas how it works. You will be responsible for the complete lifecycle of the software youcreate, including architecting it, development, testing, and support. In the mentoring rolewill be responsible to teach more junior members and play an active role in addressing orhelping the team with critical issues/escalation. We’re looking for professional with thewilling to learn new technologies according with the challenges we face. You must to bethe consultant that others can count on; you are technical; you attack every problem with enthusiasm; you remove hurdles. You are a self-starter, team player, have the hunger toventure quickly into unknown areas and code and make things done.
 Responsibilities:

As an individual contributor, responsible for participating in all aspects of software development life cycle including estimating, technical design, implementation, documentation and post implementation application support. 
Ensure the technical feasibility of UI/UX designs.
Optimize application for maximum speed and scalability.
Mentoring junior members of the team, review their code, actively contribute to team standards and engage in collaborative professional culture. 
Collaborate closely with business leaders and engineering teams to enhance and extend our technology stack. 
Responsible for defining, enhancing and implementing software architecture. 
Demonstrate contagious motivation to build best-of-breed software, and advocate for best practices in UI, RESTful API integration and mobile development. 
Frequently deliver high quality code into production using continuous delivery tools and strategies 
Embrace agile methodologies and the advantages it brings to communication, flexibility, and delivering working code. 
Strong debugging, problem solving and investigative skills. 
Work closely with other developers, managers and business users to build and deliver applications.

Primary Skills:

React Native.
JavaScript.
BiOS / Android Native development.
Knowledge in C# / Java, SQL, Node Js , Realm DB

Required Skills:

2+ years of experience front-end or mobile development. 
Understanding of UI/UX design to provide intuitive applications.
Expertise in JavaScript, HTML, CSS, Angular, TypeScript, React. React Native is desirable.
Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS.
Worked on at least 2 project complete lifecycle in above mentioned stack.
Git knowledge is desirable.
Expertise building responsive web applications.
Deep understanding of object-oriented programming and design principles.
Great creative and innovative problem-solving skills.
Initiative and the ability to work independently, collaborate within a team and guide them
Good spoken and written English is required.
Understands and follows project and software development methodologies and processes, Scrum knowledge is desirable.


",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=2c4909cb35e0b74a&fccid=e1c3a0e123211052&vjs=3
Mobile App Developer,Graphical Networks,"Buenos Aires, Buenos Aires","Full-time mobile software developer with a passion for crafting fast, clean mobile apps using React.


To find out more, contact us at careers@graphicalnetworks.com or give us a call at 240-912-6223
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=4dc21561736b5ccc&fccid=45b48729fe25f03b&vjs=3
Web/mobile developer,IBM,"Buenos Aires, Buenos Aires","

Introduction
 As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!
  

Your Role and Responsibilities
 Web/mobile developer
  

Required Technical and Professional Expertise

 skills: Required: Javascript, VUE.js, Node JS.

 Preferred Technical and Professional Expertise

 Desirable: Android/IOS development; ionic 3 and Angular 4, CSS3




 About Business Unit
 IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.
 



 Your Life @ IBM
 Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.
  
 Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.
  
 It's time to define your career.
 



 About IBM
 IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.
  
 Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. 
  
 At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.
 



 Location Statement
 For additional information about location requirements, please discuss with the recruiter following submission of your application.
 



 Being You @ IBM
 IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
 
",PostedPublicado hace 4 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=abf8ace0226b50bc&fccid=de71a49b535e21cb&vjs=3
Mobile Developer,ADN Recursos Humanos,"Parque Patricios, Buenos Aires","






Ref. 12296
Mobile Developer


Seniority: Sr - Semi Sr 
     

De
scripción: 
ADN
 - 
Recursos Humanos
 estamos en la búsqueda de 
      dos 
Mobile Developer, para Importante Empresa de Servicios de IT 
     

Detalle:
 Seniority: Semi Senior / Senior
       Motivo de Incorporación: Crecimiento de la organización, nuevos proyectos
       Número de vacantes a cubrir: 2
       Nombre de la posición a la que reporta: Project Manager
       Cantidad de Gente en el Equipo: 6, duplicándose en los próximos meses
      
 Requerimientos (Conocimientos y experiencia)
       Flattern preferentemente o React Native.
      
 Formación académica: Deseable: Universitarios (en curso o finalizados)
       Nivel de Inglés: Deseable pero no excluyente
       Competencias (Soft Skills) Programación Orientada a objetos, buenas prácticas de programación.
       Autónomo en resolución de problemas. Inglés para búsqueda de contenidos e información en la red.
      
 Tareas a desarrollar / Responsabilidades: Desarrollo de aplicación móvil billetera digital. Desarrollo de componentes, integración con servicios REST, manejo de Git, generación de entregables, estimación de esfuerzo.
      

 Proyecto desde cero, tecnologías de punta, buenas prácticas de trabajo, ambiente colaborativo, grandes beneficios para el empleado
      


Lugar de Trabajo: CABA (Parque Patricios) - Buenos Aires - Argentina 
     

Lugar de residencia: preferentemente por la zona
     

Horario: Lunes a Viernes 9 a 18 hs 
     

Edad: Indistinto 
     

Sexo: Indistinto 
     

Disponibilidad para viajar: -


Idioma Inglés:
 -


Fecha de Inicio: Inmediata 
     

Modalidad: Relación de Dependencia
     

Duración: a largo plazo
     

Posiciones a cubrir
: 2
     

      Para Importante Empresa de Servicios de IT 
     

      La persona que asuma este puesto tendrá la posibilidad de desarrollarse dentro de un equipo de profesionales de alta calidad, con excelente ambiente laboral, remuneración acorde al desafío, más otros beneficios
     




Los Interesados por favor enviar CV a: 
cv@adnrh.com.ar
 - Asunto Ref. 12296




      Si usted desea tener conocimiento de todas las búsquedas laborales que realiza 
      ADN
 - 
Recursos Humanos vía correo electrónico, por favor suscríbase, enviando un mail a la casilla de correo 
      cv@adnrh.com.ar colocando en asunto
     





",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=08d262ecf6a77c75&fccid=862ffa4c783502f9&vjs=3
.NET Dev,CLARIKA,Desde casa,"





Remote









About Clarika
 Want to join us? We are dedicated to software development, IT consulting, website development, and digital transformation. We offer highly qualified tech teams experienced in delivering quality software using Agile SCRUM techniques. At Clarika, we are experts creating software solutions through a diverse set of technologies and frameworks delivering as expected using agile SCRUM methodologies.
 Our company has been inspired Fortune 500 as well as startup clients for more than 13 years, exceeding their expectations and challenging the limits of what is possible. We are committed to quality development, on-time delivery, and constant innovation.

 About the Position
 We are looking for .NET Semi Senior Developers with a strong profile in developing, designing and producing. Someone capable of maintaining the quality standards required by the company and adapting to internal processes.

 About the Project
 It is a tool that allows customers to select a board with certain characteristics, upload a list of cuts, and find the most optimal way to distribute the pieces, thus obtaining the minimum number of boards to buy. It also has certain integration mechanisms with external systems, such as the mobile APP and e-commerce. Allowing external systems to obtain the result of the optimization and enter them into the shopping carts for these services.



Required Knowledge

3+ years of experience developing .net framework related technologies.
 Passion to learn, discover and stay at the forefront of technology and new platforms.
 Knowledge of requirements management tools and development environments.
 Web services.
 Service / object oriented applications.
 Knowledge of agile methodologies.
 Notions of architecture.
 Knowledge of analysis methodologies.
 Versioning control tools.



Technical Requirements

Net Core
 Material Design
 Sql Server
 Azure









Our Benefits






Health & Wellness



First level health insurance plan
Breakfast and fresh fruits every day
Gym discounts
Healthy eating workshop
Annual first aid workshop
Vaccination Campaign
Outdoor working spaces
Flex time








Leisure & Entertainment



Team futbol matches
After office
Quarterly events
Discounts gift cards, like Club La Voz 
End of the year “Clarika Fest”
Birthdays and aniversaries celebrations
Special Dates celebrations








Training



Pluralsight
Udemy
Tech Talks
Code Monkey
Certifications
English Classes










Our values






Wow Experience
You will fall in love with our products and services. Your satisfaction comes first.






Impossible is Nothing
We always give our best.






Make the Difference
With constant innovation and creativity.






Be Honest
We communicate sincerely and with respect






Be Clarika
We all feel part of a team, we work collaboratively and positively.







",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=d60714ea1ff1e678&fccid=e962af4569c51cda&vjs=3
iOS Developer,TheFork,"Buenos Aires, Buenos Aires","

TheFork (formerly Restorando), part of TripAdvisor Media Group since May 2014, is the leading European and LATAM restaurant booking platform with presence in 20 markets, more than 80,000 restaurants. Our vision is to become the #1 restaurant app for diners.
 We are looking for Software Engineers ready to change an industry and join our Engineering Team in Buenos Aires. We have many challenges that need to be solved with highly performant solutions, addressing beautiful interfaces without being troubled by the scalability of the platform itself. Our stack is mostly in Node both on the backend and frontend, and we work with React for our interfaces and GraphQL as API. Our Mobile Apps are made with Swift and Kotlin. Our engineers take great pride in their code, and pay close attention to the pull requests you will submit.
 Requirements

Passionate about software development.
Experience working on iOS development (2 years minimum).
Experience working with Swift & Objective-C
Experience consuming REST APIs and GraphQL APIs.
Ability to think of the customer and the business in order to solve problems and get stuff done.
Familiarity with iOS design principles, patterns, and best practices.
Applies progressive enhancement philosophy.
Proficient English level

Nice to have

Ability to make independent decisions based on product requirements.
Testing skills (Unit tests, integration tests. Knowledge in testing frameworks such as Quick, Nimble)
Ability to manage complexity in a large project, and incur technical debt only after considering the tradeoffs.
Ping Pong skills :)

Benefits

Chance to make an enormous impact in a rapidly growing Tech Company
TripAdvisor stocks
3 weeks vacation
OSDE Medical Coverage
15% discount on Viator(offers tickets for tours and activities)
LinkedIn Learning (Full access to the E-learning Platform)
Hertz’s Gold Plus Reward membership
Office Food(coffee, milk, cookies, cereal, etc)*
Happy fridayson the office*
Fun times: Team buildings and day out to have fun with your team
Lifestyle benefit 400€ or equivalent a year
Flexible working policy for 2022 with allowance
Life and long term disability insurance
Parental leave 30 days (only in countries such as ARG, IT, SE, BE, UK, AU, DK, CH, PT, AT as other countries already have more than 30d
Employee assistance plan & worklife (Optum)
Calm app access
Meal Vouchers
Paid Time Off



 #LI-AK1

",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=b369210dba397c9e&fccid=32cf9ccb73c26bb7&vjs=3
Mobile Developer - EY Global Delivery Services,EY,"Capital Federal, Buenos Aires","
You will be a critical member of a small, agile development team building new applications to support a large group of internal practitioners and external clients working globally. You will not be restricted to learning and using only one technology, but instead determining the best tool for the given product or solution. Currently, we are building Mobile apps using both Xamarin and React Native utilizing Microsoft .NET and Azure, Web-based solutions using React JS, Virtual and Augmented Reality solutions using Microsoft HoloLens, Oculus and Windows Mixed Reality headsets, as well as creating unmanned, autonomous Drone applications.

 Responsibilities, Qualifications, Certifications - External
 This position involves the following responsibilities

 Hands-on code contribution and delivery
 Working with the product and design teams to understand end-user requirements and user stories, then translating that into an effective technical approach
 Developing and testing your mobile application code, leveraging a sprint based, Agile methodology
 Integrate with existing backend services and possibly creating new services to support mobile applications
 Working closely with QA members on the team to ensure the code you develop meets acceptance criteria, including doing rework where necessary
 Coordinate and work closely with other products and teams to execute solutions
 Participating in brainstorming sessions and having the chance to contribute innovative and original ideas to our technology and products


 Experience

 5 years’ experience in software development/Software Development Life Cycle (SDLC), computer programming, software development, software engineering.
 2 years’ experience in React JS and/or React Native development


 Skills and Requirements

 Proven track record of developing visually appealing web and mobile solutions utilizing React JS and React Native
 Expertise in client-side scripting and JavaScript frameworks, specifically React JS and/or Angular
 Expertise in web markup, including HTML and CSS
 Experience transitioning existing React JS web apps to React Native mobile apps
 Understanding of RESTful APIs with JSON
 Understanding of C#, .NET Framework
 Experience with Microsoft Azure is a plus
 Experience building Microsoft Teams applications is a plus
 Experience with source control and Agile tools, preferably git, and Azure DevOps
 Experience and demonstrable knowledge of Agile, Scrum, and/or Kanban methodologies

 Education
 Degree - Bachelor’s Degree in Computer Science or related field
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=9fc7ea28e5898232&fccid=1544766d4c2915b0&vjs=3
