job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile Flutter Developer,BG Recruitment,Remote in Sydney NSW,"

Fully remote
 $220k base + super + equity
 Leader in the travel space


Fully remote
$220k base + super + equity
Leader in the travel space
Flutter / .NET / Azure
Keen to work on the latest and greatest Flutter application to hit Australia?
 
 A new travel platform on the block is seeking a talented Flutter Developer to join their growing team of experienced devs, working on a greenfield project that will change the lives of future Aussies operate for generations to come!
 
 They are looking for Flutter Developers who would love to get their hands dirty on the latest and greatest! There will be positions for senior level developers paying up to $220k base.
 
 If you are interested in this opportunity and keen to progress, please apply and I will get back to you ASAP.
 
 Any referrals are welcomed - successful placements from referrals come with up to a $1000 reward.
  3239059
",Posted1 day ago,"Up to $220,000 a yearCasual","Up to $220,000 a year",https://www.indeed.com/rc/clk?jk=b6e5ad66b5e90435&fccid=4bbe933d7f9e0c82&vjs=3
Mobile Developer,Inlight,Remote in Melbourne VIC,"


Excellent team & company culture,
Chance to work on challenging & impactful projects for clients like Nando’s, Linfox, ahm, Chadstone, Movember, and more…
Plenty of ownership of projects,
Growth & learning focussed environment with clear progression pathways and support,
Lots of exciting work lined up,
Flexible working within a supportive & friendly team,
Join us in our brand new office in Clifton Hill, purpose built with hybrid work being central to its design.



 Inlight is a 
   digital services business leveraging strategy, design and technology to solve complex and intriguing business challenges. We are passionate about working in partnership with our clients, helping them leverage digital to enhance their business, deliver real outcomes and co-create exciting, product led growth journeys.
  


 Our teaming structure means you will collaborate closely across a range of other disciplines. You’ll join forces with a team of 
   #goodhumans including designers, developers and strategists where you’ll hone your skills and discover the personal and professional growth to take your career to the next level.
  


 You’ll be driven by interesting work and collective success, working with smart people and pushing the boundaries of what our clients need and what technology can deliver. At Inlight we believe that people, not technology, produce the best outcome. This is a great opportunity to join a passionate, proactive and creative team who can bring our vision to life.
  


 The role



 We’re looking for an experienced 
   mobile developer to be involved in building exciting and complex digital products from conception through to delivery and work collaboratively with a talented team of developers.
  

    You’ll produce well structured-code that is valid, tested and of a high production standard and provide technical input to help guide our team and build trust and credibility with our clients. On a typical day, you’ll be driving your own work forward and work closely with our producers on technical planning and decisions, reviewing PRs and assisting other devs with technical questions and bug fixes. You should be able to contribute to new and innovative solutions whilst staying up to date with new technologies by experimenting, learning and improving.
  


 We work with a number of different technologies to suit the individual challenges faced by our clients.
  


 On the front-end, we favor React and NextJS, using both Javascript and Typescript. On the back-end, we enjoy using everything from serverless architecture to serving REST and GraphQL. APIs using NodeJS, to hosted CMS solutions using Craft CMS, MySQL, Docker and Lightsail.
  


 We use React Native for app development, as well as Swift and Java for hardware-specific solutions.
  


 Inlight utilises AWS products and infrastructure. We value experience with AWS, including Elastic Beanstalk, Cloudfront RDS, DynamoDB, and Lambda, as well as experience using Terraform, CDK and Serverless.
  

    Inlight is a Vercel partner, and any experience using Vercel or NextJS will be highly beneficial.
  


 Any further experience with caching, logging, monitoring, testing, deployment, or any other areas is a bonus. We understand we’re all on individual journeys so you may not have all the skills. That’s ok - we are always learning, and we hope that you are too.
  



You're someone who 


Is comfortable around both IOS and Android environments and has experience using the React Native framework,
 Has experience with a variety of front-end and back-end coding languages, development frameworks and third-party libraries,
 Has experience of working with agile methodologies and tools,Has a Computer Science qualification or equivalent experience,
 Has provided technical leadership across projects and have first-hand experience crafting end-to-end solutions and designing complex backend systems,
 Applies reasoned logic when solving problems,
 Is pragmatic and looks at ways to make things easier,
 Follows curiosity to challenge how things are done and can work through problems,
 Is a team player and enjoys collaborating and sharing ideas and knowledge with your peers,
 Can develop empathy when considering different perspectives,
 Can confidently contribute to technical discussions with the team and clients,
 Invests in learning and enjoys experimenting with new tools and technologies. 






A few more benefits


 The ability to have a broad and significant impact in a growing and proudly independent business, 
Work on complex and interesting projects that create genuine value for the people who use them,
 You'll get your own MacBook and will be surrounded by all the modern and latest tech, 
Work with a great combination of technologies (React, React Native, iOS: Swift, Android: Java, CraftCMS, Node and AWS,
 Our team’s learning is important to us. You will get access to a $1000 annual learning fund, 
Since we are a remote friendly workplace, we offer a $1000-WFH stipend to spend on your home set up,
 A wellbeing day to help support mental health,
 A supportive parental leave policy.






Our values



 Our values articulate our culture. They describe what is meaningful to us, make clear our standards and expected behaviours, help us guide our decisions and solutions and help us navigate new challenges. Individually and collectively, we;
  


 Care and support each other
  

    Always learn, always improve
  

    Show curiosity with purpose
  

    Challenge well
  

    Commit to impact
  

    Take responsibility
  


 Diversity in all forms is embraced and encouraged in our team. We are an equal opportunity employer and believe that we are all the better for inviting different perspectives into the thinking, designing, and building of our work. We also think it makes for a more interesting place to work!
  


 We care about each other and in providing an environment where everyone feels welcome and is free to contribute ideas, have an impact and to build a career that they’re excited by.
  


 Ready to join the Inlight team?



 If you like the sound of this and you’d love to join our team, apply via the link. Don’t forget to link any work in your resume you may want to share. For further enquiries, feel free to reach out to Malou (Talent) at careers@inlight.com.au
  

",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=9a22fcc7868332fc&fccid=1dba294ed9d9ceef&vjs=3
Associate Developer - Mobile,REA Group,Hybrid remote in Melbourne VIC,"

  We're REA
 

   An Australian start-up success story we're quietly proud of.
 


   From a garage in Melbourne to the global stage is an achievement we're humbled by. Our idea to put pictures of houses on the internet has blossomed since 1995, and we now have businesses across Australia, India and North America.
 


   Our purpose is to change the way the world experiences property. No matter where you're at on your property journey, we're here to help on every step - whether that's buying, selling, renting or renovating.
 


   Some of our brands include realestate.com.au, realcommercial.com.au, Flatmates.com.au, Proptrack.com, Smartline.com.au and Mortgage Choice.
 


   We’re proud to have been named one of Australia’s Best Workplaces for 2021. This recognition is a great proof point of our unique and special culture. A culture that is driven by our people, our values, and our commitment to making a difference in the community.
 


   What we’re doing
 

   This role sits within Consumer Journeys, Property Owner. The Property Owner team has end-to-end responsibility for the delivery of new features specific to ‘My Property’ section on the realestate.com.au website and app used by millions of Australians every year. Our job. The team’s purpose is to discover and prioritise the things that enable and assist consumers on their buying and selling journey beyond the traditional property purchase and sale events REA is so well known for.
 


   What the role is all about:
 




     Working across our modern mobile apps, specifically in the property owner section of realestate.com.au, doing cool stuff with Android & Kotlin
   


     Working in a highly supportive environment that values every single persons input and opinion
   


     Contributing to the overall technical solution design and product direction
   


     Working in agile teams, where we value experimentation and data driven decisions
   


     Utilising modern software development techniques such as CI/CD and test driven development
   


     You build it, you run it. We are responsible for delivery into production
   


     Work with reactive programming paradigm.
   


 Who we’re looking for
 


   But we don’t just look for someone based on their skills and expertise. It’s our connection, acceptance and genuine care for each other that makes REA a great place to work. That means you also need to be:
 



 You love Android development (or desperately want to be an Android dev !), but with an open mind to working on iOS apps from time to time if the need arises
   


     Knowledge of software design patterns and best practices for software development
   


     Active contribution in technical decision-making process – we love hearing from every single person in the squad !
   


     Work productively in a fast paced and agile environment
   


     Happy to ask questions and challenge the status quo
   


     An existing investment and ongoing commitment in your own learning and/or career change pathway (Hackathons, Short Courses and other Self-learning)
   


     A growth mindset - it's not about what you know but how you learn
   


     A focus on collaboration, communication and alignment with the REA values (see link for more info) - 
    
     https://www.rea-group.com/careers/rea-culture/our-values/
    



 The REA experience
 

   The physical, mental, emotional and financial health of our people is something we’ll never stop caring about. This is a place to learn and grow. We’re committed to your development – both professionally and personally. Your experience with us is something we take seriously.
 

 We offer:
 



     A flexible working environment, meaning we strike the balance of what you need and what works for the business (and yes, our leaders fully understand the benefits of working flexibly)
   


     A hybrid approach to the future of work - 
    
     https://rea.to/hybrid-working
    



     Generous and flexible parental leave offering for primary and secondary carers
   


     Summer Fridays – time back to focus on your wellness every Friday afternoon from December through to March
   


     Support for your mental and physical health and wellbeing via our ‘You Matter’ Program
   


     Because We Care program which includes volunteer leave and community grants, to ensure you have the opportunity to give back to your community
   


     Hack Days for you to bring so you can bring your big ideas to life in a supportive learning environment
   


     An additional day of leave just for your birthday
   



   Oh, and by the way:
 

   At REA we value diversity and inclusion in all forms. Gender, religion, ethnicity, LBTGIQ+, neurodiversity and so much more. Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women and other marginalized folks tend to only apply when they check every box. So if you've got the must-haves, dedication and enthusiasm to learn but don't necessarily meet every single point on the job description, please still get in touch. We'd love to have a chat and see if you could be a great fit.
 


   If you like the sound of us, then we think you should apply today. We're proud to be Circle Back Initiative Employer and we commit to respond to every applicant. While we're looking at your application, and preparing to come back to you with an update, why not get to know us a bit more through our various social channels?
 
",Posted16 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f233a2b15f4437d9&fccid=236ee7177bdb2ebe&vjs=3
Senior Mobile Developer,Opus Recruitment Solutions,Remote in Sydney NSW,"
 My client has multiple 12 month contracts available for Mid and Senior iOS and Android Developers! 
 
 This is your chance to join a huge leader in the finance industry and work on a digital transformation projects that spans to over 5 million customers! You will be part of a team that is designing and delivering innovative solutions to improve customer financial well-being and convenience. 
 
 You'll be working alongside design and delivery teams as well as business consultants to sure apps are user friendly and utilise the latest technologies. This includes 2D & 3D animation as well as interactive content and video streaming. You'll be working in an Agile environment and deliver end to end services for your customers. 
 
 About you: 
 


Minimum 4 years in either Android (Kotlin & Java) OR iOS (Swift & Objective C) 
Comfortable with Git and Unit Testing 
Android developers: Android Studio, Kotlin Coroutines, RxJava / RxKotlin 
iOS Developers: XCode, UI Kit and Combine or RxSwift 
Self sufficient and passionate about your code! 

 The work can be fully remote and they are paying $800 to $1100 per day dependent on experience and seniority. You must be based in Australia with full working rights. 
 
 Press 'apply' now or email your CV to maisy.staden@opusrs.com.au and I'll be in touch!
",Posted3 days ago,"$800 - $1,100 a dayContract +1","$800 - $1,100 a day",https://www.indeed.com/rc/clk?jk=69a0d4d8995e8f08&fccid=587a90c72514ac83&vjs=3
Mobile Application Developer Intern,OXO Solutions,Brisbane QLD 4000,"


Job Description


We are looking for a qualified Mobile developer to join our Engineering team. You will be working with our engineers to develop and maintain high quality mobile applications.
If you’re passionate about mobile platforms and translating code into user-friendly apps, we would like to meet you. As a Mobile developer, you’ll collaborate with internal teams to develop functional mobile applications, while working in a fast-paced environment.
Ultimately, you should be able to design and build the next generation of our mobile applications.


Skills

Android Java Application Development QA HTML5 AJAX JavaScript jQuery SDK 


Responsibilities 







         Acting as lead iOS and/ or Android developer. Depending on the skills set can be lead on one platform and play a supporting role across the other
        





          Working closely with another mobile app developer leading the other platform development
        





          Deliver across the entire app life cycle –concept, design, build, deploy, test, release to app stores and support
        





          Working directly with developers and product managers to conceptualise, build, test and realise products
        





          Gather requirements around functionality and translate those requirements into elegant functional solutions
        





          Build prototypes at tech scoping stage of projects
        





          Working along the web developers to create and maintain a robust framework to support the apps
        





          Working with the front end developers to build the interface with focus on usability features
        





          Create compelling device specific user interfaces and experiences
        





          Standardising the platform and in some cases apps to deliver across multiple brands with minimal duplication of effort
        





          Optimising performance for the apps
        





          Keep up to date on the latest industry trends in the mobile technologies
        





          Explain technologies and solutions to technical and non-technical stakeholders
        





          Attend industry events/ conference – both attending and presenting
        








Job Summary





Offered Salary

       4000
      







Career Level

       Internship
      







Experience

       3 year 
      







Qualification

       BCA B.Tech(Computer Science and Engineering) MCA M.Tech (CSE/IT/ECE/ME)
      






",Posted30+ days ago,"$4,000 a monthInternship","$4,000 a month",https://www.indeed.com/rc/clk?jk=50991af0a068f9ef&fccid=72608fee1e921f8c&vjs=3
Front End Developer,Salt Recruitment,Remote in Melbourne VIC,"
Front-end Developer 
Melbourne
 $100,000 – $140,000

This organisation are an institution in the Australian financial services space they’re at the very forefront of digital innovation and technology.

They are continually improving and evolving all of their digital touchpoints (Web and Mobile) and as such are looking for a Front-end Developer to strengthen their team.

This team is made up of UX designers, Researchers, BA’s, Product Owners and Developers. They are continually iterating designs for new features and pages based on real user data.

As a FE Developer, you will build and implement new experiences using Adobe Target, HTML, CSS and Javascript.

What we are looking for:


Coding skills using HTML, CSS and Javascript 
You will have the opportunity of being upskilled, learning tools such as Adobe Target along with Adobe Experience Manager.
An understanding of the testing process.
Strong knowledge of the development cycle and accessibility standards.

Company Benefits:


Option to work remotely 2-3 days per week
Monthly socials

What’s on offer


The opportunity to upskill and learn new technologies such as Adobe Target and AEM
Opportunity to shape the online experience for one of Australia’s widely used platforms
A collaborative and skilled team environment
Great atmosphere and inclusive, fun work culture
Mentorship with key members of the team
Flexible hours and work from home options

Salt is acting as an Employment Agency in relation to this vacancy.


Job Information


     Job Reference: JO-2208-258442
   

     Salary: AU$105000.00 - AU$140000.00 per annum
   

     Salary per: annum
   

     Job Duration: 
   

    Job Start Date: 5/09/2022
   

     Job Industries: Technology
   

     Job Locations: Melbourne
   

     Job Types: Permanent
   

     Job Skills: developer jobs, frontend Developer, web developer
   


",Posted12 days ago,"$105,000 - $140,000 a yearPermanentFlexible hours","$105,000 - $140,000 a year",https://www.indeed.com/rc/clk?jk=1150a0942049261f&fccid=d35f6b081e467c24&vjs=3
Mobile Developer,Teletrac Navman,Remote in Melbourne VIC,"
As a member of our global R&D team, you will be based in Camberwell, Melbourne. You will have the opportunity to write code for products used by thousands of customers globally and help them move their business forward with real-time data.
Develop, enhance and maintain Teletrac Navman software solutions and be involved in all stages of an Agile team-based software development process including:

Breaking down requirements for new products and collaborating with Products when some clarification is required.
Producing high-quality technical designs and specifications.
Producing high-quality maintainable software.
Developing efficiently and accurately to specification.
Ensuring clear technical documentation is completed.
Locating and resolving customer issues with existing software and systems in conjunction with appropriate support teams.

WHAT'S IN IT FOR YOU
You will enjoy:



12 weeks of paid parental leave for the primary carer and 4 weeks for the secondary carer.
Development opportunities with 1:1 mentoring, online courses, product training, Lunch ‘n’ learn, and so much more.
Flexible start and finish times and work-from-home options.
Community impact. Volunteering and fundraising activities.
Networking opportunities. Inclusion & Diversity Employee Group and dynamic social communities.
Employee Assistance Program (EAP), health insurance, and other wellness initiatives.

If you like to have the flexibility to bring ideas and test new tools, join our culture of continuous improvement and help our customers keep the world moving.

 .
At Teletrac Navman, we believe in your potential to make an impact. And we believe in giving you the opportunity, accountability, and visibility to do just that.

At least 5 years of experience in Android development using Kotlin and Java. 
Experience with Flutter is a bonus.
Degree in Computer Science, Information Systems, Software Engineering, or another related technical discipline, OR equivalent experience.
Strong understanding of Android Architecture Components and design patterns.
Demonstrated ability to deliver high-quality applications to Google Play Store.
Good knowledge of test automation framework and continuous integration.
Knowledge in the location services, GIS, or geospatial industries would be an advantage but not essential. 
Worked in an agile development environment.

All applicants for this position must be authorized to work full-time in Australia.
 Teletrac Navman manages more than 500,000 vehicles and assets for more than 40,000 companies around the world. With headquarters in Orange County, CA, we have an international presence with additional offices in the United States, United Kingdom, ANZ and Mexico. Check our website for more info at www.teletracnavman.com
 Vontier is a $3B global industrial technology company focused on smarter transportation and mobility. Our six operating companies—Gilbarco Veeder-Root, Global Traffic Technologies, Teletrac Navman, Matco Tools, Hennessy Industries, and DRB Systems—are united by a powerful purpose: mobilizing the future to create a better world. Our portfolio of trusted brands includes market-leading expertise in mobility technologies, retail and commercial fueling, fleet management, telematics, vehicle diagnostics and repair, and smart cities. Vontier’s pioneering solutions advance safety, security, efficiency, and sustainability worldwide.  Energized by our shared purpose and values, we have a strong culture shaped by a deep organization-wide commitment to inclusion, diversity, and equity (ID&E) and environmental, social, and governance (ESG). Eight vibrant global employee resource groups serve as powerful focal points for connection, community, and advocacy, and we actively support community causes through Vontier Cares. We offer flexible remote and in-person, open-space work options.
",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=390003d18df27704&fccid=77a8367739fc1e95&vjs=3
Graduate Mobile Developer,Sniip,South Brisbane QLD,"

  We’re a Brisbane-based ‘fintech’ (financial technology) company, more specifically in bill payments or ‘billtech’ as we like to call it. 
  We were established in 2013 and our founder remains at the helm.


   We’ve grown our Sniip family to 14 people of predominantly tech/ developers at this stage. Our office is an open plan, warehouse style space above the bustling Fish Lane in the trendiest part of South Brisbane.
 

 Sniip invests in its people through training and an enhanced working environment, nurturing a creative and inclusive culture. Sniip is an equal opportunity employer that advocates the principle that a company is only as strong as its people.
 Sniip opens its doors to those that want to be proud both of the place where they work and the work that they do.


 Overview
 Working as a member of the agile delivery team to develop new features and automation tests for our mobile applications
 Provide ad-hoc production support for either the native iOS application or Android application.
 Attend, contribute and provide updates in standard agile meetings; elaboration, estimation, daily stand-up, retrospective
 Contribute ideas and provide feedback on the continuous improvement of the solution and technology roadmap.
 Qualifications
 Recent graduate with GPA 6+ in a Science, Technology, Engineering or Mathematics degree.
 Skills & Experience
 Passion about mobile application development.
 Self-motivated with a ‘can do’ attitude.
 Well organised, diligent and has high quality standards.
 Has strong understanding of programming principles.
 Excited about working in a fast growing, professional start-up environment.
 Keen to learn Agile development practices (Scrum and Kanban).
 High coding standards with a strong emphasis on testing.
 Desirable Technical Skills and experience
 Experience in developing personal or commercial projects in Android (Java/Kotlin) using native Android frameworks (Jetpack Compose/Android Navigation Library/View Binding)
 Experience using terminal/command line commands
 CircleCI or other continuous development/integration tools
 What’s in it for you?
 Sniip invests in its people through training and an enhanced working environment, nurturing a creative and inclusive culture. Sniip is an equal opportunity employer that advocates the principle that a company is only as strong as its people.
 Sniip opens its doors to those that want to be proud both of the place where they work and the work that they do.
 Our office is an open plan, warehouse style space above the bustling Fish Lane in the trendiest part of South Brisbane.
 There’s a beautiful yoga studio and a fun Escape Room below our space and some of Brisbane’s best entertainment, restaurants and cafes at your fingertips (hi QPAC, Chu the Phat, Lune, Southside, Kiki and Julius).
 Every public transport option is available – the South Brisbane Train Station on Grey St (200m) and the Cultural Centre Bus Station (250m) on the doorstep of our centrally-located office.
 Sniip HQ features end-of-trip facilities (bicycle parking and showers) along with a genuinely collaborative and friendly culture (pool table and ping pong included!). The office features a kitchen stocked with tea, coffee (almond and oat milk too)! We have regular team events, monthly Friday Forums, fun activities and celebrations.
 We hope you want to join us on this adventure of a lifetime!


   please email a copy of your Cover Letter and Resume to work@sniip.com.
 
",Posted30+ days ago,Graduate,,https://www.indeed.com/rc/clk?jk=2230cdd1230e847e&fccid=5aec5d83d8d9d6a2&vjs=3
Front-end Developer,UNDUIT WIRELESS,Lah VIC,"

Meet Unduit Wireless
 Do you get bored at your job easily? Do you feel you have the drive to make a change around you? Can you wear multiple hats? Do you have what it takes to grow rapidly in a company? If you have answered yes to any of these questions then Unduit Wireless is the right company for you. Located at 1871 in Merchandise Mart and in an environment that will get you pumped for action (www.1871.com). For more information on our company, visit www.unduit.com/jobs  Unduit Wireless is an NPaaS (Networked Platform as a Service) and provides value added services to partners on the network for quality repairs for both B2B and B2C clients. 


Office Location: Daftarkhawan Gulberg-3, Lahore
 Office Timings: 9:00 AM to 5:00 PM

 Role Overview Front-End Developer
 We are looking for an ambitious and self-driven Front-end Developer to join our team. As a Front-end Developer, you will be responsible for implementing visual elements that users see and interact within a web application, which makes your role very crucial for us.
 Your role is to:

Use a variety of programming languages in order to create user-friendly web pages
Maintain and improve company website
Work in multidisciplinary team with other professionals such as back-end developers and web designers
Build high-quality mockups and design different prototypes
Provide high-quality graphics and visual elements
Optimize our web applications for maximum speed
Design mobile-based features
Always stay consistent with our brand guidelines
Make suggestions for better solutions to problems
Keep abreast of latest and emerging technologies

About you:

Experienced as a Front-end Developer
Experience with JavaScript, CSS and jQuery
Experience with Angular
Excellent knowledge of browser troubleshooting and debugging practices and techniques
Knowledge of some SEO principles
Knowledge of graphics software such as Adobe Suite, Photoshop etc.

About us:
 At Unduit we value leadership, team spirit, and motivation for work. We are always in search of rough diamonds, who possess talent and need a platform to hone their skills and make valuable contributions. We believe in high performance culture where learning starts from day one, you have the ability to work on projects right when you start and grow exponentially.


",Posted9 days ago,,,https://www.indeed.com/rc/clk?jk=031b6fd677aa2754&fccid=15463b728208ec96&vjs=3
Lead Developer - Mobile,REA Group,Hybrid remote in Melbourne VIC,"

The safety and wellbeing of our employees and potential employees are important to us. Our external candidates will interview via Zoom. Not only do we wish to protect the health and safety of our people, we want to assure candidates that there is no expectation from REA to meet face-to-face. A virtual interview will not adversely impact your application. If you have any questions or concerns, this can be discussed through the screening process.



   We're REA
 

   An Australian start-up success story we're quietly proud of.
 


   Our purpose is to change the way the world experiences property. No matter where you're at on your property journey, we're here to help on every step - whether that's buying, selling, renting or renovating.
 


   Some of our brands include realestate.com.au, realcommercial.com.au, spacely.com.au, Flatmates.com.au, Proptrack.com, Smartline.com.au and Mortgage Choice.
 


   We’re proud to have been named one of Australia’s Best Workplaces for 2021. This recognition is a great proof point of our unique and special culture. A culture that is driven by our people, our values, and our commitment to making a difference in the community.
 


   What we’re doing
 

   As a Lead Developer you will be responsible for designing, implementing and maintaining our products in a collaborative team environment. You will collaborate with Product Managers and Designers to understand requirements and develop solutions that meet the needs of our users. You will liaise with Tech Leads and Architects to ensure your solution is in line with our technical vision. You will lead the engineering team in the implementation of solutions using a variety of programming languages, databases and cloud technologies. You will champion agile software development practices such as test-driven development, continuous delivery and pair programming and take overall responsibility for the technical quality of the solution. You will liaise with Systems Engineers to deploy your solutions to production environments and monitor its performance. You will use your skills and experience to mentor more junior team members.
 

   The Lead Developer supports the mobile team in the following ways:
 



     Designing, coding, testing and deploying new full stack software products using a variety of technologies and platforms.
   


     Maintaining existing products, including bug fixes and “Business As Usual” feature enhancements.
   


     Supporting production systems.
   


     Working with stakeholders to design high quality solutions that meet the needs of our users.
   


     Leading the implementation of major products.
   


     Providing technical team leadership for a team of highly capable engineers
   


     Providing technical mentoring and guidance to less experienced members of the team
   


     Taking on people management and career coaching of direct reports
   



   Who we’re looking for
 



     Expert skills one or more of our native mobile programming languages –- Swift / Kotlin
   


     Some experience in Scala and/or Java would be an advantage.
   


     Expert skills in modern software development techniques such as functional programming, object orientated programming, test driven development and continuous delivery.
   


     Advanced skills in implementing solutions that scale and perform for millions of users.
   


     Able to communicate and collaborate effectively with business stakeholders.
   


     Able to lead engineering teams in a collaborative team environment.
   


     8+ years of experience working in software development.
   


     Tertiary qualification in Computer Science or similar highly desirable.
   


     Looks at tricky situations through a solutions-focused lens.
   


     Work productively in a fast paced and agile environment - 
    
     #gsd
     (urban dictionary will help on this one!)
   



   But we don’t just look for someone based on their skills and expertise. It’s our connection, acceptance and genuine care for each other that makes REA a great place to work. That means you also need to be:
 



     Savvy minded and have curiosity to think a little left of field / outside the box
   


     A strong and creative communicator
   


     Friendly, approachable and have good relationship management skills
   


     An avid contributor to our inclusive culture - we celebrate different perspectives and all play an active role in creating a sense of belonging
   



   The REA experience
 

   The physical, mental, emotional and financial health of our people is something we’ll never stop caring about. This is a place to learn and grow. We’re committed to your development – both professionally and personally. Your experience with us is something we take seriously.
 

 We offer:
 



     A flexible working environment, meaning we strike the balance of what you need and what works for the business (and yes, our leaders fully understand the benefits of working flexibly)
   


     A hybrid approach to the future of work - 
    
     https://www.rea-group.com/about-us/news-and-insights/blog/rea-groups-evolution-of-hybrid-working/
    



     Generous and flexible parental leave offering for primary and secondary carers
   


     Summer Fridays – time back to focus on your wellness every Friday afternoon from December through to March
   


     Support for your mental and physical health and wellbeing via our ‘You Matter’ Program
   


     Because We Care program which includes volunteer leave and community grants, to ensure you have the opportunity to give back to your community
   


     Hack Days for you to bring so you can bring your big ideas to life in a supportive learning environment
   


     An additional day of leave just for your birthday
   



   Oh, and by the way:
 

   At REA we value diversity and inclusion in all forms. Gender, religion, ethnicity, LBTGIQ+, neurodiversity and so much more. Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women and other marginalized folks tend to only apply when they check every box. So if you've got the must-haves, dedication and enthusiasm to learn but don't necessarily meet every single point on the job description, please still get in touch. We'd love to have a chat and see if you could be a great fit.
 


   If you like the sound of us, then we think you should apply today. We're proud to be Circle Back Initiative Employer and we commit to respond to every applicant. While we're looking at your application, and preparing to come back to you with an update, why not get to know us a bit more through our various social channels?
 
",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b005a53c013d990d&fccid=236ee7177bdb2ebe&vjs=3
