job_title,company,location,job_summary,post_date,more_info,salary,job_url
Senior Mobile App Developer (f/m/x),AURENA GmbH,"Homeoffice in Leoben, ST","




Leoben or fully remote


 






We are the creators of AURENA, the fastest growing auction platform in central Europe with more than 130,000 corporate and private bidders. Our mission is to build the best auction experience in the digital world and to deliver thrill and excitement to our users. We are a scaleup business, already the market leader in Austria, and now expanding in Europe.

 Join our dedicated team – let’s build to thrill together.






Your opportunity 






     We are looking for a highly experienced Mobile App Developer responsible for developing and improving our cross-platform native apps for iOS and Android. Your primary focus will be actively participating in architecture and technical design decisions and developing new applications from scratch.
    





Your area of responsibility 






Develop cross-platform native apps for iOS and Android
Focus on high reliability, offline functionality and resilience to patchy network coverage
Implement resilient server-client communication applying adequate techniques of data synchronization
Implement real-time client-server communication
Lead the decision process for or against frameworks, UI kits, 3rd party libraries, unit testing libraries and toolchains
Write and maintain the offline documentation for code and architectural design; share knowledge with team members
Contribute to automated test suites, configuration and scripts for CI/CD together with our DevOps Engineers






What makes you the right candidate? 






A minimum of 5 years of experience in the development of cross-platform native apps for iOS and Android
Profound knowledge in Kotlin, Swift and Objective-C
Experience with bindings from hybrid to native code
Preferably experience in using the Ionic framework
Experience with async IO via Web Sockets and REST APIs and alternatives like GraphQL, Avro, MQTT
Full understanding of cross-platform application testing, from Unit to E2E
Experience in project publishing and release toolchains of iOS and Android (Testflight, App Store Connect, Google Play)
Portfolio of released apps (iOS/Android) or open-source contributions
Committed personality with good English skills, no German skills required
Eager to learn and enjoying a self-responsible way of working
EU citizen or valid work permit for the EU






Summary 








Location 


        In-office: Leoben (Austria)
         Remote: Full or partial remote work possible (European time zones only) 
       




Type 


        Fulltime, permanent
         Weekly hours of work 38.5 hours
         Overtime compensation for 5 hours per week included in salary 
       




Salary 


        Salary range starts at EUR 60,200 gross per year
         We offer a higher salary in line with your experience and skills.
       

















Latest tech equipment 







Team activities 







Resources for training and conferences 







Public transport expenses or a company car 







Free drinks, snacks and popcorn 








Your application 






     Applying at AURENA Tech is pretty straightforward. After submitting the application form, you can expect a response directly from the Tech team within a few days.
    






Any further questions? 







Jürgen Blematl 
Director AURENA Tech 



        + 43 676 757 80 70 
       

        j.blematl@aurena.tech
       







",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=ca814fa49cef7ff6&fccid=ee0cfd0e6518d529&vjs=3
Mobile App Developer (m/w/d),XORTEX eBusiness GmbH,Home Office,"









          Unser Jobangebot für dich:
         


Mobile App Developer (m/w/d)











Deine Leidenschaft: Entwicklung mobiler Apps.

 Willkommen bei XORTEX, der Digitalagentur mit Schwerpunkt Software-Entwicklung! Wir sind unabhängig und persönlich. Wir schauen auf unsere Mitarbeiter:innen und haben eine Mission: XORTEX hilft dir, ein Web.Dev Pionier zu sein und vor allem: Du selbst zu sein. Was du bei uns findest? Gitlab, Node.js, Sass, PHP, TYPO3, TypeScript, Angular, MySQL, Linux .... und ein Team für eine digitale Zukunft, das spannende Projekte umsetzt.
 Wir entwickeln individuelle Software für komplexe Webanwendungen!


          Zum Bewerbungsformular
        












Diese Aufgaben erwarten dich




Du hast eine Leidenschaft für die Entwicklung mobiler Apps für unsere Kunden.
Du beteiligst dich an der Konzeption, Realisierung und Wartung anspruchsvoller Apps.
Du übernimmst Verantwortung für die Umsetzung von neuen Features und die Optimierung bestehender Apps.
Als Teamplayer bringst du lösungsorientiertes Denken und ausgeprägtes Qualitätsbewusstsein mit.












Dein Kompetenz-Profil




Abgeschlossene technische Ausbildung (HTL/FH/Uni) oder vergleichbare Praxiserfahrung
Du hast Erfahrungen in der App-Entwicklung.
Erfahrung in der Entwicklung von Web-Apps mit HTML5, CSS, JS und TypeScript ist von Vorteil.
Erfahrung mit node.js und Backend-Technologien (REST, Datenbanken...) ist von Vorteil.
Du hast Freude und Offenheit gegenüber agilen Vorgehensmethoden.



        Zum Bewerbungsformular
       










Unsere Technologien






















Sei du selbst bei XORTEX
 Erfahre, welche Benefits dich erwarten. Schau rein!















Du willst selbst bestimmen? Du willst das Web gestalten? Du willst (dich) entwickeln? Du brauchst XORTEX. Was du bei uns findest? Eine digitale Agentur für professionelle Online-Lösungen mit Schwerpunkt Software-Entwicklung. Eine Gemeinschaft, die dir hilft, ein Web.Dev Pionier zu sein. Eine Gemeinschaft, die mit Begeisterung und Wissen spannende Projekte umsetzt.
 Und natürlich noch viele andere Benefits!



















Flexible Arbeitszeiten
Starte, wann du willst. Natürlich mit Kernzeit, jedoch selbst einteilbar.

















Spannende Aufgaben
Bring dein Wissen ein und schaffe großartige Projekte für unsere zahlreichen Kunden.

















No Dress-Code
Du willst im Anzug arbeiten? Machs. Sei du selbst - zieh dich an, wie du willst.





















Feine Hardware
 Dein bestens ausgestatteter Arbeitsplatz mit herausragender Hardware & höhenverstellbaren Tischen.

















Neueste Technologien
 Du willst dich austoben? Natürlich mit den neuesten Technologien.

















Office & Home-Office
Nach der Einarbeitungszeit ist beides möglich.





















Warme Mahlzeit
 Mhhm lecker - Essenszulage inklusive.

















Frisches Obst
Gesund. Bio. Frisch. Für deinen Snack zwischendurch.

















Candy Bar
 Du stehst auf Süßes? Du hast die Wahl: Schoki oder Fruchtgummi.





















Getränke Stop
 Strong Coffee leads to strong Code. Bier im Kühlschrank zum angenehmen Dienstschluss.

















No All-In-Vertrag
Bei uns gibt's klare Regeln, auch bei den Verträgen.

















Events
 Betriebsausflug, Weihnachtsfeier, Projektabschluss, Eisstock-Schießen,.... sei dabei.





















Dein Team
 Wir stehen auf Gemeinschaft & Fun, Ehrlichkeit & Solidarität. Teilen Wissen, fördern einander. Sind Spezialisten & manchmal Freaks.

















Weiter Entwicklung
 Unsere Branche entwickelt sich täglich weiter. So auch du. Wir unterstützen dich dabei.

















Mitarbeiter-Geschenke
Zu Weihnachten und besonderen Anlässen. Versteht sich von selbst.





















100% Eigentümer geführt
 Du kennst den Firmen-Eigentümer. Er kennt dich. Flache Hierarchie. Kurze Wege. Unabhängige Entscheidungen.

















Keine Besprechung nach 16:00
 Weil wir es uns wert sind.

















Staufreie Anreise
 Ob öffentlich, mit dem Auto oder Rad. Inklusive Parkplatz direkt vor deinem Büro.





















Werde Teil unseres Teams!

Bei XORTEX arbeitest du mit den neuesten Technologien.
Agile Methoden - iterative Vorgehensweise - Clean Code
Hier findest du ein modernes Arbeitsumfeld, motivierte Kolleg:innen und abwechslungsreiche Tätigkeiten.
Home-Office & Office-Office: wir leben beides.
Wir entwickeln Projekte, die herausfordern und gleichzeitig Spaß machen. 

Besuch doch unsere Team Seite auf devjobs.at für noch mehr Eindrücke!

 Unsere Büros befinden sich im Technologie- und Dienstleistungszentrum in Neufelden.









     ')); } }); /* ]]> */
    








      Für diese Position ist ein Bruttojahresgehalt lt. KV von 
      EUR 52.500,- (Vollzeit) vorgesehen. Je nach Erfahrung und Qualifikation bieten wir eine marktkonforme Überzahlung.
     










 Bei XORTEX finden selbst erfahrene Web-Developer:innen neue Herausforderungen. Wir haben dein Interesse geweckt? Dann freuen wir uns auf deine Bewerbung!







",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=d3217c6750f6fd8c&fccid=d6ef291868df1c88&vjs=3
Mobile App Developer (m/w/d) (Wien/Berlin/Home Office 100%),wikifolio Financial Technologies AG,"Homeoffice in Wien, W","





wikifolio.com ist im deutschsprachigen Raum im Bereich der Kapitalanlage B2C das bekannteste Fintech-Unternehmen und wächst seit 2012 kontinuierlich.




Wir glauben: Jeder Mensch soll am Kapitalmarkt erfolgreich investieren können. Und das unabhängig davon, ob du 100 oder 100.000 Euro zur Verfügung hast. Wir stehen für die Demokratisierung des Anlagemarkts – und stellen unsere Nutzer in den Mittelpunkt.
 Um möglichst vielen Menschen das Angebot von wikifolio näherzubringen, wollen wir unser Online-Angebot um Apps erweitern. Die Apps sollen es den Nutzern ermöglichen wikifolio immer dabei zu haben und keine relevanten Informationen mehr zu verpassen.
 Für diese Position suchen wir eine/n erfahrene/n Kollegin der/die Freude daran hat, herausragende Lösungen für Benutzer als mobile App zu entwerfen und zu entwickeln. Du möchtest dich aktiv einbringen und bist Innovationen gegenüber aufgeschlossen? Dann freuen wir uns, dich kennen zu lernen!
 Mögliche Dienstorte: Wien, Berlin oder 100% Home Office.




Deine Mission

Entwickeln von Mobilen Apps
Mitwirkung beim Aufbau der CI/CD Pipeline für die App Entwicklung
Unterstützung bei der Aktualisierung der App
Als Teil des Teams bist du für die Qualität der App verantwortlich
Enge Zusammenarbeit mit allen Stakeholdern innerhalb einer agilen Organisation





Deine Qualifikation

Mehrere Jahre Erfahrung in der Web-Entwicklung bzw. App Entwicklung
Erfahrung mit React Native Framework
Interesse am Finanzmarkt ist von Vorteil
Ausgezeichnete Kommunikationsfähigkeiten und ein hoher Grad an Selbstmotivation
Es ist die wichtig Wert zu schaffen, ohne dabei Kompromisse bei der Qualität einzugehen
Kenntnisse im Bereich CI/CD sind von Vorteil

       Fließendes Englisch in Wort und Schrift
      





Das erwartet dich




      Bei wikifolio.com erwartet dich ein spannendes Aufgabenfeld in einem dynamischen, stetig wachsenden und vielfach preisgekrönten FinTech. Experimentieren, früh scheitern, lernen und weitermachen lautet unsere Devise. Eine innovative Arbeitswelt mit Chancen zur beruflichen Weiterentwicklung ist unser erklärtes Ziel. Optimale Work-Life-Balance ebenfalls. Werde Teil unseres Teams, das mit Transparenz, Fairness, Ehrgeiz, Nachhaltigkeit und Spaß die Chancen der Geldanlage für jeden zugänglich macht.
     




Das kollektivvertragliche Mindestgehalt für diese Position beträgt gem. IT-KV EUR 3.094 brutto - das erscheint dir zu wenig? Keine Sorge! Das tatsächliche Gehalt hängt von deiner Qualifikation und Berufserfahrung ab.





",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=512d3e48b2faea18&fccid=9251bf49ddd357aa&vjs=3
Android Developer (w/m/d),Post Systemlogistik GmbH,"Wien, W","
Das sind wir


Stellen Sie sich vor Sie sind Teil eines Teams aus IT-Spezialist*innen, die das technische Herzstück des landesweit führenden Logistik- und Postdienstleisters entwickeln. Die IT-Lösungen, die Sie mitentwickeln, sichern die Versorgung der Österreichischen Bevölkerung mit postalischen Dienstleistungen auch in kritischen Zeiten. Mit unseren innovativen Softwarelösungen werden in der Logistik Infrastruktur die Verarbeitung, die Verteilung, das Tracking, das Reporting, sowie laufende Innovationen sichergestellt.


Diese aufregende, spannende Herausforderung erwartet Sie hier.


Zu unseren Hauptgeschäftsbereichen zählen die Beförderung von Briefen, Werbesendungen, Printmedien und Paketen. Das Filialnetz der Österreichischen Post zählt zu den größten Privatkundennetzen des Landes und bietet seinen Kund*innen hochwertige Produkte und Services in den Bereichen Post, Bank, Telekommunikation und Energie. Als erfolgreicher Spezialist wachsen wir in Europa.


Wir sind die erste Wahl für unsere Kund*innen, Partner*innen und Mitarbeiter*innen - gestern, heute und morgen


 Das bieten wir



eigenverantwortungsvolle Tätigkeit in einem sicheren und sozialen Arbeitsumfeld
faires, kollegiales und loyales Miteinander
Flexibilität: arbeiten von überall in Österreich
vergünstigte Urlaubsangebote & diverse Einkaufsvorteile
betriebliche Gesundheitsförderung
gratis Mitarbeiter*in Konto bei der Bank 99
Bezahlung auf Verhandlungsbasis, je nach Erfahrung und Qualifikation, jedoch mindestens EUR 50.000,- Bruttojahresgehalt all-in


 
Das bewirken Sie


Die Abteilung Anwendungsentwicklung Digital Experience sucht smarte und engagierte Entwickler*innen (auf Junior und Senior-Niveau) zur Verstärkung des Mobile-Teams!


Die Post App ist ein zentraler Kanal zur Interaktion mit unseren Kund*innen. Zunehmendes mobiles Customer Engagement (z.B. Paketumleitungen, Sendungsverfolgung) und E-Commerce-Interaktionen erfordern eine ausgefeilte technische Plattform, um den Wünschen unserer Kund*innen noch besser gerecht werden zu können

Mit Ihrer mehrjährigen Erfahrung im Bereich Mobile App Development können Sie eine langfristige, gesamthafte Technologiestrategie für die Post App mitentwickeln und umsetzen
Mithilfe von moderner IT-Architectur (Native, Infrastructure as Code) und einem agilen Umfeld werden neue Services für unsere Kund*innen entwickelt, wie zum Beispiel die Integration von NFC und location based services


 
Das bringen Sie mit



Abgeschlossene einschlägige IT Ausbildung (HTL, FH oder Universität) oder gleichwertige Praxiserfahrung
Mehrjährige Hands-on Erfahrung in der Mobile App Entwicklung von komplexen Applikationen (native Android, Kotlin)
Erfahrung mit Test driven development (TDD) von mobilen Applikationen
Erfahrung in der Anbindung von Backend REST/GraphQL und der Einbindung von Push Notifications
Erfahrung mit Anbindung von Analytics-Plattformen wie Google Analytics, Google Firebase oder ähnliches
Sehr gutes Verständnis von Design Patterns in mobilen Applikationen
Spaß am Experimentieren und selbständigen Umsetzen
Korrespondenzfähiges Englisch


 
In stressigen Situationen bewahren Sie einen kühlen Kopf, selbständiges Arbeiten sind Sie gewöhnt, und Sie verfügen über ein hohes Maß an Ziel- und Ergebnisorientierung?
 Wir leben Chancengleichheit und Vielfalt und freuen uns auf Ihre Bewerbung! Bis bald, Ihr Recruiting-Team der Österreichischen Post AG


Informationen zum Datenschutz für Bewerber*innen der Österreichischen Post AG finden Sie unter karriere.post.at/datenschutz.

",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=989d9adb85929b81&fccid=f0759b6b8e61e6a6&vjs=3
Junior Developer,TietoEVRY,"Wien, W","



You may apply to Tietoevry by selecting Apply and fill your application details to the form. You may also Apply by using LinkedIn and populate details to your application from your LinkedIn profile.



 About us in Austria


     With about 250 Tietoevry experts and offices in Vienna, Linz and Graz, Tietoevry Austria is committed to develop enterprises and society through IT by realizing new opportunities in customer’s business transformation. We believe in professional development and results by supporting our customers on their journey into a meaningful digital world.
   

     Our development and consulting portfolio ranges from Cloud and Data Driven Solutions to Design & Experience to SAP services and Digital Advisory.
   

     Due to our positive business development, we want to keep growing in Austria and are therefore looking for colleagues who share our attitude: cherishing an autonomous style of work, understanding learning as a lifestyle and seeking to make real, sustainable differences through digitalization for our customers in business and society.
   


 With us you will be responsible for


 supporting our local and international project teams with great IT Solutions
 supporting our existing team as Junior Developer/Consultant to implement technical solutions suiting for our customers' needs
 challenging and future oriented projects which range from basic conceptions to realizations at the clients' site globally and locally



 We expect you to have


 a consulting attitude and hardly any working experience but you are eager to learn more about great and innovative IT solutions
 a technical college degree (HTL with IT-specialization) and the affinity to work with new technologies
 first experiences with the development of solutions working either in the front-end (CSS, HTML, JavaScript, frameworks) or in the back end (C#, Java, databases) or have created applications in other ways (for instance mobile apps)
 a good understanding of architecture and system components (clients, application server, database server)
 ability to handle discussions in German and English



 As a person you are


 proactive and act with open mind by challenging the status quo and drive actions for change
 passionately driving execution to add customer value and take ownership of your results and delivered quality
 having fun at work, love to learn new things and work within a dynamic team



 We offer


 an exciting career path with a wide variety of personal and professional development opportunities
 a large customer network and a great opportunity to take part in the development of our company together with talented colleagues and inspiring international environment
 excellent teamwork which is a part of our values
 a salary of minimum EUR 2.635,00. The actual salary depends on your experience and qualification
 benefits like flexible working hours, home office, laptop and smartphone also for private use, health programs, team events, excellent public transport connection, food vouchers, fresh fruits, the perfect environment to prosper professionally etc.
 a possibility of starting part-time, internships, Bachelor and Master thesis supervision



 Further information
 If you are interested to work for a highly customer focused company together with an ambitious team you are warmly welcome to submit your application.
   

     Kristina Hristova, HR Manager, Tietoevry Austria
   


",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=1733faaccaf1d4eb&fccid=307e305b50cf7af0&vjs=3
Frontend Software Developer html / JavaScript (m/w/d),Grassfish Marketing Technologies GmbH,"Homeoffice in Wien, W","Dein Job

Du entwickelst und gestaltest die nächste Generation unserer Digital Signage Plattform mit, setzt mobile Web-Applikationen am Stand der Zeit um oder erschaffst interaktive Inhalte für unsere IXM Plattform (CMS-Lösung)
Gemeinsam in einem agilen Team erarbeitest du neue Ideen und nachhaltige Lösungen für komplexe Kundenanforderungen und setzt diese um.
Du stehst im engen Austausch mit den verschiedenen Fachbereichen und bringst dich aktiv in die Diskussionen ein
Gemeinsam im Team stellst du dich regelmäßig neuen Herausforderungen und lernst kontinuierlich mit- und voneinander

Über Dich

Du bringst bereits ausreichende Erfahrung im Frontend Development mit
Du besitzt gute Kenntnisse in Angular (Vue.js, React oder Tailwind von Vorteil), HTML, LESS/SASS und Typescript
Du bist routiniert in der Arbeit mit Git, CI-Pipelines, Docker, Jira & Confluence
Du arbeitest eigenverantwortlich und nachhaltig und hast Freude daran, dich aktiv einzubringen
Deine Fähigkeit zum abstrakten & lösungsorientieren Denken zeichnet dich aus
Du legst großen Wert auf Testing und Clean-Code Policy
Pair-Programming & regelmäßige Code-Reviews sind für dich selbstverständlich
Du bringst gute Englisch- & Deutschkenntnisse mit

Grassfish Welt

Dynamisches Team mit starkem Zusammenhalt und einer offenen Arbeitskultur mit flachen Hierarchien
Unser Standort in Wien besteht aus rund 70 Mitarbeitern und wächst stetig seit über 15 Jahren
Wir bieten ein weites Tätigkeitsfeld von der Entwicklung und Mitgestaltung komplexer Softwarelösungen, über mobile Web-Applikationen, bis hin zur Erstellung interaktiver Inhalte für unsere IXM Plattform
Wir unterstützen unsere Mitarbeiter in der persönlichen Weiterentwicklung durch Zusatzausbildungen und individuelle Karrierechancen
Individuelle Flexibilität durch Homeoffice, flexible Arbeitszeiten (Gleitzeitmodell), sowie freie Wahl der Arbeitsmittel
Weitere Benefits für unsere Mitarbeiter sind u.a.: Jahreskarte der Wiener Linien (oder Auswahl aus alternativen Angeboten), Corporate Benefits für den Einkauf bei diversen Händlern, externe Hotline für private oder berufliche Herausforderungen, wöchentliche Massage, ergonomische Arbeitsplätze mit höhenverstellbaren Tischen und regelmäßige Firmenevents

Für diese Position ist ein Einstiegsgehalt von EUR 3.200, - brutto/Monat vorgesehen. Eine marktkonforme Überzahlung (abhängig von Qualifikation und Vorerfahrung) ist möglich.
Art der Stelle: Vollzeit, Teilzeit, FestanstellungArbeitsstunden: 38,5 pro Woche
Gehalt: ab 3.200,00€ pro Monat
Arbeitszeiten:

Keine Wochenenden
Montag bis Freitag

Flexible Language Requirement:

Keine Deutschkenntnisse erforderlich

Leistungen:

Betriebliche Weiterbildung
Betriebsfeiern
Empfehlungsprogramm
Firmenhandy
Flexible Arbeitszeiten
Homeoffice
Kostenlose Getränke
Kostenlose Massagen
Mitarbeiterrabatt

Sonderzahlungen:

Urlaubsgeld
Weihnachtsgeld

Berufserfahrung:

Frontend Development: 4 Jahre (Wünschenswert)
",EmployerVor 8 Tagen aktiv,Festanstellung +2Keine Wochenenden +1,,https://www.indeed.com/company/Grassfish-Marketing-Technologies-GmbH/jobs/Frontend-Software-Developer-HTML-e93ef5ca68970db2?fccid=670972fd47c45352&vjs=3
Mobile App Developer (m/w/d),ekey,"Wien, W","







ekey biometric systems ist europäischer Marktführer für biometrische Zutrittslösungen (Fingerprint) mit Hauptsitz in Linz/Österreich. Der Mut zur Umsetzung von zukunftsorientierten Visionen und innovativen Technologien zeichnet uns aus.
 Tritt auch du ein in die Welt von ekey!










        Wir erweitern unser ekey-Team und suchen eine/n 
       

Mobile App Developer (m/w/d)


         Xamarin.Forms, native Apps - Linz, Wien oder Remote 
       










 DEIN JOB:

Etabliere mit uns Biometrie als weltweiten Identifikations-Service – Wir sind Frontrunner!
Du entwickelst in einem Team mobile Apps als Frontend für unseren auf der Azure Cloud basierenden Identifikationsdienst ekey bionyx
Du verwendest dafür hauptsächlich Xamarin.Forms als technologische Basis für Android und iOS
Du arbeitest in einem Scrum-Team mit Cloud Backend Entwicklern an spannenden neuen Funktionen und kannst dabei dein Wissen auch in Richtung Azure Cloud Technologien erweitern
Du tauschst dich dabei auch mit den Embedded Developern und der biometrischen Forschungsabteilung aus und lernst wie unsere IoT-Geräte funktionieren
Du pflegst je nach vorhandenem Plattform Know-How bestehende native Mobile Apps und entwickelst dafür neue Funktionen
Du kannst bei Design Sprints, UX/UI Design und Refinements mitwirken
Wir setzen auf Scrum, Clean-Code und modernste Toolchain (DevOps, Continuous Integration und Deployment)



 DEINE KOMPETENZEN:

Background in Xamarin.Forms oder nativen Technologien zur Entwicklung von Mobile Apps ist vorteilhaft, aber auch interessierte Quereinsteiger sind willkommen
Du bist begeisterungsfähig und möchtest deine Fähigkeiten laufend erweitern. Wir unterstützen deine Weiterbildung Unser Technologie-Stack umfasst C#, .NET, Azure, SQL, Angular, C++, Xamarin.Forms und native Technologien zur Entwicklung mobiler Apps
Wenn du auch an Cloud Technologien interessiert bist oder Erfahrung hast, wäre das vorteilhaft
Dein Denken und Handeln stellen den Nutzer und sein Erlebnis in den Vordergrund
Du bist umsetzungsstark und verfolgst zielorientiert deine Projekte
Gemeinsam bewegen wir mehr – deshalb zählen für uns Teamgeist, Zuverlässigkeit und eine gute Portion Humor



 UNSERE BENEFITS:

Mitarbeit in einem Team aus erfahrenen Seniors und ambitionierten Newcomern
Flexible Arbeitszeiten durch unseren großzügigen Gleitzeitrahmen
Bewegliche Gestaltung zwischen Remote- und Anwesenheitstagen
Höchst spannende Tätigkeit in einem OÖ Technologieunternehmen
Persönliche und berufliche Weiterentwicklungsmöglichkeiten
Wertschätzendes Miteinander, flache Hierarchien und kurze Entscheidungswege
Zahlreiche Benefits, Mitarbeiterevents, gratis Getränke, gesunde Snacks, Lunch und moderne, lichtdurchflutete Büroräumlichkeiten
Ausreichend Parkplätze direkt beim Firmengebäude am Standort in Linz, zentrale Lage des Standorts Wien

Wir ermöglichen noch mehr – überzeuge dich und sende uns deine Bewerbung inklusive Lebenslauf, Foto und Zeugnissen.
 Wir bieten eine attraktive Entlohnung, die wir entsprechend deiner Qualifikation und Erfahrung gemeinsam vereinbaren – lass uns darüber reden.









",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=6661d469593a550a&fccid=240bf6c33e7a8af4&vjs=3
TYPO3 Developer (m/w/d),SUNZINET,Homeoffice,"
 Über SUNZINET 
  SUNZINET zählt mit seinen rund 170 Talenten zu einer der größten inhabergeführten Digitalagenturen Deutschlands. Wir arbeiten für renommierte Kunden wie Bayer, Boesner, Creditreform, Deutsche Familienversicherung, Infineon, Lanxess, OBI, Orthomol, RTL, Rheinische Post und viele andere mehr. Wir wurden mit zahlreichen namhaften Preisen wie dem Red Dot Design Award, mehreren German Design Awards und dem Annual Multimedia Award ausgezeichnet.  Wir sind SUNZINET - unser Purpose: Wir verbessern die digitale Welt von morgen.
 Als TYPO3 Developer (m/w/d) begleitest du im Team die Entwicklung und Optimierung moderner und komplexer Webprojekte. Tätigkeitsbereich 
 
Umsetzung spannender Projekte mit TYPO3 in den aktuellen Versionen
Umsetzung von TYPO3-Erweiterungen mithilfe von Extbase und Fluid
Support von bestehenden TYPO3-Projekten ab Version 9
Enge Zusammenarbeit mit allen Kollegen der Agentur

Die Vergütung für diese Position beträgt abhängig von Qualifikation und Berufserfahrung zwischen 40.000 – 70.000 € brutto jährlich. Die Stelle kann zu 100% remote oder an einem unserer Standorte in Deutschland, Österreich und Polen besetzt werden. Deine Qualifikationen 
 
TYPO3 Erfahrung ab Version 9
Erfahrungen mit Docker optimalerweise mit DDEV
Sicherer Umgang mit Git und Composer
Gute Kenntnisse mit TypoScript und Symfony-Expressions
Wünschenswert sind Kenntnisse in vanilla-JS
Umgang mit Gulp, Grunt, SCSS von Vorteil
Teamgeist und Zuverlässigkeit
Sehr gute Englischkenntnisse
Wir bieten 
  Gestalte deine Zukunft in einer der Top Leadagenturen für Digitale Transformation. Wir schätzen deine Eigeninitiative und freuen uns auf deine Bewerbung!
 SUNZINET ist vielfältig, offen und tolerant. Bei deiner Bewerbung kommt es ausschließlich auf deine Qualifikation, Erfahrung und dich als Person an.
 Es ist uns ein Anliegen, dass du dich wohlfühlst, Freude an der Arbeit hast und dich beständig weiterentwickelst. Dazu bietet dir SUNZINET neben spannenden Projekten ein attraktives Arbeitsumfeld:

Inhabergeführte Agentur mit flachen Hierarchien
Work-Life-Balance: flexible Arbeitszeiten durch Gleitzeit
Flex-Office: mit der Möglichkeit mehrere Tage im Mobile Office zu arbeiten. Weitere Infos dazu findest du auf unserer Karriereseite.
Interdisziplinäre Teams mit (teil-)agiler Teamstruktur
Fachlicher Austausch teamübergreifend in der Fachdomäne
Moderner Arbeitsplatz mit Wunschoptionen bei der Technikausstattung
Viel Eigenverantwortung und Gestaltungsspielraum zum Einbringen eigener Ideen
Kontinuierliche Weiterentwicklung durch festen zeitlichen und monetären Etat pro Mitarbeiter
Nutzung eines eigenen Firmenwagens (auf Wunsch)
Deine Ansprechpartnerin 
  Bettina Schmitz
 Telefon (+49) (0) 221 35 5009-24
 SUNZINET GmbH Schanzenstraße 23 51063 Köln
 www.sunzinet.com
",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=08132799a57bfdf5&fccid=90d70c1eddda0e79&vjs=3
Mobile App Developer (m/w/d),AKKA TECHNOLOGIES,Österreich,"
Spezifikation und Umsetzung von Smartphone- und Tablet-Applikationen
 Analyse der Kundenanforderungen im Team mit Kollegen/innen
 Maschinen und Internet-der-Dinge Anbindungen an das Mobile Endgerät
 Sicherstellung der Anforderungserfüllung in Bezug auf Funktionalität, Performance und Qualität




Abgeschlossenes Studium (FH, UNI) der Software
 Passionierter Allrounder für Smartphone- und Tablet-Applikationen
 Praxiserprobte Kenntnisse in der Entwicklung
 Verständnis und Interesse der mobilen Maschinenanbindung
 Kenntnisse von Android und iOS inkl. Server-Backend von Vorteil
 Begeisterung für vielseitige, teamorientierte Projekten
 Verhandlungssichere Deutsch- und gute Englischkenntnisse

 Wir bieten für die Position ein marktkonformes Bruttojahresgehalt von € 37.000 bis € 46.000 je nach konkreter Qualifikation.
",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=3abd77d82433190e&fccid=865214cc5e8fd92a&vjs=3
Mobile App Developer,Balloon Metainfo XR GmbH,"Wien, W","In May 2022 we started Ballon-Metainfo XR with the vision to make location-dependent, information visible in a unique way on maps & via augmented reality. Now our team needs reinforcement in the frontend development area. 

 Tasks 

 Now our team needs reinforcement in the frontend development area. Together we have to address challenges in the area of augmented reality, maps, UX and mobile app development. 

 Requirements 

 1. You have experience with the development of mobile apps in which spatial information displayed maps and/or via augmented reality (AR) played an important role? 
2. You are an implementation-oriented type, have been involved in shipping mobile apps before, have at least basic understanding for ReactDOM/React-Native, Vue.js or Flutter, TypeScript and Javascript engines? 
3. You are open and willing to learn new technologies if required? 
4. You develop with a getting-things-done mentality and are confident in prioritizing your work in alignment with our business goals? 

 Benefits 

 Minimum salary for this position is € 44.000 gross per year, based on full-time employment (38.5 h/week). We offer a higher salary in line with experience and qualification. Participation in Development Conferences and an Education Budget can be agreed on. 

 In terms of diversity of our team, we want to encourage in particular female and diverse developers to apply for the job. 

 You... 

 1. ... are prepared to spend the first months with our Team in Vienna/Austria (Later on remote/hybride work will be fine)? 
2. ... are permitted to Work in Austria/Europe or are able to arrange for a Work permitt (of course we are willing to help). 
3. ... are happy with an employment. 
4. ... understand that we can only take a closer look at applications where the accompanying letter or CV clearly shows that you have experience with the development of mobile apps where spatial information displayed via AR or map played an important role.",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=b71751567ab742d4&fccid=962ea8aa85bfb9a5&vjs=3
