job_title,company,location,job_summary,post_date,more_info,salary,job_url
FRONTEND SOFTWARE DEVELOPER,Ordina,Mechelen,"





M / V / X









De frontend development wereld staat niet stil. Van web en native applicaties naar mobile-first hybrids. De technologieën die dit ondersteunen zijn continue in beweging en trachten te helpen bij het ontwikkelen van snelle, betrouwbare en onderhoudsvriendelijke applicaties. Bij BOLD omarmen we frameworks zoals Angular, React en Vue.js en worden ze gebruikt in tal van prestigieuze projecten.
 Als frontend software developer is het gebruik van JavaScript een tweede natuur. Je kan spelen met minstens één van bovenstaande frameworks en voelt je thuis in een agile team. Je hebt een proactieve aanpak, een can-do houding en beschikt over de kennis of de wil om deze kennis te vergaren. Op deze manier kan je meewerken aan snelle, veilige en onderhoudbare applicaties.






    Wie we zoeken 
   


Je bent een enthousiaste frontend developer met minstens 2 jaar ervaring die de nodige kennis van TypeScript, HTML5 en CSS bezit
Je hebt ervaring met één van de volgende grote frameworks zoals Angular, React of Vue.js
Je kent de termen UX, agile en scrum
Je hebt ervaring met of kennis van prototyping en OO design en design patterns
Je hebt kennis van Git, RESTful API gebruik, clean code en mobile-first development
Je bent een flexibele teamplayer die graag bijleert of zijn kennis verspreidt
Kennis van Integration Testing, Automation en Continuous Integration zijn een plus







    Wat we bieden 
   


Je draagt bij tot uitdagende projecten bij top internationale en Belgische bedrijven uit diverse sectoren
Je werkt in een hightech omgeving met focus op kennis en innovatie, een open no-nonsense bedrijfscultuur met ruimte voor eigen initiatief
Je maakt deel uit van BOLD, een dynamische development en design unit binnen Ordina
Je houdt je technische en sociale vaardigheden up-to-date op onze Ordina Academy en wordt ondersteund bij het behalen van certificaten
Je kan deelnemen aan onze competence center workshops om je kennis up-to-date te houden of uit te breiden
Je ontvangt een competitief salarispakket met bijkomende voordelen zoals een bedrijfswagen, laptop, verzekeringspakket, maaltijdcheques, onkostenrekening etc.
Je kan deelnemen aan leuke business- en teambuildingsactiviteiten
Je kan je nettosalaris optimaliseren dankzij onze IP-reward




",Posted30+ dagen geleden,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C97jlleHkaS62wmEBnGWA7E7i7IJFw9JSeSn7ESjwWsIQrg3loqiTV8YqsEUhWkzJbnzn8SPfRYRqNxKtt_DNAnGSus2iY530VUmG-YHWd9BaXnVPV0fGzqWjHVcLM83pLWZfYH0L7QF3eoe_Hb9vA4AVyQI9W1TuNpjKh1tkekDuAiTd1hKnmz17qiIEyIIE1ZbeymuxoSc-d-WKVw-6eBQdBmgFpi8DXyo3v9Yb9lE9UPNsMUOP2wb0fZjtQZXWsJyRIavyJI2RzRQ5s6QeEtlZj-PjS9uAx5GJg5FBH8DgKs-rTaBou3GSszPLF9oU7HD9rjoWa8-Fu-S0b6CnyOkz6XKGPqrQvdnvulAXMgVDOKcBk6qIffh0CaEoOVYPk_KC5j9gjj6g78gOXLPVR50_Vz8mcovL-zbajSKzZIF3mZ-w_vQx6Yu_BbSCelFylcIwCtyiNjCbVTCN_tEEfrXQLgYgXX6I0JcFBDAjqaC66OaO0yqWah4d57sGEXIe65XbrJpi12i3FeLvHnKNzdAqb-Tpu8nwLfmk43InzP3Ug5OtmltdD2VaWOiEgNaYl0USio1uMymuOYhiM8JgQ-p6kMmv9CR0LfKZRxQnlwo-OBR2fwtfuAtqSIaasUJ5wOxVcg1qbLGWb-urz8ifdouQ1L8ph6UpLu7iimsMXHg==&xkcb=SoAL-_M3ZBUaqsyS7R0JbzkdCdPP&p=0&fvj=0&vjs=3
Freelance Mobile Developer - Xamarin - Brussels,Michael Page,Thuiswerken in Brussel,"
 International Company |New project
 
 About Our Client

 Our client is a major company operating in the engineering sector, they have a new project about a mobile application.

 Job Description


 Build a new mobile application 
Maintain applications and the back-end application 
etc


 The Successful Applicant


 You have at least 3 years experience as a Mobile Developer
You have a Bachelor degree in IT
You speak French or Dutch, and English fluently
.Net framework 4.6.1, C# 7.0, .Net Core 3.1, Xamarin.Forms4.
WPF 4.61:Prism, Web Api, AzureDevops server


 What's on Offer


 1 year contract renewable
90% Remote
Location: Brussels

",Posted30+ dagen geleden,Interim +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXckWHOaVmVhaGcA2Z77I3SeA2ZRrPq5XlDeb_Ox-hVdJuyd0p9ncsdtWQTr-ynle3Lx-gVPkx0y3F49G-D5CalRrLnBT0FS2iysovkRQA8GPbzu7FUZ08531c0l9luVfFDYOl71ZMMtelyPcyhagTGtHxJSFsN09HETT3YaK-9ajeeerV-YHnDukpJIW-y9WRinuBENQVyZ2weIGTFYkkNeWxuOuYjgU2OIpe1_KLoeIuOvJk-iHuU2hmPxVhZF6GZX_mBMfm_gLk3oyz4zV3heJu0VuYcQP73yv-AP4Z_pXdUvymVB-s4GpSh3naI4PJ_cCR6c9WHP-lahNrNYiyXqcd5qOgeGaFddSN8u3FqDDZANNGhr4ew5CDHq65K1C_GnDOQ4AlbR9GVR73xVe3EFp7xyQ6Sv6JxWfhpdz-sBykGUkL_srxMEfqH8_DCDRtTEDME_Ugi79I0dHCuDqZx59lo2J_vD8hUTpb8FCln7ns0m09IIl_-wZ20qGLbw320LxfbJogj7j2rtEF5tvev7o7IvPzG3MmevaOvaTGY4craHevRvZh-APTXGB6UWCKi1_RJP4mH56-k59_Zqxz8FJ_xIjsvdpvI09-fSCNbC1RaIr5qwCdD745aICSynFugLIU31-rg83KYyCvwMvIvbstGWULPjDdK8PmMhCPzfTrjF8_br7h2RyNbR039K6Le9Zo0bio9MBWFaQ7cWAi&xkcb=SoB7-_M3ZBUaqvSS7R0LbzkdCdPP&p=1&fvj=1&vjs=3
Junior web/mobile developer,ZORGI,3500 Hasselt België,"
En tant que développeur junior d’applications mobiles et web, votre principale responsabilité est de développer et améliorer la plateforme et l’application mobile utilisées quotidiennement par les professionnels de la santé. Le brainstorming et la mise en œuvre de nouvelles fonctionnalités, la recherche de nouvelles technologies et la maintenance du logiciel actuel font partie des activités quotidiennes. Vous pourrez bien entendu compter sur une équipe expérimentée de développeurs qui vous accompagnera et vous formera sur ces éléments.
 Nous avons fait le choix de la technologie React pour développer nos applications, étant convaincus que React Native présente un certain nombre d’avantages évidents, tant du point de vue d'un développeur natif que de celui d’un développeur web.

 Vous avez un diplôme en informatique appliquée et êtes à la recherche d’une première expérience de travail en tant que développeur.
 Vous avez une passion pour le développement mobile et aimez travailler sur des projets innovants.
 Vous travaillez de manière autonome mais aimez aussi partager avec vos collègues.
 Vous parlez très bien le néerlandais et avez une bonne connaissance du français.
 Vous êtes capable de vous adapter à un environnement de travail agile et en évolution rapide.
 Un intérêt pour le secteur de la santé est certainement un atout.

",Posted30+ dagen geleden,Voltijds,,https://www.indeed.com/rc/clk?jk=aac5015a84f9fe1a&fccid=afad7d9a04a243ce&vjs=3
Mobile Developer,JIDOKA,Mechelen,"

About the job

We are looking for a fun and enthusiastic Mobile Developer to join our team and help us develop and maintain high quality and user friendly mobile applications!
Contact us 
 

your profile

Preferably Bachelor’s or Master’s degree
+2 years experience with mobile development
Experience with one or more programming languages such as Flutter, Swift, .NET, Java, Kotlin, Objective-C…
Experience with HTML, HTML5, JavaScript and various mobile frameworks is a plus
Android or iOS development experience, with knowledge of best practices, APIs and libraries
Experience with SOA design/development & OOP design principles
Experience with working in Agile environments (Scrum, Kanban…)
Experience with custom software development
Excellent communication skills
Excellent analytical skills with a good problem-solving attitude
You can relate to our company values



What will your day look like?

Support the entire application lifecycle (concept, design, test, release and support)
Produce fully functional mobile applications
Write clean code
Gather specific requirements and suggest solutions
Write tests, troubleshoot and debug to optimize performance
Work together with product owner and UX/UI designer to improve user experience
Liaise with development team to plan new feature(s)
Ensure new and legacy applications meet quality standards
Research and suggest new mobile products, applications and protocols
Stay up-to-date with new technology trends
Customer communication
Coach junior (mobile) developers
Participate in and drive knowledge sharing events
Participate in pre-sales



What we offer

Fun and enthusiastic colleagues
Lots of teambuilding and knowledge sharing initiatives
New technologies, challenging projects… Not a single day will be the same
Coaching by experts & personal and professional development opportunities
Beautiful work environment in The Crescent
We will offer you an above average salary with lots of extralegal benefits such as a company car, fuel card, insurances, daily meal allowance, monthly expense allowance, mobile subscription, training budget…


",Posted30+ dagen geleden,,,https://www.indeed.com/rc/clk?jk=bec8b281000bdc59&fccid=ba2885f69e286f8d&vjs=3
Senior Mobile Software Developer,Mojix,Thuiswerken,"
Plug into Mojix and develop worldclass mobile applications, architect modern mobile frameworks and SDK, and interface with IoT sensors from RFID to BLE and NFC. Be part of Mojix remote distributed teams, work from home! We are a global IoT company with worldwide offices and awesome products, customers. 






Your mission
 We are looking for a skilled Mobile Developer with prior developing experience to create and maintain mobile and Web applications in hybrid environments. The Mobile Developer’s responsibilities include researching UI and UX trends, updating current applications, and working with colleagues to brainstorm innovative ideas for new applications. 
To be successful as a Mobile Developer you must combine your knowledge of UI and UX with insight into the latest technology in mobile applications. 
Mobile Developer Responsibilities:

 Create and maintain mobile applications. 
Keep abreast of the latest technology for mobile applications. 
Work with computer engineers to brainstorm new applications. Create UI tests to source analytics.





 Your advantages
 As a true member of a human-scale team in LATAM, you’ll benefit from…

 Working close to the biggest Retail, Food, and other industries companies worldwide 
Working with multicultural teams in France, the US, and LATAM 
Contributing to the creation of one of the most potent tools with RFID item tracking system.






 Your profile

 4+years of experience with JS frameworks (Angular, React)
 MUST Responsive and mobile first. 
Mobile hybrid experience (Ionic, React Native) 
SOLID principles, mobile design patterns 
Agile Methodologies, SCRUM, XP 
Java, Kotlin, Swift, Objective C, Redux experience a plus







",Posted30+ dagen geleden,,,https://www.indeed.com/rc/clk?jk=d4a82e78009384e9&fccid=93a2d7899e98beea&vjs=3
Mobile Apps Developer,odoo,Grand-Rosière-Hottomont,"



Rue des Bourlottes, 9

1367 Grand-Rosière 

Belgium
 



Research & Development







Are you ready to learn fast and have a real impact on the company?
Join Odoo, a growing software company with an open source product, a huge global community, as well as a fun and exciting work environment. Apply Now! Check Average Salaries Survival Guide 
    


Users of the Product
7,000,000


Company Growth
60% Year over year


Company Maturity
Profitable









Working Environment.


If you are passionate about development, then it is time to work on a great Open Source project where your work will count! Join our experienced team of Developers, and develop things people care about. Each employee has a chance to see the impact of his work and make a real contribution to the success of the company.
 When you start working at Odoo, you have a general developer hat. During the first months we'll train you, especially by making you work as closely as possible to the development of our applications. When you'll have a good understanding of how Odoo is built, you'll be able to choose to join the Mobile Apps team.
 In the Mobile Apps team, you'll make Odoo applications responsive both on Android (Java, Android Framework & Kotlin) and IOS (Swift).



Programming Languages: Python & JavaScript
Database: PostgreSQL (with object relational mapping)
Collaboration platform: GitHub
Development model: Open with external community
Framework: Odoo (ORM, Workflows, Report Engine, BI, AI)






Product Complexity





Personal Evolution





Autonomy





Customer Relationship





Focus on Quality














Responsibilities


Develop and improve Apps
Coach small distributed dev teams
Be responsible of what you develop
Framework and/or front-end






Must Have


Several programming languages
Object-oriented programming language
Passion for development
Quick & Autonomous learner
Read & Written English






Nice to Have


Contribution to Open Source Projects
Bachelor or Master Degree
Python, JavaScript
Linux, GitHub










What's great in the job?

Great team of very smart people, in a friendly and open culture.
Large apps scope - Diversity in the job, you'll never get bored.
No customer deadlines - Time to focus on quality, refactoring and testing
No solution architect, no business analysts, no Gantt chart.
No specific start date, we recruit all year long.
Real responsibilities and challenges in a fast evolving company.
Friendly working environment located in a renovated farm in the countryside.
 An attractive package: car, fuel card, up to 35 days off per year, meal vouchers (8€/day), eco-cheques (250€/year), hospital insurance, group insurance, representation fees to cover all your expenses, and much more!
 CDI full time (38h/week) with homeworking 2 days/week.






",Posted30+ dagen geleden,Vaste Jobs +1,,https://www.indeed.com/rc/clk?jk=5dd4e1e43323ab87&fccid=fb760e4fd5fa7bc8&vjs=3
Mobile applications developer,Connect24-7,2800 Mechelen,"
Job Description
 The number of customers in several countries enjoying our market leading integrated IT platform specifically for local shops, retail chains en couriers is exploding. The Connect24-7 platform allows them to serve their customers always and everywhere. That’s why we are looking to strengthen our experienced team with a passionate developer focusing on innovative mobile applications. The Connect 24-7 cash register en multi-channel management software connects the shop with its customers, suppliers and partners. Our courier software solutions allow courier companies to provide even more service to customers and end-receivers.
 The right candidate will be part of a small but growing team following Agile software development practices. In this role you will be responsible to extend and improve existing mobile solutions. For this we are particularly looking for a passionate and highly motivated software developer with experience in designing and building high performance mobile applications.
 Requirements

Bachelor/Master in Computer Science or Informatics, or equal by experience
 Experience with c# and Windows Phone, Java and Android or cocoa and iOS apps
 Good understanding of REST API’s
 Experience with Android en iOS development is highly appreciated
 Good English oral and written skills, since our team consists of several nationalities
 Entrepreneurial spirit

 Strong problem solving and critical thinking ability with structured and (object-) oriented solutions Ability to work well under pressure, meet strict deadlines and communicate Think ahead of (y)our competitors but listen even better to (the problems of) (y)our customers!
 Application Instructions
 If you would like to receive more information please contact us or if you would like to apply immediately, please submit your resume to HR@iButler.be citing Mobile Developer in the subject of your message. Please also elaborate on your experience working on relevant projects. We thank all applicants in advance for their interest in iButler Group!
 Denk jij dat jij de perfecte persoon bent voor deze baan? Reageer dan snel per e-mail met een motivatie en je uitgebreide CV.
 HR Zandvoortstraat 10 2800 Mechelen info@Connect24-7.com
",Posted30+ dagen geleden,,,https://www.indeed.com/rc/clk?jk=6aaa3a2c7db43dc5&fccid=7fd08d6e3f0518bd&vjs=3
Mobile Developer,ZAPFLOOR,Antwerpen,"



Flexible workspaces are shaping the future of work. They require an operating system that connects all different aspects of buildings from offices, desks and meeting rooms, to invoices, reports and contracts. Zapfloor provides tools so space operators can easily manage their buildings and administration, while focusing on user experience.










Antwerpen
Werkplek: flexibel 
Ervaringsniveau: medior 






Zapfloor is changing the way people manage their offices. Zapfloor is one of the leading workspace management platforms for co working spaces and office buildings across Europe. Whether it’s about booking a meeting room, announcing a visitor, or creating an invoice, we build technology to give people what they need, when they need it.
 For the people who work with zapfloor, our app represents a flexible new way to work in the office of the future. We manage the full office trajectory, from an empty office with a lead, to an invoice sent and paid, and everything in between.
 Zapfloor is committed to building a team with thriving team members. We welcome them, support them and launch them into new heights. We love to work with people that work hard, are eager to learn and develop themselves on a technical, professional and personal level.
 WHO ARE WE LOOKING FOR?
 Senior react native mobile developer
 You will be part of the engineering team of a fast-growing and highly skilled team that is building a great Prop tech product. You will be working on the mobile end to end experience in today’s office. You will be responsible for the mobile app stack and further scale of the mobile experience of our product. You will be working closely with the product and design team on a day to day basis and you will work within a small, agile team of software engineers to deliver high quality software.
 Requirements
 You will be a great fit if:

Min 5-7 years solid work experience in building sophisticated and highly scalable mobile apps
Experience with React Native
Translate wireframes to responsive UI with great animations
Excellent debugging skill is required
Experience with consuming internal and external APIs and handling huge data
General technical excellence - you see how things work independently
Communication and teamwork skills of the team is an important factor
Experience in writing E2E / Unit tests is a plus
Experience in Fastlane is a great plus
Experience with Flutter / Dart is a plus

The role is based at our Antwerp office but can also be done in a hybrid way.  The success of the role lies in owning and scaling robust apps to android/iOS devices using a single codebase services and integrations.
 Perks & Benefits

Opportunity to work with a highly skilled and experienced technical team
A competitive salary
Choose your favorite zapfloor enabled devices
Nice holiday plan
Team events & Friday drinks
Conferences across the world

What will you be working with? Zapfloor’s office management tools
 Flexible workspaces are shaping the future of work. They require an operating system that connects all different aspects of buildings from offices, desks and meeting rooms, to invoices, reports and contracts. Zapfloor provides tools so space operators can easily manage their buildings and administration, while focusing on user experience.
 What you need to know about zapfloor’s team

A positive mindset Our team shares an upbeat and positive attitude where every idea is welcome.
We are generous We empower each other to improve and see opportunities to grow and learn.
Our team has big ideas The opportunities are in front of us, they’re massive and will require big & bold thinking.

Don’t spend time writing a motivation letter, just send us a mail with a work achievement that you’re proud of and we’ll plan a call! You can reach us at [email protected]
When applying be sure to reference Creativeskills.be in the subject or body of your email.



",Posted5 dagen geleden,,,https://www.indeed.com/rc/clk?jk=a81904edb5032db4&fccid=39da79400f3235b0&vjs=3
Mobile Developer (iOS en/of Android),BlooLoc,Hasselt België,"
BlooLoc is a young High Tech company with headquarters in Hasselt and R&D office in Herent, Belgium. We offer smart services based on indoor positioning. Our products have applications in retail, hospitals, senior care facilities, offices, campuses, airports, etc... BlooLoc has customers across the globe.
 In the context of our growth, we are looking for a new colleague with the profile of a Mobile Developer.
 Your tasks and responsibilities

You participate in the development of our mobile SDK offering, example applications, and end-user apps that include indoor positioning, navigation and mapping.
Together with our business developers you can help on technical aspects of product solutions that improve the customer experience.
Over time your role may evolve to assuming responsibility of our mobile software offering

Qualifications

Bachelor or Master in Informatics or equivalent by experience.
Good knowledge of iOS mobile development (Swift), Android development (Java and/or Kotlin), interaction with JSON/REST services.
Interested in user-interface usability aspects and building a smooth and intuitive user experience.
Notions of C++ development is a plus.
Familiar with basic trigonometry concepts used in 2D/3D GIS mapping applications.
Fluent in English and/or Dutch
Flexible, spontaneous and a real team player

What we offer:

Become a core team member in a small but fast growing startup.
Competitive salary.
Work in an internationally oriented growing company
The flexibility to work from 2 offices. Our HQ in Hasselt and our office in Herent (Leuven)

",Posted5 dagen geleden,,,https://www.indeed.com/rc/clk?jk=c8cf1fa9a8b2bd67&fccid=0882cf9487caa34f&vjs=3
web en mobile app developers,4D vision,2600 Berchem,"
web en mobile app developers
 Je profiel:
 Je bent gepassioneerd door IT en software ontwikkeling. Je werkt graag met de nieuwste technologieën en je bent vooral leergierig.
 Je kennis:
 Een master diploma in IT of Engineering.
 We werken met volgende technologieën: Angular, .Net Core, HTML5+, CSS3+JS, C#, Entity Framework, jQuery, SQL Server, ASP.NET Web API, Oracle, Azure DevOps, Git.
 Geen probleem als je deze technologieën niet kent. Het volstaat om de basisprincipes van software ontwikkeling onder de knie te hebben.
 Je loopbaan:
 Als Full stack Web en Mobile App developer start je bij 4D vision met een korte opleiding. Daarna zal je deel uitmaken van een projectteam. Je focus ligt op de technische aspecten van software ontwikkeling.
 Wat krijg je in ruil?

Een grote verscheidenheid aan uitdagende projecten
Een groeipad om de beste te worden in wat je graag doet
Een dynamisch en enthousiast team
Een omgeving waar collegialiteit en persoonlijke coaching centraal staan
Een unieke Model Driven Development methodologie
Een opleidingsbudget waarmee je ook je Microsoft-certificaat behaalt
Flexibele werktijden en een competitief salaris, incl. maaltijdcheques, groeps-en hospitalisatieverzekering, gsm-abonnement, een trein- of busabonnement, bedrijfsfiets …

",Posted30+ dagen geleden,,,https://www.indeed.com/rc/clk?jk=43eee7cb1b4b0b0e&fccid=e6ace4b5290b6696&vjs=3
