job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile Developer,Trackunit,Eksternt in København,"



    As a Mobile Developer, you will join our team of 160+ engineers where you'll be working alongside a core group of talented colleagues that dares to take chances and risks to find the best solutions.
   


Coming Together To Connect Construction 


We’re committed to construction - one of the largest industries in the world. Over the past two decades, Trackunit has been pioneering technological progress within construction. Today, we are not only a leading IoT provider but a thought leader, supporting and driving the agenda for an entire industry on a global scale. 



We believe in taking a people approach in everything we do. Being human-centric is not restricted to our products – it’s a way of life at Trackunit. We’re proud to be a truly global team. Our colleagues get together in hubs spread across the globe, but we embrace the idea of working remotely and in environments that inspire you. Everything we do, we do it to eliminate downtime and build the most useful industry for the world. 



The question is: Are you in? 



    Due to continuous growth, we are looking for Mobile Developers with a proven track record in Native Android and IOS development. You will become a key person in the growth of our mobile products used by 10.000+ active users every day. At Trackunit we believe that flexibility and empowerment are the key to innovative value creation and we are always on the lookout for new innovative ways to approach tasks using the latest tools and cutting-edge technologies. We look for people who can prioritize, multitask, and deliver – because it’s just a lot more fun to get things done!
   


    We strive towards having as much time overlap within teams as possible. We have engineering hubs in the CET (UTC-1) and EST (UTC-5) time zones.
   

    Generally we offer a flexible setup with the possibility to work from one of our locations or remotely from anywhere within the proximity of location and time zone. 
   

Are you based in Denmark we offer locations in the hearts of Copenhagen, Kolding, or Aalborg.
Are you based in Ontario, Canada we offer location in London, ON or Kitchener, ON



Every day is different, but you can expect to:


Write great quality code with a drive for automated testing and validation
Spark creativity in design sessions and think out of the box to meet customer needs.
Work with product managers and engineers who are eager to get your take on issues.
Dare to go new ways to solve technical problems and take ownership.
Provide Customer Value using UX and usability best practices.
Set your mark on products and new launches.
Be heard and strive to make an impact, because your projects are your responsibility.



Who are you?


You are likely a key contributor to a mobile development team.
Your experience is with developing native apps (iOS and/or Android) using Swift and/or Kotlin, meaning you know your way around the tools and technologies supporting this.
You bring a disciplined approach to development, automated testing, and code structure.
You excel in what you do, and you might hold an engineering degree or a similar technical education, could also be that you are a self-taught developer with a portfolio of successful apps.
You are passionate about creating mobile applications and follow technologies and trends for the latest updates.



What’s in it for you?


A place in an agile growth SaaS business, with possibilities to grow internally in the company.
Great personal development opportunities through i.e. training, coaching, and mindfulness.
International environment with biweekly demo check-ins with the whole company.
Social events across teams/departments.
Continual learning of emerging technologies and industry trends and focus on personal and professional development



A scale-up with a start-up mentality


    We perform at our best in an agile and autonomous environment where we influence our own development and technological development. We embrace the idea of working remotely and in environments that optimizes your work in the best way. In many ways Trackunit act as a startup company with short communication lines and plenty of room for the employees to influence their job and responsibilities. You’ll be working in a rapidly growing international company with a culture reflecting the fun, informal, and innovative You’ll be working in a rapidly growing international company with a culture reflecting the fun, informal, and innovative approach towards all of us being people
   


Trackunit – challenging the status quo to eliminate downtime


    Trackunit is a fast-growing company and a leading supplier of IoT solutions, operating out of thirteen offices worldwide. Trackunit specializes in digital solutions that connect machines, people, and systems in the global construction industry.
   

    The construction industry is the least digitalized industry of all. This lack of digitalization has left construction far behind a global economy on the rise and placed the industry as one of the least productive industries too.
   

    That’s why we challenge the status quo in the way we collect, analyze and present data in real-time to deliver actionable insights – empowering our customers with data to run their businesses better – and take one step closer to the elimination of downtime.
   




   If you have any questions, please contact 
   
Jaramie Lawrence
 Business Partner - People & Talents
     Phone: +4522248210
    



Application deadline:
 Ongoing
  


",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=2d67a41e1a1b192d&fccid=c5c6c40300524021&vjs=3
Mobile app developer (Arhus & Copenhagen),CHARLES,Eksternt in København,"

Do not contact us if you offer development services of any sort since we only hire directly.
The ideal candidate will be part of a team of 18 transitioning aggressively from pre-launch prototype to a commercial product.
We ultimately work on a solution that can solve world hunger and we need partner that are passionate and committed to such hard journey.
Core to that journey is our belief that engineers make reality out of dreams. We are inspired by the engineering quality and principles of companies like Tesla and SpaceX, specially the focus on obsessive focus, first principles and the power of manufacturing as a driver of innovation in engineering. Although we expect to build our company's culture, we believe it will be aligned with those principles (and ambition).
If you are a student (or about to be one), we offer you:

Unpaid internship during the summer (local or remote)


16,000 kr. salary for a part-time job while you study (on top of that, you can benefit from 6,397kr per month from state-sponsored SU )


42,000 kr salary after graduation

This is likely 25% over standard. That is because we are looking for the top 2-5% quality available in Denmark. Ie, we are looking for high performance, high potential candidates that can help us scaling fast from pre-launch while helping them realize their potential while studying and working in Denmark.
You will be fully responsible for building our 2 mobile apps, starting from the already existing API endpoints. The first app is basically composed of:

Marketing/promotional elements


Login and other access-related features


Scheduling of activities


App-baed ""remote control"" for our robot


Notification system


Operator actions

We are looking at someone that have experience and can execute on this project flawlessly and without major risk factors. The ideal candidate should have a good sense of aesthetics and should be able to develop without having designs, which may happen during the initial stage. Experience in web app development (backend or frontend is a nice plus).
We are strictly focused on folks willing to bring high performance and obsessive focus to our team. We want to treat you accordingly. You are willing to join a startup, and commit time to it success. You're good at making things happen against though deadlines and under strong individual goals. You're likely an engineer at heart when you address challenges and problems.
For more information or questions please contact us at anibal@charlesrobotics.com
Please write in your application that you've seen the job at Jobfinder

Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 31 aug 2022
   





    Indrykket: 31 aug 2022
   



    ID: 331289713
   



    Adresse
   

CHARLES



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted24 dage siden,Fuldtid +2,,https://www.indeed.com/rc/clk?jk=76c5641201c069cf&fccid=ad4d231793550417&vjs=3
Google Flutter Mobile Developer at social media startup,LifeBonder,Eksternt in Vejle+1 sted,"





The LifeBonder mission is NextGen social media. We will lead a social media revolution to bring user needs front and center. The next generation of social media will no longer let technology strip away our sense of being together, but rather leverage technology to making it happen - and doing it in ways that shifts the focus away from spending hours finding friends to being friends.
 You’ll work closely but remotely with the current team to develop a State-of-the-art mobile app. You are a Google Flutter coding genius (or close enough) and a quality-conscious developer who considers your work as a craft where there is no compromise on quality. It is natural for you to insist on delivering the best solutions according to ""Best Practice"".

Responsibilities

You'll work with the development team to build our social media app using Google Flutter. 
You'll be developing new code and features in Google Flutter and Dart. 
You'll have an influence on the development of the product. 


Skills

You’re a recent graduate junior, senior graduate or an senior developer in the field of Google Flutter programming with a passion for visually appealing mobile app design. 
You can work independently and feel comfortable structuring your own time with little oversight. 
You have the ability to translate spoken ideas and rough wire frames and mock-ups into highly appealing mobile app design. 
You are a strong communicator, comfortable with working remotely and in person. 
You’re excited for new challenges in mobile app development. 


What We Offer

We are a team of endlessly dedicated developers offering a fun and friendly work environment where everyone is equal. 
We offer real-world work experience and exciting challenges where you can make a real difference. 
Awesome recommendations and when you’re ready to move on, we’ve got your back. 
Full-time hires at a later date and potential for Equity in the company.










  LifeBonder 
 




     Vejle
    







     Kokopäiväinen
    




Julkaistu 02.09.2022

",Posted1 dag siden,Fuldtid +1,,https://www.indeed.com/rc/clk?jk=78d2d75cf78bc81d&fccid=6a7c8b71fa0f1ff2&vjs=3
Mobile Developer - Internship,Liv,København,"

Company description  Liv is a health-tech startup on a mission to make health easy and accessible for all. Our vision is to be the world leader in predicting and preventing illness due to lifestyle. Our AI-driven health assistant helps you build self-awareness and understand how your lifestyle and everyday behavior affects your health, body, mind and performance. By analyzing massive amounts of continuous healthcare data and correlating it with your behavioral patterns, allow us to build personalized recommendation engines and predictive models tailored to each individual. We aim to improve and extend the quality of people’s lives by helping them make the right lifestyle choices everyday – and ultimately prevent them from becoming chronically ill and dying prematurely.
Competences & requirements – Who are you? 

Experience in developing apps for iOS and/or Android using Flutter, React Native or native SDK’s.


Experienced in development of apps that are supported by a mix of backend systems and third-party suppliers.


Demonstrable experience in API Integration (REST / JSON).


API's Design and Development experience will be preferred.


Experience with Google Firebase.


Experience with AI framework integration into mobile app.


The familiarity of version control programs like GIT.


You care about the quality and you know what it means to be responsible for shipping high quality to our users.


Independent worker with a curious and innovative mindset.


A Bachelor’s, Master’s or higher university degree or equivalent experience within the field is preferred.


Excellent spoken and written communication skills in English.

Responsibilities 

??Develop cross-platform mobile applications (iOS & Android) for internal products using Flutter, React Native or native SDK’s.


Work collaboratively with designers and backend developers to create the best possible end-user experiences.


Drive mobile development standards and best practices throughout the organization.


Participate in User Experience research.


Integrate with third-party SDK’s.

Add-on competences (not required) 

Passion or experience with ML/AI or other deep learning frameworks like TensorFlow, PyTorch or Scikit-Learn.


Programming skills in Python and knowledge of algorithms and data structures.


Knowledge of math, probability, statistics, and algorithms used for time-series data.


Experience with model validation, accuracy, verification and visualization.


Knowledge or passion/interest within Health and Tech.

Starting date  As soon as possible.
Duration  3-6 months, with a possibility of extension and/or a possibility of hiring on a part-time/full-time basis.
Employment  This is an unpaid internship and we welcome students, recent graduates or individuals seeking to flex their Mobile Development experience to apply for this role. We also invite students who are interested to do their Bachelor’s or Master’s thesis in collaboration with our company.
Location  Our office is located in central Copenhagen, Denmark. We are looking forward to hearing from you!
Please write in your application that you've seen the job at Jobfinder.

Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 31 aug 2022
   





    Indrykket: 31 aug 2022
   



    ID: 331289729
   



    Adresse
   

Liv



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted2 dage siden,Fuldtid +2,,https://www.indeed.com/rc/clk?jk=5096278ca1e8278c&fccid=75dbafc87aae7a7a&vjs=3
Flutter Mobile App developer - Internship,vCare Denmark,København,"

We are looking for: 

Experience with Flutter based mobile application development


Knowledge of CI/CD using Jenkins


Experience in writing Unit and integration test cases for mobile app


Integration with wearable devices

We are on a journey to create a complete health care ecosystem for patients suffering from Chronic diseases. The mobile app will act as a tool to help, aid and improve millions of lives. We offer to share our extensive knowledge around healthcare and telemedicine domain and experience to add value, structure, and process to your CV. With your desire to learn and contibute, vCare would be a great place for you to showcase and use your skills.
For more information or questions please contact us at or phone number 20 14 24 88.
Please write in your application that you've seen the job at Jobfinder.

Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 sep 2022
   





    Indrykket: 1 sep 2022
   



    ID: 331289933
   



    Adresse
   

vCare Denmark



1000København K
Danmark




    Fuldtid
   

     Permanent
   


",Posted2 dage siden,Fuldtid +2,,https://www.indeed.com/rc/clk?jk=72dfb62a38c2908c&fccid=20011b6949154123&vjs=3
iOS Mobile App Developer,Bernafon,København,"

Are you thinking about your next exciting job? How about creating software that makes magic happen for the thousands of people who make calls or play games with our audio devices? If you are a passionate iOS Mobile App Developer who wants to deliver premium audio solutions, then come join us! 
Our future iOS Mobile App Developer  EPOS is at a point where software is as important as hardware in creating excellent audio experiences for our customers. We need you to join our Mobile Apps Team within the High-Level Software Department to keep the magic going.
What we need is a native iOS app developer who can deliver outstanding solutions together with our local team in Denmark and our offshore partners.
Join our international team  You will work alongside architects, UX experts and our skilled product owners. The team is small but growing steadily and we all have a strong technical background and a desire to reach our goals – together! You will work on a complex app project where we have native solutions for both iOS as well as Android. Our working environment is agile, and we work using Agile Scrum Methodology. As we are a rather new team, though with experienced developers, you must be willing to take on a range of tasks from front-end to back-end and you must be comfortable with working in a team that continuously learns and strives to improve its way of working!
The ideal candidate must have the following: 

Professional skills: Swift, 2-years’ experience Clean architecture Viper/MVVM Obj-C, 2-years’ experience 


Personal skills: Experience working with offshore partners Positive “can do” attitude and team spirit Pro-active in collaborating with cross-functional teams Fluent written and spoken English 

 Nice-to-haves:  You will have the opportunity to work with the following technologies/tools:

C/C++


BlueTooth


Rest API


Git


Azure DevOps

We do not expect you to be a master on every of all of these tech stack, but you will need to have decent knowledge and experience in some of them and the attitude and focus to learn the rest as part of your self-development.
Joining EPOS  You will be working in a growing international company with rich opportunities for professional and personal development. We strive for an open and supportive way of working where sharing knowledge and ideas are highly valued. We all share the passion and the will to deliver premium quality in everything we do. You can expect a very dynamic working environment where you will work with state-of the-art technologies, be part of an informal work culture and have significant influence on your daily work.
Application and contact  Interested? 

Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 26 aug 2022
   





    Indrykket: 26 aug 2022
   



    ID: 331285316
   



    Adresse
   

Bernafon



Danmark




    Fuldtid
   

     Permanent
   


",Posted7 dage siden,Fuldtid +1,,https://www.indeed.com/rc/clk?jk=e0dd428d599ff599&fccid=eb7c9948b5e0f296&vjs=3
Mobile Developer,MapsPeople,Aalborg+1 sted,"

  As part of the Mobile Team you will help develope iOS and Android SDKs and apps for our world-leading live indoor navigation platform, MapsIndoors. The SDK supplies map visualization, navigation, search and other advanced features to the customer application and is often a major part of the key use-cases. We supply some of the world's largest corporations within IT, finance, technology, sports and convention centers, and are used by millions of end-users every day. The diversity of use-cases requires you as a developer to find an easy-to-use and flexible way of supplying the features needed. The reward is to see features utilized and solutions created by clients in ways we have not even dreamt about. That is what true flexibility is about....
 

   Your job:
 

   You will focus on developing iOS and Android SDKs and apps, and help build reusable mobile framework components with flexibility in mind. We have a continuous focus on maintaining market-leading SDKs and corresponding showcase apps in terms of technology, functionality, and design. You will also develop roadmap features for the iOS and Android platform.
 

   We offer you a job with many exciting professional and personal challenges, where flexibility not only is the key word to our SDKs but also your everyday life. We work together and pull together as a team with a high degree of freedom to make an impact on offerings that are used at some of the largest companies in the world.
 

   Your work will make a difference for clients around the world, where our state-of-the-art indoor navigation platform plays a central role in indoor mapping, indoor positioning and in the integration with various software and hardware technologies.
 

   As Mobile Developer it is also your job to help some of our customers implement MapsIndoors in their mobile apps. This will happen during technical workshops with the customer’s developers, where you function as a product champion.
 

   Your profile:
 

   You probably hold a relevant degree within SW development, but your actual working experience can vary. Maybe this is your first job, but you have been coding and developing as a hobby or part of a project or maybe you have 1-5 years of experience - the most important thing for us is that you are ready to put your knowledge, passion, and interest to good use. It is a plus if you are familiar with some of these:
 

iOS and/or Android development
Xcode or Android Studio
Test and release procedures
Objective-C, REST API’s, Swift
Cross platform frameworks, e.g. Xamarin, Flutter, React Native


  On a personal level you are a teamplayer with a passion for software and the latest tech trends. You are keen on learning new technologies, frameworks and ways of working. You work responsibly and independently according to the benefit of the team and our common goals. Furthermore, you have good communication skills (English and/or Danish) both verbal and written.
 

   Your expectations:
 

   You can expect a job with a lot of exciting professional and personal challenges. Your effort will make a difference for clients around the world, where our platform plays a central role in regards to indoor mapping, indoor positioning, and in the integration with various software and hardware technologies.
 

   You can expect us to work together and pull together as a team.
 

   You will experience modern office facilities with room for contemplation and an informal and dynamic company culture.
 

   We offer a compensation package that matches your qualifications as well as flexitime, lunch, and retirement and healthcare plans.
 

   MapsPeople - guiding you anywhere - anytime:
 

   MapsPeople is a world-leading provider of indoor navigation through our flagship product ‘MapsIndoors’. For more than a decade, we’ve been a trusted partner and provider of Google Maps licensing products.
 

   From our offices in Aalborg (HQ), Copenhagen, and Austin (USA), we strive to bring value to our customers and end-users. We are proud to serve some of the world’s most recognized companies and institutions, e.g. Arlanda Airport, Golden State Warriors, Miami Dade College, Mobile World Congress, and many more.
 

   We have a strong collaboration with Google Maps, and for several years, we have been a Google Maps Premier Partner.
 

   At MapsPeople we value professionalism, creativity, and speed in an informal environment.
   We are 90+ dedicated employees who represent 18 different nationalities. To support our continued growth in 2022, we are recruiting a lot of new talent.
 

   Application:
 

   We look forward to receiving your resumé for this position. Please upload your documents in pdf-format
 

   For more information, reach out to Recruiter, Marcus Kaas, on phone +45 2764 4280 or e-mail maka@mapspeople.com.
 

   NOTE for candidates: To comply with European legislation regarding the processing of personal information (GDPR), we only accept applications and resumes via the MapsPeople career site (career.mapspeople.com). This means that only applications/resumes submitted via the career site are considered in the recruitment process. Applications and resumes sent to MapsPeople employees on e-mail are discarded without notice. 
 

  NOTE for headhunters/recruiting agencies: MapsPeople does not accept forwarding of any candidate resumes or candidate description from third parties including recruiting agencies or consultancy companies without an explicit and written agreement.
 

   In case MapsPeople hires a candidate who has connected to MapsPeople or applied for a specific job via our career site.
 




Department


  Development 
 

Locations


  Aalborg
 
",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=abf03026363c666c&fccid=43cbc2350b293def&vjs=3
Mobile Developer (part-time / full-time),Solidstudio,Eksternt in 3000 Helsingør,"



   JavaScript (regular) 
    TypeScript (regular) 
    MOBX (regular) 
    Redux (regular) 
    React Native (advanced)
  


About Solidstudio ?
    


     Solidstudio is a group of IT professionals, operating independently on the market for over five years with a focus on satisfying and smart challenges. Over this relatively short existence on the market, we have been supporting big market players and building our own expertise in the e-mobility world.
   

     Working at Solidstudio means working with a bunch of smart guys with up-to-date technology stack, distributed architecture, and people that love having a great laugh. If building and shaping amazing solutions and products in highly efficient teams is something you would like to form, then sending your resume is the next step!
    

Localization:



 Remote
 in the Krakow office



 Contract:



 B2B
 Employment Contract (UoP)
 Contract of Mandate (UZ) 

 We offer full time or part-time (at least 80 hours per month) job.


 We offer



 support in developing a career path according to one’s individual criteria.
 support in self-development through, among others, training budget (3000 PLN per year).
 (online) Japanese lessons for free 
coverage of the quality of conducted projects - Code Review, CI/CD, extreme programming.
 agile and lean management methodologies.
 private healthcare and MultiSport card.
 well-equipped office in a central location close to Main Square.
 company integrations every quarter.



 We are looking for experienced and proactive developer, who:



 has at least 3 years' experience of experience developing Android or iOS applications with React Native;
 has practical knowledge of GIT version control system;
 is familiar with state/data management libraries (redux/mobx);
 has knowledge of the latest JavaScript standards and being familiar with TypeScript;
 knows testing frameworks (is/detox);
 is familiar with the basic functions of platforms, push notifications, location services, etc...;
 has good command of written and spoken English (CEFR B2+);



 Nice to have:


 knowledge of Scrum and Agile methodologies;
 the ability to identify functional and non-functional requirements of an app, based on clients’ input;
 e-mobility experience



How does our company make you feel good?



 ""People, People and People again. They build the company. In addition, the projects we work on are very innovative, the technologies / techniques we use are the latest that we can use."" - Happy developer at Solidstudio
 ""Opportunity to learn new things, test them in production conditions."" - 2nd happy developer at Solidstudio
 ""Freedom to choose which tools to use."" - Recruiter at Solidstudio (that's me!)
 ""Honest work for honest money."" - Senior developer at Solidstudio
 ""People, atmosphere, freedom of remote work / office work."" - Marketing specialist at Solidstudio


 Our recruiting process is as fast as Max Verstappen on the track It takes about 1 week. Interested? 
   



Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 1 sep 2022
   





    Indrykket: 1 sep 2022
   



    ID: 331290488
   



    Adresse
   

Solidstudio



3000Helsingør
Danmark




    Fuldtid
   

     Permanent
   


",Posted4 dage siden,Fuldtid +1,,https://www.indeed.com/rc/clk?jk=93ab14768bfa509c&fccid=6845d3a1d0ba5a25&vjs=3
Software Developer Internship,United Nations Development Programme (UNDP),Eksternt in København+1 sted,"




Software Developer Internship





Location :


     We offer both options to work in our offices in Copenhagen or remotely, DENMARK 
    




Application Deadline :


      18-Sep-22 
     (Midnight New York, USA)





Time left :


      15d 7h 54m
    




Additional Category :


      Crisis Response
    




Type of Contract :


      Internship
    




Post Level :


      Intern
    




Languages Required :



      English 
    




Starting Date :
 (date when the selected candidate is expected to start)
    

      02-Jan-2023
    




Duration of Initial Contract :


      6months (possibility to work up to 9 months if it will award the intern an educational credit
    




Expected Duration of Assignment :


      6 months
    












UNDP is committed to achieving workforce diversity in terms of gender, nationality and culture. Individuals from minority groups, indigenous groups and persons with disabilities are equally encouraged to apply. All applications will be treated with the strictest confidence.


UNDP does not tolerate sexual exploitation and abuse, any kind of harassment, including sexual harassment, and discrimination. All selected candidates will, therefore, undergo rigorous reference and background checks.












Background






The United Nations Development Programme (UNDP) Unit of Information and Technology Management (ITM) in Copenhagen is responsible for supporting UNDP Country Offices around the world with ICT and Green Energy solutions. Our Unit offers a stimulating and versatile internship in an International Environment with contact to various partners from some 166 countries with UNDP presence. We are a team who work in a dynamic and informal atmosphere, and we expect our interns to become vital members of the team.
 As an intern, you will be given tasks and opportunities that have a direct global impact on the development efforts of the international community. The UNDP/ITM internship programme enhances the academic life experience of passionate students as interns and empowers them to become socially responsible, innovative, and environmentally conscious leaders of tomorrow. We bridge the gap between textbook learning and real-life industry experience by taking interns behind the scenes of the world’s leading clean energy and sustainability initiatives, while learning to take into consideration the local context.
 Being a part of our dynamic unit, you will also gain worldwide connections with other top-talented interns and UN staff from other agencies; our office is located at the UN City in Copenhagen, giving you the opportunity to interact with people outside the UNDP ITM Unit.








Duties and Responsibilities







Support online collaboration tools and business process automation solutions for UNDP Country Offices within the collaboration platform (Microsoft SharePoint and Office 365)
 Assist in the development of applications using PowerApps for business processes to replace manual and paper-based processes with new and evolving cloud-based functions.


 Assist in building applications that employ PowerApps and Flow for mobile-enabled data entry, approvals, and reporting, as may be required.
 Provide support in expanding and refining existing tools used in the implementation of Green Energy Projects implemented by Green Energy Team.
 Support the collection, consolidation, and analysis of data for project-tracking, and data visualization using Excel, Power BI, and other business intelligence tools. Contribute with innovative perspectives to improve online reports and dashboards for internal and external use.
 Assist in enhancing user interfaces of existing apps based on UI/UX best practices and user acceptance testing.Support and continuously innovate (kaizen) the Green Energy procedures, instructions and templates from best practice and then disseminate them through the user community liaising with the communications team
 Assist in elaborating and cleaning data gathered via IoT devices installed in UNDP Country Offices by using Data Science principles


 Participate in translation of user requirements into UML Diagrams. Support the development of quality software practicing international coding standards
 Assist in researching alternative tools for enhancing internal communications and tracking, such as chatbots in MS Teams, decision-making assistance tools through various Office 365 tools (Flow, Forms, PowerApps, etc.), and information design (data visualization)
 Creatively support the development of new projects for innovative collaboration and business process automation systems and tools to be disseminated to UNDP offices as best practice for improvement of operations and business efforts.
 Promote the ITM’s overall ICT strategic framework and work plan pertaining to the minimum ICT standards, infrastructure, and connectivity dimensions. The ITM unit is ISO 9001:2015 certified, our work is focused on high quality, continuous improvements, and customer satisfaction









Competencies







Technological expertise: Has interest and understanding of software engineering, sustainable development-oriented areas of work
 Innovation: Has interest in developing smart solutions for UNDP, focusing on ICT services.Promote a client service-oriented culture within the unit, connecting the new upcoming UNDP Digital Workspace strategy with current theories and practices in Design Thinking, Service Design, and Customer Experience.
 Problem solving: Has good analytical skills in gathering and consolidating data for practical implementation
 Teamwork:Communicates effectively when working in a teams, and can work independently with


 Proactive attitude and a goal-oriented mind-set


 Planning and Organization: Good in organizing and structuring various tasks and responsibilities
 Collaboration: Displays cultural, gender, religion, race, nationality and age sensitivity and adaptability
 Has interest and motivation in working in an international organization
 Commitment to continue learning: Consistently approaches work with energy and a positive, constructive attitude. Responds positively to feedback and differing points of view.


 Delivery: Is a self-starter and initiative-taking person with a goal-oriented mind-set; good in organizing and structuring various tasks and responsibilities, effective when working in teams and independently. Promote the ITM’s overall ICT strategic framework and work plan pertaining to the minimum ICT standards, infrastructure, and connectivity dimensions. The OIMT unit is ISO 9001:2015 certified, our work is focused on high quality, continuous improvements, and customer satisfaction.









Required Skills and Experience







You must meet one of the following requirements:
 You are currently in the final year of your Bachelor’s degree; or


 You are currently enrolled in a Master’s degree or equivalent; or
 You have graduated no longer than 1 year ago from a master’s degree or equivalent studies in the field of IT Technician/Software Developer, Computer Science, Electrical Engineering
 Experience or Knowledge in the field of IT Technician/Software Developer, Computer Science, Electrical Engineering is required
 Good knowledge of Microsoft cloud technologies (Office 365, SharePoint Online, Azure) and back-office platform (SharePoint, SQL) and frameworks (.NET, PowerShell, etc.)is an advantage
 Good knowledge of web-based development with one or more of the following platforms: PHP, JavaScript, or .NET. Also, has experience working with state-of-the art frameworks extending those platforms, such as jQuery, NodeJS, etc. is an advantage


 Knowledge and being a proficient user of Microsoft Office productivity tools is an advantage
 Knowledge or experience with specific Office 365 tools (or their consumer equivalents) such as Planner (Trello), Teams (Slack), Yammer (Workplace by Facebook), OneDrive (Drop Box, Google Drive), Power BI (Tableau), etc. is a distinct advantage
 Knowledge and understanding of DevOps and Continuous Integration is an advantage
 Good knowledge of Data Science principles and hands on experience with scripting language such as Python is an advantage
 Experience with relational databases (schemas, design) and XML is highly desirable


 Experience and ability in using business intelligence tools, for example: gathering, consolidating, and analyzing data from databases and reports, manipulating data in Excel (Pivot Tables and queries), Power BI, etc. is an advantage
 Experience and knowledge in “app” development with InfoPath forms and Nintex Workflows is an advantage
 Experience with web analytics tools (Google Analytics, Webtrends, Matomo, etc.) is an advantage.
 Knowledge of HTML5, CSS, graphic design and web standards/best practices is an advantage
 Knowledge of Nintex Workflows, PowerShell, .NET platform, and/or C# programming is an advantage


 Knowledge and understanding of main Renewable technologies and relative relevant parameters?are an advantage
 Interest in developing sustainable ICT solutions, focusing on modern ICT innovations that enhances collaboration within UNDP and with its partners is an advantage
 Ability to translate IT technology to business users and to non-technical language is an advantage
 Interestand understanding of customer-oriented service delivery, with focus on innovative enterprise ICT solutions, IoT solutions, collaboration and customer experience is an advantage
 Understanding of data management, including real-time/streaming data, data warehousing and data cleansing is an advantage


 Fluent in written and spoken English. Knowledge of other UN languages is an advantage.






",Posted30+ dage siden,Praktik,,https://www.indeed.com/rc/clk?jk=2f8cef7d45279c5d&fccid=a9a8bf2e786e3726&vjs=3
Senior Mobile Developer (React Native),Billetto,1614 København,"
COMPANY
 Billetto was founded in Copenhagen in 2009 with the mission of engaging people to go out more, discover new experiences, socialize and get culturally enriched.

 Billetto has become the Nordic market leader in ticketing and culture advertising. It provides over 44,000 event organisers with a plug-and-play ticketshop that enables them to sell tickets and promote events online, through mobile phones and on social media.

 Billetto’s platform and community enable people to discover and plan events with their friends. Real-time traffic, sales and contact information of customers is aggregated for organisers, enabling them to connect more meaningfully with audiences and to promote future events.
 Coming out of a strong 2021, we are now embarking on the third phase of our development, getting ready to scale our mobile business, capitalizing on our state-of-the-art Ticketing and Advertising Solution. We are therefore looking for a seasoned native mobile engineer to complement our development team in a newly established position as Lead Native Mobile Developer.
 You will be based out of Copenhagen and work in a young and international environment in close partnership with product owners and remote backend engineers.
  ROLE
 We are offering a full time job for a Lead Native Mobile Developer in Copenhagen, who will be in charge of migrating our existing native apps into React Native. The job will consist initially of developing an entirely new well structured React Native app architecture and product experience, using our existing apps as design and experience guidelines. You will be provided an extensive and already tested set of API endpoints that the app will interface to. You will work together with other mobile and back-end developers, and occasionally with the UX designers and the Support team.


 RESPONSIBILITIES

Ownership of Native product line and milestone releases
Build up new native architecture in React Native
Co-plan Native Mobile roadmap with CEO
Self-organize objectives and Key results for the Native mobile product
Collaborate with backend developers to ensure API and endpoint expectation alignment and briefing
Build sturdy, expandable, structured code from scratch
Manage the distribution of the apps in App Store and Play Store
Provide data on the app usage and apply data-driven decisions
Collaborate with the customer support team to improve the product based on feedback



 SKILLS AND QUALIFICATIONS

 Application development

Proficiency in spoken and written English
Experience in building well structured and flexible architecture
Experience in building a full React Native App from scratch
Understanding of Apple and Android design principles and interface guidelines
Experience with native iOS (Swift/Obj-C) and or Android (Java)
Complete familiarity with RESTful APIs to connect to back-end services
Experience shipping apps on both App Store and Play Store
Experience working in a team, roadmapping, leading the development of a project on your own
Familiarity with automated UI and unit testing.
Familiarity with cloud message APIs and push notifications



 If you are interested, please send an email and your resume to Simone at sich@billetto.com
",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=34410be5eca8cc35&fccid=49f970541760cfca&vjs=3
