job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile Developer,Siili Solutions,Suomi,"
Are you an experienced Mobile Developer? Do you understand the quirks of different mobile platforms? How about a new career path with 700 other highly skilled modern craftsmen and -women at Siili? You can be an expert in either iOS or Android, or both!
 In your application we'll be browsing for the following skills and level of experience:

 Minimum two years experience in software development on Android or iOS –platforms.
 Experience in following technologies: Java or Objective-C or Swift
 Experience in open source and commercial tools and techniques
 Interest and experience in agile methodologies
 Communication and collaboration skills and ability to work proactively
 Drive to make yourself better each day and to create the best possible outcomes
 Fluent Finnish and English skills

 What’s in it for you?
 Here in Siili we co-create modern web and mobile services with our customers. As a consultant you have the chance to work in interesting and varying customer projects together with senior level colleagues. We have exceptionally experienced and skilled professionals who share strong craftsmanship attitude and passion for continuous development. We want you to be proud of your competence and get excited about your work! Siili is a fusion of creative minds and passionate digital and technical artisans with an average of 14 years of work experience from our respective fields. We combine strategic insight, creative design, technical excellence and measurability into one agile entity. Together with our many customers, we co-create modern web and mobile services for customers and their end users. In addition to the awesome co-workers we offer you an attractive compensation package.
 Got interested?
 If you have questions about this position, please contact Julia at Julia.karjalainen(a)siili.com. We are growing fast, making good profit and starting new customer projects all the time, so we are willing to start the discussions with you immediately. Don’t hesitate but send your application rather sooner than later!

 

",PostedJulkaistu yli 30 päivää sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=93b6bd219891733f&fccid=328bd673a11ecff8&vjs=3
Developer (OMS),Naveo Commerce,Suomi,"









Naveo is on the lookout for developers to join their team working on our cloudbased Naveo OMS v10 product!
 You will be joining a team that is focused on enhancing our standard product to ensure it meets the needs of our customers. They use the Naveo OMS V10 product to manage their businesses.
 If the following sounds good to you, then we are a great fit for you:

 We value human interaction, relentless improvement and learning
 We are proud of the product we are creating
 We are easy-going and have a flexible working environment
 We believe it’s important to be able to truly be yourself at work 

Your responsibilities would include:

Mobile UI –designed for phones and tablets, this offers a cut down UI and is focussed on Warehouse operations and Customer Service Business applications. This is written (currently) in Angular and can be accessed via either Chrome browsers or via an Android APK.
Browser UI –A full browser-based client that will eventually replace the main back-office client for virtually all business users. This is written using Wisej.
The application is all based around an Oracle Database.
Liaising with different colleagues within the Naveo development teams.
Working with Business Consultants to translate customer requirements into technical solutions.
Coding technical solutions that have either been designed by yourself, or other developer / architect colleagues.
Working alongside infrastructure teams to determine how your solutions will fit into the architecture of Naveo OMS V10. 

We are looking for you if you…

Are familiar with coding using C#
Experience with creating inbound and outbound application APIs
Practical and relevant knowledge of OMS / ERP business applications, especially around the OTC and P2P areas
Working with Oracle databases, and a general knowledge of database principles
Wisej (version 2.0 or higher) Are proficient in Android development using Kotlin or Java.
Have experience in Angular
Are confident in challenging practices and code that you see can be improved.
Are able to take responsibility and ownership of your work.
Are interested in helping shape the products you build from first principles.
Are excited to take on responsibility for the architecture of the android code.
Are fluent in English. 

Apply now
 Sounds good, right? Drop your CV and anything else you’d like us to see to careers@naveocommerce.com
 Notice that we will proceed with the most promising candidates right away, so act fast!








",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=30aee07336e91bfd&fccid=e47f6cbbd4379671&vjs=3
Frontend Mobile Developer,Veri,Helsinki,"
Veri is in the need of a seasoned frontend developer capable of building functional code and beautiful things. You'll be working on the Veri application and other customer-facing parts of our services built mainly on React Native.
 As an essential part of the small product team, you will be taking part in every step of making a new feature. You will be participating in inventing, designing, planning, and executing new features to the app. As a fundamental part of building the right things, you'll be constantly talking with Veri users to gain insights on what is essential to build next.
 What do we expect?

You can readily learn most technologies as you go. You agree that technologies are tools, not an ideology.
You have previous experience in frontend development
You're comfortable wearing multiple hats
You have an entrepreneurial mindset
You have the ability to deal with serious ambiguity and you have demonstrated experience setting up and finally meeting ambitious goals in such an environment.

What do we appreciate?

You've built and maintained quality mobile applications Android or iOS.
You are experienced with Typescript & React Native
You have previous experience in UX/UI development
You've been involved in a high growth-technology-driven startup environments - you're excited about the opportunity of disrupting a legacy industry.
You're great at prioritization and you have the ability to say NO to things.

What can we give in exchange?

A fast-paced and thrilling working environment
A nimble team (~40 people) of builders
Excellent team culture built on trust
Transparent working environment
Flexible working hours + work-life balance
Trust and autonomy to work on what you see fit and essential

Compensation & Benefits

Transparent, open Compensation policy
Medical and Dental Insurance
Vacation: Unlimited but at least 30 paid vacation days per year
Work Accessories: Computer, Laptop, Phone, Headphones, Mouse, Keyboard. If needed we can tune your WFH setup (table, chair etc.)
Other: Access to sensors monthly, wearable (Apple Watch, Oura or other), Headspace sub, books every quarter
Lunch, Exercise and Culture Benefits
Blood work 2 times a year from Nightingale (Finland) or Wellnessfx (US)

Process

 1. Intro chat with the hiring manager (45 minutes)
 You'll first talk to the relevant hiring manager on a 45-minute call; you won't need to prepare anything in advance. We would love to hear your story, where you're aiming to go and understand if we can be helpful in that journey. In exchange we'll share you how we came to be, and who we are. Also The we’ll give you a thorough overview of our product – tech stack, development process and our roadmap.
 We’ll chat over a Meet or at our office in Kallio.
 If we both are excited and you seem like an excellent fit I'll forward you to the the tech and product team.
 2. Technical Task + Interview (2-4 hours homework + 2-3 hours interview)
 We'll provide you a task to assess your technical skills and execution. After finishing the task you'll get to demo your work to a few people from our tech and product teams.
 Here you’ll get to ask more questions about the product and our stack. We'd also love to hear about your sweet spot and interests within the areas we are working on.
 Here again, if we feel that you could contribute to our work and you're excited about the challenges we face we'll move forward.
 
3. Meeting the Crew (30 minutes)
 We'll get a few people from the team to interview you and to touch base one last time before making a final decision. If we collectively believe there is a good fit we’ll make you an offer following our Open Compensation Model.

 1️⃣ We aim to keep our process light, punctual and strict.
 2️⃣ We aim to move from Step 1. to Step 3. in no more than 30 days.
 3️⃣ Per our values of Growth Mindset and Transparency we’ll always share the reasoning if you are rejected after talking with us.
",PostedJulkaistu 2 päivää sitten,,,https://www.indeed.com/rc/clk?jk=b7bec22fe17d4f59&fccid=1307e4e232a0c402&vjs=3
Mobile Developer,Vincit,Suomi,"
Phones have evolved way beyond mere gadgets for making calls. This is why we are looking for new colleagues with an innovative (maybe even futuristic?) vision and the skills to ride the waves of mobile development.
 Our projects can be demanding, but you can handle that. Your future teammates are the greatest and the top of their kind (an honest and unbiased opinion). Together, you can achieve pretty much anything thrown at you.
 We hope that you are an expert on native (iOS and/or Android) or cross-platform development and that you are keen to work in close cooperation with our clients. The techs we use are, e.g., Java, Kotlin, Swift, React Native, and Flutter, and we hope that you master at least one of them.
 The projects for you to choose from are versatile and unique. To drop an example, one of the most well-known projects we are praised for is the Hesburger app with over 1m downloads.
 Why Vincit?
 Continuous development, agility, and individual freedom have always been essential for us. At Vincit, you get to lead yourself, design your own role, shake up the stuffy traditions of working life, and work in a modern environment that helps people reach their dreams.
 You are able to work remotely if that’s your thing, and we also offer fascinating opportunities to work at our global offices – just let us know about your interests and we'll tell you more.
 Click here to learn about the tons of other reasons why Vincit may be a great home away from home for you and how we make sure that our daily work is not just about going through the motions.
 Vincit has been awarded as the Best Workplace in Europe by the Great Place to Work Institute. We’ve also been chosen as the Best Workplace in Finland four times (2014, 2015, 2016 & 2022).
 Feel free to send us your application either in Finnish or English.
 P.S. Please note that if you live abroad and want to work with us, we need you to have the necessary permits for working in Finland.
",EmployerAktiivinen 18 päivää sitten,,,https://www.indeed.com/rc/clk?jk=5813c55a211b3ebf&fccid=ece2ab1fffdf16eb&vjs=3
Mobile Developer,Circles Consulting,Helsinki,"
Hi! My name is Minna, and I’ve been working as a mobile developer at Circles for two years now. As we grow, we’re now looking for a brave and skilled senior mobile developer to join us at Circles, and take on the world together. Do you find yourself wishing you could play a part in development projects that matter, working with different business and challenges, whilst always having the support of your own team? If so, a career as a consultant at Circles would be the right choice for you.
 About the Role
 As a mobile developer you’d get to have a varied set of duties, ranging from setting up development environments to publishing the finalized application to the Play Store or App Store. Our customers often anticipate us to take charge and lead projects; a sign of the trust we convey.
 This does mean, however, that it’d be great to have the courage to speak up and carry the responsibility when needed.
 As a consultant you’d either be a part of the in-house team, or a consultant team, but always seen as an equal member of the team. As such, the duties of a consultant are multifaceted and ever changing, which is why adaptability really helps in this role. At times you could be choosing the tech stack used, or maybe packaging the application in its final stages. But variety is the spice of life, right? I find that what I really enjoy in my role is that I get to help businesses reach their goals while learning something new along the way.
 About You
 Kotlin and Swift are familiar to you, and you won’t scratch your head if you encounter Java or Objective-C either. You have an interest in emerging technologies, such as Flutter (which we also find interesting). Equally you make sure that your code is properly tested. The entirety of the mobile development process is something you know the ins and outs of, along with mobile architecture. An added bonus is a good knowledge of databases, and should you also find yourself to be a UX/UI champion, you’ll really be bringing it all to the table.
 In addition to your tech skills, we expect you to thrive on challenges and personal development, as these are areas which will be of importance in this role. You love solving problems and have an entrepreneurial mindset. We’re very much a community, and all we do is centered around a communal way of working, which is why it would be great if you like to do things together, and be a part of making decisions in regards to the future of the company.
 About Us
 Everything at Circles starts with an aspiration to be a great workplace. Circles is founded by experienced consultants, who have vast knowledge of the industry, so they understand exactly what it is like to work as a consultant. For us, it’s important that everyone gets a chance to work in projects which they are enthusiastic about, and you get a lion's share of the revenue that you bring in.
 Learn more about life at Circles here.

",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=1d343e07eb471e34&fccid=4c3d764a0f72f188&vjs=3
Senior Full Stack Developer,IWA,Suomi,"



JOIN US!





 IWA is currently on the hunt for a Senior Full Stack Developer to join our Helsinki team. Since 2009, the IWA team has been building innovative digital services for our clients with little publicity by relying on human-centric design and a kick-ass company culture. 
While we remain a small company, our might is fueled by our international and fun-loving work space, where independence is celebrated while still maintaining a laser-focused and ambitious work environment.
 If you’re an experienced full stack developer looking to bring your skills to a company where you can make a big difference, then we dare you to apply to join our passionate team of digitalization experts. 
IWA’s standing goal is to help companies and organizations reach their full digital potential. We do this by consistently designing, building and operating leading-edge web and mobile services for our clients. IWA’s clients work predominantly in the areas of real estate, cleantech, blockchain and social good. In the last four years we have grown four fold with expansion always on the horizon. 
Our guiding values are #willpower, #fellowship, and #dexterity. At IWA, #willpower means that dropping the ball is not an option and we must fulfill our commitments to our clients and colleagues. #fellowship guarantees that we’re always seeking out the best solutions for our client’s and team member’s problems and opportunities. Finally, #dexterity continually drives us to find the smartest and the most efficient ways to work in order to optimize sustainable work/life balance. We want you to live your fullest, most awesome life outside of work.
 If you enjoy traveling, we might be just the place for you. We’re truly international! In addition to our main office in Helsinki city center, we have offices in Khon Kaen, Thailand, Saigon, Vietnam, and Abu Dhabi in the UAE. IWA team members have a lot of opportunities to do their thing in other locations. (Especially awesome in the Finnish wintertime!) 
IWA offers competitive salaries, complimentary meals on Wednesdays, company-backed healthcare, subsidized city bikes, cool get-togethers and occasional opportunities to become a shareholder of IWA.
 If you’re ready to take a chance at IWA, check out the current job description below. If you can see yourself thriving in what we think is a truly unique company with a positive and supportive culture, and you meet the qualifications we’ve outlined, please send your CV today to career@iwa.fi.
 P.S. We really like GitHub links, too.
 Here’s what we’re looking for. Have you got what it takes?

A degree in higher education (university or polytechnic). Your degree can be outside of computer science and engineering.
At least five years of active experience of a backend language (Java, C#, Node.js or similar)
Multiple years of active experience in the UI side in one of the modern frameworks (Angular 2, React or similar)
Several years of experience in the CI side (Docker, Jenkins, Ansible or similar) at least as a software developer in a project using CI
At least five years of experience of relational databases, experience in documentational databases
Experience in developing apps running on multiple servers and distributed computing frameworks, such as Hadoop or similar
Interest in software architecture and understanding of the qualities and characteristics of different components
Skill of knowing how to balance optimal software development solutions with practical project requirements
Ability to understand how your development decisions affect the user experience
Some experience in Amazon, Azure, GCP or similar
Willingness to share your experience and knowledge with more junior colleagues and to help them become better developers

For this position strong Finnish and English language skills are required.





",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=969d7201365c4319&fccid=cb265ec170c43e9f&vjs=3
Mobile / Web Developer,HiQ Finland Oy,Espoo,"





We are looking for a Mobile Developer for application projects, maintenance, and small development tasks. 
HiQ is a leading provider of demanding and intelligent web services. Today, web services are the platform for digital experiences. It enables a great online communication service, modern online stores, mobile applications, a superior online experience, and new experiences e.g., augmented reality (AR) as well as virtual reality (VR).
 Our mobile solutions have always been implemented using the technology that best serves our customers' needs, be it the development of a native application with Swift or Kotlin, or alternatively a cost-effective development with React Native or Flutter. In certain cases, Progressive Web Apps (PWA) or responsive Web development with modern frameworks can be chosen as the technology.
 We are now looking for an experienced developer who wants to make quality code, appreciates teamwork and has good communication and interaction skills. You enjoy varied work tasks and are able to work with a wide range of different technologies and tools, and you are not afraid to take on new challenges.
 To thrive in this position, you'll need

Several years of experience in software development


Experience in mobile development (either Native, React Native or Flutter)


Experience in Front End and possibly experience of modern JavaScript frameworks (e.g., React, Angular, Vue)


Eagerness to learn new things


Good communication skills in Finnish and English

 We offer 

competitive salary


the opportunity to further develop and expand your skills


flexible working hours and temporarily remote work


an employer who supports in various life situations


safe and stable workplace


low hierarchy and flexible and relaxed organizational culture


comprehensive personnel benefits (e.g., learning platforms, self-development days, extensive occupational health care and health insurance, lunch benefit, sport & cultural benefit vouchers, cultural and sports club, sick childcare benefit)

 Interested to join us? 
If the role sparked your interest and you think you'd be a great match for HiQ, send us your application. You can send the application either in Finnish or English.
 You can also apply by sending an email directly to Oona Muilu (oona.muilu@hiq.fi). Just tell us briefly about your work experience and leave us your contact information.
 Other related to the job 

The start is flexible according to your situation.


The role requires minimum professional proficiency in Finnish language.


You can currently work remotely (within Finland), but most of our projects require working in Helsinki metropolitan area at least once a week.

 WWW-osoite: http://www.hiq.fi Yhteystiedot: Oona Muilu, oona.muilu@hiq.fi Työpaikan osoite: Tekniikantie 14, Innopoli 2, 02150 ESPOO Palkkaus: Kokemuksen mukaan Työ alkaa: Sovitaan joustavasti Työaika: kokoaikatyö Työn kesto: yli 12 kuukautta Haku päättyy: 30.09.2022 klo 23:59 Ilmoitus jätetty: 02.09.2022 TE-palvelujen ilmoitusnumero: 11597844 
 Lähde: TE-palvelujen asiakastietojärjestelmä
 .









  HiQ Finland Oy 
 




     Espoo
    







     Vakituinen, Kokopäiväinen
    







     3 - 5 vuotta
    




Julkaistu 02.09.2022

",PostedJulkaistu 1 päivä sitten,Vakituinen +1,,https://www.indeed.com/rc/clk?jk=5c13df2321f1b35f&fccid=ee50d2c3aebaae38&vjs=3
Mobile Developer,Movial,Helsinki,"
We are looking for an experienced Mobile Developer to join our team in Helsinki. Depending on the project and customer, you may be working on-site at customer premises, at our own office in Ruoholahti, remotely or a combination of these. Wherever you are working, you will have the project team and other Movial experts available to support you when needed.
You can be a seasoned expert or you can be still early in your career, but at minimum we expect you to have experience in:

Android and iOS application development
 Java, Kotlin, Swift
 Multithreading
 Asynchronous networking
 Interacting with backend systems via APIs

We appreciate it if you also have experience in and/or interest in learning:

Flutter
 React Native
 Graphics and 3D programming

We also expect you to be a great team player as well as able to complete tasks independently and organize your own work as required, but you are not afraid to ask for support when needed. You enjoy sharing your knowledge and experience with your colleagues to help them improve skills and to have the necessary understanding to select the best tools and technologies. You are able to communicate the ideas, opinions and concepts with the development team and our customers in a clear and understandable manner, both verbally and in writing. We value open-mindedness, interest in learning new things, flexibility, good interpersonal skills and consultative attitude.
At Movial you will work with supportive, fun and skilled colleagues from Helsinki as well as from our other offices abroad. You will have the opportunity to work on interesting and varying projects where the product of your work may be used by literally millions of people. You will have an opportunity to develop your skills further and learn new ones. We offer a competitive monthly salary based on your experience, skills and work results. We are flexible with regards to organizing your work and vacations. We have a very relaxed office atmosphere without any politics or corporate bureaucracy.

",PostedJulkaistu yli 30 päivää sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=196aaaa2d65a34f3&fccid=ee590a17cc73f003&vjs=3
Mobile Developer,Reaktor,Helsinki,"

Do you have a passion for well-functioning mobile apps?
Would you like to work in a multidisciplinary team of highly motivated professionals helping clients reach their full potential with mobile solutions?
Are you keen on building apps that make life better for millions of consumers every day?

Our award-winning tech community is looking for talented Mobile Developers to join our office in Helsinki, Turku, Tampere or jump into our remote talent community spread across Finland.
 What you'll do
 Build digital services that improve people's everyday lives
 Your daily tasks could include:

Creating mobile apps from scratch for either iOS or Android platforms. Our mobile developers usually focus heavily on designing the app's architecture and developing the back-end.
Various tasks regarding existing mobile apps. Your day-to-day may include reading through the code, evaluating the app architecture, and giving feedback.
Adding new features and functionalities to existing mobile apps. Not all of our projects include creating the mobile app from scratch but working on an existing one adding new features or improving its functionality.
Adding functionalities to the back-end of the app. Your job might not be to be responsible for the back-end yourself, but you should be able to at least understand the field to support the team who is.
Prototyping focusing on either excellent UX and visual identity or validating the functionalities in practice.

What we're looking for
 A mobile developer who lives for modern mobile development
 To thrive in this position, you'll need:

An ability to develop for either major platforms, iOS or Android, either natively or using cross-platform tools like Flutter or React Native. Experience from mobile development close to five years or more.
A good overall understanding of the modern mobile development landscape and different programming paradigms (e.g. unit and e2e testing, CI/CD, object-oriented and functional programming, UX, analytics, REST/GraphQL APIs)
Knowledge of app architecture, and state management.
A demonstrated ability to adopt new software engineering technologies and methods (e.g. side projects with different technologies indicates this nicely)
A flexible mindset. You don't get scared if the project requires you to get familiar with e.g. web or back-end development or something else outside your core competences

Why join us?
 For two decades, we've been developing qualities and capabilities for adapting, reacting, and supporting change – building Reaktor to hold up in a fast-paced environment while ensuring the well-being of our people.
 While working at Reaktor, we'll provide you with:

The freedom to impact how you work. Your team chooses the approach, technologies, and methodologies you think will work best in any given situation.
A community with as much support as your heart desires
A team that's not only experienced but considerate as well. Your coworkers are likely as experienced as you are, and they all want you to succeed.
A sustainable work-life balance and support for your daily life outside of work. ( E.g. free moving day, moving van & other cars to loan for free, sick child care services, office space to use for your private events, etc.).
An opportunity to grow as a professional. We offer +35 internal training events on average every month, +15 community events, and several 15-minute coffee breaks to discuss hot topics in tech and design.
A possibility to participate in academy-like studies like leading a team, delivering challenging projects, Cloud Academy, Mobile Academy, GraphQL Academy, UX Academy, and much more.
300+ hobby clubs from winter swimming and running to knitting and archery that bring people together outside (and sometimes inside) of office hours. Many of these are supported by Reaktor.

In addition to our culture perks, we're offering you an extensive benefit package including the following and more:

Extended healthcare services, with broad-spectrum specialist services included
Dental care up to 250€/year
300€/year for exercise and relaxation
200€/month lunch benefit on top of your salary
Travel and health insurance
Company shares
Bicycle benefit and commuting benefits
Subsidized massages
A phone of your choice with a phone subscription
Internet subscription of your choice
State-of-the-art working equipment you pick yourself
A program to support Open Source work
Freedom to work remotely wherever in Finland full-time, or work up to two months from another EU country
Support for possible relocations and help to acquire a residence permit if needed

Interested? Drop us a line via the form below and introduce yourself.
",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=71d517281328a956&fccid=a5a88ba79a861019&vjs=3
Mobile Developer,Rakettitiede Oy,Helsinki,"
Rakettitiede hosts developers with an impressive range of IT and Internet skills. Our daily grind consists of working with web and mobile services, IoT and embedded systems.
 We are looking for new crew members, that is, more first-class mobile developers for future client projects!
 Our top-notch devs (aka ""Rocket Scientists"" – the Finnish word rakettitiede means rocket science in English) work as consulting developers/architects in client assignments, typically at the client’s premises or remotely wherever they like. Our clients are mainly based in the Helsinki metropolitan area, but as long as your customer doesn’t have any preferences for where and when you should do your work, we don’t really care either.
 Our projects range from short spurts to continuous, several years lasting collaboration, and our clients range from startups to listed companies. There’s one common factor though: making the work interesting and challenging for our beloved developers. And, of course, provide opportunities for professional development.
 Since our clients hire our developers to solve demanding challenges, we expect you not only to have technical expertise but also to be enthusiastic about solving problems. And since we don’t consider you an anonymous resource, we won’t try to trick you with a ball pit or after work pints to draw your attention away from dreary client work. We seek to provide you with challenging and attractive work opportunities and give you the chance to choose the projects you prefer.
 Your age, education, gender or any other irrelevant things do not matter to us as long as you’ve earned your spurs in software development and think before you code. Knowing how to open your mouth even outside the cafeteria is definitely a plus as well!
 With us, you get 50 % of your customer billing. Our pay is significantly higher than the average salaries in the industry – and you don’t have to work overtime to achieve it.
 In addition to interesting assignments and a hefty salary, we offer you a supportive and skilled group of colleagues. Discover who these people are by visiting our Marketplace – who knows, maybe you’ll be our next vict... resourc... rocket scientist, i.e. a smart and experienced software developer who wants to take on challenging assignments with great clients!
 When it comes to mobile development, we’re familiar with keywords such as Android, Kotlin, iOS, Swift, Objective-C and React Native.
 We provide

   ‍ 
  a supportive and skilled group of colleagues,
interesting, self-selected projects,
transparency and fairness instead of jargon,
some of the best salaries in the industry,
 comprehensive health insurance,
opportunity to choose your own tools,
lunch benefit, and
culture for adult taste.

Want to know more? Take a look at these recruitment experiences:


The first bite


Deliberation and the deciding factor


This is what everyday life looks like


Does this sound like you? Get in touch, and we’ll talk some more!

",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=f5c2cc50732d01e6&fccid=c78fb2a051123df3&vjs=3
