job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile App Developer,Lenovo,"Bengaluru, Karnataka","



General Information 






      Req # 
     

      WD00035212 
     



      Career area: 
     

      Hardware Engineering 
     



      Country/Region: 
     

      India 
     



      State: 
     

      Karnataka 
     



      City: 
     

      BANGALORE 
     



      Date: 
     

      Monday, August 29, 2022 
     



      Working time: 
     

      Full-time 
     




Additional Locations:




BANGALORE - Karnataka - India











Why Work at Lenovo 







Here at Lenovo, we believe in smarter technology that builds a brighter, more sustainable and inclusive future for our customers, colleagues, communities, and the planet.  And we go big. No, not big—huge.  We’re not just a US$70 billion revenue Fortune Global 500 company, we’re one of Fortune’s Most Admired. We’re transforming the world through intelligent transformation, offering the world’s most complete portfolio of smart devices, infrastructure, and solutions. With more than 71,500 employees doing business in 180 markets, we help millions—not just the select few—experience our version of a smarter future.   The one thing that’s missing? Well… you...









Description and Requirements 






Interested candidate is expected to have good design and coding skills in any language preferably Java. He / She is expected to independently analyze requirements, design and develop mobile applications. Candidates are expected to have excellent problem solving ability using appropriate algorithms and data structures.
 1. Design and implement software solutions for an extensive product portfolio built from a common Android platform. Most software developed using Java, Kotlin, C++. 2. Bring up and stabilize the latest Android OS (along with Google) for use on new mobile devices and upgrades. 3. Analyze software requirements to determine feasibility of design within quality assurance standards for worldwide deployment. 4. Tune system/application performance and improve stability using a strong background in Computer Operating System, Embedded System, and multi-threaded programming.
 5. Innovate with patentable ideas and concepts within an iterative product-focused process.
 Experience in Android App development with good knowledge of Android Architecture and exposure to App - Framework interfaces.
 We expect you to highlight your experience in creating apps which are known for their user-centricity and focused on performance and memory usage.











BANGALORE - Karnataka - India





",PostedPosted 3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d553351704296344&fccid=af103eaff391cdf0&vjs=3
Mobile Developer,ADDA,"Bengaluru, Karnataka","


  1
 

   about
 


   about1
 


   exp
 

   null
 

   Experience
 


 0-1



   location
 

   Bangalore
 

   qualification
 


 Experience: 
Strong skills in Swift / Kotlin / Dart / Java. 
Experience in iOS Development / Android / Flutter. 
Qualification: 
BE/ B.tech



   responsibilities
 


 Primary Responsibility would be to develop and deploy new features and 
enhancements for Mobile Applications. 
As a Mobile developer, you would have to thrive in a fast-paced agile 
development cycle 
Version controlling using git repository 
Ability to grasp new challenges and business requirements and come up with 
optimum solution.



",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=d728a0ecf738e33c&fccid=e9b99711d33d13b8&vjs=3
Mobile Apps Developer,Silicate Technologies,"New Delhi, Delhi","Experience: 2-4 Years

Skills: Build advanced applications for the iOS And OR Android And OR Windows platform



Academic Qualification: Graduate/MCA/B-Tech



CTC: 2-4 Lakhs

Interested candidate may send there updated resume on: mail@silicate.co.in, silicatetechnologies@gmail.com",PostedPosted 30+ days ago,"₹2,00,000 - ₹4,00,000 a year","₹2,00,000 - ₹4,00,000 a year",https://www.indeed.com/rc/clk?jk=5d39cc097c3a05cb&fccid=117ea9efb472e7a0&vjs=3
Mobile Application Developer,Divam Technologies,"Jaipur, Rajasthan","

  Mobile development | Expience: 0-5 year(s)
 

 The ideal candidate will be responsible for mobile app development using React Native.

 Technical Details


Experience with React Native, JavaScript including DOM manipulation and the JavaScript object model.


Thorough understanding of React Native and its core Principles.


Good Knowledge of HTML5, CSS.


Familiarity with code versioning tools (Such as Git or bitbucket)


Familiarity with RESTful APIs


Familiarity with modern front-end builds pipelines and tools.


Experience with common front-end development tools such as Babel, Web pack, npm etc.


Responsibilities


Perform full life-cycle development


Adhere to agreed upon delivery schedules


Utilizes source control, continuous integration, and unit testing best practices


Work cross-functionally to define and write code for new features



 Qualifications

Bachelor's degree or BTech or MTech or MCA.


",PostedPosted 10 days ago,,,https://www.indeed.com/rc/clk?jk=ea8f2198dcd5a32b&fccid=21d42f28deb3a508&vjs=3
Mobile Developer,NexCen IT Services,"Delhi, Delhi","Division: Nexcen-Mobile 
Description: Developer with minimum 2 years of experience in mobile technologies. 

Send your resume at hr@nexcen.in with the division/position in the subject line",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=7eb0de70b89ea749&fccid=f65cbff01e1dc5f1&vjs=3
Mobile App Developer - Flutter,Appening Infotech,Remote,"


   Mobile App Developer - Flutter
  



    Description
  

 We are looking for a Flutter Developer who possesses a passion for pushing mobile technologies to the limits. This Flutter app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.




    Responsibilities
  


Work alongside other partners (such as Client Development Team, Designers, UX/UI, and QA) to build and ship features that go into the main application.
Write clean, scalable code as it will be highly reviewed by the team which is based out of the US.
Rapidly add new functionality, tackle complex problems, and ship defect-free code at a rapid pace.
At each stage, must anticipate what our users need, advocate for them and ensure that the final product surprises and delights them.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency





   Qualifications
  


Experience of 1+ years in Flutter mobile application development.
Strong understanding of material design, memory management, files I/O, network protocols, concurrency, multi-threading etc.
Having practical knowledge with Client Server integration using REST services.
Expertise working with third-party libraries, APIs, SDKs.
Strong knowledge of Android and iOS UI design principles, patterns, and best practices
You MUST be able to tell an accurate timeline of deliverables.
Ability to understand business requirements and translate them into technical requirements
Solid understanding of the full mobile development life cycle i.e. Agile Model and sprint planning.
Excellent communicator. Needless to say, it is paramount that you communicate clearly and be transparent at any stage in the product development.
PLUS if you have developed complex map routing applications/on-demand with socket programming.
PLUS if you have experience in working with WebRTC or similar Live Streaming Concepts





   Perks and Benefits
  

 We offer everything which a cool startup or an enterprise would be willing to offer.

Remote work / Work from home: Productivity is more important than clocking-in time. You have the flexibility to work from home at your convenient time during the day until the deliverables are being delivered on time with proper coordination with the team.
People: We are young, we have fun and we are passionate about technology. Work with a team of professionals who have created and implemented some extraordinary solutions. We really do believe we have a world-class talent team.
Career Growth: Develop your career the way you want it to grow. We look to have long-term relationships with each of our collaborators along with free access to online training tools.
Convinced? Send us your details and we would get in touch with you.



",PostedPosted 9 days ago,,,https://www.indeed.com/rc/clk?jk=b6a89783e5eabe51&fccid=c12b74203cff9c5f&vjs=3
Mobile App developer,Honeywell,"Pune, Maharashtra","
 A Job posting does not exist for this global job code, please work with your HRG to develop oneA Job posting does not exist for this global job code, please work with your HRG to develop one
  Additional Information

 JOB ID: HRD173424
 Category: Engineering
 Location: 302 , Level 3 , Summer Court, Near Seasons Mall,Magarpatta City, Hadapsar,Pune,MAHARASHTRA,411013,India
 Exempt


",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=96087cef142ccb5d&fccid=50208b5bf45ee3b8&vjs=3
Mobile Developer,Gray Matter,"Bengaluru, Karnataka","Qualification:  BE or B TechExperience (yrs):  6+ YearsLocation:  Bangalore, India
Description: BS degree in Computer Science or a related technical field or equivalent practical experience.6+ years of related software engineering experience specifically in the mobile development realm.Experienced in development and the complete delivery cycle of a hybrid mobile application (React Native/Flutter) and deliver fault tolerant and reliable applications.Strong knowledge of JavaScript and proficiency in at least one modern programming language such as Java, Swift, Kotlin.Hands on experience with Google’s Firebase platform and able to utilize the components to enhance the quality and efficiency of the mobile application.
Resource Responsibilities: Mentor software engineers, propose engineering solutions to solve complex problemsParticipate and contribute in a team practicing agile scrumDrive the culture and execution of test-driven development in projects assigned to you and other developers within the teamWork closely with QA to bring automated testing capabilitiesExecute strategies that allow for the team’s code to be analysed, reviewed and pushed to the pipeline efficientlyDiscover and debug issues swiftly, refactor code as well as automate repetitive tasksPractice security, performance and scalability as principles in your day to decisions and contributionsShare and document knowledge as part of your workflowWork with multiple teams to deliver complex and cutting-edge software solutions for a growing businessEvangelize and drive stellar software engineering practices across the entire engineering teamExperiment and continuously explore new and emerging technologies and bring that perspective on how it can help the teamBe an awesome team member of the AirAsia Software Engineering & Technology team
Job Type: Full-time",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/company/GrayMatter-Software-Services/jobs/Mobile-Developer-093f74e9c85653e8?fccid=7b82a864e7d01570&vjs=3
Mobile Developer,Hindujatech,"Chennai, Tamil Nadu","




Job Title: Mobile Developer
   




 Qualification: Any degree 
   




Experience: 2-4 Years 
   




Job Post Date: 25/03/2022
   




 Job Expiry Date: 22/09/2022
   




 Location:







Job Description:

Should have good exposure in Android
Must have working experience in Flutter


",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=a30146f39e7d3929&fccid=bc71fe31fdd92b24&vjs=3
Mobile Application Developer,Knowx Innovations,"Bengaluru, Karnataka","

Level - 2+years Experience 
Job type - Full Time 
Education

BE/B.Tech - CS/IS (Aggregate 65%)
M.Tech - CS/IS (Aggregate 65%)

Job Description
Mobile apps are defining the way the smartphones are used today. Providing customized experience of the requirements one needs in day to day life. Mobile Applications are highly in demand and there are thousands of apps released into the stores everyday. With such a huge market potential, the need for the development skills play a major role. Automating our daily operations beneath the fingertips is the beauty of the role a mobile application developer can play. The job is a perfect fit computer geeks who could change the way apps are looked into and could make it more and more lively.
Roles and Responsibilities

Develop new features and user interface for different applications.
Ensure high performance and user experience in the apps.
Detect and fix bugs and performance problems.
Work with backend developers and designers and the rest to deliver well architecture and high-quality solutions.
Design interfaces to improve user experience.
Ensure applications are designed to meet quality standards.
Research and implement new products, protocols, and applications.
Stay up-to-date on new trends.

Desired Skills

Extensive knowledge about application development.
Good understanding and knowledge about Android and IoS.
Familiarity with mobile libraries for networking.
Experience in debugging applications for bugs and errors.
Knowledge of GitHub platforms.
Understanding application development platforms.
Proficiency in programming languages such as Java and C.
Knowledge regarding third-party integrations.


",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ac5240a3f200504c&fccid=e915a60e52a4abb5&vjs=3
