job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile Developer,BNZ,"Auckland City, Auckland","
Are you passionate about mobile development, particularly on Android? We've got an exciting opportunity to join one of our mobile teams here in the Online Channels & 3rd Party domain. Join us in continuing to enhancing our Canstar award winning online banking services for our customers!
 He Waka Eke Noa | Creating Great Together
 BNZ Technology is a melting pot of teams who build and support our digital and core banking applications. In Build and Run we are united by a passion for making banking better for our customers and we focus on finding innovative ways to help New Zealanders be good with money.
 We are looking for a Mobile Developer (Android) to join one of our mobile teams. As part of this team, you'll join a passionate agile crew responsible enhancing the BNZ mobile app and play a significant role in giving BNZ customers an excellent Mobile banking experience. You'll implement and support the latest mobile frameworks, guide and improve target state architecture and help the BNZ mobile community move rapidly in the right direction.
 We know that every BNZ staff member is unique, with a wide range of goals, ambitions, and lifestyles, so we offer a wide range of benefits and working styles to suit you, starting with 6 weeks annual leave, the ability to work remotely (flexible ways of working), mentor/mentee opportunities, career development opportunities the list goes on.
 Mō te Tūranga | About the Role
 This role is about delivering a range of technology applications/development services through design, development, programming, testing and maintenance of technology solutions aligned with business objectives. Provide fail and fix application support.
 Be part of a team:

 Work with the agile product team to analyse business processes, procedures, and user requirements to establish system requirements.
 Participate in agile ceremonies including stand ups, retrospectives, planning, and demonstrations.
 Drive continuous improvements in team practices and technology
 Undertake non-development related activities to assist the team to deliver on its commitments.

 Day to day expectations and opportunities:

 Write code to modernise BNZ Android applications and deliver a range of development services.
 Provide fail and fix application support.
 Understand the team deliverables as whole and take responsibility, together with the team, in delivering them to Production.
 Maintain continuous integration build system.
 Proactiveness and willingness to learn more and take responsibility in improving personal skills that can also improve team performance.

 Ōu Pūkenga | About You
 You're someone who cares about delivering great value to our customers, ensuring the adaptability of the code, automation and deployment processes. You will go beyond just coding, helping to shape the engineering culture and practices that deliver all kinds of awesome to our customers.
 You will also bring:

 Practical experience in developing and maintaining Android applications
 Experience using technologies such as Kotlin, Java and Android SDK
 Some formal software testing experience, including building test scripts and conducting systems, unit, and regression testing
 Experience with continuous testing and integration.
 Any exposure (or willingness to learn) Jetpack Compose, Jenkins, Gagger, Git or Jira would be a bonus.
 Ambition and passion are integral to the role

 BNZ Hei Wāhi Mahi | Working at BNZ
 At BNZ, we're passionate about building and sustaining a high-performance culture that motivates our people to deliver exceptional results.

 Oranga | Wellbeing: Your wellbeing is important to us. When we're at our best, physically, and mentally, in and out of work, we can truly create great things together. We're here to support you to be your best with several wellbeing initiatives.
 Whakatā | Leave: We all need a bit of time off every now and then. At BNZ we're proud to offer the generous leave options you need and deserve - whether it's for a special occasion, an unexpected event, or an extended vacation.
 Whakatā | Flexibility: We're big on helping you balance life and work. We offer a range of flexible working options that help you be your best, wherever you're based. Talk to us about how we can make this work for you.

 Nau Mai ki te Pēke o Aotearoa | Come to the Bank of New Zealand
 If you're ready to join a supportive team of people who are passionate about the work they do and the results they achieve, then apply now and let's create great together.
 Please note applications close Monday 12 September 2022.

",Posted5 days ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=1fabb03cf3660921&fccid=97f010fc722e5754&vjs=3
Mobile Developer (React Native),DataTech,"Auckland City, Auckland","

Mobile Developer (React Native)


    Job ID:
    NZ00001 
  


    Category:
    Developer 
  


    Location:
    Auckland, NZ 
  


    Type:
    Full Time 
  
Email your CV and Cover Letter to hr@datatech.ai



DataTech is a technology service provider in HK and NZ helping our clients to build world class digital products.
We are looking for an experience mobile developer to join our small team in NZ. If you are passionate about digital, mobile and web technology then we love to hear from you.

What you will do

Design and develop mobile apps on iOS and/or Android platform
Follow with the high standard of mobile application development procedures and methodologies
Communicate and collaborate with team lead and team members for app accomplishments on time
Create prototypes for testing on various stages of development
Actively provide feedback and improvement ideas to optimize the app performance



What you will need

Bachelor’s degree in Computer Science, Software Engineering or related discipline
Minimum 2 years of experience in React Native, iOS or Android
Solid knowledge in RESTful API and JavaScript
Exceptional problem-solving skill with a can-do attitude
Ability to cooperate with other team members
Good verbal and written communication skill



What we offer

Competitive salary for the right candidate
Open, creative, modern office space
Flexible hours
Supportive company culture
Opportunity to grow in the role


This is a great opportunity to join a successful company in Asia Pacific. If you are smart, confident and love a challenge then this is what you have been waiting for.
If you're currently in the market for a new role and think this role sounds like a great opportunity for you, then apply now with your CV and cover letter to hr@datatech.ai.
Applicants for this position should have NZ residency or a valid NZ work visa.

",Posted30+ days ago,Full-timeFlexible hours,,https://www.indeed.com/rc/clk?jk=6b427084f88c271c&fccid=02ef88a0af2429b8&vjs=3
Mobile Developer,Tempsnz Ltd,"Auckland City, Auckland","

  Our customer is a kiwi-owned and operated company with the commitment of designing and manufacturing top quality products for the fields of Automation and Security. They manufacture a large number of products in their multipurpose premises located in Albany, Auckland.
  
 At this stage, the company is getting larger in size and sales volume, and we are looking for a Mobile Developer who wants to keep building a career, be in charge of developing the new app for a panel of products and also maintaning the current mobile app that has just been released to the market.
  
 Overall responsabilities may also include:
 

 Support the development of high quality mobile software.
 Contribute to improving the code quality through maintaining and enhancing high quality software development standards.
 Support technical design decisions.
 Identify technical concerns regarding security, delivery and efficiency risks.
 use your understanding of mobile technology and interpersonal skills to influence stakeholders.
 Stay updated with changes in mobile development best practices and technology, and proactively meet the future needs.

",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=0be22661e4689e60&fccid=bc1f8fdcf767537d&vjs=3
Senior Mobile Developer,Visa,"Auckland City, Auckland","
 Company Description
  Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
 When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
 Join Visa: A Network Working for Everyone.



 Job Description
 

 Develop mobile front end and back-end software
 Assist in the design and migration of our Xamarin apps to Kotlin and other native languages.
 Technical system design in collaboration with other developers, architects, product owners and UX designers
 Peer reviews (coding, security, data, architecture)
 Use your understanding of mobile technology and interpersonal skills to influence stakeholders




 Qualifications
 

 Highly skilled Android developer (Java, Kotlin or Xamarin) looking to utilise and share their Android knowledge, while also taking the opportunity to diversify into cross platform, back-end and iOS development
 Xamarin.Native or Xamarin Forms
 .Net development in C# an advantage
 Front end design patterns (Redux, MVVM, MVP, etc)
 DDD, TDD, clean coding principles
 Automated UI and API testing

 Additional Information
 
 Visa has adopted a COVID-19 vaccination policy. As a condition of employment, all employees based in the country where this job is located are required to be fully vaccinated for COVID-19, unless a reasonable accommodation is approved or as otherwise required by law.
",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=77046cb663d9fd60&fccid=a3f737e511d9fc8c&vjs=3
Cloud Engineer - Developer and Mobile Services,Amazon Web Services NZL Ltd,"Auckland City, Auckland+1 location","
 The DMS role supports AWS mobile technologies (Cognito, Device Farm, Pinpoint, etc.) and Serverless technologies (Lambda, API Gateway, Step functions, etc.). Mobile Services and Serverless Architectures are some of the fastest growing areas of technology and we're excited to help developers innovate and deliver amazing experiences.
 

 Advanced knowledge and experience in one or more modern programming languages such as Java, C++, Python, Javascript, .NET, PHP, Ruby
 Advanced Knowledge of data structures, algorithms, operating systems, and/or distributed systems.
 Exposure to Serverless technologies such as Lambda, API Gateway , AWS IoT or Mobile and Messaging technologies or AI (Artificial Intelligence) related technologies
 Experience with REST API based services.
 Experience with web-based applications and HTTP.




 Job summary
  Amazon Web Services is the market leader and technology forerunner in the Cloud business. As a member of the AWS Support team you will be at the forefront of this transformational technology, assisting a global list of companies and developers that are taking advantage of a growing set of services and features to run their mission-critical applications. As a Cloud Support Engineer, you will act as the ‘Cloud Ambassador’ across all the cloud products, arming our customers with required tools & tactics to get the most out of their Product and Support investment.
 
 Would you like to use the latest cloud computing technologies? Do you have an interest in helping customers understand application architectures and integration approaches? Are you familiar with best practices for applications, servers and networks? Do you want to be part of a customer facing technology team helping to ensure the success of Amazon Web Services (AWS) as a leading technology organization?
 
 If you fit the description, you might be the person we are looking for! We are a group of smart people, passionate about cloud computing, and believe that world class support is critical to customer success.
 
 Key job responsibilities
  Every day will bring new and exciting challenges on the job while you:
 


Learn and use groundbreaking technologies.
Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs.
Interact with leading engineers around the world.
Partner with Amazon Web Services teams to help reproduce and resolve customer issues.
Leverage your extensive customer support experience to provide feedback to internal AWS teams on how to improve our services.
Drive customer communication during critical events.
Drive projects that improve support-related processes and our customers’ technical support experience.
Write tutorials, how-to videos, and other technical articles for the developer community.
Work on critical, highly complex customer problems that may span multiple AWS services.

 A day in the life
 

First and foremost this is a customer support role – in The Cloud.
On a typical day, a Support Engineer will be primarily responsible for solving customer’s cases through a variety of customer contact channels which include telephone, email, and web/live chat. You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with customers to dive deep into the root cause of an issue.
Apart from working on a broad spectrum of technical issues, an AWS Support Engineer may also coach/mentor new hires, develop & present training, partner with development teams on complex issues or contact deflection initiatives, participate in new hiring, write tools/script to help the team, or work with leadership on process improvement and strategic initiatives.
Career development: We promote advancement opportunities across the organization to help you meet your career goals.
Training: We have training programs to help you develop the skills required to be successful in your role.
 We hire smart people who are keen to build a career with AWS, so we are more interested in the areas that you do know instead of those you haven’t been exposed to yet.
 

Support engineers interested in travel have presented training or participated in focused summits across our sites or at specific AWS events.

 ""As we operate on follow-the-sun model, you may be required to work a staggered week; either Sun-Thu or Tue-Sat (no on-call).”
 


https://www.youtube.com/watch?v=GC3bWcFFZTo&t=24s

 About the team
  What's it like to work at Amazon Web Services? Meet our Cloud Support Engineers.




Experience with System Administration with Linux (Ubuntu, CentOS, RedHat) and/or Microsoft Windows Server and associated technologies (Active Directory, Exchange).
 Experience in Networking technologies including DNS, TCP/IP, SSL, DHCP and Load Balancing.
 Experience with Network troubleshooting tools (telnet, test-netconnection, tracert, tracetcp, iperf, ntttcp, dig, and packet capture tools).
 Experience with programming/scripting (Batch, VB, PowerShell, Java, C#, Chef, Perl, Ruby and/or PHP)
 Strong analysis and troubleshooting skills and experience.
 Experience managing full application stacks from the OS up through custom applications.
 Exposure to Virtualization (Hyper-V, VMware, Xen).
 Good understanding of distributed computing environments.
 Exposure to security concepts/best practices.
 Knowledge of storage technologies.
 Experience with Cloud services and Cloud deployments.

 Amazon Web Services is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8d5c7aac72e500cc&fccid=5cc0cdc6dbb121cc&vjs=3
Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","
AKQA are always on the lookout for permanent, contract and freelance Front End Developers. If you would like to share your details with us for future opportunities across Australia or New Zealand, please feel free to submit your details which we will keep on file and reach out to you as soon as a suitable position becomes available.
 At AKQA, we have a culture of excellence in Software Development and Marketing Technology and pride ourselves on our track record of helping our clients leverage CMS features. Working closely with Experience Designers and Back End Engineering, Front End Engineers transform visual design into code and static designs into elegant and intuitive solutions.
 Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that manage performance and scalability.
 AKQA have studios located in Auckland and Wellington. As part of AKQA you'll work in an innovative and inclusive culture, surrounded by some of the brightest minds in their fields. You'll also have the opportunity to learn within a creative and technically advanced team.
 ROLE REQUIREMENTS

Develop and maintain responsive web applications, website pages and CMS systems for our clients.
Hands-on development translating design concepts to HTML, accessibility, compatibility and performance.
Collaborating with cross functional teams in an agile environment.
Diagnose and solve technical problems related to webapps.
Implement high quality software solutions.
Produce quality code that is readable and maintainable by the team.
Plan and execute testing across multiple platforms and solutions.

 QUALITIES AND CHARACTERISTICS

Development experience in JavaScript frameworks, especially on enterprise-level mobile/responsive website projects.
Skilled in HTML5/CSS/Advanced jQuery/JavaScript/JavaScript OOP/TypeScript/Design Patterns as well as Headless CMS and API integration.
Experience with W3C website accessibility standards, JavaScript frameworks such as React / Redux, Vue and Angular.
Experience with Foundation, Twitter Bootstrap, Material UI or similar frameworks.
A highly motivated, productive and collaborative approach to your work.
Strong communication skills.
Exceptional attention to detail.

AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA's ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.
",Posted30+ days ago,Freelance,,https://www.indeed.com/rc/clk?jk=728ed8a11574cd5d&fccid=f3433a507ce87736&vjs=3
Web Developer,Trimble,"Christchurch, Canterbury","

  Your Title: Web Developer
 

   Job Location: Christchurch, NZ
 

   Our Department: Geospatial
 


 Are you passionate about coding leading web applications that address customer challenges, and love working in a supportive, collaborative, and diverse environment?
 


 What You Will Do
 

   You will be a key member of the New Zealand Geospatial development group that is responsible for delivering significant user & organisation facing GIS functionality in the form of the MapViewer web application and related services that also support the TerraFlex mobile application. Map Viewer is used to manage workspaces for users collecting data with TerraFlex. Map Viewer uses Leaflet to display the collected data on the map.
 


 Your role will include:
 



     Developing new functionality for our MapViewer web application
   


     Ensuring all code is of high-quality and well tested
   


     Participating in code reviews/PR’s
   


     Identifying opportunities to improve the development process
   


     Collaborating across a geographically dispersed team to champion excellence in front-end development
   


     Contributing as part of the broader geospatial software engineering team
   


     Bringing out the best in everyone to successfully contribute to our development activities.
   



 What skills & experience you should bring:
 



     Proficiency with Angular 2+ or similar Javascript frameworks (React, Vue); CSS, HTML, RxJs, and unit testing frameworks such as Karma. C# .NET Core experience is a bonus
   


     Experience with tools such as Git, Docker, AWS
   


     Good understanding of RESTful APIs
   


     Design and development of significant product features. (seeing both the big picture & the details)
   


     Collaborate successfully with colleagues both locally and in facilities worldwide
   


     Effective verbal, written & remote communication skills.
   



 Qualifications / Requirements
 



     Relevant tertiary qualification in computer science, engineering or other relevant Software Engineering discipline, or an equivalent combination of relevant education and experience
   


     Minimum two years experience, with recent experience in a production environment
   


     Awareness of current UI / UX design philosophies
   


     Mobile GIS or survey experience is a bonus.
   



 Information About Your Location
 

   Based at Trimble’s NZ headquarters in Christchurch, New Zealand (handily located on the Little River Link Cycleway), home to over 200 Trimble employees, enjoy free parking, securely covered bike sheds, an onsite gym, showers, an active social club, and a great team environment where people love working with leading technology solutions.
 


 What we do at Trimble in video
 




      Life’s work
    




      Trimble Geospatial
    




      Bring who you are
    




 About Geospatial
 

   By integrating sensors, field applications, real-time communications, field, and back-office processing, modeling, and analytics, Trimble Geospatial solutions facilitate a high-quality, productive workflow and data exchange to drive efficiency, productivity, safety, and value in organizations of all sizes. The result is rich accurate data that can be transformed into the intelligence you – and your clients – require to make informed decisions.
 



 Map Viewer documentation
  



 Trimble’s Inclusiveness Commitment
 

   We believe in celebrating our differences. That is why our diversity is our strength. To us, that means actively participating in opportunities to be inclusive. Diversity, Equity, and Inclusion have guided our current success while also moving our desire to improve. We actively seek to add members to our community who represent our customers and the places we live and work.
 


 We have programs in place to make sure our people are seen, heard, and welcomed and most importantly that they know they belong, no matter who they are or where they are coming from.
 



 Trimble’s Privacy Policy
  


",Posted1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=4bd97a9ec6f7c3c1&fccid=41ffc18dec1f58bf&vjs=3
Intermediate/Advanced Drupal/MySQL developer,Zest IT,"Takapuna, Auckland","







Full time or part time position
 Our highly skilled team are busy managing and delivering a variety of exciting and innovative web based and mobile projects; so you will be part of a collaborative team culture where the sharing and generation of new ideas, support and open communication is a staple requirement.
 This is an opportunity not to be missed, allowing you to:

 Work on a number of exciting and challenging projects which will stretch your capabilities
Become an integral part of a passionate, highly competent, pro-active team
Present your ideas in a forum where they will be listened to and taken on board
Take ownership and pride in your productivity and quality standards
Continue in professional development, honing your expertise
Use your communication skills, as there will be direct client contact required

Work with and keep abreast of cutting edge technologies in a fast moving industry
 To be considered for this role, not only will you have an obvious passion for development and web/mobile technology but you will also meet the following technical requirements:

 Minimum 3 years development experience
Intermediate to advanced experience with an Open Source CMS (Drupal preferred) is essential
Proven experience in back-end development, with database experience with MySQL and/or MS SQL Server
At least some front end developer experience
Working to continuous integration and continuous delivery
Excellent communication skills/spoken and written English
The ability to think clearly and logically
Experience working within Agile environment
Enthusiasm and passion for what you do!
Must be already based in New Zealand with a work visa or residency

 Do you have what it takes? We are looking for proven technical competence, energy, drive, team spirit and a good sense of humour.
 Please email neilh@zestit.co.nz with your CV








",Posted30+ days ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=9fdcb5f1b33a3db2&fccid=53b91f71bc5296e5&vjs=3
.NET Developer,Twoticks,"Auckland City, Auckland","Our client has a fun and dynamic team that have been developing solutions for their loyal client base for over 20 years. They are a family-owned business focused on a family-friendly, but professional environment. They are looking for an experienced Developer to join their Meadowbank based team.
If you are an excellent software engineer and like diversity, then this role allows you to do more than just be focused on one small programming area.
This is an exciting role in developing and supporting software for a wide range of industries. You will be involved in a variety of projects from the start through to ongoing enhancement.
Your key responsibilities will include: 

Contribution to projects to implement custom business solutions across medical, insurance, financial and engineering– so the projects are really varied
providing development and integration expertise
support in the form of bug fixes and enhancements

About the role
This role has the option (not essential) to include direct contact with clients. You will work with projects right from scoping through to finished product support.
Projects will be varied so that you won’t get bored! They develop industry leading applications in Maternity, Finance, Insurance and Manufacturing working with clients located locally and throughout Australasia. The development is using Microsoft .NET and SQL Server creating business-to-business web apps, APIs and mobile apps.
Take the opportunity to help decide the best way to make things work, not just program to specification.
This role will suit someone with some/all of the following background / experience / qualities: 

Strong technical knowledge and development experience with Microsoft technologies ideally including; .NET C#, HTML, CSS, JavaScript, SSIS, SSRS
Commercial experience in a software development team
Flexible thinking skills and the ability to interpret client requirements
SQL Database design and data analysis experience, writing SQL queries, creating views and writing stored procedures, functions and triggers
SQL Reporting Services – creation and modification
Over-seeing development projects from the design phase through to implementation and settling in
The ability to analyse a business requirement and develop a mobile app, application or web portal that meets (and exceeds!) the client’s expectation.

What they will offer: 

A highly competitive income package
A fun, family-friendly working environment
Scope to develop within the business
Flexibility to work from home and in the office

To find out more: If you are interested in this great opportunity please apply below
Job Type: Full-time",Posted10 days ago,Full-time,,https://www.indeed.com/company/Twoticks/jobs/Net-Developer-1a9cccf9cc683a42?fccid=8a59ac0735155ed5&vjs=3
Mobile Engineer - Flutter,ClearPoint NZ,"Remote in Auckland City, Auckland","


  Engineering Chapter
 



 A bit about us


   ClearPoint is a digital design and engineering company, unlocking the potential of technology together. 
 



  We bring together everything that’s essential for creating great digital experiences – product and design that puts people at the center, fast and safe engineering that helps customers scale and integrated market-leading platforms in the cloud to help get more out of data. 
 



  Our diverse team of more than 180 strategists, innovators, engineers, architects, developers, and designers help solve complex business problems for many of NZ and Australia’s leading enterprises. 
 



The ClearPoint culture 


  We’re proud of the collaborative and inclusive culture we’ve fostered at ClearPoint by ensuring we all live and breathe our values: 
 

 Respect and Care for People 
 Act with Integrity
 Earn and Nurture Trust 




  Our diverse team enables us to better understand and serve our clients, attract the best talent and innovate successfully. So, from the moment you step through our doors, you’ll feel welcome and supported to do the best work of your life. Every day is a day of learning at ClearPoint and striving to be the best we can be. 
 



  Our head office in Auckland is a modern, functional space overlooking the Viaduct, and just a 5 minute walk from Britomart’s central transport hub. Everyone makes their space their own - whether it be a BYO device, comfy cushion or plant! We’ve also got offices in Wellington and Sydney, to cater to some of our clients in different regions.
 



 The Role


   We are currently on the lookout for a Lead, Senior or experienced Mobile Software Engineers to join our ClearPoint Engineering Chapter to help consult, innovate and develop world-class mobile experiences for our customers.
 



   Working with key technology influencers across sectors such as Funds Management, Banking and Financial Services you’ll become part of our highly skilled team working on complex Mobile applications and software integration solutions. This is a diverse role where you’ll have ample opportunity to apply your cross-domain, cross-functional and cross-industry expertise.
 

   We’re looking for proven experience in these following areas
 



 Familiarity with state management solutions like Provider and BLOC
 Understanding of the tenets of Effective Dart
 Strong written communication skills for authoring clear technical documentation
 Excellent debugging skills that can extend into diagnosing and solving native iOS and Android issues
 Commitment to engineering discipline through practices such as version control hygiene, trunk-based development
 Commitment to quality through unit tests, widget tests, and integration tests
 Agile, lean, and team-orientated development practices




   Nice to have
 

 Understanding of Swagger/OpenAPI, the BFF pattern, GraphQl, server-driven UI
 Passion for mentoring junior developers
 Deep interest in robust class/function design
 Experience with CI tools like BitRise, CodeMagic




 What you’ll be working with (tech, tools and more!)


You’ll get to work across a broad range of cutting-edge technology. From front end React JS through to hard core Golang and (nearly) everything in between, there’s something for everyone. You’ll need to love being immersed in the tech, be passionate about quality and have continuous delivery flowing through your veins. 
 Get access to whatever tech takes your fancy. We have a BYOD policy at ClearPoint. For our permanent staff, we provide a yearly BYOD allowance and a phone allowance, so you can choose the tech that best suits your needs. 
 All our permanent staff get an annual training budget for courses and conferences. You’ll also get access to resources from a range of our partners such as AWS, Google Cloud, Microsoft and Salesforce, including training platforms, partner portals, online courses and real-life practice. We also offer a range of lunch and learn sessions and tech community meet ups to foster networking and sharing of knowledge.




 What’s on offer?


 Work on complex, interesting, challenging and market-leading projects every single day! There’s plenty of variety in the role, giving you the opportunity to carve your own path within ClearPoint.
 We offer competitive remuneration with a range of staff perks and benefits. We offer health insurance and subsidised gym memberships as well as access to yoga, massages, team dinners and lunches, a dog- and kid-friendly office, games room and drinks fridge, barista coffee, wellness workshops, free fruit, and lots of opportunity to take part in team sports and other events if you fancy. 
 The opportunity to work from home/remotely. At ClearPoint we support flexible or remote working arrangements that enable you to balance your work, life and passions. We have a number of ways to help us all stay connected, regardless of where you’re working from - Slack and Google Meet are key! 
 The opportunity to do award-winning work. ClearPoint was awarded the Social Impact Partner of the Year award at the AWS Amazon Partner Network (APN) Awards, in recognition of the innovative work that we did as the technology partner for Kiwi social enterprise, Eat My Lunch. In collaboration with Tech for Good New Zealand, we were also proud to take out the ICT-enabled community programme award at the 2020 CIO 50 Awards.




 Next Steps


   Our passion for innovative design, technology, shared learning, and the desire to get the best outcomes for our clients, team, and community is what drives us. If this role sounds like you, please apply and one of our Recruitment & Resourcing team will be in touch for a confidential discussion. You must be eligible to work in New Zealand (with a valid working Visa, Residency, or Citizenship) to be successful in this application.
 
",Posted30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=430fd1605ab04339&fccid=bf21ad03ee4ccc35&vjs=3
