job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile Developer (Flutter),ZUELLIG PHARMA HOLDINGS PTE. LIMITED,Remote in Singapore+1 location,"

Create multi-platform apps for iOS/Android using Flutter Development Framework 


Micro code enhancements within mobile platforms like android/iOS Flutter widgets for iOS and Android. 


Participation in the process of analysis, designing, implementation and testing of new apps 


Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance 


Contribute in all phases of the development lifecycle: concept, design, build, deploy, test, release to app stores and support. 


Diagnose performance issues, fix bugs (including crashes and ANRs) to increase the functionality of the application 


Write well designed, testable, efficient code 


Ensure designs are in compliance with specifications 


Prepare and produce releases of software components 


Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review 


Collaborate with team members (product managers, developers, designers) to brainstorm about new features and functionalities. 

Requirements: 

Solid understanding of Flutter, Dart, Flutter UI and animations. 


Should have experience working with native technologies like Android, iOS 


Knowledge and understanding of Firebase 


Experienced in working with remote data via REST , Graphql and JSON 


Strong understanding of design patterns over and above MVP, MVVM, and MVC 


Demonstrated experience in building and managing production mobile apps. 


Experience with cross-platform technologies like ionic and React Native skills 


Experience with Agile development, scrum. 


Familiarity with web application development and different client-server communication protocols. 


Knowledge on iOS distribution profiles and certificates for App store distribution 


UI/UX tools experience 


Desire to work in a startup environment, able to self-manage and work remotely 


Good communication skills in English 


Minimum BS or MS – Computer Science 


Minimum 5 to 7 years’ work experience in iOS / Android (Java/Kotlin and Objective-C/Swift) 


Have published one or more mobile apps in Google Play or App Store 


Hands on experience in designing and developing micro-services architecture and containers 


Object oriented analysis, UML and design using common design patterns. 


Hands on experience in development IDE Android Studio, Android SDK, Firebase Test Lab 


Experience with offline storage, threading, and performance tuning 


Familiarity with push notifications 


Familiarity with IOS integration with Flutter 


Experience using GitHub or similar environment 


Good knowledge of adding third-party libraries 


Ability to understand business requirements and translate them into technical requirements 


Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies 


A track record of delivering successful complex consumer product apps (finance apps, e-commerce apps) 


Critical thinker

",Posted3 days ago,"$5,000 - $10,500 a monthPermanent","$5,000 - $10,500 a month",https://www.indeed.com/rc/clk?jk=5c67c2915bb0b198&fccid=ef4b8238ad1095f1&vjs=3
Android Mobile Developer,Luxoft,Singapore+1 location,"





Project Description

Are you an experienced and passionate Senior Mobile Application Developer with strong architecture sense looking to take a more active and impactful role in your work? Are you looking to take the next step in your career and really 'own' something?




Responsibilities



       This specific role is related to shared mobile services in the area of mobile development. The base components and services for mobile development, as well as the mobile foundation server components, for example, notification and analytics, must be provided. Later, the development of mobile banking applications as a development service must be provided.
        Within the team, you will be able to contribute in your current specified area of expertise.
       
 As a member of the Delivery Team you will:
       

work in different roles across the whole solution lifecycle (system analysis & technical design, frontend- & backend-development, system integration, documentation, third level support)
provide applications in best quality as requested by specifications
document your provided solutions
analyze root-causes in case of incidents and provide solutions for solving the problem
support the business in case of effort estimations and feasibility studies
perform code reviews and share best practices with colleagues 





Skills

Must have


Bachelors degree in technology or related field required OR equitable experience
Minimum 4 years in native Mobile applications development on Android OS
Strong knowledge of Kotlin, Kotlin core aspects, exception handing, understanding of how Kotlin converts to Java
Very good knowledge of the architecture of Android and how to best utilize it
Good understanding of MVVM architecture design
Strong knowledge of hybrid mobile design principles, patterns, and best practices
Strong expertise in web services, and enterprise architectures, application development in Java and distributed system's engineering
Experience in implementing security in mobile apps
Experience in performance optimization of mobile apps
Experience in consuming RESTful services, JSON, and HTTP
Strong analytical and problem-solving skills 


Nice to have


Experience with JavaScript, CSS, HTML5
Experience in server-based application development
Version control system;
Experience in app development process in an enterprise environment (testing, continuous integration, release process);
Experience in building mobile application architecture.
Mobile app deployment process
Knowledge of agile development methodologies;
Experience in coordinating team members 






Languages

English: C1 Advanced


Seniority

Senior


Relocation package

If needed, we can help you with relocation process.




Vacancy Specialization 

Android


Ref Number

VR-78583





",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=ecd469a9ee3b2149&fccid=4b841d912d46e4fd&vjs=3
Mobile Application Specialist,MONEYTHOR PTE. LTD.,Queenstown+2 locations,"






Location
 Singapore, Central Singapore 
    





Planning Area


      QUEENSTOWN
     






Job Type


      Full Time
     






Salary


      $4,000 - $7,000 Per Month 
     






Date Posted


      3 days ago
     






Expiry Date


      21-Sep-2022
     





Additional Details





Job ID


      365202
     






Job Views


      127
     






Roles & Responsibilities
 ABOUT MONEYTHOR
 Moneythor is a software company founded in 2013 to provide banks and fintech firms with a modern toolkit to enhance their digital banking services, with a focus on the generation of AI-driven personalised recommendations, insights & nudges for their customers. The Moneythor solution is used by some of the world’s largest banks to power their digital banking services.

 OVERVIEW
 Are you a talented mobile developer with a keen eye for good user experiences looking to apply your skills in the exciting financial technology space? Are you excited at the prospect of working alongside and learning from an experienced team at an award-winning fintech firm? Are you looking for a position where you will be involved with multiple roles including solution managers, software engineers and client-facing executives? If yes, then this may be the perfect role for you!

 Moneythor has an opening for a talented mobile developer to join its solution management & go-to-market team. This is an exciting opportunity for someone, with at least one year of mobile development experience to join a fast-growing company founded by a team with more than 20 years in the industry.

 RESPONSIBILITIES

 Design, build, and maintain efficient, reusable, and reliable mobile apps to support the company's go-to-market activities.
 Work closely with the product owners and sales teams to implement functional & technical requirements.
 Interact with designers to implement user-friendly engaging user experiences.
 Implement new features, prepare and perform unit and system testing, fix bugs, and performance tune application code.
 Document design decisions, components and keep the knowledge base updated.
 Ensure assigned tasks are completed within target timelines.
 Contribute and participate proactively in knowledge sharing sessions.

 REQUIREMENTS

 Degree in Computer Science, Software Engineering or equivalent.
 Minimum 1 year of professional mobile software development.
 Proficiency with HTML, JavaScript and CSS as well as cross-platform environments such as React Native, Flutter, Ionic, Cordova, and native application development for iOS/Android.
 Demonstrable interactive design skills are a significant plus.
 Strong English written and oral communication skills.
 Ability to work with little or no management oversight or supervision.




Tags

mobile
application
specialist
mobile application specialist


",Posted3 days ago,"$4,000 - $7,000 a monthFull-time","$4,000 - $7,000 a month",https://www.indeed.com/rc/clk?jk=16b1e50e5c8542ca&fccid=63b24213a0444607&vjs=3
Mobile App Developer,RECRUIT EXPERT PTE. LTD.,Singapore,"Responsible for Android/iOS/Ionic application design and development for IoT and Enterprise IT. Design, create, and maintain efficient, reusable, and reliable code. Liaise with UI and UX designers to create elegantly designed applications.Responsible: Degree in Computer Science or equivalent At least 3 years of Android/iOS application development experience.If you are keen to apply for the position, kindly email your detailed resume in MS Word to [ Email address blocked ] Please note that only shortlisted candidates will be notified.For more job opportunities, please visit our website at [ Link removed ] EA Licence: 19C9701Registration: R1326740 

 Not Specified",Posted2 days ago,Permanent,,https://www.indeed.com/rc/clk?jk=818a1dfe4496e8b3&fccid=f27be6f3937ad625&vjs=3
Front End Mobile Developer,KOVERNOW PTE LTD,Singapore,"



KoverNow is a Singapore-based insurtech start-up which launched its first product in Singapore in Q2 2022. We are  passionate about making insurance as easy, transparent and intuitive as using your banking app. To do that, we  decompartmentalize existing insurance products, organise them along user’s lifestyle choices and offer them B2C and  B2B2C on our app.   To build out our product portfolio and platform utility, we are looking for a dynamic, organized self-starter to join our  growing team. You will be part of an international team and work in collaboration with outsourced development  professionals. You should have some experience in building transactional B2C apps, with some exposure to the challenges  of co-operating and working with outsourced development teams. 
 Skillset 

Degree in Computer Science, IT or equivalent 
Experience in Flutter, Firebase, Node/Javascript 


Familiarity in Web services 


Working knowledge of big data concepts, micro-services 


Relevant internships and/ or work experience 

Opportunity 
You will be working directly with the founders and management of KoverNow on every project and contributing directly 
to our business plan. As an organisation, we believe in lifelong learning and will sponsor relevant courses to invest in your 
professional development. 

The opportunity is for a full-time position. 

Compensation 

Compensation will be commensurate with experience. 

About us  Founded in the UK in 2019, KoverNow is headquartered in Singapore, centered around its core markets in Asia Pacific 
with their large demographic base of highly educated and affluent millennials. The company´s digitally-enabled insurance 
platform dramatically improves the customer journey for purchasing and managing different types of personal insurance 
by streamlining processes, speeding up renewals, approvals and claims. The KoverNow platform can achieve these 
efficiency gains whilst providing transparency, speed and value to existing ecosystems, channel partners and policy 
holders. KoverNow’s insurance platform provides features and functionality that reflect the changing consumer behavior 
of a younger demographic mix of policy holders that want control, flexibility and convenience in a truly mobile format. 

Contact 
If you strongly believe you are the right fit and find this an interesting opportunity to build your career, please reach out 
to van.dam@kovernow.com with your resume. A covering letter is optional. 
KOVERNOW PTE. LTD.  4 Battery Road, #25-01, Bank of China Building, Singapore 049908, UEN 202007205G  info@kovernow.com


",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=0015b561bd30938f&fccid=1419882bd279ca7a&vjs=3
Mobile App Developer,DORMAKABA PRODUCTION GMBH & CO. KG.,Singapore,"

Responsibility: 

Design, develop and test new and existing mobile applications for the React Native (Android + iOS) platform 
Work with product managers, product owners, architects to conceptualize, build, test and develop the prototype and mobile applications 
Management of Mobile App release cycle and App stores 
Software QA/Tests 

Requirements: 

Bachelors of Engineering/Technology/Science degree in Computer Science or related field. 
Minimum of 3 years hands-on experience in developing React Native mobile apps for both Android and iOS. 
Minimum 1-year hands-on development experience in native mobile app development using either iOS Objective C / Swift and Android -Java. 
Knowledge in using React, RxJS, HTML5, CSS3, Bootstrap, Typescript, ES6, JQuery and Backbone. 
Strong understanding of HTTPS protocol, WebSocket, SSE, and other web technologies. 
Experience in mobile app unit testing framework, methodologies and technical know-how on E2E testing. 
Familiarity with security principles using SSL/TLS protocols and data encryption. 
Experience in using source code management system like Bitbucket, Git and build tools like ant, maven, Jenkins, Gradle and grunt. 
Good written and verbal communication skills

",Posted1 day ago,"$7,000 - $8,500 a monthFull-time","$7,000 - $8,500 a month",https://www.indeed.com/rc/clk?jk=2d2373f89a6079ff&fccid=9d04625003f47b3f&vjs=3
Senior Mobile Developer,Healint,Pasir Panjang,"


Senior Mobile Developer (S$7,000-S$10,000)
 Overview of the role: Healint is looking for a senior mobile developer to support the development of future evolutions of our app. As a senior mobile developer, you’ll be working primarily on native iOS and android apps as well as react native. Healint is the developer of the MigraineBuddy App with more than 300 million tracked migraine days and 3 million registered users. You will be working alongside other mobile developers and engineers to define and ship new experiences.
 Role & Responsibilities You will:

Translate project requirements into technical requirements.
Work with an interdisciplinary team of Designers, Data Scientists, and Backend


     Engineers to iterate and improve upon existing features.
    

Rapidly build, iterate, test, and deploy new features for our users as well as clients.
Monitor and optimize user experience and performance of our mobile applications.
Drive the architecture of our mobile applications and technically lead the team to more


 seniority.
 Requirements To succeed in this role:

You’ll be obsessed about product and user experience - patients are at the heart of what
 you do and that empathy drives your decisions. 
   
You’ll have a strong understanding of iOS development.
You’ll be mindful of the potential impact of any technical choices/decision.
You’ll focus on reusability and continuous improvement.


 Bonus Points
 You also have experience with react native and android.
    

Previous experience with setting up a strong CICD pipeline.
Some experience with AWS would be a plus.
You have a good understanding of mobile animations and interactions.


 Who are we?
 Healint is a leading maker of healthcare technology used all over the world. Healint leverages innovative techniques in software, data science and user experience design to empower people to manage their chronic conditions and diseases.




Healint’s first global program - the Migraine Buddy platform and its apps - helps a thriving community of users manage and track their migraines. To date, Migraine Buddy has recorded terabytes of data that helps patients, doctors and researchers better understand the real-world causes and effects of neurological disorders.
 We're committed to revolutionizing healthcare technology, and are continually looking to add talented people to the Healint team. We promise challenging problems, an opportunity to have real impact on people's lives, and an environment where you'll learn rapidly from one of the best teams in Singapore.


",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9b9e700c2e7feb39&fccid=c65ed9c367bd388f&vjs=3
Mobile (iOS) Application Developer,UBS,Singapore+1 location,"



    Singapore
   



    Information Technology (IT) 
   



    Group Functions 
   


Job Reference #

    255851BR
   


City

    Singapore
   


Job Type

    Full Time 
   


Your role

    Are you passionate about mobile development? Are you able to communicate with global stakeholders? We are looking for someone to:
    

develop native iOS mobile application
design and develop solutions to meet business specifications;
collaborate with the technical members to suggest appropriate alternatives




Your team

    You will be part of the APAC Touchpoint Development team based in Singapore; working with local & global developers, and business across APAC and Switzerland.
   


Your expertise

    You have:
    

Bachelor’s Degree/ Master’s Degree 
at least 5 year of experience in native mobile app development;
experience in native development for iOS using Swift
experience in implementing security in mobile apps
experience in performance optimization of mobile apps
experience in consuming RESTful services, JSON, and HTTP.
strong analytical and problem-solving skills




About us

    UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.
    
 With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?
   


How we hire

    This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html
   


Join us

    At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. Our purpose-led culture and global infrastructure help us connect, collaborate, and work together in agile ways to meet all our business needs.
    
 From gaining new experiences in different roles to acquiring fresh knowledge and skills, we know that great work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Ready to be part of #teamUBS and make an impact?
   


Contact Details

    UBS Recruiting Hong Kong
   


Disclaimer / Policy Statements

    UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.
   



",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=316f7bd8d3f9ec2f&fccid=1c76c3a36f6c7557&vjs=3
Mobile Developer Intern,BeLive Technology,Singapore,"





Full Time
 Job Engagement





 Temp
 Job Type





 The Role

 You will be responsible for : 

Design and build applications for IOS or Android app.
 Ensure the performance, quality, and responsiveness of the application.
 Collaborate with a team to define, design, and ship new features.
 Identify and correct bottlenecks and fix bugs.
 Help maintain code quality, organization, and automatization.
 Have a lot of fun and get exposed to real projects.






 Ideal Profile


 Java & Kotlin for Android, mySQL.
 Swift & Objective-C for IOS, frameworks such as Core Data, Core Animation
 Familiarity with RESTful APIs to connect IOS/Android applications to back-end services
 Knowledge of other web technologies and UI/UX standards
 Knowledge of IOS/Android UI design principles, patterns, and best practices
 Knowledge of the open-source IOS/Android ecosystem and the libraries available for common tasks.
 Passion and a knack for independently solving code challenges.
 A lifelong learner who never stops pushing for new knowledge.
 Excellent communication competencies (Oral & Written)
 Good team player, self-motivated and can-do-attitude.


     Stipend: $1,000 per month
   




 What's on Offer?


 Work alongside & learn from best in class talent
 Excellent career development opportunities
 Great work environment




",Posted30+ days ago,"$1,000 a monthFull-time +2","$1,000 a month",https://www.indeed.com/rc/clk?jk=9bfab5f646f4df1b&fccid=2531789966e6f8f3&vjs=3
Mobile Developer,Codebox,Singapore,"

WHAT YOU'LL DO

Development of Web/Mobile based application projects
Contribute to the development of high quality software products
Involvement in the Agile Methodology of Software Development Lifecycle
Writing of design & technical specifications
Software development as per our design specifications and standards
Software testing, performance tuning and trouble shooting
Perform unit testing & use tools for continuous integration, code review and use quality metrics

WHAT YOU'LL NEED 

A high attention to design detail, with a general interest in usability and user experience.
The idea of helping users achieve their goals worldwide thrills you.
Results-oriented, Team player, able to Multi-task and work effectively in a fast-paced dynamic environment. 
One or more years of working experience in development of iPhone and iPad applications using: Xcode 3.2.3 and/ or later; Objective-C.
Proficient in Mac OS X 10.6.4, iOS4 or higher.
DB, MSSQL DB & Subsonic
SVN or repository experience.
Visual Studio and ASP.NET 3.5
Knowledge of Photoshop, HTML5, JQuery and other similar CSS frameworks a plus.
Candidate must possess at least a Diploma, Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent.
At least 1 year of working experience in the related field is required for this position.



To apply, please send your resume to careers@codebox.com.sg.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=746ad35b4302296b&fccid=5176dd9e4c9eebab&vjs=3
