job_title,company,location,job_summary,post_date,more_info,salary,job_url
Account Manager,Mindwize B.V.,Distans in Stockholm,"Wanted: Accountmanager sales in the NordicsSwedish speaking account manager with a heart for non-profit organizations
Please send your cv in English.
Would you like to use your extensive experience in sales and fundraising for charities? We are recruiting donors for organisations such as Amnesty International, Heart Foundation, IM Sweden, Brain Foundation, Parkinson's Foundation, Mercy Ships and Amref Flying Doctors. We do this by offering various services. Think of Direct mail, Online marketing, Telemarketing, Stopper ads and Door-to-door.
In summary, this is a position where you are responsible for:

Finding new clients in Sweden, Norway and Denmark;
Realising sales and new-business targets by offering various fundraising products

You will be working with 11 colleagues in a team. Will you be team member number 12? You work from home and from there you have the opportunity to build your own customer base in Sweden.
Do you have at least 3 years of experience with different marketing disciplines and do you have affinity with fundraising?
Don't hesitate and apply immediately!
You are in charge of growing our client base

You like talking to prospects. When making a proposal you know how to tailor your advice and the product portfolio to the client's needs.
Market research to find the highest potential is part of your job.
In order to acquire new clients, you introduce successful business cases in the market and visit relevant congresses, both as a visitor and as an exhibitor, both at home and abroad.
Next to your sales activities you also service 1 or 2 clients as an accountmanager.

Working with your colleagues to create successful campaignsDirect marketing, data analysts, concept developers, creative talents. We have all the specialists in-house. You will notice how exciting and educational it is when everyone wants to achieve the same thing together for our clients. Even when you work remotely, you feel the connection with your colleagues.
""You work in a warm and friendly team, with a wide range of clients. Often sparring with colleagues to get the best result for the client. From sales pitches to running the actual campaigns is what we do in our organization. Never a dull moment, I get a lot of energy from it!"" - Natasja, Project Manager
You work for charities around the worldYou work for non-profit organizations. Great clients, with amazing goals. Like your colleagues, you will really feel part of a team. Since some clients and colleagues speak only English, it is not a problem for you to communicate in English. Maybe you join us in Kenya to raise money for Amref Flying Doctors or hike for Simavi in Nepal? Many future colleagues have paved the way.
Eager to up your fundraising gameFundraising for charities is a specialist field. You have 3 years of work experience in the field of fundraising and sales. Knowledge is the basis of everything we do. Of course, we also welcome your expert knowledge. How do you want to share that with your colleagues?
Healthy workplace (for head and body)

You get a budget to improve your home office.
Are you an early bird or more of a late sleeper? Your working hours are flexible (between 8 am and 6 pm). So if you want to start early and stop at 4.30 pm, for example, that is also possible.
E learning Academy.

Curious? Take a look at our website for an idea of the ambiance. Many people who join the company feel at home straight away.
Your salary and benefits

€3,500 - €4,500 (based on 40 hours) and based on knowledge and experience.
This role comes with a great bonus scheme.
Mobile phone and laptop.
You are available at least 32 hours a week.
Holiday and pension scheme is based on the laws and regulations from the country of origin.
Once in a while you fly to the Netherlands to see your colleagues at the office face to face.

If this position appeals to you, apply today!Apply before 30 september.
About MindwizeMindwize has been creating effective campaigns for charities for over 25 years. We integrate online and offline marketing for campaigns with results. We help make the world a little better. In your work, you contribute to this mission every day. Together, we help charities recruit loyal donors, raise more funds and develop valuable relationships with their donors.
We work with more than 70 specialists across The Netherlands, Germany, France, Norway, Sweden, Belgium, The United States, Asia and Australia. Benefit from more than 25 years of experience in powerfully effective fundraising programs.
Job Types: Full-time, Part-timePart-time hours: 40 per week
Salary: 36,943.00kr - 47,498.00kr per month
Experience:

fundraising: 2 years (Required)

Application Deadline: 30/09/2022",EmployerAktiv för 3 dagar sedan,36 943 kr - 47 498 kr per månadDeltid +1,36 943 kr - 47 498 kr per månad,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BaOShN83wm8hiz8Sob8ETeauEfLSFIZFVUussmriWC5TH4_IiXUcZb2AuOL0dWsBbVQwNNwhqq4asIPmWGw0PyNJ8beouqQfqnwgiPn3rOtGY6Y6zGjB9xrZcq6J3mDsRWYSPF36gtUvVz0hJl4ujZmFMyTpbnzLjm1thSYKLscVk5LLYjgHBUdZef7ILxnvyJgKfnbkrDxJGZBX9HPpbpcmfO8OQsQtfOrNItRuFvA7rp9mQz8YQCE3CRkL88YNvXHu5coegaKuvoHf8Hx7M62dVIAukI9q5lQTRKa7qXjB5zAV7R10v8Ansgu0vyEBN8O0csFnKp_cRgP6XZ-c0VbDbji_fBF8iA6XdgwRanMGMrb7NDCi4FQPXqmbLwHUh67dVNf2QaoFQMWwqlZYhY-3gxXibSYrr_MCzrFPGRiYWX-3v557ITXAR8hGhWbEnUkeImS-Uh1jdkdU0MWvCM0YdJqMA0mIKJZni-04_o4w==&xkcb=SoDU-_M3ZCrcEJwHmR0LbzkdCdPP&p=0&fvj=1&vjs=3
Junior Software Tester and Developer to Atlas Copco,Academic Work,Stockholm,"
We are now looking for a Junior Software Tester and Software Developer to Atlas Copco with an interest in code. Are you interested in working within software development and testing in an international environment with a leading edge technology? If the answer is yes, this position at Atlas Copco Industrial Technique could be your next challenge!
About the role

""As a manager, I am committed, open-minded and caring. I am driven by the fact that we will develop and produce fantastic products and add value to our customers. Along the way, I want the team to have fun together and be able to be proud of what we do. From my team, I expect a strong commitment and a drive to find new and better solutions”

This is how Magnus Lindström, Team Manager Electronics & Software, R&D describes his team at Atlas Copco. Are you Magnus’ next team member?

Academic Work is looking for a Software Tester and Developer and to the globally renowned and cutting-edge industrial company Atlas Copco. The team you will work in are focusing on advanced small microprocessor controller screwdrivers, where quality and high productivity are essential functions for users. Customers are often in electronics production of mobile phones and car electronics.
 In this role you will be part of a small Software and Hardware team that consists of 8 colleagues. Being a small team, many roles are broad. You will work with responsibilities within both software development and testing. Your main responsibility will be focused on software testing. There will be a handover before the current tester goes on maternity leave, so this process will be explained. Testing is however not a full-time task, during periods without releases there is little to test. So as a compliment we are looking for a person who also can also work as a developer, writing in code C for the intelligent MicroTorque screwdriver system.
 As a developer you will work with developing new functions, and as a Software tester you will get a good understanding of the whole system, as you are running tests and trying the system. This will give you a great insight of the system and be a valuable player in the team. When you are more comfortable in your position, you will also help Customers and Sales worldwide with support questions.
 As a consultant at Academic Work you are offered a great opportunity to grow as a professional, extend your network and establish valuable contacts for the future.

Job duties

As part of this team, you will work with Atlas Copco’s smallest digital controlled screwdrivers. Along with your colleagues, and as part of a cross-functional team, you will be involved in every step of the way – from initial idea to final product.
 For example, you will:

Conduct manual and automatic testing of software products.
Support the customers in questions related to the product.
Create/update test documents according to the system requirements.
Develop new functions and maintain existing ones in close collaboration with other developers in the team.


We are looking for


Hold a technical university degree.
Have C coding knowledge and can work with professional C development
Proficient in business English, verbally and in writing.

It will be considered an additional qualification if you…

Have experience of working as a Software Tester

As a person, you are a true team player with a “can-do” attitude, easy to interact with and eager to learn as well as sharing your knowledge. You are self-organized, committed and customer focused. Besides having a big interest of software testing you also feel comfortable working hands-on and have cooperative skills. This position suits you that are in the beginning of your career and would like to get a wider perspective of Atlas Copco products.
 Other information:

Start: September/October 2022 (For the right candidate it can be possible to start part time during your last semester at the university)
Work extent: Full-time, 12 months with a good chance of being recruited by Atlas Copco.
Location: Sickla, Stockholm.
Contact information: This recruitment process is conducted by Academic Work. It is a request from Atlas Copco that all questions regarding the position is handled by Academic Work. Our selection process is continuous and the advert may close before the recruitment process is completed if we have moved forward to the screening or interview phase.


Client information

Atlas Copco is an industrial group with world-leading positions in compressors, expanders and air treatment systems, construction and mining equipment, power tools and assembly systems. With innovative products and services, Atlas Copco delivers solutions for sustainable productivity. The company was founded in 1873, is based in Stockholm, Sweden, and has a global reach spanning about 180 countries.
 Atlas Copco’s Industrial Technique business area provides industrial power tools, assembly systems, quality assurance products, software and services through a global network. It innovates for sustainable productivity for customers in the automotive and aerospace industries, industrial manufacturing and maintenance, and in vehicle service. Principal product development and manufacturing units are located in Sweden, France and Japan.


",PostedPublicerad för 3 dagar sedan,Deltid +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOK66flIUeIOMPPbmqtrUvyQIgtP78kTR6MaJXryIRLrmZIPXZfP7Jt6tWO6-FGwR_qW5lTYEKrHmTgXaiB0I32i0IngUq2R1bkpWAr2LuVdLSmLbX-JZqSDA1mbZfujIukDPxGdrO8fRTulwP4TqRz5DzqWrmBgNzDWSuVpqtU6cypNqSIjsDCbNawqi6v7JN4ZUPSlji10yiIZl9H-cFh-nvHYmlzip0Hc6e06M9e-eQwczQbhN0Vpsryya7PeIxXx04jTph0FgHwzslSUA2v0OMF1lI3vYGfHKUEG13HpaeiUzuCVUVyUtQxWN1W2c8GFmJfudod4CH8lX_OLIOV0RdUE09Vnt9YRz4lETx-bRrixjRKpgBICHGi61N-EWmsnAqjAocpeJip7YhkAHBB_PMfZ1IxRTFKwvjtbUB8EMtr76b2d6AUgR1JQRD-cs0B_HpvxuJW3VNSADYrTjNpdR3ZWu8goIW7FeV8CUqoEs5iVsvi4GqhYorKzRIx6Cmc6z3gWf7HI_nLl6gDvfWnIjOBSLs6ZZauaTqGxUXJNalZz_zM6b5KrTJFlx6t9s46h63lDHLvfoXMBExCKwGveKzuoD5rGCzQYonsOUke6-eV-12neV45VEwvzGwk8Z0RghjdyBEwQQNDVPJ522Svuy6YsK9ApAylNreOA0eZtLAWWdaeGjN&xkcb=SoBg-_M3ZCrcEJwHmR0KbzkdCdPP&p=1&fvj=0&vjs=3
JUNIOR DEVELOPER INTERN,HVNT,Distans in 114 36 Stockholm,"
INTERNSHIP - JUNIOR DEVELOPER
 HVNT is a startup building the most adventurous and immersive apps and technologies in the world. HVNT aims to be the world’s leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor adventures, exercise, education, and meaningful social interaction.
 The current team is a diverse group of multi-talented people based in Stockholm, Geneva, Amsterdam & Nis. We are now looking for a junior developer internship role to be filled by someone who wants to join us in our mission to improve people's lives through outdoor geo-location-based AR games.
 For this role, you will report to the development lead and contribute to improving the product we're building with your programming and input. As you join our team, we want to ensure that you have a basic knowledge of programming.
 The duration of this internship is open for anywhere between 3-6 months.
 This is an unpaid internship but with the possibility to become a full-time job after the internship is completed. For someone with a specific set of skills that could be of high value to the company, we are also open to offering remuneration during the internship.
 Developer Responsibilities:

Work with development teams and product managers to ideate and produce software solutions.
Design client-side and/or server-side features.
Write effective code.
Test software to ensure responsiveness and efficiency.

Developer Requirements:

Experience working in either Unity(C#) with mobile/games development or react web development.
Ability to learn new software and technologies quickly.
Familiar with common stacks.
Ability to follow instructions and work in a team environment with deadlines.
Detail-oriented.

We would <3 it if you also have:

Have an interest in tech & Augmented Reality.
Familiarity with both back- and front-end environments.

",PostedPublicerad för mer än 30 dagar sedan,Heltid +1,,https://www.indeed.com/rc/clk?jk=acb7469cea2e8c27&fccid=8e3ee06c497c7944&vjs=3
Junior Fullstack Developer,Tradera,Distans in 113 43 Stockholm,"
Join Team Tradera and build customer facing applications for thousands of users in the Nordic region!  Tradera is a purpose-driven company with a belief that consumption has a large impact on our planet. We’re determined to use what we control – our business, our voice, our creativity, and our platform to do something about it.
 At Tradera we’re on a mission to 'Drive the Transition to Sustainable Shopping', by shifting the way people consume and resell preloved goods. Our technical platform is an enabler in this shift. Together, we’re building large distributed and scalable systems handling great amounts of data. With more than five million weekly visits and 300 bids per second during peak traffic, the demands on our technical solutions are high.
 To continue on our mission, we need more people to join us!

 About the team 
 We’re looking for a Junior Fullstack Developer to join our Web team at Tradera. 
   You will work with passionate, skilled developers who are building customer facing applications for thousands of users in the Nordic region. 
   You will work in the entire technical stack and influence how it is further developed. You will work in harmony with tech, product management and UX to drive forward the next generation of our user facing applications. Together with the team, you will work with creating simple, elegant solutions that elevate a world class experience on Tradera.com. 
  

What you will do


Build and maintain next generation scalable web applications on desktop, tablet and mobile
Bind our front-end and backend services together
Collaborate with software engineers, product management, UX, and operational teams
Ensure that our users’ experience is the very best it can be
You will work with languages and technologies such as .NET Core C#, JavaScript, React.js, Next.js, Node.js, RabbitMQ, MongoDB, Google Cloud, Docker, Kubernetes and more. 


Who are you?
 We believe that you’re a curious, Junior Fullstack Developer with a Computer Science (or equivalent) degree and at least one year of experience.
   You have an interested in testing your technical skills and problem solving capabilities.
   Skills in some of the technologies we work with on a daily basis would excite us, but we value your willingness to learn even more: 
   These include: C#/.Net Core, JavaScript, React.js, Next.js, Kubernetes, NServiceBus, MS SQL, Elasticsearch, MongoDb, RabbitMq, Google Cloud.
 
If agile methods are something you have passion for and you value team success over personal success, then you'll love working at Tradera!  At Tradera we offer competitive salaries and benefits like a yearly bonus and a generous pot for competence development. But most of all, you’ll get a little extra when you join us! Like a group of passionate and engaged people who really love what we do and with strong belief that people deserve a smooth way to care about the planet!
Come and join us – Don’t be square, get circular!
",PostedPublicerad för 3 dagar sedan,,,https://www.indeed.com/rc/clk?jk=7a58891b457152a7&fccid=c82c8ebf4b729413&vjs=3
Developer,Ericsson,Stockholm,"
Our Exciting Opportunity
 We are now looking for a new member to join the Over-The-Air (OTA) test team within the Network Systems & Verification organization in Kista ((BNEW DNEW NSV PAC Guidelines & OTA Perf).

 OTA performance testing is a vital part in our strive for technology leadership. The OTA environment offers a unique possibility to test and improve performance in a customer like and real radio environment. Our main focus is 5G/NR performance deployed using SW on purpose-built products but also using Cloud RAN solutions. This is a great chance to be part of drive testing, analyzing, and improving the latest 5G products first-hand together with a very experienced team.

 You will be close to colleagues that are overall responsible for 5G RAN Performance and Capacity, spanning from systemization of next generation HW and SW architecture to developing RAN Guidelines for operators globally based performance trials and network data from operators across the globe.

 We are looking for someone who:

 seeks simplification in complex issues
 has an inquisitive nature
 communicates well in English, both in writing and verbally
 has an interest in radio networks and is eager to learn more
 has proficient analytical skills
 has a M.Sc. or equivalent
 has experience from SW development and version control using e.g. Git
 has experience with scripting and post processing of logs including visualization using e.g. Matlab, Perl and Python
 has experience from field or lab testing of wireless systems
 has experience from handling mobile devices such as prototype User Equipment (UE) or commercial handsets
 has experience using handset logging tools e.g. QXDM and TEMS


 Kindly submit your application in English at latest on the 18th of September 2022. 
Recruiter: Sarah Lashari, sarah.lashari@ericsson.com
 Hiring manager: Nils Brännström

 
Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team.
 Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.
 Primary country and city: Sweden (SE) || Sweden : Stockholm : Stockholm Req ID: 691757
",PostedPublicerad för 1 dag sedan,,,https://www.indeed.com/rc/clk?jk=42a6ba327b25455c&fccid=82656d64a9a3e6a7&vjs=3
Senior Mobile Developer,Specops Software,Distans,"

Does your passion for technology, and development inspire your peers and encourage them to excel at their job? Do you want to be part of an elite engineering team in a fast-growing global software company? If so, you may be the right person for our Senior Mobile Developer role.
 Position Summary
 As a Senior Mobile Developer, you will work with our software development teams in our Stockholm and Toronto offices.
 The team, while autonomous, work in close conjunction with a global team of developers, quality assurance testers, DevOps engineers, and product services. You will be based out of our Specops office located in Stockholm, in an agile continuous delivery environment.
 You will work with migration and planning for new app, planning and implementation of new features and maintenance.
 Responsibilities

 Hands-on development as a Senior Mobile Developer


 Work as part of a Scrum Team


 Drive migration for existing app to new tech stack


 Drive planning for new app


 Planning and implementation of new features and maintenance for existing apps

 Education
 Minimum of a Bachelor’s Degree in Computer Science or related technology field
 Required experience and skills

 5+ years in an agile software development environment


 At least two of the following: C#, JavaScript/TypeScript, Java/Kotlin, Swift/Objective-C


 Visual Studio/Visual Studio Code


 Working with cross-platform frameworks for iOS and Android








    Department
   

    Research and Development 
   

    Locations
   

    Sweden Remote 
   

    Remote status
   

    Fully Remote
   


",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=ab725a6dcd4958f1&fccid=0776a097ba981121&vjs=3
Mobile Developer,Reeinvent AB,Malmö,"




Job Summary






We are looking for a skilled mobile developer to join our team! You have a passion for modern iOS and Android applications. You're used to seeing out a project from conception to final product, requiring good organizational skills and attention to detail. 
If you’re equally happy to roll up your sleeves to write code and review other team members’ work, we’d like to meet you.














Why you?
 Our engineer team is growing (at a healthy - not intimidating - rate!) as we have more customers and bigger responsibilities. We emphasize a fail fast, learn quick mentality - and we need you to help us to get there with the rest of the team.












Stuff you will do









Work closely with our customers and support them in defining their roadmap, identifying new solutions and products and/or improvements for existing solutions on iOS and Android platforms
Collaborate with developers and departments to ensure high-quality software and timely delivery
Maintain and enhance existing systems based on user feedback
Working alongside graphic designers for mobile design features
Seeing through a project from concept to finished product
Stay up to date with latest trends in mobile development









The nitty gritty skills needed









At least 3 years of experience with iOS and Android development
Familiar with OOP design principles
Experience with Android SDK and iOS CocoaPods frameworks
Extensive knowledge of programming languages like Swift and Kotlin/Java preferably Kotlin)
Solid understanding of Multithreading and Complexity analysis
Understanding/Experience of Android Architecture Components and Navigation
Experience and understanding of ReactiveX is preferable
Understand how to work in agile project setups
Good problem-solving skills and attention to detail
Excellent verbal and written English skills
Ability to learn and adapt quickly in a fast-paced, fluid technical environment









Your colleagues say that you







Work in English with ease (it's our company language)
Are easy to work with and are curious
Are often digging into the known unknowns with a huge smile
Are a strong communicator across multiple stakeholders
Have the humility to know when to ask for help (and then to actually ask for it)
Are a person they would also enjoy having a coffee with (virtual or not)Education and experience




Education and experience







Bachelors Degree in Computer Science or equivalent










Why us??







Finally, you will get the opportunity to enjoy a Swedish “Fika” – Google it!
SaaP is the next big thing (Software as a Passion)
We have the best coffee and office in Sarajevo, period
Friendliest, best colleagues you can find
Continual learning & development opportunities - you are valued
Exciting clients working with latest technologies
We have fun while we’re at work!







Let us prove it!













",PostedPublicerad för mer än 30 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=7568d8fe7598a9c6&fccid=c55b899ee6173a77&vjs=3
Product Expert Virtual and Mobile End-Points,veritaz IT Tech,Distans in Göteborg,"Veritaz is a fast-growing IT-consultant firm. Our company is made up of insanely bright people from over 4 countries, and we are located in Sweden, UK, US and Pakistan. The voyage has been incredible this far, but it is only the beginning.
Assignment Description: 
We are looking for an experienced consultant line for virtual desktops, apps and mobile workspace services. You’ll be expected to work with both existing services that are being developed and new services which are being introduced through ongoing transformations for increased mobility and productivity.
What you'll do: 

Working in close collaboration with product owner to manage and developer service area and reporting the progress to Head of the department.


Ensuring stability and improvement of services and participate in and run/coordinate initiatives and projects.


Operational control and coordination of suppliers and main activities and preparing reports for the same.


Presenting management and stakeholders with information and carrying out dialogue regarding the findings.


Coordinating role between the M365 program and existing on prem delivery.


Collaborating with International IT outsourcing partner regarding outsourced functions and integrating the findings with internal information.

Who you are: 

Candidate should possess good knowledge of technologies and services in the area of Digital Workplace with a focus on End-Point Services.


Expertise of working in line operations as well as in project form in a landscape with outsourced IT (offshore).


Possess experience of driving IT changes and transfers with the business in focus while having good knowledge in security and information security.


Profound in structural ability, supplier management & technical skills while adhering to ITIL processes.


Experience of mapping and analysing needs to find the right solution with a balance between security, technical requirements and user experience.


Have an aptitude for building trust and maintaining good relationships while being proficient in Swedish and English communication skills (verbal and written).


Experience of working with Insurance or Financial Industry along with ""User Experience Monitoring"" and XLA"" will be a bonus.

Job Type: Full-time
Ability to commute/relocate:

Göteborg: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

What is your salary expectations?
When will you be available to join?
Do you need a sponsor with a Swedish working permit?

Language:

Swedish (Preferred)

Work authorization:

Sweden (Preferred)
",PostedPublicerad för 4 dagar sedan,Heltid,,https://www.indeed.com/company/veritaz-IT-Tech/jobs/Product-Expert-Virtual-Mobile-End-Points-19d29b5155eaa24e?fccid=c56547fd80113780&vjs=3
Experienced Backend Developer,Flowscape,113 59 Stockholm,"
Do you want to be a part of building smart solutions for modern offices around the Globe? When offices become activity-based, smart tools are needed for the work to flow.
 We are now looking for a talented Backend Developer for Flowscape in Stockholm. Someone who enjoys the challenge of working in a growing company where problem solving and effective solutions are main drivers. 
Our Team
 As a Flowscape developer, you are part of a multi-talent team, developing everything from the backend logic and web interfaces to the design of our mobile apps and IoT-system. We learn from mistakes and correct them fast. We encourage experimentation with new tools and ways of working. We learn from each other and from curiosity. 
About the Role
 As an experienced backend developer, you will be develop and deploy the core part of our systems in Java. You will be working with the overall system architecture with focus on effective and scalable deployment. It is a strong advantage if you have good experience and interest in working with DevOps. We utilize Kubernetes using Azure for deployment of our services. You will work with the following techniques, which is an advantage if you're familiar with. 

RESTful API design
Microservices architecture
PostgreSQL & Redis
Git version control
Docker
Azure DevOps environment
Kubernetes (Azure Kubernetes Service)
Flutter/Dart

 Who are you?
 You are a problem solver by nature and are passionate about technologies. You are open minded, curious and love learning new things. You enjoy discussing and sharing knowledge. We also believe you are a person who appreciates working in a smaller team where you have great opportunities to shape the overall system.

",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=2072f369a70c5550&fccid=e275cd0dd95c46a9&vjs=3
Mobile Developer,Mirado,111 44 Stockholm,"

Who we are
 Mirado Consulting is not your average consulting firm. We pride ourselves on working to be the top tech consulting firm in Stockholm. A firm that attracts, develops, excites and retains outstanding people. Our formula is simple, hire pure talents that are insanely passionate about what they do and watch the magic happen. Since our inception in mid 2015, we have grown to 25 top talents, that have a phenomenal impact on our customers’ products and businesses on a daily basis
 What makes us different to other consultancies?
 Unlike your usual consultancy, we put our Engineers first; do you wish you had more control over the technology and projects you are working on?
 We will ask you what you love doing in terms of technologies and products and then find a project that will thrill you.
 What you’ll do
 You will be working onsite 5 days a week with leading tech companies in Stockholm such as Spotify, King, Klarna, Dice, iZettle, Doktor24 and many more! You will also benefit from Mirado’s extraordinary culture and Learning and Development platform.
 Our assignments are longer than usual, lasting 1 to 2 years depending on the project and how you feel about it. It is important for us to match you to assignments that you are passionate about and where you can feel challenged.
 Who you are

We love Passionate people - You have a great attitude, you have high energy, you have a hunger to learn and you love to celebrate
We love Humble people - You treat people with respect independent of their position and you take time to help your colleagues
We love High Performers - You run the extra mile and stand responsible for your end results, you keep your deadlines
We love people that take Ownership - You are proactive and self-motivated, you are self-improving, you treat root causes instead of symptoms, you act as a leader
We love Team players - You take time to listen to your colleagues to get a better understanding, you invite other in your work, you communicate in a good manner, you work to improve transparency

Ideal skills & experience

Demonstrable knowledge in mobile development in Android and/or iOS
Previous experience with releasing and maintaining applications in the AppStore/Google Play
Familiarity with different testing practices: unit tests, automated tests, UI testing
Experience with continuous integration systems
Continually working with a high app stability mindset
The ability to write readable, idiomatic and maintainable code
Knowledge of RESTful APIs and their integration in mobile applications
Collaborate closely and efficiently with other engineers and members in a cross-functional team

Ideal skills and experience for iOS developers

A good knowledge of Swift and Objective-C
Experience with iOS frameworks
A Deep understanding of Cocoa design patterns and API design

Ideal skills and experience for Android developers

A good knowledge of Kotlin and Java
Experience with Android APIs and Android development tools
The ability to write readable, maintainable, performant object-oriented code

Examples of technologies we use

Kotlin / Java
Swift / Objective-C
Android Studio / XCode
iOS SDKs and iOS related frameworks like UIKit, MapKit, CoreData, XCTest
Android SDK
TeamCity, Jenkins, Travis
Crashlytics
SQLite / Core Data
Git


 We also offer a best-in-class salary, benefits, a bonus scheme, share options and 25-30 days paid leave (dependant on seniority level). 
At Mirado we are proud to nurture a workplace free from discrimination. We truly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users. Suitable candidates with equivalent qualifications and more or less experience can and should apply. We do not discriminate based on race, ethnicity, colour, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status. We welcome all applicants and look forward to hearing from you!

 (We are not currently hiring remote workers so you must be willing to relocate to Stockholm)

",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=8ae8c563c3dc5c07&fccid=8bc56fd4096d6a8f&vjs=3
