job_title,company,location,job_summary,post_date,more_info,salary,job_url
"Software Engineer, University Graduate (2022)",Google,"Zürich, ZH","
Minimum qualifications:

 Bachelor’s degree in Computer Science, a related technical field, or equivalent practical experience.
Experience with programming in C++ and/or Java.
Completed projects or classes focused on data structures and algorithms.

 Preferred qualifications:

 Master’s degree in Computer Science or related technical field.
Ability to select and implement an algorithm, using appropriate data structures to efficiently solve a problem; interpreting algorithms and contributing ideas to their development.
Effective object-oriented skills.


About the job Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
  
 As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.
   Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.


 Responsibilities

Research, create, and develop software applications to extend and improve on Google's product offering.
Collaborate on scalability issues involving access to massive amounts of data and information.
Contribute to a wide variety of projects across the full-stack.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
",Posted30+ days ago,Full-time +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0QSZpXHZGWWZrsc52kx4Cac8LUXmLEMJXSkpksmbD0w-LaA0kqQPgPZfI3ab15j7t879BUqIRA-qfzlBpzqDrgtr_9SIJuPIgHFuyw3mpA2p5p2hbm0XwOaNjPGvk49XZJ360SW2Bj_lE0u2vuxfZQTm76ydV1KafrqFKS6v6PiIOLXacremIYIQaVQmkbH32qjzkH8aXLswUusDLwwqKcbJZS9riCE350CHBryYD2CM4sqKrFLalSXSgMSNo72jf5_urqSSgZXbUyXaDcK5F-DT7Ot2ycXLFNNVhbqkpsHG3tq9-mwi8Rsc-UXVGizSkgyOjEF_U0JeW9Tp9fKEbhxt73dW9tglgRS4y7Xuhnht75T4amDCDA6N9hO6e4h3SL2XxDBQe-1e45hANgxTUwPZbnI5GQVp0Fj1CKcVWl3nQvajmiODKfOA7gL-G3D05DDIt_X4J0M-vU0M9ae5qvLaPWHq3u5qvKL8sEvLOGIJsviElRnFjTrTQbQvQuizWFnxcNSL7m0DLCb2BUmswGXAZjLcWOd1di9jX6E84x9boVlbzei6rsLEa8Lk6S42X3vQwBFP0VI8BnIXnnG5Wk5Ix8c94qlAHsS6OTL-iVGB4YUK-1ojeDC6aHu1tv1OGDGWUn-uFc4i77nUgZsiXHGDOzOqz_DxhrnR5WaKmEGWrxHHk23AQ-W_K_qILB_Cp_1Kmu1EiP565bqb3msOZ2W8=&xkcb=SoDT-_M3ZCrTCrQFnp0PbzkdCdPP&p=0&fvj=0&vjs=3
"Software Engineer, Security/Privacy, YouTube",YouTube,"Zürich, ZH","
Minimum qualifications:

 Bachelor’s degree or equivalent practical experience.
Experience with software development in one or more programming languages, or experience with an advanced degree. 
Experience with data structures or algorithms.


 Preferred qualifications:

 Master's degree or PhD in Computer Science or related technical fields.
Experience building software for data privacy or security (e.g., identity and access management). 
Experience developing accessible technologies.


About the job
 Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
 With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions. 
 At YouTube, we believe that everyone deserves to have a voice, and that the world is a better place when we listen, share, and build community through our stories. We work together to give everyone the power to share their story, explore what they love, and connect with one another in the process. Working at the intersection of cutting-edge technology and boundless creativity, we move at the speed of culture with a shared goal to show people the world. We explore new ideas, solve real problems, and have fun — and we do it all together.


 Responsibilities

Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
",Posted24 days ago,Full-time +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0QSZpXHZGWWZrsc52kx4Cac-jvOG9IDr3ol-gQgMP9ROhblZVlKI-0XgjjefbqwWZ5wUOFSThzESFOyVZsmCe-vGWB-vadyVJMw8H0Puo0D5B8phSRFie9u4-LITB_Aqb2pCTarNl7edl2OiAsZvRY_sUGg-25NdGCz9N-nHZhtyaI7AHrKaU9F0GA8ZJ6lH1LoVOC_RZsNvnc1dRJtfLKum2VS-9kSL6X2KyGjFh0e4NbD1RYtSD01Iy9CjpaO-z9X3BJdeUCm9qz5DGHupn-caHYEm53EF8UpJua0-RWgBZETW5618gZGDdliYlMM-KFHwsgWZoUXt7PStbWAzc70CUV83imt74qjJMj563OBjtlJJ9cO4RMJm2Z1Qo8yr-F2Tw3d7AwLG2yHIhrXpP6LV4oUPOik61t1G4Qqf-OdjtyCz5NItnW3Lfjgp_VIPAq2229AIs2u6UIPv0D-SVRMzg5vDSEJj3HTZyw4YYp4NFq5Fy-zz8FKslBvVIN7fTAJaY7eO1Npq_O6zq-Jhc5cGPpwX68WuAIrnHduUgPhnEzfHomSvGsUHuC9s8BlQ6Xl4NZKurN-TUdvojbnjrUly2iN2k3GL4Fi__NpWv_e5Ug7K0bgb3csDOTdYh7WxcKuzUQz100jrhnZR2VJBq-5dtmbXseu8_dMYAnzuJTsYJJmzhFk_XSy3RxzKJar_ocMN6MzC7gv3V9ZHSvu0ZFGE=&xkcb=SoCn-_M3ZCrTCrQFnp0DbzkdCdPP&p=1&fvj=0&vjs=3
Mobile Developer,Randstad,"Biel/Bienne, BE","Jobdescription 
.Are you an Android developer with an interest in connected objects (IoT)? 

 Always ready to build and deliver the best solutions? 

 So maybe we could discuss this opportunity? 

 My client is a company operating in the industrial sector located in Biel. If you join their teams, you will benefit from many advantages, including working in a state-of-the-art environment! 

 What will you do ? 

 Your role will mainly be to ensure the development and maintenance of the SDK (Software Development Kit) for Android applications (Java, also Kotlin) as well as on IOS (Swift) 

 What are they looking for? 



You have at least a Bachelor's degree in Computer Science
You have expertise in Android and IOS application development
You have expertise in Bluetooth technology
You master the design in SDK and Swift environment
You have a particular affinity with the Agile methodology
You speak perfect English.
 Do you think you can thrive in this type of universe? Don't hesitate to apply!",Posted30+ days ago,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApJtmVJswI0qV1zeuwxb7z55scoDmYAw8m9zKRg0-Wvxbv7dmY30rYOkzgiUfp97RSuYgyIefuLa4jpLZRbhaD3Ivyf4_6WDrRx6OkO3919pj3F8K4xGZtRwKP-sQkzL9i0jdkqIQD8tN5CfESfeDMQ8nqfKg7LxqS5Ao_P9N9YLDFfu4fENrdV_dEgb1rHH5K4A94EyWH4DzexO3q-OqR74v8wXc4XOwHCwop_5ehPmGD7t8S_o5Bsfp2FMROrPuDaVUwuYQDeJepbmnKdUVG-Icel2cY-ntWqQLs3edA2y-IirFOf5Mpi77azkMI4P9U1q_AF32wAta43dez70sfRQoy7xEHPwi6IBYyaj-el-RQN5KC0l0_rkInNql7fT6ufaKTtL7pOf8HHnCgMh1FexGxMiImygTPTinoGbFPRoXoDzhCdAZRvzW-Qi98bvNukEcXhS481s2jykDN-u1gWlkg9xJXcehrIALkb7oEYgeNK-z_Z3hkdlKiuX7KGAu3xqtUgb-OvQ==&xkcb=SoAx-_M3ZCrTCrwFnp0KbzkdCdPP&p=2&fvj=0&vjs=3
Mobile iOS Developer (BIF),HERZUM,"Remote in Bioggio, TI","
We need a Mobile iOS Developer.

 Scope of Work (short description): 
  

Participate in mobile projects, mainly for the Swiss region and possibly other regions as well. 
Development and configuration of the mobile banking app for implementation projects of our customers/banks. 
Technically lead projects in the mobile domain 
To be able to speak and manage items with bank users and with project managers 
Optionally, contribute to the development of the mobile banking app. 

 Knowledge, Skills and Education: 
  

Development on iOS Mobile apps. 
Proficient in Xcode, Objective-C, and Swift Experience working with projects that uses web services (RESTful API and consume JSON). 
Experience working with Cocoa Touch. 
Good grasp of iOS concepts and standards related to user interface, data storage, encryption, security, and performance. 
A big plus would be development of Android Mobile apps: 
Experience in native mobile application development (Java and Kotlin) 
Experience working with Android SDK and remote data via REST and JSONAnalytical, solution driven, keen to details, ability to work with a team, and above all has the passion to drive change 

 The project will have an international outlook and a likely further team growth. 
  
 The place of employment is in Switzerland and remote from Switzerland. It’s not possible to work from other countries, not even via a VPN. 
  
 Good interpersonal skills and problem-solving skills are also required. 
  
 Fluency in the English language is a prerequisite. Knowledge of German, French or Italian is appreciated.
 
",Posted30+ days ago,Full-time +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaZfFC47Omq-upb0-zKkPIb3gsJyAvtbXsLJEumfjJ-G-JL8MG-xCXEEqvTnDmXWbDndHsgYOGxkwxGfohYx6uyvWO6zDXn_zEQmvOad3yC3ONBA-0t7aDCt0698W-cmUOUDA0LW1I6tfbUDBnnxZiSvhzR43Tl_K4srutHiYaII2kWmLhGgen_o7MEqQQ0d3w8hqdDAQMorWwAlz1avA9Nc4E-BdKMkH8WkPImcPknwcLG6mw41moLVoFftL9C_TntkSEJ-YoMVPoDAvqRLXIT5nvKZLNwI7IyZULvxSdgfGd72yjsmlrODY53EiQDm5OhXAZAfVTfX9iyu9Mr48DvFkLhNmLWikgi1y7-QBljta-LswNnJEQSoXQWi6CC2YhHk5nZV61ynJQL2BCbQzFP_qz7TlQgmgDVplSn9ut9dQ_rw2k98fuSTPiT6I8j7j42JlwbhaB5vQR9DXQLxmyEINz_DamE-yXUm4QHGoLBCcskXk9CBESzNatbJVc3yo=&xkcb=SoAY-_M3ZCrTCrwFnp0IbzkdCdPP&p=3&fvj=0&vjs=3
Mobile iOS Developer (BIM),HERZUM,"Remote in Bioggio, TI","
We need a Mobile iOS Developer.

 Scope of Work (short description): 
  

Participate in mobile projects, mainly for the Swiss region and possibly other regions as well. 
Development and configuration of the mobile banking app for implementation projects of our customers/banks. 
Technically lead projects in the mobile domain 
To be able to speak and manage items with bank users and with project managers 
Optionally, contribute to the development of the mobile banking app. 

 Knowledge, Skills and Education: 
  

Development on iOS Mobile apps. 
Proficient in Xcode, Objective-C, and Swift Experience working with projects that uses web services (RESTful API and consume JSON). 
Experience working with Cocoa Touch. 
Good grasp of iOS concepts and standards related to user interface, data storage, encryption, security, and performance. 
A big plus would be development of Android Mobile apps: 
Experience in native mobile application development (Java and Kotlin) 
Experience working with Android SDK and remote data via REST and JSONAnalytical, solution driven, keen to details, ability to work with a team, and above all has the passion to drive change 

 The project will have an international outlook and a likely further team growth. 
  
 The place of employment is in Switzerland and remote from Switzerland. It’s not possible to work from other countries, not even via a VPN. 
  
 Good interpersonal skills and problem-solving skills are also required. 
  
 Fluency in the English language is a prerequisite. Knowledge of German, French or Italian is appreciated.
 
",Posted30+ days ago,Full-time +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaZfFC47Omq-upb0-zKkPIb3gsJyAvtbXsLJEumfjJ-G-JL8MG-xCXEEqvTnDmXWbDndHsgYOGxqlHNWCX_tMVuDab8YKGM5O30qXBqwcJFq-nqstuAP6vUhwB3ZNgGRE8FvbSYLGpQIFdT_3yZoSbfENJr4y7L3aLtAa3UeAyjIUtDYX0FPC6C4P_-yZRE15yq-XTcg4WDybVtYMPSkv64xzfD5ggiP05b1t5H5wJh0iDREA4oKPQ3CVOEbSP9JYl44SzcXiRWo1sD6Lrnl-3Cvwq1Pna6z0D4JDHJahCGTUt4YTN8sS6-vOVCUFx_-scK7FBVHy7kedAfndMBlHjn6ogpsR-8jjXF9WI2MY93yz7PzSzHt5ePolz5Sfe8std0rMFHkgJNt-vwBbaYHkEe1KwQ878J_YiEjpgnMVoTQFissnkzkFnlAC0NM3g47TjOtgkRTPjd74wT_6NDlVHqig4KIOqNGAv7jCU1u-xskDd4Zam4uedB9HNsY7MaVY=&xkcb=SoCW-_M3ZCrTCrwFnp0PbzkdCdPP&p=4&fvj=0&vjs=3
Mobile Developer AR,Merkle,"Remote in Carouge, GE+2 locations","

Company Description: 

We Dream. We Do. We Deliver.
 As a full-service, data-driven customer experience transformation, we partner with Top 500 companies in the DACH region and in Eastern Europe. Originally from Switzerland, Merkle DACH was created out of a merger Namics and Isobar - two leading full-service digital agencies.
 Our 1200+ digital enthusiasts are innovating the way brands are built, through providing expertise in Digital Transformation strategy, MarTech platforms, Creativity, UX, CRM, Data, Commerce, Mobile, Social Media, Intranet and CMS. We are part of the global Merkle brand, the largest brand within the dentsu group, who shares with us a network of over 66,000 passionate individuals in 146 countries.
 You need to be based in Switzerland. Work remotely or in one of our great offices in the heart of Zürich (Puls5.ch), St. Gallen or Geneva.



Job Description: 


Native mobile app development experience of 3+ years on iOS and/or Android
 Experience and great interest in augmented reality utilising platform specific frameworks
 Experience leveraging Unity, Unreal or Vuforia would be huge plus
 Overall good understanding of 3d space, realtime rendering and optimisation
 Interest in virtual reality welcome
 Member of a cool and very experienced mobile developer team
 Chance to do R&D on new topics




Qualifications: 


Works independently with a broader overview on the project
 Participates in communications with partners and clients, when needed
 Understands and follows the release processes in the company
 Participates in requirements analysis, development, unit testing and documentation
 Writes quality code to fit unique customer needs and configurations
 Troubleshoots and debugs (with some guidance from senior team members if needed)
 Provides mentoring to junior Software Engineers
 Delivers trainings and participates in knowledge sharing
 Achieves better understanding of the company platform and processes and suggests improvements




Additional Information: 

We work with highly motivated people, who support and enrich each other. We live the possibilities of the digital world through home office, meaning you can work anywhere with flexible (annual) working hours. We also value face-to-face exchanges - coffee or tea, biscuits or fruit are all welcomed on board and shared throughout our offices.
 If you ever feel the need to take a break from the digital world, we love to get hands on together and use pens, paper, and whiteboards for brainstorming sessions. Need to clear your head? Hit the foosball table, PlayStation, massage bench or yoga mat. For networking and (brain) food, we offer regular exchange formats, like meetings, tech labs and more. Not enough? We are full believers in education and support training, whether it be internally or externally. We support you.
 If you feel inspired by us, we’ll probably be inspired by you. Join us now and apply online to make sure we match each other’s expectations. We value diversity and are committed to creating an inclusive environment. We welcome all qualified candidates - regardless of your gender or background, please indicate your salary expectations and possible entry date. We look forward to hearing from you!
 Personal consultancies - we only work with selected partners.
 Contact Erik Lindberg Talent Acquisition Business Partner Telefon: +41 44 365 25 73






More Information:
Our Culture: Merkle’s energy and personality lives through everything we say and do. Learn all about what defines our people and our vibe.
Students & Recent Graduates: Start your career at Merkle and get on the path to success.
Experienced Hires: Leverage your expertise, challenge the status quo and grow your career at Merkle.
",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=447e8e82c3f643f0&fccid=9de52fa9ca5b17cd&vjs=3
Mobile Developer AR,Namics,"Remote in Carouge, GE+2 locations","









Company Description

 We Dream. We Do. We Deliver.
 As a full-service, data-driven customer experience transformation, we partner with Top 500 companies in the DACH region and in Eastern Europe. Originally from Switzerland, Merkle DACH was created out of a merger Namics and Isobar - two leading full-service digital agencies.
 Our 1200+ digital enthusiasts are innovating the way brands are built, through providing expertise in Digital Transformation strategy, MarTech platforms, Creativity, UX, CRM, Data, Commerce, Mobile, Social Media, Intranet and CMS. We are part of the global Merkle brand, the largest brand within the dentsu group, who shares with us a network of over 66,000 passionate individuals in 146 countries.
 You need to be based in Switzerland. Work remotely or in one of our great offices in the heart of Zürich (Puls5.ch), St. Gallen or Geneva.









 Job Description


 Native mobile app development experience of 3+ years on iOS and/or Android
 Experience and great interest in augmented reality utilising platform specific frameworks
 Experience leveraging Unity, Unreal or Vuforia would be huge plus
 Overall good understanding of 3d space, realtime rendering and optimisation
 Interest in virtual reality welcome
 Member of a cool and very experienced mobile developer team
 Chance to do R&D on new topics










 Qualifications


 Works independently with a broader overview on the project
 Participates in communications with partners and clients, when needed
 Understands and follows the release processes in the company
 Participates in requirements analysis, development, unit testing and documentation
 Writes quality code to fit unique customer needs and configurations
 Troubleshoots and debugs (with some guidance from senior team members if needed)
 Provides mentoring to junior Software Engineers
 Delivers trainings and participates in knowledge sharing
 Achieves better understanding of the company platform and processes and suggests improvements










 Additional Information

 We work with highly motivated people, who support and enrich each other. We live the possibilities of the digital world through home office, meaning you can work anywhere with flexible (annual) working hours. We also value face-to-face exchanges - coffee or tea, biscuits or fruit are all welcomed on board and shared throughout our offices.
 If you ever feel the need to take a break from the digital world, we love to get hands on together and use pens, paper, and whiteboards for brainstorming sessions. Need to clear your head? Hit the foosball table, PlayStation, massage bench or yoga mat. For networking and (brain) food, we offer regular exchange formats, like meetings, tech labs and more. Not enough? We are full believers in education and support training, whether it be internally or externally. We support you.
 If you feel inspired by us, we’ll probably be inspired by you. Join us now and apply online to make sure we match each other’s expectations. We value diversity and are committed to creating an inclusive environment. We welcome all qualified candidates - regardless of your gender or background, please indicate your salary expectations and possible entry date. We look forward to hearing from you!
 Personal consultancies - we only work with selected partners.
 Contact Erik Lindberg Talent Acquisition Business Partner Telefon: +41 44 365 25 73










",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=cd05ae76cd1622f5&fccid=106d948dabc474d8&vjs=3
Mobile developer opportunity,Wimpact,"1003 Lausanne, VD","Today, the world is in crisis. Climate change, biodiversity collapse, obscene inequalities… To meet these challenges, we have changed our habits. We are flying less, cycling more, eating differently or join association... 

 To limit global warming to 1.5 degrees, 1/4 of the efforts come from individual actions and 3/4 from collective investments. « Faire sa part? », carbone 4 (2019) 

 Today 75% of savers would like to invest sustainably but only 5 % are able to do so. because traditional financial products are complicated, opaque and unsustainable. We generally find companies that people do not want to invest in so-called ""sustainable"" funds. 

 Our mission is to mobilize savers to accelerate the sustainability transition. 

 We create a simple and transparent positive-impact investment platform for investors. Impact, because you only invest in listed companies that develop solutions to societal issues such as climate, water or health. Simplicity, because we provide pre-configured portfolios via an intuitive and jargon-free digital interface. And transparency, because you know where your money is going and why the companies we offer have been selected. 

 Tasks 

 We are developing the first version of our investment service in order to welcome our first clients soon. We are looking for a motivated mobile developer to help us implement our solution and participate in the development of Wimpact. 

 Requirements 

 You are looking for a startup experience during you studies, for an internship or as a part-time job 

 You make mobile development on Swift / Java / React Native 



You have worked on several projects
You are conscientious and detail oriented.
You speak French and English fluently
Like us, you want to change the world
 We are looking for long-term relation! 

 Benefits 



You have a concrete impact
You contribute to a mission
You join a determined team
You arrive at the most stimulating moment
You will live a unique experience
 Let's accelerate sustainability transition together!",Posted22 days ago,Part-time,,https://www.indeed.com/rc/clk?jk=61ced85169fba6ab&fccid=08ac7b3d5f6037ac&vjs=3
Mobile Developer,Benetics,"8001 Zürich, ZH","Come build with us! 

 Construction is a multi-trillion-dollar industry used by every human across the planet, and it needs your help: we need to invent new software systems so construction becomes as efficient, quick, and green as possible. 

 The team at Benetics is laser-focused on a vision of understanding each building’s DNA: How are people on-site communicating? How was the building actually constructed, compared to what the plan said? How can we automate planning, implementation, logistics, and maintenance into a seamless process flow? 

 Tasks 



Build reliable, performant, and scalable mobile solutions on Android and iOS.
Follow data-driven experimentation to iterate on features.
Bring machine learning models to construction process flows.
Tackle greenfield algorithmic, scaling, and performance challenges.
 Requirements 



\[required] 2+ years developing cross-platform mobile applications (React Native plus both Android and iOS native development preferred).
\[required] Master’s or bachelor’s degree (or equivalent) in computer science, physics, mathematics, or statistics.
Your A-Game: top-notch software engineering, a curious mind looking to constantly learn, and an empathic style that wants to teach others.
 Benefits 



Deep experience (collective 30+ years doing software engineering at Google, successful machine vision startup exit, backgrounds in programming languages, mechanical engineering, robotics, and machine learning).
Quick pacing while paying attention to all the details: we build delightful, bullet-proof software.
Performance driven compensation including option for equity.
A once-in-a-generation chance to reshape an industry of crucial importance for humanity and the planet.
",Posted9 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6a7b3620df740d8a&fccid=35b65f31221cd17d&vjs=3
Senior Flutter Mobile Developer (60% - 100%) (m/w/d),Touring Club Suisse,"1214 Vernier, GE","
 Description 
 Although the TCS is the largest mobility club in Switzerland, we are certainly not resting on our laurels. We do not see the current mobility change and the diverse fields of action as a challenge, but as an opportunity to proactively shape them. Already today, every third household trusts the TCS - and we want to reach even more people in Switzerland.

 In order to develop our Digital Team in Vernier (GE) or in Ostermundigen (BE), we are looking for a Senior Flutter Mobile Developer (60-100%) Responsabilités 
 Your tasks
 

Technical lead of the mobile projects
 Define architecture of the mobile apps and ensure that it is correctly understood and followed by the development team
 Participate, with the mobile app Product Owner, to define the best experience around our mobile applications (especially for future ones)
 Be aware of last mobile trends and technologies and evaluate if they can bring some advantage for our applications
 Develop the base for our applications and then act as the expert for the development team
 Develop key features of our mobile applications
 Configure Firebase platform for push notification
 Define unit testing strategy and being able to implement unit tests also on your own
 Develop Coding Cookbook and Guidelines
 Work closely with Mobile Product Owner to help him define our applications features
 Work closely with our Digital architect to have mobile development in line with general Digital guidelines
 Work in collaboration with Digital Analytics Product Owner to define and implement the analytics strategy on a mobile application
 Responsible for the quality of the deliverable for our more than 500’000 users
 Exigences obligatoires 
 Your profile


 Engineering or University degree in Computer Science or similar
 Minimum of 5 years’ experience in mobile development 
Experience of several mobile application projects with at least one project done with a role of tech lead
 Excellent knowledge of native development for both iOS and Android
 Very good knowledge of Flutter development with several applications already developed 
Very good knowledge of AppStores and PlayStores
 Very good knowledge of mechanisms around notification and Firebase
 Good knowledge of OAuth and OpenID Connect
 Good sensibility to User Experience 
Good knowledge of mobile security good practice
 Creative and open-minded person with can-do approach
 Team player with good coaching and social skills
 Excellent communication skills and ability to assert oneself
 Native level proficiency in either French or German and professional working proficiency in English


 Nous offrons 
 Our offer
 
We can offer you a new challenge, a central role to define future mobile applications in TCS, with interesting tasks and much more – including an open corporate culture, flat hierarchies, support for further training and development, opportunities to take on responsibility, an excellent range of foods, sports and cultural facilities, attractive employment conditions, and flexible working time models in various roles.
 
Interested ? Don’t hesitate to send us your application online only.

 Touring Club Switzerland
 HR Department
 Florence Baud
 1214 Vernier Langues French German English Education Bachelor Expériences professionnelles 5+ years
",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=5a182bad25ba236e&fccid=d13789b5a2d694a3&vjs=3
