job_title,company,location,job_summary,post_date,more_info,salary,job_url
Mobile App Developer,boohoo.com,Remote,"


The role
 The React Native Developer will be working as part of our iOS/Android App development team, which is responsible for supporting existing and building new apps for PrettyLittleThing. As a React Native Developer you will have strong analytical, problem solving and conceptual skills, teamed with an excellent knowledge of latest technologies and have a tangible input into our product development. The Developer will drive our work forward, improve performance and stability of our systems and develop software engineering best practice across the organisation. All our Developers share their knowledge and mentor upcoming talent.

 Your team
 In Tech, we’re proud to support every brand and every function. We’re a digital-first company that is totally cloud-native. We embrace change and future-proof the business, delivering critical customer-facing and internal stakeholder facing systems. Everything from colleague tech to front-end websites and apps, buying and merchandising tooling and all that’s in-between, we take care of it. Our ideas support and drive the Group’s agenda.

 What you'll be doing

Able to use established design patterns and techniques.
Writes clean idiomatic code adhering to industry recognised coding standards.
Adds appropriate logging and monitoring needed to help with debugging.
Writes unit/functional/end2end tests with adequate coverage, independently.
Owns the implementation of the solution to the assigned task.
Code is easy to understand, change, and maintain.
Proactively improves components, modules, services, systems, and codebases they encounter.
Adds domain specific metrics to help understand application performance.
Considers and tests edge-cases.
Spots opportunities to improve testing.
Chooses the right data structure for what needs to be solved.
Implements changes within components, modules, services, systems, or codebases that require a deep level of domain knowledge.
Writes code that serves as an example for other engineers.
Defines appropriate testing metrics and targets.
Understands and implements the most appropriate forms of test coverage for different scenarios.
Spots inefficient or incorrect uses of the language or bad patterns.
Makes major contributions to library code and core services.
Detailed knowledge of the core libraries or APIs for their primary language.
Implements distributed systems consisting of multiple interacting services.
Handles complex user flows and error cases.




More about you
 As a React Native Developer you will act as the first point of contact for any queries about your language or area of the codebase. You will ensure that you keep up to date with the latest language versions and what they offer, apply this where appropriate. You will mentor junior team members on best practices about your language, latest updates & versions, coding styles. You will offer major contributions to testing across multiple applications and their connecting technologies, identifies bottlenecks. You will help introduce new frameworks, languages, tools, drives adoption of them when suitable. You will also contribute to external technologies or libraries that we depend on, such as opening issues, contributing to active discussions and issues, while solving real business problems. You will seek to drive the overall team’s testing architecture to tests complex flows. Uses non-functional testing tools.

 Why join us

Free parking
25 days holiday
Free on-site gym with daily classes (due to current restrictions, live PT sessions)
Discretionary Bonus Scheme
Company shares schemes - including a ' Save As You Earn' scheme
40% staff discount (including PLT, Boohoo, Boohoo MAN, Nasty Gal, Coast, Warehouse, Misspap)
Monthly social events (including pay day drinks, Employee Appreciation Day etc.)
Salary sacrifice pension scheme with 5% employer contribution
Flexible working hours
Cycle to work scheme
Childcare support through the Government
Health cash plan
Personal development opportunities to learn and grow at work

Equal opportunities
 Here at PLT we not only embrace diversity we celebrate it! We are proud to be an equal opportunities employer and we’re continuing to build an inclusive environment for our employees. We know we are better together, and we will continue to build a team that represents a variety of skills, perspectives, and backgrounds.

 Reasonable Adjustments
 PLT want to give everybody the chance to perform their best whether that is during an interview or whilst at work. Should you require any reasonable adjustments please let the talent team know.

 #LI-Remote #LI-BC1 #PLT



",Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=17c71a23d774bc5e&fccid=02bcd7cac6eb4cba&vjs=3
Flutter Developer Mobile - Open Banking,Client Server,Remote in London+1 location,"Flutter Developer / Technical Lead (Mobile) *Remote UK WFH*. Are you a Flutter Developer with Open Banking / Payments experience seeking an opportunity to progress your career in a lead role whilst remaining hands-on and influencing best practice and technology choices? 
You could be joining a small team at a start-up FinTech that has created a socially responsible credit management app in Beta. 
As a Flutter Developer you will be hands-on designing and developing new features for the core App with scalability and security front of mind, collaborating with the Head of Engineering to drive best practice and shape the technical roadmap. There are many technical challenges to solve, you'll be able to take ownership, run projects and in time grow a team around you if desired. 
Following a remote interview process you can work from anywhere in the UK (or you can pop into the London based office depending on your preference). 


Requirements:
 You have strong Flutter experience 
You have a good knowledge of databases and SQL 
You have experience within an Open Banking / Payments 
You have experience of working on scalable apps that see spikes in traffic / user sign-ups 
You have a good appreciation of security and Computer Science fundamentals such as OOP, Data Structures, Design Patterns, Algorithms 
You're a collaborative problem solver with great communication skills, happy to mentor others 
As a Flutter Developer / Technical Lead you will earn a competitive salary (to £100k) plus benefits. 
Apply now or call to find out more about this Flutter Developer / Technical Lead (Flutter Node.js Mobile) opportunity.",Posted3 days ago,"£85,000 - £100,000 a yearPermanent","£85,000 - £100,000 a year",https://www.indeed.com/rc/clk?jk=a23ddcde09d0fbc9&fccid=ceaa8686c1538d76&vjs=3
Graduate Software Developer,Softwire,London,"







       Information for non-UK applicants
      


As a software engineer at Softwire, you’ll be part of a bright, inclusive, supportive team, working directly with our customers to solve some of their biggest challenges.
 You could be involved in anything from large-scale digital transformations to artificial intelligence, making a genuine difference to people’s lives, businesses and society along the way.
 Interspersed with the project work, you’ll benefit from structured training that equips you for a long and fulfilling career in the digital world.
 Working here, your opportunities are virtually limitless, with a wide variety of career paths open to you. In fact, both our current and our previous managing directors are alumni of our graduate programme.
 Learn more and apply

Our graduate timeline: What to expect
The people we’re looking for: Are we a good match?
The benefits package: Great pay, profit-sharing and more
Application process: Step by step
More about Softwire: What you’ll be part of





Our graduate timeline









Months 1-2: Software engineering induction










Our new-starter training programme gets you up-to-speed with the skills you need to thrive as a professional digital engineer. You’ll get a grounding in coding, source control, modern technology stacks, and more. You’ll then form a team with your fellow graduates to develop a piece of software, typically for a not-for-profit organisation or to be used within Softwire. Under the guidance of experienced engineers, you’ll learn what it takes to deliver commercial-grade software.












Months 3-15: Working on client projects











With your first project complete, you’ll join one of our teams delivering a client project, usually in our offices but sometimes on a customer site. You’ll get plenty of support throughout, surrounded by helpful colleagues and industry experts to answer all your questions. And with continual peer review of your work, your software engineering skills will quickly rise to new levels. Alongside your project work, you’ll continue to attend our in-house training programme with your fellow graduates. This industry-leading course lasts six weeks in total, spread over 12 months. It broadens your knowledge in key aspects of professional software engineering, including:

System design
Development methodologies
Additional technologies













Month 16 and beyond: Choose your career path











We continue to invest in your development and promote from within. Many of our senior staff joined as graduates and have followed a range of career paths. And, as the individuals we’ve highlighted below show, you’ll quickly get opportunities to take on added responsibility. You might decide you love leading project delivery. You might enjoy overseeing a technology team. You may find consulting is your passion. You could choose to specialise in areas such as design, or data science and artificial intelligence.












Zoe Cunningham




Zoe joined our graduate developer scheme in 2000. She’s since worked in virtually every part of the business, including delivery management, recruitment, operations management and sales, before becoming managing director, aged 33.









Harry Cummings




Part of the 2008 cohort, Harry joined as a coder, before starting to oversee development teams as a technical lead. He then joined our Advisory division, where he’s now a lead consultant, helping customers shape their technical solutions and delivery processes.









Jiang Yingxin




Ying was one of our 2012 graduate intake. Working initially as a software engineer, she quickly started taking on project management responsibilities. She’s now one of our senior delivery leads, ensuring we meet our targets around budget, timeframe and client satisfaction.









The people we are looking for





A passion for solving real-world challenges: First and foremost, you’ll get a buzz from building things that make a difference to businesses, people and society. We also want to see passion for coding – any experience you have is a bonus
An articulate people-person: You’ll be interacting with a wide variety of individuals: some deeply techy, some from complex business domains, and others with low digital literacy. You’ll need to be comfortable understanding their needs and discussing potentially complicated technical ideas with all of them
A positive, can-do team player: You love pushing the team to greater heights by helping colleagues out wherever you can. You always look to improve yourself and others. Your default answer to a question is ‘yes’, and you make big problems seem small





The benefits package









Starting salary of £42,000











50% of company profits paid as profit share to employees











25 days annual holiday with the option to buy or sell, plus charity days











Generous maternity, paternity and adoption pay













Consistently one of the best places to work in the UK*











Dedicated budget for staff activities and entertainment











Great offices, plus free on-site gym and subsidised restaurant in London











A workplace that promotes diversity and inclusion











Annual company holiday abroad









We’ve been in the Best Companies to Work For listing, for over a decade.





Application process and start dates
 We know how much effort you put into your application, so we always aim to get back to you within two working days at each stage. And if you get to the interviews, you can choose your own timeslots, using our online booking system.
 All interviews are conducted remotely.





We allocate places to successful applicants on a first-come, first-served basis. We recommend applying early to secure your preferred start date.
 Have you considered an internship?
 Many of our graduates first join us for an internship, to get a feel for Softwire and life as a professional software engineer. Discover more about our internship programme and how it can lead to a graduate job.
 More about Softwire: What you’ll be part of
 Our mission is to solve our customers’ business challenges using technology. This often demands creativity, tackling complex issues in intelligent ways, to help organisations streamline operations and better serve their customers and users.
 We played an important role in the Moorfields Eye Hospital/DeepMind collaboration, which demonstrated how artificial intelligence could help doctors fast-track patients with serious eye diseases. We built the system that runs the BBC Live Events websites, sharing content from Glastonbury, the Reading and Leeds festivals, and the BBC Proms. We’ve been the long-term digital partner for David Lloyd Clubs, building its mobile app, booking system and numerous other capabilities. And this is just the tip of the iceberg. Find out what else we’ve been involved with.
 Of course, there’s more to Softwire than building software. We’re working hard to nurture a diverse, inclusive and supportive culture, where people love what they do and feel inspired by working with some of the best minds in the business. We also have a generous budget for a varied programme of staff events and activities, with employees, not management, deciding how the money is spent.
 Put all of this together, and you see why we’ve got such high retention rates, and why we’ve been among the top companies in the Best Companies to Work For listing, 10 years in a row.
 Learn more about our core values, and discover some of our company culture initiatives on our insights page.



       Information for non-UK applicants
      
We expect to open applications for 2023 roles in November 2022








Key facts at-a-glance





Locations: London, Cambridge, Manchester






Salary: £42,000






Start dates: September 2023 and November 2023






When to apply: We expect to open applications for 2023 roles in November 2022






Who can apply: Anyone looking for an entry-level development role



We expect to open applications for 2023 roles in November 2022






",Posted30+ days ago,"£42,000 a yearInternship","£42,000 a year",https://www.indeed.com/rc/clk?jk=b7531d26676e0da7&fccid=ea94cafa08dade11&vjs=3
Mobile Developer / Swift / iOS Engineer,Chalkboard,Remote,"We’re looking for an experienced iOS/Swift mobile developer to join our remote team. Here’s all you need to know:
✅ STACK: Swift and Kotlin for our mobile apps. GraphQL between our apps and the backend. Backend is Node.js, TypeScript, and PostgreSQL. We host with Heroku.
✅ SDKs YOU’LL SWEAR AT: RevenueCat (for subscriptions), MixPanel (for analytics) and Firebase (for user notifications).
✅ PRODUCT: iOS and Android native mobile apps that allow anyone to instantly add a second work number to any phone. Keep work separate, your personal number private, and share calls and texts with your team. Check out usechalkboard.com to learn more.
✅ THE JOB: Swift mobile developer working on our native iOS app. Competent in developing modern iOS mobile apps in Swift.
✅ REMOTE?: Yes, fully remote working (UK residents only). If you’d like to work from a local co-working space, we offer a £250 a month allowance.
✅ FOR YOU: Great salary up to £55k (depending on your experience level), 25 days off + public holidays, MacBook Pro or BYOD allowance.
✅ TEAM: Small but mighty experienced, there’s 15 of us (and growing fast!).
✅ FUTURE GOALS: We see a world with thousands of teams around the world using Chalkboard to communicate with customers and each other. On the move, in retail locations, out in the real world.
✅ FOUNDER: We’re headed up by John Jackson, who has already built and sold 2 tech businesses. We are funded directly by John’s investments so we’re in full financial control.
✅ TECH PRINCIPLES: We have a mature test suite and endeavour to maintain it as part of our development process. All code changes are peer reviewed. We think the best features are a result of tight collaboration between product and engineering. We use the best tools for the job, but they need to be proven.
✅ DEV PROCESS: Each feature moves through product design, architecture, development, testing, and release, in a Kanban-style workflow that we manage in a tool called Shortcut.
✅ PRODUCT PRINCIPLES: Focus on user experience, convention over configuration, accessible to everyone, low touch high volume, no jargon.
✅ MUST HAVES: Commercial experience as software engineer (5+ years), Swift (competent, 3+ years), MVVM/MVVM-C (proficient), dependency injection (proficient).
✅ IDEALLY: GraphQL (proficient), automated testing (proficient).
✅ HOW WE HIRE: With respect for your time, and transparency. First some simple technical questions, then a first interview, next a short own-time challenge that takes no more than a few hours, and then a final interview.
✅ TO SUM UP: Join a financially secure start up, with a grand plan, a small but experienced team, quality tech, sound technical principles, and a well-written codebase. Help millions of small and local businesses to operate, grow, and thrive.
If this sounds like the perfect opportunity for you, we can't wait to hear from you!
Job Type: Full-time
Salary: £45,000.00-£55,000.00 per year
Benefits:

Company pension
Work from home

Schedule:

Monday to Friday
",Posted18 days ago,"£45,000 - £55,000 a yearFull-timeMonday to Friday","£45,000 - £55,000 a year",https://www.indeed.com/company/Chalkboard/jobs/Mobile-Developer-ae1c892c3df4d57d?fccid=dc79db3d77e7af96&vjs=3
Mobile Developer / Kotlin / Android Engineer,Chalkboard,Remote,"We’re looking for an experienced Android/Kotlin mobile developer to join our remote team. Here’s all you need to know:
✅ STACK: Swift and Kotlin for our mobile apps. GraphQL between our apps and the backend. Backend is Node.js, TypeScript, and PostgreSQL. We host with Heroku.
✅ SDKs YOU’LL SWEAR AT: RevenueCat (for subscriptions), MixPanel (for analytics) and Firebase (for user notifications).
✅ PRODUCT: iOS and Android native mobile apps that allow anyone to instantly add a second work number to any phone. Keep work separate, your personal number private, and share calls and texts with your team. Check out usechalkboard.com to learn more.
✅ THE JOB: Kotlin mobile developer working on our native Android app. Competent in developing modern Android mobile apps in Kotlin.
✅ REMOTE?: Yes, fully remote working (UK residents only). If you’d like to work from a local co-working space, we offer a £250 a month allowance.
✅ FOR YOU: Great salary up to £55k (depending on your experience level), 25 days off + public holidays, MacBook Pro or BYOD allowance.
✅ TEAM: Small but mighty experienced, there’s 15 of us (and growing fast!).
✅ FUTURE GOALS: We see a world with thousands of teams around the world using Chalkboard to communicate with customers and each other. On the move, in retail locations, out in the real world.
✅ FOUNDER: We’re headed up by John Jackson, who has already built and sold 2 tech businesses. We are funded directly by John’s investments so we’re in full financial control.
✅ TECH PRINCIPLES: We have a mature test suite and endeavour to maintain it as part of our development process. All code changes are peer reviewed. We think the best features are a result of tight collaboration between product and engineering. We use the best tools for the job, but they need to be proven.
✅ DEV PROCESS: Each feature moves through product design, architecture, development, testing, and release, in a Kanban-style workflow that we manage in a tool called Shortcut.
✅ PRODUCT PRINCIPLES: Focus on user experience, convention over configuration, accessible to everyone, low touch high volume, no jargon.
✅ MUST HAVES: Commercial experience as software engineer (5+ years), Kotlin (competent, 3+ years), MVVM/MVVM-C (proficient), dependency injection (proficient).
✅ IDEALLY: GraphQL (proficient), automated testing (proficient).
✅ HOW WE HIRE: With respect for your time, and transparency. First some simple technical questions, then a first interview, next a short own-time challenge that takes no more than a few hours, and then a final interview.
✅ TO SUM UP: Join a financially secure start up, with a grand plan, a small but experienced team, quality tech, sound technical principles, and a well-written codebase. Help millions of small and local businesses to operate, grow, and thrive.
If this sounds like the perfect opportunity for you, we can't wait to hear from you!
Job Type: Full-time
Salary: £45,000.00-£55,000.00 per year
Benefits:

Company pension
Work from home

Schedule:

Monday to Friday
",Posted18 days ago,"£45,000 - £55,000 a yearFull-timeMonday to Friday","£45,000 - £55,000 a year",https://www.indeed.com/company/Chalkboard/jobs/Mobile-Developer-758f58b7a5dbefde?fccid=dc79db3d77e7af96&vjs=3
Apprentice Software Developer,Softwire,London,"







       Information for non-UK applicants
      








We are looking for motivated apprentices to join our team of software developers. 
As an apprentice at Softwire, you’ll get a thorough introduction to commercial software development on one of the best training programmes in the business. We offer a fantastic package with a salary of £24,000, plus profit share and other benefits.
 Our two-year apprenticeship starts with three months of full-time training, leading into commercial software development work on Softwire’s customer project teams. You will get to work on a variety of projects, with a range of technologies, and we provide ongoing training and support every step of the way. Apprentices graduate with a Level-4 BCS-accredited Diploma in Software Engineering, and an internationally recognised coding qualification.




Learn more and apply

The people we’re looking for: Are we a good match?
The benefits package: Great pay, and more
Application process: Step by step
More about Softwire: What you’ll be part of





Apprentice profiles







Taiwo Olateju




Taiwo joined Softwire to follow avenues outside of university, to gain experience solving real-world problems.

              He’s currently working on a climate change project with a leading UK insurer and previously was a developer on our project with LNER. As a musician, Taiwo’s been involved in creating the Softwire album, 
             
              Bandwidth
             










Jess Gilbert




Jess chose the apprenticeship scheme because she wanted fast-track into a career path and felt that university wasn’t for her.
 Jess is now the project manager for our LNER team and previously was a customer manager on our support team.









Ben Fernandes




Ben was attracted to our apprenticeship scheme as it offers on-the-job training. Within three months, Ben was working on real projects with real clients. He’s currently the tech lead for our Channel 5 team.
 And, as Softwire’s tech officer, he creates company-wide tech events and project-sharing ‘lunch and learns’.









The people we are looking for





A passion for solving real-world challenges: First and foremost, you’ll get a buzz from building things that make a difference to businesses, people and society. We also want to see a passion for coding – any experience you have is a bonus
An articulate people-person: You’ll be interacting with a wide variety of individuals: some deeply techy, some from complex business domains, and others with low digital literacy. You’ll need to become comfortable understanding their needs and discussing potentially complicated technical ideas with all of them
A positive, can-do team player: You love pushing the team to greater heights by helping colleagues out wherever you can. You always look to improve yourself and others. Your default answer to a question is ‘yes’, and you make big problems seem small





The benefits package









Starting salary of £24,000 plus annual profit share











25 days annual holiday with the option to buy or sell, plus charity days











Consistently one of the best places to work in the UK*













Dedicated budget for staff activities and entertainment











Great offices, plus free on-site gym and subsidised restaurant











A workplace that promotes diversity and inclusion









We’ve been in the Best Companies to Work For listing, 10 years in a row.






Application process and start dates
 We know how much effort you put into your application, so we always aim to get back to you within two working days at each stage. And if you get to the interviews, you can choose your own timeslots, using our online booking system. Given the current situation, we’ll be running this year’s recruitment process entirely remotely.





Apprenticeships start in October 2023. We allocate them to successful applicants on a first-come, first-served basis. Applications will open in Jan 2023.




More about Softwire: What you’ll be part of
 Our mission is to solve our customers’ business challenges using technology. This often demands creativity, tackling complex issues in intelligent ways, to help organisations streamline operations and better serve their customers and users.
 We played an important role in the Moorfields Eye Hospital/DeepMind collaboration, which demonstrated how artificial intelligence could help doctors fast-track patients with serious eye diseases. We built the system that runs the BBC Live Events websites, sharing content from Glastonbury, the Reading and Leeds festivals, and the BBC Proms. We’ve been the long-term digital partner for David Lloyd Leisure, building its mobile app, booking system and numerous other capabilities. And this is just the tip of the iceberg. Find out what else we’ve been involved with.
 Of course, there’s more to Softwire than building software. We’re working hard to nurture a diverse, inclusive and supportive culture, where people love what they do and feel inspired by working with some of the best minds in the business. We also have a generous budget for a varied programme of staff events and activities, with employees, not management, deciding how the money is spent.
 Put all of this together, and you see why we’ve got such high retention rates, and why we’ve been among the best small-to-medium-sized companies in the Best Companies to Work For list, 10 years in a row.
 Learn more about our core values, and discover some of our company culture initiatives on our insights page.
 Ready to be part of the journey? Apply for your apprenticeship today.
 Please note that this role is available only to those without a university degree, or those with a non-STEM degree, STEM undergraduates should instead apply for one of our graduate developer roles.



       Information for non-UK applicants
      

We have now filled all vacancies for 2022. Applications for 2023 roles will open in January 2023.








Key facts at-a-glance





Locations and salaries: London £24,000






Start dates: October 2023






When to apply: Applications for 2023 roles will be open from January 2023






Who can apply: Anyone with no degree or with a non-STEM degree. (If you have a STEM degree you should instead apply for one of our graduate developer roles.)



We have now filled all vacancies for 2022. Applications for 2023 roles will open in January 2023.





",Posted30+ days ago,"£24,000 a yearFull-time +1","£24,000 a year",https://www.indeed.com/rc/clk?jk=e97c14fa64f87964&fccid=ea94cafa08dade11&vjs=3
Mobile Developer,Screenmedia,Glasgow,"

As a Mobile Developer, you will be involved in implementing functionality to new and existing applications, working with designers to create beautifully designed and well-considered user experiences, as well as thoroughly testing your work through unit testing and device testing. Working to our dev-ops methodology you will be involved in backlog estimations, and specification and code review.
 This is an opportunity to grow and thrive in one of the UK’s leading practices for digital innovation, design and development. You’ll collaborate with teams in a fast-paced environment to develop user-friendly mobile applications. If that sounds interesting to you, we’d love to learn more about you.
 What You’ll Do

Developing fully functional native and cross-platform mobile applications
Keeping up to date with mobile development techniques and methodologies
Working to achieve team goals and continuous improvements
Be involved in the entire product application lifecycle (concept, design, test, release and post release)
Testing work to ensure specifications and quality
Troubleshoot and debug to optimize user experience and performance
Ensure new and legacy applications meet quality standards.

Required Skills and Experience

Proven work experience as a Mobile developer
Demonstrable portfolio of released applications
2 or more years’ experience, developing iOS or Android applications using modern approaches
A solid knowledge of object orientated programming
Experience of software testing techniques
Excellent analytical skills with a good problem-solving attitude
Ability to pick up and learn new technologies quickly

If you are unsure if you meet the specific requirements of this role, please still apply as we have several roles available and will shape roles to fit an individual’s capabilities.
 Helpful Skills and Experience

Knowledge of cross-platform frameworks like Xamarin and Flutter
Experience developing for platforms such as UWP, Windows, Mac, etc.
Able to bring your best to the team culture and happiness

Qualifications

University Degree (2:1 or above) in a related subject or similar experience/qualifications.

Salary

Full time – permanent
Competitive salary and benefits based on your experience

Benefits

Up to 33 days of holidays (inc. 8 bank holidays)
Personal research & development budget
Flexible working
Work from home opportunities
Childcare vouchers
Excellent work/life balance
Vibrant and innovative culture
Company events and social hours

This is an excellent and varied role in which initiative, teamwork, and a thirst for improvement are well rewarded.
 Our hiring process

Introductory video call – informal and informative; a great opportunity to discover who we are, what we do and how we do it.
Code test – specific, relevant and not too long; we use this as a platform for discussion at your interview.
Interview – discussing your code, your experience and an in-depth discussion on the role and what you can achieve in it.

Useful alongside your CV when applying

Times that work to speak to you. Everything is on MS Teams at the moment and we will try and be flexible to suit.
Details of any particularly cool projects that you are proud of, and links to any public code repositories to us via the link below.
A cover letter – if you want to tell us a bit more about you and why you’re interested in Screenmedia, we would love to read it.

Let's talk!
 Apply via the link below.





How To Apply
If you are interested in this position and meet the role requirements then, please email us your covering letter, CV and details of your work portfolio.



",Posted30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=d94fcb72e27150cf&fccid=0bf9bb64399cc1be&vjs=3
Software Development Internship,Softwire,London,"







Get a feel for life as a professional digital engineer, building real-world software.
 Under the guidance of experienced developers, our interns form a team to create a commercial-grade application. This might be for a client, or it might be a pro bono project or it might be addressing a need within Softwire.
 Recent examples include a skills-tracker for Potential Plus UK, and a website for Pungo to monitor the mental wellbeing of elderly people.
 And with around half our interns taking permanent graduate roles with us after their studies, the programme could be the ideal way into your career in tech.
 Underpinning your success are our three key pillars: our people, our culture and the way we work. Read on to discover more about each.




Learn more and apply

Our summer internship programme: What to expect during an internship (and afterwards)
The people we’re looking for: Are we a good match?
The benefits package: What you get as an intern at Softwire
Application process: Step by step
More about Softwire: What you’ll be part of





Our summer internship programme (and beyond)
 Our summer internships typically last 8-12 weeks.





Weeks 1-2: Induction
 To get you up to speed ahead of the main development project, we spend two weeks on structured training, covering the essentials you’ll need to thrive as part of the team.
 Week 3 and onwards: Software development project
 Following the training, you’ll begin work on software for a real customer – either an external organisation or another part of Softwire.
 You and your intern colleagues will be exposed to the full delivery lifecycle, guided by experienced software engineers. Projects typically include system design, development and testing, culminating in a demonstration of the completed product to the customer.
 Your stepping stone to a permanent role at Softwire?
 The intern programme enables us to get to know each other, and gives you a great insight into what a career with Softwire could be like. Around half our interns go on to take up permanent positions with us once they graduate. Find out more about our graduate developer role and where it could take you.




The people we’re looking for

A passion for solving real-world challenges: First and foremost, you’ll get a buzz from building things that make a difference to businesses, people and society. We also want to see passion for coding – any experience you have is a bonus
An articulate people-person: You’ll be interacting with a wide variety of individuals: some deeply techy, some from complex business domains, and others with low digital literacy. You’ll need to be comfortable understanding their needs and discussing potentially complex technical ideas with all of them
A positive, can-do team player: You love pushing the team to greater heights by helping colleagues out wherever you can. You always look to improve yourself and others. Your default answer to a question is ‘yes’, and you make big problems seem small





The benefits package









Salary £30,000 per annum (pro rata) for summer internships











Great offices; free on-site gym and subsidised restaurant in London











Take part in our varied programme of social events and entertainment











Be part of a diverse, inclusive culture











Variety of Softwire career paths for successful interns








Application process and start dates
 We know how much effort you put into your application, so we always aim to get back to you within two working days at each stage. And if you get to the interviews, you can choose your own timeslots, using our online booking system.
 All interviews are conducted remotely.





Summer internships begin in June 2023 and will last 8-12 weeks.
 Shorter, two-week internships take place during the 2023 Spring and Winter university holidays.
 We recommend applying for your internship in the first term of the academic year, Autumn 2022 as we allocate places to successful applicants on a first-come, first-served basis.




More about Softwire: What you’ll be part of
 Our mission is to solve our customers’ business challenges using technology. This often demands creativity, tackling complex issues in intelligent ways, to help organisations streamline operations and ultimately better serve their customers and users.
 We played an important role in the Moorfields Eye Hospital/DeepMind collaboration, which demonstrated how artificial intelligence could help doctors fast-track patients with serious eye diseases. We built the system that runs the BBC Live Events websites, sharing content from Glastonbury, the Reading and Leeds festivals, and the BBC Proms. We’ve been the long-term digital partner for David Lloyd Leisure, building its mobile app, booking system and numerous other capabilities. And this is just the tip of the iceberg. Find out what else we’ve been involved with.
 Of course, there’s more to Softwire than building software. We’re working hard to nurture a diverse, inclusive and supportive culture, where people love what they do and feel inspired by working with some of the best minds in the business. We also have a generous budget for a varied programme of staff events and activities, with employees, not management, deciding how the money is spent.
 Put all of this together, and you see why we’ve got such high retention rates, and why we’ve been in the Best Companies to Work For list, 10 years in a row.
 Learn more about our core values, and discover some of our company culture initiatives on our .
 Ready to be part of the journey? Apply for your internship today



       Information for non-UK applicants
      









Summer internships





Locations and pay: London, Cambridge and Manchester £30,000 per annum (pro-rata) 






Dates and duration: June 2023 for 8-12 weeks






2-week internships





Locations and pay: London £30,000 per annum (pro-rata)






Dates and duration: Spring and Winter 2023 university holidays for two weeks









",Posted30+ days ago,"£30,000 a yearInternship","£30,000 a year",https://www.indeed.com/rc/clk?jk=fc63bf03940b5708&fccid=ea94cafa08dade11&vjs=3
Front End Developer,Digital Waffle,Birmingham,"

Front End Developer


Job details




    Posted 30 August 2022 
   

    Salary £50000 - £60000 per annum, Benefits: Please enquire for more info. 
   

    LocationBirmingham
   

    Job type Permanent 
   

    DisciplineDevelopment
   

    ReferenceLN-137-4
   

    Contact NameLuke Newell
   



Job description

   We are currently partnered with a Tech for good company, they specialise in the Renewable Energy industry and their overall mission is to transform the electric vehicle sector by designing tailored solutions and technology that are proven to be reliant and cost-effective.
   
 We are looking for a Front End Developer with extensive Front End experience to play a pivotal role in assisting with the integration of their Back-End services to their brand-new app. This is a rapidly growing tech company involved in a number of exciting projects and that has some industry-changing platforms that are patent-pending.
   
 If you are looking to join a team of innovators who collectively share the goal of successfully creating life-changing projects, this will be for you!
   

Role: Front End Developer

Salary: Up to £60,000

Location: Birmingham

 Key Skills:
   

 You will be responsible for creating mobile apps utilising non-native tech for Android and iOS
 Presenting User Experience guidance across the team in relation to the mobile applications.
 You will be contributing towards the storyboarding of app designs and the UX flows
 Collaborating with branding teams on styling decisions.
 Working towards agreed timescales and having the ability to accomplish tasks on time and on point

 If you are interested and wish to learn more please apply or get in touch.
  

",Posted4 days ago,"£50,000 - £60,000 a yearPermanent","£50,000 - £60,000 a year",https://www.indeed.com/rc/clk?jk=f1d8f280af8daf42&fccid=af02b98b92a2145b&vjs=3
Mobile App Developer,Nicolaudie Group,Remote in Brighton,"

Brighton - UK


   We are looking for a mobile app developer to join our team, working to build apps for Entertainment and Architectural Lighting control. Our apps are used by Lighting Designers all over the world to light up shows, monuments and bridges. Experience with Android or iOS development using Kotlin or Swift is essential. Suitable candidates will work with our existing small mobile app team at our office in Brighton, UK and communicate with our hardware and web developers at our offices around the world to take apps from the initial design stage all the way to App Store and Google Play submission. Part-remote working may also be possible.
   

Profile



Have a genuine interest in creative projects which may include lighting, sound, video and design.
Excellent communication skills. Someone who is able to easily collaborate and find solutions to problems.
Passionate about working as part of a small team within a small/medium sized company with a start-up spirit, taking a project from the design stage to final release.


 Desired Skills and Experience



University degree or similar experience/qualification in engineering/computer science/maths.
At least 2 years experience with Android/Java/Kotlin or iOS/Swift or similar mobile app development.


 Why Nicolaudie?



Join a high-growth company which has established a foundation in many countries over the past 30 years and is regarded as one of the market leaders in lighting control.
Our Brighton office is located in the heart of the city, 2 minutes walk from the seafront and Brighton Pier.
Our products are used by DJ’s and Lighting designers all over the world.
Our team members play an active role in all aspects of the development. Programming tasks may be mixed with discussions with our customers and providing input on design ideas.

 Here at Nicolaudie, we manufacture a wide range of cutting edge DMX lighting control software and hardware products using the latest technologies available. We offer control products for both the Entertainment and Architectural lighting markets. Our products are used all over the world, from lighting up Tower Bridge in London to landing jets in Antarctica.
   
 If you are interested in this role, or you believe you have something to contribute to our team, please send your CV to uk@nicolaudiegroup.com
  

",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=6729f2a6390e5547&fccid=9d5aa3fae7383903&vjs=3
