job_title,company,location,job_summary,post_date,more_info,salary,job_url
The Sandbox - Web Frontend Developer,The Sandbox en la ciudad de Buenos Aires -...,"Buenos Aires, Buenos Aires","
 The Sandbox Gaming is looking to incorporate an experienced Web Frontend Developer to work on our game services .
 
 Responsibilities
 

Writing well designed, testable, efficient code by using best software
 development practices.
 

Creating website layout/user interfaces by using standard HTML/CSS
 practices.
 

Cooperate with web designers to match visual design intent.
Bring to life web pages based on Artists Photoshop mockups, up to pixelperfect.
Maintain and help optimize existing systems.

 Requirements
 

Minimum 2 years of working experience in similar position.
Top-notch programming skills.
Proficient in any programming language, preferably Javascript (we use Node.js here)
You know your way around HTML and CSS.
Knowledge of any modern JS based frontend frameworks.
Experience working with SQL/No-SQL databases (preferably MySQL and Redis).
Version control with Git.
A solid understanding of how web applications work including security, session management, and best development practices.
Experience in AWS, Digital Ocean or other clouds.
Experience with Docker.

 Apply now!
  The Sandbox Gaming Team
",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=68afbc7d26c84c63&fccid=dd616958bd9ddc12&vjs=3
Web/mobile developer,IBM,"Buenos Aires, Buenos Aires","

Introduction
 As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!
  

Your Role and Responsibilities
 Web/mobile developer
  

Required Technical and Professional Expertise

 skills: Required: Javascript, VUE.js, Node JS.

 Preferred Technical and Professional Expertise

 Desirable: Android/IOS development; ionic 3 and Angular 4, CSS3




 About Business Unit
 IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.
 



 Your Life @ IBM
 Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.
  
 Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.
  
 It's time to define your career.
 



 About IBM
 IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.
  
 Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. 
  
 At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.
 



 Location Statement
 For additional information about location requirements, please discuss with the recruiter following submission of your application.
 



 Being You @ IBM
 IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
 
",Postedhace 5 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=abf8ace0226b50bc&fccid=de71a49b535e21cb&vjs=3
.NET Dev,CLARIKA,Desde casa,"





Remote









About Clarika
 Want to join us? We are dedicated to software development, IT consulting, website development, and digital transformation. We offer highly qualified tech teams experienced in delivering quality software using Agile SCRUM techniques. At Clarika, we are experts creating software solutions through a diverse set of technologies and frameworks delivering as expected using agile SCRUM methodologies.
 Our company has been inspired Fortune 500 as well as startup clients for more than 13 years, exceeding their expectations and challenging the limits of what is possible. We are committed to quality development, on-time delivery, and constant innovation.

 About the Position
 We are looking for .NET Semi Senior Developers with a strong profile in developing, designing and producing. Someone capable of maintaining the quality standards required by the company and adapting to internal processes.

 About the Project
 It is a tool that allows customers to select a board with certain characteristics, upload a list of cuts, and find the most optimal way to distribute the pieces, thus obtaining the minimum number of boards to buy. It also has certain integration mechanisms with external systems, such as the mobile APP and e-commerce. Allowing external systems to obtain the result of the optimization and enter them into the shopping carts for these services.



Required Knowledge

3+ years of experience developing .net framework related technologies.
 Passion to learn, discover and stay at the forefront of technology and new platforms.
 Knowledge of requirements management tools and development environments.
 Web services.
 Service / object oriented applications.
 Knowledge of agile methodologies.
 Notions of architecture.
 Knowledge of analysis methodologies.
 Versioning control tools.



Technical Requirements

Net Core
 Material Design
 Sql Server
 Azure









Our Benefits






Health & Wellness



First level health insurance plan
Breakfast and fresh fruits every day
Gym discounts
Healthy eating workshop
Annual first aid workshop
Vaccination Campaign
Outdoor working spaces
Flex time








Leisure & Entertainment



Team futbol matches
After office
Quarterly events
Discounts gift cards, like Club La Voz 
End of the year “Clarika Fest”
Birthdays and aniversaries celebrations
Special Dates celebrations








Training



Pluralsight
Udemy
Tech Talks
Code Monkey
Certifications
English Classes










Our values






Wow Experience
You will fall in love with our products and services. Your satisfaction comes first.






Impossible is Nothing
We always give our best.






Make the Difference
With constant innovation and creativity.






Be Honest
We communicate sincerely and with respect






Be Clarika
We all feel part of a team, we work collaboratively and positively.







",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=d60714ea1ff1e678&fccid=e962af4569c51cda&vjs=3
Senior full-stack web developer,Your.Rentals,"Buenos Aires, Buenos Aires","
Do you want to take responsibility for developing great software? Do you want to join a team with a clear vision of changing an industry? Do you love to work with the newest technologies? Then you may be the person we are looking for!
 Your.Rentals is looking for a Full-stack web developer to join our team in Hanoi. You have 2+ years work experience within a professional team developing scalable commercial web applications, hands-on experience with the technologies that we use, and experience in developing and maintaining a web application throughout the full product life cycle. You’ll be joining our team developing with JavaScript technologies such as NodeJS and AngularJS as well as our microservices-based architecture in AWS.
 What will I be doing?
 As a Full-stack web developer, you’ll be expected to code using service-oriented architecture (SOA), building for scale, performance and reliability. You will understand how the end-to-end stack works and how each service needs to fit and integrate in supporting customer-driven scenarios.
 In addition, you will be responsible for:

 Planning your own work.
Performing code review.
Participating in architecture discussions and decisions.
Working closely with local and European product team members.
Work together with the product support team and QA to ensure our application functions to the high standard that our users expect.


 Skills and experience
 Your recent work experience should display an ability to collaborate with many different types of people, challenge ideas and come up with even better ones supported by most recent technology – and last but not least put the customers first and let solutions be driven by understanding their needs and ecosystems.
 You have 2+ years experience working with software engineering in JavaScript, Typescript or similar (depending on level) and the ability to both code and architect excellent code.
 Besides your professional skills, we are looking for a person with creative problem solving skills and the ability to work autonomously in an agile organisation. You must have good skills and confidence speaking, writing and listening in English.

 What you'll definitely need to bring:

 Education: Bachelor of IT or equivalent (preferred Masters level).
2+ years experience in web application development.
Good written and spoken English language skills.
Experience in NodeJS backend frameworks such as ExpressJS, NestJS.
Experience in Javascript frontend frameworks such as ReactJS, Angular.
Experience in NoSQL databases such as DynamoDB, MongoDB, Cassandra OR Experience in SQL databases such as PostgreSQL, MySQL
Experience working in a Scrum and/or Kanban team using tools such as Jira, Trello.
Experience in Git.

 Nice to have experience:

 Experience in working with Amazon Web Services (AWS) cloud-native services such as EC2, S3, SQS, SNS, Lambda.
Container technologies such as Docker, Kubernetes.
Experience in testing suites such as Jest, Mocha, Cypress
Experience in coding best practices such as SOLID, DRY, DDD, etc.
Typescript experience is preferred.
Integration with third party APIs.

 Personal nature:

 Passionate about the product and the creative process.
Self-motivated and driven by your results.
Willing to contribute and take the initiative to execute innovative new ideas.
You like to participate in planning, code review, retrospectives and improvement.
You like to deliver high quality solutions to match the pace of our business needs.
We expect you to be a natural team-player and not afraid to ask questions or make suggestions.

 Why you'll love working here:

 Attractive salary and annual salary review.
Flexible working environment.
Work from home policy.
Social insurance, health insurance, unemployment insurance according to Vietnam Labour Law & Additional Health Insurance.
12-day annual leave per year.
13th month salary.
Team building activities.

",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=a3743f3305a1e45a&fccid=e63968d221e3ba49&vjs=3
Web UI Developer SemiSenior/Senior,Globant,"Buenos Aires, Buenos Aires","

Conocimientos sólidos en tecnologías Web, específicamente Javascript.
Si sabes HTML5, you rock!
Buen nivel de inglés.





Para participar de esta búsqueda podés enviar tu CV (hasta abril del 2013) por e-mail a mariano.goren@globant.com

",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=59e1088b361ccfd0&fccid=34ea81fd9e91a411&vjs=3
The Sandbox Gaming - Frontend Developer,The Sandbox Gaming en la ciudad de Buenos Aires -...,"Buenos Aires, Buenos Aires","
 The Sandbox Gaming is looking to incorporate an experienced Frontend Developer to work on our blockchain based gaming platform.
 
 Responsibilities
 


Writing well designed, testable, efficient code by using best software development practices.
Creating website layout/user interfaces by using standard HTML/CSS practices.
Cooperate with web designers to match visual design intent.
Bring to life web pages based on Artists Photoshop mockups, up to pixelperfect.

 Requirements
 


Proven working experience (send your portfolio).
Knowledge of good HTML/CSS practices (preferably using Sass).
Proficient in Javascript.
Knowledge of at least one JS based frontend framework (preferably Vue.js).
Knowledge of any Web template framework (preferably Nunjucks).
Version control with Git.
Strong organizational skills to juggle multiple tasks within the constraints of timelines.
Bring to life web pages based on Artists mockups, up to pixelperfect.
Proven working experience (send your portfolio / git repo).

 Apply now!
  rrhh@pixowl.com
  The Sandbox Gaming Team
",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=bfe0715ce99b75dc&fccid=dd616958bd9ddc12&vjs=3
JR Full stack developer,CloudHesive LATAM,Desde casa,"
CloudHesive, es un AWS Premier Consulting Partner, fundada por un grupo de experimentados profesionales con amplia experiencia en tecnología cloud. Ayudamos a nuestros clientes a adaptar y transformar sus organizaciones potenciando el poder del ecosistema de la nube a través de consultoría y servicios gestionados, con un enfoque en la excelencia operativa, la seguridad, la confiabilidad, la eficiencia del rendimiento y la optimización de costos. 
Nuestro equipo es la base de nuestro éxito, e invertimos en él! Estamos creciendo rápidamente y hemos construido un equipo profesional a través de entrenamientos, eventos de socios, participación en la comunidad, tutoría y mucho más. Nos movemos rápidamente, actuamos con decisión y nos comunicamos abiertamente para impulsar un entorno colaborativo y el éxito de nuestros clientes. Con oficinas en los EE.UU y América Latina, trabajará con expertos de la industria en soluciones tecnológicas revolucionarias que se han implementado con éxito en todo el mundo. 
La Oportunidad: 
Como Developer serás responsable de conceptualizar y ejecutar un código claro y de calidad para desarrollar el mejor software. También apoyarás a nuestros clientes para solucionar cualquier problema de software. 
Lo que harás: 

Diseñar y desarrollar soluciones orientadas a la nube desde cero, con tecnología serverless cloud y foco en la innovación y la performance. 
Colaborar en el desarrollo de aplicaciones web escalables y con alto tráfico de punta a punta. 
Identificar y brindar soluciones a situaciones complejas, sosteniendo la calidad del código. Trabajar en desafíos técnicos que requieran mucha investigación y análisis. 
Participar en proyectos dinámicos y disruptivos que generen valor agregado a las necesidades de negocio del cliente. 
Utilizar buenas prácticas de programación, identificar problemas y proponer mejoras en un equipo de desarrollo en pleno crecimiento.

Es esta posición para tí? 

Profesional o estudiante avanzado de la carrera de Licenciatura/ Ingeniería en Sistemas. 
Nivel de inglés intermedio. 
Experiencia en Nodejs (Express, async/await, promise). 
Experienica con Microservicios (JSON y servicios RESTful) 
Conocimiento de Arquitectura cliente-servidor (Web). 
Experiencia en lenguaje SQL. 
Conocimientos en frameworks de desarrollo frontend (preferentemente ReactJS).

Además de las ventajas de trabajar con un equipo increíble, CloudHesive ofrece una compensación competitiva, beneficios integrales, capacitación en tecnología de punta y socios (AWS), un horario de trabajo flexible, tiempo libre responsable, y mucho más! Si crees que encajarías bien, ¡nos gustaría saber más sobre vos!

",Postedhace 10 días,,,https://www.indeed.com/rc/clk?jk=c2f38d2bd1124e55&fccid=22240300828830da&vjs=3
The Sandbox Gaming - Backend Developer,The Sandbox Gaming en la ciudad de Buenos Aires -...,"Buenos Aires, Buenos Aires","The Sandbox Gaming is looking to incorporate an experienced Backend Developer to work on our blockchain based gaming platform.  Responsibilities  Participate in our product development from ideation to deployment and beyond. Write well designed, testable, efficient code by using best software development practices. Design and develop API's (for Web, Mobile and PC clients). Design and implementation of data storage solutions. Integrate and consume other services/API's. Maintain and help optimize existing systems. Build reusable code and libraries for future use. Create groundbreaking new features for our users and for internal use.  Requirements  Minimum 2 years of working experience in a similar position. Top-notch programming skills. Proficient knowledge of a back-end programming language (preferably Javascript, we use Node.js in our backend). Experience working with SQL/NoSQL databases (preferably MySQL and Redis). Version control with Git. A solid understanding of how web applications work including security, session management, and best development practices. Experience in AWS. Experience with Docker. Experience with websockets. Strong organizational skills to juggle multiple tasks within the constraints of timelines.  Apply now! rrhh@pixowl.com The Sandbox Gaming Team",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=d4d96c46b9c581b3&fccid=dd616958bd9ddc12&vjs=3
Wordpress Developer Intern,OXO Solutions,5000 Córdoba,"


Job Description


We are looking for an experienced and passionate WordPress Developer to join our IT team! As a WordPress Developer at our company, you will be responsible for both back-end and front-end development, including creating WordPress themes and plugins.
We are expecting you to have a strong understanding of latest industry trends and content management systems.


Skills

Php JavaScript MySQL XHTML CSS AJAX 


Responsibilities 







         Build websites, prototypes and applications using the latest frontend technologies.
        





          Providing timely resolution to reported problems with existing websites.
        





          Working closely with both the design and project resources to achieve the best possible results in web projects from conception right through to delivery.
        





          Ensuring all work adheres to current industry best practice.
        





          Self motivated, goal oriented and able to work in a team environment.
        





          Use common sense at all times and pay close attention to detail.
        





          Committed, enthusiastic, sincere, trustworthy and conscientious.
        





          Excellent communication skills with the ability to effectively interface with all levels and departments on a formal, informal, written and verbal basis.
        








Job Summary





Offered Salary

       5000
      







Career Level

       Internship
      







Experience

       2 year 
      







Qualification

       B.Tech(Computer Science and Engineering) B.tech IT M.Tech CSE MCA
      






",Postedhace 30+ días,Beca / pasantías,,https://www.indeed.com/rc/clk?jk=c6621ed57de05a46&fccid=72608fee1e921f8c&vjs=3
The Sandbox Gaming - Full Stack Developer,The Sandbox Gaming en la ciudad de Buenos Aires -...,"Buenos Aires, Buenos Aires","Full Stack Developer  The Sandbox Gaming is looking to incorporate an experienced Full Stack Developer to work on our game services backend and frontend.  Responsibilities  Participate in our product development from ideation to deployment and beyond. Write well designed, testable, efficient code by using best software development practices. Design and develop APIs. Integrate data from various back-end services and databases. Maintain and help optimize existing systems.  Requirements  Minimum 2 years of working experience in similar position. Top-notch programming skills. Proficient in any programming language, preferably Javascript (we use Node.js here) You know your way around HTML and CSS. Knowledge of any modern JS based frontend frameworks. Experience working with SQL/No-SQL databases (preferably MySQL and Redis). Version control with Git. A solid understanding of how web applications work including security, session management, and best development practices. Experience in AWS, Digital Ocean or other clouds. Experience with Docker.  Apply now! rrhh@pixowl.com The Sandbox Gaming Team",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=197a1cd2eb04635a&fccid=dd616958bd9ddc12&vjs=3
