job_title,company,location,job_summary,post_date,more_info,salary,job_url
Web Developer,Daronet Australia,Port Melbourne VIC 3207,"

  Leading Digital Agency Exciting New Projects using latest Technology
  

Port Melbourne location – short tram ride from CBD


Comfortable spacious offices with parking


Work and learn from a global agency offices in USA, Europe &amp; Israel Due to growth, there is an opportunity for an experienced web developer/programmer who can work with Magento e-commerce platform &amp; WordPress CMS. This individual must have the passion, initiative and a ‘can-do approach’, the ability to confidently liaise with clients where necessary and most importantly love what your doing! It is imperative that you will bring excellent user interface development skills including good knowledge of the latest web technologies including browser/device dependencies &amp; best practices. You will be working in the most innovative and expert stage with people that understand the internet know how business and have over 11 years of experience. We encourage our staff to keep updated with the latest knowledge in the industry and believe in the development and growth of all of our staff members.

 The successful candidate must have;

Excellent knowledge of HTML5/CSS/Javascript/JQuery


MUST have solid experience working with Magento e-commerce platform &amp; WordPress CMS


Experienced and general knowledge of MySQL &amp; PHP


Previous experience in a similar role or working with technologies listed above


Experience on E-commerce platforms Please note, candidates with exposure to various Open Source web platforms and API’s will be preferred. If you want to start a career with one of Melbourne’s leading agencies in a role that will provide career development and a chance to be part of a great team – apply today.


",PostedJust posted,,,https://www.indeed.com/rc/clk?jk=9df826ede96198a1&fccid=c2de84a9b64dc40e&vjs=3
Back-End Web Developer,Actualise Design,Remote,"
Actualise Design is looking for freelance/contract web developers experienced in Perch Runway to assist with overflow and project work.
The work is available for local and remote individuals.
Required skills and experience

Expert experience in developing custom solutions in Perch Runway for medium to large websites
Expert competence in PHP / LAMP
Strong JavaScript (jQuery), JSON and AJAX development skills
Debugging and troubleshooting knowhow
Server configuration knowhow
Database configuration and maintenance skills
Excellent communication skills (English language)

Bonus skills

Version control experience
Cloud hosting configuration (e.g. AWS) – Elastic scaling
Technical documentation competence

Application requirements

Portfolio (Perch Runway project examples specifically outlining your involvement)
Hourly / daily rate

To apply, please email your application to back-end-dev-perch-runway@actualisedesign.com[enable JavaScript within your web browser to view email address] along with your resume/CV if available.
Recruiters and agencies not applicable.
",PostedPosted 3 days ago,Contract +1,,https://www.indeed.com/rc/clk?jk=b4a833dd477c8fc8&fccid=616e6b921950fe87&vjs=3
Front-End Web Developer,Remap Online,Remote in Sydney NSW,"

Must be Australian Based (no international applications please)



    We’re looking for an Australian-based Front-End Web Developer with 2 – 3 years of experience in WordPress to lead the graphic and user interface design of our client’s various website development projects.
   
 To be considered for this role you need to have created and maintained functional, attractive websites for small to medium-sized companies working with various themes and plugins.
 Your application should include a portfolio of clean, modern, responsive design websites with excellent navigational structures and beautiful graphic design elements.
 Web Development is a big and complex field. So to be clear, in our company, you will be primarily responsible for the front-end design and development of our Client’s boutique website projects. Mainly working with themes, site/page structure and plugins.
 We need a front-end web developer who can help solve technical problems in WordPress as we adapt the theme to the client’s desired site structure.




 What We Need.
 The responsibilities that we need to be covered are;

Establishing and guiding the website’s architecture by liaising with our Agency Team and the Client (to consult on planning).
Work with marketing teams prior to commencement to ensure that the design plan is functional and will achieve its intended goals (sanity check).
Ensure the project will meet its performance, security, and technical requirements (safety check).
Work with marketing and content teams to incorporate brand elements into the website (action and build)
Designing and developing responsive designs – the ability to hero mobile optimisation, including managing site speed.
Integrating client CMS programs and data feeds into websites where required (eCommerce with Shopify and WooCommerce mainly).
Optimising sites for maximum speed and scalability (Google SEO)
Employing industry and design best practices through the website build process (make it beautiful).
Conducting website testing
Liaising with back-end developers to ensure any web and app logic is properly integrated
Providing support and customer service throughout the build and launch process of the website





What We Don’t Need.
 We don’t need a UX designer to live in Figma. And we don’t need an IT consultant. This role must be based within Australia (anywhere is ok), and the right candidate must have good English.




 What We Can Offer

Regular part-time work that you can complete in your own time (highly flexible).
Ability to work from home (WFH) or anywhere you want in the world.
High-performance education with excellent career opportunities (only if you want them).
Real-world training and insights from industry-leading digital marketing partners (like Facebook, Tik Tok, Instagram, Twitter and Google).



",PostedPosted 3 days ago,Part-time,,https://www.indeed.com/rc/clk?jk=50c949e6fd2e669d&fccid=adb9aae13e384490&vjs=3
Senior Web Developer,Pixeld,Geelong VIC,"
The Candidate
 The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to develop, and maintain our client websites and web tools. You must be comfortable working as part of a team while taking the initiative to take the lead on new innovations and projects. You will provide support to the team and our clients to achieve business growth.
 Responsibilities

Lead the architecture of extending on or creating from scratch, custom functionality for WordPress websites that is performant and elegant.
Create WordPress themes from provided designs in elegant html, php, javascript and sass. We currently use Understrap (a Bootstrap starter theme) for development, so experience with that is welcomed.
Own various tasks involved in the web development life cycle from start to finish which will include project planning, input on design rounds, development site and version control setup, quality control and website launches.
Provide first level website support to Pixeld clients of the hosting and WordPress platform via email tickets and phone requests.

Requirements

5 years of experience in an agency developing multiple websites.
At least 5 years of experience using HTML, CSS/SCSS, and JavaScript.
Proficiency in PHP/MYSQL.
Proficient understanding of Bootstrap 4 Responsive Framework.
Ability to multi-task, organise, and prioritise work.
Attention to detail and ability to complete defined processes accurately.

Highly favourable skills

SEO knowledge
Experience using React
Experience with the plugin Advanced Custom Fields
Project management experience

",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=ea5b258f041a6fb5&fccid=6337fd15d0d4b327&vjs=3
Web Developer,XPT Software Australia PTY Ltd,Melbourne VIC+1 location,"
About us


About XPT



XPT Software Australia PTY Ltd, incorporated in 2016, is a Software Services company  
XPT works with top clients across Australia in Banking, Insurance, Telecom, Retail, Energy, Mining and Manufacturing domains.  
We have 120+ technocrats in Australia working at our client locations.  
XPT Software Australia is part of group companies which has global presence across India & Europe.  
We have served 100+ clients globally, fulfilling their onsite-offshore needs.  




Job Description


 Highly skilled front end developer (React.js, Html, CSS)
 Experience working with charting and desirable experience with BI tool integrations (Qlik/Tableau/Power BI)
 Ability to work with existing API’s
 Experienced in performance tuning and network analysis
 Ability to set up usage tracking. 
 Desirable backend API development with Net Core or Node.js







Industry

   IT Services 
  


Work Experience

   4-8 years 
  


City

   Melbourne 
  


State/Province

   Victoria 
  


Country

   Australia 
  


Zip/Postal Code

   3000
  

",PostedPosted 8 days ago,Contract +1,,https://www.indeed.com/rc/clk?jk=f9d28878877f00ff&fccid=b14456a305ab6fff&vjs=3
Web App Developer,EY,Perth WA 6000,"
At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

 The opportunity
 Join our Digital and Emerging Technologies competency and work on a variety of enterprise technology projects across varying industries. Your work will directly impact millions of users across Australia. We are looking for Perth based candidates, though we have a flexible working environment whereby you are not required to be in the office all the time.
 Your key responsibilities 
We’re looking for Front-end, Back-end, Full-stack Developers (Senior Consultant level) to solve complex business problems. You'll be responsible for architecture, design, integration, solution options, estimation and providing subject matter expertise to our build team, test team, other vendors and client stakeholders. This is a role that requires tech. thought leadership and requires interaction with leadership, both within EY and our client teams.  To qualify for the role, you must have:

 Familiarity with front end - HTML, CSS, Javascript, REST and JSON
 Experience with React.js, Node.js, Angular.js
 Fluency in object orientated programming languages, Java, Python, Scala etc.
 Experience in at least one of the following: DynamoDB, NoSQL, Postgres or Oracle 
Understanding of .NET framework
 Attitude to share / hone knowledge for yourself and your teammates and working collaboratively with a diverse range of team members.

 
Ideally, you’ll also have an understanding of: 

Understanding of Digital led (UI/Ux and beyond) solutions / delivery
 Public cloud infrastructure offerings (e.g., AWS, GAE, Azure)
 Agile, DevOps and Infrastructure as a Code concepts


 EY | Building a better working world  EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.  Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.  Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
",PostedPosted 8 days ago,,,https://www.indeed.com/rc/clk?jk=a2ed427cbbac6e32&fccid=1544766d4c2915b0&vjs=3
Web Developer,Torrens University Australia,Remote in Sydney NSW,"



   The Opportunity
    We champion the power of people to connect the world for good, and our values of beginning and ending with people, being good, being creative, being bold, being well and being global are at the core of everything we do. The vision and values underpin the university and informs all the work done in our institutions.
  


    Here at Torrens University Australia, we do things a little differently. Our staff and teams thrive on being dynamic, resilient and responsive and this role is no exception. Reporting to Angelina Santoro, Web Platform Manager, you will join a team of passionate staff who are playing their part in making sure that we are here to deliver an exceptional learning experience for students.
   
 About the role
    The Web Developer is responsible for assisting in developing, maintaining, updating and supporting our web-based software systems and their integrations to other systems.
  


    This role will play an integral part in the future growth of our web platforms and user experience for customers and internal stakeholders.
  


    This role will work with multiple teams including marketing, sales, client services, external development agencies and IT.
  


    On a typical day in this role you will be responsible for:
  



      Developing using technologies:
    


      Front end using HTML, CSS and JavaScript frameworks e.g. React, jQuery, AngularJS
    


      Backend using programming languages; e.g. .NET, PHP
    


      Troubleshooting and debugging code problems within the application
    


      Write well designed, testable, efficient code by using best software development practices
    


      Perform user acceptance testing for code deployments and help to document issues across the website
    


      Assist with creating and maintaining web page content/templates based on web designs provided
    


      Help refine requirements and estimates for tasks and issues based on business and technical needs
    


 This is a permanent full time role based in Sydney, Melbourne or Adelaide.
  


 To be successful in this position you will have:
  



      A tertiary qualification or above in a relevant field
    


      University or online programming course accreditation is required
    


      3+ years of ASP.NET web development experience using C#. Applications based on ASP.NET MVC
    


      Sound knowledge in HTML 5/CSS3/Javascript
    


      Experience with PHP is desirable
    


      Experience with Sitecore CMS, Wordpress or another web CMS preferred
    



    Please note: Visa sponsorship is not available for this position. All applicants require current and valid working rights for Australia.
   
 Who are we?
    Our ambition is to revolutionise the world of education, increase student employability and make a positive impact. We believe in the power of education to transform lives, and we put our people and students at the heart of everything we do. We want you to be bold, be creative, be good, and be global.
  

    If you want to learn more about our story, our people and some of the great reasons to come and work with us
  


    Torrens University Australia is an equal opportunity employer, we value diversity and inclusion and are committed to the attraction, retention and development of all people regardless of gender identity, ethnicity, sexual orientation and disability.
   
 We encourage Aboriginal and Torres Strait Islander people to apply for the role.
  


    Benefits:
    We partner with a range of top providers to make your working life a more rewarding and flexible experience. These include:
  



      Tuition reduction benefits on a range of courses - We all know the power of learning in making career dreams come true, learning is so important we are taking big steps to make it even more accessible for staff.
    


      Flexible working conditions – providing an approach to work that empowers our employees to benefit from working remotely and from a campus near to them.
    


      Opportunity for career growth – we value the development and growth of every employee so we encourage internal career opportunities.
    


 Ready to make your difference?
    Join the Torrens University Australia team
   
 Applications Close: Friday 16 September
   
 Job Reference Number: R17624
  


    Have questions? Send them through to our friendly Talent Acquisition Team at sebastian.pabon@torrens.edu.au
  



 If you require a reasonable accommodation to complete our application process, please contact our Human Resources Department at 

   yourcareer@torrens.edu.au
  

",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=b3440599cca323c5&fccid=6d1f05943a011fb1&vjs=3
Administration / Web Design,Schools (Government),Gippsland VIC,"

Job Description







Location: Gippsland | Cockatoo


Job type: Part time / From 03/10/2022 - 16/09/2023




Organisation: Schools (Government)


Salary: Salary not specified




Occupation: Administration/Secretarial




Reference: 1295608 








Selection Criteria
 SC1 Demonstrated experience and skills in coordinating a specific education support function.
 SC2 Demonstrated capacity to supervise the work of other support staff and to develop procedures and guidelines relating to the work area.
 SC3 Demonstrated high level oral and written communication skills.
 SC4 Possess the technical knowledge and expertise relevant to the position.
 SC5 Demonstrated capacity to provide advice and support to management in respect to the work area.
 SC6 Demonstrated commitment to professional learning and growth for both self and others.
 SC7 Demonstrated capacity to oversee and implement school web design and updates.
 Role
 Attendance will be 3 days a week, days to be negotiated.
 Performs and/or supervises tasks that are carried out in accordance with guidelines, accepted practice and school policy. This may include the supervision and coordination of other education support class staff within the work area or educational program. Supervision and coordination would be limited to ensuring routine tasks are performed to required standards. Input into identifying training needs and development of education support class staff within the work area or educational program becomes an important feature at range 2.
 Specialised support to achieve specific outcomes is a feature of range 2. Typically this will involve accountability for a single function, (e.g. ensuring data is properly maintained) or the operation of a work area (e.g. managing the day to day operation of a school office) under the direction of the principal or another senior manager.
 Provides support to teachers and students that is beyond the routine support provided at education support class Level 1, range 1. Within an educational program assists teachers with the coordination of the support function, such as directing/organising the work of other support staff or providing a specialist support role.
 Undertakes medical intervention support tasks or other specialised student/teacher support roles that require specific training that must be updated from time to time. The role is for a specific purpose for which there will be direct accountability as opposed to support roles that are carried out by a range of staff performing routine tasks under direction.
 Performs technical tasks that require a sound knowledge of basic technical and/or scientific principles that are used to develop and adapt work methods and make judgements where there are clear guidelines and limited options. Routine technical support in libraries, science and information technology laboratories would be typical examples.
 An education support class position supports the educational services being provided to students, but must not include duties of teaching as defined in clause 2.6.1 of the Education and Training Reform Act 2006 (Vic) or its successor. Supervision of students cannot be required except where it is an integral part of the employee's position or involves supervision of students individually or in small groups, in controlled circumstances, where the responsibility for students remains clearly with a teacher.
 Responsibilities

Coordinate the delivery of administrative services within the school.
In consultation with the principal, determine and manage work priorities within the school office.
Develop and implement strategies to ensure effective administration procedures.
Maintain school's records system, including computerised student, staff and school records.
Coordinate the implementation of requisitioning, purchasing and issuing procedures.
Manage client reception.
Liaise with school staff in regard to support requirements.
Coordinate staff timetabling.
Other duties as directed by the principal team.

 Who May Apply
 Individuals with the aptitude, experience and/or qualifications to fulfill the specific requirements of the position.
 EEO AND OHS Commitment
 The Department of Education and Training is committed to the principles of equal opportunity, and diversity and inclusion for all. We value diversity and inclusion in all forms – gender, religion, ethnicity, LGBTIQ+, disability and neurodiversity. Aboriginal and Torres Strait Islander candidates are strongly encouraged to apply for roles within the Department. The Department recognises that the provision of family friendly, supportive, safe and harassment free workplaces is essential to high performance and promotes flexible work, diversity and safety across all schools and Department workplaces.
 Child Safe Standards
 Victorian government schools are child safe environments. Our schools actively promote the safety and wellbeing of all students, and all school staff are committed to protecting students from abuse or harm in the school environment, in accordance with their legal obligations including child safe standards. All schools have a Child Safety Code of Conduct consistent with the Department’s exemplar available at http://www.education.vic.gov.au/about/programs/health/protect/Pages/childsafestandards.aspx
 DET Values
 The Department’s employees commit to upholding DET’s Values: Responsiveness, Integrity, Impartiality, Accountability, Respect, Leadership and Human Rights. DET’s Values complement each school’s own values and underpin the behaviours the community expects of Victorian public sector employees, including those who work in Victorian Government Schools. Information on the DET values is available at http://www.education.vic.gov.au/hrweb/workm/Pages/Public-Sector-Values.aspx
 Other Information

All staff employed by the Department and schools have access to a broad range of employment conditions and working arrangements.
Appointment of successful applicants will be made subject to a satisfactory pre-employment conditions check.
A probationary period may apply during the first year of employment and induction and support programs provided.
Detailed information on all terms and conditions of employment is available on the Department's Human Resources website at http://www.education.vic.gov.au/hrweb/Pages/default.aspx

 Conditions of Employment

All staff employed by the Department and schools have access to a broad range of employment conditions and working arrangements.
Appointment of successful applicants will be made subject to a satisfactory pre-employment conditions check.
A probationary period may apply during the first year of employment and induction and support programs provided.
Detailed information on all terms and conditions of employment is available on the Department's Human Resources website at http://www.education.vic.gov.au/hrweb/Pages/default.aspx

 Please ensure that your application includes:

a resume including relevant experience as well as personal details (name, address and contact numbers, business, and home)
a section addressing the selection criteria and the requirements under the Who May Apply section
names and contact numbers (telephone and email if possible) of two referees

 Please note that the selection panel may seek additional referees beyond those you name. Consistent with policy, we shall advise you if we take this action.
 Vaccination Requirement
 For positions in special settings, a person is not eligible for employment unless they meet the vaccination requirements on commencement in the position.
 Location Profile
 Emerald Secondary College offers a quality secondary education. Our college is proud of the Strategic Direction which is driving forward the core mantra to provide ‘Access to Excellence’. Students are surrounded by a natural environment which enhances their educational experiences in purpose-built buildings and supported by a committed and passionate staff.

 The College is currently going through a building upgrade, that is expected to be completed by the end of 2022. Upgrades will include the Resource Centre, Administration Block, upgrades to the Science classrooms, Food Tech/Textiles and the Year 7 building.

 The College supports a professional learning environment that builds staff capability and adds growth to both student and staff outcomes. Emerald Secondary College's Instructional Model has been embedded and aims to empower staff and students to continue to develop Learning and Teaching outcomes ensuring consistency between classes and the use of High Impact Teaching Strategies. The College offers a comprehensive curriculum from Year 7 through to Year 12 with a student focused pathway approach supporting each student’s interest, ability, and aspiration for the future. This is enhanced by an additional acceleration pathway that can allow students’ access to University Courses at school to complement their Year 12 program.
 
Our college has a strong history of academic success with a high proportion of students being accepted into university or other tertiary institutions. We offer an extensive range of VCE courses in the Senior School complemented by vocational education opportunities including VET and the provision for the new Victorian Certificate of Education (VCE) Vocational Major (VM) and Victorian Pathways Certificate (VPC) for Victorian government secondary schools from 2023.

 We are also proud to be an accredited Select Entry Accelerated Learning Program (SEAL) school for academically talented students from Year 7 onwards.

 Beyond the curriculum the College offers a range of opportunities for its students including: Student Voice and Leadership, Instrumental Music Program, Performing Arts Centre, Visual Arts Program, School Sports Program and a Camps and Outdoor Education Program.

 The College has just completed its School Review and will deliver a new Strategic Direction based on the findings.


",PostedPosted 1 day ago,Part-time,,https://www.indeed.com/rc/clk?jk=84a7eb9bc9b6bfbc&fccid=5ad5384f9b8372de&vjs=3
Front End Developer,Salt Recruitment,Remote in Melbourne VIC,"
Front-end Developer 
Melbourne
 $100,000 – $140,000

This organisation are an institution in the Australian financial services space they’re at the very forefront of digital innovation and technology.

They are continually improving and evolving all of their digital touchpoints (Web and Mobile) and as such are looking for a Front-end Developer to strengthen their team.

This team is made up of UX designers, Researchers, BA’s, Product Owners and Developers. They are continually iterating designs for new features and pages based on real user data.

As a FE Developer, you will build and implement new experiences using Adobe Target, HTML, CSS and Javascript.

What we are looking for:


Coding skills using HTML, CSS and Javascript 
You will have the opportunity of being upskilled, learning tools such as Adobe Target along with Adobe Experience Manager.
An understanding of the testing process.
Strong knowledge of the development cycle and accessibility standards.

Company Benefits:


Option to work remotely 2-3 days per week
Monthly socials

What’s on offer


The opportunity to upskill and learn new technologies such as Adobe Target and AEM
Opportunity to shape the online experience for one of Australia’s widely used platforms
A collaborative and skilled team environment
Great atmosphere and inclusive, fun work culture
Mentorship with key members of the team
Flexible hours and work from home options

Salt is acting as an Employment Agency in relation to this vacancy.


Job Information


     Job Reference: JO-2208-258442
   

     Salary: AU$105000.00 - AU$140000.00 per annum
   

     Salary per: annum
   

     Job Duration: 
   

    Job Start Date: 5/09/2022
   

     Job Industries: Technology
   

     Job Locations: Melbourne
   

     Job Types: Permanent
   

     Job Skills: developer jobs, frontend Developer, web developer
   


",PostedPosted 12 days ago,"$105,000 - $140,000 a yearPermanentFlexible hours","$105,000 - $140,000 a year",https://www.indeed.com/rc/clk?jk=1150a0942049261f&fccid=d35f6b081e467c24&vjs=3
Web Developer,OKMG,Perth WA,"

The Role:
We are looking for a highly talented and driven web developer that is keen to learn, grow and develop with our company. We currently have a small team of highly skilled developers and you will join and be working closely within this team to:

Grow and mentor one another in a truly collaborative and supportive team environment;.
Build the capacity and service offering of our web development team;
Problem solve the right solutions to technical issues for client projects, databases, data storage and our own in-house job management system and website;
Work in conjunction with our graphic design and marketing teams to build visually stunning pieces of work for our clients, which include some major international and national companies;
Contribute to our custom built job management, media asset storage and review platform;
Develop HTML Emails, landing pages and web applications;
Build reusable code and libraries;
Optimise builds and adhere to standards; and
Collaborate with all other team members and stakeholders.

Skills Required:

Proficient in HTML5, CSS3, and Javascript
CMS (Wordpress, Shopify, Woocommerce in particular)
Google APIs (such as maps API, google tag manager)
jQuery
Source control with Git / Github
Rendering quirks for HTML, CSS in emails and email footers
Proficient in understanding cross-browser compatibility

Also desirable are:

RESTful architecture
Javascript ES6
React.js
Node.js and Meteor
MongoDB
AWS (Amazon Web Services) platform experience
CSS pre-processors (such as LESS and SASS)
Open source contributions (Github and the likes)

Candidates able to provide examples of previously built websites, applications, emails and landing pages will be held in high regard.
Remuneration and Conditions:
We are looking to employ the right candidate(s) full-time. Remuneration will be based on demonstrated skill and experience

",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=fa601a922ba7966d&fccid=36bab4653aa9e5a6&vjs=3
