job_title,company,location,job_summary,post_date,more_info,salary,job_url
web frontend developer. (remote/Vienna),nexxar GmbH,"Homeoffice in Wien, W","

wir entwickeln viel weiter.
 Wir sind ein Team von Reporting-Specialists, das sich seit 2003 beständig und konsequent zur anerkanntesten Agentur für digitale Geschäfts- und Nachhaltigkeitsberichterstattung in Europa entwickelt hat. Zu unseren internationalen Kunden zählen adidas, BVB, Hugo Boss, ProSiebenSat.1, und viele mehr. Das Geheimnis unseres Erfolges liegt in bedingungslosem Qualitätsfokus, einzigartigen Prozessen, hoher Einsatzbereitschaft, absoluter Kundenorientierung und natürlich einer ordentlichen Portion Glück und Humor!
 Als Verstärkung für unser über 60-köpfiges Team suchen wir ab sofort, Vollzeit oder Teilzeit eine.n Web Frontend Developer.in (m/w/d)
 was du bei uns machst.
 Gemeinsam mit unserem Frontend-Team setzt du Screen-Layouts für unsere Online-Berichte um. Dabei werden bestehende Projekte adaptiert und komplett neue Projekte realisiert. Bei der Berichtsumsetzung verzichten wir überwiegend auf Frontend-Frameworks!
 Du stehst im eifrigen Kontakt mit der Projektleitung, der Designabteilung und dem Backend-Development.
 Bei der Weiterentwicklung unserer internen Prozessabläufe und des Content-Management-Systems spielst du eine wichtige Rolle in unserem Scrum-Team.


 was du mitbringst.

Sehr gute Frontend-Skills (JavaScript/HTML5/SASS/LESS)
Erfahrung mit CMS-Systemen
Hohe Problemlösungskompetenz
 - Gute Deutsch- und Englischkenntnisse
  

Hands-on-Mentalität

 damit kannst du uns beeindrucken.

Berufserfahrung, Referenzprojekte
zusätzliche Erfahrung mit Vue.js, Webpack/Gulp, GIT und Freemarker

 was wir dir bieten.

Internationale und anspruchsvolle Top-Kunden
Offenes Miteinander und großer Gestaltungsspielraum
Flexible Arbeitszeiten
Einzigartiger Teamspirit und Zusammenhalt mit motivierten Kolleg.innen
Fachliche und persönliche Weiterentwicklung
Office in der lebenswertesten Stadt der Welt

 Je nach Qualifikation und Berufserfahrung bieten wir ein Brutto-Monatsgehalt ab EUR 3.200,- auf Vollzeitbasis.

",PostedVor 5 Tagen geschaltet,Teilzeit +1,,https://www.indeed.com/rc/clk?jk=dfb467ba69844db9&fccid=e350337fff867295&vjs=3
Junior Web Developer (w/m/d),Deloitte,"Wien, W","




    Du hast eine Passion Softwarelösungen für Kund:innen zu entwickeln und Prozesse zu definieren? Du bist ein kreativer Kopf und willst mit den modernsten Technologien auf der innovativsten Cloud Plattform arbeiten? Du willst am Puls der Zeit sein? Du suchst nach einer langfristigen Entwicklungsmöglichkeit?
    


 Dann bist DU die perfekte Verstärkung für unser Deloitte Digital Salesforce Team! Wir suchen 
    Junior Web Developer (w/m/d) 



Deine Aufgaben:

Einarbeitung und Kennenlernen der Funktionen der CRM-Lösung ""Salesforce""
Analyse, Konzeption und Implementierung von Salesforce-Lösungen sowie deren Integration mit anderen Systemen
Beratung der Kund:innen in technologischen Fragen im Bereich Salesforce und angrenzenden Themen wie Mobilen Applikationen und Web-Portalen
Entwicklung von innovativen Lösungsansätzen bei Kund:innenanforderungen im Umfeld von Marketing, Vertrieb und Kundenservice
Weiterentwicklung der eigenen Fähigkeiten und laufender Wissensaustausch mit Kolleg:innen und erfahrenen Berater:innen innerhalb und außerhalb des Teams



Dein Profil:

Abgeschlossene IT-Ausbildung (HTL/Uni/FH)
Bereitschaft zur Einarbeitung in die Salesforce Plattform und großes Interesse am Cloud-Development
Selbstständige und lösungsorientierte Arbeitsweise, analytisches Denken
Idealerweise Kenntnisse in einer der folgenden Programmiersprachen: Java, Python, Web Technologien (wie z.B.: HTML5, JavaScript, JSON) sowie Datenbankkenntnisse (wie z.B.. SQL)
Ausgeprägte Serviceorientierung und Freude an Kundenbetreuung sowie Kommunikationsstärke auf Deutsch und Englisch



Unser Angebot:


Angenehme, kollegiale Atmosphäre, Mentoring und Feedbackkultur
Attraktiver Standort im Stadtzentrum
Bezahlte Salesforce-, technische und agile Zertifizierungen sowie persönliche Entwicklungsmöglichkeiten für dich und deinen Lebenslauf
Entwickle deinen eigenen Karrierepfad innerhalb des Deloitte-Netzwerks
Spannende Projekte in einem agilen und modernen Arbeitsumfeld




Jahresbruttogehalt ab € 28.000 ,- ( Nicht All-In) mit Matura und Jahresbruttogehalt ab € 40.600 ,- (All In) mit abgeschlossenem Studium. Die Vergütung orientiert sich selbstverständlich an deiner individuellen Qualifikation und positionsrelevanten Berufserfahrung. Darüber hinaus bieten wir attraktive Fringe Benefits.   Bei Deloitte legen wir Wert auf eine inklusive und respektvolle Unternehmenskultur. Mehr dazu findest du hier.  
What impact will you make?  www.deloitte.at/karriere 




Jetzt bewerben


Eckdaten
Dienstort/e: Wien
    
Ab wann: ab sofort
    
Anstellungsart: Vollzeit 
    


Über Deloitte

     Deloitte Österreich ist der führende Anbieter von Professional Services. 
     
 Mit rund 1.450 Mitarbeiterinnen und Mitarbeitern an 13 Standorten werden Unternehmen und Institutionen in den Bereichen Wirtschaftsprüfung, Steuerberatung, Consulting, Financial Advisory und Risk Advisory betreut. 
    



Dein Kontakt



       Theresa Glinzerer, Bakk. phil. 
      (+43/1/53700-2513) 
       Renngasse 1 
       1010 Wien 
       www.deloitte.at 
     



Top 5 Benefits
www.deloitte.at/benefits 
   

Stay connected




",PostedVor > 30 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=18f29512908e7e6c&fccid=9e215d88a6b33622&vjs=3
Senior Web Developer (TypeScript),Lovely Systems,Homeoffice,"To strengthen our team we are looking for an experienced Web Developer. TypeScript is an advantage, but not a must. For those with the appropriate web development background, we offer the opportunity to reorient themselves technologically. 

 At Lovely Systems you will work on high-traffic websites as well as administration interfaces for learning platforms. We are now looking for someone who enjoys developing sustainable front-end systems. You enjoy developing generic components and playing a decisive role in the further development of Lovely Systems' frontend architectures. 

 Tasks 



Implementation of highly scalable web frontends in collaboration with UX designers of our customers
Development of reusable design components
Selection of suitable frameworks and tools
Co-responsibility for the cross-project frontend architecture
 Requirements 



You have several years of experience in web development.
You have already worked with TypeScript or would like to switch to this language.
You like to work in a (small) team and believe in agile software development.
You like to take responsibility.
You share your knowledge and are always interested in new technologies.
You are open source affine.
You are happy if you don't have to use Windows as OS.
 These technologies appeal to you ... 



Languages: TypeScript/JavaScript, Kotlin, SQL, ...
Frontend: React, Apollo, React admin, Storybook, ...
Build Tools: Yarn, Webpack, Gradle, ...
APIs: GraphQL, REST
 Benefits 



Flexible location - office in Dornbirn, full remote or partially remote
Free working hours (except for the team daily)
Working in a small agile team
Regular team events
Experimenting with new technologies
 We are based in the Austrian Alps and looking for someone in Europe / CET±2h. 

 You can find out more about us and our projects at https://github.com/lovelysystems. 

 We are looking forward to your application!",PostedVor 1 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=a7733c16dcc738e3&fccid=61a8a19b82363305&vjs=3
Praktika – Junior Web Developer,Namirial,"Ansfelden, OÖ","


WAS DICH ERWARTET

Gemeinsam mit erfahren Kollegen hilfst du bei der Weiterentwicklung und 
Optimierung unserer SIGNificant Plattform auf Basis ASP.Net 
   
Deine Aufgaben umfassen die Erarbeitung kleinerer Features und Überarbeitung 
von existierenden Services 
   
Durchführung von unterschiedlichen Tests und Codereview

 WAS DICH AUSMACHT

Software Engineering Ausbildung (HTL, FH oder Universität)


Erste Erfahrung mit Webtechnologien HTML 5, CSS, JavaScript, TypeScript


Kenntnisse im Umgang mit C#, ASP.NET MVC 


Freude am Finden von Fehlern


Genauigkeit, Zuverlässigkeit und Eigenverantwortung


Teamplayer und gute Kommunikationsfähigkeiten in Englisch

 UNSER ANGEBOT

Ideale Einstiegsmöglichkeit für angehende Absolventen mit Engagement und 
Lernbereitschaft 
   
Flexible Arbeitszeit und Bereitstellung von modernen, hochwertigen Arbeitsmitteln


Dynamisches und aufgeschlossenes Arbeitsklima mit attraktiven Benefits


Ein motiviertes, agiles Team, das DICH willkommen heißt!

 GEHALT
 Das Monatsgehalt für die Praktika Stelle beträgt 1500 Euro brutto.
 ANSTELLUNG
 38,5  Wochenstunden,  flexible Arbeitszeit
 STANDORT
 Haider Straße 40a,  4052 Ansfelden 
SPRACHE
 Englisch, Deutsch  (optional)
 KENNTNISSE
 HTML 5, CSS,  JavaScript und  TypeScript
 Head of Development AT  Daniel Thorwartl jobs_at@namirial.com
 KONTAKT
 Praktika, 8 Wochen mit Option auf Festanstellung
 Du hast genug von der Theorie? Und willst an reizvolle IT-Projekten mitarbeiten? Dann  setzt dein Wissen in die Praxis um und schreibe dein erstes Kapitel deiner  Erfolgsgeschichte bei Namirial.
 Junior Web Developer (w/m/d) – Praktika
 www.namirial.at/jobs
 NAMIRIAL GMBH


",PostedVor > 30 Tagen geschaltet,Festanstellung +1,,https://www.indeed.com/rc/clk?jk=dc18601bc8425381&fccid=9781a2270caa5497&vjs=3
Frontend Developer (f/m/d),Teachino,Homeoffice,"
 Why we hire you 
  We’re convinced that Teachino can only succeed with the best UI & UX possible. It needs to be fun and simple to use, on both small and big screens.
 You can implement a smooth user experience using a stable and scalable architecture for our future.
 What we’re looking for 
 
You can build complex web applications with Typescript, Vue, Nuxt, GraphQL
 You have worked on applications of similar complexity before
 You can optimize a web frontend for both, mobile devices and large screens
 You thrive to build the best UX possible, in close collaboration with our designers
 You’re happy to closely collaborate with our backend developers - and also help out in backend code if needed

 Minimum salary (indication required by Austrian law): €55.000 gross / year. In addition this roles comes with a stock-option package.
",PostedVor > 30 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=f64b8c13aaad5e58&fccid=fd142df94aad8563&vjs=3
WEB Developer (m/w/d) - Vollzeit,IXSOL innovative solutions gmbh,"Wien, W","
Deine Arbeit zählt - Gemeinsam unterstützen wir unsere Kunden dabei, ihre Webprojekte zu verwirklichen und dadurch die jeweils individuellen Unternehmensziele zu erreichen.
 Deine Arbeit macht Spaß - In unserem Team leben wir Freiheit und Vertrauen. Das schafft ein humorvolles und positives Arbeitsklima.
 Deine Arbeit passt in dein Leben – Wir bieten die Sicherheit einer Festanstellung in der Kombination mit einer optimalen Work-Life Balance.
 WER WIR SIND:
 IXSOL ist ein junges, innovatives Unternehmen mit Firmensitz im 06. Wiener Bezirk. Seit unserer Gründung 2007 haben wir einen hohen Anspruch an die Qualität unserer Arbeit. Besonders begeistert es uns, wenn wir dadurch sogar die Erwartungen unserer Kunden übertreffen.
 Durch unsere langjährige Erfahrung sowie unser hohes Engagement sind wir ein verlässlicher Partner für unsere Kunden und optimieren unsere Prozesse laufend.
 WAS WIR BIETEN:

 Unser kompaktes, dynamisches Team zeichnet sich durch flache Hierarchien aus, die es uns ermöglichen, rasch zu reagieren.
 Durch die Zusammenarbeit steigern wir das Know-How der Organisation und der Teammitglieder. Die Weiterentwicklung als Team und unserer MitarbeiterInnen ist uns ein wichtiges Anliegen.
 Wir entlohnen dich fair und bezahlen dir mehr als im Kollektivvertrag vorgeschrieben ist – abhängig von deiner Qualifikation und Erfahrung. 

WEN WIR SUCHEN:
 Deine Aufgaben:

 Realisierung von Portalen und Webshops mit CMS Systemen
 Bei uns arbeitest du im Team und entwickelst mit bei modernen WEB Projekten für unsere KundInnen.

 
 Dein Profil

 Mind. 1 Jahr Arbeitserfahrung als WEB Developer
 Erfahrung mit zumindest einer der aktuellen und gängigen PHP-Libraries (Symfony, Laravel, Zend Framework, TYPO3 Flow)
 Unsere Projekte werden auf Deutsch abgewicklelt - daher Sprachniveau von B2 oder höher.
 Vorkenntnisse mit den Applikationen TYPO3, Wordpress, Shopware oder Magento 1 + 2 wünschenswert
 Erfahrung mit Versionierungstools wie GIT
 Praktische Programmierkenntnisse von Vorteil (HTML, CSS, JAVASCRIPT, PHP, …)
 Motivation und Begeisterung für Webprojekte und neue Technologien
 Fundierte Englischkenntnisse (B2 oder höher)
 Abgeschlossenes Studium oder einschlägige Ausbildung 

BENEFITS:

 Arbeiten im kleinen Team auf Augenhöhe
 Flexible Arbeitszeiten
 Möglichkeit zur Arbeit im Home Office (nach Absprache)
 Gratis Kaffee
 Weiterbildungsmöglichkeiten (nach Absprache)
 Betriebliche Altersvorsorge

 Die Herausforderung stimmt? Das Profil passt? Dann freuen wir uns über Deine Bewerbung
",PostedVor > 30 Tagen geschaltet,Festanstellung +1,,https://www.indeed.com/rc/clk?jk=186c09b1b536cfe0&fccid=d26c9d4330fd2b49&vjs=3
Web developer | Marketing (f/m/d),Speech Processing Solution GmbH,"Homeoffice in Wien, W","


How you spend your day with us

You expand and improve www.speechlive.com to enable further growth of our globally successful SaaS solution
You help us relaunch our international Philips website and keep it up to date
You create email templates, web banners, and improve our web tracking





What you bring in

2+ years of experience in web development (HTML, CSS, and JavaScript; PHP is a plus) and with CMS
Solid understanding of web design, user experience, A/B testing, and basic digital marketing concepts
Interest in constantly learning and improving





What we offer

Start-up mentality and the stable environment of a world leading company selling solutions under the well-known Philips brand
An international team of marketing experts, product managers, and software devs looking forward to working with you
Flexible working hours, with home office option, and 5 days off additionally
A salary which will be decided upon your experience and qualification. (According to legal requirements we provide the information that the minimum annual gross salary for this role amounts to € 50,000 for 38.5hrs/week)
Canteen & healthy snacks, BBQ, health-care activities, mavie employee assistance program, gym, pension scheme and your favorite IT equipment
Excellent learning opportunities and access to the Pluralsight learning platform



",PostedVor > 30 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=3f7cc04834aeaa0c&fccid=ab14ee73130aed20&vjs=3
Wir suchen einen Rockstar Junior Webdeveloper:in,AST Advanced Sales Technologies GmbH,"Wien, W","Wir haben uns als Ziel gesetzt, Unternehmern und Sales Professionals zu helfen, ihre Vertriebsziele schneller und besser zu erreichen. Wir bauen eine Software, die die richtigen Kunden zum entscheidenden Zeitpunkt findet. 

 Der entscheidende Zeitpunkt trifft dann ein, wenn sich etwas bei der Firma verändert. Das nennen wir “trigger events” - also Ereignisse, die dazu führen, dass ein Unternehmen einen Bedarf an einem Produkt hat. 

 Wir suchen eine(n) Software Developer/-in, der/die motiviert ist, an der Entwicklung dieser Plattform mitzugestalten. 

 Aufgaben 

 Das Übernehmen von verschiedenen UI/UX Aufgaben 

 Das Erweitern der Backend Funktionen 

 ‍ ‍ Weiterentwicklung der Plattform, um die Bedürfnisse unserer Kunden zu servicieren 

 Pflege der technischen Dokumentation 

 Qualifikation 

 Du hast bereits Erfahrung im Bereich der Frontend Programmierung 

 Du kennst dich mit Konzepten wie Web Scraping & Web Development aus 



Du hast Kenntnisse im Bereich SQL
 Du lebst Eigeninitiative, Offenheit für Innovationen, Flexibilität und Problem Solving ist dein Mantra 

 Benefits 

 Salesy ist auf Wachstumskurs und konstant in Veränderung - für dich also der ideale Zeitpunkt um im technischen Bereich den größten Einfluss zu haben und mit uns das Unternehme auf das nächste Level zu bringen 

 Dir gefallen lockere und kreative Meetings, Get-togethers, Office Parties, ein Bierkühlschrank, Salesy Hoodies und vieles mehr 

 Wir haben ein cooles Office in der Nähe des Naschmarkts 

 Du arbeitest mit einem hochmotivierten und smarten Team zusammen 

 Die Bezahlung beginnt bei 50.000€ brutto mit Möglichkeit auf mehr 

 Bei Interesse bitte Lebenslauf und Daten an uns senden.",PostedVor 12 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=ef1c016a28f4c4b5&fccid=23bbf48b3edf5ed0&vjs=3
Junior Web Developer (m/w/*),LOGMEDIA,"Homeoffice in Villach, K","





     Beschreibung
    

 LOGMEDIA ist ein durch Eigenmittel finanziertes und aufstrebendes Unternehmen mit Sitz in Villach. Wir entwickeln anspruchsvolle Webprojekte und begleiten diese auch nach der Umsetzungsphase. Dabei legen wir höchsten Wert auf Qualität und Sicherheit. Wir bedienen mit den von uns entwickelten Lösungen Branchen wie Automotive, Energie, Kommunen, Tourismus, Payment, Verlage uvm.




      Deine Bestimmung
    


Support bestehender Entwicklungen
Weiterentwicklung von bestehenden Projekten
Entwicklung neuer Projekte im Team
Flexibles und selbstständiges Arbeiten im Team





     Qualifikationen / Anforderungen
    


JavaScript, HTML, CSS (Bootstrap)
Arbeiten mit Versionierung (GIT)
Erfahrung mit PHP Frameworks (Symfony, Zend)
Erfahrung mit CMS Systemen (Wordpress, TYPO3, Shopware)
Erfahrung in der App-Entwicklung (Android, IOS)





     SPECIALS
    


flexible Arbeitszeiten
Teambuilding Aktivitäten
richtig guter Kaffee









     Start Anstellung
    

      ab sofort
    



      Dauer der Anstellung
    

      unbefristet
    



      Industrie / Gewerbe
    

      IT 
    



     Arbeitsort
    

      Trattengasse 32, Hybrid (Villach + REMOTE), 9500
    



      Arbeitszeiten
    

      Gleitzeitmodell
    



      Basislohn
    

      €1722-€2332
    




",PostedVor > 30 Tagen geschaltet,Festanstellung,,https://www.indeed.com/rc/clk?jk=f1b74594ad900d82&fccid=e5ae9ae26ee294f0&vjs=3
Frontend Web Developer,Megion Research & Development GmbH,"Wien, W","

  Megion R&D´s core team is based in Vienna, Austria. In addition to this core team Megion R&D directly contracts development tasks to a multicultural team of highly specialized hardware engineers and software developers, each of them with years of experience in his respective field of activity.
 

 Main Tasks and Responsibilities

Define a software stack of choice objectives
Design & create web applications
Collaborate with the REST of the team to extend and define REST interfaces to our backend systems
Extend your expertise into other parts of our ecosystem

Qualifications and Experience

Deep knowledge of HTML5, Javascript, css
Expertise in at least one modern javascript framwork such as angular.js or backbone.js (or others)
A proven track record of delivering demoable Web applications
Familiar with GIT or other modern versioning tools
Ability to communicate in English
Understanding of processor, system-on-chip and embedded system architectures

Bonus Qualifications

Located in or near Vienna
Experience in Java, Ruby or Python
Familiar with automated testing, such as Selenium
Enthusiasm for Bitcoin

What we can offer

Green field development
Work in one of the fastest growing industries
Opportunity to shape the technology stack according to your skillset and judgement
Work in a no-bullshit environment with competent people

You will work independently in a collegial environment with an ambitious and hardworking international team, benefit from an informal company culture and flexible working conditions allowing you to follow your personal biorhythm and to combine work life with your personal interests.
 
This position is remunerated with a minimum annual gross salary of EUR 40.200,00 (according to the Austrian legislation we have to state the legal minimum amount). Depending on your qualifications and experience, a higher salary is possible. 
Please send your application to hr@megiontechnologies.com. Only applications in English will be considered. Please include an application text, CV and a list of relevant projects or work samples.

",PostedVor 22 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=c5e5cad284fbb1f0&fccid=2edb9bfef81c891c&vjs=3
