job_title,company,location,job_summary,post_date,more_info,salary,job_url
Frontend Web Developer,Shape Games,København,"We deliver award-winning sports betting products used all over the world. If the web is your platform of choice and you want to build amazing products together with a passionate team of designers and developers we would love to hear from you. As a developer at Shape Games, you can pride yourself on building best-in-class products and have fun while doing it. 

 Shape Games is known for building high-quality mobile apps that tackle real problems and push businesses forward. At Shape Games, you will be working closely together with talented designers and developers to build awesome mobile apps. You will put your existing skills to good use, and learn new ones by working together with other skilled people. 
We hope that you also want to share your knowledge with co-workers and assume you are as eager to follow the newest technology trends as the rest of us. 

 WHAT WE ARE LOOKING FOR 


A background in building web applications and proficiency in React or another front end framework.
Advanced knowledge and understanding of JavaScript and ES6. Possibly also TypeScript.
Experience with serverside technologies, serverside rendering and API design.
Proficient understanding of cross-browser compatibility issues and ways to work around such issues.
Motivation to become a part of, and learn from a team of experienced and passionate developers for web, iOS and Android.
 WEB FRONTEND DEVELOPMENT @ SHAPE GAMES 
The 9 members of the web team have a big passion for the open web as a platform. Once per week the team spends an afternoon on building some experimental tools they think can benefit the team or the entire organisation. 

 The technologies used for frontend web development are ever changing but some keywords that have been around with us for a while include TypeScript, React, and Next.js. 

 THE ORGANISATION 
We strive to keep our organisational hierarchy flat without unnecessary layers of management, relying on team leads with technical backgrounds. Our team is very international and so far includes people from 29 different countries. Our working language is English around the office to include everyone. 

 Our office is on Islands Brygge where we host social events, keynotes, Fifa tournaments, morning runs (and swims), Friday bars, board game nights, family LEGO days and much more. A couple of times each year we press pause on our daily projects and relocate to a remote venue. We get together for socialising and hacking on side projects - we call this Shape Weekend. It is a lot of fun. 

 NEED RELOCATION? 
If you are not already living in Copenhagen, but would like to, we can help make the relocation easy. We will take you through the process of getting a Danish work VISA [https://nyidanmark.dk/en-GB/You-want-to-apply/Work/Pay-limit-scheme] (applies to you and your immediate family). We are part of the Fast-Track [https://www.nyidanmark.dk/en-GB/Applying/Work/Fast%20track] programme so the process will be as quick as possible. We will also arrange the trip and find an apartment in a good location for you. Btw we also have some remote jobs you can see listed here [https://careers.shapegames.com/jobs?remote_status_id=fully].",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktnV_2itNw7Bzhd6Ru7C5eTFXrYTtsGQWgpMv_341nnsRrz0MHLuLqFnu0QUK9DaWXQwEPME_tegVft_vz_Cye5VZOLgmW2fLXC2cDI1AdLgG-NAS-vZ8do5lq54yVdBZjEBwHLUTfY46qlMdv64JMCxcGQ6IadlG-swWNhM92FvyTbw6bTDzHuK5XjIUS7QYdjpxkPymACJZb4LxdHzZCJxxlh63JxhEjngKYtHDSMgaKSg8zcNw4gsz80kIrDjRKm_6Di0dVZtezqHU7OhE8_rqqWbu_LNpAEEZwDK7IG68XxZCgdaVbL7rNDIH2Hu-_TTq_iL9tRhgWxmxIYMr_5Iya5Oid2Hl_Ub44iUgIdTrAye4LLWZE8SJHo37oWEjTXit9-DRYBsms-LKwK55lLtKVi3WLSBQW0=&xkcb=SoDM-_M3ZCkUss-pqR0LbzkdCdPP&p=0&fvj=0&vjs=3
Junior Front-End Developer,DaxMedia ApS,København,"Består 85% af din browserhistorik af Stack Overflow - og er du på udkig efter et sted, hvor du kan udvikle dine personlige og faglige kompetencer? Som Jr. Web Development Specialist vil du blive en del af et udviklingshold i rivende udvikling, som blandt andet står bag udviklingen hos nogle af de sejeste webshops i Danmark (..hvis vi altså selv skulle sige det). 

 Du skal gerne have en basisforståelse for JavaScript, CSS (Tailwind) og HTML. Det er dertil et stort plus, hvis du har kendskab til ReactJS og GraphQL, da det primært er disse to teknologier, vi arbejder med. 

 Vi leder efter en ildsjæl, hvis ansvar bl.a. kommer til at bestå af udvikling og vedligeholdelse af Shopify webshops, interne platforme og automatiseringer - med fokus på hele tiden at optimere interne workflows. 

 DaxMedia er et kreativt marketing- og multimediebureau specialiseret i at styrke brands e-commerce og retailbrands. Mere end bare en virksomhed, er vi et visionært fællesskab af passionerede og unge mennesker, der hver dag arbejder på at skabe fremtidens bureau. 

 Igennem en unik kultur af ambition, nytænkning og en konstant lyst efter at blive bedre stræber vi efter at skabe historier og resultater, som vi kan være stolte over og vigtigst af alt sammen med mennesker, som vi nyder at arbejde med. 

 Du vil primært arbejde på vores kontor lokaliseret centralt i København K, hvor du sammen med vores CTO vil sidde side om side med vores content-, design- og marketinghold. 

 Lyder det spændende, så send os endelig en motiveret ansøgning og dit CV! Vi ser gerne, at du kan tiltræde hurtigst muligt.",Posted19 dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktn2ZlaPLOp6POPMqDmXKxqjf11dkA2jyGYRmEFWkHlwJylagpVJnSBxl8bTdzez57WkI7gmDg3nxx4xZcOBlk85IHLXYY5w3YM_xKNvz8RoozLmLEz1m2lmHfLWIBn3T-SNhXJBYa7HSb80YUek8_-hcvGkL3l956jjVNXGXt25DZ59rHRK-868__jpVsmRLQEpUfWuMASMtBd6HAhdx8R_KVfep7TmhOCAUodowcLNKZbGVerqi2cV3cigDJZwetCj4DXSC2ScMdR3OMhqa6s4JWms5aZnn10yUDgeMoQOd0foo_wXE-N0wAQIhMIWksoTafYvxnWIUyCLCPprJl_lTgJ5yw4AqbddjODgRSQ1Sq0X1ZsGRZRTKlBWEHs5vzJw9suP2U-VOnNT1V3AucY9kam-d4w57ow=&xkcb=SoB4-_M3ZCkUss-pqR0KbzkdCdPP&p=1&fvj=0&vjs=3
Frontend Developer,Clerk.io,København,"Show us what you are the most proud of! - Everyone working at Clerk.io is very proud and ambitious. We are dedicated and passionate and we want our new Frontend Developer colleague within our product team to be the same. Don't tell us how good you are - just show us! 

 We are looking for a Frontend Developer who wants to make advanced AI usable for marketeers and online retailers. 

 You will have the responsibility for the experience of being a Clerk.io user. This includes general product design, making complex technical integrations seems frictionless and easy to use visualising data to make AI predictions and results easy to understand - even if you want to dig deep into the data. 


RESPONSIBILITIES:


Develop and improve our User Interface.
Take responsibility for the experience of using our product.
Make technical implementations and setups easy through an intuitive UI.

QUALIFICATIONS AND PERSONAL SKILLS:


Good UX track record either 2+ years experience or a good portfolio.
1+ years of experience in front-end web technologies including HTML, CSS, JavaScript. It is nice to have: Angular and coffee-script.
Great troubleshooting and debugging skills.
Passionate about giving other people the best experience using your software.
Interest in staying current and applying the most current best practices.
Able to work effectively in a fluid, fast-paced environment.
Positive attitude, high energy, and love for broadening web development skill set.
Lastly, you enjoy sharing your knowledge with others and have the ability to work across teams

WE OFFER:


Flexible working hours.
An amazing team of talented, committed, and goal-oriented colleagues.
Company events like Friday bars, Summer and Christmas parties & team trips.
Opportunity to grow within the company.
All the FREE soda, coffee, fruit, and snacks your heart desires (be careful).
A 5-star lunch buffet.

INTERVIEW PROCESS:


Apply for the position with your CV and a short cover letter.
Preliminary phone interview with our Talent department.
A small coding task so we could understand your coding style (not assess your coding skills).
In-person interview at our office with our Recruiter.
Meet'n'Greet with the Head of Product.
 ...... Successful? A warm welcome to Clerk.io! 

 When can you start? The ideal candidate can start asap, and no later than November 1st.",Posted2 dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktlCGnLv5vFb9Wn4N2D4wA5IyPBC03onxcQ8o1uXT0-0B_ebx8VaKkcwlOZzUu175YCw2Ls84uX-nGgyz5U_5ulMmUCl4TuWqlv52j9tLxGYiMFEX-UzPX6otE1vTbHAg3RyOrt-Oo1dwcMscznHnWar-dyXNLnOut0xU2R7ASECmYbOkMww0uXttXdvAyY4AbrIJGRGxxgTUnZ1kOsqU5hnqmwjd0W_Q3G2rEoJck6rj6HXFPWgXY6ubR93X5G1wCjEI4qT9qlMh8wtPX8hHapwPbcS3T2DCW9YXjjpe8haew5GSsgZ9XirDNipXMsQI6pwnFDM8rOYMmBQlpAYhNIGgITtq-ijfTR0meRQeA6r9JvnsUG91I6Oq66k3-M5oJmzgwGdPeRt1ouKPDVMs8lx&xkcb=SoDl-_M3ZCkUss-pqR0JbzkdCdPP&p=2&fvj=0&vjs=3
Software Engineer,Medusa,+2 stederEksternt,"WHY MEDUSA? 
Medusa is the leading open source e-commerce platform for Javascript developers. It provides the foundational building blocks for tomorrow’s e-commerce infrastructure by combining an open and headless architecture with a strong developer experience. 

 So far, Medusa has managed to become one of the fastest-growing projects on GitHub. In less than a year, the project soared to +10,000 GitHub stars, +2,000 community members and +10,000 project starts. Companies - from global start-ups to larger enterprises - have adopted Medusa, with many already using it in production. In the Summer of 2022, Medusa closed an $8M USD seed round and is now looking to invest heavily in growing the team. 

 We strive to build exceptional products and that requires an exceptional team. We focus on supporting each others’ personal growth and encourage experimentation, curiosity and ownership in all aspects of our work. This allows us to push the bar for creativity in our problem-solving and leads to better solutions for our community. 


WHAT YOU WILL WORK ON:


Our open-source project; the foundational core as well as plugins.
Developing and documenting web applications and web servers.
Implement highly performant and scalable applications.
Solutions that will enhance the developer experience and broaden the customizations options of Medusa.
Supporting the community through technical support whenever needed.

WHO YOU ARE:


Experienced. You have worked in the role as a full-stack engineer with +7 years of SW Engineering experience. Ideally with some experience from a leading role.
Team player. You like to both provide and receive feedback to help the team, product and company improve.
Coming from a start-up environment. You have worked in (or have strong appetite for) a fast-growing startup environment.
A big fan of excellent developer tooling. You appreciate good developer tooling and strive to provide such an experience when building products.
Good at taking ownership. You want to take ownership and responsibility for tasks throughout the development cycle while sometimes supporting less experienced teammates if needed.
 TECH STACK 
We build our applications using modern and battle-tested technologies and these include Node.js (TypeScript), React, Next.js, GatsbyJS, PostgreSQL and Redis. 

 If you have experience and harness all of these technologies already then fantastic. However, aptitude and attitude are valued over experience with the next shiniest tool. We would still love to hear from you if you haven’t had experience with all of these languages and tools. 

 WHAT YOU GET 


A competitive salary and ownership in one of the fast-growing ecommerce startups around.
Remote first and flexible working hours. As long as you get your work done, you can work from almost anywhere.
Full WFH setup and $500 per annum to spend on your remote workspace. New plant?
Company retreats, virtual Friday bars, community events and many other activities.
Unlimited PTO and flexible working space.
Discovery Days every Friday promoting explorative projects.
 For more details on our benefits go here. 

 THE TEAM 
We work remote-first with a diverse and young team from different parts of the world. We appreciate hard-working people with a can-do attitude and in return give great flexibility in terms of working style and extensive responsibility early on. We are a small and caring bunch that treats our Core team as a community on its own.",Posted3 dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktnA6vuxlNxYKjrhlTaPvnaM13HcR8hF65O1feuDlkWVu3jUb7U9Cb4bVMk-K_lJoFvEh7H0ktARLqy1JX3jpISKFoNWZDkG0yKNNlTCzFTvtNJHNXHBcDL1dpZO_RFQe9Zj2TDbs7Ikqh6dppExP5whsrqOnQzELTfubxz-p8Ao19lfKwQLfgFK2EJ3Qm1MDaM2Dj6vggSy7UeOqPRs4y0itijedY9cqJ8apbBozsdNnstUlJ43nUgXFxkvH7vU9KSn-zhD0MZIXE__x4yL3xHOEDV94fmNZe91bsDJx6iI_KbUQh18Aj1PldPfwoDSYhMeBm4vPGOGCfUlDWmbFPQLHBj9rIf2uVScFPTn3ISCjO8LZLUfIk9WsV_2pWzZqsPVGf3LKECqaLS_f4cwhmfv&xkcb=SoBR-_M3ZCkUss-pqR0IbzkdCdPP&p=3&fvj=0&vjs=3
Backend Developer,OOONO,København,"Drømmer du om et job, hvor dine kompetencer gør en forskel for hundredtusindvis af mennesker hver eneste dag? Så er det dig, vi skal snakke med! 

 Hos OOONO er vi på en spændende vækstrejse, hvor softwareudvikling er kernen i vores forretning. Ingen software - intet produkt! Som Backend udvikler er du derfor udset til at varetage en nøglerolle i jagten på at indfri vores tårnhøje ambitioner. For ser du. Selvom alle dine kollegaer ikke nødvendigvis forstår det med kode, så anerkender vi alle sammen, at vores drømme i høj grad afhænger af softwareafdelingen. 

 Du kender os måske for vores CO-DRIVER, som forbinder millioner af bilister i trafikken. Et produkt som har stor international succes, men der er mere. Meget mere. Vi har ambitiøse planer for videreudvikling af eksisterende produkter, men vi har flere spændende projekter gemt i skuffen. Fælles for dem alle er, at de har til formål at udnytte det store potentiale som teknologi rummer til at gøre en forskel foros almindelige mennesker. 

 Så hvis du kan lide at tage ansvar i processen fra idé til design, implementering og test, så er jobbet noget for dig. Og så skal du bare få sendt din ansøgning afsted i en fart! 

 Om jobbet som Backend-udvikler hos OOONO 

 I samarbejde med resten af udviklingsteamet bliver din rolle at bygge løsninger af høj kvalitet, som gør en forskel på tværs af innovative platforme – altid med fokus på at forbinde mennesker ved hjælp af teknologi. 

 Sammen med vores nuværende Backend- og øvrige SW-udviklingsteam kommer du blandt andet til at udvikle og vedligeholde vores CO-DRIVER app. Du vil være med til at udvikle nye features, implementere dem, teste dem og sende dem i produktion. 

 Derudover bliver din viden essentiel, når vores supportteam får brug for at oversætte vores tekniske løsninger til et sprog alle forstår, hvis brugerne oplever tekniske problemer – men det hører til sjældenhederne. Vi har ingen bugs, sagdeingen udviklingsafdeling nogensinde. 


Du må gerne kunnenikketil følgende:


2 års erfaring med node.js, javascript og eller typescript
Erfaring med full stack web udvikling
Har stiftet bekendtskab med SCRUM
Bruger GIT til source control
Du arbejder struktureret og har sans for selv de fineste detaljer
For dig er automatisering af test en helt naturlig del af udvikling

Det er et plus, hvis du har:


Kendskab til følgende Amazon Web Services: API Gateway, Lambda, RDS, S3, Cloudfront, Cloudformation, sns
Erfaring med CI/CD-pipeline tools
Erfaring med Postman, postman test og monitors
Mysql
 Du bliver en del af et udviklingsteam på ni skarpe hjerner, som arbejder tæt sammen og har komplementære kompetencer. Det betyder, at vi lynhurtigt kan knuse bugs, udvikle nye features ellerbareholde vores nuværende platform ved lige. 

 Vi arbejder agilt ud fra SCRUM med daglige standupmøder. Du skal ikke være i tvivl om, at vi tager agilitet meget seriøst her i biksen. Vi har en uformel atmosfære, med et fladt hierarki og frihed under ansvar. Kliche? Indrømmet. Men er go’ nok. Du vil opleve en hverdag, hvor der er plads til at have det sjovt — imens vi får tingene til at ske og skaber resultater. 

 Stillingen som Backend-udvikler er en fuldtidsstilling med fast arbejdsplads på kontoret i Valby. Start hurtigst muligt med løn efter kvalifikationer.",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktnHhGdlUx3T7PTrgSYbcqjB2f2ECAZt7X-SyeU2r8MXt6_t0fERLOcXlI6OUQtlQyOFUZjQqpPmIAETvBmGjZaFomSrtJLqnV6ArG8_elRikjL7inNV9RHXThz8cF2uAjltbvzIVeqz-4TvIvgNLV--hHyYUiCL7IfcAOl5vXkqENW61Hj77-JO_nAKojtVy5U8YzjxfzuqyawUw-UAM6rM0BIkxUpDQCuLQO-TFgBeZDg7RSFmwWiHO7oXWEFX7aMRktJn-d0XCspMQ7gMkqRYbBmPMFu5t4wp34ZkYhzhOxjc8Dq-uyQZXqdebelsyr8zbhb6ByxiCPMKyQDpIVrfyHI8uOfcxMl-zljiE7fvh83IIuJ0Rc62tPpLf9T0rs_yF-LqCjhJ6yU5BSIVHiRD&xkcb=SoDf-_M3ZCkUss-pqR0PbzkdCdPP&p=4&fvj=0&vjs=3
Student Front-End Developer,DaxMedia ApS,København,"Består 85% af din browserhistorik af Stack Overflow - og er du på udkig efter et sted, hvor du kan udvikle dine personlige og faglige kompetencer? Som Student Web Development Specialist vil du blive en del af et udviklingshold i rivende udvikling, som blandt andet står bag udviklingen hos nogle af de sejeste webshops i Danmark (..hvis vi altså selv skulle sige det). 

 Du skal gerne have en basisforståelse for JavaScript, CSS (Tailwind) og HTML. Det er dertil et stort plus, hvis du har kendskab til ReactJS og GraphQL, da det primært er disse to teknologier, vi arbejder med. 

 Vi leder efter en ildsjæl, hvis ansvar bl.a. kommer til at bestå af udvikling og vedligeholdelse af Shopify webshops, interne platforme og automatiseringer - med fokus på hele tiden at optimere interne workflows. 

 DaxMedia er et kreativt marketing- og multimediebureau specialiseret i at styrke brands e-commerce og retailbrands. Mere end bare en virksomhed, er vi et visionært fællesskab af passionerede og unge mennesker, der hver dag arbejder på at skabe fremtidens bureau. 

 Igennem en unik kultur af ambition, nytænkning og en konstant lyst efter at blive bedre stræber vi efter at skabe historier og resultater, som vi kan være stolte over og vigtigst af alt sammen med mennesker, som vi nyder at arbejde med. 

 Du vil primært arbejde på vores kontor lokaliseret centralt i København K - hvor du sammen med vores CTO vil sidde side om side med vores content-, design- og marketinghold. 

 Lyder det spændende, så send os endeligt en motiveret ansøgning og dit CV! Vi ser gerne, at du kan tiltræde hurtigst muligt og arbejde et sted mellem 10-20 timer pr. uge alt afhængigt af dine eventuelle studier.",Posted19 dage siden,Deltid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktn2ZlaPLOp6PAJv8R-6wIbpGQg02mZrl--WimozBgie2UD8ESwQXHMG3phWIInTVxm_tCTE-69S9F1ms-STkdF6xmRhg4j9qjjykd4mPP0bDt6eTaLwqDcA-DpI5fRfEKCC9rPExPVQEFxDqXVx_Bsht9WjuGt1HoeJGaOT4c3hdQaEcNwZmaKzTrjfxaFqT3TJ9U8W9gupqx_c1_TMJh4NTrRPskuCXGJH9bSKd1apGPdNpKg6qFDI3OUsVN3o279I1DRW6l-WcBf2svyjApkv-WruYQpPHX1b_-x01E5jgvvyK2cc0I_7jkmdRdXz7ficRSZ4aTHWiERFpbaAoJNz6QADw1rVJnTTYV550JBKmS7-BSfka3P5D0zmmWEYPvO1K_gKu-7aZdYdMDZ0Q8CQ&xkcb=SoBr-_M3ZCkUss-pqR0ObzkdCdPP&p=5&fvj=0&vjs=3
Web Frontend Developer at Shape,State of Denmark,København,"Description 

 f 

 Responsibilities 

 f 

 Must Have Requirements 

 f 

 Languages English Education Bachelor Experience 2+ years",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=ca10ce94c8f4f2ca&fccid=d338fed1b16f8aa0&vjs=3
Frontend Developer - for web based ordering of robots,Buildcode,København,"

Your profile fits one or more of the fields below: 

You want to make the perfect user experience, through proper UI.


You thrive when working with data and its visualization.


You understand logical processes and can systemically make them understandable in your field of work.


You like working with graphics and to make them look professional.


You can understand what customers want or have the instinct to find out.


You like marketing and advertising products through online/social media.


You would like to work with software development in relation to robots.


You would like to work with the marketing and branding of a robot business.


You would like to work with the hottest robot technologies.

The internship will begin as soon as possible. For more information or questions please contact us at or phone number 42 78 54 56.
Please write in your application that you've seen the job at Jobfinder.

Skriv i din ansøgning, at du fandt jobbet på ofir.dk








    Indrykket: 31 aug 2022
   





    Indrykket: 31 aug 2022
   



    ID: 331289550
   



    Adresse
   

Buildcode



Danmark




    Fuldtid
   

     Permanent
   


",Posted2 dage siden,Permanent +2,,https://www.indeed.com/rc/clk?jk=d3b3b970d9056d6d&fccid=27699749cd7e882f&vjs=3
Full Stack Web Developer,LEADing Practice ApS,Eksternt in København,"Project Description
Our product is an enterprise-level and 100% cloud-based Software as a Service (SaaS) product that is based on several different individual system components that are closely integrated with each other. These system components have all been heavily customized to fit our specific product needs and to meet the expectations and requirements of our clients.
Furthermore, we have developed our own API as well as other custom extensions to support different functions and features. It will eventually allow our users to create and manage extensive product and project documentation as well as maps, matrices and graphical models (such as, but not limited to, flowchart diagrams, business process models, strategy canvasses, etc.) for the work they do within their own organization.
We are now looking to engage a new senior-level full stack web developer who will be hired on a fulltime contract and work and act as an employee within our organization for this project as well as future projects.
Requirements
NOTE: THIS IS AN OPPORTUNITY FOR A PERMANENT CONTRACT INTERNAL EMPLOYEE. WE DO NOT ACCEPT PROPOSALS FROM OUTSOURCING COMPANIES, WEB DEVELOPMENT TEAMS OR ANY OTHER COMPANY FORMS.
We are looking for an experienced senior level web developer with qualifications in server administration and management. You will be responsible for continuous development and management of our cloud-based Software as a Service (SaaS) product, and is expected to work closely with our internal team on a daily basis. You must be very good at communicating in English, written as well as spoken. We have regular online meetings/calls to discuss various topics and tasks at hand.
For our new senior-level full stack web developer, we have the following requirements:
· Must have extensive experience with and expert level qualifications in PHP, HTML5, CSS3, JavaScript, and MySQL.
· Experience with and knowledge of:
o MediaWiki
o Laravel5 PHP framework
o Angular JS
o MySQL
o Dedicated Server Management & Administration
o Domain Management & Administration
o Email Management & Administration and overall technical wizard that can take care of all our technical requirements.
· Must be able to communicate at a high level in English both verbally and written.
· Must be able to work in a highly organized and structured way, and be capable of adapting quickly to new and sometimes urgent tasks.
· Must be able to understand and provide beneficial input to complex software scenarios and projects.
What we have to offer
We offer lots of fun work in a very dynamic working environment where everybody’s opinion matters and where suggestions for better workflows and new ideas for improvements are highly appreciated. Our estimated monthly work expectation is set to 160 hours at 40 hours per week. Our payment is set to 10-15 Euro per hour depending on your level of experience. Further increase in salary can be discussed for the right person.
This is a REMOTE WORK position, so you will be able to work from the comfort of your home!
We see the initial flow of integrating our new LEADing Practice ApS employee as the following process:
1. Introduction to the systemWe plan and conduct a Skype Meeting where we can meet up, and introduce each other to one another. Afterwards, you will be taken through an extensive introduction to our current status of our entire cloud-based Software as a Service (SaaS) product.
2. Getting into the system
You need to spend some time of your own (outside of working hours) to get into the system. We will help explain to you the basic architectures and components of the entire system.
3. Training in FranceWe invite you to join with our team at LEADing Practice ApS in France to start up the initial introduction phase. LEADing Practice ApS will conduct extensive training workshops as to prepare you for the upcoming project and its development tasks.
How we continue from here
Your response must be sent only to u f o ( a t ) l e a d i n g p r a c t I c e . c o m. Do not worry if you do not receive an immediate reply, we keep all contacts as confidential information, and those we find will have something of value to offer will be contacted in due time.
For practical reasons to us, we will only consider hiring developers from:
· Central, South or North America,
· Europe,
· Eastern Europe and the Baltics; and
· South East Asia.
Due to time restrictions, applicants who do not follow these simple requirements will not receive an answer to their emails and/or other forms of correspondence.
If you want to learn more about LEADing Practice ApS, please visit www.leadingpractice.com for more information.
Yours sincerely,
Ulrik FoldagerE+ Project ManagerLEADing Practice ApS
Job Type: Full-time
Salary: Up to 112.50kr. per hour",Posted4 dage siden,Permanent +1,,https://www.indeed.com/company/LEADing-Practice/jobs/Full-Stack-Web-Developer-98fe3f0567de4ec9?fccid=66b95b87e9a5f1e4&vjs=3
Frontend Developer,Norriq,København+1 sted,"



Frontend Developer 

Vil du være med til at udvikle fremtidens web-løsninger, der kan hjælpe vores kunder med at indfri deres digitale mål og ambitioner?



Hos NORRIQ har vi fuld fart på digitaliseringen af vores kunders online forretning. Vi søger derfor en erfaren udvikler, der vil være med til at udvikle en lækker og funktionel front-end ud fra grafiske oplæg og wireframes. I NORRIQ har vi førertrøjen på teknologisk, og derfor vil du implementere løsninger i moderne teknologier såsom Nuxt, vue og vuex ovenpå en headless platform.


Dine primære arbejdsopgaver:

 Omsætte grafiske oplæg og wireframes til en funktionel løsning
 Være med til at definere hvilke værktøjer og biblioteker, vi skal bruge fremadrettet
 Udvikle komponenter og andre værktøjer til genbrug

 Vi søger netop dig, der har:

 Minimum 3 års erfaring med implementering af front-end
 Erfaring med SASS, SCSS eller lignende
 Erfaring med at konsumere API’er i front-end, eksempelvis i et headless setup
 Erfaring med komponentbaseret opbygning i eksempelvis Vue, React eller Angular
 Erfaring med brug af GIT

 Dertil vil det være en fordel, hvis du har erfaring med følgende:

 Brug af State Management, eksempelvis vuex
 Udvikling af eksempelvis NPM-pakker
 Sparring til UX eller Design i forhold til, hvad der praktisk er muligt
 Sparring til back-end udviklere i forhold til, hvilke data du skal bruge



Din rolle hos NORRIQ
 Som vores nye frontend-udvikler i eCommerce teamet vil du få en central rolle i udviklingen af større e-handelsløsninger for vores ambitiøse kunder i ind- og udland. Gennem vores ydelser indenfor ERP, eCommerce, PIM og BI leverer du, i samarbejde med dine kollegaer og konsulenter, en samlet 360-graders IT-løsning.
 Hos os får du en spændende og meget varieret hverdag i et af Danmarks største digitale konsulenthuse. Du vil møde høj professionalisme, engagerede kollegaer på tværs af NORRIQs forretningsområder og få mulighed for faglig kollegial sparring.
 Tonen er faglig og ambitiøs men samtidig uhøjtidelig og humoristisk. Vi har højt til loftet men kort til ledelse og handling. Og så tror vi på, at succes starter med tilfredse medarbejdere, hvorfor vi gør en dyd ud af at tage os godt af hinanden.
 NORRIQ tilbyder dig
 God trivsel er en af vores største styrker – vi tror på, at vores succes starter med tilfredse medarbejdere, hvorfor vi gør en dyd ud af at tage os godt af hinanden. 99 procent af NORRIQs ansatte anbefaler os som arbejdsplads ifølge vores seneste trivselsundersøgelse fra 2022. Når vi spørger hvorfor, siger de:

 Autonomi og indflydelse Hos NORRIQ får du en unik mulighed for at forme dit eget job, tage ansvar og ejerskab, når du i samarbejde med dine kolleger i eCommerce teamet skaber synlige succeser for vores kunder. I stillingen som Frontend Developer vægter din mening tungt, og du har afgørende betydning for NORRIQs fremtidige udvikling. Du har både selvstændig indflydelse på, hvordan du løser opgaverne, samt tilrettelæggelse af din arbejdsdag, arbejdssted og tid.  
Støtte og kollegiale relationer Du bliver en vigtig del af et ambitiøst, specialiseret og dynamisk team i vækst, hvor faglig sparring vægtes højt og hvor vi er gode til at give feedback, hjælpe og støtte hinanden. Dine fremtidige kolleger er blandt de dygtigste og mest erfarne i branchen, hvorfor løbende kompetence- og personlig udvikling står højt på vores prioriteringsliste. Det kræver plads til fordybelse, hvilket du kan gøre i sparring med dit stærkt specialiserede team i den tid, der afsættes i hverdagen, så vi sikrer branchens højeste faglige niveau. 
 Balance mellem arbejds- og privatliv Vi har et arbejdsmiljø præget af stor fleksibilitet, frihed under ansvar og hvor arbejdsbyrden tilpasses din arbejdstid. Hos os er det nemlig vigtigt, at vores ansatte har tid til at dyrke privatlivet. Dertil får du en attraktiv fast løn, som matcher din erfaring og dine kompetencer, pension, sundhedsforsikring og seks ugers ferie. Desuden kan du nyde godt af andre attraktive personalegoder såsom en lækker frokostordning og masser af sociale events.



Er du interesseret?
 Tag springet og søg stillingen allerede i dag gennem vores hjemmeside. Søg jobbet ved at trykke på ""Søg stillingen"" herunder og bemærk venligst, at ansøgninger kun modtages gennem vores rekrutteringssystem. Stillingen ønskes besat hurtigst muligt hvorfor der løbende kaldes ind til samtale.
 Har du yderligere spørgsmål? Så er du meget velkommen til at kontakte People Operations Director, Mille Lund Jensen, på telefon 44 51 79 91 eller e-mail mlj@norriq.com. Vi er altid glade for at høre fra branchens bedste konsulenter.




",Posted1 dag siden,,,https://www.indeed.com/rc/clk?jk=500bd668ada496b6&fccid=740272339b90b46a&vjs=3
