job_title,company,location,job_summary,post_date,more_info,salary,job_url
Wordpress Web Developer - remote,Managed Hosting Partners Ltd,Remote in New Zealand,"
MHP is looking for a senior Wordpress Web Developer.
 Your key responsibilities will include:

 End to end development of Wordpress websites to customer specifications.
 Maintenance of existing Wordpress websites.
 Some lead generation and sales of Wordpress websites.

 We require the following experience:

 Commercial experience with developing visually pleasing Wordpress websites for a range of businesses.
 Commercial experience implementing Divi, Elementor or Gutenberg page builders.
 Proven lead generation ability or the will to sell through in person networking in Auckland, Hamilton, Tauranga, Hawkes Bay, Wellington, Christchurch or Dunedin.

 We prefer developers with:

 General PHP or MySQL development experience.

 We are a fully remote business and have flexible working hours for this role.
 You will be in a work from home set-up or a shared working space.
 We have a training budget for technology certification programs, such as an AWS certification, for example.
",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=285743034cb21d22&fccid=bfe392847a5a7456&vjs=3
PHP Developer Symfony/ Laravel - remote,Managed Hosting Partners Ltd,Remote in New Zealand,"
MHP is looking for an intermediate to senior Developer to extend our team, developing custom financial management solutions.
 Your key responsibilities will include:

 Developing and maintaining full stack, multi-tenant web applications for B2B audiences.
 Developing new PHP backends.
 Building CLI tools for various business processes, using a range of APIs.

 We require the following experience:

 Proven commercial Symfony or Laravel experience.
 Analysing, architecting, design and implement projects end-to-end, in consultation with stakeholders.
 Some Linux administration experience.

 We prefer developers with:

 Experience working with very large data sets and complex queries.
 AWS working experience with EC2, RDS, SQS, S3.
 CI/CD implementation experience.
 Ansible or similar configuration management experience.

 We are a fully remote business and have flexible working hours for this role.
 You will be in a work from home set-up or a shared working space.
 We will support you becoming AWS certified or furthering your certifications and provide a training budget.
",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=e8286a20157c6869&fccid=bfe392847a5a7456&vjs=3
Nodejs/ React developer - remote,Managed Hosting Partners Ltd,Remote in New Zealand,"
MHP is looking for an intermediate to senior Node.js/ React full stack developer.
 Your key responsibilities will include:

 Developing and maintaining full stack, multi-tenant web applications for B2B audiences.
 Developing new React frontends for existing PHP based backends.
 Building CLI tools for various business processes, using a range of APIs.
 Curating a portfolio of Nodejs libraries for long term use in multi-tenanted applications.

 We require the following experience:

 Proven commercial Node.js and React experience.
 Analysing, architecting, designing and implementing projects end-to-end, in consultation with stakeholders.
 Some Linux administration experience.

 We prefer developers with:

 PHP or Laravel/ Symfony development experience.
 AWS working experience with EC2, RDS, SQS, S3.

 We are a fully remote business and have flexible working hours for this role.
 You will be in a work from home set-up or a shared working space.
 We are keen to support you becoming an AWS certified Solutions Architect or furthering your certifications, and provide a training budget.
",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=0668e4712b4bc1b0&fccid=bfe392847a5a7456&vjs=3
Web Developer,Trimble,"Christchurch, Canterbury","

  Your Title: Web Developer
 

   Job Location: Christchurch, NZ
 

   Our Department: Geospatial
 


 Are you passionate about coding leading web applications that address customer challenges, and love working in a supportive, collaborative, and diverse environment?
 


 What You Will Do
 

   You will be a key member of the New Zealand Geospatial development group that is responsible for delivering significant user & organisation facing GIS functionality in the form of the MapViewer web application and related services that also support the TerraFlex mobile application. Map Viewer is used to manage workspaces for users collecting data with TerraFlex. Map Viewer uses Leaflet to display the collected data on the map.
 


 Your role will include:
 



     Developing new functionality for our MapViewer web application
   


     Ensuring all code is of high-quality and well tested
   


     Participating in code reviews/PR’s
   


     Identifying opportunities to improve the development process
   


     Collaborating across a geographically dispersed team to champion excellence in front-end development
   


     Contributing as part of the broader geospatial software engineering team
   


     Bringing out the best in everyone to successfully contribute to our development activities.
   



 What skills & experience you should bring:
 



     Proficiency with Angular 2+ or similar Javascript frameworks (React, Vue); CSS, HTML, RxJs, and unit testing frameworks such as Karma. C# .NET Core experience is a bonus
   


     Experience with tools such as Git, Docker, AWS
   


     Good understanding of RESTful APIs
   


     Design and development of significant product features. (seeing both the big picture & the details)
   


     Collaborate successfully with colleagues both locally and in facilities worldwide
   


     Effective verbal, written & remote communication skills.
   



 Qualifications / Requirements
 



     Relevant tertiary qualification in computer science, engineering or other relevant Software Engineering discipline, or an equivalent combination of relevant education and experience
   


     Minimum two years experience, with recent experience in a production environment
   


     Awareness of current UI / UX design philosophies
   


     Mobile GIS or survey experience is a bonus.
   



 Information About Your Location
 

   Based at Trimble’s NZ headquarters in Christchurch, New Zealand (handily located on the Little River Link Cycleway), home to over 200 Trimble employees, enjoy free parking, securely covered bike sheds, an onsite gym, showers, an active social club, and a great team environment where people love working with leading technology solutions.
 


 What we do at Trimble in video
 




      Life’s work
    




      Trimble Geospatial
    




      Bring who you are
    




 About Geospatial
 

   By integrating sensors, field applications, real-time communications, field, and back-office processing, modeling, and analytics, Trimble Geospatial solutions facilitate a high-quality, productive workflow and data exchange to drive efficiency, productivity, safety, and value in organizations of all sizes. The result is rich accurate data that can be transformed into the intelligence you – and your clients – require to make informed decisions.
 



 Map Viewer documentation
  



 Trimble’s Inclusiveness Commitment
 

   We believe in celebrating our differences. That is why our diversity is our strength. To us, that means actively participating in opportunities to be inclusive. Diversity, Equity, and Inclusion have guided our current success while also moving our desire to improve. We actively seek to add members to our community who represent our customers and the places we live and work.
 


 We have programs in place to make sure our people are seen, heard, and welcomed and most importantly that they know they belong, no matter who they are or where they are coming from.
 



 Trimble’s Privacy Policy
  


",Posted1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=4bd97a9ec6f7c3c1&fccid=41ffc18dec1f58bf&vjs=3
Front End Developer,The Creative Store,"Auckland City, Auckland","Are you an experience React Front End Developer looking to join a FinTech company?Based in Auckland and looking for a remote-first role?Want to join a company that is purpose-driven and outcomes-focused?Our client is the leading provider of open finance infrastructure in New Zealand. Its purpose is to give people control of their data, by providing the best account connectivity in New Zealand.They provide a suite of deeply functional data integrations with banks and other financial institutions. These integrations are bundled into a simple API for developers to build upon. Think Plaid or Tink, but solely focussed on New Zealand. Their API delivers payment initiation, enriched transaction data, account data, identify verification, bank account verification and more.The customers range from the biggest banks in New Zealand, right through to single developers coding away at night, they are experiencing a growth phase and are looking for more talent to join the team.You will be the frontend guru in the team, responsible for the developer-facing and consumer-facing products. This will include the OAuth flow where a consumer connects their financial accounts, a web app for consumers to have visibility and control of their data connections as well as the public website and a developer app: A new web app that will provide an amazing developer experience for the API customers.To be successful in this role, meet the following criteria:

Expertise with React or equivalent SPA frameworks
Strong skills with modern CSS
A keen eye for design
Experience managing the software development lifecycle: starting at conceptualisation, design/architecture, team communication/feedback, through to development, testing, and deployment
Backend and Node.js experience is a bonus

If this all sounds good to you and you are keen to hear more? We would love to hear from you – apply now.
Job Type: Full-time",Posted8 days ago,Full-time,,https://www.indeed.com/company/The-Creative-Store/jobs/Front-End-Developer-1c3731421df1c96d?fccid=7fafd2231dacd678&vjs=3
API Developer,Unisys,Wellington City 6011,"
Job Description
 We Believe in Better! 
We are a global information technology company that builds high-performance, security-centric solutions that can help change the world. Enhancing people’s lives through secure, reliable advanced technology is our vision.
 At Unisys, we believe in better! Here, you have the opportunity to learn new skills, apply your expertise, and solve complex problems with cutting edge technologies and solutions. You are part of a global diverse team that supports you, drives change, and delivers successful results consistently.

 Our associates are at the forefront of everything we do, driving our clients’ successes while giving back to communities and making this world a safer and more secure place to live and work. Our success is a direct result of the work of our people who live and breathe our Core Beliefs. Simply put, we believe in better lives. Join us!

 Learn more about Unisys and our key solution offerings: Unisys, Stealth™, CloudForte®, InteliServe™

 What success looks like in this role: 

As our API Developer, you will be responsible for developing and maintaining web-based custom applications for the organization, providing technical support for developed applications.

 You will deliver value by:

 API/back end/front end code in one or more languages.
 Understanding, creating, manipulating and querying databases.
 Working with systems infrastructure – hardware, OS, preparing the system and dependencies for all software.


 #LI-LR1

 You will be successful in this role if you have:

 Development - C#, ASP.NET MVC, WebAPI, WCF, EntityFramework, NUnit, xUnit, JSON, XML
 Databases - SQL Server 2016/2014
 API Documentation – Swagger
 Experience working with and developing for Mulesoft Anypoint Platform (ideally Anypoint Studio 7 and Mule 4)
 Experience of building apps in cloud environments, preferably Microsoft Azure will be highly advantageous
 Authentication - Active Directory, Azure Active Directory, Windows Identity Foundation, STS
 Source Control - Git, Team Foundation Version Control
 Minimum of 3 years IT experience and knowledge of .NET framework
 Minimum of 3 years of experience in object-oriented analysis and design of business solutions
 A working knowledge of microservices architecture is a significant plus.
 Good working knowledge and experience in SDLC processes and tools including agile methodologies.
 Strong oral and written English skills.


 Please click on the ""Apply Now"" button below to submit your application.
 Unisys is an equal opportunity employer and fosters an inclusive culture that embraces differences and diversity. We welcome applications from all sections of society.

 eeo

 Notice For U.S. Applicants: Unisys is an Equal Opportunity Employer – Minorities/Females/ Veterans/Individuals with Disabilities/ Sexual Orientation/Gender Identity
",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=6c62a6b259ffa5e0&fccid=189b4377c880f7e5&vjs=3
Senior Full Stack Web Developer,Qamcom Research and Technology,Wellington City 6011,"
The opportunity
 Qamcom NZ develops innovative products that combine computing, data, and communications.
 We're looking for a full stack web technology expert whose broad background and experience equates to creative design solutions that are both elegant and robust. This is where you come in. Interested?

 A bit about us
 We're a small, friendly company of designers, developers, and engineers.
 We're passionate about technology. Our ambition is to turn technology into value for society, industry, and people.

 A bit about you
 First and foremost; you are an expert full stack developer: from architecture development through to production delivery.
 We work with a diverse variety of technologies and platforms. You will be an expert in at least one area, but will relish the challenge to go outside your comfort zone, if required.
 Some technologies you will be familiar with include: JavaScript, modern front-end frameworks (e.g. Angular, Vue, React, Bootstrap), NodeJS, SQL, MongoDB, Python, containerisation, and the usual CI/CD pipelines.
 You have a solid amount of industry experience, whether you've come from a formal qualification or made your own path.
 And you are probably interested in more than just vanilla web software. Maybe you've written high performance apps in Rust; compiled to WebAssembly. And if you have experience analysing and working with large datasets that would be super-interesting to us.
 We work in partnership with companies to develop products and so you will know about communication with clients and stakeholders both here in NZ and overseas.
 Finally, you have the right to live and work in Wellington, New Zealand. Ideally you're already here!

 Some benefits (in addition to a competitive salary)
 Our office is in the Wellington CBD with nice views over the city to the harbour.
 Do you like skiing? We like doing that too.
 We're super-flexible on hours and ways of working. We've been working like this for a long time: well before COVID came along.
 And we enjoy working with, and using, the latest tools and technologies.

 Still interested?
 Excellent! We have lots to talk about...
",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=c4755dfe5c6441dd&fccid=07f5779fcd6c45e2&vjs=3
2022 Internships,FNZ,"Wellington City, Wellington","

  We are looking to recruit high calibre and talented Graduates and Interns to join our growing global FinTech business. We are offering a highly attractive remuneration package, additional employee benefits, comprehensive training and phenomenal on-the-job work experience that will have you industry ready fast!
 






       If you want a role that will challenge you and open up a world of global opportunities then we want to hear from you.
     


       Who are we?
     

       FNZ is a global FinTech firm, transforming the way financial institutions serve their wealth management customers. We partner with banks, insurers and asset managers to help people achieve their financial goals. We do this by providing services that span the entire wealth management value chain, from the digital user experience, client, account and portfolio management through to back-office trade execution, settlement and investment/member administration. Solutions are enabled for all client demographics from high-net-worth to the mass market.
     


       Today, we are responsible for over £700 billion in assets-under-administration, held by around 12 million customers of some of the world’s largest financial institutions.
     


       What do Analyst Developers do?
     

       Developers at FNZ are all-rounders who design wealth management platforms, write complex financial business logic and create slick web applications.
     

       They work closely with business analysts, testers and other members of the project team to produce world class software. Developers will be expected to learn all about our applications, the business and the global financial services industry we operate in.
     


       About You
     



         Confident, and able to take initiative in a delivery-focused environment
       


         Independent, self-directing working style;
       


         Ability to learn quickly in a dynamic fast-paced industry
       


         Enjoy working as part of a high performance team
       


         Hard-working, innovative and takes pride in their work
       


         Passionate about creating innovative solutions for customers
       



       What's in it for you?
     



         Be part of a highly successful, rapidly growing, global business that is leading the delivery of financial services via cloud computing and partners with some of the world’s largest companies.
       


         Remuneration and career advancement is based on individual contribution and business impact rather than tenure or seniority.
       


         We provide significant financial rewards for high performing individuals.
       


         We provide global career opportunities for our best employees at any of our offices in the UK, Czech Republic, Australia, New Zealand or China.
       







   Please note we will not begin shortlisting for our Intern positions until July/August time.
 
",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f092fe481201bb38&fccid=43cc43f2e0dbc56c&vjs=3
Angular Developer,The Creative Store,"Auckland City, Auckland","Our client is a digitally-led creative agency, based in Parnell Auckland, where two things are valued above all else – curiosity and craft.They are championing collaboration, innovation and creativity and bring that to each project. They choose their clients because they are brands they love to work with, who in turn inspire them to do work they love. They are looking for an experiences Angular Developer to join their 20+ strong team based in Parnell, Auckland.You are somebody who is excited by crafting beautiful & clean user experiences and gets a kick out of solving complex problems. You strive to deliver high performing and highly interactive web applications. You constantly look for ways to push the boundaries of the features you work on.As an Angular Developer, you will be collaborating with different departments (developers, designers, producers) to release new features for the projects you’re working on. Some of this will involve working closely with clients, so you can understand how best to help them, and making sure everyone’s set up for success.Your abilities

Expert knowledge of Javascript libraries and professional experience with Angular (2+)
Strong coding fundamentals (our client loves using the latest technologies in a fast-paced environment, so you should be eager and willing to learn new frameworks/languages and apply them to day-day work when required)
Amazing examples of past work in product
Expert knowledge of HTML5 and CSS3
Working with version control (Git/Subversion)
Giving/receiving code reviews
Designing/writing automated tests
Excellent communication with clients as well as technical and creative team members
Ability to stay calm and prioritise in times of tight deadlines and conflicting demands
Excellent documentation skills including creating meaningful technical specs
Self-motivated with good time management

Your credentials

Minimum of 4 years of development experience
Excellent knowledge of relevant programming languages and methodologies
Excellent written and spoken English

If you are looking to join a global agency and have a passional for great work and cutting edge tech, then we would love to hear from you – apply now.
Job Type: Full-time",Posted8 days ago,Full-time,,https://www.indeed.com/company/The-Creative-Store/jobs/Angular-Developer-1dc7426af1b6fccb?fccid=7fafd2231dacd678&vjs=3
Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","
AKQA are always on the lookout for permanent, contract and freelance Front End Developers. If you would like to share your details with us for future opportunities across Australia or New Zealand, please feel free to submit your details which we will keep on file and reach out to you as soon as a suitable position becomes available.
 At AKQA, we have a culture of excellence in Software Development and Marketing Technology and pride ourselves on our track record of helping our clients leverage CMS features. Working closely with Experience Designers and Back End Engineering, Front End Engineers transform visual design into code and static designs into elegant and intuitive solutions.
 Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that manage performance and scalability.
 AKQA have studios located in Auckland and Wellington. As part of AKQA you'll work in an innovative and inclusive culture, surrounded by some of the brightest minds in their fields. You'll also have the opportunity to learn within a creative and technically advanced team.
 ROLE REQUIREMENTS

Develop and maintain responsive web applications, website pages and CMS systems for our clients.
Hands-on development translating design concepts to HTML, accessibility, compatibility and performance.
Collaborating with cross functional teams in an agile environment.
Diagnose and solve technical problems related to webapps.
Implement high quality software solutions.
Produce quality code that is readable and maintainable by the team.
Plan and execute testing across multiple platforms and solutions.

 QUALITIES AND CHARACTERISTICS

Development experience in JavaScript frameworks, especially on enterprise-level mobile/responsive website projects.
Skilled in HTML5/CSS/Advanced jQuery/JavaScript/JavaScript OOP/TypeScript/Design Patterns as well as Headless CMS and API integration.
Experience with W3C website accessibility standards, JavaScript frameworks such as React / Redux, Vue and Angular.
Experience with Foundation, Twitter Bootstrap, Material UI or similar frameworks.
A highly motivated, productive and collaborative approach to your work.
Strong communication skills.
Exceptional attention to detail.

AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA's ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.
",Posted30+ days ago,Freelance,,https://www.indeed.com/rc/clk?jk=728ed8a11574cd5d&fccid=f3433a507ce87736&vjs=3
