job_title,company,location,job_summary,post_date,more_info,salary,job_url
Frontend Developer React (Full-Remote Spain),XING - New Work,"Barcelona, Barcelona provincia","XING is one of the flagship products within New Work. XING is the social network for business professionals with millions of members all over the world. We lead the German speaking market for social recruiting products.
Help us shape the future – for a better working life!
A challenging task

You’ll be creating and improving reusable components in our React based frontend stack
You will be responsible for structure, maintainability and quality of your applications
You have web performance in mind and drive this topic through tooling and consultancy
You work closely together with your team of fellow developers, product owners, designers and QA engineers
You collaborate with other teams in XING's frontend ecosystem
You have the great opportunity to work in an international, cross-functional environment (communicating in English, German is not required).

A Convincing Background

Strong frontend skills (HTML, CSS, JavaScript)
Knowledge or solid experience with the React library
Knowledge in node.js, npm and the ecosystem around javascript dependency management are a bonus
An eye for proportion and usability
Experience in unit testing frontend applications
You are a team player, used to work in agile environments
You know your qualities, share them with your team and are happy to further develop yourself
You can comprehensively communicate on a technical level and speak english fluently in written and spoken language

An inspiring environment
Check our Twitter account! https://twitter.com/NewWork_es

Training, conferences and many opportunities to learn, experiment and grow.
Innovation weeks (Hackweeks)
Flexible working hours and remote flexibility
Restaurant tickets, coffee and snacks.
Spanish / English/ German lessons.
A mobile device of your choice (iPhone, iPad, Android…).
A great, multicultural and diverse environment.
A sunny office located in the centre of Barcelona, with a large terrace.
Flexible Compensation Plan: Health insurance/ Transport/ Nursery Tickets
Extended holidays
Competitive salary and a Permanent contract
Bicycle park and package reception
Relocation pack if needed.

We're looking forward to hearing from you!
Job Types: Full-time, Permanent
Salary: 30,000.00€ - 60,000.00€ per year
Experience:

React: 1 year (Required)

Language:

English (Required)
",Contratación en curso,De 30.000 € a 60.000 € al añoContrato indefinido +1,De 30.000 € a 60.000 € al año,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSr4Wpy1KbGW0zC1DazaEuaagAS5TMgy6Wr7HxEcfbaNVyKcTiUv1wiXHlhAmACPjlCcqXwHCJKag8e1Ilw2JXO608rzOYf2DCCdZlNwmXn-btXMBjsxpP675g_QhBpdpF3MNL0jNwmsebC6GmNoCzp_k95QFLTM7rYkrntL4Gkbfzy_lQ-DjjCcqR4hEvwNjpapsWHzor_HO9LmvDy_OP4DHVzK_Da-746_ezz5_TbAWs4zxnZNrmPjFH9xw-VmO2QtyrNFPnRC-G0PncUJzbnpFSPJZTHcf3ToyV1b9tV8ewARFdwJYq7h_aH5FbUSP5n8TQxYcPVP6B83t6LhdrGgqO6RAHVJJIh9SgCOPHhYJNmGa1D8DESt7aXzInQO9cciOWIFIhLt53JD1h8vibPMzcbxn6J-NeEexi7UEdlhNX0XsXuft3GiY6bofkgfLkn72hhNbBOeit2U9JxwdKaUd4Wf32PXaJNbsMKgYYxV16K0ZvJqN7I7gW5mIf0AI=&xkcb=SoD0-_M3ZCkARkRr1J0LbzkdCdPP&p=0&fvj=1&vjs=3
Junior Graphic Designer,Marketflow,"29602 Marbella, Málaga provincia","Junior Graphic Designer
Marketflow is global e-commerce & fintech group delivering solutions to power the online economy. We work hard to find people who help us make better decisions by working together on common objectives. We are committed to building an actively inclusive work environment that makes Marketflow a great company to work for. We are looking to expand our team with an experienced Junior Graphic designer for our international office in Marbella.
KEY RESPONSIBILITIES
· Understanding project requirements, ideas, and evidence of design execution
· Using graphic techniques to produce company logos, banners, and interfaces
· Pitching creative concepts and collaborating with the wider team to launch projects
· Performing other tasks related to graphic design such as writing computer code for websites or designing web pages
· Highly skilled in the latest Adobe Suite and the willingness to learn new technologies
KEY SKILLS AND REQUIREMENTS
· 2-3 years of experience in a similar environment
· Multi-disciplinary with digital experience
· Highly skilled with design software and graphics editing software such as Adobe Suite
· Passionate about design and brand
· Consistency regardless of project size
· A keen eye for detail and a talent for creativity and problem-solving
WHAT WE OFFER
· A challenging job in a fast-developing international company
· A friendly work environment where expertise, professionalism and hard work ethic are rewarded
· Career advancement opportunities
· Working within an expanding team with excellent opportunities for professional development
· The chance to stay current with technologies and advancements in the field of the digital payments industry.
We're also seeking a Front End Developer and Creative Director to join our fabulous team too! Please visit: www.marketflow.com/careers
Job Type: Full-time
Salary: 14,000.00€ - 21,000.00€ per year
Ability to commute/relocate:

29602 Marbella, Málaga: Reliably commute or planning to relocate before starting work (Required)

Experience:

graphic design: 2 years (Required)

Language:

Fluent English (Required)
",EmployerActivo hace 2 días,De 14.000 € a 21.000 € al añoJornada completa,De 14.000 € a 21.000 € al año,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS9sDbksTsfeJfpjnR5vipw8AoMexnduQ1qE1UiaqZ9_CPHVFsN-9-DnCWvfprD3w27Z9VHiiEcKm0hvFjNsvqHnTLoezctmhT76nHoMFyrjUzm81t2xbPnYeSeO59lBZvi_FzlKbbA1qHCrD8GOQthhDWOOaGwzHdUlqVA8qXpuP1k9uwbD1X6FxmIiw188yLrgElTF2UZtpPpt_i9N4rPWOrlSINFcthkGLuUjyNqy6c0ALJ0_zU0WsN2F7WExG7GFexMXSR3v2zglZHu5JIMeXn6Rf5Jyry_RIT-w4s-4XojCWmkdR03pGSUhGmCqEqgQ6CpccZzwjimQcB4gE7d1W5vSiJw6oBBh8S75bffxjwkfARJfRl6e1x10vViKONwDvofqA4BTO4e8FzUTgLVh0PKtJE8_LyNIPzI97PlmcNmaQLjgWhTQUvYIviB2-qLmeA88JKfSNCoX5DT5M65vxC9wD86nfhPxu486mb2g==&xkcb=SoBA-_M3ZCkARkRr1J0KbzkdCdPP&p=1&fvj=1&vjs=3
Web Developer and UX / UI / designer,Digitalworkstore | Digital Nomads - AI software...,"Barcelona, Barcelona provincia","Who are we - > check the vibe at https://digitalworkstore.com
Amazing web developer job @ an international Tech Scale-up!
Work in the sun, around the beach. Experience the Digital Nomad lifestyle and culture of our start-up Digitalworkstore.com
Do you grow with us? Work as a digital nomad? We are looking for smart, innovative (web) developers with UX / UI and design skills who want to change the world to help with building super cool websites for our (ai) software tools.
Our stacks:
HTML, CSS, SCSS, Bootstrap, JavaScripts, Jquery, VueJS/ReactJS, optional NodeJS and Ajax.
Who are we looking for: You are completely wild about websites, mobile websites, applications and you have an eye to make the web even more beautiful and smarter with your websites, mobile websites or applications. You are driven to learn and broaden your knowledge in practice. Are you looking for a hip, modern, young, innovative and very growing company to fill in a side job? And to top it all off, you are an enterprising type! Then the first step of your future is a cool Front-End Development side job at Digitalworkstore! A step where no day will be the same! Interested? Read on quickly or apply and be surprised how cool your workplace is going to be!
You are: Goal-oriented, Structured, Enterprising, Innovative, Good at working independently, Not afraid to show innovation and lead, Love to support in ICT solutions, Relationship driven and a Team player.
Our expectations:
Experience as a Front-End Developer from a side job, zzp or your own room
Experience with HTML, CSS, Javascript, jQuery, Wordpress and Bootstrap
UI / UX and design skills
Available at least 16 to 24 hours a week
Good at communicating
Pro-Active
Willing to grow further, continue studying to take on new challenges
Punctual, meticulous, flexible and serious
Positive attitude
Team player
Possesses strong analytical skills and an eye for detail
Thinks out-of-the-box and creative
Is not afraid of responsibilities and likes to provide added value
Flexible and likes challenges
Optimize
SEO driven
Future builder!
Tags: challenging projects, starter, junior, medior, web developer, UX / UI, design, front-end, back-end
Job Types: Full-time, Part-time, Internship",EmployerActivo hace 11 días,Media jornada +2,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIo5vwnUbMQkvsbzQETUpPkoiPiD1QlHArURo_Ii5oWYAHebQK1_GrLEadKqmTdXtKd6qDirkPRtuE9kgujCE6m25fEs9UjJjJ9tzNo_iexnaqHEnU0xYXF9Eql-eqtlV_NXSyxanc9c-YfI1E9kTf7RnVVZqFDxK8mGa3ucFrzwvbkZfNQg0hQkJaxAM0yJFqHLTduEx98mzZQOkYWk-oi_LBPhLeuLOrKPB-wEBwVTzilHbTodeo3q5cU0fcy3d7C_04edJ2B2MLO0pQHDFBbBeICPibSdQTQuTYB-aoPCaVjBd6CCuwPqv3wbpmd4jKMZbo7RpMgiNimSVlh3f9_BetTtUpEhcDPZtXmUOvU1pKMR5aJxJ8s7xc5YSjoe4Nw7T7IjoP8xbHPfrXIUvHrGqhf5y4REHBsqyjCDGDeYwpDf6Pjwfn2y57sZndYaFlIbDYJbSwzkvgeyfZbiw9H8Bgyd8qxRhh6aQAn26-FfsbbOLV6LuOuWOJWHQzFF8=&xkcb=SoDd-_M3ZCkARkRr1J0JbzkdCdPP&p=2&fvj=1&vjs=3
Frontend Developer (Remoto),Michael Page,"Teletrabajo in Madrid, Madrid provincia","
 JavaScript (ES6); Vue, React y/o Angular; HTML5; CSS3; Unit Testing |Proyecto Estable
 
 Qué ofrecemos

 Contratación a través de Page Technology Services para importante proyecto en empresa española referente a nivel internacional especialista en el desarrollo de sistemas informáticos para la optimización y planificación de recursos del sector transporte.  Tecnología vanguardista, gran equipo de profesionales, movidos por la búsqueda de la excelencia, el crecimiento profesional y la continua motivación por los retos.

 Descripción


 Entregar software de alta calidad y bien testado
Equipos de trabajo mixtos
Best practices de desarrollo y proponer formas de mejorarlas
Proponer nuevas herramientas/librerías/frameworks 
Refactorizar
Asegurarse de que la solución técnica cumple con las guidelines de arquitectura
Levantar riesgos y bloqueos tan pronto como se detecten
Ser dueño y responsable de tu propio código hasta producción


 Perfil Buscado (H/M/D)


 Experiencia de programación en el paradigma SPA (Single Page Application).
Nivel alto en al menos uno de los siguientes frameworks Javascript: Vue, React y/o Angular.
Nivel alto de JavaScript (ES6).
Nivel alto en HTML5, CSS3, AJAX.
Conocimiento de programación funcional y orientación a objetos.
Conocimiento de Typescript.
Experiencia en Unit Testing (Jest, Jasmine, Mocha, …).
Experiencia en CI/CD tooling (Azure Devops, npm, Webpack,…)
Rest API.
GIT.
Inglés medio/Alto.

 Otros conocimientos deseables: 

 Experiencia con librerías de state management (Vuex, Redux, …)
Vue 3 (Composition API)
TDD
Experiencia en optimización y escalabilidad de arquitecturas SPA. Microfrontends.
Experiencia en test E2E (Cypress, Nightwatch,…)
Experiencia con preprocesadores CSS (SASS y /o LESS)
Experiencia en metodologías CSS (BEM, SMACSS, OOCSS,…)
Estándares web y problemas de compatibilidad entre navegadores y dispositivos.
Diseño adaptativo / responsive
Conocimientos de usabilidad
Diseño de interfaces de usuario
SaFe/Scrum


 Qué ofrecemos


 Contratación indefinida con Page Technology Services
Posibilidad de trabajar 100% en remoto
Excelente clima laboral
Desarrollo profesional
Salario competitivo en función de la experiencia aportada con las tecnologías descritas en la oferta
Beneficios sociales flexibles a través de la plataforma Cobee

",PostedPublicado hace más de 30 días,Contrato indefinido,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BN22iGN9GdmDx6mgynNRG_QdN7YQc6hKgiTdhpWXTOOCnpfb0yDOkGOb1QNi1Am65agFfC16cltWBimOlHSmMgQR-HM406lv_1tWVI1D1x6wG_EfkQDnpENv0GicThPpgz_XDhR4_vhsCb---XTqIJrEgXF4BBqOxzdiVCANN9KQMcGpV2aYVyUGT7CoA3no1YDzlvBe-O0fUO_Mhem8pK9s33_cNxCDExtaghcQUi4GByWjJg6Hw_r_prI7TeEfCu-EEkQ_fi5Ywn1JI3xoQkvXTXz4V_4dBwEl5Rd_1cOXzC_wD0lgX82pfCUF6T1ZV_qhMGZTyHpadnAiv_KED7iP8h3Xdxd-oC3wBV5fQsXuqdduypFSoOWH8a2p9RPxHHDxRzG1ZY76kVYzfDqjKK31TihIse7mq97E4x_m66W2-ICNdCTyl2PdDhe7Khc2ufXJldEgmMQD3tlHvZVivll1rX1svT4UPFxktFJYVTDXX-xD9eH8wpI0KvKRtZEA-wKEji2gNhI0svLPWYApSnkY9UnnI5407DE1HR-MxR3aciIVFGWugCghYIVug2vVrIL72V4fc9pJtuX4VJIxOgrkpMba710IlDkoUJtz64d56EaodrDPmwAIgAzTEz5OnGt4qWOnf9iL91Apb0ge_asTmyC6f8TRwNSo4oMurU0A==&xkcb=SoBp-_M3ZCkARkRr1J0IbzkdCdPP&p=3&fvj=1&vjs=3
Frontend Developer (Hybrid),Thales,"Madrid, Madrid provincia","
 Location: Madrid, Spain 
 Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billons of digital interactions they have with people. Our technologies and services help banks exchange funds, people cross borders, energy become smarter and much more. More than 30,000 organizations already rely on us to verify the identities of people and things, grant access to digital services, analyze vast quantities of information and encrypt data to make the connected world more secure. 
 Thales in Spain is a leader in technological solutions applied to Defence, Aeronautics, Security, Transportation and Space and, furthermore, is a global centre for excellence in Space, Security of Critical Infrastructures and Transportation. With a turnover of €320 million and a staff of 1,200, it exports approximately 40% of its total production principally to the Middle East, North Africa and Latin America. 
 
We are currently looking for a Front-End Developer to join our R&D team focused in developing and delivering Identity and Biometric Solutions! 

With the massive surge of electronic travel documents and national eID cards, Thales Digital & Security is supporting border agencies, government authorities and airports to exploit technology convergence to gain consistent, comprehensive border, visa management and document verification worldwide , that will: 

Deliver seamless travel with border control applications 
Offer convenience for travelers for fast and secure border crossing 
Improve border intelligence for detection and prevention, i ncluding some of the most disruptive new technologies like biometrics, machine learning, or micro services. 


What will you do? 

You determine the structure and design of web applications. 
You ensure user experience by making design choices and developing UX specific features. 
You strike a balance between functional and aesthetic design. 
You build reusable code for future use. 
You optimize web applications for maximum speed and scalability. 
You work with your team members in order to find the best solutions  

About You: 

You have at least 3 years in a similar role 
You have strong programming skills in JavaScript or TypeScrypt for Web applications 
You have previous experience with web tools and technologies (NodeSJ/NPM/HTML/CSS…) 
You have experience in Unit Testing, Integration and End-to-end tests 
You have experience using Reactive Programming to create solutions and layout frameworks as Bootstrap, Semantic UI, and Material Design 
You are fluent in English & Spanish  

Other (advantage) 

Previous experience in Agile environments (Scrum, XP); 
Understanding Event-Driven Programming (websockets, server-sent-events etc.); 
Experience working with Angular 6 or newer 


What do we offer? 

Flexible working hours. 
Intensive working days on Fridays and during August. 
Remote-friendly - 2/3 days a week working from home. 
Restaurant allowance and social benefits (health insurance, kindergarden). 
Free coffee on-site! 

Thales is a company committed to equal opportunities between women and men, and for this reason, we work to raise awareness and disseminate information on the subject both internally and externally 
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!
",PostedPublicado hace más de 30 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=60a3c2fd616b70dd&fccid=b920aab5fd60595d&vjs=3
Frontend Web Developer,Clluc,"28001 Madrid, Madrid provincia","
You will be responsible for our frontend architecture, deciding the future our apps. Isn't that great? :)
Must have:

You have a solid knowledge about JS (inheritance, scoping, closures, design patterns...).
You have strong experince with HTML5, CSS3 and CSS preprocessors.
You know testing tools and how to use it correctly (under your leadership).
You are concerned about writing clean code. You care about code quality.
You are a familiar with concepts like Agile, Devops, Extreme Programming and TDD.
You master Git, and some proven workflow like Github Workflow.

Salary: 37.000€ - 42.000€ /Year
Write us if you are interested. Send us your Github, Linkedin CV where we can see what you do. Tell us what interesting things you make :)
",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=fc954e835455d188&fccid=cc3e58070d7f009e&vjs=3
Frontend Developer (Remote),BrandBastion,Teletrabajo,"
This is a remote position open across European time zones (GMT 0 - GMT 4)

 Do you want to work with cutting edge technologies in an agile, fully remote environment? Do you want to be part of a Social Media revolution, fighting hate speech, racism and fraud every day? Then you may be our new Frontend Developer!

 BrandBastion transforms the way brands deal with social engagement. Our proprietary technology automates the management of millions of social interactions every day, while maintaining the personal quality of one-on-one conversations. Our solutions provide global marketers and clients with powerful metrics to optimize their internal strategies. Follow the Solutions tab at Brandbastion.com to see what we do for our clients such as Netflix, Uber, NARS and more.
 Requirements: 
 

Production experience with React and Hooks (useState, UseEffect, useCallback..etc)
 Experience with State Management ( Redux, MobX ..etc)
 Experience in Asynchronous Programming or Reactive Programming
 Production experience with TypeScript
 Worked with UI libraries as Bootstrap, Material or AntDesign
 Experience with a toolchain as Create React App
 Experience with Restful API
 UI/UX prototyping, usability, responsive design, automated testing
 Good team communicator and collaborator in English

 What you will do: 
 

Be actively involved in architecting new services and products together with our core team
 Work on building real-time web applications with a focus on performance, usability and user experience
 Build solutions that fight racism, hate speech and fraud on Social Media.
 Be proactive and up-to-date with the latest changes in the industry
 Share our values: focus on execution, adaptability and agility, knowledge above hierarchy, self-drive and constant improvement.

 Benefits: 
 

Work with the latest technologies
 Impact the Product Roadmap
 Opportunities to grow your career in a new and expanding field
 Work with some of the world’s greatest and most innovative brands
 Receive immediate responsibility for everything you do and the freedom to get creative
 4 weeks paid holidays

",PostedPublicado hace 3 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=1b5bcb238bd92926&fccid=ba104d55d73800fd&vjs=3
FRONTEND DEVELOPER,Aratech,"Teletrabajo in Barcelona, Barcelona provincia","Descripción 
Somos ARATECH, Lifestyle Technology 

 Nuestro objetivo principal es proveer servicios informáticos de última tecnología a nuestros clientes. La innovación, creatividad, transparencia, capacidad de adaptación, atención al cliente y vocación de servicio son las características de nuestro equipo. 

 El grupo de profesionales que trabaja en ARATECH tiene como misión ofrecer las mejores soluciones a nuestros clientes trabajando junto a ellos en su Transformación Digital para proveer del mejor asesoramiento estableciendo una colaboración estrecha. 

 Actualmente buscamos un Fullstack Developer para formar parte del equipo interno de nuestro cliente AMAC Automotive . Necesitamos una persona proactiva con capacidad de trabajo en equipo y ganas de compartir y asumir nuevos retos. 

 ¿Qué te ofrecen? 

 Incorporación inmediata con contrato indefinido a un equipo en crecimiento. 
Desarrollo profesional personalizado (Plan de formación) 
Formación técnica y competencial a cargo de la empresa. 
Participar en proyectos con tecnologías punteras en ámbito nacional. 
Jornada de teletrabajo con posibilidad de ir a la oficina 
Requisitos 
Amplia experiencia en desarrollos con JavaScript moderno, React, React Native y Redux. 

Conocimiento de los fundamentos de la plataforma web: HTML, CSS, SASS y styled-components. 

Experiencia trabajando con API basadas en REST: nuestro back-end está desarrollado con Ruby on Rails 
Habilidad en la creación de tests unitarios para componentes. 
Conocimiento del uso de herramientas CI/CD, como GitHub Actions. 
﻿ 


Se valorará positivamente:
 Conocimientos de BBDD PostgreSQL y/o MySQL. 
Conocimientos de funcionamiento/administración de Heroku. 
Conocimientos básicos de Redis. 
Conocimientos en plataformas Azure y AWS",PostedPublicado hace 1 días,Contrato indefinido +2,,https://www.indeed.com/rc/clk?jk=91576b44bfa23bc7&fccid=770f2d3ce22600b7&vjs=3
Web Developer (PHP),Varadero Software Factory,"Madrid, Madrid provincia","






¿Buscas nuevos retos?

 En Varadero Software Factory estamos creciendo y, ¡ampliamos nuestro equipo!  Concretamente, estamos buscando desarrolladores web PHP que tengan ganas de embarcarse en un nuevo proyecto estable y de futuro con nosotros, trabajando directamente en nuestras oficinas, sin intermediarios.  Trabajamos bajo filosofía startup, por lo que buscamos personas amantes del trabajo en equipo, colaboradoras, inquietas y con ganas de aportar nuevos enfoques e ideas. Si aceptas este reto, tendrás la oportunidad de trabajar en un entorno casual, donde estarás como pez en el agua y podrás compartir tus inquietudes tecnológicas con el resto de compañeros, con un contrato estable y un horario donde trabajamos para vivir, no al revés.






 PHP, JavaScript
 BBDD MySQL
 Web Services, XML, JSON
 Laravel, Symfony
 GIT o SVN











Buscamos que cumplas los siguientes requisitos:





 2 años de experiencia en programación PHP (backend)


 Habituado a realizar integración de interfaces en HTML, CSS y JavaScript realizadas por el equipo de maquetación


 Diseño e implementación de consultas MySQL complejas y con grandes volúmenes de información


 Experiencia realizando test unitarios y asegurando el rendimiento y seguridad de tu trabajo


 Muchas ganas de aprender y aportar tus ideas


 Ciclo Formativo de Grado Superior o similar


 Familiarizado con sistemas de control de versiones (GIT o SVN)










 Serás el candidato ideal si, además:



 ¡Te encanta programar!


 Tienes conocimientos de frameworks de MVC como Laravel, Symfony, CakePHP, Codelgniter o Zend


 Defiendes y eres un apasionado de la metodología SCRUM


 Tienes capacidad de abstracción y pensamiento lógico


 Tu actitud es fresca, con un punto friki y eres un apasionado de las nuevas tecnologías


 Eres autodidacta y te encanta asistir a meetups y eventos de la comunidad


 Nunca dejas de aprender








 Ofrecemos



 Estabilidad: Tendrás contrato indefinido desde el primer día


 Participar en proyectos para clientes de referencia en el ámbito nacional e internacional


 Buen ambiente de trabajo y trato cercano


 Trabajo On Site, en nuestras oficinas, arropado por todo nuestro equipo


 Oportunidad de desarrollarte profesionalmente según tus aptitudes


 Salir a tu hora y disfrutar de la vida. (¡De verdad! ¡Lo hemos conseguido!)








 Únete a varadero
 Si estás interesado, envíanos tu CV a rrhh@vsf.es con la referencia: OFE-DEVELOPERPHP  El envío de tus datos implica la aceptación de nuestra política de privacidad.




",PostedPublicado hace más de 30 días,Contrato indefinido,,https://www.indeed.com/rc/clk?jk=ef80eef2cdd7f0b5&fccid=4b36cdb472605370&vjs=3
Business developer Junior H/F,Carrat,+1 ubicaciónTeletrabajo,"








Missions








         Presentation of the company: Carrat is a company that develops protection solutions against violence or aggression committed against women.
         Our mission is to protect, through technology, the women using our products.
         Our flagship product is the connected bracelet, which allows you to quickly and discreetly call for help by clicking on it.
        
 Before applying for the offer, please consult our ""My-carrat"" site, in order to fully understand our mission and our product.
        
 Responsibilities:
        
 Work with CEO and SVP of US Operations to establish and deliver on a strategy to land new customers and expand existing accounts, driving customer success and predictable year-over-year ARR growth
         Utilize existing connections to identify strong leads at potential enterprise accounts
         Follow up on marketing qualified leads (MQL) generated through email campaigns and web forms
         Collaborate and provide feedback to marketing on MQL quality and messaging
         Develop and maintain a strong working knowledge of the GaitBetter technology
         Deliver high-quality motivational sales presentations to prospective clients
         Manage overall sales process and update and maintain all opportunities; follow on activities in company CRM
         Accurately forecast quarterly sales
         Efficiently hand off deals closed to implementation and clinical success
         Maintain key customer relationships and develop and implement strategies for expanding the company’s customer base
         Participate in local and national conferences
         Able to travel as needed (<25%)
       







",PostedPublicado hace 2 días,Contrato indefinido,,https://www.indeed.com/rc/clk?jk=193efe810da8fc74&fccid=b2d459c9abc6174c&vjs=3
