job_title,company,location,job_summary,post_date,more_info,salary,job_url
Självlärd/junior Webbutvecklare (HTML/CSS),WebbEss Sverige AB,Nacka,"

Är du ett Ess på HTML/CSS? 
Vi söker dig som har erfarenhet av att bygga snygga hemsidor, antingen på fritiden eller från ett tidigare uppdrag. Är resultatinriktad, älskar att koda och jobbar bra under tidspress. 

   Heltid Nacka Strand
  


 Arbetsbeskrivning
Dina arbetsuppgifter innefattar mottagande av material i form av text och bilder från kunder som önskar uppdatering av deras hemsida. Detta gör du i vårt egna CMS där du skriver och uppdaterar HTML/CSS för att lyfta fram kundens innehåll på bästa sätt. 
Vi söker dig som:

Behärskar HTML/CSS
Har erfarenhet av att bygga snygga hemsidor, antingen på fritiden eller från ett tidigare uppdrag
Är resultatinriktad, älskar att koda och jobbar bra under tidspress.
Behärskar svenska och engelska obehindrat i tal och skrift.

Meriterande:

Erfarenhet av JavaScript (jQuery)
Adobe paketet
Designöga

Vad vi erbjuder

Ett arbete som är stimulerande där du får möjlighet att styra över din roll och växa tillsammans med oss och påverka bolagets utveckling.
Vassa kollegor som är experter inom sina områden.
Arbete på kontorstider med flextid.
Fräscha lokaler i Nacka.

Tjänsten är på heltid med start omgående eller snarast möjligt. Som junior webbutvecklare hos WebbEss kommer du få möjlighet att arbeta med tusentals kunder förutom att du även kommer att utveckla dina kunskaper inom frontend och webbutveckling. Låter det spännande? Vi arbetar med löpande urval och ser fram emot din ansökan redan idag! 
Glöm inte att skicka med CV, personligt brev och gärna portfölj på tidigare projekt. 
Om WebbEss 
Vi satsar på att skapa Sveriges bästa arbetsplats och bli #1 partner för företag som vill slippa sköta webben själva. Detta kräver att vi har mycket energi och jobbar hårt. För att nå vår vision måste vi även ha väldigt roligt och högt i tak. Detta är något som är oerhört viktigt för oss då vi vill att man ska se fram emot att gå till jobbet efter helgen!

",PostedPublicerad för 10 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=051743ae07c586f2&fccid=d4a34766fc50e1dc&vjs=3
Junior Web Developer (Internship),Mobilizing Expertise AB,Lund,"
This is an un-paid position and we expect you to have a Erasmus Plus grant or you are doing this as a way to complete your studies. Join us at Mobilizing Expertise and allow your skills in web-development have a social and postive impact on the most vunerable people.
 Their primary role is to learn the codebase of our websites - most are Wordpress based that we create for international project and partners for educational and social inclusion projects.
 Attend design meetings with international partners and staff members
 Write basic code, fix bugs, and assist the Technician Team Manager in all web design-related tasks.
 We expect you to have some if not all the following knowledge;

 1. HTML, CSS, & JavaScript.
 HTML.
 CSS.
 JavaScript.
 Responsive Design.
 JavaScript Frameworks.
 Testing and Debugging.
 Web Performance.

",PostedPublicerad för 2 dagar sedan,Praktik,,https://www.indeed.com/rc/clk?jk=96f4c09b9552b607&fccid=e54374df05551f6f&vjs=3
Web Developer,Volvo On Demand,Stockholm,"
At Volvo Car Mobility, we help our users to move more freely, meaningfully, and sustainably. We are currently hiring a Web Developer to join our friendly team in delivering modern and optimized web products to our customers.
 Our organization is composed of product areas where each area is responsible for a slice of the product we build and a set of systems. As a member of the product area, you are involved in designing, developing and testing our product. In our daily work, we all celebrate integrity and trust.
 We use the latest tools and languages to build our app and deliver a great experience to our web users. Every day, scalability is at the heart of our reflections for the product.
 Your engagement here will include but won't be limited to:
 As a Web Developer, you will be working with a number of different programming languages and frameworks (TypeScript, Elm, React, Vue and GraphQL), depending on which team you are in.
 Together with the team, you will contribute to keep a healthy and consistent codebase with flexibility to scale our apps. We like the way a strongly typed language helps avoid mistakes and improve the quality of our systems, and how it gives you a sense of control and security.
 A typical week is organized around the ceremonies and product development in your home team. We value and allocate time for your learning experience and we spend time together with other web developers to share and work cross-team.
 You show experience with most of the following...

HTML and CSS
TypeScript or JavaScript
Willingness to learn and a passion for new technologies
Having worked in agile environments
Working creatively with others to find solutions together

Extra awesome if you have...

Experience of growing and improving code over time
A willingness to occasionally contribute to our Kotlin-backend
Experience with GraphQL

We offer a wide range of benefits designed to enhance your working life at Volvo Car Mobility:

Pension & compensation. You'll be looked after with Collective Agreement and ITP pensions.
Learning & innovation. Involving lunch & learns and a generous annual education budget.
Tools & equipment. From laptop to phone and more, you'll get the gear you need to do your best work.
Discounts & offers. On driving with Volvo Car Mobility and Hertz as well as for eating and shopping at MOOD.
Health & wellbeing. Including a 5 000 SEK annual allowance to spend, and private health insurance.
Parental support. Plenty of leave lets you take time off for what's most important.

Meet the team on our career page.
 At Volvo Car Mobility, we believe that a diverse and equal working environment is essential for the well-being and development of our co-workers. We strive for a well-balanced representation of gender and ethnic identities at every level of the organization. In this way, we hope to create an open-minded, smart, and enjoyable workplace.
 Does this sound interesting to you? Then we are looking forward to your application in English!
 If you have any questions, you are welcome to email us at careers@m.co. Note that due to GDPR, we do not accept applications via email.
",PostedPublicerad för 1 dag sedan,,,https://www.indeed.com/rc/clk?jk=1ff11ab9bc4a0661&fccid=26d309fdf4422655&vjs=3
Web Developer,Greenpeace International,Distans,"
Permanent* / full time

offered on a 12 month contract basis initially, with possibility of extension / move to permanent contract.

 Location: The successful candidate may be based in a country where one of the independent National/Regional Greenpeace organisations (NRO’s) is located ( subject to agreement). See the locations here. We offer competitive NGO level salary and benefits, the specifics of which depend on location where the successful candidates will be based. We aim to share this information with candidates before reaching the offer stage.

 Greenpeace is a global campaigning network. It comprises 26 independent National/Regional Organisations and a coordinating organisation, Greenpeace International. Greenpeace uses peaceful, creative confrontation to expose global environmental problems and develop solutions for a green and peaceful future.

 Greenpeace International is looking for a Web Developer to combine proven backend and frontend expertise witha real drive to embrace new opportunities, pick up new knowledge and skills – and help deliver winning solutions.Playing a vital part in our Technology Department, you will be responsible for developing, reviewing, testing and deploying our websites, themes and plugins, as well as for supporting end users and resolving bugs. Our ultimate purpose is to enable the Greenpeace network to win campaigns faster, empowering all our teams to have their greatest impact, and ensuring that our relationship with technology and data reflects our values and our mission.

 In this role you will:

 Write well designed, testable, efficient code by using best software development practices.
 Integrate data from various external services and databases.
 Develop enhancements and resolve bugs as part of the product release lifecycle.
 Design and develop scripts to allow data migration and integration with other systems.
 Identify performance bottlenecks, proposing and implementing solutions.
 Build cross-browser solutions optimized for mobile devices.
 Interact with volunteer developers who contribute code to our open source projects.
 Work in an Agile environment using Scrum methodology.
 Participate in the design of new features and change requests and discuss technical feasibility.
 Write documentation to facilitate collaboration and maintenance of the platform.
 Make decisions related to code architecture and technical approach.
 Create, deploy and maintain automation tools to streamline development, testing, deployment and monitoring processes.
 Write functional and unit tests in order to prevent regressions.
 Review 3rd party themes and plugins and make integration recommendations.
 Release code to the staging and production environments.
 Assist with end user technical questions and troubleshoot new issues.


 For further details about the role, please see the full job description HERE.

 What we’re looking for:

 Several years’ experience with web development in high traffic environments.
 Exceptional skills with backend (e.g. PHP) and frontend (e.g. HTML, CSS, Javascript) web technologies.
 Experience with frontend frameworks, such as React.
 Experience with testing methodologies, test driven development and automated testing.
 Experience building or extending themes in templates languages.
 Experience with automation tools and build systems (eg. composer, webpack).
 Experience with performance testing and tuning.
 Experience with development tools such as Git and Docker.
 Strong knowledge of web usability standards and cross-browser compatibility issues.
 Fluency in English, both verbal and written, and preferably one other language.
 Ability to thrive in a remote-only, culturally diverse team, and to learn new methods and technologies.
 demonstrated commitment to Greenpeace goals and values

What you can expect:

 You’ll be working in the team that is building the software powering Greenpeace.org websites. It’s being developed on top of Wordpress and it’s using open source principles. This Medium publication is the central hub for news, updates and insights into the project.

 You’ll be encouraged to develop both personally and professionally, taking advantage of the wide range of learning and development opportunities available to our staff. Staff can also access our wellness initiatives, such as yoga and meditation and also have the opportunity to join our global Equity, Diversity & Inclusion staff communities.

 Please visit the careers site here, to learn more about working for Greenpeace.

 To Apply
 If you share our vision, please click 'apply for this job' below, to begin your application.


 To apply for this role, we require you to answer a selection of key criteria and upload your CV (in English) via our online application form.


 Addressing the key criteria is an important part of your application. We will be looking for evidence that demonstrates your skills and experience in these areas. Use examples where possible, to draw attention to experience, knowledge, achievements and skills gained in past employment or voluntary/leisure activities, provided they are relevant to the post.


 It’s advisable to prepare your responses to the key criteria before starting your online application, as you are unable to save and return to it at a later date.


 If you have any questions about this vacancy or the application process, please email us at recruitment.int@greenpeace.org. Please note that all applications have to be filled out via the website and can't be submitted via this email.


 Greenpeace International is an equal opportunity employer with a longstanding commitment of providing a work environment that respects the dignity and worth of each individual. We recognise and value the benefits and strengths that diversity brings to our employees and the whole organisation and we thrive in an environment that encourages respect and trust. We do not discriminate in employment opportunities or practices on the basis of age, ancestry, citizenship, colour, disability, ethnicity, family or marital status, gender identity or expression, national origin, political affiliation, race, religion, sex, sexual orientation and would like to invite you especially to apply!


 CLOSING DATE: 7th of August 2022 23:59 CEST
",PostedPublicerad för mer än 30 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=ec5d2be16bf81de3&fccid=90e76523f381a89c&vjs=3
"Web Developer, Östersund, Helsinki, Lappeenranta or Oulu",LeadDesk,Östersund,"
Web Developer (Engineering team)
 LeadDesk keeps growing and we need more skillful people to help us serve a growing customer base as well as speed up the development of new functionalities. We are now looking for a Web Developer to join our Engineering team in Östersund (Sweden), Lappeenranta, Helsinki or Oulu (Finland). 
What does a Web Developer do at LeadDesk? ‍ ‍
 As a Web Developer, you will be a part of our Engineering team of 40 people. We have engineering team members throughout the Nordics, but your closest colleagues will be in Östersund, Lappeenranta, Helsinki or Oulu. This team is spread in those four locations, so you can choose whichever location is more convenient for you.

 Your working routine will include the development of our core product as well as special projects. The core product tasks consist of developing new features, documenting and discussing your work, reviewing code, and helping fellow colleagues in solving problems. You will also get to demo the features you have built to others. Special projects for our customers can be for example additional features or special integrations. The team works with the Scrum method in two-week sprints.
 Besides your developer teammates, you will work closely with the product owners, a UX Designer, and testers. We hope that you are also able to pitch into the discussions on how some features should be implemented or how quality assurance issues can be solved.
 After the first 6 months, we expect you to have a good understanding of our product, our processes and know the key stakeholders you are working with. After that, you will be able to work independently and many of the features you have been developing are already in production.
 Job duties briefly: ️
 Full-stack development. The main focus is on the back-end.
 Developing high-quality code and working with testing related issues
 Figuring out best practices for how things should be solved
 Creating solutions for the needs presented by the Product team and/or our clients, Customer Success, Support, or Sales teams.
 To succeed in this role, we see that you need to have:
 2+ years of working experience with development tasks. Experience in building a Saas product that is used by lots of people is a great plus.
 Ability to work with both back- and front-end tasks, with an emphasis on the back-end. You will also need to have an understanding of databases and be able to consider both security and performance issues.
 Solid work experience with PHP and SQL. We use mainly MySQL and PHP7.
 Familiarity with some front-end technology. For new development, we use mainly React, Redux, Javascript, and Typescript.
 Good communication skills in English. You will need to be able to document, present, and discuss your work with your teammates and other stakeholders. No Finnish skills needed!
 Why join LeadDesk?
 We will support your development! At LeadDesk we know that keeping up to date with what is happening in the field is crucial for company success. So we also want to support our employees to constantly develop themselves. You can do this via participating in different events and/or conferences as well as online training and learning from each other inside the team.
 Endless opportunity to learn and develop as a versatile professional through your work as well. We are quite a small team, so you will get the chance to take part in a variety of development tasks using different technology. We can say with confidence that you will broaden your technical skills!
 The opportunity to influence your own role and responsibilities. It is possible to take more responsibility and ownership for certain features or areas of the development process.
 With us, you can experience the best of both worlds – the stability of an already stable, publicly listed company but also the possibility to influence things and take responsibility for your work often associated with start-ups.
 Inspiring company events like annual Kick-Off event abroad & other happenings throughout the year.
 Last but not least - THE PEOPLE of LeadDesk. You will be a part of the international (over 10+ nationalities) talented, and the ambitious group that supports and helps each other!
 Basic information about the position:
 Start day: According to agreement
 Working hours: Full time
 Employment period: Permanent
 Salary: According to agreement
 Place of work: Östersund, Helsinki, Lappeenranta OR Oulu
 How to apply: 
We are continuously screening and contacting candidates and will fill the position as soon as we find the right person. Could it be you? Great! – We can’t wait to meet you! Let us know about yourself rather today than tomorrow.
 Apply with your CV or with your LinkedIn profile as soon as possible.
 If you have any questions about the position, don’t hesitate to contact Laura from our Talent Acquisition team.
 Laura Honkanen: phone +358 40 921 0809, email laura.honkanen(at)leaddesk.com

 About us: 
LeadDesk is the Software behind Sales and Customer Service Superstars. We believe that happy agents are the key to better business.
 We are a listed growth company. Currently, we are the market leader in the Nordics - aiming next to be the market leader in Europe. We are well on the way and already have over 20 000 happy agents in 34 different countries making millions of contacts every day.
 LeadDesk is a company with a truly international vibe - we have 12 offices in eight different countries (Finland, Norway, Sweden, Denmark, Germany, Spain, the Netherlands and France) and over 10 different nationalities working at our Helsinki headquarters alone.

Candidates for this job vacancy may be subject to background checks. By sending your application, you consent to having your background checked during the recruitment process for criminal convictions.
",PostedPublicerad för mer än 30 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=b6d8fc19280823d0&fccid=7ae0fcdb21a9d81a&vjs=3
Frontend Web Developer - Unit 2 Games,Meta,Distans,"Unit 2 Games is an award-winning, Meta-owned games studio based in Leamington Spa, UK. We were formed in 2017 to build Crayta - our dream to make game creation accessible to anyone and everyone. We are looking for a Frontend Web Developer to join our publishing team and work on the UX and presentation layers of all of our public-facing websites. 


Frontend Web Developer - Unit 2 Games Responsibilities:  

Work with the Publishing Team to capture requirements, design, plan, and implement new pages and features across all of our websites (crayta.com, play.crayta.com, create.crayta.com, developer.crayta.com, api.crayta.com)
 Working with the UI team to maintain a consistent design language across the game and web
 Create and infer UI assets from key art and other references
 Identify and address performance bottlenecks
 Maintain and perform upgrades to our sites
 Ensure responsive design practices are adhered to at all times




Minimum Qualifications: 

 Experience with Docker, npm
 Experience with React
 Experience with Adobe Photoshop and other Adobe Creative products
 Knowledge of JS and Typescript
 A strong visual eye for composition and layout
 Experience with git version control
 Experience with Wordpress, including maintaining and customizing plugins
 Knowledge of HTML, CSS and SASS preprocessor
 Experience building web applications
 Knowledge of static site generators such as Jekyll

",PostedPublicerad för 23 dagar sedan,,,https://www.indeed.com/rc/clk?jk=2e7bcd3fe6614381&fccid=ba07516c418dda52&vjs=3
Web Developer (WordPress),Adventrum,Distans in 115 22 Stockholm,"
We are looking for a highly motivated and experienced WordPress Web Developer to join our team! 
As our Web Developer, you are comfortable with both front-end and back-end, especially in container-based microservice infrastructure. 
One of your primary responsibilities will be agile planning, architecture planning, and acceptance criteria. 
You will be working with our creative and hardworking team to push the company forward by writing and maintaining efficient and scalable code. Our team members constantly face unique challenges that make it fun to work every day! This position will be 100% remote. 
What will you do as our WordPress-Web Developer?

Work closely with our remote QA team to ensure that all sprint initiatives are delivered within agreed timeframes and scope.
Assist the management team in creating business cases and project documentation, including requirement specifications, success metrics, and wireframes where applicable.
Assist the Site Manager in prioritizing new work and backlog grooming and proactively researching and identifying new opportunities and innovations. 
Work collaboratively with our remote development team to identify and execute multivariate tests and experiments to improve user experience and conversion rates.

Infrastructure

Container-based cloud microservices (go, node, python, PHP, bash)
Cloud-based managed SQL databases
Google Cloud Storage
BigQuery
Looker

Requirements

3+ years experience working in a WordPress web development role.
Highly skilled and experienced with Atlassian web development and project management platforms (Confluence, JIRA, BitBucket).

Working Conditions

Full-Time Job
Monday-Friday 40 hours per week
Flexible working options
Resident in EU
Fluent English

Adventrum’s Benefits

30 paid vacation days a year
Annual Performance Bonus
Generous Pension and Insurance benefits
Brand new laptop and smartphone.
Generous Health Subsidy benefit
Exciting company events and Aw’s

At Adventrum AB, we are committed to protecting and respecting your privacy. Data provided will be strictly used for the matters of the recruitment process with Adventrum AB.

",PostedPublicerad för mer än 30 dagar sedan,HeltidMåndag till fredag,,https://www.indeed.com/rc/clk?jk=e07e3f48d23872bd&fccid=88ea73d9657bf0de&vjs=3
Web Developer,Trustly,Stockholm,"


About Trustly


    At Trustly, we’re passionate about payments – our mission is to revolutionise the way people pay and get paid online (that means goodbye plastic rectangles and 16-digit card numbers).
  

    We’re a licensed payment institution and our B2B products available across Europe, North America and Australia attract global merchants in segments such as e-commerce, telecom, travel, financial services and gaming.
  

    We’re a diverse and fast-growing team with our headquarters in Stockholm, Sweden, and 9 additional offices across Europe and North America. Together, we’re taking the payments industry to a whole new level – sound interesting?
  


 About the Marketing Department at Trustly


    We’re a tight-knit group of creative minds based in Stockholm and Malta, working closely together to put Trustly at the forefront of the payments industry. We plan and attend industry events, keep our ears to the ground with market research and collaborate with partners to launch campaigns (and so much more).
  

    As part of the Digital Growth & Marketing team, you’ll have your fingers in many web development-related pies, focusing on initiatives and projects that stimulate marketing growth. You’re a born multitasker with the ability to work on a number of projects simultaneously in collaboration with other top-notch developers and designers – both in-house and externally.
  


 About the role


    We’re looking for a front-end developer, preferably with some back-end experience, who can help oversee multiple channels including our main website, partners’ portal, email marketing channel and other micro-sites and services. Previous experience working in an agile digital team at a web design agency (or similar) is preferred.
  

    You’re an ambitious individual with a desire to build the next generation of web experiences, helping us discover new technologies and solutions. As part of the global owners of the CMS, you’ll have an important role to play alongside stakeholders from local offices, as well as our North America team.
  



Who you are:


 3+ years of experience as a Front-end developer.
 Front-end experience within HTML / HTML5, CSS3, SASS, JSON and JavaScript frameworks i.e React, Vue.js or Angular.
 Back-end experience within Java, SQL, NoSQL is an advantage but not required.
 Experience in building public-facing responsive websites, web apps and CMS development and exposing functionality through an API.
 Knowledge in semantic Web and in Version Control using Git, GitHub.
 Experience in web development architecture and Interactive web development
 Comfortable working independently and with a solution-oriented mindset
 Organised with strong time management and estimation skills/experience (i.e. ability to give and stick to a timeline/estimate)
 Excellent written and verbal communication skills in English
 Comfortable in conducting code reviews and contributing to coding standards
 Interest in web design and experience of close collaboration with designers / creatives is a bonus





",PostedPublicerad för mer än 30 dagar sedan,Heltid,,https://www.indeed.com/rc/clk?jk=19c8a5a17f176d94&fccid=26c16076c8b589a8&vjs=3
Webbutvecklare,Fröjd,Distans in 113 21 Stockholm,"
Fröjd söker en webbutvecklare!
 Vi söker dig som har minst ett års erfarenhet av att arbeta som professionellt webbutvecklare, och som vill jobba i team med designers och andra utvecklare för att skapa grymma digitala upplevelser för våra kunder. Det som är viktigt för oss är inte att du är fullärd, utan att du har en positiv attityd och ett intresse för att lära dig nya saker.

 Vi tror att du:

 Har jobbat professionellt webbutveckling
Har erfarenhet av att jobba med någon CMS-plattform, vi jobbar bl.a. med WordPress, Epi (Optimizely), Wagtail. 
Har ett nyfiket sinne och är intresserad av att sätta dig in i nya språk och plattformar

 Det är lite extra bra (men inget krav) om du:

 Har öga för känsla och detaljer när man går från skiss till verklighet
Har koll på Javascript - React, Vue eller motsvarande tekniker


 Vi erbjuder dig:
 En öppen kultur där variation är en del av vardagen. Du får möjlighet att testa olika tekniker i olika typer av projekt inom olika branscher. På Fröjd jobbar idag 12 prestigelösa utvecklare som alla gillar att dela med sig av sina kunskaper och att lösa utmaningar tillsammans.
 Vi tycker det är viktigt att man som anställd på Fröjd lyckas lägga sitt livspussel på ett bra sätt och har därför flexibla arbetstider och erbjuder möjligheten att jobba hemifrån om man föredrar eller behöver.
 Vi tycker att lärande är en stor del av jobbet och därför jobbar vi aktivt med kompetensutveckling genom Code Reviews, Interna workshops och konferenser. Vi älskar open source och att dela med oss av våra lösning på GitHub (https://github.com/frojd). Som nyanställd utvecklare på Fröjd får du handledning av en mentor, och vi lägger stort fokus på att på ett tydligt och bra sätt introducera dig till våra arbetssätt och tekniker.

 Om Fröjd
 På Fröjd tror på vi på magin som skapas när affärsförståelse, kreation och teknik möts och vi vet att det är medarbetarna som gör oss till en riktigt grym digitalbyrå. Vi tycker att organisationer styrs bäst inifrån och är därför självständiga från externt ägandeskap och så skall det förbli. Just nu växer vi så att det knakar och hoppas att du vill vara med på resan: Är du nyfiken, vill utmanas, jobba i team och lära nytt hela tiden, då kommer du att gilla att jobba på Fröjd. 
Varmt välkommen med din ansökan!
",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=a3c05b57da2dc43f&fccid=02ddf5ef8423fcba&vjs=3
Web Developer,Axis Communications,Lund,"








         Job Title
        






 Web Developer
 

   Job Description
 

 Have you worked as a web developer for a year or two? Do you want to work with web development in a global context with extra everything? Come join our team in Lund!



   Who is your future team?
 

   Our team consists of both junior developers and those who have been involved in building the web since 21st century, which means that there is plenty of experience here. At the same time, we are excited to see how you can contribute, with your own ideas and initiatives.
 


   What you’ll do here as a web developer?
 

   As a developer at Web / UX, you work closely with many other parts of Axis to create an understanding of the business needs. This means that you will have a lot of contact with stakeholders from different parts of the organisation.
 

   In addition to the daily operations that consist of maintenance, we constantly work in a number of smaller projects with specific focus areas, where we build new features or improve existing functionality. If there is an opportunity, we are more than happy to try new technologies, but with the reservation that the technology is of course the right tool for the task.
 


   Who are we looking for/Who are you?
 

   We are looking for you who like to work as a team and who have a great interest in web development. The important thing is that you are motivated, have drive, want to learn and to do a good job. As a person, you are open, curious and have a strong interest in technology. You are responsible and take the initiative and have the understanding and ability to see which tasks should be prioritized.
 


   For us, it is important to have a drive of our own and that the team together lifts up and inspires each other.
 


   We have recently added junior talents, so we are happy to see that you have some professional experience.
 


   We'd love to hear that you have/are:
 

 Familiar with CMS (we work with Drupal 8/9/10 and Wordpress)
 Developed web applications using PHP
 Are used to maintaining, reviewing your code and others
 Bonus points for experience with Docker, GitLab, NGINX, React



   What Axis have to offer
 

   Joining us you will get an exciting job together with fantastic colleagues in northern Lund. We provide opportunities to grow both in your role as a developer but also as a part of Axis as a whole.
 


   Ready to Act?
 

   Got what it takes? Apply right away!
 

   If you are curious or have any questions, please contact me,
 

   Petter Mattsson, on 0733-359419
 


   Type of Employment
  Permanent Employment
 

   Posting End Date
  2022-09-14
 

   About Axis Communications
 

   We enable a smarter, safer world by creating innovative solutions for improving security and business performance. As a network technology company and industry leader, we offer solutions in video surveillance, access control, intercom, and audio systems, enhanced by intelligent analytics applications.
 


   With around 4000 committed employees in over 50 countries, we collaborate with partners worldwide. Together, we thrive in our friendly, open, and collaborative culture and inspire each other to think beyond the expected. United by our commitment to inclusion, diversity, and sustainability, we consistently seek to develop our skills and way of working.
 


   Let´s create a smarter, safer world
 


   For more information about Axis, please visit our website 
  
   www.axis.com
  .
 

   Listen to 
  
   Get To Know Axis – Podcast
  


",PostedPublicerad för mer än 30 dagar sedan,Tillsvidare +1,,https://www.indeed.com/rc/clk?jk=d4cd2e526f34cc91&fccid=a1003a86bec42ff5&vjs=3
