job_title,company,location,job_summary,post_date,more_info,salary,job_url
Associate Web Developer,AKQA,London,"
AKQA Web Developers are inspired by technology and have a passion for creating innovative technical solutions.
 As a Web Developer, you will build websites and apps using web and industry best practices. You will provide accessible solutions whatever the device or input method. You will trail blaze new and innovative solutions using the latest browser-supported technologies, meeting clients' needs.
 You will love working in a team of highly skilled people, all with strong opinions about various technologies, frameworks and approaches to delivery. You will be able to articulate your ideas to your colleagues effectively and will take on board the ideas of others. You will thrive when faced with new challenges and will constantly look to improve clients' deliverables.
 Located in London, as part of the AKQA team, you will work in an environment that fosters a dynamic and meritocratic culture, surrounded by some of the brightest minds in their fields.


 ROLE REQUIREMENTS

Development experience with HTML5 / CSS3 / JavaScript
Knowledge of using object-oriented programming principles that apply to JavaScript
Knowledge of JavaScript unit tests and have an understanding of BDD/TDD
Experience of building websites using best practice techniques such as mobile-first, responsive design, progressive enhancement
Working knowledge of Continuous Integration servers
Experience with the following will be highly regarded: W3C website accessibility standards, JavaScript frameworks (React.js, Vue.js), search engine optimisation.
Git (GitHub link a plus)



 QUALITIES AND CHARACTERISTICS

A practical problem-solver, who explores both innovative and pragmatic solutions depending on the challenge
Personable presentation skills
Ensure a collaborative 'One Team' approach comprising both client and AKQA representatives
Aware of other technologies used in production of websites, and has knowledge of fundamental technologies used on internet and has a desire to learn and embrace the latest technologies.


 AKQA is committed to developing wellbeing and supporting life choices for our team. We provide an extensive range of benefits. To find out more click here.

 AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA's ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, color, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.
",PostedPosted 4 days ago,,,https://www.indeed.com/rc/clk?jk=9169e2ba1bc7e132&fccid=f3433a507ce87736&vjs=3
Senior Web Engineer,LUSH Cosmetics,Remote,"
Senior Web Engineer
 Salary Banding Senior: £50,000 - £75,000
 Diversify our future We are building a brand that represents the people of the world. It’s what you do that counts, and we are always looking to expand perspectives and voices to shape our future. We see you, we celebrate you, we want you!
 Who we are You might know us as the inventors of the bath bomb, but there’s more to this great-smelling, privately-owned and family-run company than pioneering cosmetics. We believe our business should put more back into the world than it takes and demonstrate that capitalism can be a force for good. We fight cruel practices like animal testing, promote regeneration, and show that what’s inside counts - whether that’s an ingredient in a product, or the minerals in a smartphone.
 We’re leading the digital strategy and development for Lush globally, across many digital properties ranging from apps to websites. We’re a fast-paced, dynamic team that are comfortable with rapid change and are happy talking about and demonstrating our work to the wider business and stakeholders.
 What you’ll do: As a Senior Web Engineer, you’ll work with cross functional teams including Digital designers, back-end engineers, QA test engineers, your Product Lead, Business Analyst, stakeholders and many more to create beautiful web experiences and help shape the strategy. You’ll be building everything from powerful web applications to performant websites.
 It goes without saying that you’ll have an appreciation of what makes a design work with up-to-date knowledge of the latest innovations within CSS and JS. As well as considering the architecture of every feature we are building as part of the bigger picture to ensure we are always considering the core web vitals. At Lush, we operate as a sociocracy, so autonomy is highly valued and excelling in self-management and self-development is desirable.
 Who you are: You’ll identify the opportunities to reduce complexity and componentise code and be familiar with working with APIs, building for failure and hostile conditions. The majority of the sites and applications you’ll be working with are built using React, so 2 years of demonstrable commercial experience with it would be required.
 We want to see developers who are well versed in using tools/technologies such as:

React
Next.js
Node
GraphQL/Apollo
API-first solutions and integrations
Styled components/Styled System/SCSS
Jest, react-testing-library
Sketch/Figma
Webpack, npm, git
Project management tools; Jira
Express

 Bonus knowledge:

Internationalisation at scale
Web accessibility
CI / CD
Docker
Microservices based architectures

 As a Web team, we value developers who have the ability to communicate the benefits of technical solutions to non-technical project stakeholders effectively. We’re looking for someone who is comfortable mentoring others, but also keen to learn from their colleagues.
 What’s it like working for Lush People are at the heart of our business. We want you to enjoy and challenge yourself, build a career, and teach us what we don’t know, so we’ve created a culture where your job description is a starting point, not an end goal. Our working style is flexible, fluid, supportive, and authentic - if you’ve got the drive to push yourself and try different things, you will have our support.
 As we pride ourselves on internal development, priority will be given to candidates who have an in-depth knowledge of Lush coupled with the relevant experience and qualifications.  You can find out more about Lush Digital here - https://weare.lush.com/lush-life/our-company/we-are-digital/  If all this sounds like you please send us your CV and covering letter, detailing why you would be a perfect fit for the role along with your current salary and expectations.

 Employee perks: 50% discount on Lush products and spa treatments Profit-based bonus Pension scheme Day off for weekday birthdays Flexible working hours. Work life balance. Holiday purchase scheme Optional office spaces to work from in Soho, London and Poole, Dorset. Cycle to work scheme Discounted rail and bus season tickets The latest tech and whatever you need to do your best work. Training budget Employee assistance programme 6 months’ full pay for parental leave (primary caregiver) Financial childcare support on return to work Flexible working Optional in office support groups, film nights, yoga and meditation sessions and more...
",PostedJust posted,"£50,000 - £75,000 a yearPermanent","£50,000 - £75,000 a year",https://www.indeed.com/rc/clk?jk=7e535879fef651f2&fccid=0de01f2ba89cfd39&vjs=3
Web Developer,Canonical,Remote in Douglas,"
Our mission is great open source
 It is our mission to make open source software available to people everywhere. We create world-renowned software, impacting the lives of millions of people every day.
 The web team works in a multi-disciplinary environment with visual designers, UX designers and other developers to bring exciting new web projects to life. We help and learn from each other and constantly strive to improve both our work and our processes.
 Required skills and experience

Demonstrable experience of work on modern web applications
A strong understanding of HTML, CSS with SCSS and JavaScript
Experience with Javascript components libraries
Experience with TypeScript
Experience with responsive user interfaces for a wide range of devices and browsers
Experience with Git or other version control systems
Awareness of SEO best practice
Consideration of accessibility in all aspects of your work
A strong understanding of web performance in complex user interfaces
Ability to interact with UX, designers and server-side developers
Curiosity about technology and a thirst to learn
Based in EMEA timezones (Europe, the Middle East and Africa)
University degree or equivalent education

Useful experience if you have it

Familiarity with Linux desktop technologies
Server-side languages, such as Python or NodeJS
Experience working on a large scale React (with TypeScript) project
A history of open source contributions
Relevant work experience

Who you are
 We want a Web Developer who loves what they do. You are passionate about web standards and keep abreast of new developments in our industry. You always look for opportunities to improve your skills. You like to show off what you're working on and also learn from others. You have strong attention to detail and value the design of a product as much as you value the code. You have strong communication skills and maybe even blog once in a while. You're aware of the latest CSS techniques but also know the limitations that developing for a broad audience can bring - actually, you embrace the challenge.
 In this team

You'll create high fidelity websites and web apps using the latest incarnations of HTML, CSS (SCSS) and Javascript (React and TypeScript)
You'll help maintain existing projects including updating content and adding new pages
You'll manage incoming requests for updates and liaise with or delegate to other people as necessary
You'll ensure the standard of our output remains high and consistent across our whole product portfolio
You'll ensure new pages are published according to specification and in compliance with our web style guide
You'll participate in and contribute to our living style guide, Vanilla Framework.
Work closely with UX designers and visual designers to implement exemplary user experiences.

What we offer

An opportunity to help shape a company and products with a strong influence in the open source community
An inclusive work environment within a team of friendly people with a broad range of skill sets, from UX designers to copywriters
Learning and development
Annual compensation review
Recognition rewards
Annual leave
Priority Pass for travel

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.
 #LI-Remote

",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=ab79110c8a0b48a7&fccid=3911cf63fc0692f4&vjs=3
Frontend Developer,Datasource,Remote,"
Introduction


Our client is a leading Defence organisation who are producing safety critical software which is helping to keep the UK safe!
 The developer for this role will be producing a modern User Interface and is an excellent opportunity for an ambitious engineer to develop a three-tier web application!
 This role is primarily remote with travel to Bristol 1 day every week or 2 weeks.


Key responsibilities


Day to day, you’ll focus on the addition of new features to the product, with assistance in:

Contributing to the design and development of the product and adding new functionality
Analysing and fixing bugs
An opportunity to help shape the design and architecture as the software matures
Performing software releases, updates, and deployment activities



Skills & experience



Experience of a modern UI framework such as Vue.js, React or Angular, preferably Vue.js
Experience writing automated UI tests, preferably using Cypress or Jest
An understanding of three-tier web application software architecture and REST+JSON
Experience of working in a team using Agile Software Engineering best practices
Experience using a modern IDE



Additional benefits



Holiday entitlement: 25 days, plus bank holidays
Pension scheme with employee pension contributions matched up to 8% of salary, with life assurance
Other flexible benefits: critical illness insurance, travel insurance, healthcare cash plan, dental insurance, childcare vouchers, bike scheme, shopping offers and discounts
Employee Share Scheme

Our client is committed to providing a diverse and inclusive workplace and welcomes applications from all backgrounds. 
RECOMMEND A FRIEND: If you have professional friends/colleagues who would be interested in one of our roles and our excellent levels of service too, we'd like to recognise your recommendations with a 'thank you' of our own. For every colleague you refer who then starts a role through Datasource either Contract or Permanent, we will send you £250 of Love to Shop Gift Vouchers!
 If you do not hold an active SC clearance, please familiarise yourself with the vetting process before applying.
 (c) Copyright Datasource Computer Employment Limited 2022.


",PostedPosted 16 days ago,"£47,000 - £53,000 a yearPermanent","£47,000 - £53,000 a year",https://www.indeed.com/rc/clk?jk=482bf189cc942980&fccid=290ed65fe937e741&vjs=3
Developer,The Prince's Trust,Remote in London,"







Developer 









       Company: Prince's Trust 
      








Contract Type: Fixed Term for 2 years
Hours: Full Time, 35 hours per week
Closing Date: 23:59 on 11/09/2022
Salary: £40,000.00 to £45,000.00 dependent on your location, skills, knowledge and experience
Location: Any UK Trust office


Our Service Delivery Systems Team are looking for someone who is experienced, motivated and enthusiastic to become their new Developer.


You will work on change projects, minor updates and applications support for our Young Person CRM system, building high-quality software and ensuring our staff have the best system in place to help them case manage and support our young people.


This role is perfect for you if you are an experienced software developer specialising in PHP, JavaScript, HTML, CSS, and Web Services with background knowledge of SQL and Databases, but you are keen to branch out into a new area and learn all about the Oracle Service Cloud CRM. This role is also perfect for an experienced Oracle Service Cloud Developer who is interested in making the move into the Charity Sector to make a difference in the lives of 1000s of young people across the UK or who is interested in joining a team who have a highly flexible working arrangement.


We are kicking off an exciting transformation project that will extend over the new two years and are recruiting a host of new roles into the team to support us during this period. You will join the developer team, working across both our business as usual and our transformation work, and support us during this two-year period.


 Why we need Developers:


This year, we aim to help more than 50,000 young people, with three in four young people on our programmes, moving into work, education or training.


The young people we help face a range of challenges, such as unemployment, mental health issues or some have been in trouble with the law. Our job is to inspire and support young people, to help them reach their potential so that they can thrive and society can prosper.


We believe all young people should have the chance to succeed, and that young people are the key to a positive and prosperous future for all of us.


Perks for working at The Trust:



Great holiday package! 30 days annual leave entitlement, plus bank holidays. Office closure the days between Christmas and New Year
Fantastic Family leave! Receive 13 weeks full pay and 13 weeks half pay for maternity and adoption leave. Receive 8 weeks full pay for paternity leave.
Flexible working! Where operationally possible, you can work hours to fit in with, school hours or care arrangements for example and you can also work from home.
Interest-free season ticket loans
Benefits platform! Everything from health and financial wellbeing support to discounts on your favourite restaurants, shops and cinemas
In-house learning platform! Develop your skills for your career and your role
The Trust will contribute 5% of your salary to the Trust Pension Scheme
You can volunteer for and/or attend events – music festivals, The Prince’s Trust Awards, active events etc.
Generous life assurance cover (4 x annual salary)
The opportunity to join our EDI Networks! Our staff, volunteers and young people are supported by PT CAN (Cultural Awareness Network), PT GEN (Gender Equality Network), PT DAWN (Disability & Wellbeing Network) and PULSE (LGBTQIA+ Network)


 
Here at The Prince's Trust, we're committed to equality, diversity and inclusion. We want to be an organisation that's representative of the communities we serve, which is why we strive for diversity of age, gender identity, sexual orientation, physical or mental ability, ethnicity and perspective. Our goal is to create an environment where everyone, from any background, can be themselves and do the best work of their lives.


We’re a Stonewall Diversity Champion and we are an employer that is Disability Confident. Our staff, volunteers and young people are supported by PT CAN (our Cultural Awareness Network), PT GEN (Gender Equality Network), PT DAWN (Disability & Wellbeing Network) and Pulse (LGBTQIA+ Network). For more information, click here.


The Prince's Trust is committed to safeguarding and promoting the welfare of children and young people and expects all staff and volunteers to share this commitment. As part of this commitment, we undertake basic disclosure checks in accordance with the Codes of Practice for all roles within the Trust, and for our roles working directly with young people, at an enhanced level. Having a criminal record will not automatically exclude applicants.


A NOTE FOR RECRUITMENT AGENCIES:
We prefer to hire people directly, but we do have a preferred supplier list for when we need a helping hand. We'll be in touch directly if we need you!
Req ID: 1887









       Location: London, GB, SE1 8EG Belfast, GB, BT12 5GH Birmingham, GB, B5 6DR Bristol, GB, BS1 6BY Burnley, GB, BB11 1RN Cardiff, GB, CF24 5PE Derry, GB, BT48 7AL Dundee, GB, DD4 6ET Edinburgh, GB, EH6 4AQ Glasgow, GB, G5 9JP Home, GB, Home Home, GB, Home Home, GB, AB Southampton, GB, SO15 London, GB, SW9 6EJ Leeds, GB, LS1 5AW Leicester, GB, LE2 0JN Lincoln, GB, LN5 7FB Liverpool, GB, L1 4EN Luton, GB, LU1 2EY Manchester, GB, M4 6JG Benwell, GB, NE15 6UN Newcastle Upon Tyne, GB, NE1 4HZ Nottingham, GB, NG7 6LH Plymouth, GB, PL1 3RP London, GB, E3 4QA Stoke-on-Trent, GB, ST1 1LX London, GB, W1B 1PE Wrexham, GB, LL13 8BY 
      







       Date added: 27-Aug-2022
       




 Job Segment: Developer, Cloud, ERP, Web Design, Work from Home, Technology, Contract, Creative



",PostedPosted 7 days ago,"£40,000 - £45,000 a yearFull-time +1","£40,000 - £45,000 a year",https://www.indeed.com/rc/clk?jk=b056dffbeba8718d&fccid=be1b1413a7665dbf&vjs=3
Python Desk Developer,Barclays,Remote in London E14,"
Python Desk Developer London
As a Barclays Python Desk Developer, you will be implementing Analytics and Risk Management strategy of the Equity Finance Business with Barclays Prime Services division. This business is at the forefront of industry leading innovative client focused solutions using big data and financial modelling. As such you will be converting evolving business and trade ideas into strategic solutions. You will also be building partnership with global stakeholders working within a small desk-aligned team.
Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.
This opportunity is open to flexible working arrangements. Such as working from home, flexible or compressed hours, and part-time options. If you have a need for flexibility, please apply and discuss this with us during the hiring process.
We are currently operating in a hybrid working environment, meaning that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. Please discuss the detail of the working pattern options for the role with the hiring manager.

What will you be doing?
 • Building partnership with global stakeholders, e.g. Traders, Product Management, Quants and other stakeholders across all regions while working within a small desk-aligned team
  

Implementing Front-Office Analytics & Risk Management strategy
Working in a Quant Developer team focusing on aspects of the projects leading to the successful implementation and improvements of the business-critical tasks and risk management systems
Using analytical skills, broad knowledge of financial instruments, including financial asset pricing and risk metrics and management, and their robust IT implementation approach
Building solutions for end users (EF traders), managing relationship with application and business stakeholders
Working in collaboration with business partners to build long lasting and high quality services to our clients
Performing sound root cause analysis for all the user queries and provide valid justification to business stakeholders



What we’re looking for:
 • BSc or MSc degree in a technical discipline, e.g. Computer Science, Math, Physics, etc
  

Significant software engineering experience including hands-on experience in all phases of software development lifecycle
Knowledge of Python and Data Analysis and Visualization libraries, e.g. Pandas & at least one of the following: Bokeh, Dash, Plotly
Understanding of VBA/Macro development



Skills that will help 
you in the role:
 • Experience within securities industry and working in a fast pace iterative manner, closely aligned with front-office
  

Investment bank front-office experience incl. market applications: BBG/Reuters
Experience dealing with financial data while building Web applications
Familiarity with Jupyter suite of application


Where will you be working? 5 North Colonnade is home to our investment bank and is in the heart of Canary Wharf, just a short walk from our headquarters at Churchill Place. It boasts an array of onsite amenities such as dry cleaner as well as a deli and buffet style staff restaurant. The building is easily accessible by tube, docklands light railway and all major bus links. The atmosphere is second to none with a real buzz being created around the offices within.
#LI-Hybrid #LI-DC2022
",PostedPosted 1 day ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=8dfc7713a4810046&fccid=057abf3fd357e717&vjs=3
Full Stack Developer,Guardian News & Media,Remote in London N1,"
The Guardian is one of the world’s biggest liberal news organisations. We are renowned for our groundbreaking independent journalism, our award-winning digital products and excellent engineering team.
We create our award-winning website using modern JavaScript and CSS patterns, always considering progressive-enhancement, performance, scalability, browser compatibility, and user experience. We serve tens of thousands of requests per second from our services mostly written in Scala and running on AWS.
We are now looking for Full Stack Developers to join our growing team.
You can check out our Engineering blog here, where we share our experiences and approaches, including software development tips, code examples, open source software and code stories behind product development.
About the role

As a Full Stack Developer, you’ll be equally willing to dive into a purely functional and composable Scala back-end, or a complex JavaScript front-end (using Flow, TypeScript, Angular, React etc).

You can see the full job description here
About you

As a developer on the team, you will have 2 years commercial experience
You won’t necessarily be an expert in everything, but you’ll be eager to learn
You are a creative, passionate, and intelligent person who loves web technologies
Your interests go beyond just your team’s objectives; you are curious about where the organisation is moving as a whole

We strive for transparency in remuneration. The salary for new developers at The Guardian is £49.6k
What we offer

Flexible working (see below for details)
Generous pension scheme; if you contribute 5% then the Guardian will contribute 8-12% (depending on your age)
Mental and Physical Health insurance and dental scheme
28 days annual leave (excluding bank holidays) and the option to purchase an extra 5 days
Up to 18 weeks of parental leave at full pay
Multi-faith prayer room
Cycle to work scheme and subsidised gym membership
Paid volunteering days
Annual season ticket loan

Happy to talk flexible working
We are a remote-friendly company.
We see real value in face-to-face collaboration and we also understand the benefits of working remotely and the flexibility this offers.
In particular, we want to build diverse and inclusive teams, where everyone can do their best work.
Different roles carry different expectations, and for the role for which you’re applying, we’d typically expect to see you in the office, on average, twice a month. If you want to come in a lot more than that, that’s great too.
We also support a variety of flexible working requests.
We welcome applicants with diverse backgrounds, different lived experiences and different perspectives. A diverse team means we can better reflect and engage our global audience.
We believe in hiring the best people from the widest pool, and also in including them, fostering a culture where people’s voices can be heard and our employees look forward to coming to work.
Application instructions:
To apply please upload your CV. You must already have the right to work in the UK.
Our interview process involves two stages, all interview stages are currently being run remotely.

Face to face interview
Pairing test (technical interview)

About us
We value and respect all differences in all people (seen and unseen) at the Guardian. We aspire to have inclusive working experiences and an environment that reflects the audience we serve, where our people have equal access to career development opportunities, their voices are heard and can contribute to our future. The Guardian actively encourages applications from BAME candidates.
At The Guardian, many of our staff work flexibly and we will consider all requests for flexible working arrangements.





Job Number


KIN0002GS


Location


Kings Place


Business Area


Engineering


Employment Type


Full-time


",PostedPosted 4 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=9bb6ad33d702eb4d&fccid=e35c5b96d66d895e&vjs=3
Frontend Developer,DEPT®,Remote in Manchester,"
Frontend Developer
 For our Manchester office, we are looking for a Front End Developer that can successfully transform the dream design of our clients into a well-functioning platform.
 As a member of the front end team, you will work on a variety of global digital projects for high profile B2B and B2C brands. You will build mobile-first, cross-browser compatible, high performing websites and strive to look for better tools and techniques to introduce into the workplace. You will work heavily with React as well as other technologies on in-flight projects, and will provide training to make sure you're up-to-date with the latest technologies. You will ensure the client Technical Wiki's are kept up to date and you will continuously strive to improve your craft.
 You will work in a vibrant environment with clever minds that work for a variety of large global clients. Yes, we are eager to hire the most talented experts in the game but we are also looking for a perfect Dept-fit. Someone who is eager to learn, inspires, strives towards a better world, takes the stage, a futurist at heart, and someone who will toast to a successful week with us. Dept is an equal opportunity employer, we strongly support diversity and are committed to creating an inclusive environment for all employees.
 YOU:

Are skilled in HTML/CSS/JS
Have skills in front-end technologies including JavaScript/ES6, Typescript and React
Have experience in testing methodologies and supporting frameworks e.g. TDD, Jest
Have experience of building with a headless (Strapi, Contentful) CMS and also non headless (Optimizely, Umbraco)
Have commercial experience of building best of breed React applications
Have attention to detail and strive for perfection.
Are able to translate creative ideas and mockups into interactive prototypes
Has awareness of web fundamentals such as performance, semantics and web accessibility



 WE OFFER:

Possibilities to do what you do best and to develop your skills further with training, development and certifications
An excellent salary based on experience and equal pay policies
Flexible working: you have the choice to work from our office or remotely, and we have core working hours where you can choose your start and finish times to suit you
Pension, free private healthcare, mental health support, and company sick pay scheme
25 days paid holiday with the opportunity to buy extra days
Annual social budget which is used for team events (think virtual escape rooms or a gaming competitions), as well as away-days, and meals out
Free refreshments provided in the office all week, as well as drinks at 4pm on a Friday.
We celebrate successes by rewarding teams when big projects go-live and honouring the year's top achievements at our annual awards ceremony
Opportunity to take part in the annual DEPT® Cares Day where Depsters across the world donate their skills to support local charities
Annual trip to the DEPT® Festival in the Netherlands: a chance to meet other people in DEPT®, see great talks from industry leaders, and have an all-expenses-paid weekend of fun!
Good company: DEPT® is dedicated to becoming the best digital agency in and for the world. We are committed to becoming B Corp Certified. Find out more in our Impact Report



 DEPT® is an equal opportunity employer, we strongly support diversity and are committed to creating an inclusive environment for all employees.


 WHO ARE WE?
 DEPT® is a pioneering technology and marketing services company that creates integrated end-to-end digital experiences for brands such as Google, KFC, Philips, Audi, Twitch, Patagonia, eBay and more. Its team of 2,500+ digital specialists across 30+ locations on 5 continents delivers pioneering work on a global scale with a boutique culture. DEPT® is committed to making a positive impact on the planet and since 2021 has been Climate Neutral and B Corporation certified. www.deptagency.com
 Learn more about our diversity, equity, and inclusion efforts here.
",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=3bcb32f434f9df07&fccid=8b05e8367ae5814d&vjs=3
PHP Developer - Contract - Outside IR-35,Digital Waffle,Remote in London,"

PHP Developer - Contract - Outside IR-35


Job details




    Posted 02 September 2022 
   

    Salary £500 - £600 per day 
   

    LocationLondon
   

    Job type Contract 
   

    DisciplineDevelopment
   

    ReferenceSM-18
   

    Contact NameStuart Manser
   



Job description

This is an opportunity for an experienced PHP Developer, who has previously worked in Senior or Lead positions using Laravel, to join our team on an initial 4-5 month basis.


Rate £500-£600 p/d

Outside IR-35

Location: Fully Remote (UK-based remote working)


Skills/Experience:


 5+ years backend development experience working with PHP (Laravel)
 Good understanding of CMS such as WordPress
 Knowledge of AWS would be a bonus

 Role and Responsibilities:


 To evaluate, develop and deliver effective problem-solving solutions.
 To show a positive attitude towards challenging situations and being an example to the team.
 To guide less experienced members of the development team, form good working relationships with our permanent members of staff and act with integrity and professionalism at all times.

 If you are interested please apply right away, interviews are taking place immediately!


",PostedPosted 1 day ago,£500 - £600 a day,£500 - £600 a day,https://www.indeed.com/rc/clk?jk=5266b3dc80d8e23d&fccid=af02b98b92a2145b&vjs=3
Web Developer - iPlayer Web,BBC,Hybrid remote in London W12,"
 Job Introduction 
  BBC iPlayer is one of the UK’s most well-known and loved brands, and we’re looking for passionate developers to join our collaborative, cross-discipline, agile team. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief.


It is an exciting time to join the team, as our mission is to be the future of BBC TV. This is a place where your work impacts millions of iPlayer users every day. You will have the opportunity to work on a website that operates at a huge scale.


As a Web Developer, you will have the opportunity to work with a wide range of technologies that drive our products forward. You will also have the opportunity to work with User Experience Designers, Delivery Managers and Product Managers to influence the future of BBC iPlayer, and make it the indispensable video destination! Main Responsibilities 
 
Design, develop & release working software using best practices
Pair-program with other team members
Learn new technologies and adapt to change
Promote skills and knowledge sharing
Work in a cross-discipline environment
Understand and contribute to product goals/priorities



Why choose us?
We care a lot about our technology, for example keeping our stack up-to-date, following best practices and industry standards. Our current stack utilises ReactJS, React Router, Redux, Typescript and NodeJS on AWS, and all team members have the opportunity to steer our technical direction.


We also care a lot about the people in our teams. There are great opportunities to grow your career within the team and BBC, and a mentorship programme to make sure you are well-supported. We believe strongly in developing talent from within the team. We have training and conference budgets, and 10% of your time is dedicated for you to explore, innovate and learn new technologies. There are also regular opportunities to collaborate with other teams around the BBC.
We are happy to consider flexible work based on your personal situation, such as part-time, term-time and hybrid working. Are you the right candidate? 
  Essential Skills & Experience

Creating engaging and performant UIs (e.g. CSS and animations)
Building modern web applications (we use ReactJS but open to experience with others)
Server-side development (we use NodeJS but open to experience with others)
Learning new software skills and working with new technologies
Being curious, kind and a great team-worker



Desirable Skills & Experience

Developing software with Redux or similar state managers
Developing software with security and accessibility in mind
Developing software using TDD/BDD techniques
Working with Cloud technologies
Working and collaborating in cross-discipline teams



The attached Job Description is a BBC standard Software Engineer Job Description. The relevant details of the role are in the body of this advert. About the BBC 
  We don’t focus simply on what we do – we also care how we do it. Our values and the way we behave are important to us. Please make sure you’ve read about our values and behaviours in the document attached below.
Diversity matters at the BBC. We have a working environment where we value and respect every individual's unique contribution, enabling all of our employees to thrive and achieve their full potential.
We want to attract the broadest range of talented people to be part of the BBC – whether that’s to contribute to our programming or our wide range of non-production roles. The more diverse our workforce, the better able we are to respond to and reflect our audiences in all their diversity.
We are committed to equality of opportunity and welcome applications from individuals, regardless of age, gender, ethnicity, disability, sexual orientation, gender identity, socio-economic background, religion and/or belief. We will consider flexible working requests for all roles, unless operational requirements prevent otherwise.
To find out more about Diversity and Inclusion at the BBC, please click here Package Description 
  Band: C Contract type: Permanent Location: London
We’re happy to discuss flexible working. Please indicate your choice under the flexible working question in the application. There is no obligation to raise this at the application stage but if you wish to do so, you are welcome to. Flexible working will be part of the discussion at offer stage. 

Excellent career progression – the BBC offers great opportunities for employees to seek new challenges and work in different areas of the organisation.
Unrivalled training and development opportunities – our in-house Academy hosts a wide range of internal and external courses and certification.
Benefits- We offer a competitive salary package, a flexible 35-hour working week for work-life balance and 26 days (1 of which is a corporation day) with the option to buy an extra 5 days, a defined pension scheme and discounted dental, health care, gym and much more.

 The situation regarding the coronavirus outbreak is developing quickly and the BBC is keen to continue to ensure the safety and wellbeing of people across the BBC, while continuing to protect our services. To reduce the risk access to BBC buildings is limited to those essential to our broadcast output. From Wednesday 18th March until further notice all assessments and interviews will be conducted remotely. For more information go to https://www.bbc.co.uk/careers/
Mae’r sefyllfa gyda’r coronafeirws yn datblygu’n gyflym, ac mae’r BBC yn awyddus i barhau i sicrhau diogelwch a lles pobl ar draws y BBC, gan barhau i warchod ein gwasanaethau hefyd. I leihau’r risg, dim ond y bobl sy’n hanfodol i’n hallbwn darlledu fydd yn cael mynediad i adeiladau’r BBC. O ddydd Mercher 18fed Mawrth ymlaen, bydd pob asesiad a chyfweliad yn cael ei gynnal o bell, nes rhoddir gwybod yn wahanol. I gael mwy o wybodaeth, ewch i https://www.bbc.co.uk/careers/
",PostedPosted 30+ days ago,Permanent +1,,https://www.indeed.com/rc/clk?jk=8f8ab6d7e4835a1d&fccid=40bdb3ff12c06472&vjs=3
